"district_attorney_file_number","date","time","employee_classification","employee_gender","employee_race",employee_age,"employee_service","previous_shooting",previous_number,"department_unit",reporting_district,"district_attorney_action","in_policy_force","in_policy_tactics","training","discipline"
"#14-0671","2014-10-27","14:50:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"07 Years, 04 Months","N ",0,"LKD ",1365,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-27","14:50:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"07 Years, 03 Months","N ",0,"PLM",1365,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-10-27","14:50:00","DEPUTY SHERIFF","M ","WHITE ",26,"07 Years, 05 Months","N ",0,"PLM",1365,"Pending ","Pending","Pending","Pending","Pending"
"#14-0703","2014-11-16","2:39:00","DEPUTY SHERIFF","M ","WHITE ",33,"08 Years, 04 Months","N ",0,"ELA ",286,"Pending ","Pending","Pending","Pending","Pending"
"#14-0703","2014-11-16","2:39:00","DEPUTY SHERIFF","M ","HISPANIC ",27,"07 Years, 05 Months","Y ",1,"ELA",286,"Pending ","Pending","Pending","Pending","Pending"
"#14-0703","2014-11-16","2:39:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"07 Years, 05 Months","N ",0,"ELA",286,"Pending ","Pending","Pending","Pending","Pending"
"#14-0703","2014-11-16","2:39:00","DEPUTY SHERIFF","M ","WHITE ",29,"08 Years, 04 Months","N ",0,"ELA ",286,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-11-30","1:00:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"08 Years, 05 Months","N ",0,"CSN ",1624,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-12-31","17:00:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"12 Years, 11 Months","N ",0,"COM ",2815,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-12-31","17:00:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"07 Years, 08 Months","N ",0,"COM",2815,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2014-12-31","17:00:00","DEPUTY SHERIFF","M ","HISPANIC ",31,"08 Years, 02 Months","N ",0,"COM",2815,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-01-24","20:54:00","DEPUTY SHERIFF","M ","HISPANIC ",46,"23 Years, 06 Months","Y ",2,"OSS ",278,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-03","15:30:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"08 Years, 00 Months","N ",0,"LKD ",1328,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-12","18:36:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"08 Years, 07 Months","N ",0,"CEN ",2178,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-13","17:25:00","DEPUTY SHERIFF","M ","HISPANIC ",30,"08 Years, 05 Months","N ",0,"SLA ",371,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-13","17:25:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"08 Years, 08 Months","N ",0,"SLA ",371,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-13","17:25:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"09 Years, 00 Months","N ",0,"SLA",371,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","BLACK ",34,"10 Years, 00 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","BLACK ",32,"09 Years, 09 Months","Y ",1,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"07 Years, 07 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"15 Years, 03 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"11 Years, 02 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","HISPANIC ",NULL,"09 Years, 03 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","WHITE ",30,"09 Years, 04 Months","Y ",2,"SLA ",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","WHITE ",31,"10 Years, 00 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-03-25","1:15:00","DEPUTY SHERIFF","M ","WHITE ",27,"09 Years, 08 Months","N ",0,"SLA",372,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-04-10","3:31:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"07 Years, 08 Months","Y ",1,"CEN ",2177,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-05-05","12:40:00","DEPUTY SHERIFF","M ","HISPANIC ",35,"08 Years, 02 Months","N ",0,"TEM ",560,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-05-05","12:40:00","DEPUTY SHERIFF","F ","HISPANIC ",44,"08 Years, 04 Months","N ",0,"TEM",560,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-05-07","16:30:00","DEPUTY SHERIFF","M ","WHITE ",49,"24 Years, 09 Months","Y ",1,"CER ",2318,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-05-13","17:41:00","DEPUTY SHERIFF","M ","HISPANIC ",32,"09 Years, 11 Months","Y ",3,"CPT ",2824,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-06-01","17:44:00","SERGEANT ","M ","WHITE ",59,"18 Years, 00 Months","N ",0,"TSB ",6713,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-06-04","17:54:00","DEPUTY SHERIFF","M ","HISPANIC ",33,"08 Years, 01 Months","N ",0,"SDM ",899,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-03","23:30:00","DEPUTY SHERIFF","M ","WHITE ",41,"15 Years, 11 Months","Y ",2,"OSS ",1192,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-03","23:30:00","DEPUTY SHERIFF","M ","WHITE ",38,"09 Years, 04 Months","Y ",1,"OSS",1192,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-05","21:41:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"13 Years, 02 Months","N ",0,"LKD ",1352,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-06","10:45:00","DEPUTY SHERIFF","M ","HISPANIC ",32,"04 Years, 05 Months","N ",0,"LKD ",1321,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-06","10:45:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"14 Years, 08 Months","N ",0,"LKD ",1321,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-06","10:45:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"08 Years, 01 Months","N ",0,"LKD ",1321,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-06","10:45:00","DEPUTY SHERIFF","M ","WHITE ",31,"08 Years, 09 Months","N ",0,"LKD ",1321,"Pending ","Pending","Pending","Pending","Pending"
"n/a","2015-07-10","10:44:00","DEPUTY SHERIFF","M ","WHITE ",31,"08 Years, 08 Months","N ",0,"TEM ",590,"Pending ","Pending","Pending","Pending","Pending"
"#13-0694","2013-10-12","16:06:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"12 Years, 05 Months","Y ",1,"NWK ",453,"Legally Justified ","Pending","Pending","Pending","Pending"
"#10-0031","2010-01-14","15:41:00","DEPUTY SHERIFF","M ","WHITE ",31,"09 Years, 08 Months","N ",0,"CSN ",1699,"Legally Justified ","Y ","Y ","N ","N"
"#10-0142","2010-02-26","4:29:00","DEPUTY SHERIFF","M ","HISPANIC ",28,"04 Years, 07 Months","Y ",1,"LKD ",1349,"Legally Justified ","Y ","Y ","N ","N"
"#10-0171","2010-03-06","3:30:00","SERGEANT ","M ","WHITE ",28,"10 Years, 01 Months","Y ",1,"CEN ",2199,"Legally Justified ","Y ","Y ","N ","N"
"#10-0171","2010-03-06","3:30:00","SERGEANT ","M ","WHITE ",31,"12 Years, 03 Months","N ",0,"CEN ",2199,"Legally Justified ","Y ","Y ","N ","N"
"#10-0188","2010-03-09","11:32:00","DEPUTY SHERIFF","M ","WHITE ",37,"14 Years, 09 Months","Y ",2,"SEB ",3199,"Legally Justified ","Y ","Y ","N ","N"
"#10-0235","2010-03-24","0:14:00","DEPUTY SHERIFF","M ","WHITE ",35,"10 Years, 05 Months","N ",0,"ELA ",272,"Legally Justified ","Y ","N ","N ","Y"
"#10-0292","2010-04-13","21:10:00","DEPUTY SHERIFF","M ","HISPANIC ",32,"11 Years, 01 Months","N ",0,"ELA ",284,"Legally Justified ","Y ","Y ","N ","N"
"#10-0301","2010-04-18","0:42:00","DEPUTY SHERIFF","M ","BLACK ",39,"04 Years, 00 Months","N ",0,"TSB ",6851,"Legally Justified ","Y ","Y ","N ","N"
"#10-0355","2010-05-06","4:00:00","DEPUTY SHERIFF","M ","WHITE ",34,"10 Years, 00 Months","N ",0,"LKD ",1351,"Legally Justified ","Y ","Y ","N ","N"
"#10-0445","2010-06-09","1:59:00","DEPUTY SHERIFF","M ","HISPANIC ",36,"10 Years, 08 Months","N ",0,"WHD ",3199,"Legally Justified ","Y ","Y ","N ","N"
"#10-0457","2010-06-15","10:41:00","DEPUTY SHERIFF","M ","WHITE ",34,"10 Years, 06 Months","N ",0,"IND ",1442,"Legally Justified ","Y ","Y ","N ","N"
"#10-0459","2010-06-16","21:43:00","DEPUTY SHERIFF","M ","WHITE ",30,"09 Years, 00 Months","N ",0,"LKD ",1337,"Legally Justified ","Y ","N ","N ","Y"
"#10-0466","2010-06-19","17:31:00","DEPUTY SHERIFF","M ","WHITE ",29,"03 Years, 09 Months","N ",0,"LKD ",1329,"Legally Justified ","Y ","Y ","N ","N"
"#10-0488","2010-06-24","21:35:00","DEPUTY SHERIFF","M ","WHITE ",54,"21 Years, 05 Months","N ",0,"NAR ",3199,"Legally Justified ","Y ","Y ","N ","N"
"#10-0531","2010-07-09","2:50:00","DEPUTY SHERIFF","M ","WHITE ",32,"08 Years, 02 Months","N ",0,"SCV ",610,"Legally Justified ","Y ","Y ","N ","N"
"#10-0531","2010-07-09","2:50:00","DEPUTY SHERIFF","M ","WHITE ",41,"09 Years, 08 Months","N ",0,"SCV ",610,"Legally Justified ","Y ","Y ","N ","N"
"#10-0653","2010-08-21","22:48:00","DEPUTY SHERIFF","M ","WHITE ",35,"13 Years, 10 Months","Y ",2,"CEN ",2140,"Legally Justified ","Y ","Y ","N ","N"
"#10-0767","2010-10-01","12:45:00","DEPUTY SHERIFF","F ","WHITE ",32,"11 Years, 07 Months","N ",0,"LCS ",1126,"Legally Justified ","Y ","Y ","N ","N"
"#10-0767","2010-10-01","12:45:00","DEPUTY SHERIFF","M ","WHITE ",25,"04 Years, 01 Months","N ",0,"LCS ",1126,"Legally Justified ","Y ","Y ","N ","N"
"#10-0783","2010-10-09","18:47:00","DEPUTY SHERIFF","M ","WHITE ",36,"12 Years, 09 Months","Y ",1,"ELA ",284,"Legally Justified ","Y ","Y ","N ","N"
"#10-0784","2010-10-10","0:23:00","DEPUTY SHERIFF","M ","HISPANIC ",37,"10 Years, 00 Months","Y ",2,"CEN ",2117,"Legally Justified ","Y ","Y ","N ","N"
"#10-0839","2010-10-27","9:37:00","DEPUTY SHERIFF","M ","HISPANIC ",39,"10 Years, 06 Months","N ",0,"CEN ",37176,"Legally Justified ","Y ","Y ","N ","N"
"#10-0887","2010-11-08","22:17:00","DEPUTY SHERIFF","M ","HISPANIC ",26,"07 Years, 04 Months","N ",0,"CEN ",37197,"Legally Justified ","Y ","Y ","Y ","N"
"#10-0934","2010-11-26","21:16:00","DEPUTY SHERIFF","M ","HISPANIC ",55,"27 Years, 11 Months","N ",0,"WAL ",37994,"Legally Justified ","Y ","Y ","N ","N"
"#10-0949","2010-12-01","15:07:00","DEPUTY SHERIFF","M ","HISPANIC ",40,"15 Years, 11 Months","N ",0,"ELA ",35344,"Legally Justified ","Y ","Y ","N ","N"
"#11-0001","2010-12-21","17:50:00","DEPUTY SHERIFF","M ","WHITE ",29,"04 Years, 08 Months","N ",0,"LCS ",36244,"Legally Justified ","Y ","Y ","N ","N"
"#11-0024","2011-01-08","0:47:00","SERGEANT ","M ","HISPANIC ",42,"22 Years, 05 Months","Y ",4,"CEN ",2199,"Legally Justified ","Y ","Y ","N ","N"
"#11-0025","2011-01-10","20:20:00","DEPUTY SHERIFF","M ","HISPANIC ",42,"20 Years, 11 Months","N ",0,"PKB ",8239,"Legally Justified ","Y ","Y ","N ","N"
"#11-0039","2011-01-11","19:17:00","DEPUTY SHERIFF","M ","HISPANIC ",43,"20 Years, 06 Months","N ",0,"ELA ",275,"Legally Justified ","Y ","Y ","N ","N"
"#11-0083","2011-02-05","21:56:00","DEPUTY SHERIFF","M ","WHITE ",36,"11 Years, 08 Months","Y ",1,"PLM ",2603,"Legally Justified ","Y ","Y ","N ","N"
"n/a","2011-02-11","14:35:00","DEPUTY SHERIFF","M ","HISPANIC ",29,"04 Years, 09 Months","N ",0,"TT ",562,"Legally Justified ","Y ","Y ","N ","N"
"#11-0117","2011-02-14","20:15:00","DEPUTY SHERIFF","M ","HISPANIC ",46,"16 Years, 03 Months","Y ",5,"ELA ",278,"Legally Justified ","Y ","N ","N ","Y"
