"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Cesar Chavez Academy","F","Hispanic","Temporarily Doubled Up",71,"2009-2010"
"Cesar Chavez Academy","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","F","White","Hotels/motels",2,"2009-2010"
"Cesar Chavez Academy","F","White","Temporarily Doubled Up",23,"2009-2010"
"Cesar Chavez Academy","M","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Cesar Chavez Academy","M","Filipino","Temporarily Doubled Up",3,"2009-2010"
"Cesar Chavez Academy","M","Hispanic","Hotels/motels",3,"2009-2010"
"Cesar Chavez Academy","M","Hispanic","Temporarily Doubled Up",62,"2009-2010"
"Cesar Chavez Academy","M","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Cesar Chavez Academy","M","White","Hotels/motels",1,"2009-2010"
"Cesar Chavez Academy","M","White","Temporarily Doubled Up",23,"2009-2010"
"Citrus Hills Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","F","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Citrus Hills Int","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","F","Hispanic","Hotels/motels",1,"2009-2010"
"Citrus Hills Int","F","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"Citrus Hills Int","F","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","F","White","Hotels/motels",1,"2009-2010"
"Citrus Hills Int","F","White","Temporarily Doubled Up",14,"2009-2010"
"Citrus Hills Int","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Citrus Hills Int","M","Asian-Other","Temporarily Doubled Up",2,"2009-2010"
"Citrus Hills Int","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Citrus Hills Int","M","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Citrus Hills Int","M","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"Citrus Hills Int","M","White","Temporarily Doubled Up",9,"2009-2010"
"Clara Barton Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2009-2010"
"Clara Barton Elem","F","Asian-Chinese","Temporarily Doubled Up",10,"2009-2010"
"Clara Barton Elem","F","Asian-Laotian","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","F","Black or African American","Temporarily Doubled Up",10,"2009-2010"
"Clara Barton Elem","F","Filipino","Temporarily Doubled Up",4,"2009-2010"
"Clara Barton Elem","F","Hispanic","Temporarily Doubled Up",48,"2009-2010"
"Clara Barton Elem","F","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Clara Barton Elem","F","White","Temporarily Doubled Up",18,"2009-2010"
"Clara Barton Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","M","Asian-Chinese","Temporarily Doubled Up",5,"2009-2010"
"Clara Barton Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Clara Barton Elem","M","Black or African American","Temporarily Doubled Up",15,"2009-2010"
"Clara Barton Elem","M","Filipino","Temporarily Doubled Up",6,"2009-2010"
"Clara Barton Elem","M","Hispanic","Hotels/motels",1,"2009-2010"
"Clara Barton Elem","M","Hispanic","Temporarily Doubled Up",68,"2009-2010"
"Clara Barton Elem","M","White","Temporarily Doubled Up",19,"2009-2010"
"Corona Fundamental Int","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Corona Fundamental Int","F","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Corona Fundamental Int","F","Hispanic","Hotels/motels",1,"2009-2010"
"Corona Fundamental Int","F","Hispanic","Temporarily Doubled Up",14,"2009-2010"
"Corona Fundamental Int","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Corona Fundamental Int","F","White","Temporarily Doubled Up",3,"2009-2010"
"Corona Fundamental Int","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Corona Fundamental Int","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Corona Fundamental Int","M","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Corona Fundamental Int","M","Hispanic","Temporarily Doubled Up",9,"2009-2010"
"Corona Fundamental Int","M","White","Temporarily Doubled Up",3,"2009-2010"
"Corona High","F","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Corona High","F","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"Corona High","F","Black or African American","Temporary Shelters",2,"2009-2010"
"Corona High","F","Declined to state","Temporary Shelters",1,"2009-2010"
"Corona High","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Corona High","F","Hispanic","Hotels/motels",4,"2009-2010"
"Corona High","F","Hispanic","Temporarily Doubled Up",68,"2009-2010"
"Corona High","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Corona High","F","White","Hotels/motels",2,"2009-2010"
"Corona High","F","White","Temporarily Doubled Up",11,"2009-2010"
"Corona High","M","Asian-Asian Indian","Temporarily Doubled Up",3,"2009-2010"
"Corona High","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Corona High","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Corona High","M","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Corona High","M","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Corona High","M","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Corona High","M","Hispanic","Hotels/motels",3,"2009-2010"
"Corona High","M","Hispanic","Temporarily Doubled Up",78,"2009-2010"
"Corona High","M","Hispanic","Temporary Shelters",3,"2009-2010"
"Corona High","M","White","Hotels/motels",3,"2009-2010"
"Corona High","M","White","Temporarily Doubled Up",16,"2009-2010"
"Corona Ranch Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Corona Ranch Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2009-2010"
"Corona Ranch Elem","F","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Corona Ranch Elem","F","Hispanic","Temporarily Doubled Up",61,"2009-2010"
"Corona Ranch Elem","F","Pac Islander-Hawaiian","Temporarily Doubled Up",1,"2009-2010"
"Corona Ranch Elem","F","White","Hotels/motels",2,"2009-2010"
"Corona Ranch Elem","F","White","Temporarily Doubled Up",12,"2009-2010"
"Corona Ranch Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Corona Ranch Elem","M","Asian-Asian Indian","Temporarily Doubled Up",3,"2009-2010"
"Corona Ranch Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"Corona Ranch Elem","M","Asian-Laotian","Temporarily Doubled Up",2,"2009-2010"
"Corona Ranch Elem","M","Asian-Other","Temporarily Doubled Up",2,"2009-2010"
"Corona Ranch Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Corona Ranch Elem","M","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Corona Ranch Elem","M","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Corona Ranch Elem","M","Hispanic","Hotels/motels",2,"2009-2010"
"Corona Ranch Elem","M","Hispanic","Temporarily Doubled Up",69,"2009-2010"
"Corona Ranch Elem","M","White","Hotels/motels",2,"2009-2010"
"Corona Ranch Elem","M","White","Temporarily Doubled Up",9,"2009-2010"
"Corona Vista","F","Hispanic","Temporarily Doubled Up",3,"2009-2010"
"Corona-Norco Alternative","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Corona-Norco Alternative","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Corona-Norco Alternative","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Corona-Norco Alternative","F","Hispanic","Hotels/motels",2,"2009-2010"
"Corona-Norco Alternative","F","Hispanic","Temporarily Doubled Up",11,"2009-2010"
"Corona-Norco Alternative","F","White","Temporarily Doubled Up",3,"2009-2010"
"Corona-Norco Alternative","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Corona-Norco Alternative","M","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"Corona-Norco Alternative","M","Hispanic","Temporarily Doubled Up",4,"2009-2010"
"Corona-Norco Alternative","M","White","Temporarily Doubled Up",2,"2009-2010"
"Coronita Elem","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Coronita Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Coronita Elem","F","Hispanic","Temporarily Doubled Up",29,"2009-2010"
"Coronita Elem","F","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Coronita Elem","F","White","Temporarily Doubled Up",2,"2009-2010"
"Coronita Elem","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Coronita Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Coronita Elem","M","Hispanic","Hotels/motels",1,"2009-2010"
"Coronita Elem","M","Hispanic","Temporarily Doubled Up",33,"2009-2010"
"Coronita Elem","M","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Coronita Elem","M","Hispanic","Temporary Shelters",2,"2009-2010"
"Coronita Elem","M","White","Hotels/motels",1,"2009-2010"
"Coronita Elem","M","White","Temporarily Doubled Up",2,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Asian-Laotian","Temporarily Doubled Up",1,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Black or African American","Temporarily Doubled Up",5,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Filipino","Temporarily Doubled Up",3,"2009-2010"
"Dr. Augustine Ramirez Int.","F","Hispanic","Temporarily Doubled Up",8,"2009-2010"
"Dr. Augustine Ramirez Int.","F","White","Temporarily Doubled Up",2,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Asian-Chinese","Temporarily Doubled Up",3,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Filipino","Temporarily Doubled Up",3,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Hispanic","Temporarily Doubled Up",14,"2009-2010"
"Dr. Augustine Ramirez Int.","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2009-2010"
"Dr. Augustine Ramirez Int.","M","White","Temporarily Doubled Up",2,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Filipino","Temporarily Doubled Up",3,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","Hispanic","Temporarily Doubled Up",37,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","White","Hotels/motels",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Doubled Up",12,"2009-2010"
"Dr. Bernice Jameson Todd Elem","F","White","Temporarily Unsheltered",4,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","Hispanic","Temporarily Doubled Up",32,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Doubled Up",20,"2009-2010"
"Dr. Bernice Jameson Todd Elem","M","White","Temporarily Unsheltered",3,"2009-2010"
"Eastvale Elem","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Eastvale Elem","F","Asian-Cambodian","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","F","Asian-Chinese","Temporarily Doubled Up",4,"2009-2010"
"Eastvale Elem","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","F","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Eastvale Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","F","Hispanic","Temporarily Doubled Up",11,"2009-2010"
"Eastvale Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","F","White","Temporarily Doubled Up",4,"2009-2010"
"Eastvale Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Eastvale Elem","M","Asian-Chinese","Temporarily Doubled Up",3,"2009-2010"
"Eastvale Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","M","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Eastvale Elem","M","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Eastvale Elem","M","Hispanic","Temporarily Doubled Up",21,"2009-2010"
"Eastvale Elem","M","White","Temporarily Doubled Up",6,"2009-2010"
"Eisenhower Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","F","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","F","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Eisenhower Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Eisenhower Elem","F","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"Eisenhower Elem","F","White","Temporarily Doubled Up",19,"2009-2010"
"Eisenhower Elem","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Eisenhower Elem","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Eisenhower Elem","M","Black or African American","Temporarily Doubled Up",5,"2009-2010"
"Eisenhower Elem","M","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Eisenhower Elem","M","Hispanic","Temporarily Doubled Up",13,"2009-2010"
"Eisenhower Elem","M","White","Temporarily Doubled Up",19,"2009-2010"
"El Cerrito Middle","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"El Cerrito Middle","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"El Cerrito Middle","F","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"El Cerrito Middle","F","Filipino","Temporarily Doubled Up",2,"2009-2010"
"El Cerrito Middle","F","Hispanic","Hotels/motels",2,"2009-2010"
"El Cerrito Middle","F","Hispanic","Temporarily Doubled Up",18,"2009-2010"
"El Cerrito Middle","F","Pac Islander-Hawaiian","Temporarily Doubled Up",2,"2009-2010"
"El Cerrito Middle","F","White","Hotels/motels",1,"2009-2010"
"El Cerrito Middle","F","White","Temporarily Doubled Up",8,"2009-2010"
"El Cerrito Middle","F","White","Temporarily Unsheltered",2,"2009-2010"
"El Cerrito Middle","M","American Indian/Alaskan Native","Hotels/motels",1,"2009-2010"
"El Cerrito Middle","M","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"El Cerrito Middle","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"El Cerrito Middle","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"El Cerrito Middle","M","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"El Cerrito Middle","M","Hispanic","Temporarily Doubled Up",14,"2009-2010"
"El Cerrito Middle","M","White","Temporarily Doubled Up",7,"2009-2010"
"El Cerrito Middle","M","White","Temporarily Unsheltered",1,"2009-2010"
"Eleanor Roosevelt High","F","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Eleanor Roosevelt High","F","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"Eleanor Roosevelt High","F","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Eleanor Roosevelt High","F","Asian-Laotian","Temporarily Doubled Up",1,"2009-2010"
"Eleanor Roosevelt High","F","Asian-Other","Temporarily Doubled Up",2,"2009-2010"
"Eleanor Roosevelt High","F","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Eleanor Roosevelt High","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Eleanor Roosevelt High","F","Hispanic","Temporarily Doubled Up",11,"2009-2010"
"Eleanor Roosevelt High","F","White","Temporarily Doubled Up",8,"2009-2010"
"Eleanor Roosevelt High","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Eleanor Roosevelt High","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Eleanor Roosevelt High","M","Hispanic","Hotels/motels",1,"2009-2010"
"Eleanor Roosevelt High","M","Hispanic","Temporarily Doubled Up",23,"2009-2010"
"Eleanor Roosevelt High","M","White","Hotels/motels",1,"2009-2010"
"Eleanor Roosevelt High","M","White","Temporarily Doubled Up",3,"2009-2010"
"Foothill Elem","F","Asian-Japanese","Temporarily Doubled Up",2,"2009-2010"
"Foothill Elem","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2009-2010"
"Foothill Elem","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","F","Black or African American","Temporary Shelters",1,"2009-2010"
"Foothill Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","F","Hispanic","Temporarily Doubled Up",30,"2009-2010"
"Foothill Elem","F","White","Temporarily Doubled Up",19,"2009-2010"
"Foothill Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Asian-Asian Indian","Temporarily Doubled Up",4,"2009-2010"
"Foothill Elem","M","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Foothill Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Foothill Elem","M","Hispanic","Temporarily Doubled Up",47,"2009-2010"
"Foothill Elem","M","White","Temporarily Doubled Up",25,"2009-2010"
"Garretson Elem","F","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Garretson Elem","F","Hispanic","Hotels/motels",3,"2009-2010"
"Garretson Elem","F","Hispanic","Temporarily Doubled Up",66,"2009-2010"
"Garretson Elem","F","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Garretson Elem","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Garretson Elem","F","White","Hotels/motels",3,"2009-2010"
"Garretson Elem","F","White","Temporarily Doubled Up",9,"2009-2010"
"Garretson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Garretson Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Garretson Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Garretson Elem","M","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Garretson Elem","M","Black or African American","Temporary Shelters",1,"2009-2010"
"Garretson Elem","M","Hispanic","Temporarily Doubled Up",55,"2009-2010"
"Garretson Elem","M","Hispanic","Temporarily Unsheltered",3,"2009-2010"
"Garretson Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Garretson Elem","M","White","Hotels/motels",1,"2009-2010"
"Garretson Elem","M","White","Temporarily Doubled Up",9,"2009-2010"
"George Washington Elem","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"George Washington Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"George Washington Elem","F","Hispanic","Temporarily Doubled Up",11,"2009-2010"
"George Washington Elem","F","White","Temporarily Doubled Up",1,"2009-2010"
"George Washington Elem","F","White","Temporarily Unsheltered",1,"2009-2010"
"George Washington Elem","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"George Washington Elem","M","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"George Washington Elem","M","Hispanic","Temporarily Doubled Up",13,"2009-2010"
"George Washington Elem","M","White","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","F","Asian-Asian Indian","Temporarily Doubled Up",3,"2009-2010"
"Harada Elem","F","Asian-Asian Indian","Temporary Shelters",2,"2009-2010"
"Harada Elem","F","Asian-Chinese","Temporarily Doubled Up",2,"2009-2010"
"Harada Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","F","Asian-Vietnamese","Temporarily Doubled Up",2,"2009-2010"
"Harada Elem","F","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Harada Elem","F","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","F","Filipino","Temporarily Doubled Up",2,"2009-2010"
"Harada Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Harada Elem","F","Hispanic","Temporarily Doubled Up",27,"2009-2010"
"Harada Elem","F","Pac Islander -Samoan","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","F","White","Temporarily Doubled Up",7,"2009-2010"
"Harada Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","M","Asian-Asian Indian","Temporary Shelters",2,"2009-2010"
"Harada Elem","M","Asian-Chinese","Temporarily Doubled Up",4,"2009-2010"
"Harada Elem","M","Asian-Hmong","Temporarily Doubled Up",1,"2009-2010"
"Harada Elem","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
