LEAK_ID,RPT_TYPE,RPT_DATE,ADDRESS,MAIN_ST,CROSS_ST,PIPE_SIZE,PIPE_TYPE,YR_INST,TWENTIES,PLR_INST,LEAK_TYPE,LEAK_QUANT,ANOD_INST,COAT_TYPE,COAT_COND,SOIL_TYPE,FOREMAN,WSM_NBR,REPAIR_HRS,MAN_HRS,REMARKS,LAT,LON
61651,MAIN,12/11/11,801 CENTRAL AVE,11' E/W CENTRAL AVE,40' S/N 8TH ST,24,C.I.,1903,0,4057,SPLIT,1,,,,,VALENZUELA,124-213,23.5,151.5,"INSTALLED 30' OF 24"" D.I. PIPE 2-MECH COUPLINGS 8 LOADS OF SAND SLURRY, 13 LOADS OF SAND SLURRY. BARRICADED LEFT JOB SAFE.",34.03369206,-118.2433343
63826,MAIN,10/10/12,1201 6TH ST,24' NN 6TH ST,15' EW LUCAS AV,,C.I.,1903,0,4369,RUST HOLE,1,,,,,CHESTERTON,132-207,3,9,,34.05491719,-118.263704
64010,MAIN,11/8/12,207 LUCAS AVE,72' S/N SECOND ST,19' E/W LUCAS AVE,12,,1903,0,4317,CORP,1,,,,,SMITH,134-207,4,12,REPAIRED LEAK ON OLD MAIN (FROM BLOWN OLD CORP VAVLE),34.06074726,-118.2601201
64368,MAIN,2/4/13,245 LUCAS AVE,95' N/N MIRAMAR ST,19' E/W LUCAS AVE,12,,1903,0,4318,CLAMP,1,,,,,SMITH,134-207,7,28,LEAK ON OLD MAIN DURNING NEW MAIN INSTALLATION.,34.05932594,-118.2610275
65497,MAIN,5/15/13,1033 W ALPINE ST,15' NS W ALPINE ST,210' WW CENTENNIAL ST,6,C.I.,1903,0,3946,ROUND CRACK,1,,,VERY BAD,,PRECIADO,136-213,,,THIS MAIN IS IN VERY BAD SHAPE. FOUND ROUND CRACK INSTALLED 1- 360 DEGREE REPAIR CLAMP. BACKFILLED & TEMP. MAIN HAS VERY BAD OUTER CORROSION.,34.06551216,-118.2473619
63480,MAIN,8/23/12,931 INDIANA AVE (IN ALLEY),8' NS VERNON CT,210' EE DILLON CT,6,POLY,1904,0,10507,,1,,,,SAND SLURRY,SCHWEINBOLD,112-147,9,27,"REPLACED CHEAP 6""X 1"" CLAMP WITH NEW ONE. FLUSHED SERV. BACKFILL TO BOTTOM OF BROKEN 8"" SEWER MAIN BELL (LESS 24"") PLATED WITH 8X 4 CHOCKED, WEDGED PLATE. CONED OFF SPOIL.",33.99991355,-118.4625863
64214,MAIN,1/3/13,730 E 17TH ST,300' E/E SAN PEDRO ST,21' N/S 17TH ST,4,C.I.,1904,0,5155,ROUND CRACK,1,,,,,HOOVER,122-210,4.5,13.5,"REPAIRED LEAK ON 4"" CI MAIN REPAIRED W/ 4X 8 360 DEGREE CLAMP, BACKFILLED, TEMP ASPHALT, CLEAN UP, LEFT SITE SAFE.",34.0286101,-118.2554908
43033,MAIN,3/29/10,2970 8TH ST.,,214' E/E VERMONT AVE.,4,C.I.,1905,0,7558,RUST HOLE,1,,,,,SOLIS,132-198,,,"CONTRATOR, TAKE CARE OF BACKFILL AND PAVING.",34.05768203,-118.2907859
41379,MAIN,6/30/10,2910 W. 8TH ST.,20' W. 8TH ST.,200' W/W WESTMORLAND,4,C.I.,1905,0,50130,SPLIT,1,,,,,PRECIADO,132-198,7.5,15,"FOUND SMALL SPLIT ON 4"" MAIN. MAIN IS LOCATED DIRECTLY UNDER FIBER OPTIC LINE.",34.05768669,-118.2898419
60206,MAIN,6/29/11,2870 W. 8TH ST,30' N/S W. 8TH ST,30' E/E WESTMORELAND AVE,4,C.I.,1905,0,7516,"RUST HOLE, SPLIT",1,,,POOR,CLAY,CHESTERTON,132-198,6.5,13,CUT IN 4' D.I. PIPE. FOUND SMALL HOLE AND SPLIT.,34.05769148,-118.2888732
60207,MAIN,6/29/11,2960 W. 8TH ST,VARIABLE N/S W. 8TH ST,200' E/E VERMONT AVE,4,C.I.,1905,0,7558,SPLIT,1,,,,CLAY,F. PRECIADO,132-198,8,16,"FOUND 4' SPLIT ON 4"" CI MAIN. CUT IN 4' DI PIPE AND TWO 360 DEGREE REPAIR CLAMPS. HAD 1"" CLEARANCE OVER POWER CONDUIT. BACKFILL WITH CON ROCK.",34.0576818,-118.2908333
63250,MAIN,7/2/12,711 S OLIVE ST,160' SS 7TH ST,29' EW OLIVE ST,8,C.I.,1905,0,7391,SPLIT,1,,,,,UNGSON,128-210,10.5,37,"FOUND SPLIT ON TOP OF 8"" C.I. MAIN; CUT IN 5' OF NEW 8"" C.I. PIPE & (2)-8"" MECHANICAL COUPLINGS; BACKFILLED W/CONROCK TEMP. OIL; CLEANED UP - SITE SAFE!",34.04619324,-118.2559696
64293,MAIN,3/16/13,2910 W 8TH ST,30' N/W 8TH ST,91' W/W WESTMORELAND,4,C.I.,1905,0,50130,SPLIT,1,,,,,HOOVER,132-198,9,18,REPLACED 11' OF CI W/ DI BACKFILLED TEMP ASPHALT LEFT SITE SAFE.,34.05768845,-118.2894863
65834,MAIN,8/17/13,2914 W 8TH ST,30' NS W 8TH ST,170' WW WESTMORELAND,4,C.I.,1905,0,50130,SPLIT,1,,,BAD,CLAY,PRECIADO,132-198,8,16,"FOUND SMALL LEAK ON TOP OF 4"" MAIN. DIRECTLY UNDER CABLE TV. INSTALLED 1- 360 DEGREE REPAIR CLAMP. BACKFILLED & TEMP",34.05768718,-118.2897409
65540,MAIN,9/4/13,905 N SOTO ST,92' SS BARLOW ST,,8,,1905,0,7366,CORRODE BAILS,1,,,,,SOLIS,130-225,10,30,"DRILL HOLES/ INVESTIGATE/ FOUND LK./ BROKE OUT (16"" THICK ST.) CORRODE BAILS/ REPAIR; STOP LK./ BACKFILL & TEMP. LEFT JOB SITE CLEAN & SAFE.",34.05229079,-118.2043691
41755,MAIN,1/23/10,4084 7TH ST,17 S/N PROPERTY,106 E/E NORTON AVE,4,C.I.,1906,0,9357,,1,,,,,T BLACK,134-189,9,18,"SET UP TRAFFIC, MADE SITE SAFE. LOCATE LEAK BREAK AND CG FOUND CORP SEPERATED FROM MAIN. PUT ON VENTED CLAMP NEW CORP RECONNECT COPPER BACKFILL CLEAN-UP MAKE SITE SAFE.",34.0599183,-118.3171304
60899,MAIN,9/6/11,1200 W 8TH ST,29' W/W GARLAND,20' N/S W 8TH ST,4,C.I.,1906,0,8735,"CLAMP, SPLIT",1,,,POOR,CLAY,CHESTERTON,130-204,,,"FOUND SM SPLIT INTO BELL, CUT OUT BELL, 360 DEGREE REPAIR CLAMP AND OLD CORP, MAIN IN VERY POOR CONDITION.",34.04964508,-118.2678577
65544,MAIN,9/11/13,601 N ALVARADO ST,78' NN BELLEVUE AVE,24' EW ALVARADO ST,6,C.I.,1906,0,23516,SPLIT,1,,,,,HOOVER,138-207,12,31.5,"REPAIRED LEAK ON 6"" CI MAIN. BACKFILLED TEM[ ASPHALT, CLEAN UP. PROPERTY DAMAGE AT 601 N ALVARADO DUE TO MAIN BREAK ""WATER DAMAGE""",34.07318332,-118.2662281
43024,MAIN,3/1/10,HARVARD BL.,20' E/W HARVARD BL.,282' S/S WILSHIRE BL.,4,C.I.,1907,0,,ROUND CRACK,1,,,,CLAY,ROGERS,134-195,,,"INVESTIGATED SMALL LEAK. FOUND SMALL ROUND CRACK, REPAIRED WITH 360 REPAIR CLAMP. BACKFILLED, TAMPED, OILED, LEFT JOB SAFE.",34.0608425,-118.304204
41487,MAIN,7/31/10,1517 W. 12TH PL.,20' N/S 12TH PL.,278' W/W VALENCIA AVE.,4,C.I.,1907,0,10428,SPLIT,1,,,RUST,,CHESTERTON,128-204,,,"FOUND 30' SPLIT ON BOTTOM 4"" C.I. CUT OUT BELL, INSTALLED 60"" D.I. 3""-4"" OF RUST SURROUNDING PIPE.",34.04503448,-118.2756366
41433,MAIN,8/18/10,244 W 53RD ST,W 53RD ST,,6,C.I.,1907,0,9765,RUST HOLE,1,,,,,F.PRECNDO,110-201,7.5,7.5,CONTRACTOR PUT DRILL HOLE IN MAIN TO VERIFY IF IT WAS LIVE. INSTALLED SERVICE CLAMP AND PLUG TO  REPAIR.,33.99417537,-118.2776453
41416,MAIN,9/8/10,134 W. 56TH ST,20' N/S 56TH ST,356' W/W MAIN ST,6,C.I.,1907,0,9981,CORP. VLV.,1,,,,,SOLIS,108-204,,,"COPPER BURN AT TAIL PIECE AN D3/4"" CORP VLV. LEAKING AND SWEATING AT 6"" W.M. INSERT.",33.99146568,-118.2752407
41720,MAIN,9/23/10,134 W. 56TH ST.,,358' W/W MAIN ST.,6,C.I.,1907,0,9981,,1,,,,SANDY,MCCALL,108-204,7,13,"UPON ARRIVAL FOUND WATER COMING FROM PATCH IN STREET SET UP TRAFFIC CONES, INVESTIGATED REMOVED ASPHALT & EXCAVATED FOUND LEAK ON CLAMP, STOPPED LEAK.",33.99146564,-118.2752486
43505,MAIN,3/22/11,671 S HARVARD BLVD,,293 S/S WILSHIRE BLVD,4,C.I.,1907,0,10432,SPLIT,1,,,,ADOBE,R.MCCALL,134-195,7,14,"UPON ARRIVAL, PARKED TRUCK, SET UP TRAFFIC DELINEATION AND HIGH RISE, INVESTIGATED LEAK, BROKE OUT AND EXCAVATED. FOUND SMALL SPLIT ON 4"" CAST IRON. PLACED REPAIR CLAMP OVER LEAK.",34.06077836,-118.3042038
61868,MAIN,2/8/12,254 E. 43RD PL,,451' W/W CROCKER,4,C.I.,1907,0,10984,,1,,,,,SCHAMBER,114-204,3,6,"1/2"" CORP VALVE BADLY CORRODED AND LEAKING. REPAIRED WITH 360 REPAIR CLAMP.",34.00473207,-118.2700907
62897,MAIN,3/14/12,1231 GRAMERCY PL,26' EW GRAMERCY PL,308' NN PICO BLVD,4,C.I.,1907,0,9776,,1,,,THICK,SANDY LOAM,SCHWEINBOLD,128-192,8.5,24.5,"REPAIRED 4"" CI WATER MAIN WITH CLAMP. BACKFILLED, TAMPED, & OILED. HELP MAKE PICK-UP.",34.0481688,-118.313088
63825,MAIN,10/7/12,202 W 45TH ST,120' NS W 45TH ST,579' ES BROADWAY,4,C.I.,1907,0,10824,,1,,,OK,SANDY,PRECIADO,112-204,7,14,"FOUND SPLIT ON 4"" MAIN FROM SER. CORP. REPLACE 4FT OF PIPE & RETAP SERV. BACKFILLED & TEMP.",34.00284755,-118.2763236
64231,MAIN,1/14/13,140 N CARONDELET ST,,168' N/N BEVERLY BLVD,4,C.I.,1907,0,9118,"RUST HOLE, SPLIT",1,,,,,SOLIS,136-204,7,14,"DRILL HOLES; FOUND LEAK; BROKE OUT; EXCAVATE; EXPOSE AND REPAIR (INSTALL 3'-6"" OF 4"" D.I.) BACKFILL & TEMP W/ OIL LEFT SAFE & CLEAN.",34.06924906,-118.2746925
65222,MAIN,6/21/13,2626 PASADENA AVE.,24' W/E PASADENA AVE.,210' N/N AVE. 26,6,C.I.,1907,0,9610,SPLIT,1,,,,,S. HOOVER,140-222,8,16,"REPAIRED LEAK ON 6"" C.I. MAIN CUT IN 5' OF D.I. BACKFILLED, TEMP ASPHALT, CLEAN UP, LEFT SITE SAFE.",34.07713219,-118.2154323
41867,MAIN,2/26/10,51 PARK AVE,10' S/N PARK AVE,2' W/W PACIFIC AVE,2,STEEL,1908,0,68721,JOINT,1,,,,,JIMENEZ,108-141,24,,"FOUND LEAK ON 2"" STEEL MAIN. COMPLETED REPAIRS.",33.99226061,-118.4759987
41214,MAIN,10/27/10,117 BROOKS AVE,E/W BROOKS ALLEY,63' N/S ROYAL CT,2,STEEL,1908,0,68728,,1,,,,,JIMENEZ,108-144,4.5,28.5,"FOUND SPLIT ON 2"" STL. WM WITH 1 - 1"" GALVANIZED SERVICE, REPAIRS COMPLETE & RENEW SERVICE. BACKFILLED OILED CLEAN UP JOB SITE SAFE.",33.99209953,-118.4750429
42562,MAIN,11/15/10,303 BROOKS AVE,81' N/N BROOKS AVE,20' E/W DOUGLAS PL,2,STEEL,1908,0,68862,RUST HOLE,1,,,,B,T.SMITH,108-144,5,10,"LOCATED LEAK, DUG OUT, MULTIPLE LEAKS, INSTALLED 2 2""X8"" CLAMP. BACKFILLED. NEED PICK UP AND TEMP OIL.",33.99334422,-118.4733066
43598,MAIN,1/10/11,51 PARK AVE.,N/S PARK AVE.,32' W/W PACIFIC AVE,2,STEEL,1908,0,68721,RUST HOLE,1,,,,,SPEARS,108-141,4,8,"REPAIRED 2"" STEEL MAIN LEAK WITH 2""X8"" 360 CLAMP.",33.99220491,-118.4760759
43502,MAIN,3/18/11,2628 N BROADWAY,21' N/S BROADWAY,46' E/E WORKMAN,24,C.I.,1908,0,11339,RUST HOLE,1,,,,,D.MATCHIE,138-222,16.5,66,"EXCAVATION WILL BE SAW CUT AND PAVED TO CONCRETE GUTTER. 24"" BLOW OUT",34.07358575,-118.2141094
63323,MAIN,7/13/12,49 PALOMA,10' S/N PALOMA,87' W/W PACIFIC AVE,2,STEEL,1908,0,68721,,1,,,BAD,SAND,HUGHES,110-141,8,16,"EXCAVATED BY HAND. EXTENSIVE CLEAN UP NO PAVING, OR PICK UP REQUIRED.",33.99418173,-118.4778568
63549,MAIN,8/19/12,303 BROOKS AVE (LEAK ON DOUGLAS PL),8' WE DOUGLAS PL,,2,STEEL,1908,0,68862,RUST HOLE,1,,,THICK,CLAYISH,SCHWEINBOLD,108-144,6,18,"REPAIRED VERY PITTED 2"" STEEL WATER MAIN WITH CLAMP. BACKFILLED, TAMPED, & OILED. HELP MAKE PICK-UP.",33.99315411,-118.4731631
63530,MAIN,9/7/12,37 PARK AVE,N/S PARK AVE,172' EE SPEEDWAY,2,STEEL,1908,0,68721,RUST HOLE,1,,,NONE,SAND,SPEARS,108-141,5,10,"REPAIRED LEAK ON 2"" STEEL MAIN WITH 2""X 8"" 360 DEGREE CLAMP.",33.99189447,-118.4765534
63607,MAIN,9/12/12,447 S BONNIE BRAE ST,99' SS MARYLAND ST,20' EW BONNIE BRAE ST,10,C.I.,1908,0,12141,SPLIT,1,,,NONE,C,GLOVER,134-204,11.5,82.5,"REPLACED 9' OF 10"" PIPE. BACKFILLED WITH SLURRY, PLATED JOB SAFE.",34.05988569,-118.2715292
63904,MAIN,12/30/12,723 2ND ST,15' EW GANEY ST,12' SN 2ND ST,8,C.I.,1908,0,11686,,1,,,OK,SANDY,PRECIADO,128-216,5,10,"FOUND ROUND CRACK ON 8"" MAIN. INSTALL 360 DEGREE REPAIR CLAMP CONROCK BACKFILLED & TEMP.",34.0472178,-118.2351828
65367,MAIN,7/24/13,2703 WHITTER BLVD.,24' N/S WHITTER BLVD.,21' E/E ORME AVE.,8,C.I.,1908,0,11137,,1,,,,,F. PRECIADO,124-222,7.5,22.5,"8"" MAIN BLOW OUT. CUT IN 8' OF 8"" C.I. PIPE. BACKFILLED WITH CON ROCK & TEMP. BUS PAD AND ASPH., SOME STREET DAMAGE ON ORME AVE.",34.03252389,-118.2116722
65545,MAIN,9/11/13,1931 W 6TH ST,30' WE WESTLAKE AVE,57' NN W 6TH ST,8,OTHER,1908,0,53746,"CLAMP, COUPLING",1,,,,CLAY,PRECIADO,132-204,7.5,15,"REPLACE BAILS  ON 2"" SERVICE & RECONNECTED SERVICE. CUT IN 2' OF 2"" COPPER & INSTALLED NEW SERVICE CLAMP.",34.05917924,-118.2734414
66919,MAIN,1/13/14,112 DUDLEY AVE,81' EE PACIFIC AVE,2' NS DUDLEY CT,2,C.I.,1908,0,68721,RUPTURE,1,,,,,JIMENEZ,110-141,8,16,"FOUND RUPTURE ON 2"" CI WATER MAIN, CUT IN BRASS PIPE, BACKFILLED, TEMP OIL, CLEAN UP, JOB SITE SAFE. NO PAVING NEEDED VERY BAD STREET.",33.99481985,-118.4779672
66922,MAIN,1/22/14,DUDLEY CT/ MAIN ST,5' NS DUDLEY CT,35' EW MAIN ST,2,STEEL,1908,0,68721,RUST HOLE,1,,,,,SALDIVAR,110-141,8.5,17,"MADE REPAIRS ON A 2"" STEEL MAIN LEAK (2-LEAKS)",33.99510125,-118.4772071
40999,MAIN,7/19/10,1201 ARLINGTON,20' E/W ARLINGTON,35' S/N 12 ST,6,C.I.,1909,0,13194,RUST HOLE,1,,,,,C.KIRKWOOD,130-189,9,18,EXCAVATED. MADE REPAIRS. INSTALLED SERVICE CLAMP.,34.04914005,-118.3167908
41183,MAIN,10/19/10,1251 ARLINGTON AVE.,15' E/W ARLINGTON AVE.,193' N/N PICO BL,6,,1909,0,13194,CORP,1,,,,,HUGHES,128-189,5,10,"PULLED CORP. REPAIRED WITH 360 DEGREE REPAIR CLAMP, NO BACKFILL, PLATED (SERVICE TAP IN EXCAVATION).",34.04778364,-118.3173787
42727,MAIN,12/18/10,1411 MENLO AVE,17 E/W MENLO AVE,450 S/S PICO BLVD,6,C.I.,1909,0,12972,SPLIT,1,,,OK,CLAY,F.PRECIADO,128-198,10,42,"HAD A 6"" MAIN BLOW OUT. INSTALLED 9' 6"" DI PIPE AND 2 6"" DRESSERS ALSO REN A 1"" COPPER SERVICE. BACKFILLED WITH CONROCK AND BARRICADED RAIN.",34.04591781,-118.2904773
61914,MAIN,9/14/11,5101 21ST,22' S/N 21ST ST,234' W/W ORANGE DR,4,C.I.,1909,0,21480,SPLIT,1,,,ZERO,CLAY,C.BARRAGAN,126-180,3,9,FOUND SMALL SPLIT. WHILE CLEANING IT THE MAIN RUPTURED HAVE MAIN SHUT OFF TO MAKE REPAIR,34.03902748,-118.3513271
61367,MAIN,11/18/11,707 N. ROSEMONT AV,24' NN CLINTON ST,20' EW ROSEMONT AV,6,C.I.,1909,0,12360,RUST HOLE,1,,,,,BUSTILLO,138-204,7.5,22.5,6 INCH MAIN LEAK WITH SERVICE LEAK LOCATED NEAR RUPTURE IN PIPE. WE REPLACED 5 1/2 FEET OF PIPE AND RETAPPED SERVICE SAME LOCATION.,34.07467915,-118.2675977
65498,MAIN,5/17/13,2200 N FIGUEROA ST,34' EW AVENUE 26,32' SN FIGUEROA ST,12,STEEL,1909,0,103955,RUST HOLE,1,,,,CLAY,ARIAS,142-219,16,94,"EXCAVATED AND FOUND SMALL HOLE ON 12"" STEEL MAIN OF THE 24"". HAD WELDER WELD A WELDNECK OVER SCREWPIN. BACKFILLED AND LEFT SAFE THE JOB SITE.",34.08401361,-118.2226875
66775,MAIN,6/20/14,1601 MALTMAN AVE.,20' E/W MALTMAN AVE.,294' N/N SUNSET BLVD.,6,C.I.,1909,0,12637,SPLIT,1,,,,,S. HOOVER,144-204,8,16,"REPAIRED LEAK ON 6"" C.I. MAIN. BACKFILLED, TEMP ASPHALT, CLEAN UP, LEFT SITE SAFE.",34.09065514,-118.2763525
41839,MAIN,3/5/10,900 N BROADWAY AVE,15 WE N BROADWAY AVE,8 N/N COLLEGE ST,40,STEEL,1910,0,13659,SEAM RIVITS,1,,,,ADOBE,C.RUBIO,134-213,18,126,"FOUND LEAK ON 40"" RIVITED STEEL WATER MAIN. WELDERS REPAIRED WITH 4X4.5 PIECE OF STEEL PLATE",34.06408502,-118.2373404
43031,MAIN,3/21/10,BONNIE BRAE,20' E/W BONNIE BRAE,357' S/S COURT ST.,4,C.I.,1910,0,14143,RUST HOLE,1,,,,CLAY,PRECIADO,136-207,8,16,"4"" MAIN BLOWOUT. REPLACE 4' OF 4"" PIPE AND RETAP TWO 1"" SERVICES. ALSO REMOVED OLD D.S.I. BACKFILLED.",34.06731878,-118.2668911
43042,MAIN,10/20/10,946 SPENCE ST.,20' E/W SPENCE ST.,77' S/S SISKIYOU ST.,6,C.I.,1910,0,14345,"RUST HOLE, SPLIT",1,,,POOR,ADOBE,CHESTERTON,120-225,,,"FOUND CORP. BLOWN WITH SPLIT FROM 6"" MAIN, CUT IN 48"" PIECE D.I. AND MADE 1"" TAP AND HOOKED UP SERVICE.",34.02540746,-118.1993639
61197,MAIN,10/11/11,600 BUNKER HILL,38' S/S CESAR CHAVEZ,20' W/E BUNKER HILL,8,,1910,0,13990,RUPTURE,1,,,,,CHESTERTON,134-213,10.5,21,MADE CUT AND PLUG 3' N/S LINE CESAR CHAVEZ TILL NEW MAIN IS INSTALLED IN THE FUTURE.,34.06105553,-118.2448102
61361,MAIN,11/9/11,300 N BONNIE BRAE,36' NN COURT,23' EW BONNIE BRAE,4,C.I.,1910,0,14143,ROUND CRACK,1,,,,,REYES,136-207,2,10,"ARRIVED TO MAINLINE JOB SITE, FOUND WATER IN TRENCH, PUMP OUT WATER & FOUND LEAK SOURCE, EXCAVATED AROUND OLD MAIN, FOUND ROUND CRACK & INSTALLED 360 CLAMP, BACKFILLED WITH SLURRY.",34.0684194,-118.2661975
63219,MAIN,8/13/12,635 N BUNKER HILL,15' E/W BUNKER HILL AVE,117' S/S BARTLETT ST,12,C.I.,1910,0,13989,LEAK ON VLV ABANDON SERVICE,1,,,,,GLOVER,134-213,2,4,SHUT OFF CORP VLV. @ MAIN. SERVICE RETAPPED TO NEW MAIN.,34.06222085,-118.2444416
64015,MAIN,11/16/12,839 BARTLETT ST,93' E/E FIGUEROA ST,25' N/S BARTLETT ST,12,C.I.,1910,0,13985,CLAMP,1,,,,,INGSON,134-213,8,16,"BROKE OUT / EXCAVATED DOWN TO 12"" C.I. MAIN; FOUND LEAKING DCI CLAMP; CUT IT OUT & INSTALLED 1.5""X 12"" SADD;E & A PLUG; BACKFILLED W/CONROCK; TEMP. OIL; CLEANED UP; LEFT SITE SAFE! SYS 619 CD 1",34.06321752,-118.2454639
