LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TRACY OKIDA,JOHN Y WONG,JOHN MORRIS,B E MANYERE,KRISH KUMAR,NESTOR VALENCIA,JEFFREY PRANG,OMAR HAROON,FRANK DIAZ JR,YVONNE AUSTIN,SANDY SUN,JOHN LOEW
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,45,196,81,25,38,229,183,86,304,63,58,55
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,0,4,4,0,6,1,3,1,0,1,1,5
CITY OF INDUSTRY,N,103,TOTAL,32,0,4,4,0,6,1,3,1,0,1,1,5
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,62,235,223,53,84,134,891,1520,309,319,139,184
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,51,171,190,40,93,82,402,746,236,343,151,201
CITY OF INGLEWOOD,N,55170,TOTAL,8342,113,406,413,93,177,216,1293,2266,545,662,290,385
CITY OF IRWINDALE,N,939,POLLING PLACE,75,0,1,2,0,0,8,7,10,21,1,1,7
CITY OF IRWINDALE,N,0,VBM PORTION,61,0,2,4,0,1,1,7,2,26,4,4,2
CITY OF IRWINDALE,N,939,TOTAL,135,0,3,6,0,1,9,14,12,47,5,5,9
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,26,88,428,15,102,23,269,100,35,40,62,92
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,57,180,451,19,103,17,300,150,66,52,100,137
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,83,268,879,34,205,40,569,250,101,92,162,229
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,6,48,75,6,31,3,39,24,23,19,11,53
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,12,89,73,5,25,5,71,36,19,21,13,42
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,18,137,148,11,56,8,110,60,42,40,24,95
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,66,347,288,39,146,81,268,137,191,94,105,216
CITY OF LA MIRADA,N,0,VBM PORTION,2428,61,284,232,34,148,47,289,111,161,121,191,194
CITY OF LA MIRADA,N,27147,TOTAL,4843,127,631,520,73,294,128,557,248,352,215,296,410
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,32,43,49,8,67,74,122,49,175,36,109,57
CITY OF LA PUENTE,N,0,VBM PORTION,740,21,42,53,10,48,41,87,35,128,41,51,54
CITY OF LA PUENTE,N,15802,TOTAL,1699,53,85,102,18,115,115,209,84,303,77,160,111
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,51,162,372,65,92,50,427,239,151,80,89,206
CITY OF LA VERNE,N,0,VBM PORTION,2109,50,114,285,57,90,30,329,141,130,104,93,178
CITY OF LA VERNE,N,20532,TOTAL,4568,101,276,657,122,182,80,756,380,281,184,182,384
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,139,470,531,51,132,95,486,398,524,201,214,399
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,121,381,422,43,93,69,438,278,472,270,289,371
CITY OF LAKEWOOD,N,48358,TOTAL,8638,260,851,953,94,225,164,924,676,996,471,503,770
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,222,557,717,72,233,172,670,330,285,267,255,755
CITY OF LANCASTER,N,0,VBM PORTION,6128,245,502,716,85,226,110,859,368,280,318,346,840
CITY OF LANCASTER,N,73718,TOTAL,11514,467,1059,1433,157,459,282,1529,698,565,585,601,1595
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,33,78,57,14,27,50,122,126,95,44,40,53
CITY OF LAWNDALE,N,0,VBM PORTION,697,28,57,67,10,16,18,79,72,74,48,52,57
CITY OF LAWNDALE,N,13398,TOTAL,1522,61,135,124,24,43,68,201,198,169,92,92,110
CITY OF LOMITA,N,11237,POLLING PLACE,1073,41,136,132,10,21,28,138,64,64,55,98,113
CITY OF LOMITA,N,0,VBM PORTION,1050,40,107,118,8,30,14,100,57,57,73,140,96
CITY OF LOMITA,N,11237,TOTAL,2122,81,243,250,18,51,42,238,121,121,128,238,209
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,768,2145,3173,389,863,850,2587,1408,1830,1259,1899,3282
CITY OF LONG BEACH,N,0,VBM PORTION,25748,672,1988,3016,273,768,462,2731,1213,1368,1365,1990,3464
CITY OF LONG BEACH,N,254779,TOTAL,52664,1440,4133,6189,662,1631,1312,5318,2621,3198,2624,3889,6746
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,3706,13121,23228,1837,4620,5464,25535,13131,9447,5651,7283,8444
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,3598,12519,18378,1466,4280,2917,20953,8456,7124,6126,8892,9306
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,7304,25640,41606,3303,8900,8381,46488,21587,16571,11777,16175,17750
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,16,36,53,17,16,88,114,106,199,59,53,39
CITY OF LYNWOOD,N,0,VBM PORTION,754,6,28,41,8,21,38,99,60,151,78,49,50
CITY OF LYNWOOD,N,24503,TOTAL,1711,22,64,94,25,37,126,213,166,350,137,102,89
CITY OF MALIBU,N,9097,POLLING PLACE,1202,19,45,204,13,47,10,181,47,28,54,71,104
CITY OF MALIBU,N,0,VBM PORTION,1236,25,51,193,9,26,5,157,47,35,53,91,111
CITY OF MALIBU,N,9097,TOTAL,2437,44,96,397,22,73,15,338,94,63,107,162,215
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,60,225,697,24,75,31,427,135,83,115,209,239
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,63,206,594,20,75,30,427,124,75,117,263,267
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,123,431,1291,44,150,61,854,259,158,232,472,506
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,6,22,22,2,6,50,77,23,130,16,17,14
CITY OF MAYWOOD,N,0,VBM PORTION,258,4,9,16,2,2,24,52,11,75,13,9,8
CITY OF MAYWOOD,N,8324,TOTAL,708,10,31,38,4,8,74,129,34,205,29,26,22
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,40,114,331,45,94,33,254,159,90,82,83,134
CITY OF MONROVIA,N,0,VBM PORTION,1919,45,118,276,56,82,21,248,137,78,84,92,131
CITY OF MONROVIA,N,20047,TOTAL,3752,85,232,607,101,176,54,502,296,168,166,175,265
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,95,253,165,23,89,169,308,90,398,74,121,95
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,115,195,125,8,70,77,230,92,237,50,117,100
CITY OF MONTEBELLO,N,28939,TOTAL,3924,210,448,290,31,159,246,538,182,635,124,238,195
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,173,473,156,14,58,71,263,107,308,77,167,67
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,256,574,170,14,50,43,288,103,233,80,221,94
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,429,1047,326,28,108,114,551,210,541,157,388,161
CITY OF NORWALK,N,47546,POLLING PLACE,2626,68,263,204,46,189,240,340,159,353,112,111,196
CITY OF NORWALK,N,0,VBM PORTION,2657,72,258,189,29,181,115,333,123,288,135,198,233
CITY OF NORWALK,N,47546,TOTAL,5277,140,521,393,75,370,355,673,282,641,247,309,429
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,208,428,610,79,223,228,630,326,392,223,230,714
CITY OF PALMDALE,N,0,VBM PORTION,5361,212,409,490,65,199,145,637,274,346,282,347,886
CITY OF PALMDALE,N,69762,TOTAL,10378,420,837,1100,144,422,373,1267,600,738,505,577,1600
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,22,135,295,7,30,14,141,75,20,38,99,100
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,34,168,284,4,40,25,216,94,32,48,123,126
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,56,303,579,11,70,39,357,169,52,86,222,226
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,11,41,49,11,29,83,127,108,195,57,42,42
CITY OF PARAMOUNT,N,0,VBM PORTION,648,13,31,54,5,11,21,82,60,114,28,39,47
CITY OF PARAMOUNT,N,19999,TOTAL,1576,24,72,103,16,40,104,209,168,309,85,81,89
CITY OF PASADENA,N,78446,POLLING PLACE,7034,182,364,1509,191,283,141,1104,554,380,234,247,285
CITY OF PASADENA,N,0,VBM PORTION,8408,215,547,1510,162,361,105,1224,531,377,335,369,448
CITY OF PASADENA,N,78446,TOTAL,15431,397,911,3019,353,644,246,2328,1085,757,569,616,733
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,53,170,99,16,85,257,291,117,441,66,82,123
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,38,154,87,13,80,123,232,54,324,86,67,121
CITY OF PICO RIVERA,N,32447,TOTAL,3746,91,324,186,29,165,380,523,171,765,152,149,244
CITY OF POMONA,N,57598,POLLING PLACE,3541,121,445,323,47,139,206,342,244,476,198,181,292
CITY OF POMONA,N,0,VBM PORTION,3368,125,348,304,36,139,114,386,191,297,215,181,358
CITY OF POMONA,N,57598,TOTAL,6909,246,793,627,83,278,320,728,435,773,413,362,650
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,110,366,706,27,110,40,420,226,105,132,301,315
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,150,431,744,25,126,22,545,258,125,184,452,376
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,260,797,1450,52,236,62,965,484,230,316,753,691
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,113,356,727,32,134,61,591,211,174,195,406,362
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,126,419,655,46,134,59,571,192,183,286,551,440
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,239,775,1382,78,268,120,1162,403,357,481,957,802
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,6,26,49,3,10,2,29,10,6,9,17,13
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,6,27,38,0,1,6,39,20,3,8,15,13
CITY OF ROLLING HILLS,N,1510,TOTAL,537,12,53,87,3,11,8,68,30,9,17,32,26
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,28,134,153,11,17,4,100,43,23,22,46,54
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,23,107,121,4,19,8,107,47,15,36,87,72
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,51,241,274,15,36,12,207,90,38,58,133,126
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,35,204,92,10,21,58,116,81,191,54,71,56
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,45,245,82,10,29,40,135,68,143,51,127,60
CITY OF ROSEMEAD,N,20579,TOTAL,2488,80,449,174,20,50,98,251,149,334,105,198,116
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,44,139,337,62,89,31,279,191,137,89,80,177
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,40,162,254,57,66,24,273,120,149,98,114,167
CITY OF SAN DIMAS,N,21257,TOTAL,3989,84,301,591,119,155,55,552,311,286,187,194,344
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,13,44,57,5,17,60,84,45,120,28,25,43
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,17,31,33,9,12,38,86,22,70,16,22,43
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,30,75,90,14,29,98,170,67,190,44,47,86
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,49,173,206,12,33,28,140,97,142,51,88,64
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,54,224,111,8,20,27,135,77,115,57,117,59
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,103,397,317,20,53,55,275,174,257,108,205,123
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,22,83,221,6,14,4,86,67,31,10,48,27
CITY OF SAN MARINO,N,0,VBM PORTION,1161,13,135,254,4,23,10,98,54,62,23,102,50
CITY OF SAN MARINO,N,8559,TOTAL,1956,35,218,475,10,37,14,184,121,93,33,150,77
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,261,1617,1399,114,241,252,1352,559,395,302,365,954
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,425,1716,1508,133,351,237,1560,681,532,527,618,1397
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,686,3333,2907,247,592,489,2912,1240,927,829,983,2351
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,8,85,45,4,45,47,84,27,84,40,37,66
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,6,58,33,5,44,29,85,21,84,25,39,40
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,14,143,78,9,89,76,169,48,168,65,76,106
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,183,350,1534,92,245,112,1708,404,311,352,736,398
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,128,337,1112,60,203,47,1214,261,213,296,631,352
CITY OF SANTA MONICA,N,62632,TOTAL,16552,311,687,2646,152,448,159,2922,665,524,648,1367,750
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,20,60,247,27,43,18,169,95,46,32,34,75
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,18,75,223,21,47,11,183,82,25,34,35,66
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,38,135,470,48,90,29,352,177,71,66,69,141
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,25,90,101,11,19,28,90,46,39,43,53,91
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,23,69,66,3,22,14,95,19,27,41,62,85
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,48,159,167,14,41,42,185,65,66,84,115,176
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,6,9,18,6,23,33,61,29,110,17,9,24
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,7,32,24,2,28,20,52,12,44,9,32,24
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,13,41,42,8,51,53,113,41,154,26,41,48
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,21,86,109,15,37,196,270,173,463,70,71,79
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,33,54,63,10,26,73,184,74,281,58,64,75
CITY OF SOUTH GATE,N,35773,TOTAL,3018,54,140,172,25,63,269,454,247,744,128,135,154
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,50,161,417,44,92,36,285,147,88,55,88,80
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,57,199,355,33,47,14,239,99,74,39,108,70
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,107,360,772,77,139,50,524,246,162,94,196,150
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,47,208,174,15,31,33,204,112,129,55,116,90
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,38,266,143,7,18,15,203,85,112,61,162,75
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,85,474,317,22,49,48,407,197,241,116,278,165
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,560,1316,1667,112,341,146,1469,558,447,502,1110,1011
CITY OF TORRANCE,N,0,VBM PORTION,11369,655,1152,1177,80,283,100,1151,407,415,571,1266,1073
CITY OF TORRANCE,N,83037,TOTAL,23394,1215,2468,2844,192,624,246,2620,965,862,1073,2376,2084
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,0,1,2,0,2,1,0,0,1,1,0,3
CITY OF VERNON,N,60,TOTAL,16,0,1,2,0,2,1,0,0,1,1,0,3
CITY OF WALNUT,N,18002,POLLING PLACE,1247,38,134,170,34,81,23,105,96,112,45,60,97
CITY OF WALNUT,N,0,VBM PORTION,1658,48,254,160,44,68,16,164,73,108,78,132,117
CITY OF WALNUT,N,18002,TOTAL,2905,86,388,330,78,149,39,269,169,220,123,192,214
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,117,292,486,51,123,130,462,301,578,162,175,248
CITY OF WEST COVINA,N,0,VBM PORTION,3945,127,390,417,54,130,100,433,212,561,201,232,281
CITY OF WEST COVINA,N,53486,TOTAL,7643,244,682,903,105,253,230,895,513,1139,363,407,529
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,25,72,238,29,32,27,1180,65,57,68,139,61
