LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
CITY OF INDUSTRY,N,103,TOTAL,32,1,0,3,0,0,0,0,6,19,0,0,1,1,0,0
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,74,79,4139,32,20,5,17,112,92,6,81,8,18,34,6
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,54,71,2715,37,25,9,14,121,101,4,80,3,13,18,4
CITY OF INGLEWOOD,N,55170,TOTAL,8342,128,150,6854,69,45,14,31,233,193,10,161,11,31,52,10
CITY OF IRWINDALE,N,939,POLLING PLACE,75,5,0,41,2,1,0,2,7,5,0,1,1,3,1,2
CITY OF IRWINDALE,N,0,VBM PORTION,61,1,0,40,0,0,1,0,3,11,0,0,1,1,1,0
CITY OF IRWINDALE,N,939,TOTAL,135,6,0,81,2,1,1,2,10,16,0,1,2,4,2,2
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,7,7,718,2,21,2,22,566,235,0,6,1,9,4,1
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,7,14,1016,4,49,2,36,714,361,2,2,4,15,11,6
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,14,21,1734,6,70,4,58,1280,596,2,8,5,24,15,7
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,5,3,127,1,2,0,5,175,98,0,2,1,1,6,0
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,3,4,157,5,7,2,11,218,111,2,0,9,5,4,1
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,8,7,284,6,9,2,16,393,209,2,2,10,6,10,1
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,25,18,893,6,37,2,31,736,489,6,10,40,18,20,7
CITY OF LA MIRADA,N,0,VBM PORTION,2428,15,38,945,11,42,5,54,695,432,10,15,39,18,23,2
CITY OF LA MIRADA,N,27147,TOTAL,4843,40,56,1838,17,79,7,85,1431,921,16,25,79,36,43,9
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,35,7,595,6,14,2,10,101,73,6,20,20,11,13,2
CITY OF LA PUENTE,N,0,VBM PORTION,740,18,10,457,0,18,1,6,87,72,2,11,11,7,6,2
CITY OF LA PUENTE,N,15802,TOTAL,1699,53,17,1052,6,32,3,16,188,145,8,31,31,18,19,4
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,18,9,881,5,31,4,35,784,534,9,24,25,21,21,3
CITY OF LA VERNE,N,0,VBM PORTION,2109,20,16,851,2,30,2,41,579,420,6,20,31,16,13,6
CITY OF LA VERNE,N,20532,TOTAL,4568,38,25,1732,7,61,6,76,1363,954,15,44,56,37,34,9
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,45,10,1988,30,138,16,75,1111,848,10,26,11,33,38,10
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,24,18,1956,37,142,3,96,902,708,8,35,6,25,31,14
CITY OF LAKEWOOD,N,48358,TOTAL,8638,69,28,3944,67,280,19,171,2013,1556,18,61,17,58,69,24
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,67,37,1720,18,67,45,147,1527,1294,32,126,32,61,34,9
CITY OF LANCASTER,N,0,VBM PORTION,6128,45,52,2078,31,106,59,164,1791,1295,17,116,29,69,71,19
CITY OF LANCASTER,N,73718,TOTAL,11514,112,89,3798,49,173,104,311,3318,2589,49,242,61,130,105,28
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,35,27,455,5,8,3,5,147,82,5,21,4,8,9,1
CITY OF LAWNDALE,N,0,VBM PORTION,697,9,32,395,4,13,0,13,101,63,3,9,2,7,9,0
CITY OF LAWNDALE,N,13398,TOTAL,1522,44,59,850,9,21,3,18,248,145,8,30,6,15,18,1
CITY OF LOMITA,N,11237,POLLING PLACE,1073,7,1,443,4,19,12,20,248,246,1,15,9,8,12,0
CITY OF LOMITA,N,0,VBM PORTION,1050,6,9,482,1,18,8,21,227,187,2,6,9,13,23,3
CITY OF LOMITA,N,11237,TOTAL,2122,13,10,925,5,37,20,41,475,433,3,21,18,21,35,3
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,601,181,15062,118,283,76,270,4441,2906,209,646,307,275,346,71
CITY OF LONG BEACH,N,0,VBM PORTION,25748,305,183,14573,86,404,40,296,4816,3091,129,349,195,177,280,44
CITY OF LONG BEACH,N,254779,TOTAL,52664,906,364,29635,204,687,116,566,9257,5997,338,995,502,452,626,115
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,4195,1189,99411,502,1116,366,1081,20209,11754,482,2332,753,943,2372,394
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,2078,1228,89363,502,1726,251,1351,19548,11408,436,1488,545,912,1695,290
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,6273,2417,188774,1004,2842,617,2432,39757,23162,918,3820,1298,1855,4067,684
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,37,5,716,6,10,2,11,47,45,0,20,7,5,6,1
CITY OF LYNWOOD,N,0,VBM PORTION,754,17,6,577,13,5,4,3,36,31,0,15,2,2,7,2
CITY OF LYNWOOD,N,24503,TOTAL,1711,54,11,1293,19,15,6,14,83,76,0,35,9,7,13,3
CITY OF MALIBU,N,9097,POLLING PLACE,1202,20,6,677,0,24,4,5,242,106,6,6,2,12,39,2
CITY OF MALIBU,N,0,VBM PORTION,1236,10,6,666,9,31,7,11,295,107,1,2,5,6,11,1
CITY OF MALIBU,N,9097,TOTAL,2437,30,12,1343,9,55,11,16,537,213,7,8,7,18,50,3
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,24,14,1769,2,28,17,49,1021,407,8,7,12,17,37,10
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,26,17,1738,3,59,13,57,1028,412,6,17,10,18,20,7
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,50,31,3507,5,87,30,106,2049,819,14,24,22,35,57,17
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,27,5,332,2,4,0,1,16,16,0,12,3,3,6,0
CITY OF MAYWOOD,N,0,VBM PORTION,258,14,1,186,1,2,1,2,14,8,0,12,1,1,3,0
CITY OF MAYWOOD,N,8324,TOTAL,708,41,6,518,3,6,1,3,30,24,0,24,4,4,9,0
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,16,13,832,4,11,6,14,477,334,3,31,23,12,14,6
CITY OF MONROVIA,N,0,VBM PORTION,1919,20,13,955,9,31,3,19,401,299,14,24,12,15,18,5
CITY OF MONROVIA,N,20047,TOTAL,3752,36,26,1787,13,42,9,33,878,633,17,55,35,27,32,11
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,71,30,1395,14,25,9,19,248,151,2,41,27,32,23,6
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,30,35,1108,9,13,4,13,247,135,3,25,20,14,14,2
CITY OF MONTEBELLO,N,28939,TOTAL,3924,101,65,2503,23,38,13,32,495,286,5,66,47,46,37,8
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,40,19,1387,19,52,5,20,312,239,4,26,19,13,28,6
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,28,17,1644,23,54,9,32,363,253,8,24,9,19,15,5
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,68,36,3031,42,106,14,52,675,492,12,50,28,32,43,11
CITY OF NORWALK,N,47546,POLLING PLACE,2626,92,23,1406,13,28,11,34,389,289,6,47,71,53,41,10
CITY OF NORWALK,N,0,VBM PORTION,2657,47,39,1429,10,51,4,57,449,284,7,47,43,39,32,8
CITY OF NORWALK,N,47546,TOTAL,5277,139,62,2835,23,79,15,91,838,573,13,94,114,92,73,18
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,68,37,2040,16,51,53,112,1218,982,21,98,38,43,60,17
CITY OF PALMDALE,N,0,VBM PORTION,5361,48,39,2096,15,77,47,142,1368,1021,29,113,35,86,64,15
CITY OF PALMDALE,N,69762,TOTAL,10378,116,76,4136,31,128,100,254,2586,2003,50,211,73,129,124,32
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,0,2,535,0,10,8,20,504,177,2,8,5,2,2,1
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,9,10,673,1,22,6,34,644,285,3,1,5,9,3,7
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,9,12,1208,1,32,14,54,1148,462,5,9,10,11,5,8
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,32,3,651,1,8,4,8,101,58,2,19,4,2,6,3
CITY OF PARAMOUNT,N,0,VBM PORTION,648,9,3,415,2,12,1,13,76,57,0,9,1,7,6,1
CITY OF PARAMOUNT,N,19999,TOTAL,1576,41,6,1066,3,20,5,21,177,115,2,28,5,9,12,4
CITY OF PASADENA,N,78446,POLLING PLACE,7034,129,30,4374,18,50,7,39,1220,626,11,138,52,28,92,8
CITY OF PASADENA,N,0,VBM PORTION,8408,105,47,5028,16,87,11,57,1676,814,23,96,69,40,71,10
CITY OF PASADENA,N,78446,TOTAL,15431,234,77,9402,34,137,18,96,2896,1440,34,234,121,68,163,18
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,69,28,1350,7,16,7,22,187,163,4,43,28,25,27,6
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,47,17,1087,8,20,1,24,165,137,8,43,13,22,19,0
CITY OF PICO RIVERA,N,32447,TOTAL,3746,116,45,2437,15,36,8,46,352,300,12,86,41,47,46,6
CITY OF POMONA,N,57598,POLLING PLACE,3541,127,25,1939,10,21,4,88,455,469,14,119,35,48,45,9
CITY OF POMONA,N,0,VBM PORTION,3368,63,21,1861,23,44,5,58,546,457,11,67,17,42,42,9
CITY OF POMONA,N,57598,TOTAL,6909,190,46,3800,33,65,9,146,1001,926,25,186,52,90,87,18
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,34,19,1573,12,35,19,58,1322,539,7,21,10,12,30,3
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,16,37,1912,11,71,18,109,1546,664,9,14,14,20,33,7
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,50,56,3485,23,106,37,167,2868,1203,16,35,24,32,63,10
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,60,21,2303,10,37,24,57,1176,624,20,24,15,29,44,13
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,40,30,2572,10,94,17,111,1146,684,10,37,18,51,65,18
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,100,51,4875,20,131,41,168,2322,1308,30,61,33,80,109,31
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,1,4,58,1,2,2,14,133,42,0,2,1,1,0,0
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,0,0,81,0,2,1,2,120,43,0,1,0,1,1,1
CITY OF ROLLING HILLS,N,1510,TOTAL,537,1,4,139,1,4,3,16,253,85,0,3,1,2,1,1
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,6,0,277,3,9,7,8,294,171,5,3,0,7,2,1
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,4,10,366,2,16,6,25,311,115,5,3,2,7,8,1
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,10,10,643,5,25,13,33,605,286,10,6,2,14,10,2
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,25,11,723,10,27,4,9,137,116,7,32,11,5,12,0
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,8,14,797,14,22,0,16,146,106,2,20,10,6,9,0
CITY OF ROSEMEAD,N,20579,TOTAL,2488,33,25,1520,24,49,4,25,283,222,9,52,21,11,21,0
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,9,9,740,2,20,9,40,579,485,5,21,36,12,12,7
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,14,19,784,3,35,5,32,544,375,7,16,32,13,13,2
CITY OF SAN DIMAS,N,21257,TOTAL,3989,23,28,1524,5,55,14,72,1123,860,12,37,68,25,25,9
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,36,6,347,3,7,0,5,77,73,8,22,8,12,13,0
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,15,5,287,2,5,1,3,55,50,0,11,7,5,6,3
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,51,11,634,5,12,1,8,132,123,8,33,15,17,19,3
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,23,12,646,11,31,6,20,261,185,0,14,13,8,6,4
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,7,10,734,12,27,2,26,206,143,1,13,5,7,12,1
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,30,22,1380,23,58,8,46,467,328,1,27,18,15,18,5
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,3,7,302,0,10,7,7,285,136,2,3,3,1,2,2
CITY OF SAN MARINO,N,0,VBM PORTION,1161,5,12,445,5,40,1,15,364,184,3,3,10,5,6,1
CITY OF SAN MARINO,N,8559,TOTAL,1956,8,19,747,5,50,8,22,649,320,5,6,13,6,8,3
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,73,63,3077,9,90,25,108,3440,2390,37,92,27,66,51,18
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,73,84,4542,26,176,14,199,3850,2895,61,86,40,113,93,22
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,146,147,7619,35,266,39,307,7290,5285,98,178,67,179,144,40
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,16,4,364,2,3,1,10,100,99,1,13,16,6,5,1
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,5,3,328,7,7,2,6,103,70,1,13,16,2,5,1
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,21,7,692,9,10,3,16,203,169,2,26,32,8,10,2
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,214,23,6749,17,116,23,40,952,418,22,71,15,65,211,10
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,109,23,5012,22,134,19,49,888,404,19,33,18,45,131,13
CITY OF SANTA MONICA,N,62632,TOTAL,16552,323,46,11761,39,250,42,89,1840,822,41,104,33,110,342,23
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,17,4,616,2,10,0,2,278,180,4,11,12,7,7,1
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,12,5,567,0,22,0,10,302,131,4,7,5,5,0,2
