LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
CITY OF BEVERLY HILLS,N,21718,POLLING PLACE,2084,12,120,83,135,10,1130,223,44
CITY OF BEVERLY HILLS,N,0,VBM PORTION,2475,18,157,63,180,4,1354,348,31
CITY OF BEVERLY HILLS,N,21718,TOTAL,4555,30,277,146,315,14,2484,571,75
CITY OF BRADBURY,N,599,POLLING PLACE,66,0,8,3,9,0,16,27,0
CITY OF BRADBURY,N,0,VBM PORTION,67,2,4,0,9,0,19,23,4
CITY OF BRADBURY,N,599,TOTAL,133,2,12,3,18,0,35,50,4
CITY OF BURBANK,N,60155,POLLING PLACE,4654,61,262,234,389,57,2236,976,104
CITY OF BURBANK,N,0,VBM PORTION,4858,53,228,234,354,39,2264,1157,85
CITY OF BURBANK,N,60155,TOTAL,9510,114,490,468,743,96,4500,2133,189
CITY OF CALABASAS,N,14914,POLLING PLACE,1455,7,82,48,103,8,717,309,37
CITY OF CALABASAS,N,0,VBM PORTION,1873,13,116,51,131,9,907,434,25
CITY OF CALABASAS,N,14914,TOTAL,3327,20,198,99,234,17,1624,743,62
CITY OF CARSON,N,52903,POLLING PLACE,5087,91,241,337,140,60,3139,417,120
CITY OF CARSON,N,0,VBM PORTION,4089,68,222,244,129,36,2620,402,64
CITY OF CARSON,N,52903,TOTAL,9175,159,463,581,269,96,5759,819,184
CITY OF CERRITOS,N,31594,POLLING PLACE,2778,36,306,145,156,25,1168,650,27
CITY OF CERRITOS,N,0,VBM PORTION,3286,42,451,127,161,25,1433,641,44
CITY OF CERRITOS,N,31594,TOTAL,6062,78,757,272,317,50,2601,1291,71
CITY OF CLAREMONT,N,22235,POLLING PLACE,2882,22,209,97,142,12,1636,514,62
CITY OF CLAREMONT,N,0,VBM PORTION,2652,19,138,84,148,17,1422,559,42
CITY OF CLAREMONT,N,22235,TOTAL,5533,41,347,181,290,29,3058,1073,104
CITY OF COMMERCE,N,6256,POLLING PLACE,444,9,24,51,11,10,234,29,14
CITY OF COMMERCE,N,0,VBM PORTION,247,0,14,23,4,3,152,18,3
CITY OF COMMERCE,N,6256,TOTAL,686,9,38,74,15,13,386,47,17
CITY OF COMPTON,N,43063,POLLING PLACE,3022,46,58,227,61,59,2067,72,88
CITY OF COMPTON,N,0,VBM PORTION,1873,26,35,140,15,24,1378,52,35
CITY OF COMPTON,N,43063,TOTAL,4894,72,93,367,76,83,3445,124,123
CITY OF COVINA,N,26090,POLLING PLACE,2040,37,161,108,163,13,784,560,49
CITY OF COVINA,N,0,VBM PORTION,1877,24,144,110,139,20,752,502,33
CITY OF COVINA,N,26090,TOTAL,3913,61,305,218,302,33,1536,1062,82
CITY OF CUDAHY,N,6697,POLLING PLACE,376,11,25,54,12,5,176,32,15
CITY OF CUDAHY,N,0,VBM PORTION,164,5,4,22,0,2,86,11,8
CITY OF CUDAHY,N,6697,TOTAL,539,16,29,76,12,7,262,43,23
CITY OF CULVER CITY,N,26286,POLLING PLACE,3601,25,138,146,91,29,2337,389,109
CITY OF CULVER CITY,N,0,VBM PORTION,3120,15,140,104,83,24,2020,384,57
CITY OF CULVER CITY,N,26286,TOTAL,6708,40,278,250,174,53,4357,773,166
CITY OF DIAMOND BAR,N,31476,POLLING PLACE,2646,23,287,131,229,17,943,684,47
CITY OF DIAMOND BAR,N,0,VBM PORTION,3067,37,365,138,216,20,1126,811,25
CITY OF DIAMOND BAR,N,31476,TOTAL,5711,60,652,269,445,37,2069,1495,72
CITY OF DOWNEY,N,54713,POLLING PLACE,5841,126,464,460,383,59,2281,1242,147
CITY OF DOWNEY,N,0,VBM PORTION,3452,49,258,238,211,27,1380,864,55
CITY OF DOWNEY,N,54713,TOTAL,9292,175,722,698,594,86,3661,2106,202
CITY OF DUARTE,N,11742,POLLING PLACE,960,21,85,52,50,13,415,225,27
CITY OF DUARTE,N,0,VBM PORTION,1099,24,82,70,60,9,490,257,21
CITY OF DUARTE,N,11742,TOTAL,2059,45,167,122,110,22,905,482,48
CITY OF EL MONTE,N,36036,POLLING PLACE,2322,80,195,265,132,39,1047,232,79
CITY OF EL MONTE,N,0,VBM PORTION,1885,35,199,175,99,22,935,215,44
CITY OF EL MONTE,N,36036,TOTAL,4201,115,394,440,231,61,1982,447,123
CITY OF EL SEGUNDO,N,11286,POLLING PLACE,1471,24,115,49,111,9,603,420,31
CITY OF EL SEGUNDO,N,0,VBM PORTION,1380,13,74,52,92,12,504,442,25
CITY OF EL SEGUNDO,N,11286,TOTAL,2848,37,189,101,203,21,1107,862,56
CITY OF GARDENA,N,30000,POLLING PLACE,2779,33,224,130,76,32,1632,320,49
CITY OF GARDENA,N,0,VBM PORTION,2597,44,238,173,72,37,1425,269,33
CITY OF GARDENA,N,30000,TOTAL,5358,77,462,303,148,69,3057,589,82
CITY OF GLENDALE,N,97282,POLLING PLACE,9406,122,391,443,724,90,3921,1796,212
CITY OF GLENDALE,N,0,VBM PORTION,12284,155,497,534,662,82,4869,2004,190
CITY OF GLENDALE,N,97282,TOTAL,21689,277,888,977,1386,172,8790,3800,402
CITY OF GLENDORA,N,31341,POLLING PLACE,2864,28,271,112,297,19,790,1081,56
CITY OF GLENDORA,N,0,VBM PORTION,2920,36,234,104,296,17,886,1062,39
CITY OF GLENDORA,N,31341,TOTAL,5784,64,505,216,593,36,1676,2143,95
CITY OF HAWAIIAN GARDENS,N,4701,POLLING PLACE,292,15,28,33,8,4,108,43,7
CITY OF HAWAIIAN GARDENS,N,0,VBM PORTION,317,5,31,24,17,9,131,55,8
CITY OF HAWAIIAN GARDENS,N,4701,TOTAL,606,20,59,57,25,13,239,98,15
CITY OF HAWTHORNE,N,36483,POLLING PLACE,2426,33,104,126,76,20,1471,344,43
CITY OF HAWTHORNE,N,0,VBM PORTION,2052,31,100,112,69,19,1101,394,48
CITY OF HAWTHORNE,N,36483,TOTAL,4464,64,204,238,145,39,2572,738,91
CITY OF HERMOSA BEACH,N,13450,POLLING PLACE,1706,16,136,59,120,11,853,309,38
CITY OF HERMOSA BEACH,N,0,VBM PORTION,1662,15,112,67,141,7,787,351,34
CITY OF HERMOSA BEACH,N,13450,TOTAL,3363,31,248,126,261,18,1640,660,72
CITY OF HIDDEN HILLS,N,1336,POLLING PLACE,146,0,14,3,11,0,58,47,2
CITY OF HIDDEN HILLS,N,0,VBM PORTION,128,3,5,3,18,0,41,43,0
CITY OF HIDDEN HILLS,N,1336,TOTAL,271,3,19,6,29,0,99,90,2
CITY OF HUNTINGTON PARK,N,16602,POLLING PLACE,1023,40,33,147,42,34,433,59,44
CITY OF HUNTINGTON PARK,N,0,VBM PORTION,577,18,9,62,15,9,319,53,27
CITY OF HUNTINGTON PARK,N,16602,TOTAL,1598,58,42,209,57,43,752,112,71
CITY OF INDUSTRY,N,103,POLLING PLACE,0,0,0,0,0,0,0,0,0
CITY OF INDUSTRY,N,0,VBM PORTION,35,0,7,0,6,0,7,8,0
CITY OF INDUSTRY,N,103,TOTAL,32,0,7,0,6,0,7,8,0
CITY OF INGLEWOOD,N,55170,POLLING PLACE,4916,40,78,237,61,53,3732,175,91
CITY OF INGLEWOOD,N,0,VBM PORTION,3441,39,72,161,31,32,2601,139,51
CITY OF INGLEWOOD,N,55170,TOTAL,8342,79,150,398,92,85,6333,314,142
CITY OF IRWINDALE,N,939,POLLING PLACE,75,1,6,6,4,0,32,8,5
CITY OF IRWINDALE,N,0,VBM PORTION,61,0,2,6,2,2,34,9,0
CITY OF IRWINDALE,N,939,TOTAL,135,1,8,12,6,2,66,17,5
CITY OF LA CANADA FLINTRIDGE,N,14519,POLLING PLACE,1645,14,88,46,147,5,636,554,17
CITY OF LA CANADA FLINTRIDGE,N,0,VBM PORTION,2312,16,132,61,266,11,865,737,20
CITY OF LA CANADA FLINTRIDGE,N,14519,TOTAL,3956,30,220,107,413,16,1501,1291,37
CITY OF LA HABRA HEIGHTS,N,3779,POLLING PLACE,429,8,47,13,43,5,112,169,4
CITY OF LA HABRA HEIGHTS,N,0,VBM PORTION,555,5,50,13,45,2,138,257,0
CITY OF LA HABRA HEIGHTS,N,3779,TOTAL,983,13,97,26,88,7,250,426,4
CITY OF LA MIRADA,N,27147,POLLING PLACE,2419,32,250,113,187,23,790,803,25
CITY OF LA MIRADA,N,0,VBM PORTION,2428,53,235,109,172,14,804,804,20
CITY OF LA MIRADA,N,27147,TOTAL,4843,85,485,222,359,37,1594,1607,45
CITY OF LA PUENTE,N,15802,POLLING PLACE,961,25,61,93,42,15,479,96,32
CITY OF LA PUENTE,N,0,VBM PORTION,740,8,62,71,30,10,393,100,10
CITY OF LA PUENTE,N,15802,TOTAL,1699,33,123,164,72,25,872,196,42
CITY OF LA VERNE,N,20532,POLLING PLACE,2462,30,218,75,217,25,817,845,38
CITY OF LA VERNE,N,0,VBM PORTION,2109,34,173,69,157,17,766,675,33
CITY OF LA VERNE,N,20532,TOTAL,4568,64,391,144,374,42,1583,1520,71
CITY OF LAKEWOOD,N,48358,POLLING PLACE,4517,59,327,267,281,51,1651,1372,110
CITY OF LAKEWOOD,N,0,VBM PORTION,4125,54,215,280,252,41,1590,1265,81
CITY OF LAKEWOOD,N,48358,TOTAL,8638,113,542,547,533,92,3241,2637,191
CITY OF LANCASTER,N,73718,POLLING PLACE,5393,92,424,223,659,64,1665,1695,104
CITY OF LANCASTER,N,0,VBM PORTION,6128,102,437,315,635,54,1963,2011,89
CITY OF LANCASTER,N,73718,TOTAL,11514,194,861,538,1294,118,3628,3706,193
CITY OF LAWNDALE,N,13398,POLLING PLACE,836,17,40,60,27,10,422,177,23
CITY OF LAWNDALE,N,0,VBM PORTION,697,6,45,41,23,10,359,145,10
CITY OF LAWNDALE,N,13398,TOTAL,1522,23,85,101,50,20,781,322,33
CITY OF LOMITA,N,11237,POLLING PLACE,1073,13,140,52,90,11,413,277,12
CITY OF LOMITA,N,0,VBM PORTION,1050,13,129,53,77,11,439,244,19
CITY OF LOMITA,N,11237,TOTAL,2122,26,269,105,167,22,852,521,31
CITY OF LONG BEACH,N,254779,POLLING PLACE,26922,379,1344,1616,1451,357,13789,4371,762
CITY OF LONG BEACH,N,0,VBM PORTION,25748,308,1199,1289,1330,280,13454,5255,503
CITY OF LONG BEACH,N,254779,TOTAL,52664,687,2543,2905,2781,637,27243,9626,1265
CITY OF LOS ANGELES,N,1792976,POLLING PLACE,152611,1740,6396,8496,5818,1908,90008,19260,4266
CITY OF LOS ANGELES,N,0,VBM PORTION,138617,1276,6214,6640,5689,1361,80929,20190,2788
CITY OF LOS ANGELES,N,1792976,TOTAL,291153,3016,12610,15136,11507,3269,170937,39450,7054
CITY OF LYNWOOD,N,24503,POLLING PLACE,957,15,29,137,23,16,514,64,44
CITY OF LYNWOOD,N,0,VBM PORTION,754,10,30,78,20,12,452,47,17
CITY OF LYNWOOD,N,24503,TOTAL,1711,25,59,215,43,28,966,111,61
CITY OF MALIBU,N,9097,POLLING PLACE,1202,11,66,45,77,6,625,193,43
CITY OF MALIBU,N,0,VBM PORTION,1236,5,98,40,84,9,585,226,24
CITY OF MALIBU,N,9097,TOTAL,2437,16,164,85,161,15,1210,419,67
CITY OF MANHATTAN BEACH,N,24586,POLLING PLACE,3567,7,262,114,298,20,1647,743,56
CITY OF MANHATTAN BEACH,N,0,VBM PORTION,3590,27,255,114,310,18,1544,841,47
CITY OF MANHATTAN BEACH,N,24586,TOTAL,7152,34,517,228,608,38,3191,1584,103
CITY OF MAYWOOD,N,8324,POLLING PLACE,451,16,16,67,10,10,200,39,24
CITY OF MAYWOOD,N,0,VBM PORTION,258,2,8,56,4,2,130,22,12
CITY OF MAYWOOD,N,8324,TOTAL,708,18,24,123,14,12,330,61,36
CITY OF MONROVIA,N,20047,POLLING PLACE,1846,28,114,97,104,13,752,558,34
CITY OF MONROVIA,N,0,VBM PORTION,1919,25,98,107,138,21,862,479,23
CITY OF MONROVIA,N,20047,TOTAL,3752,53,212,204,242,34,1614,1037,57
CITY OF MONTEBELLO,N,28939,POLLING PLACE,2189,48,175,200,92,34,1152,204,64
CITY OF MONTEBELLO,N,0,VBM PORTION,1739,24,154,112,60,16,977,213,31
CITY OF MONTEBELLO,N,28939,TOTAL,3924,72,329,312,152,50,2129,417,95
CITY OF MONTEREY PARK,N,27373,POLLING PLACE,2338,43,385,127,87,21,1081,260,43
CITY OF MONTEREY PARK,N,0,VBM PORTION,2684,28,436,107,93,21,1347,305,36
CITY OF MONTEREY PARK,N,27373,TOTAL,5022,71,821,234,180,42,2428,565,79
CITY OF NORWALK,N,47546,POLLING PLACE,2626,67,201,273,121,51,1121,426,77
CITY OF NORWALK,N,0,VBM PORTION,2657,62,222,250,130,33,1269,463,52
CITY OF NORWALK,N,47546,TOTAL,5277,129,423,523,251,84,2390,889,129
CITY OF PALMDALE,N,69762,POLLING PLACE,5022,98,377,254,598,70,1882,1191,90
CITY OF PALMDALE,N,0,VBM PORTION,5361,103,358,289,681,56,1950,1407,104
CITY OF PALMDALE,N,69762,TOTAL,10378,201,735,543,1279,126,3832,2598,194
CITY OF PALOS VERDES ESTATES,N,10079,POLLING PLACE,1318,9,137,28,154,7,475,370,16
CITY OF PALOS VERDES ESTATES,N,0,VBM PORTION,1772,6,196,47,183,6,581,553,15
CITY OF PALOS VERDES ESTATES,N,10079,TOTAL,3085,15,333,75,337,13,1056,923,31
CITY OF PARAMOUNT,N,19999,POLLING PLACE,929,16,35,140,30,17,437,122,27
CITY OF PARAMOUNT,N,0,VBM PORTION,648,5,27,64,33,9,311,100,19
CITY OF PARAMOUNT,N,19999,TOTAL,1576,21,62,204,63,26,748,222,46
CITY OF PASADENA,N,78446,POLLING PLACE,7034,93,362,382,290,69,4039,1162,136
CITY OF PASADENA,N,0,VBM PORTION,8408,63,457,382,385,46,4457,1684,120
CITY OF PASADENA,N,78446,TOTAL,15431,156,819,764,675,115,8496,2846,256
CITY OF PICO RIVERA,N,32447,POLLING PLACE,2074,38,111,240,82,24,1071,214,53
CITY OF PICO RIVERA,N,0,VBM PORTION,1676,32,82,159,47,14,936,173,32
CITY OF PICO RIVERA,N,32447,TOTAL,3746,70,193,399,129,38,2007,387,85
CITY OF POMONA,N,57598,POLLING PLACE,3541,59,192,248,269,40,1758,514,105
CITY OF POMONA,N,0,VBM PORTION,3368,30,242,193,252,35,1734,542,66
CITY OF POMONA,N,57598,TOTAL,6909,89,434,441,521,75,3492,1056,171
CITY OF RANCHO PALOS VERDES,N,28000,POLLING PLACE,3823,39,501,119,346,15,1425,988,53
CITY OF RANCHO PALOS VERDES,N,0,VBM PORTION,4663,46,519,121,392,20,1684,1344,53
CITY OF RANCHO PALOS VERDES,N,28000,TOTAL,8478,85,1020,240,738,35,3109,2332,106
CITY OF REDONDO BEACH,N,43528,POLLING PLACE,4611,55,461,204,331,39,2093,953,100
CITY OF REDONDO BEACH,N,0,VBM PORTION,5072,66,407,209,373,30,2330,1136,106
CITY OF REDONDO BEACH,N,43528,TOTAL,9678,121,868,413,704,69,4423,2089,206
CITY OF ROLLING HILLS,N,1510,POLLING PLACE,269,2,37,6,40,0,48,112,3
CITY OF ROLLING HILLS,N,0,VBM PORTION,273,0,34,3,29,1,68,104,2
CITY OF ROLLING HILLS,N,1510,TOTAL,537,2,71,9,69,1,116,216,5
CITY OF ROLLING HILLS ESTATES,N,5821,POLLING PLACE,815,5,125,20,61,5,241,267,11
CITY OF ROLLING HILLS ESTATES,N,0,VBM PORTION,944,7,108,20,99,8,325,278,7
CITY OF ROLLING HILLS ESTATES,N,5821,TOTAL,1754,12,233,40,160,13,566,545,18
CITY OF ROSEMEAD,N,20579,POLLING PLACE,1186,33,137,78,41,18,546,158,40
CITY OF ROSEMEAD,N,0,VBM PORTION,1302,33,163,81,65,12,648,142,17
CITY OF ROSEMEAD,N,20579,TOTAL,2488,66,300,159,106,30,1194,300,57
CITY OF SAN DIMAS,N,21257,POLLING PLACE,2045,41,198,62,163,15,677,697,32
CITY OF SAN DIMAS,N,0,VBM PORTION,1947,33,136,69,164,12,705,623,25
CITY OF SAN DIMAS,N,21257,TOTAL,3989,74,334,131,327,27,1382,1320,57
CITY OF SAN FERNANDO,N,9204,POLLING PLACE,638,20,24,81,29,7,276,92,25
CITY OF SAN FERNANDO,N,0,VBM PORTION,474,8,25,46,17,7,243,60,15
CITY OF SAN FERNANDO,N,9204,TOTAL,1110,28,49,127,46,14,519,152,40
CITY OF SAN GABRIEL,N,16269,POLLING PLACE,1287,29,155,68,83,10,541,255,28
CITY OF SAN GABRIEL,N,0,VBM PORTION,1257,21,170,53,69,4,604,199,21
CITY OF SAN GABRIEL,N,16269,TOTAL,2543,50,325,121,152,14,1145,454,49
CITY OF SAN MARINO,N,8559,POLLING PLACE,795,4,90,17,66,6,267,269,6
CITY OF SAN MARINO,N,0,VBM PORTION,1161,8,111,12,99,6,356,385,13
CITY OF SAN MARINO,N,8559,TOTAL,1956,12,201,29,165,12,623,654,19
CITY OF SANTA CLARITA,N,111849,POLLING PLACE,9825,104,708,303,780,58,3024,3983,140
CITY OF SANTA CLARITA,N,0,VBM PORTION,12712,140,812,428,910,84,4315,4779,165
CITY OF SANTA CLARITA,N,111849,TOTAL,22530,244,1520,731,1690,142,7339,8762,305
CITY OF SANTA FE SPRINGS,N,9677,POLLING PLACE,670,17,60,58,30,6,303,114,13
CITY OF SANTA FE SPRINGS,N,0,VBM PORTION,588,15,36,34,29,12,286,100,17
CITY OF SANTA FE SPRINGS,N,9677,TOTAL,1254,32,96,92,59,18,589,214,30
CITY OF SANTA MONICA,N,62632,POLLING PLACE,9353,50,355,462,319,94,6186,705,319
CITY OF SANTA MONICA,N,0,VBM PORTION,7203,46,323,307,293,56,4561,773,163
CITY OF SANTA MONICA,N,62632,TOTAL,16552,96,678,769,612,150,10747,1478,482
CITY OF SIERRA MADRE,N,8060,POLLING PLACE,1187,13,83,32,85,7,564,299,22
CITY OF SIERRA MADRE,N,0,VBM PORTION,1119,9,53,38,71,5,519,301,16
CITY OF SIERRA MADRE,N,8060,TOTAL,2296,22,136,70,156,12,1083,600,38
CITY OF SIGNAL HILL,N,6232,POLLING PLACE,779,5,40,42,41,6,417,138,22
CITY OF SIGNAL HILL,N,0,VBM PORTION,730,8,40,38,31,6,393,139,12
CITY OF SIGNAL HILL,N,6232,TOTAL,1509,13,80,80,72,12,810,277,34
CITY OF SOUTH EL MONTE,N,7299,POLLING PLACE,398,13,16,38,17,10,222,38,10
CITY OF SOUTH EL MONTE,N,0,VBM PORTION,347,8,7,31,19,7,219,25,2
CITY OF SOUTH EL MONTE,N,7299,TOTAL,745,21,23,69,36,17,441,63,12
CITY OF SOUTH GATE,N,35773,POLLING PLACE,1843,42,64,272,65,31,838,208,79
CITY OF SOUTH GATE,N,0,VBM PORTION,1176,20,47,135,34,10,617,169,38
CITY OF SOUTH GATE,N,35773,TOTAL,3018,62,111,407,99,41,1455,377,117
CITY OF SOUTH PASADENA,N,16081,POLLING PLACE,1995,35,146,81,73,12,1186,296,37
CITY OF SOUTH PASADENA,N,0,VBM PORTION,1877,30,154,50,64,11,1002,326,38
CITY OF SOUTH PASADENA,N,16081,TOTAL,3863,65,300,131,137,23,2188,622,75
CITY OF TEMPLE CITY,N,17652,POLLING PLACE,1491,22,186,60,118,14,584,360,25
CITY OF TEMPLE CITY,N,0,VBM PORTION,1538,23,203,82,88,5,634,348,11
CITY OF TEMPLE CITY,N,17652,TOTAL,3028,45,389,142,206,19,1218,708,36
CITY OF TORRANCE,N,83037,POLLING PLACE,12027,127,1575,520,934,74,4307,2989,238
CITY OF TORRANCE,N,0,VBM PORTION,11369,133,1205,423,785,64,4500,2834,187
CITY OF TORRANCE,N,83037,TOTAL,23394,260,2780,943,1719,138,8807,5823,425
CITY OF VERNON,N,60,POLLING PLACE,0,0,0,0,0,0,0,0,0
CITY OF VERNON,N,0,VBM PORTION,18,1,1,0,0,0,10,1,1
CITY OF VERNON,N,60,TOTAL,16,1,1,0,0,0,10,1,1
CITY OF WALNUT,N,18002,POLLING PLACE,1247,22,121,77,95,6,506,278,18
CITY OF WALNUT,N,0,VBM PORTION,1658,14,248,75,107,7,690,332,23
CITY OF WALNUT,N,18002,TOTAL,2905,36,369,152,202,13,1196,610,41
CITY OF WEST COVINA,N,53486,POLLING PLACE,3701,58,301,237,234,43,1572,837,98
CITY OF WEST COVINA,N,0,VBM PORTION,3945,72,356,249,222,38,1811,782,84
CITY OF WEST COVINA,N,53486,TOTAL,7643,130,657,486,456,81,3383,1619,182
CITY OF WEST HOLLYWOOD,N,24911,POLLING PLACE,2363,12,47,120,56,23,1776,100,81
CITY OF WEST HOLLYWOOD,N,0,VBM PORTION,2201,21,45,77,79,9,1676,137,38
CITY OF WEST HOLLYWOOD,N,24911,TOTAL,4563,33,92,197,135,32,3452,237,119
CITY OF WESTLAKE VILLAGE,N,6055,POLLING PLACE,727,3,49,11,83,2,294,218,5
CITY OF WESTLAKE VILLAGE,N,0,VBM PORTION,770,6,43,15,81,7,274,259,9
CITY OF WESTLAKE VILLAGE,N,6055,TOTAL,1497,9,92,26,164,9,568,477,14
CITY OF WHITTIER,N,46005,POLLING PLACE,4311,77,345,201,247,33,1789,1209,80
CITY OF WHITTIER,N,0,VBM PORTION,3748,59,279,154,208,26,1491,1137,57
CITY OF WHITTIER,N,46005,TOTAL,8056,136,624,355,455,59,3280,2346,137
UNINCORPORATED,N,520339,POLLING PLACE,43458,654,2679,2819,2723,519,20613,8447,996
UNINCORPORATED,N,0,VBM PORTION,39390,534,3011,2040,2502,353,17963,8821,666
UNINCORPORATED,N,520339,TOTAL,82731,1188,5690,4859,5225,872,38576,17268,1662
