LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
LONG BEACH,3850045J,6098,192,Y,24,POLLING PLACE,0,0,0,0
LONG BEACH,3850045J,6098,192,Y,0,VBM PORTION,7,4,3,0
LONG BEACH,3850045J,6098,192,Y,24,TOTAL,7,4,3,0
LONG BEACH,3850046A,1442,192,N,1506,POLLING PLACE,72,32,8,24
LONG BEACH,3850046A,1442,192,N,0,VBM PORTION,70,28,11,28
LONG BEACH,3850046A,1442,192,N,1506,TOTAL,142,60,19,52
LONG BEACH,3850047A,1443,192,N,1361,POLLING PLACE,52,28,7,16
LONG BEACH,3850047A,1443,192,N,0,VBM PORTION,36,13,5,17
LONG BEACH,3850047A,1443,192,N,1361,TOTAL,88,41,12,33
LONG BEACH,3850048A,1444,189,N,769,POLLING PLACE,104,43,27,31
LONG BEACH,3850048A,1444,189,N,0,VBM PORTION,98,44,24,21
LONG BEACH,3850048A,1444,189,N,769,TOTAL,202,87,51,52
LONG BEACH,3850049A,1445,192,N,1146,POLLING PLACE,82,27,14,32
LONG BEACH,3850049A,1445,192,N,0,VBM PORTION,53,22,8,20
LONG BEACH,3850049A,1445,192,N,1146,TOTAL,135,49,22,52
LONG BEACH,3850052A,1446,189,N,837,POLLING PLACE,132,43,54,22
LONG BEACH,3850052A,1446,189,N,0,VBM PORTION,132,68,36,19
LONG BEACH,3850052A,1446,189,N,837,TOTAL,264,111,90,41
LONG BEACH,3850052C,6099,189,Y,22,POLLING PLACE,0,0,0,0
LONG BEACH,3850052C,6099,189,Y,0,VBM PORTION,6,1,5,0
LONG BEACH,3850052C,6099,189,Y,22,TOTAL,6,1,5,0
LONG BEACH,3850053A,1447,192,N,1105,POLLING PLACE,105,51,17,32
LONG BEACH,3850053A,1447,192,N,0,VBM PORTION,115,43,27,40
LONG BEACH,3850053A,1447,192,N,1105,TOTAL,220,94,44,72
LONG BEACH,3850055A,1448,192,N,981,POLLING PLACE,102,41,31,26
LONG BEACH,3850055A,1448,192,N,0,VBM PORTION,127,35,43,36
LONG BEACH,3850055A,1448,192,N,981,TOTAL,229,76,74,62
LONG BEACH,3850065A,1453,192,N,984,POLLING PLACE,146,52,59,26
LONG BEACH,3850065A,1453,192,N,0,VBM PORTION,153,54,68,26
LONG BEACH,3850065A,1453,192,N,984,TOTAL,299,106,127,52
LONG BEACH,3850067B,1454,192,N,695,POLLING PLACE,113,56,39,6
LONG BEACH,3850067B,1454,192,N,0,VBM PORTION,130,56,47,23
LONG BEACH,3850067B,1454,192,N,695,TOTAL,243,112,86,29
LONG BEACH,3850070A,1456,192,N,978,POLLING PLACE,147,64,35,33
LONG BEACH,3850070A,1456,192,N,0,VBM PORTION,133,53,31,43
LONG BEACH,3850070A,1456,192,N,978,TOTAL,280,117,66,76
LONG BEACH,3850071A,1457,192,N,923,POLLING PLACE,150,67,25,47
LONG BEACH,3850071A,1457,192,N,0,VBM PORTION,101,41,21,30
LONG BEACH,3850071A,1457,192,N,923,TOTAL,251,108,46,77
LONG BEACH,3850072A,1458,192,N,1061,POLLING PLACE,101,26,20,51
LONG BEACH,3850072A,1458,192,N,0,VBM PORTION,82,28,21,27
LONG BEACH,3850072A,1458,192,N,1061,TOTAL,183,54,41,78
LONG BEACH,3850075A,1459,192,N,929,POLLING PLACE,154,55,50,43
LONG BEACH,3850075A,1459,192,N,0,VBM PORTION,112,41,34,30
LONG BEACH,3850075A,1459,192,N,929,TOTAL,266,96,84,73
LONG BEACH,3850076A,1460,192,N,927,POLLING PLACE,94,37,14,33
LONG BEACH,3850076A,1460,192,N,0,VBM PORTION,114,34,32,43
LONG BEACH,3850076A,1460,192,N,927,TOTAL,208,71,46,76
LONG BEACH,3850081A,1461,192,N,1507,POLLING PLACE,233,96,55,69
LONG BEACH,3850081A,1461,192,N,0,VBM PORTION,291,90,95,82
LONG BEACH,3850081A,1461,192,N,1507,TOTAL,524,186,150,151
LONG BEACH,3850082A,1462,192,N,753,POLLING PLACE,142,56,38,38
LONG BEACH,3850082A,1462,192,N,0,VBM PORTION,96,39,27,28
LONG BEACH,3850082A,1462,192,N,753,TOTAL,238,95,65,66
LONG BEACH,3850082B,6100,192,Y,35,POLLING PLACE,0,0,0,0
LONG BEACH,3850082B,6100,192,Y,0,VBM PORTION,5,2,0,2
LONG BEACH,3850082B,6100,192,Y,35,TOTAL,5,2,0,2
LONG BEACH,3850084A,1463,192,N,869,POLLING PLACE,155,66,35,49
LONG BEACH,3850084A,1463,192,N,0,VBM PORTION,145,57,44,39
LONG BEACH,3850084A,1463,192,N,869,TOTAL,300,123,79,88
LONG BEACH,3850085A,1464,192,N,1072,POLLING PLACE,165,71,46,41
LONG BEACH,3850085A,1464,192,N,0,VBM PORTION,168,69,37,54
LONG BEACH,3850085A,1464,192,N,1072,TOTAL,333,140,83,95
LONG BEACH,3850088A,1465,192,N,598,POLLING PLACE,62,20,6,34
LONG BEACH,3850088A,1465,192,N,0,VBM PORTION,67,29,8,26
LONG BEACH,3850088A,1465,192,N,598,TOTAL,129,49,14,60
LONG BEACH,3850091A,1466,192,N,1114,POLLING PLACE,39,15,13,9
LONG BEACH,3850091A,1466,192,N,0,VBM PORTION,43,26,8,8
LONG BEACH,3850091A,1466,192,N,1114,TOTAL,82,41,21,17
LONG BEACH,3850091C,6101,192,Y,82,POLLING PLACE,0,0,0,0
LONG BEACH,3850091C,6101,192,Y,0,VBM PORTION,7,2,3,2
LONG BEACH,3850091C,6101,192,Y,82,TOTAL,7,2,3,2
LONG BEACH,3850092A,1467,192,N,1017,POLLING PLACE,107,58,4,38
LONG BEACH,3850092A,1467,192,N,0,VBM PORTION,85,30,13,33
LONG BEACH,3850092A,1467,192,N,1017,TOTAL,192,88,17,71
LONG BEACH,3850093A,1468,192,N,710,POLLING PLACE,67,27,22,15
LONG BEACH,3850093A,1468,192,N,0,VBM PORTION,80,43,19,16
LONG BEACH,3850093A,1468,192,N,710,TOTAL,147,70,41,31
LONG BEACH,3850097A,1469,192,N,1308,POLLING PLACE,135,54,17,38
LONG BEACH,3850097A,1469,192,N,0,VBM PORTION,98,36,20,31
LONG BEACH,3850097A,1469,192,N,1308,TOTAL,233,90,37,69
LONG BEACH,3850099A,1470,192,N,1110,POLLING PLACE,116,48,19,38
LONG BEACH,3850099A,1470,192,N,0,VBM PORTION,68,33,8,24
LONG BEACH,3850099A,1470,192,N,1110,TOTAL,184,81,27,62
LONG BEACH,3850100A,1471,192,N,845,POLLING PLACE,75,40,10,22
LONG BEACH,3850100A,1471,192,N,0,VBM PORTION,57,23,6,22
LONG BEACH,3850100A,1471,192,N,845,TOTAL,132,63,16,44
LONG BEACH,3850101A,1472,192,N,1008,POLLING PLACE,92,33,13,40
LONG BEACH,3850101A,1472,192,N,0,VBM PORTION,82,29,11,40
LONG BEACH,3850101A,1472,192,N,1008,TOTAL,174,62,24,80
LONG BEACH,3850103A,1474,192,N,1015,POLLING PLACE,75,33,9,25
LONG BEACH,3850103A,1474,192,N,0,VBM PORTION,87,27,31,22
LONG BEACH,3850103A,1474,192,N,1015,TOTAL,162,60,40,47
LONG BEACH,3850108A,1475,192,N,818,POLLING PLACE,32,13,8,8
LONG BEACH,3850108A,1475,192,N,0,VBM PORTION,115,48,32,30
LONG BEACH,3850108A,1475,192,N,818,TOTAL,147,61,40,38
LONG BEACH,3850110A,1476,192,N,1607,POLLING PLACE,164,63,24,62
LONG BEACH,3850110A,1476,192,N,0,VBM PORTION,193,75,46,55
LONG BEACH,3850110A,1476,192,N,1607,TOTAL,357,138,70,117
LONG BEACH,3850113B,1477,192,N,1077,POLLING PLACE,53,23,6,18
LONG BEACH,3850113B,1477,192,N,0,VBM PORTION,56,24,9,18
LONG BEACH,3850113B,1477,192,N,1077,TOTAL,109,47,15,36
LONG BEACH,3850113D,6102,192,Y,31,POLLING PLACE,0,0,0,0
LONG BEACH,3850113D,6102,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850113D,6102,192,Y,31,TOTAL,0,0,0,0
LONG BEACH,3850117A,1478,192,N,1305,POLLING PLACE,65,20,11,28
LONG BEACH,3850117A,1478,192,N,0,VBM PORTION,73,28,16,21
LONG BEACH,3850117A,1478,192,N,1305,TOTAL,138,48,27,49
LONG BEACH,3850120A,1479,192,N,946,POLLING PLACE,118,60,13,38
LONG BEACH,3850120A,1479,192,N,0,VBM PORTION,107,40,17,46
LONG BEACH,3850120A,1479,192,N,946,TOTAL,225,100,30,84
LONG BEACH,3850122A,1480,192,N,903,POLLING PLACE,58,17,7,30
LONG BEACH,3850122A,1480,192,N,0,VBM PORTION,52,23,6,23
LONG BEACH,3850122A,1480,192,N,903,TOTAL,110,40,13,53
LONG BEACH,3850123A,1481,192,N,938,POLLING PLACE,63,23,19,18
LONG BEACH,3850123A,1481,192,N,0,VBM PORTION,43,15,11,15
LONG BEACH,3850123A,1481,192,N,938,TOTAL,106,38,30,33
LONG BEACH,3850126A,1482,192,N,624,POLLING PLACE,92,30,13,41
LONG BEACH,3850126A,1482,192,N,0,VBM PORTION,45,21,3,18
LONG BEACH,3850126A,1482,192,N,624,TOTAL,137,51,16,59
LONG BEACH,3850128A,1483,192,N,613,POLLING PLACE,27,12,2,11
LONG BEACH,3850128A,1483,192,N,0,VBM PORTION,34,12,9,11
LONG BEACH,3850128A,1483,192,N,613,TOTAL,61,24,11,22
LONG BEACH,3850133A,1484,192,N,1199,POLLING PLACE,64,30,11,17
LONG BEACH,3850133A,1484,192,N,0,VBM PORTION,66,31,8,23
LONG BEACH,3850133A,1484,192,N,1199,TOTAL,130,61,19,40
LONG BEACH,3850134A,1485,192,N,1305,POLLING PLACE,53,25,6,14
LONG BEACH,3850134A,1485,192,N,0,VBM PORTION,31,14,4,13
LONG BEACH,3850134A,1485,192,N,1305,TOTAL,84,39,10,27
LONG BEACH,3850135A,1486,192,N,1372,POLLING PLACE,146,60,22,55
LONG BEACH,3850135A,1486,192,N,0,VBM PORTION,132,49,27,48
LONG BEACH,3850135A,1486,192,N,1372,TOTAL,278,109,49,103
LONG BEACH,3850137A,1487,192,N,1253,POLLING PLACE,81,33,8,29
LONG BEACH,3850137A,1487,192,N,0,VBM PORTION,55,28,4,17
LONG BEACH,3850137A,1487,192,N,1253,TOTAL,136,61,12,46
LONG BEACH,3850138A,1488,192,N,1032,POLLING PLACE,45,18,2,18
LONG BEACH,3850138A,1488,192,N,0,VBM PORTION,41,19,4,16
LONG BEACH,3850138A,1488,192,N,1032,TOTAL,86,37,6,34
LONG BEACH,3850144A,1489,192,N,933,POLLING PLACE,31,10,2,12
LONG BEACH,3850144A,1489,192,N,0,VBM PORTION,35,16,3,14
LONG BEACH,3850144A,1489,192,N,933,TOTAL,66,26,5,26
LONG BEACH,3850145A,1490,192,N,970,POLLING PLACE,40,16,2,17
LONG BEACH,3850145A,1490,192,N,0,VBM PORTION,37,21,4,10
LONG BEACH,3850145A,1490,192,N,970,TOTAL,77,37,6,27
LONG BEACH,3850146A,1491,192,N,1146,POLLING PLACE,49,22,6,13
LONG BEACH,3850146A,1491,192,N,0,VBM PORTION,53,26,9,17
LONG BEACH,3850146A,1491,192,N,1146,TOTAL,102,48,15,30
LONG BEACH,3850147A,1492,192,N,914,POLLING PLACE,118,54,34,25
LONG BEACH,3850147A,1492,192,N,0,VBM PORTION,85,35,33,16
LONG BEACH,3850147A,1492,192,N,914,TOTAL,203,89,67,41
LONG BEACH,3850149A,1493,192,N,1126,POLLING PLACE,93,34,11,44
LONG BEACH,3850149A,1493,192,N,0,VBM PORTION,76,24,8,42
LONG BEACH,3850149A,1493,192,N,1126,TOTAL,169,58,19,86
LONG BEACH,3850151A,1494,192,N,737,POLLING PLACE,48,20,5,19
LONG BEACH,3850151A,1494,192,N,0,VBM PORTION,22,11,3,6
LONG BEACH,3850151A,1494,192,N,737,TOTAL,70,31,8,25
LONG BEACH,3850151C,1495,192,N,517,POLLING PLACE,44,16,4,10
LONG BEACH,3850151C,1495,192,N,0,VBM PORTION,27,4,8,11
LONG BEACH,3850151C,1495,192,N,517,TOTAL,71,20,12,21
LONG BEACH,3850152A,1496,192,N,886,POLLING PLACE,106,32,11,58
LONG BEACH,3850152A,1496,192,N,0,VBM PORTION,63,20,8,31
LONG BEACH,3850152A,1496,192,N,886,TOTAL,169,52,19,89
LONG BEACH,3850153A,1497,189,N,1101,POLLING PLACE,216,131,43,29
LONG BEACH,3850153A,1497,189,N,0,VBM PORTION,169,78,54,29
LONG BEACH,3850153A,1497,189,N,1101,TOTAL,385,209,97,58
LONG BEACH,3850154A,1498,192,N,544,POLLING PLACE,51,22,8,14
LONG BEACH,3850154A,1498,192,N,0,VBM PORTION,27,10,5,9
LONG BEACH,3850154A,1498,192,N,544,TOTAL,78,32,13,23
LONG BEACH,3850154B,1499,192,N,547,POLLING PLACE,24,6,6,9
LONG BEACH,3850154B,1499,192,N,0,VBM PORTION,14,4,2,6
LONG BEACH,3850154B,1499,192,N,547,TOTAL,38,10,8,15
LONG BEACH,3850156A,1500,192,N,440,POLLING PLACE,22,14,1,6
LONG BEACH,3850156A,1500,192,N,0,VBM PORTION,15,8,2,5
LONG BEACH,3850156A,1500,192,N,440,TOTAL,37,22,3,11
LONG BEACH,3850157A,1501,192,N,1215,POLLING PLACE,93,27,5,58
LONG BEACH,3850157A,1501,192,N,0,VBM PORTION,79,22,5,48
LONG BEACH,3850157A,1501,192,N,1215,TOTAL,172,49,10,106
LONG BEACH,3850158A,1502,192,N,1071,POLLING PLACE,74,35,10,27
LONG BEACH,3850158A,1502,192,N,0,VBM PORTION,53,27,10,15
LONG BEACH,3850158A,1502,192,N,1071,TOTAL,127,62,20,42
LONG BEACH,3850159A,1503,192,N,853,POLLING PLACE,24,15,1,7
LONG BEACH,3850159A,1503,192,N,0,VBM PORTION,41,18,4,15
LONG BEACH,3850159A,1503,192,N,853,TOTAL,65,33,5,22
LONG BEACH,3850163A,1504,192,N,1011,POLLING PLACE,89,40,13,30
LONG BEACH,3850163A,1504,192,N,0,VBM PORTION,95,47,15,32
LONG BEACH,3850163A,1504,192,N,1011,TOTAL,184,87,28,62
LONG BEACH,3850164A,1505,192,N,1058,POLLING PLACE,48,16,7,16
LONG BEACH,3850164A,1505,192,N,0,VBM PORTION,49,22,6,16
LONG BEACH,3850164A,1505,192,N,1058,TOTAL,97,38,13,32
LONG BEACH,3850166B,1506,192,N,1101,POLLING PLACE,73,37,10,23
LONG BEACH,3850166B,1506,192,N,0,VBM PORTION,50,16,12,19
LONG BEACH,3850166B,1506,192,N,1101,TOTAL,123,53,22,42
LONG BEACH,3850170A,1507,192,N,1322,POLLING PLACE,100,45,12,39
LONG BEACH,3850170A,1507,192,N,0,VBM PORTION,44,18,8,14
LONG BEACH,3850170A,1507,192,N,1322,TOTAL,144,63,20,53
LONG BEACH,3850171A,1508,192,N,973,POLLING PLACE,40,25,2,12
LONG BEACH,3850171A,1508,192,N,0,VBM PORTION,47,27,5,11
LONG BEACH,3850171A,1508,192,N,973,TOTAL,87,52,7,23
LONG BEACH,3850175A,1509,192,N,894,POLLING PLACE,59,28,7,23
LONG BEACH,3850175A,1509,192,N,0,VBM PORTION,66,27,9,25
LONG BEACH,3850175A,1509,192,N,894,TOTAL,125,55,16,48
LONG BEACH,3850178A,1510,192,N,899,POLLING PLACE,76,20,16,32
LONG BEACH,3850178A,1510,192,N,0,VBM PORTION,70,24,7,33
LONG BEACH,3850178A,1510,192,N,899,TOTAL,146,44,23,65
LONG BEACH,3850179A,1511,192,N,1074,POLLING PLACE,90,32,10,44
LONG BEACH,3850179A,1511,192,N,0,VBM PORTION,164,46,54,55
LONG BEACH,3850179A,1511,192,N,1074,TOTAL,254,78,64,99
LONG BEACH,3850184A,1512,192,N,789,POLLING PLACE,90,34,15,33
LONG BEACH,3850184A,1512,192,N,0,VBM PORTION,100,36,26,32
LONG BEACH,3850184A,1512,192,N,789,TOTAL,190,70,41,65
LONG BEACH,3850190A,1513,192,N,784,POLLING PLACE,79,47,5,20
LONG BEACH,3850190A,1513,192,N,0,VBM PORTION,50,23,9,17
LONG BEACH,3850190A,1513,192,N,784,TOTAL,129,70,14,37
LONG BEACH,3850198A,1514,192,N,896,POLLING PLACE,111,37,25,40
LONG BEACH,3850198A,1514,192,N,0,VBM PORTION,119,38,37,38
LONG BEACH,3850198A,1514,192,N,896,TOTAL,230,75,62,78
LONG BEACH,3850201A,1515,192,N,985,POLLING PLACE,92,30,23,34
LONG BEACH,3850201A,1515,192,N,0,VBM PORTION,130,50,31,41
LONG BEACH,3850201A,1515,192,N,985,TOTAL,222,80,54,75
LONG BEACH,3850201C,6103,192,Y,0,POLLING PLACE,0,0,0,0
LONG BEACH,3850201C,6103,192,Y,0,VBM PORTION,0,0,0,0
LONG BEACH,3850201C,6103,192,Y,0,TOTAL,0,0,0,0
LONG BEACH,3850202A,1516,192,N,1010,POLLING PLACE,76,30,11,33
LONG BEACH,3850202A,1516,192,N,0,VBM PORTION,84,33,14,35
LONG BEACH,3850202A,1516,192,N,1010,TOTAL,160,63,25,68
LONG BEACH,3850204A,1517,192,N,1431,POLLING PLACE,120,43,12,60
LONG BEACH,3850204A,1517,192,N,0,VBM PORTION,150,66,18,61
LONG BEACH,3850204A,1517,192,N,1431,TOTAL,270,109,30,121
LONG BEACH,3850209B,1518,192,N,981,POLLING PLACE,145,60,31,42
LONG BEACH,3850209B,1518,192,N,0,VBM PORTION,139,47,36,40
LONG BEACH,3850209B,1518,192,N,981,TOTAL,284,107,67,82
LONG BEACH,3850210A,1519,192,N,768,POLLING PLACE,137,50,21,63
LONG BEACH,3850210A,1519,192,N,0,VBM PORTION,132,47,23,57
LONG BEACH,3850210A,1519,192,N,768,TOTAL,269,97,44,120
LONG BEACH,3850211A,1520,192,N,791,POLLING PLACE,94,38,10,44
LONG BEACH,3850211A,1520,192,N,0,VBM PORTION,76,24,16,32
LONG BEACH,3850211A,1520,192,N,791,TOTAL,170,62,26,76
LONG BEACH,3850212A,1521,192,N,875,POLLING PLACE,105,44,20,34
LONG BEACH,3850212A,1521,192,N,0,VBM PORTION,89,34,14,36
LONG BEACH,3850212A,1521,192,N,875,TOTAL,194,78,34,70
LONG BEACH,3850213A,1522,192,N,879,POLLING PLACE,150,44,47,53
LONG BEACH,3850213A,1522,192,N,0,VBM PORTION,171,63,54,38
LONG BEACH,3850213A,1522,192,N,879,TOTAL,321,107,101,91
LONG BEACH,3850215A,1523,189,N,1539,POLLING PLACE,239,81,94,49
LONG BEACH,3850215A,1523,189,N,0,VBM PORTION,422,129,197,51
LONG BEACH,3850215A,1523,189,N,1539,TOTAL,661,210,291,100
LONG BEACH,3850216A,1524,192,N,1282,POLLING PLACE,253,95,84,62
LONG BEACH,3850216A,1524,192,N,0,VBM PORTION,216,68,75,59
LONG BEACH,3850216A,1524,192,N,1282,TOTAL,469,163,159,121
LONG BEACH,3850222B,1525,192,N,895,POLLING PLACE,105,32,25,41
LONG BEACH,3850222B,1525,192,N,0,VBM PORTION,131,59,34,29
LONG BEACH,3850222B,1525,192,N,895,TOTAL,236,91,59,70
LONG BEACH,3850223A,1526,192,N,1014,POLLING PLACE,236,105,55,67
LONG BEACH,3850223A,1526,192,N,0,VBM PORTION,152,48,45,49
LONG BEACH,3850223A,1526,192,N,1014,TOTAL,388,153,100,116
LONG BEACH,3850227A,1527,192,N,1203,POLLING PLACE,137,41,16,71
LONG BEACH,3850227A,1527,192,N,0,VBM PORTION,92,31,16,37
LONG BEACH,3850227A,1527,192,N,1203,TOTAL,229,72,32,108
LONG BEACH,3850229A,1528,192,N,733,POLLING PLACE,68,26,12,28
LONG BEACH,3850229A,1528,192,N,0,VBM PORTION,74,29,8,32
LONG BEACH,3850229A,1528,192,N,733,TOTAL,142,55,20,60
LONG BEACH,3850236A,1529,192,N,1041,POLLING PLACE,40,20,7,9
LONG BEACH,3850236A,1529,192,N,0,VBM PORTION,38,11,6,19
LONG BEACH,3850236A,1529,192,N,1041,TOTAL,78,31,13,28
LONG BEACH,3850237B,1530,192,N,672,POLLING PLACE,69,28,7,31
LONG BEACH,3850237B,1530,192,N,0,VBM PORTION,50,12,9,26
LONG BEACH,3850237B,1530,192,N,672,TOTAL,119,40,16,57
LONG BEACH,3850238A,1531,192,N,946,POLLING PLACE,57,31,3,21
LONG BEACH,3850238A,1531,192,N,0,VBM PORTION,63,26,8,27
LONG BEACH,3850238A,1531,192,N,946,TOTAL,120,57,11,48
LONG BEACH,3850239A,1532,192,N,1016,POLLING PLACE,59,20,5,27
LONG BEACH,3850239A,1532,192,N,0,VBM PORTION,86,33,17,33
LONG BEACH,3850239A,1532,192,N,1016,TOTAL,145,53,22,60
LONG BEACH,3850244A,1533,192,N,1712,POLLING PLACE,94,39,18,33
LONG BEACH,3850244A,1533,192,N,0,VBM PORTION,164,57,19,78
LONG BEACH,3850244A,1533,192,N,1712,TOTAL,258,96,37,111
LONG BEACH,3850248A,1534,192,N,793,POLLING PLACE,108,48,19,40
LONG BEACH,3850248A,1534,192,N,0,VBM PORTION,86,34,17,30
LONG BEACH,3850248A,1534,192,N,793,TOTAL,194,82,36,70
LONG BEACH,3850249A,1535,192,N,1017,POLLING PLACE,89,38,12,35
LONG BEACH,3850249A,1535,192,N,0,VBM PORTION,48,23,6,15
LONG BEACH,3850249A,1535,192,N,1017,TOTAL,137,61,18,50
LONG BEACH,3850251A,1536,192,N,886,POLLING PLACE,127,55,22,44
LONG BEACH,3850251A,1536,192,N,0,VBM PORTION,87,42,16,26
LONG BEACH,3850251A,1536,192,N,886,TOTAL,214,97,38,70
LONG BEACH,3850254A,1537,189,N,1405,POLLING PLACE,322,100,144,57
LONG BEACH,3850254A,1537,189,N,0,VBM PORTION,339,78,181,50
LONG BEACH,3850254A,1537,189,N,1405,TOTAL,661,178,325,107
LONG BEACH,3850255A,1538,189,N,1416,POLLING PLACE,252,88,111,38
LONG BEACH,3850255A,1538,189,N,0,VBM PORTION,331,75,174,52
LONG BEACH,3850255A,1538,189,N,1416,TOTAL,583,163,285,90
LONG BEACH,3850256A,1539,189,N,829,POLLING PLACE,135,46,48,36
LONG BEACH,3850256A,1539,189,N,0,VBM PORTION,147,53,63,28
LONG BEACH,3850256A,1539,189,N,829,TOTAL,282,99,111,64
LONG BEACH,3850259A,1540,189,N,1261,POLLING PLACE,225,75,97,40
LONG BEACH,3850259A,1540,189,N,0,VBM PORTION,282,99,116,37
LONG BEACH,3850259A,1540,189,N,1261,TOTAL,507,174,213,77
LONG BEACH,3850262A,1541,189,N,1434,POLLING PLACE,273,111,83,62
LONG BEACH,3850262A,1541,189,N,0,VBM PORTION,255,71,96,71
LONG BEACH,3850262A,1541,189,N,1434,TOTAL,528,182,179,133
LONG BEACH,3850264A,1542,189,N,815,POLLING PLACE,96,30,30,22
LONG BEACH,3850264A,1542,189,N,0,VBM PORTION,68,26,22,15
LONG BEACH,3850264A,1542,189,N,815,TOTAL,164,56,52,37
