LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,41
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,27
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,68
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,54
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,44
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,98
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,34
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,29
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,63
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,35
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,25
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,60
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,35
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,57
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,92
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,52
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,31
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,83
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,46
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,30
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,76
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,19
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,17
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,36
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,26
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,35
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,61
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,36
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,47
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,83
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,33
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,45
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,78
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,15
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,13
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,28
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,45
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,29
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,74
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,16
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,41
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,57
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,37
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,43
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,80
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,28
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,33
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,61
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,22
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,24
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,46
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,16
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,26
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,42
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,20
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,21
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,41
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,26
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,28
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,54
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,40
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,24
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,64
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,29
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,21
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,50
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,41
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,26
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,67
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,10
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,24
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,34
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,52
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,27
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,79
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,28
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,34
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,62
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,48
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,29
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,77
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,28
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,55
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,83
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,27
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,24
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,51
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,15
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,18
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,33
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,40
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,27
ALTADENA,0200001A,63,33,N,500,TOTAL,118,67
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,23
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,49
ALTADENA,0200002A,64,33,N,692,TOTAL,152,72
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,44
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,50
ALTADENA,0200003A,65,33,N,854,TOTAL,161,94
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,56
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,74
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,130
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,60
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,53
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,113
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,38
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,34
ALTADENA,0200008A,68,33,N,873,TOTAL,135,72
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,49
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,37
ALTADENA,0200009A,69,33,N,969,TOTAL,151,86
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,42
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,61
ALTADENA,0200011A,70,33,N,860,TOTAL,178,103
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,47
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,49
ALTADENA,0200012A,71,33,N,819,TOTAL,194,96
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,35
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,27
ALTADENA,0200013A,72,33,N,931,TOTAL,109,62
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,49
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,63
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,112
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,33
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,36
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,69
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,35
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,23
ALTADENA,0200018A,75,33,N,852,TOTAL,93,58
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,26
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,15
ALTADENA,0200019B,76,33,N,872,TOTAL,81,41
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,56
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,58
ALTADENA,0200022A,77,33,N,866,TOTAL,243,114
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,58
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,27
ALTADENA,0200025B,78,33,N,915,TOTAL,136,85
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,95
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,106
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,201
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,52
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,68
ALTADENA,0200030A,80,33,N,889,TOTAL,261,120
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,87
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,81
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,168
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,83
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,64
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,147
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,65
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,59
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,124
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,35
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,32
ALTADENA,0200044A,84,33,N,985,TOTAL,136,67
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,57
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,66
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,123
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,79
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,85
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,164
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,2
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,2
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,43
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,35
ALTADENA,0200087A,87,33,N,703,TOTAL,153,78
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,70
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,82
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,152
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,59
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,43
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,102
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,85
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,69
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,154
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,31
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,42
ARCADIA,0350001A,92,76,N,998,TOTAL,269,73
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,29
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,53
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,82
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,21
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,46
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,67
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,63
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,45
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,108
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,42
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,58
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,100
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,35
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,45
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,80
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,44
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,53
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,97
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,21
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,51
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,72
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,25
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,46
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,71
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,38
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,43
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,81
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,24
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,51
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,75
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,27
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,45
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,72
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,26
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,31
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,57
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,29
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,38
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,67
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,24
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,28
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,52
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,31
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,25
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,56
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,17
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,48
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,65
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,23
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,40
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,63
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,45
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,58
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,103
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,38
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,37
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,75
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,26
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,36
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,62
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,39
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,44
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,83
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,39
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,45
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,84
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,39
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,18
ARTESIA,0400001A,115,137,N,819,TOTAL,113,57
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,33
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,56
ARTESIA,0400002A,116,137,N,1182,TOTAL,215,89
ARTESIA,0400004A,117,137,N,1004,POLLING PLACE,89,36
ARTESIA,0400004A,117,137,N,0,VBM PORTION,66,37
ARTESIA,0400004A,117,137,N,1004,TOTAL,155,73
ARTESIA,0400006A,118,137,N,1042,POLLING PLACE,77,36
ARTESIA,0400006A,118,137,N,0,VBM PORTION,66,27
ARTESIA,0400006A,118,137,N,1042,TOTAL,143,63
ARTESIA,0400007A,119,137,N,1049,POLLING PLACE,85,35
ARTESIA,0400007A,119,137,N,0,VBM PORTION,95,42
ARTESIA,0400007A,119,137,N,1049,TOTAL,180,77
ARTESIA,0400008A,120,137,N,1154,POLLING PLACE,81,30
ARTESIA,0400008A,120,137,N,0,VBM PORTION,102,51
ARTESIA,0400008A,120,137,N,1154,TOTAL,183,81
ARTESIA,0400010C,121,137,N,1140,POLLING PLACE,59,28
ARTESIA,0400010C,121,137,N,0,VBM PORTION,99,44
ARTESIA,0400010C,121,137,N,1140,TOTAL,158,72
ATHENS,0450001A,122,178,N,1221,POLLING PLACE,64,41
ATHENS,0450001A,122,178,N,0,VBM PORTION,60,44
ATHENS,0450001A,122,178,N,1221,TOTAL,124,85
ATHENS,0450002B,123,178,N,1263,POLLING PLACE,107,67
ATHENS,0450002B,123,178,N,0,VBM PORTION,53,32
ATHENS,0450002B,123,178,N,1263,TOTAL,160,99
ATHENS,0450004A,124,178,N,1271,POLLING PLACE,85,59
ATHENS,0450004A,124,178,N,0,VBM PORTION,65,39
ATHENS,0450004A,124,178,N,1271,TOTAL,150,98
ATHENS,0450007A,125,178,N,1111,POLLING PLACE,104,73
ATHENS,0450007A,125,178,N,0,VBM PORTION,58,43
ATHENS,0450007A,125,178,N,1111,TOTAL,162,116
ATHENS,0450008A,126,178,N,600,POLLING PLACE,69,49
ATHENS,0450008A,126,178,N,0,VBM PORTION,25,14
ATHENS,0450008A,126,178,N,600,TOTAL,94,63
AVALON,0500001A,127,187,N,496,POLLING PLACE,63,22
AVALON,0500001A,127,187,N,0,VBM PORTION,55,12
AVALON,0500001A,127,187,N,496,TOTAL,118,34
AVALON,0500003A,128,187,N,1234,POLLING PLACE,127,37
AVALON,0500003A,128,187,N,0,VBM PORTION,129,47
AVALON,0500003A,128,187,N,1234,TOTAL,256,84
AVOCADO HEIGHTS,0520001A,129,123,N,1083,POLLING PLACE,80,35
AVOCADO HEIGHTS,0520001A,129,123,N,0,VBM PORTION,75,33
AVOCADO HEIGHTS,0520001A,129,123,N,1083,TOTAL,155,68
AVOCADO HEIGHTS,0520002A,130,123,N,709,POLLING PLACE,51,27
AVOCADO HEIGHTS,0520002A,130,123,N,0,VBM PORTION,20,10
AVOCADO HEIGHTS,0520002A,130,123,N,709,TOTAL,71,37
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,POLLING PLACE,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,VBM PORTION,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,TOTAL,0,0
AVOCADO HEIGHTS,0520004A,131,124,N,784,POLLING PLACE,97,39
AVOCADO HEIGHTS,0520004A,131,124,N,0,VBM PORTION,70,36
AVOCADO HEIGHTS,0520004A,131,124,N,784,TOTAL,167,75
AVOCADO HEIGHTS,0520005B,132,123,N,788,POLLING PLACE,55,25
AVOCADO HEIGHTS,0520005B,132,123,N,0,VBM PORTION,25,15
AVOCADO HEIGHTS,0520005B,132,123,N,788,TOTAL,80,40
AVOCADO HEIGHTS,0520007A,133,124,N,525,POLLING PLACE,19,10
AVOCADO HEIGHTS,0520007A,133,124,N,0,VBM PORTION,19,6
AVOCADO HEIGHTS,0520007A,133,124,N,525,TOTAL,38,16
AVOCADO HEIGHTS,0520008A,134,123,N,866,POLLING PLACE,67,22
AVOCADO HEIGHTS,0520008A,134,123,N,0,VBM PORTION,30,9
AVOCADO HEIGHTS,0520008A,134,123,N,866,TOTAL,97,31
AVOCADO HEIGHTS,0520009A,135,123,N,759,POLLING PLACE,63,16
AVOCADO HEIGHTS,0520009A,135,123,N,0,VBM PORTION,55,32
AVOCADO HEIGHTS,0520009A,135,123,N,759,TOTAL,118,48
AVOCADO HEIGHTS,0520010A,136,123,N,757,POLLING PLACE,50,24
AVOCADO HEIGHTS,0520010A,136,123,N,0,VBM PORTION,44,21
AVOCADO HEIGHTS,0520010A,136,123,N,757,TOTAL,94,45
AVOCADO HEIGHTS,0520012A,137,123,N,484,POLLING PLACE,48,21
AVOCADO HEIGHTS,0520012A,137,123,N,0,VBM PORTION,30,13
AVOCADO HEIGHTS,0520012A,137,123,N,484,TOTAL,78,34
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,POLLING PLACE,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,VBM PORTION,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,TOTAL,0,0
AVOCADO HEIGHTS,0520017A,138,123,N,582,POLLING PLACE,21,9
AVOCADO HEIGHTS,0520017A,138,123,N,0,VBM PORTION,19,9
AVOCADO HEIGHTS,0520017A,138,123,N,582,TOTAL,40,18
AZUSA,0550001A,139,66,N,624,POLLING PLACE,26,16
AZUSA,0550001A,139,66,N,0,VBM PORTION,22,8
AZUSA,0550001A,139,66,N,624,TOTAL,48,24
AZUSA,0550002A,140,66,N,790,POLLING PLACE,56,19
AZUSA,0550002A,140,66,N,0,VBM PORTION,32,9
AZUSA,0550002A,140,66,N,790,TOTAL,88,28
AZUSA,0550008A,141,66,N,1080,POLLING PLACE,95,44
AZUSA,0550008A,141,66,N,0,VBM PORTION,52,30
AZUSA,0550008A,141,66,N,1080,TOTAL,147,74
AZUSA,0550009A,142,66,N,1205,POLLING PLACE,88,32
AZUSA,0550009A,142,66,N,0,VBM PORTION,58,19
AZUSA,0550009A,142,66,N,1205,TOTAL,146,51
