LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALFONSO SANCHEZ,CONNIE M LEYVA,MATTHEW MUNSON,SHANNON O'BRIEN,SYLVIA ROBLES
POMONA,5250008B,2095,94,N,1205,POLLING PLACE,74,21,16,22,8,5
POMONA,5250008B,2095,94,N,0,VBM PORTION,61,24,15,10,5,1
POMONA,5250008B,2095,94,N,1205,TOTAL,135,45,31,32,13,6
POMONA,5250009B,2096,94,N,615,POLLING PLACE,48,10,22,2,7,6
POMONA,5250009B,2096,94,N,0,VBM PORTION,9,2,5,1,0,1
POMONA,5250009B,2096,94,N,615,TOTAL,57,12,27,3,7,7
POMONA,5250011B,2097,94,N,1206,POLLING PLACE,91,19,29,20,6,12
POMONA,5250011B,2097,94,N,0,VBM PORTION,53,19,10,15,2,3
POMONA,5250011B,2097,94,N,1206,TOTAL,144,38,39,35,8,15
POMONA,5250012A,2098,94,N,898,POLLING PLACE,40,17,8,11,1,2
POMONA,5250012A,2098,94,N,0,VBM PORTION,51,13,15,6,6,5
POMONA,5250012A,2098,94,N,898,TOTAL,91,30,23,17,7,7
POMONA,5250013A,2099,94,N,1215,POLLING PLACE,97,18,25,42,6,2
POMONA,5250013A,2099,94,N,0,VBM PORTION,121,16,37,45,11,7
POMONA,5250013A,2099,94,N,1215,TOTAL,218,34,62,87,17,9
POMONA,5250014A,2100,94,N,1249,POLLING PLACE,103,25,27,29,6,6
POMONA,5250014A,2100,94,N,0,VBM PORTION,98,13,24,36,6,11
POMONA,5250014A,2100,94,N,1249,TOTAL,201,38,51,65,12,17
POMONA,5250016B,2101,94,N,1138,POLLING PLACE,117,18,37,34,10,7
POMONA,5250016B,2101,94,N,0,VBM PORTION,121,25,34,30,6,7
POMONA,5250016B,2101,94,N,1138,TOTAL,238,43,71,64,16,14
POMONA,5250017A,2102,94,N,709,POLLING PLACE,37,9,15,2,1,7
POMONA,5250017A,2102,94,N,0,VBM PORTION,20,4,6,4,0,5
POMONA,5250017A,2102,94,N,709,TOTAL,57,13,21,6,1,12
POMONA,5250018A,2103,94,N,836,POLLING PLACE,31,6,8,12,2,2
POMONA,5250018A,2103,94,N,0,VBM PORTION,46,12,10,11,8,0
POMONA,5250018A,2103,94,N,836,TOTAL,77,18,18,23,10,2
POMONA,5250021A,2104,94,N,1284,POLLING PLACE,68,6,27,21,8,4
POMONA,5250021A,2104,94,N,0,VBM PORTION,46,14,18,7,3,3
POMONA,5250021A,2104,94,N,1284,TOTAL,114,20,45,28,11,7
POMONA,5250022A,2105,94,N,815,POLLING PLACE,47,10,9,4,16,4
POMONA,5250022A,2105,94,N,0,VBM PORTION,41,6,13,6,8,4
POMONA,5250022A,2105,94,N,815,TOTAL,88,16,22,10,24,8
POMONA,5250023A,2106,94,N,1219,POLLING PLACE,60,16,19,8,5,9
POMONA,5250023A,2106,94,N,0,VBM PORTION,60,17,19,12,6,4
POMONA,5250023A,2106,94,N,1219,TOTAL,120,33,38,20,11,13
POMONA,5250024A,2107,94,N,864,POLLING PLACE,40,9,14,4,4,6
POMONA,5250024A,2107,94,N,0,VBM PORTION,47,13,12,11,5,2
POMONA,5250024A,2107,94,N,864,TOTAL,87,22,26,15,9,8
POMONA,5250025A,2108,94,N,1013,POLLING PLACE,63,22,20,13,2,3
POMONA,5250025A,2108,94,N,0,VBM PORTION,42,13,10,11,2,4
POMONA,5250025A,2108,94,N,1013,TOTAL,105,35,30,24,4,7
POMONA,5250028A,2109,94,N,1124,POLLING PLACE,46,8,12,15,7,4
POMONA,5250028A,2109,94,N,0,VBM PORTION,24,7,2,6,1,6
POMONA,5250028A,2109,94,N,1124,TOTAL,70,15,14,21,8,10
POMONA,5250029A,2110,94,N,1217,POLLING PLACE,75,20,22,14,9,6
POMONA,5250029A,2110,94,N,0,VBM PORTION,68,10,20,15,4,14
POMONA,5250029A,2110,94,N,1217,TOTAL,143,30,42,29,13,20
POMONA,5250030A,2111,94,N,1095,POLLING PLACE,52,14,9,16,5,5
POMONA,5250030A,2111,94,N,0,VBM PORTION,56,14,7,15,8,4
POMONA,5250030A,2111,94,N,1095,TOTAL,108,28,16,31,13,9
POMONA,5250034B,2112,94,N,1280,POLLING PLACE,103,27,41,16,7,6
POMONA,5250034B,2112,94,N,0,VBM PORTION,137,27,34,37,14,5
POMONA,5250034B,2112,94,N,1280,TOTAL,240,54,75,53,21,11
POMONA,5250038A,2113,94,N,1088,POLLING PLACE,97,33,19,21,4,10
POMONA,5250038A,2113,94,N,0,VBM PORTION,76,20,11,20,8,11
POMONA,5250038A,2113,94,N,1088,TOTAL,173,53,30,41,12,21
POMONA,5250041A,2114,94,N,1212,POLLING PLACE,67,12,22,21,7,4
POMONA,5250041A,2114,94,N,0,VBM PORTION,44,10,12,11,4,5
POMONA,5250041A,2114,94,N,1212,TOTAL,111,22,34,32,11,9
POMONA,5250042A,2115,94,N,1045,POLLING PLACE,79,15,28,16,9,8
POMONA,5250042A,2115,94,N,0,VBM PORTION,66,19,20,11,11,5
POMONA,5250042A,2115,94,N,1045,TOTAL,145,34,48,27,20,13
POMONA,5250044D,2116,94,N,533,POLLING PLACE,30,7,6,6,1,8
POMONA,5250044D,2116,94,N,0,VBM PORTION,9,4,1,1,1,1
POMONA,5250044D,2116,94,N,533,TOTAL,39,11,7,7,2,9
POMONA,5250046D,2117,94,N,938,POLLING PLACE,39,8,17,11,2,1
POMONA,5250046D,2117,94,N,0,VBM PORTION,51,10,20,10,5,4
POMONA,5250046D,2117,94,N,938,TOTAL,90,18,37,21,7,5
POMONA,5250049A,2118,94,N,1238,POLLING PLACE,47,18,9,9,4,5
POMONA,5250049A,2118,94,N,0,VBM PORTION,37,15,4,10,0,3
POMONA,5250049A,2118,94,N,1238,TOTAL,84,33,13,19,4,8
POMONA,5250050A,2119,94,N,857,POLLING PLACE,69,9,21,18,8,9
POMONA,5250050A,2119,94,N,0,VBM PORTION,47,8,15,16,3,4
POMONA,5250050A,2119,94,N,857,TOTAL,116,17,36,34,11,13
POMONA,5250053A,2120,94,N,1315,POLLING PLACE,65,20,22,10,6,5
POMONA,5250053A,2120,94,N,0,VBM PORTION,36,6,6,7,6,7
POMONA,5250053A,2120,94,N,1315,TOTAL,101,26,28,17,12,12
POMONA,5250055A,2121,94,N,1059,POLLING PLACE,70,18,25,17,3,3
POMONA,5250055A,2121,94,N,0,VBM PORTION,49,15,10,12,7,0
POMONA,5250055A,2121,94,N,1059,TOTAL,119,33,35,29,10,3
POMONA,5250057A,2122,94,N,862,POLLING PLACE,38,15,8,8,4,0
POMONA,5250057A,2122,94,N,0,VBM PORTION,49,8,12,19,3,3
POMONA,5250057A,2122,94,N,862,TOTAL,87,23,20,27,7,3
POMONA,5250061B,2123,94,N,1189,POLLING PLACE,60,13,26,7,2,11
POMONA,5250061B,2123,94,N,0,VBM PORTION,57,13,20,13,7,1
POMONA,5250061B,2123,94,N,1189,TOTAL,117,26,46,20,9,12
POMONA,5250062A,2124,94,N,1278,POLLING PLACE,69,16,24,13,5,8
POMONA,5250062A,2124,94,N,0,VBM PORTION,72,12,18,20,9,9
POMONA,5250062A,2124,94,N,1278,TOTAL,141,28,42,33,14,17
POMONA,5250063A,2125,94,N,1164,POLLING PLACE,85,15,34,4,10,17
POMONA,5250063A,2125,94,N,0,VBM PORTION,51,13,18,8,5,3
POMONA,5250063A,2125,94,N,1164,TOTAL,136,28,52,12,15,20
POMONA,5250065A,2126,94,N,606,POLLING PLACE,34,9,11,7,4,2
POMONA,5250065A,2126,94,N,0,VBM PORTION,36,10,7,9,3,3
POMONA,5250065A,2126,94,N,606,TOTAL,70,19,18,16,7,5
POMONA,5250066A,2127,94,N,619,POLLING PLACE,17,5,3,4,0,3
POMONA,5250066A,2127,94,N,0,VBM PORTION,16,6,7,1,0,1
POMONA,5250066A,2127,94,N,619,TOTAL,33,11,10,5,0,4
POMONA,5250069A,2128,94,N,1168,POLLING PLACE,49,14,20,3,3,4
POMONA,5250069A,2128,94,N,0,VBM PORTION,53,14,5,10,11,3
POMONA,5250069A,2128,94,N,1168,TOTAL,102,28,25,13,14,7
POMONA,5250070A,2129,94,N,1238,POLLING PLACE,51,12,21,6,4,6
POMONA,5250070A,2129,94,N,0,VBM PORTION,52,8,25,3,7,7
POMONA,5250070A,2129,94,N,1238,TOTAL,103,20,46,9,11,13
POMONA,5250073A,2130,94,N,764,POLLING PLACE,40,12,18,3,2,4
POMONA,5250073A,2130,94,N,0,VBM PORTION,31,11,10,3,4,2
POMONA,5250073A,2130,94,N,764,TOTAL,71,23,28,6,6,6
POMONA,5250076A,2131,94,N,1248,POLLING PLACE,63,20,20,16,2,2
POMONA,5250076A,2131,94,N,0,VBM PORTION,61,18,14,6,12,4
POMONA,5250076A,2131,94,N,1248,TOTAL,124,38,34,22,14,6
POMONA,5250077A,2132,94,N,1125,POLLING PLACE,57,20,20,9,2,3
POMONA,5250077A,2132,94,N,0,VBM PORTION,43,11,14,5,3,3
POMONA,5250077A,2132,94,N,1125,TOTAL,100,31,34,14,5,6
POMONA,5250079A,2133,94,N,1017,POLLING PLACE,54,12,20,11,4,3
POMONA,5250079A,2133,94,N,0,VBM PORTION,48,10,13,10,4,5
POMONA,5250079A,2133,94,N,1017,TOTAL,102,22,33,21,8,8
POMONA,5250087C,2134,94,N,914,POLLING PLACE,110,15,21,20,8,12
POMONA,5250087C,2134,94,N,0,VBM PORTION,55,13,11,14,6,5
POMONA,5250087C,2134,94,N,914,TOTAL,165,28,32,34,14,17
POMONA,5250096A,2135,94,N,1225,POLLING PLACE,41,13,17,4,3,1
POMONA,5250096A,2135,94,N,0,VBM PORTION,52,14,17,6,8,3
POMONA,5250096A,2135,94,N,1225,TOTAL,93,27,34,10,11,4
POMONA,5250142A,2136,94,N,822,POLLING PLACE,77,22,23,20,6,3
POMONA,5250142A,2136,94,N,0,VBM PORTION,50,9,9,17,7,3
POMONA,5250142A,2136,94,N,822,TOTAL,127,31,32,37,13,6
POMONA,5250143A,2137,94,N,839,POLLING PLACE,71,18,18,20,2,2
POMONA,5250143A,2137,94,N,0,VBM PORTION,66,13,10,28,2,4
POMONA,5250143A,2137,94,N,839,TOTAL,137,31,28,48,4,6
POMONA,5250145A,2138,94,N,1288,POLLING PLACE,86,15,32,28,4,4
POMONA,5250145A,2138,94,N,0,VBM PORTION,110,25,21,35,8,6
POMONA,5250145A,2138,94,N,1288,TOTAL,196,40,53,63,12,10
POMONA,5250147A,2139,94,N,762,POLLING PLACE,48,7,18,13,4,3
POMONA,5250147A,2139,94,N,0,VBM PORTION,64,7,14,29,7,4
POMONA,5250147A,2139,94,N,762,TOTAL,112,14,32,42,11,7
POMONA,5250148A,2140,94,N,674,POLLING PLACE,52,9,16,20,2,2
POMONA,5250148A,2140,94,N,0,VBM PORTION,90,21,20,25,11,4
POMONA,5250148A,2140,94,N,674,TOTAL,142,30,36,45,13,6
POMONA,5250150A,2141,94,N,826,POLLING PLACE,46,4,10,26,3,1
POMONA,5250150A,2141,94,N,0,VBM PORTION,99,27,8,34,10,9
POMONA,5250150A,2141,94,N,826,TOTAL,145,31,18,60,13,10
POMONA,5250151A,2142,94,N,859,POLLING PLACE,51,6,12,19,5,2
POMONA,5250151A,2142,94,N,0,VBM PORTION,75,11,13,29,3,7
POMONA,5250151A,2142,94,N,859,TOTAL,126,17,25,48,8,9
POMONA,5250314A,2143,94,N,1244,POLLING PLACE,58,18,20,8,3,4
POMONA,5250314A,2143,94,N,0,VBM PORTION,58,14,13,15,5,9
POMONA,5250314A,2143,94,N,1244,TOTAL,116,32,33,23,8,13
POMONA,5250318A,2144,94,N,1018,POLLING PLACE,75,25,17,21,4,3
POMONA,5250318A,2144,94,N,0,VBM PORTION,69,17,13,21,8,7
POMONA,5250318A,2144,94,N,1018,TOTAL,144,42,30,42,12,10
POMONA,5250319A,2145,94,N,815,POLLING PLACE,70,26,13,13,8,4
POMONA,5250319A,2145,94,N,0,VBM PORTION,50,9,7,10,9,7
POMONA,5250319A,2145,94,N,815,TOTAL,120,35,20,23,17,11
BALLOT GROUP 93,9990093A,8093,93,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 93,9990093A,8093,93,N,0,VBM PORTION,0,0,0,0,0,0
BALLOT GROUP 93,9990093A,8093,93,N,0,TOTAL,0,0,0,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,POLLING PLACE,0,0,0,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,VBM PORTION,0,0,0,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,TOTAL,0,0,0,0,0,0
