LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JANICE HAHN
CARSON,1030037A,384,178,N,1049,POLLING PLACE,91,49
CARSON,1030037A,384,178,N,0,VBM PORTION,67,47
CARSON,1030037A,384,178,N,1049,TOTAL,158,96
CARSON,1030038A,385,178,N,995,POLLING PLACE,60,33
CARSON,1030038A,385,178,N,0,VBM PORTION,58,44
CARSON,1030038A,385,178,N,995,TOTAL,118,77
CARSON,1030038B,386,178,N,918,POLLING PLACE,72,46
CARSON,1030038B,386,178,N,0,VBM PORTION,64,42
CARSON,1030038B,386,178,N,918,TOTAL,136,88
CARSON,1030040A,387,178,N,1157,POLLING PLACE,52,28
CARSON,1030040A,387,178,N,0,VBM PORTION,44,29
CARSON,1030040A,387,178,N,1157,TOTAL,96,57
CARSON,1030042B,388,178,N,1064,POLLING PLACE,74,37
CARSON,1030042B,388,178,N,0,VBM PORTION,78,54
CARSON,1030042B,388,178,N,1064,TOTAL,152,91
CARSON,1030043A,389,178,N,910,POLLING PLACE,53,30
CARSON,1030043A,389,178,N,0,VBM PORTION,36,26
CARSON,1030043A,389,178,N,910,TOTAL,89,56
CARSON,1030044A,390,178,N,743,POLLING PLACE,44,29
CARSON,1030044A,390,178,N,0,VBM PORTION,67,48
CARSON,1030044A,390,178,N,743,TOTAL,111,77
CARSON,1030045A,391,178,N,1030,POLLING PLACE,75,34
CARSON,1030045A,391,178,N,0,VBM PORTION,26,19
CARSON,1030045A,391,178,N,1030,TOTAL,101,53
CARSON,1030046A,392,178,N,682,POLLING PLACE,33,8
CARSON,1030046A,392,178,N,0,VBM PORTION,39,29
CARSON,1030046A,392,178,N,682,TOTAL,72,37
CARSON,1030048A,393,178,N,1035,POLLING PLACE,75,37
CARSON,1030048A,393,178,N,0,VBM PORTION,54,45
CARSON,1030048A,393,178,N,1035,TOTAL,129,82
CARSON,1030049A,394,178,N,890,POLLING PLACE,71,41
CARSON,1030049A,394,178,N,0,VBM PORTION,60,46
CARSON,1030049A,394,178,N,890,TOTAL,131,87
CARSON,1030053A,395,178,N,1107,POLLING PLACE,182,110
CARSON,1030053A,395,178,N,0,VBM PORTION,122,99
CARSON,1030053A,395,178,N,1107,TOTAL,304,209
CARSON,1030053B,396,178,N,1094,POLLING PLACE,165,100
CARSON,1030053B,396,178,N,0,VBM PORTION,94,78
CARSON,1030053B,396,178,N,1094,TOTAL,259,178
CARSON,1030060A,397,178,N,935,POLLING PLACE,149,99
CARSON,1030060A,397,178,N,0,VBM PORTION,108,93
CARSON,1030060A,397,178,N,935,TOTAL,257,192
CARSON,1030067B,398,178,N,708,POLLING PLACE,144,90
CARSON,1030067B,398,178,N,0,VBM PORTION,52,37
CARSON,1030067B,398,178,N,708,TOTAL,196,127
CARSON,1030081A,399,178,N,841,POLLING PLACE,74,32
CARSON,1030081A,399,178,N,0,VBM PORTION,90,53
CARSON,1030081A,399,178,N,841,TOTAL,164,85
CARSON,1030100A,400,178,N,509,POLLING PLACE,71,38
CARSON,1030100A,400,178,N,0,VBM PORTION,35,29
CARSON,1030100A,400,178,N,509,TOTAL,106,67
CARSON,1030101A,401,178,N,867,POLLING PLACE,129,84
CARSON,1030101A,401,178,N,0,VBM PORTION,90,71
CARSON,1030101A,401,178,N,867,TOTAL,219,155
CARSON,1030102A,402,178,N,968,POLLING PLACE,156,99
CARSON,1030102A,402,178,N,0,VBM PORTION,77,56
CARSON,1030102A,402,178,N,968,TOTAL,233,155
CARSON,1030103A,403,178,N,1078,POLLING PLACE,185,107
CARSON,1030103A,403,178,N,0,VBM PORTION,101,79
CARSON,1030103A,403,178,N,1078,TOTAL,286,186
CARSON,1030105A,404,178,N,1090,POLLING PLACE,194,111
CARSON,1030105A,404,178,N,0,VBM PORTION,129,103
CARSON,1030105A,404,178,N,1090,TOTAL,323,214
CARSON,1030106A,405,178,N,924,POLLING PLACE,121,77
CARSON,1030106A,405,178,N,0,VBM PORTION,85,68
CARSON,1030106A,405,178,N,924,TOTAL,206,145
CARSON,1030107A,406,178,N,977,POLLING PLACE,144,88
CARSON,1030107A,406,178,N,0,VBM PORTION,94,68
CARSON,1030107A,406,178,N,977,TOTAL,238,156
CARSON,1030108B,407,178,N,1000,POLLING PLACE,89,50
CARSON,1030108B,407,178,N,0,VBM PORTION,64,48
CARSON,1030108B,407,178,N,1000,TOTAL,153,98
CARSON,1030109A,408,178,N,927,POLLING PLACE,70,47
CARSON,1030109A,408,178,N,0,VBM PORTION,76,55
CARSON,1030109A,408,178,N,927,TOTAL,146,102
CARSON,1030110A,409,178,N,759,POLLING PLACE,53,37
CARSON,1030110A,409,178,N,0,VBM PORTION,47,42
CARSON,1030110A,409,178,N,759,TOTAL,100,79
CARSON,1030111A,410,178,N,1044,POLLING PLACE,169,97
CARSON,1030111A,410,178,N,0,VBM PORTION,102,85
CARSON,1030111A,410,178,N,1044,TOTAL,271,182
CARSON,1030112A,411,178,N,906,POLLING PLACE,71,32
CARSON,1030112A,411,178,N,0,VBM PORTION,47,25
CARSON,1030112A,411,178,N,906,TOTAL,118,57
CARSON,1030113A,412,178,N,873,POLLING PLACE,58,38
CARSON,1030113A,412,178,N,0,VBM PORTION,41,32
CARSON,1030113A,412,178,N,873,TOTAL,99,70
CARSON,1030114A,413,178,N,877,POLLING PLACE,53,30
CARSON,1030114A,413,178,N,0,VBM PORTION,42,30
CARSON,1030114A,413,178,N,877,TOTAL,95,60
CARSON,1030115A,414,178,N,871,POLLING PLACE,49,24
CARSON,1030115A,414,178,N,0,VBM PORTION,56,40
CARSON,1030115A,414,178,N,871,TOTAL,105,64
CARSON,1030116A,415,178,N,493,POLLING PLACE,65,40
CARSON,1030116A,415,178,N,0,VBM PORTION,122,84
CARSON,1030116A,415,178,N,493,TOTAL,187,124
CARSON,1030119A,416,178,N,988,POLLING PLACE,124,68
CARSON,1030119A,416,178,N,0,VBM PORTION,102,81
CARSON,1030119A,416,178,N,988,TOTAL,226,149
CARSON,1030120A,417,178,N,877,POLLING PLACE,59,25
CARSON,1030120A,417,178,N,0,VBM PORTION,38,27
CARSON,1030120A,417,178,N,877,TOTAL,97,52
COMPTON,1450002A,512,178,N,1212,POLLING PLACE,66,43
COMPTON,1450002A,512,178,N,0,VBM PORTION,36,26
COMPTON,1450002A,512,178,N,1212,TOTAL,102,69
COMPTON,1450004A,513,178,N,958,POLLING PLACE,58,29
COMPTON,1450004A,513,178,N,0,VBM PORTION,40,30
COMPTON,1450004A,513,178,N,958,TOTAL,98,59
COMPTON,1450005A,514,178,N,738,POLLING PLACE,77,37
COMPTON,1450005A,514,178,N,0,VBM PORTION,25,14
COMPTON,1450005A,514,178,N,738,TOTAL,102,51
COMPTON,1450006A,515,178,N,851,POLLING PLACE,41,24
COMPTON,1450006A,515,178,N,0,VBM PORTION,23,17
COMPTON,1450006A,515,178,N,851,TOTAL,64,41
COMPTON,1450007B,516,178,N,1160,POLLING PLACE,81,41
COMPTON,1450007B,516,178,N,0,VBM PORTION,33,26
COMPTON,1450007B,516,178,N,1160,TOTAL,114,67
COMPTON,1450008A,517,178,N,1089,POLLING PLACE,61,30
COMPTON,1450008A,517,178,N,0,VBM PORTION,45,36
COMPTON,1450008A,517,178,N,1089,TOTAL,106,66
COMPTON,1450010C,518,178,N,721,POLLING PLACE,64,33
COMPTON,1450010C,518,178,N,0,VBM PORTION,42,33
COMPTON,1450010C,518,178,N,721,TOTAL,106,66
COMPTON,1450018A,519,178,N,769,POLLING PLACE,37,21
COMPTON,1450018A,519,178,N,0,VBM PORTION,26,22
COMPTON,1450018A,519,178,N,769,TOTAL,63,43
COMPTON,1450020A,520,178,N,1002,POLLING PLACE,70,38
COMPTON,1450020A,520,178,N,0,VBM PORTION,45,38
COMPTON,1450020A,520,178,N,1002,TOTAL,115,76
COMPTON,1450022B,521,178,N,1054,POLLING PLACE,80,35
COMPTON,1450022B,521,178,N,0,VBM PORTION,43,33
COMPTON,1450022B,521,178,N,1054,TOTAL,123,68
COMPTON,1450024A,522,178,N,1072,POLLING PLACE,136,85
COMPTON,1450024A,522,178,N,0,VBM PORTION,86,76
COMPTON,1450024A,522,178,N,1072,TOTAL,222,161
COMPTON,1450027A,523,178,N,1090,POLLING PLACE,80,48
COMPTON,1450027A,523,178,N,0,VBM PORTION,42,29
COMPTON,1450027A,523,178,N,1090,TOTAL,122,77
COMPTON,1450028C,524,178,N,1156,POLLING PLACE,66,43
COMPTON,1450028C,524,178,N,0,VBM PORTION,45,32
COMPTON,1450028C,524,178,N,1156,TOTAL,111,75
COMPTON,1450030A,525,178,N,734,POLLING PLACE,60,29
COMPTON,1450030A,525,178,N,0,VBM PORTION,32,25
COMPTON,1450030A,525,178,N,734,TOTAL,92,54
COMPTON,1450033A,526,178,N,1086,POLLING PLACE,85,41
COMPTON,1450033A,526,178,N,0,VBM PORTION,25,19
COMPTON,1450033A,526,178,N,1086,TOTAL,110,60
COMPTON,1450034A,527,178,N,771,POLLING PLACE,65,38
COMPTON,1450034A,527,178,N,0,VBM PORTION,35,30
COMPTON,1450034A,527,178,N,771,TOTAL,100,68
COMPTON,1450036A,528,178,N,1143,POLLING PLACE,69,37
COMPTON,1450036A,528,178,N,0,VBM PORTION,33,28
COMPTON,1450036A,528,178,N,1143,TOTAL,102,65
COMPTON,1450040C,529,178,N,1061,POLLING PLACE,69,38
COMPTON,1450040C,529,178,N,0,VBM PORTION,46,35
COMPTON,1450040C,529,178,N,1061,TOTAL,115,73
COMPTON,1450042C,530,178,N,1065,POLLING PLACE,85,48
COMPTON,1450042C,530,178,N,0,VBM PORTION,36,31
COMPTON,1450042C,530,178,N,1065,TOTAL,121,79
COMPTON,1450043B,531,178,N,763,POLLING PLACE,85,45
COMPTON,1450043B,531,178,N,0,VBM PORTION,54,40
COMPTON,1450043B,531,178,N,763,TOTAL,139,85
COMPTON,1450045A,532,178,N,1015,POLLING PLACE,88,44
COMPTON,1450045A,532,178,N,0,VBM PORTION,52,40
COMPTON,1450045A,532,178,N,1015,TOTAL,140,84
COMPTON,1450052A,533,178,N,938,POLLING PLACE,47,26
COMPTON,1450052A,533,178,N,0,VBM PORTION,38,31
COMPTON,1450052A,533,178,N,938,TOTAL,85,57
COMPTON,1450062B,534,178,N,952,POLLING PLACE,33,15
COMPTON,1450062B,534,178,N,0,VBM PORTION,40,29
COMPTON,1450062B,534,178,N,952,TOTAL,73,44
COMPTON,1450091A,535,178,N,1142,POLLING PLACE,90,58
COMPTON,1450091A,535,178,N,0,VBM PORTION,57,45
COMPTON,1450091A,535,178,N,1142,TOTAL,147,103
COMPTON,1450113A,536,178,N,1120,POLLING PLACE,86,48
COMPTON,1450113A,536,178,N,0,VBM PORTION,39,31
COMPTON,1450113A,536,178,N,1120,TOTAL,125,79
COMPTON,1450118B,537,178,N,1004,POLLING PLACE,64,33
COMPTON,1450118B,537,178,N,0,VBM PORTION,52,40
COMPTON,1450118B,537,178,N,1004,TOTAL,116,73
COMPTON,1450132A,538,178,N,789,POLLING PLACE,54,35
COMPTON,1450132A,538,178,N,0,VBM PORTION,25,22
COMPTON,1450132A,538,178,N,789,TOTAL,79,57
COMPTON,1450133A,539,178,N,839,POLLING PLACE,38,23
COMPTON,1450133A,539,178,N,0,VBM PORTION,30,28
COMPTON,1450133A,539,178,N,839,TOTAL,68,51
COMPTON,1450137B,540,178,N,1027,POLLING PLACE,56,32
COMPTON,1450137B,540,178,N,0,VBM PORTION,55,48
COMPTON,1450137B,540,178,N,1027,TOTAL,111,80
COMPTON,1450137L,541,178,N,587,POLLING PLACE,13,7
COMPTON,1450137L,541,178,N,0,VBM PORTION,16,11
COMPTON,1450137L,541,178,N,587,TOTAL,29,18
COMPTON,1450142B,542,178,N,1151,POLLING PLACE,70,40
COMPTON,1450142B,542,178,N,0,VBM PORTION,41,31
COMPTON,1450142B,542,178,N,1151,TOTAL,111,71
COMPTON,1450144G,6036,178,Y,0,POLLING PLACE,0,0
COMPTON,1450144G,6036,178,Y,0,VBM PORTION,0,0
COMPTON,1450144G,6036,178,Y,0,TOTAL,0,0
COMPTON,1450147A,543,178,N,789,POLLING PLACE,77,44
COMPTON,1450147A,543,178,N,0,VBM PORTION,78,65
COMPTON,1450147A,543,178,N,789,TOTAL,155,109
COMPTON,1450148A,544,178,N,811,POLLING PLACE,50,32
COMPTON,1450148A,544,178,N,0,VBM PORTION,59,46
COMPTON,1450148A,544,178,N,811,TOTAL,109,78
COMPTON,1450149A,545,178,N,1166,POLLING PLACE,81,42
COMPTON,1450149A,545,178,N,0,VBM PORTION,39,28
COMPTON,1450149A,545,178,N,1166,TOTAL,120,70
COMPTON,1450152A,546,178,N,682,POLLING PLACE,62,31
COMPTON,1450152A,546,178,N,0,VBM PORTION,46,32
COMPTON,1450152A,546,178,N,682,TOTAL,108,63
COMPTON,1450153A,547,178,N,961,POLLING PLACE,52,28
COMPTON,1450153A,547,178,N,0,VBM PORTION,35,27
COMPTON,1450153A,547,178,N,961,TOTAL,87,55
COMPTON,1450154A,548,178,N,1094,POLLING PLACE,88,49
COMPTON,1450154A,548,178,N,0,VBM PORTION,57,51
COMPTON,1450154A,548,178,N,1094,TOTAL,145,100
COMPTON,1450155A,549,178,N,1101,POLLING PLACE,80,42
COMPTON,1450155A,549,178,N,0,VBM PORTION,50,37
COMPTON,1450155A,549,178,N,1101,TOTAL,130,79
COMPTON,1450157A,550,178,N,874,POLLING PLACE,66,41
COMPTON,1450157A,550,178,N,0,VBM PORTION,46,39
COMPTON,1450157A,550,178,N,874,TOTAL,112,80
COMPTON,1450160A,551,178,N,888,POLLING PLACE,87,52
COMPTON,1450160A,551,178,N,0,VBM PORTION,40,31
COMPTON,1450160A,551,178,N,888,TOTAL,127,83
COMPTON,1450163A,552,178,N,863,POLLING PLACE,64,33
COMPTON,1450163A,552,178,N,0,VBM PORTION,28,20
COMPTON,1450163A,552,178,N,863,TOTAL,92,53
COMPTON,1450164C,553,178,N,1069,POLLING PLACE,82,45
COMPTON,1450164C,553,178,N,0,VBM PORTION,41,32
COMPTON,1450164C,553,178,N,1069,TOTAL,123,77
COMPTON,1450167A,554,178,N,1121,POLLING PLACE,107,69
COMPTON,1450167A,554,178,N,0,VBM PORTION,58,41
COMPTON,1450167A,554,178,N,1121,TOTAL,165,110
COMPTON,1450305A,555,178,N,1265,POLLING PLACE,44,27
COMPTON,1450305A,555,178,N,0,VBM PORTION,47,32
COMPTON,1450305A,555,178,N,1265,TOTAL,91,59
COMPTON,1450305B,556,178,N,320,POLLING PLACE,8,2
COMPTON,1450305B,556,178,N,0,VBM PORTION,10,9
COMPTON,1450305B,556,178,N,320,TOTAL,18,11
DOMINGUEZ,1800020B,658,178,N,774,POLLING PLACE,101,56
DOMINGUEZ,1800020B,658,178,N,0,VBM PORTION,46,32
DOMINGUEZ,1800020B,658,178,N,774,TOTAL,147,88
DOMINGUEZ,1800021A,659,178,N,834,POLLING PLACE,122,78
DOMINGUEZ,1800021A,659,178,N,0,VBM PORTION,58,40
DOMINGUEZ,1800021A,659,178,N,834,TOTAL,180,118
EAST COMPTON,1960001A,740,178,N,514,POLLING PLACE,16,8
EAST COMPTON,1960001A,740,178,N,0,VBM PORTION,8,5
EAST COMPTON,1960001A,740,178,N,514,TOTAL,24,13
EAST COMPTON,1960003A,741,178,N,1162,POLLING PLACE,47,25
EAST COMPTON,1960003A,741,178,N,0,VBM PORTION,28,23
EAST COMPTON,1960003A,741,178,N,1162,TOTAL,75,48
EAST COMPTON,1960006A,6044,178,Y,0,POLLING PLACE,0,0
EAST COMPTON,1960006A,6044,178,Y,0,VBM PORTION,0,0
EAST COMPTON,1960006A,6044,178,Y,0,TOTAL,0,0
EAST COMPTON,1960007A,742,178,N,826,POLLING PLACE,57,32
EAST COMPTON,1960007A,742,178,N,0,VBM PORTION,24,17
EAST COMPTON,1960007A,742,178,N,826,TOTAL,81,49
EAST COMPTON,1960010A,743,178,N,722,POLLING PLACE,31,22
EAST COMPTON,1960010A,743,178,N,0,VBM PORTION,34,30
EAST COMPTON,1960010A,743,178,N,722,TOTAL,65,52
EAST COMPTON,1960011A,744,178,N,754,POLLING PLACE,62,35
EAST COMPTON,1960011A,744,178,N,0,VBM PORTION,21,11
EAST COMPTON,1960011A,744,178,N,754,TOTAL,83,46
EAST COMPTON,1960030A,6045,171,Y,0,POLLING PLACE,0,0
EAST COMPTON,1960030A,6045,171,Y,0,VBM PORTION,0,0
EAST COMPTON,1960030A,6045,171,Y,0,TOTAL,0,0
EAST COMPTON,1960032A,745,178,N,1133,POLLING PLACE,66,34
EAST COMPTON,1960032A,745,178,N,0,VBM PORTION,20,15
EAST COMPTON,1960032A,745,178,N,1133,TOTAL,86,49
FLORENCE,2300001A,843,153,N,745,POLLING PLACE,47,36
FLORENCE,2300001A,843,153,N,0,VBM PORTION,19,19
FLORENCE,2300001A,843,153,N,745,TOTAL,66,55
FLORENCE,2300016A,855,153,N,920,POLLING PLACE,53,43
FLORENCE,2300016A,855,153,N,0,VBM PORTION,35,32
FLORENCE,2300016A,855,153,N,920,TOTAL,88,75
FLORENCE,2300018A,856,153,N,1226,POLLING PLACE,56,43
FLORENCE,2300018A,856,153,N,0,VBM PORTION,33,28
FLORENCE,2300018A,856,153,N,1226,TOTAL,89,71
FLORENCE,2300019A,857,153,N,827,POLLING PLACE,33,24
FLORENCE,2300019A,857,153,N,0,VBM PORTION,12,10
FLORENCE,2300019A,857,153,N,827,TOTAL,45,34
FLORENCE,2300034A,859,153,N,997,POLLING PLACE,29,22
FLORENCE,2300034A,859,153,N,0,VBM PORTION,9,9
FLORENCE,2300034A,859,153,N,997,TOTAL,38,31
FLORENCE,2300040A,860,153,N,993,POLLING PLACE,41,33
FLORENCE,2300040A,860,153,N,0,VBM PORTION,18,14
FLORENCE,2300040A,860,153,N,993,TOTAL,59,47
FLORENCE,2300042A,862,153,N,1001,POLLING PLACE,39,26
FLORENCE,2300042A,862,153,N,0,VBM PORTION,13,13
FLORENCE,2300042A,862,153,N,1001,TOTAL,52,39
LA RAMBLA,3350001A,1235,190,N,1042,POLLING PLACE,83,55
LA RAMBLA,3350001A,1235,190,N,0,VBM PORTION,68,50
LA RAMBLA,3350001A,1235,190,N,1042,TOTAL,151,105
LONG BEACH,3850001A,1408,178,N,1060,POLLING PLACE,60,38
LONG BEACH,3850001A,1408,178,N,0,VBM PORTION,51,40
LONG BEACH,3850001A,1408,178,N,1060,TOTAL,111,78
LONG BEACH,3850001C,6089,178,Y,4,POLLING PLACE,0,0
LONG BEACH,3850001C,6089,178,Y,0,VBM PORTION,1,1
LONG BEACH,3850001C,6089,178,Y,4,TOTAL,1,1
LONG BEACH,3850001D,6090,178,Y,1,POLLING PLACE,0,0
LONG BEACH,3850001D,6090,178,Y,0,VBM PORTION,0,0
LONG BEACH,3850001D,6090,178,Y,1,TOTAL,0,0
LONG BEACH,3850001E,6091,178,Y,0,POLLING PLACE,0,0
LONG BEACH,3850001E,6091,178,Y,0,VBM PORTION,0,0
LONG BEACH,3850001E,6091,178,Y,0,TOTAL,0,0
LONG BEACH,3850004A,1410,178,N,1206,POLLING PLACE,99,60
LONG BEACH,3850004A,1410,178,N,0,VBM PORTION,57,42
LONG BEACH,3850004A,1410,178,N,1206,TOTAL,156,102
LONG BEACH,3850005A,1411,178,N,1062,POLLING PLACE,86,49
LONG BEACH,3850005A,1411,178,N,0,VBM PORTION,43,36
LONG BEACH,3850005A,1411,178,N,1062,TOTAL,129,85
LONG BEACH,3850008A,1413,178,N,1194,POLLING PLACE,162,85
LONG BEACH,3850008A,1413,178,N,0,VBM PORTION,70,54
LONG BEACH,3850008A,1413,178,N,1194,TOTAL,232,139
LONG BEACH,3850009A,1414,171,N,1107,POLLING PLACE,64,45
LONG BEACH,3850009A,1414,171,N,0,VBM PORTION,41,32
LONG BEACH,3850009A,1414,171,N,1107,TOTAL,105,77
LONG BEACH,3850011A,1416,178,N,558,POLLING PLACE,38,20
LONG BEACH,3850011A,1416,178,N,0,VBM PORTION,27,21
LONG BEACH,3850011A,1416,178,N,558,TOTAL,65,41
LONG BEACH,3850013A,1418,178,N,1013,POLLING PLACE,64,43
LONG BEACH,3850013A,1418,178,N,0,VBM PORTION,55,41
LONG BEACH,3850013A,1418,178,N,1013,TOTAL,119,84
LONG BEACH,3850015A,1419,178,N,1075,POLLING PLACE,40,23
LONG BEACH,3850015A,1419,178,N,0,VBM PORTION,40,29
LONG BEACH,3850015A,1419,178,N,1075,TOTAL,80,52
LONG BEACH,3850016A,1420,171,N,1155,POLLING PLACE,72,60
LONG BEACH,3850016A,1420,171,N,0,VBM PORTION,80,63
LONG BEACH,3850016A,1420,171,N,1155,TOTAL,152,123
LONG BEACH,3850017B,1421,171,N,897,POLLING PLACE,47,39
LONG BEACH,3850017B,1421,171,N,0,VBM PORTION,43,34
LONG BEACH,3850017B,1421,171,N,897,TOTAL,90,73
LONG BEACH,3850020A,1422,171,N,1870,POLLING PLACE,123,94
LONG BEACH,3850020A,1422,171,N,0,VBM PORTION,116,98
LONG BEACH,3850020A,1422,171,N,1870,TOTAL,239,192
LONG BEACH,3850024A,1424,171,N,1149,POLLING PLACE,85,63
LONG BEACH,3850024A,1424,171,N,0,VBM PORTION,76,59
LONG BEACH,3850024A,1424,171,N,1149,TOTAL,161,122
LONG BEACH,3850026A,1426,171,N,1401,POLLING PLACE,117,82
LONG BEACH,3850026A,1426,171,N,0,VBM PORTION,54,39
LONG BEACH,3850026A,1426,171,N,1401,TOTAL,171,121
LONG BEACH,3850029A,1427,171,N,742,POLLING PLACE,38,25
LONG BEACH,3850029A,1427,171,N,0,VBM PORTION,44,32
LONG BEACH,3850029A,1427,171,N,742,TOTAL,82,57
LONG BEACH,3850031B,1429,171,N,1432,POLLING PLACE,70,61
LONG BEACH,3850031B,1429,171,N,0,VBM PORTION,47,41
LONG BEACH,3850031B,1429,171,N,1432,TOTAL,117,102
LONG BEACH,3850032B,1430,171,N,974,POLLING PLACE,65,48
LONG BEACH,3850032B,1430,171,N,0,VBM PORTION,33,29
LONG BEACH,3850032B,1430,171,N,974,TOTAL,98,77
LONG BEACH,3850035A,1432,171,N,841,POLLING PLACE,71,49
LONG BEACH,3850035A,1432,171,N,0,VBM PORTION,61,48
LONG BEACH,3850035A,1432,171,N,841,TOTAL,132,97
LONG BEACH,3850035F,6093,171,Y,41,POLLING PLACE,0,0
LONG BEACH,3850035F,6093,171,Y,0,VBM PORTION,8,3
LONG BEACH,3850035F,6093,171,Y,41,TOTAL,8,3
LONG BEACH,3850037A,1434,178,N,1279,POLLING PLACE,61,33
LONG BEACH,3850037A,1434,178,N,0,VBM PORTION,45,30
LONG BEACH,3850037A,1434,178,N,1279,TOTAL,106,63
LONG BEACH,3850037F,6094,178,Y,0,POLLING PLACE,0,0
LONG BEACH,3850037F,6094,178,Y,0,VBM PORTION,0,0
