LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,64
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,39
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,103
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,57
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,52
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,109
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,25
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,21
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,46
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,41
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,48
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,89
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,59
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,48
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,107
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,47
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,48
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,95
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,32
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,21
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,53
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,63
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,37
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,100
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,29
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,45
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,74
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,63
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,57
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,120
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,34
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,46
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,80
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,30
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,28
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,58
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,24
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,35
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,59
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,32
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,46
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,78
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,58
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,43
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,101
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,64
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,36
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,100
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,44
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,36
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,80
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,55
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,24
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,79
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,13
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,24
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,37
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,77
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,36
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,113
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,49
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,51
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,100
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,68
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,48
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,116
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,41
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,78
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,119
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,37
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,30
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,67
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,45
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,54
ARCADIA,0350001A,92,76,N,998,TOTAL,269,99
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,43
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,67
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,110
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,25
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,48
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,73
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,78
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,60
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,138
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,59
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,76
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,135
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,52
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,53
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,105
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,52
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,73
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,125
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,37
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,71
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,108
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,48
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,60
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,108
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,62
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,50
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,112
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,35
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,64
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,99
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,47
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,64
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,111
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,37
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,45
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,82
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,47
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,60
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,107
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,36
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,43
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,79
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,38
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,29
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,67
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,41
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,64
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,105
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,44
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,43
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,87
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,66
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,77
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,143
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,60
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,42
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,102
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,37
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,43
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,80
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,56
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,59
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,115
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,49
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,63
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,112
AVOCADO HEIGHTS,0520001A,129,123,N,1083,POLLING PLACE,80,58
AVOCADO HEIGHTS,0520001A,129,123,N,0,VBM PORTION,75,50
AVOCADO HEIGHTS,0520001A,129,123,N,1083,TOTAL,155,108
AVOCADO HEIGHTS,0520002A,130,123,N,709,POLLING PLACE,51,42
AVOCADO HEIGHTS,0520002A,130,123,N,0,VBM PORTION,20,10
AVOCADO HEIGHTS,0520002A,130,123,N,709,TOTAL,71,52
AVOCADO HEIGHTS,0520004A,131,124,N,784,POLLING PLACE,97,62
AVOCADO HEIGHTS,0520004A,131,124,N,0,VBM PORTION,70,46
AVOCADO HEIGHTS,0520004A,131,124,N,784,TOTAL,167,108
AVOCADO HEIGHTS,0520005B,132,123,N,788,POLLING PLACE,55,39
AVOCADO HEIGHTS,0520005B,132,123,N,0,VBM PORTION,25,21
AVOCADO HEIGHTS,0520005B,132,123,N,788,TOTAL,80,60
AVOCADO HEIGHTS,0520007A,133,124,N,525,POLLING PLACE,19,14
AVOCADO HEIGHTS,0520007A,133,124,N,0,VBM PORTION,19,13
AVOCADO HEIGHTS,0520007A,133,124,N,525,TOTAL,38,27
AVOCADO HEIGHTS,0520008A,134,123,N,866,POLLING PLACE,67,39
AVOCADO HEIGHTS,0520008A,134,123,N,0,VBM PORTION,30,20
AVOCADO HEIGHTS,0520008A,134,123,N,866,TOTAL,97,59
AVOCADO HEIGHTS,0520009A,135,123,N,759,POLLING PLACE,63,31
AVOCADO HEIGHTS,0520009A,135,123,N,0,VBM PORTION,55,37
AVOCADO HEIGHTS,0520009A,135,123,N,759,TOTAL,118,68
AVOCADO HEIGHTS,0520010A,136,123,N,757,POLLING PLACE,50,42
AVOCADO HEIGHTS,0520010A,136,123,N,0,VBM PORTION,44,36
AVOCADO HEIGHTS,0520010A,136,123,N,757,TOTAL,94,78
AVOCADO HEIGHTS,0520012A,137,123,N,484,POLLING PLACE,48,27
AVOCADO HEIGHTS,0520012A,137,123,N,0,VBM PORTION,30,23
AVOCADO HEIGHTS,0520012A,137,123,N,484,TOTAL,78,50
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,POLLING PLACE,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,VBM PORTION,0,0
AVOCADO HEIGHTS,0520016A,6016,123,Y,0,TOTAL,0,0
AVOCADO HEIGHTS,0520017A,138,123,N,582,POLLING PLACE,21,14
AVOCADO HEIGHTS,0520017A,138,123,N,0,VBM PORTION,19,13
AVOCADO HEIGHTS,0520017A,138,123,N,582,TOTAL,40,27
AZUSA,0550001A,139,66,N,624,POLLING PLACE,26,22
AZUSA,0550001A,139,66,N,0,VBM PORTION,22,12
AZUSA,0550001A,139,66,N,624,TOTAL,48,34
AZUSA,0550002A,140,66,N,790,POLLING PLACE,56,31
AZUSA,0550002A,140,66,N,0,VBM PORTION,32,21
AZUSA,0550002A,140,66,N,790,TOTAL,88,52
AZUSA,0550008A,141,66,N,1080,POLLING PLACE,95,64
AZUSA,0550008A,141,66,N,0,VBM PORTION,52,44
AZUSA,0550008A,141,66,N,1080,TOTAL,147,108
AZUSA,0550009A,142,66,N,1205,POLLING PLACE,88,62
AZUSA,0550009A,142,66,N,0,VBM PORTION,58,42
AZUSA,0550009A,142,66,N,1205,TOTAL,146,104
AZUSA,0550010B,143,66,N,818,POLLING PLACE,27,23
AZUSA,0550010B,143,66,N,0,VBM PORTION,25,14
AZUSA,0550010B,143,66,N,818,TOTAL,52,37
AZUSA,0550011A,144,66,N,796,POLLING PLACE,57,34
AZUSA,0550011A,144,66,N,0,VBM PORTION,99,60
AZUSA,0550011A,144,66,N,796,TOTAL,156,94
AZUSA,0550012A,145,66,N,630,POLLING PLACE,35,21
AZUSA,0550012A,145,66,N,0,VBM PORTION,16,13
AZUSA,0550012A,145,66,N,630,TOTAL,51,34
AZUSA,0550012B,146,66,N,939,POLLING PLACE,82,52
AZUSA,0550012B,146,66,N,0,VBM PORTION,45,34
AZUSA,0550012B,146,66,N,939,TOTAL,127,86
AZUSA,0550023F,147,66,N,451,POLLING PLACE,24,19
AZUSA,0550023F,147,66,N,0,VBM PORTION,31,22
AZUSA,0550023F,147,66,N,451,TOTAL,55,41
AZUSA,0550025A,148,66,N,1185,POLLING PLACE,77,58
AZUSA,0550025A,148,66,N,0,VBM PORTION,59,45
AZUSA,0550025A,148,66,N,1185,TOTAL,136,103
AZUSA,0550025B,149,66,N,510,POLLING PLACE,25,18
AZUSA,0550025B,149,66,N,0,VBM PORTION,24,16
AZUSA,0550025B,149,66,N,510,TOTAL,49,34
AZUSA,0550073A,150,66,N,884,POLLING PLACE,63,46
AZUSA,0550073A,150,66,N,0,VBM PORTION,67,39
AZUSA,0550073A,150,66,N,884,TOTAL,130,85
AZUSA,0550074A,151,66,N,1181,POLLING PLACE,75,45
AZUSA,0550074A,151,66,N,0,VBM PORTION,73,52
AZUSA,0550074A,151,66,N,1181,TOTAL,148,97
AZUSA,0550076A,152,66,N,673,POLLING PLACE,42,25
AZUSA,0550076A,152,66,N,0,VBM PORTION,28,16
AZUSA,0550076A,152,66,N,673,TOTAL,70,41
AZUSA,0550078A,153,66,N,1268,POLLING PLACE,77,53
AZUSA,0550078A,153,66,N,0,VBM PORTION,54,41
AZUSA,0550078A,153,66,N,1268,TOTAL,131,94
AZUSA,0550079A,154,66,N,852,POLLING PLACE,60,36
AZUSA,0550079A,154,66,N,0,VBM PORTION,137,70
AZUSA,0550079A,154,66,N,852,TOTAL,197,106
AZUSA,0550080A,155,66,N,1246,POLLING PLACE,116,72
AZUSA,0550080A,155,66,N,0,VBM PORTION,93,50
AZUSA,0550080A,155,66,N,1246,TOTAL,209,122
AZUSA,0550081A,156,66,N,793,POLLING PLACE,60,31
AZUSA,0550081A,156,66,N,0,VBM PORTION,88,47
AZUSA,0550081A,156,66,N,793,TOTAL,148,78
AZUSA,0550084B,157,66,N,927,POLLING PLACE,75,49
AZUSA,0550084B,157,66,N,0,VBM PORTION,72,39
AZUSA,0550084B,157,66,N,927,TOTAL,147,88
AZUSA,0550085A,158,66,N,959,POLLING PLACE,73,49
AZUSA,0550085A,158,66,N,0,VBM PORTION,78,55
AZUSA,0550085A,158,66,N,959,TOTAL,151,104
AZUSA,0550086A,159,66,N,631,POLLING PLACE,75,42
AZUSA,0550086A,159,66,N,0,VBM PORTION,46,28
AZUSA,0550086A,159,66,N,631,TOTAL,121,70
BALDWIN PARK,0600001A,160,66,N,1066,POLLING PLACE,53,46
BALDWIN PARK,0600001A,160,66,N,0,VBM PORTION,35,29
BALDWIN PARK,0600001A,160,66,N,1066,TOTAL,88,75
BALDWIN PARK,0600002A,161,66,N,1150,POLLING PLACE,52,40
BALDWIN PARK,0600002A,161,66,N,0,VBM PORTION,50,37
BALDWIN PARK,0600002A,161,66,N,1150,TOTAL,102,77
BALDWIN PARK,0600006A,162,66,N,1109,POLLING PLACE,76,61
BALDWIN PARK,0600006A,162,66,N,0,VBM PORTION,42,29
BALDWIN PARK,0600006A,162,66,N,1109,TOTAL,118,90
BALDWIN PARK,0600007A,163,66,N,904,POLLING PLACE,49,39
BALDWIN PARK,0600007A,163,66,N,0,VBM PORTION,45,37
BALDWIN PARK,0600007A,163,66,N,904,TOTAL,94,76
BALDWIN PARK,0600008A,164,66,N,1061,POLLING PLACE,84,60
BALDWIN PARK,0600008A,164,66,N,0,VBM PORTION,54,39
BALDWIN PARK,0600008A,164,66,N,1061,TOTAL,138,99
BALDWIN PARK,0600009A,165,66,N,1176,POLLING PLACE,57,42
BALDWIN PARK,0600009A,165,66,N,0,VBM PORTION,43,30
BALDWIN PARK,0600009A,165,66,N,1176,TOTAL,100,72
BALDWIN PARK,0600010A,166,66,N,1008,POLLING PLACE,75,55
BALDWIN PARK,0600010A,166,66,N,0,VBM PORTION,56,42
BALDWIN PARK,0600010A,166,66,N,1008,TOTAL,131,97
BALDWIN PARK,0600012A,167,66,N,1214,POLLING PLACE,60,47
BALDWIN PARK,0600012A,167,66,N,0,VBM PORTION,52,34
BALDWIN PARK,0600012A,167,66,N,1214,TOTAL,112,81
BALDWIN PARK,0600013A,168,66,N,1224,POLLING PLACE,76,59
BALDWIN PARK,0600013A,168,66,N,0,VBM PORTION,75,64
BALDWIN PARK,0600013A,168,66,N,1224,TOTAL,151,123
BALDWIN PARK,0600014A,169,66,N,1227,POLLING PLACE,78,61
BALDWIN PARK,0600014A,169,66,N,0,VBM PORTION,72,44
BALDWIN PARK,0600014A,169,66,N,1227,TOTAL,150,105
BALDWIN PARK,0600016A,170,66,N,1135,POLLING PLACE,61,38
BALDWIN PARK,0600016A,170,66,N,0,VBM PORTION,67,49
BALDWIN PARK,0600016A,170,66,N,1135,TOTAL,128,87
BALDWIN PARK,0600017A,171,66,N,505,POLLING PLACE,29,19
BALDWIN PARK,0600017A,171,66,N,0,VBM PORTION,31,20
BALDWIN PARK,0600017A,171,66,N,505,TOTAL,60,39
BALDWIN PARK,0600019A,172,66,N,1233,POLLING PLACE,81,61
BALDWIN PARK,0600019A,172,66,N,0,VBM PORTION,60,41
BALDWIN PARK,0600019A,172,66,N,1233,TOTAL,141,102
BALDWIN PARK,0600020A,173,66,N,1200,POLLING PLACE,67,52
BALDWIN PARK,0600020A,173,66,N,0,VBM PORTION,45,33
BALDWIN PARK,0600020A,173,66,N,1200,TOTAL,112,85
BALDWIN PARK,0600021B,174,66,N,841,POLLING PLACE,34,25
BALDWIN PARK,0600021B,174,66,N,0,VBM PORTION,36,25
BALDWIN PARK,0600021B,174,66,N,841,TOTAL,70,50
BALDWIN PARK,0600024E,175,66,N,1235,POLLING PLACE,59,35
BALDWIN PARK,0600024E,175,66,N,0,VBM PORTION,80,58
BALDWIN PARK,0600024E,175,66,N,1235,TOTAL,139,93
BALDWIN PARK,0600025A,176,66,N,750,POLLING PLACE,36,29
BALDWIN PARK,0600025A,176,66,N,0,VBM PORTION,26,18
BALDWIN PARK,0600025A,176,66,N,750,TOTAL,62,47
BALDWIN PARK,0600026A,177,66,N,964,POLLING PLACE,60,46
BALDWIN PARK,0600026A,177,66,N,0,VBM PORTION,37,23
BALDWIN PARK,0600026A,177,66,N,964,TOTAL,97,69
BALDWIN PARK,0600027A,178,66,N,1197,POLLING PLACE,75,61
BALDWIN PARK,0600027A,178,66,N,0,VBM PORTION,58,39
BALDWIN PARK,0600027A,178,66,N,1197,TOTAL,133,100
BALDWIN PARK,0600028A,179,66,N,998,POLLING PLACE,53,36
BALDWIN PARK,0600028A,179,66,N,0,VBM PORTION,42,36
BALDWIN PARK,0600028A,179,66,N,998,TOTAL,95,72
BALDWIN PARK,0600029A,180,66,N,1143,POLLING PLACE,51,35
BALDWIN PARK,0600029A,180,66,N,0,VBM PORTION,43,37
BALDWIN PARK,0600029A,180,66,N,1143,TOTAL,94,72
BALDWIN PARK,0600030A,181,66,N,784,POLLING PLACE,49,27
BALDWIN PARK,0600030A,181,66,N,0,VBM PORTION,42,36
BALDWIN PARK,0600030A,181,66,N,784,TOTAL,91,63
BALDWIN PARK,0600034A,182,66,N,1028,POLLING PLACE,41,33
BALDWIN PARK,0600034A,182,66,N,0,VBM PORTION,31,27
BALDWIN PARK,0600034A,182,66,N,1028,TOTAL,72,60
BALDWIN PARK,0600035A,183,66,N,1131,POLLING PLACE,73,55
BALDWIN PARK,0600035A,183,66,N,0,VBM PORTION,42,36
BALDWIN PARK,0600035A,183,66,N,1131,TOTAL,115,91
BALDWIN PARK,0600036A,184,66,N,962,POLLING PLACE,60,43
BALDWIN PARK,0600036A,184,66,N,0,VBM PORTION,56,46
BALDWIN PARK,0600036A,184,66,N,962,TOTAL,116,89
BALDWIN PARK,0600037A,185,66,N,1173,POLLING PLACE,66,50
BALDWIN PARK,0600037A,185,66,N,0,VBM PORTION,50,41
BALDWIN PARK,0600037A,185,66,N,1173,TOTAL,116,91
BALDWIN PARK,0600041B,186,66,N,1028,POLLING PLACE,59,34
BALDWIN PARK,0600041B,186,66,N,0,VBM PORTION,44,34
BALDWIN PARK,0600041B,186,66,N,1028,TOTAL,103,68
BALDWIN PARK,0600052B,187,66,N,1072,POLLING PLACE,70,56
BALDWIN PARK,0600052B,187,66,N,0,VBM PORTION,21,18
BALDWIN PARK,0600052B,187,66,N,1072,TOTAL,91,74
BASSETT,0670005A,188,66,N,784,POLLING PLACE,53,37
BASSETT,0670005A,188,66,N,0,VBM PORTION,33,27
BASSETT,0670005A,188,66,N,784,TOTAL,86,64
BASSETT,0670006A,189,66,N,1076,POLLING PLACE,45,38
BASSETT,0670006A,189,66,N,0,VBM PORTION,41,37
BASSETT,0670006A,189,66,N,1076,TOTAL,86,75
BASSETT,0670010A,190,66,N,751,POLLING PLACE,41,24
BASSETT,0670010A,190,66,N,0,VBM PORTION,34,28
BASSETT,0670010A,190,66,N,751,TOTAL,75,52
BASSETT,0670141A,191,66,N,1152,POLLING PLACE,82,60
BASSETT,0670141A,191,66,N,0,VBM PORTION,42,32
BASSETT,0670141A,191,66,N,1152,TOTAL,124,92
BASSETT,0670142A,192,66,N,626,POLLING PLACE,42,31
BASSETT,0670142A,192,66,N,0,VBM PORTION,28,26
BASSETT,0670142A,192,66,N,626,TOTAL,70,57
BASSETT,0670143A,193,66,N,1026,POLLING PLACE,95,64
BASSETT,0670143A,193,66,N,0,VBM PORTION,40,36
BASSETT,0670143A,193,66,N,1026,TOTAL,135,100
BASSETT,0670144A,194,66,N,991,POLLING PLACE,80,59
BASSETT,0670144A,194,66,N,0,VBM PORTION,49,37
BASSETT,0670144A,194,66,N,991,TOTAL,129,96
CHARTER OAK,1100001A,463,66,N,577,POLLING PLACE,33,22
CHARTER OAK,1100001A,463,66,N,0,VBM PORTION,18,11
CHARTER OAK,1100001A,463,66,N,577,TOTAL,51,33
CHARTER OAK,1100004A,464,66,N,670,POLLING PLACE,36,29
CHARTER OAK,1100004A,464,66,N,0,VBM PORTION,24,17
CHARTER OAK,1100004A,464,66,N,670,TOTAL,60,46
CHARTER OAK,1100005A,465,66,N,615,POLLING PLACE,32,23
CHARTER OAK,1100005A,465,66,N,0,VBM PORTION,28,17
CHARTER OAK,1100005A,465,66,N,615,TOTAL,60,40
CHARTER OAK,1100007A,466,66,N,1047,POLLING PLACE,61,40
CHARTER OAK,1100007A,466,66,N,0,VBM PORTION,30,18
CHARTER OAK,1100007A,466,66,N,1047,TOTAL,91,58
CHARTER OAK,1100026A,467,68,N,1153,POLLING PLACE,115,56
CHARTER OAK,1100026A,467,68,N,0,VBM PORTION,73,43
CHARTER OAK,1100026A,467,68,N,1153,TOTAL,188,99
CHARTER OAK,1100028A,468,68,N,1304,POLLING PLACE,106,64
CHARTER OAK,1100028A,468,68,N,0,VBM PORTION,79,40
CHARTER OAK,1100028A,468,68,N,1304,TOTAL,185,104
CHARTER OAK,1100040A,469,68,N,1127,POLLING PLACE,76,46
CHARTER OAK,1100040A,469,68,N,0,VBM PORTION,75,52
CHARTER OAK,1100040A,469,68,N,1127,TOTAL,151,98
CHARTER OAK,1100072A,470,68,N,580,POLLING PLACE,38,25
CHARTER OAK,1100072A,470,68,N,0,VBM PORTION,27,12
CHARTER OAK,1100072A,470,68,N,580,TOTAL,65,37
CHARTER OAK,1100073A,471,68,N,1146,POLLING PLACE,106,67
CHARTER OAK,1100073A,471,68,N,0,VBM PORTION,68,43
CHARTER OAK,1100073A,471,68,N,1146,TOTAL,174,110
CHARTER OAK,1100076A,472,66,N,1098,POLLING PLACE,100,61
CHARTER OAK,1100076A,472,66,N,0,VBM PORTION,52,35
CHARTER OAK,1100076A,472,66,N,1098,TOTAL,152,96
CHARTER OAK,1100077A,473,66,N,1001,POLLING PLACE,65,45
CHARTER OAK,1100077A,473,66,N,0,VBM PORTION,25,12
