LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,4,17,84,7,22,5,6
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,4,15,69,6,19,14,2
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,8,32,153,13,41,19,8
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,0,9,60,6,13,15,2
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,5,5,64,8,18,4,2
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,5,14,124,14,31,19,4
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,6,6,59,2,11,5,1
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,6,9,57,9,15,10,1
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,12,15,116,11,26,15,2
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,3,9,77,6,14,10,1
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,3,3,70,5,8,12,3
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,6,12,147,11,22,22,4
AGUA DULCE,0090003A,23,10,N,998,POLLING PLACE,130,5,21,49,6,27,6,2
AGUA DULCE,0090003A,23,10,N,0,VBM PORTION,128,8,16,41,7,20,9,1
AGUA DULCE,0090003A,23,10,N,998,TOTAL,258,13,37,90,13,47,15,3
AGUA DULCE,0090004A,24,10,N,750,POLLING PLACE,100,1,16,44,3,13,8,0
AGUA DULCE,0090004A,24,10,N,0,VBM PORTION,77,6,9,31,5,7,4,1
AGUA DULCE,0090004A,24,10,N,750,TOTAL,177,7,25,75,8,20,12,1
AGUA DULCE,0090004C,25,10,N,507,POLLING PLACE,62,4,1,29,0,12,1,2
AGUA DULCE,0090004C,25,10,N,0,VBM PORTION,71,0,10,41,5,10,0,0
AGUA DULCE,0090004C,25,10,N,507,TOTAL,133,4,11,70,5,22,1,2
AGUA DULCE,0090005B,6007,3,Y,135,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090005B,6007,3,Y,0,VBM PORTION,26,0,3,10,3,2,4,1
AGUA DULCE,0090005B,6007,3,Y,135,TOTAL,26,0,3,10,3,2,4,1
AGUA DULCE,0090006A,6008,10,Y,68,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090006A,6008,10,Y,0,VBM PORTION,12,0,1,4,2,1,2,1
AGUA DULCE,0090006A,6008,10,Y,68,TOTAL,12,0,1,4,2,1,2,1
AGUA DULCE,0090009A,6009,21,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
AGUA DULCE,0090009A,6009,21,Y,0,TOTAL,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,0,VBM PORTION,4,0,0,4,0,0,0,0
AGUA DULCE,0090012A,6010,21,Y,5,TOTAL,4,0,0,4,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
AGUA DULCE,0090017A,6011,11,Y,0,TOTAL,0,0,0,0,0,0,0,0
ALHAMBRA,0150001A,26,76,N,959,POLLING PLACE,89,3,12,44,2,11,3,9
ALHAMBRA,0150001A,26,76,N,0,VBM PORTION,65,2,7,29,3,9,5,5
ALHAMBRA,0150001A,26,76,N,959,TOTAL,154,5,19,73,5,20,8,14
ALHAMBRA,0150003B,27,76,N,767,POLLING PLACE,51,0,5,19,5,4,1,2
ALHAMBRA,0150003B,27,76,N,0,VBM PORTION,56,6,5,11,8,9,6,5
ALHAMBRA,0150003B,27,76,N,767,TOTAL,107,6,10,30,13,13,7,7
ALHAMBRA,0150004A,28,76,N,1209,POLLING PLACE,135,4,14,75,9,7,6,5
ALHAMBRA,0150004A,28,76,N,0,VBM PORTION,123,4,7,51,5,22,13,2
ALHAMBRA,0150004A,28,76,N,1209,TOTAL,258,8,21,126,14,29,19,7
ALHAMBRA,0150007A,29,76,N,1297,POLLING PLACE,63,2,7,24,2,10,1,11
ALHAMBRA,0150007A,29,76,N,0,VBM PORTION,72,2,5,27,7,7,3,6
ALHAMBRA,0150007A,29,76,N,1297,TOTAL,135,4,12,51,9,17,4,17
ALHAMBRA,0150008A,30,76,N,1214,POLLING PLACE,79,3,7,31,2,10,3,5
ALHAMBRA,0150008A,30,76,N,0,VBM PORTION,55,3,5,19,3,9,8,0
ALHAMBRA,0150008A,30,76,N,1214,TOTAL,134,6,12,50,5,19,11,5
ALHAMBRA,0150011A,31,76,N,1288,POLLING PLACE,126,7,9,61,0,16,8,10
ALHAMBRA,0150011A,31,76,N,0,VBM PORTION,111,5,9,43,5,11,10,12
ALHAMBRA,0150011A,31,76,N,1288,TOTAL,237,12,18,104,5,27,18,22
ALHAMBRA,0150012A,32,76,N,1108,POLLING PLACE,76,2,5,37,5,12,3,6
ALHAMBRA,0150012A,32,76,N,0,VBM PORTION,68,2,6,18,5,12,5,3
ALHAMBRA,0150012A,32,76,N,1108,TOTAL,144,4,11,55,10,24,8,9
ALHAMBRA,0150014A,33,76,N,1129,POLLING PLACE,86,3,9,29,8,16,8,5
ALHAMBRA,0150014A,33,76,N,0,VBM PORTION,64,1,7,18,3,9,5,1
ALHAMBRA,0150014A,33,76,N,1129,TOTAL,150,4,16,47,11,25,13,6
ALHAMBRA,0150015A,34,76,N,950,POLLING PLACE,116,7,10,48,11,17,14,2
ALHAMBRA,0150015A,34,76,N,0,VBM PORTION,78,3,4,30,3,11,6,8
ALHAMBRA,0150015A,34,76,N,950,TOTAL,194,10,14,78,14,28,20,10
ALHAMBRA,0150016F,35,76,N,866,POLLING PLACE,94,2,12,41,3,7,8,11
ALHAMBRA,0150016F,35,76,N,0,VBM PORTION,79,2,11,30,2,8,8,4
ALHAMBRA,0150016F,35,76,N,866,TOTAL,173,4,23,71,5,15,16,15
ALHAMBRA,0150018A,36,76,N,872,POLLING PLACE,83,8,6,41,3,9,5,4
ALHAMBRA,0150018A,36,76,N,0,VBM PORTION,63,3,2,23,5,3,6,5
ALHAMBRA,0150018A,36,76,N,872,TOTAL,146,11,8,64,8,12,11,9
ALHAMBRA,0150021A,37,76,N,1028,POLLING PLACE,68,1,10,28,0,8,5,6
ALHAMBRA,0150021A,37,76,N,0,VBM PORTION,120,1,17,39,8,18,12,6
ALHAMBRA,0150021A,37,76,N,1028,TOTAL,188,2,27,67,8,26,17,12
ALHAMBRA,0150022A,38,76,N,898,POLLING PLACE,94,4,4,37,9,13,8,9
ALHAMBRA,0150022A,38,76,N,0,VBM PORTION,62,0,7,27,4,8,2,4
ALHAMBRA,0150022A,38,76,N,898,TOTAL,156,4,11,64,13,21,10,13
ALHAMBRA,0150023A,39,76,N,1152,POLLING PLACE,72,0,7,33,4,11,2,8
ALHAMBRA,0150023A,39,76,N,0,VBM PORTION,78,4,6,27,1,6,10,7
ALHAMBRA,0150023A,39,76,N,1152,TOTAL,150,4,13,60,5,17,12,15
ALHAMBRA,0150024A,40,76,N,718,POLLING PLACE,33,0,6,4,5,3,5,6
ALHAMBRA,0150024A,40,76,N,0,VBM PORTION,34,2,3,13,2,3,4,3
ALHAMBRA,0150024A,40,76,N,718,TOTAL,67,2,9,17,7,6,9,9
ALHAMBRA,0150025A,41,76,N,943,POLLING PLACE,51,0,4,18,3,11,5,4
ALHAMBRA,0150025A,41,76,N,0,VBM PORTION,62,4,4,27,1,11,7,3
ALHAMBRA,0150025A,41,76,N,943,TOTAL,113,4,8,45,4,22,12,7
ALHAMBRA,0150030A,42,76,N,1260,POLLING PLACE,85,5,7,27,4,16,5,15
ALHAMBRA,0150030A,42,76,N,0,VBM PORTION,79,1,6,25,4,13,9,5
ALHAMBRA,0150030A,42,76,N,1260,TOTAL,164,6,13,52,8,29,14,20
ALHAMBRA,0150032A,43,76,N,1229,POLLING PLACE,83,4,7,34,7,11,4,6
ALHAMBRA,0150032A,43,76,N,0,VBM PORTION,77,3,8,21,6,10,5,3
ALHAMBRA,0150032A,43,76,N,1229,TOTAL,160,7,15,55,13,21,9,9
ALHAMBRA,0150033A,44,76,N,827,POLLING PLACE,51,1,4,15,3,12,1,7
ALHAMBRA,0150033A,44,76,N,0,VBM PORTION,36,2,1,13,3,3,0,5
ALHAMBRA,0150033A,44,76,N,827,TOTAL,87,3,5,28,6,15,1,12
ALHAMBRA,0150037A,45,76,N,1067,POLLING PLACE,92,2,3,41,4,19,2,12
ALHAMBRA,0150037A,45,76,N,0,VBM PORTION,75,2,8,26,3,6,8,8
ALHAMBRA,0150037A,45,76,N,1067,TOTAL,167,4,11,67,7,25,10,20
ALHAMBRA,0150039A,46,76,N,1313,POLLING PLACE,47,1,4,19,6,8,1,3
ALHAMBRA,0150039A,46,76,N,0,VBM PORTION,79,2,4,20,5,17,0,6
ALHAMBRA,0150039A,46,76,N,1313,TOTAL,126,3,8,39,11,25,1,9
ALHAMBRA,0150041A,47,76,N,1303,POLLING PLACE,97,7,7,38,4,12,4,12
ALHAMBRA,0150041A,47,76,N,0,VBM PORTION,94,6,5,25,6,15,6,5
ALHAMBRA,0150041A,47,76,N,1303,TOTAL,191,13,12,63,10,27,10,17
ALHAMBRA,0150042A,48,76,N,815,POLLING PLACE,45,5,6,17,2,6,1,1
ALHAMBRA,0150042A,48,76,N,0,VBM PORTION,65,3,1,13,6,22,4,9
ALHAMBRA,0150042A,48,76,N,815,TOTAL,110,8,7,30,8,28,5,10
ALHAMBRA,0150044A,49,76,N,973,POLLING PLACE,51,3,2,21,4,10,3,2
ALHAMBRA,0150044A,49,76,N,0,VBM PORTION,47,0,1,20,4,10,4,1
ALHAMBRA,0150044A,49,76,N,973,TOTAL,98,3,3,41,8,20,7,3
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,2,6,14,2,6,2,7
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,4,5,20,3,15,0,2
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,6,11,34,5,21,2,9
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,2,0,28,2,8,3,5
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,3,6,27,6,21,1,2
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,5,6,55,8,29,4,7
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,3,8,26,9,20,3,10
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,1,6,23,4,11,4,6
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,4,14,49,13,31,7,16
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,0,10,37,4,10,8,11
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,2,9,24,3,10,3,1
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,2,19,61,7,20,11,12
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,0,6,41,3,10,5,8
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,5,4,14,2,9,2,2
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,5,10,55,5,19,7,10
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,2,4,34,2,11,7,6
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,3,7,22,1,6,4,3
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,5,11,56,3,17,11,9
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,0,3,4,3,7,1,3
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,0,1,16,5,7,1,0
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,0,4,20,8,14,2,3
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,4,9,46,4,21,6,12
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,1,3,17,1,10,0,6
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,5,12,63,5,31,6,18
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,2,7,33,2,14,5,7
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,3,7,38,6,5,14,6
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,5,14,71,8,19,19,13
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,2,14,54,5,19,3,4
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,0,12,16,2,26,4,7
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,2,26,70,7,45,7,11
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,2,6,24,6,10,4,3
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,7,17,42,8,41,8,2
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,9,23,66,14,51,12,5
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,2,9,33,1,6,8,7
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,7,4,26,2,11,4,4
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,9,13,59,3,17,12,11
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,1,4,5,1,6,7,9
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,1,3,13,3,2,5,4
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,2,7,18,4,8,12,13
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,4,13,30,3,7,5,2
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,2,0,21,5,6,5,0
ALTADENA,0200001A,63,33,N,500,TOTAL,118,6,13,51,8,13,10,2
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,1,4,29,1,11,4,1
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,2,8,40,3,10,11,1
ALTADENA,0200002A,64,33,N,692,TOTAL,152,3,12,69,4,21,15,2
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,2,7,41,5,14,9,3
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,5,3,20,8,13,10,1
ALTADENA,0200003A,65,33,N,854,TOTAL,161,7,10,61,13,27,19,4
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,1,18,81,2,24,2,6
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,2,14,78,14,34,9,2
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,3,32,159,16,58,11,8
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,3,12,58,5,12,10,0
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,5,16,49,6,13,18,3
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,8,28,107,11,25,28,3
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,4,3,30,7,10,7,3
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,8,4,13,6,8,7,6
ALTADENA,0200008A,68,33,N,873,TOTAL,135,12,7,43,13,18,14,9
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,5,8,35,5,8,7,8
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,0,13,17,7,9,6,4
ALTADENA,0200009A,69,33,N,969,TOTAL,151,5,21,52,12,17,13,12
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,3,5,42,1,7,5,2
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,4,7,38,8,18,3,2
ALTADENA,0200011A,70,33,N,860,TOTAL,178,7,12,80,9,25,8,4
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,1,9,48,2,19,8,2
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,5,8,45,11,13,2,0
ALTADENA,0200012A,71,33,N,819,TOTAL,194,6,17,93,13,32,10,2
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,2,9,22,3,13,1,3
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,1,2,12,5,4,7,3
ALTADENA,0200013A,72,33,N,931,TOTAL,109,3,11,34,8,17,8,6
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,7,8,41,2,14,8,5
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,4,11,29,8,23,8,7
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,11,19,70,10,37,16,12
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,0,4,22,7,8,2,7
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,1,6,13,5,9,7,5
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,1,10,35,12,17,9,12
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,0,8,14,3,14,3,10
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,0,3,19,4,3,0,7
ALTADENA,0200018A,75,33,N,852,TOTAL,93,0,11,33,7,17,3,17
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,2,3,24,0,14,2,5
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,0,3,13,1,4,1,1
ALTADENA,0200019B,76,33,N,872,TOTAL,81,2,6,37,1,18,3,6
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,4,6,68,6,20,7,1
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,4,5,55,3,18,9,2
ALTADENA,0200022A,77,33,N,866,TOTAL,243,8,11,123,9,38,16,3
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,4,7,40,6,12,5,5
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,4,3,20,5,3,5,1
ALTADENA,0200025B,78,33,N,915,TOTAL,136,8,10,60,11,15,10,6
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,2,23,101,4,33,16,4
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,5,23,82,12,19,12,6
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,7,46,183,16,52,28,10
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,4,12,52,7,24,7,0
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,7,13,60,4,26,6,0
ALTADENA,0200030A,80,33,N,889,TOTAL,261,11,25,112,11,50,13,0
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0,0,0,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0,0,0,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,7,16,110,4,21,10,3
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,0,9,71,7,20,8,6
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,7,25,181,11,41,18,9
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,7,14,103,4,29,13,3
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,2,17,63,6,14,8,0
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,9,31,166,10,43,21,3
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,4,8,78,8,25,9,0
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,3,7,51,9,20,4,5
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,7,15,129,17,45,13,5
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,3,8,28,5,18,7,2
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,5,4,20,6,5,7,2
ALTADENA,0200044A,84,33,N,985,TOTAL,136,8,12,48,11,23,14,4
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,8,9,74,4,13,7,3
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,4,10,74,5,18,9,1
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,12,19,148,9,31,16,4
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,10,15,60,13,24,10,4
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,1,18,58,7,16,22,2
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,11,33,118,20,40,32,6
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0,0,0,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,0,0,0,0,0,2,1
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,0,0,0,0,0,2,1
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,2,10,33,2,22,4,4
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,0,2,16,5,13,13,3
ALTADENA,0200087A,87,33,N,703,TOTAL,153,2,12,49,7,35,17,7
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,8,7,64,5,22,14,5
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,10,5,55,11,25,10,2
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,18,12,119,16,47,24,7
