LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
LAKEWOOD,3450091A,1308,166,N,1290,TOTAL,148,60,78
LAKEWOOD,3450092A,1309,166,N,1337,POLLING PLACE,113,31,66
LAKEWOOD,3450092A,1309,166,N,0,VBM PORTION,79,32,41
LAKEWOOD,3450092A,1309,166,N,1337,TOTAL,192,63,107
LOS NIETOS,3900005A,1662,132,N,642,POLLING PLACE,60,25,29
LOS NIETOS,3900005A,1662,132,N,0,VBM PORTION,26,7,16
LOS NIETOS,3900005A,1662,132,N,642,TOTAL,86,32,45
LOS NIETOS,3900006A,1663,132,N,1084,POLLING PLACE,88,24,53
LOS NIETOS,3900006A,1663,132,N,0,VBM PORTION,70,27,35
LOS NIETOS,3900006A,1663,132,N,1084,TOTAL,158,51,88
LOS NIETOS,3900007A,1664,132,N,1096,POLLING PLACE,64,20,36
LOS NIETOS,3900007A,1664,132,N,0,VBM PORTION,48,13,33
LOS NIETOS,3900007A,1664,132,N,1096,TOTAL,112,33,69
LOS NIETOS,3900008A,1665,132,N,619,POLLING PLACE,34,5,25
LOS NIETOS,3900008A,1665,132,N,0,VBM PORTION,33,9,20
LOS NIETOS,3900008A,1665,132,N,619,TOTAL,67,14,45
LOS NIETOS,3900009A,1666,132,N,1209,POLLING PLACE,106,19,65
LOS NIETOS,3900009A,1666,132,N,0,VBM PORTION,39,8,27
LOS NIETOS,3900009A,1666,132,N,1209,TOTAL,145,27,92
LOS NIETOS,3900061A,1667,132,N,383,POLLING PLACE,36,7,26
LOS NIETOS,3900061A,1667,132,N,0,VBM PORTION,16,2,14
LOS NIETOS,3900061A,1667,132,N,383,TOTAL,52,9,40
LOS NIETOS,3900062A,1668,132,N,1199,POLLING PLACE,82,12,55
LOS NIETOS,3900062A,1668,132,N,0,VBM PORTION,43,7,33
LOS NIETOS,3900062A,1668,132,N,1199,TOTAL,125,19,88
LOS NIETOS,3900063A,1669,132,N,643,POLLING PLACE,49,13,27
LOS NIETOS,3900063A,1669,132,N,0,VBM PORTION,11,3,6
LOS NIETOS,3900063A,1669,132,N,643,TOTAL,60,16,33
LOS NIETOS,3900066A,1670,132,N,1092,POLLING PLACE,91,26,59
LOS NIETOS,3900066A,1670,132,N,0,VBM PORTION,72,25,43
LOS NIETOS,3900066A,1670,132,N,1092,TOTAL,163,51,102
LOS NIETOS,3900067A,1671,132,N,1109,POLLING PLACE,101,27,65
LOS NIETOS,3900067A,1671,132,N,0,VBM PORTION,73,34,34
LOS NIETOS,3900067A,1671,132,N,1109,TOTAL,174,61,99
LOS NIETOS,3900070A,1672,132,N,949,POLLING PLACE,50,16,28
LOS NIETOS,3900070A,1672,132,N,0,VBM PORTION,45,10,33
LOS NIETOS,3900070A,1672,132,N,949,TOTAL,95,26,61
LOS NIETOS,3900071C,1673,132,N,376,POLLING PLACE,16,6,7
LOS NIETOS,3900071C,1673,132,N,0,VBM PORTION,23,11,10
LOS NIETOS,3900071C,1673,132,N,376,TOTAL,39,17,17
LOS NIETOS,3900073A,1674,132,N,908,POLLING PLACE,66,15,39
LOS NIETOS,3900073A,1674,132,N,0,VBM PORTION,67,17,40
LOS NIETOS,3900073A,1674,132,N,908,TOTAL,133,32,79
LOS NIETOS,3900080B,1675,132,N,782,POLLING PLACE,50,4,42
LOS NIETOS,3900080B,1675,132,N,0,VBM PORTION,30,11,14
LOS NIETOS,3900080B,1675,132,N,782,TOTAL,80,15,56
LOS NIETOS,3900082A,1676,132,N,1129,POLLING PLACE,74,13,52
LOS NIETOS,3900082A,1676,132,N,0,VBM PORTION,45,16,26
LOS NIETOS,3900082A,1676,132,N,1129,TOTAL,119,29,78
LOS NIETOS,3900088A,1677,132,N,562,POLLING PLACE,53,26,24
LOS NIETOS,3900088A,1677,132,N,0,VBM PORTION,50,18,30
LOS NIETOS,3900088A,1677,132,N,562,TOTAL,103,44,54
MONTEBELLO,4450001A,1774,134,N,864,POLLING PLACE,97,20,66
MONTEBELLO,4450001A,1774,134,N,0,VBM PORTION,57,9,40
MONTEBELLO,4450001A,1774,134,N,864,TOTAL,154,29,106
MONTEBELLO,4450002A,1775,134,N,1090,POLLING PLACE,87,12,64
MONTEBELLO,4450002A,1775,134,N,0,VBM PORTION,61,12,40
MONTEBELLO,4450002A,1775,134,N,1090,TOTAL,148,24,104
MONTEBELLO,4450003A,1776,134,N,939,POLLING PLACE,42,7,30
MONTEBELLO,4450003A,1776,134,N,0,VBM PORTION,48,10,33
MONTEBELLO,4450003A,1776,134,N,939,TOTAL,90,17,63
MONTEBELLO,4450004A,1777,134,N,954,POLLING PLACE,48,4,37
MONTEBELLO,4450004A,1777,134,N,0,VBM PORTION,56,6,44
MONTEBELLO,4450004A,1777,134,N,954,TOTAL,104,10,81
MONTEBELLO,4450005A,1778,134,N,1067,POLLING PLACE,71,16,29
MONTEBELLO,4450005A,1778,134,N,0,VBM PORTION,36,5,22
MONTEBELLO,4450005A,1778,134,N,1067,TOTAL,107,21,51
MONTEBELLO,4450008A,1779,134,N,994,POLLING PLACE,84,17,55
MONTEBELLO,4450008A,1779,134,N,0,VBM PORTION,84,13,64
MONTEBELLO,4450008A,1779,134,N,994,TOTAL,168,30,119
MONTEBELLO,4450010A,1780,75,N,870,POLLING PLACE,108,21,65
MONTEBELLO,4450010A,1780,75,N,0,VBM PORTION,105,35,54
MONTEBELLO,4450010A,1780,75,N,870,TOTAL,213,56,119
MONTEBELLO,4450011A,1781,134,N,1222,POLLING PLACE,78,11,59
MONTEBELLO,4450011A,1781,134,N,0,VBM PORTION,43,14,27
MONTEBELLO,4450011A,1781,134,N,1222,TOTAL,121,25,86
MONTEBELLO,4450012A,1782,134,N,1132,POLLING PLACE,63,12,44
MONTEBELLO,4450012A,1782,134,N,0,VBM PORTION,43,7,28
MONTEBELLO,4450012A,1782,134,N,1132,TOTAL,106,19,72
MONTEBELLO,4450013A,1783,75,N,785,POLLING PLACE,92,22,58
MONTEBELLO,4450013A,1783,75,N,0,VBM PORTION,86,34,40
MONTEBELLO,4450013A,1783,75,N,785,TOTAL,178,56,98
MONTEBELLO,4450014A,1784,134,N,910,POLLING PLACE,74,23,45
MONTEBELLO,4450014A,1784,134,N,0,VBM PORTION,54,23,28
MONTEBELLO,4450014A,1784,134,N,910,TOTAL,128,46,73
MONTEBELLO,4450015A,1785,134,N,949,POLLING PLACE,65,14,41
MONTEBELLO,4450015A,1785,134,N,0,VBM PORTION,35,11,22
MONTEBELLO,4450015A,1785,134,N,949,TOTAL,100,25,63
MONTEBELLO,4450016A,1786,134,N,677,POLLING PLACE,39,6,25
MONTEBELLO,4450016A,1786,134,N,0,VBM PORTION,45,12,27
MONTEBELLO,4450016A,1786,134,N,677,TOTAL,84,18,52
MONTEBELLO,4450017A,1787,134,N,810,POLLING PLACE,64,16,35
MONTEBELLO,4450017A,1787,134,N,0,VBM PORTION,59,12,38
MONTEBELLO,4450017A,1787,134,N,810,TOTAL,123,28,73
MONTEBELLO,4450018A,1788,134,N,1013,POLLING PLACE,119,49,53
MONTEBELLO,4450018A,1788,134,N,0,VBM PORTION,104,38,57
MONTEBELLO,4450018A,1788,134,N,1013,TOTAL,223,87,110
MONTEBELLO,4450020A,1789,134,N,1062,POLLING PLACE,83,13,54
MONTEBELLO,4450020A,1789,134,N,0,VBM PORTION,59,15,40
MONTEBELLO,4450020A,1789,134,N,1062,TOTAL,142,28,94
MONTEBELLO,4450024A,1790,134,N,925,POLLING PLACE,77,16,52
MONTEBELLO,4450024A,1790,134,N,0,VBM PORTION,33,10,23
MONTEBELLO,4450024A,1790,134,N,925,TOTAL,110,26,75
MONTEBELLO,4450025A,1791,134,N,1145,POLLING PLACE,101,38,51
MONTEBELLO,4450025A,1791,134,N,0,VBM PORTION,97,32,48
MONTEBELLO,4450025A,1791,134,N,1145,TOTAL,198,70,99
MONTEBELLO,4450026A,1792,134,N,1019,POLLING PLACE,123,17,79
MONTEBELLO,4450026A,1792,134,N,0,VBM PORTION,33,3,28
MONTEBELLO,4450026A,1792,134,N,1019,TOTAL,156,20,107
MONTEBELLO,4450028A,1793,134,N,530,POLLING PLACE,42,9,27
MONTEBELLO,4450028A,1793,134,N,0,VBM PORTION,72,20,44
MONTEBELLO,4450028A,1793,134,N,530,TOTAL,114,29,71
MONTEBELLO,4450031A,1794,134,N,1039,POLLING PLACE,57,9,39
MONTEBELLO,4450031A,1794,134,N,0,VBM PORTION,27,7,18
MONTEBELLO,4450031A,1794,134,N,1039,TOTAL,84,16,57
MONTEBELLO,4450032A,1795,134,N,828,POLLING PLACE,69,12,42
MONTEBELLO,4450032A,1795,134,N,0,VBM PORTION,34,7,23
MONTEBELLO,4450032A,1795,134,N,828,TOTAL,103,19,65
MONTEBELLO,4450033A,1796,134,N,900,POLLING PLACE,45,6,35
MONTEBELLO,4450033A,1796,134,N,0,VBM PORTION,32,6,24
MONTEBELLO,4450033A,1796,134,N,900,TOTAL,77,12,59
MONTEBELLO,4450034A,1797,134,N,878,POLLING PLACE,52,7,36
MONTEBELLO,4450034A,1797,134,N,0,VBM PORTION,51,16,32
MONTEBELLO,4450034A,1797,134,N,878,TOTAL,103,23,68
MONTEBELLO,4450036A,1798,134,N,655,POLLING PLACE,46,13,27
MONTEBELLO,4450036A,1798,134,N,0,VBM PORTION,30,7,20
MONTEBELLO,4450036A,1798,134,N,655,TOTAL,76,20,47
MONTEBELLO,4450038A,1799,134,N,873,POLLING PLACE,62,10,36
MONTEBELLO,4450038A,1799,134,N,0,VBM PORTION,61,9,45
MONTEBELLO,4450038A,1799,134,N,873,TOTAL,123,19,81
MONTEBELLO,4450043B,1800,134,N,1152,POLLING PLACE,73,12,50
MONTEBELLO,4450043B,1800,134,N,0,VBM PORTION,31,3,24
MONTEBELLO,4450043B,1800,134,N,1152,TOTAL,104,15,74
MONTEBELLO,4450065A,1801,134,N,931,POLLING PLACE,51,9,31
MONTEBELLO,4450065A,1801,134,N,0,VBM PORTION,38,1,32
MONTEBELLO,4450065A,1801,134,N,931,TOTAL,89,10,63
MONTEBELLO,4450074A,1802,75,N,1061,POLLING PLACE,73,25,41
MONTEBELLO,4450074A,1802,75,N,0,VBM PORTION,103,36,56
MONTEBELLO,4450074A,1802,75,N,1061,TOTAL,176,61,97
MONTEBELLO,4450090B,1803,134,N,734,POLLING PLACE,36,6,29
MONTEBELLO,4450090B,1803,134,N,0,VBM PORTION,33,4,25
MONTEBELLO,4450090B,1803,134,N,734,TOTAL,69,10,54
MONTEBELLO,4450092A,1804,75,N,931,POLLING PLACE,68,15,44
MONTEBELLO,4450092A,1804,75,N,0,VBM PORTION,81,15,58
MONTEBELLO,4450092A,1804,75,N,931,TOTAL,149,30,102
NORTH WHITTIER,4780001A,1833,128,N,756,POLLING PLACE,78,13,49
NORTH WHITTIER,4780001A,1833,128,N,0,VBM PORTION,27,7,19
NORTH WHITTIER,4780001A,1833,128,N,756,TOTAL,105,20,68
NORTH WHITTIER,4780003A,6121,132,Y,181,POLLING PLACE,0,0,0
NORTH WHITTIER,4780003A,6121,132,Y,0,VBM PORTION,54,19,30
NORTH WHITTIER,4780003A,6121,132,Y,181,TOTAL,54,19,30
NORTH WHITTIER,4780004A,1834,132,N,894,POLLING PLACE,78,29,40
NORTH WHITTIER,4780004A,1834,132,N,0,VBM PORTION,81,34,43
NORTH WHITTIER,4780004A,1834,132,N,894,TOTAL,159,63,83
NORTH WHITTIER,4780011A,1835,132,N,931,POLLING PLACE,122,44,63
NORTH WHITTIER,4780011A,1835,132,N,0,VBM PORTION,110,48,55
NORTH WHITTIER,4780011A,1835,132,N,931,TOTAL,232,92,118
NORWALK,4800001A,1836,137,N,952,POLLING PLACE,27,11,10
NORWALK,4800001A,1836,137,N,0,VBM PORTION,49,9,37
NORWALK,4800001A,1836,137,N,952,TOTAL,76,20,47
NORWALK,4800003A,1837,132,N,1194,POLLING PLACE,90,24,57
NORWALK,4800003A,1837,132,N,0,VBM PORTION,59,23,33
NORWALK,4800003A,1837,132,N,1194,TOTAL,149,47,90
NORWALK,4800004A,1838,137,N,1021,POLLING PLACE,55,24,27
NORWALK,4800004A,1838,137,N,0,VBM PORTION,58,29,23
NORWALK,4800004A,1838,137,N,1021,TOTAL,113,53,50
NORWALK,4800006B,1839,137,N,1027,POLLING PLACE,60,20,33
NORWALK,4800006B,1839,137,N,0,VBM PORTION,56,21,34
NORWALK,4800006B,1839,137,N,1027,TOTAL,116,41,67
NORWALK,4800007C,1840,137,N,548,POLLING PLACE,38,15,17
NORWALK,4800007C,1840,137,N,0,VBM PORTION,23,13,8
NORWALK,4800007C,1840,137,N,548,TOTAL,61,28,25
NORWALK,4800008C,1841,132,N,1216,POLLING PLACE,77,17,48
NORWALK,4800008C,1841,132,N,0,VBM PORTION,62,32,24
NORWALK,4800008C,1841,132,N,1216,TOTAL,139,49,72
NORWALK,4800009A,1842,132,N,1344,POLLING PLACE,77,26,41
NORWALK,4800009A,1842,132,N,0,VBM PORTION,73,22,41
NORWALK,4800009A,1842,132,N,1344,TOTAL,150,48,82
NORWALK,4800010A,1843,132,N,848,POLLING PLACE,72,17,45
NORWALK,4800010A,1843,132,N,0,VBM PORTION,37,9,27
NORWALK,4800010A,1843,132,N,848,TOTAL,109,26,72
NORWALK,4800011A,1844,132,N,1177,POLLING PLACE,49,10,32
NORWALK,4800011A,1844,132,N,0,VBM PORTION,56,21,32
NORWALK,4800011A,1844,132,N,1177,TOTAL,105,31,64
NORWALK,4800013A,1845,132,N,1057,POLLING PLACE,43,6,31
NORWALK,4800013A,1845,132,N,0,VBM PORTION,40,9,28
NORWALK,4800013A,1845,132,N,1057,TOTAL,83,15,59
NORWALK,4800014C,1846,132,N,237,POLLING PLACE,29,6,19
NORWALK,4800014C,1846,132,N,0,VBM PORTION,16,6,8
NORWALK,4800014C,1846,132,N,237,TOTAL,45,12,27
NORWALK,4800016A,1847,132,N,1103,POLLING PLACE,48,10,26
NORWALK,4800016A,1847,132,N,0,VBM PORTION,70,15,49
NORWALK,4800016A,1847,132,N,1103,TOTAL,118,25,75
NORWALK,4800018A,1848,132,N,1048,POLLING PLACE,67,15,35
NORWALK,4800018A,1848,132,N,0,VBM PORTION,42,19,18
NORWALK,4800018A,1848,132,N,1048,TOTAL,109,34,53
NORWALK,4800019A,1849,132,N,656,POLLING PLACE,34,17,15
NORWALK,4800019A,1849,132,N,0,VBM PORTION,34,14,19
NORWALK,4800019A,1849,132,N,656,TOTAL,68,31,34
NORWALK,4800021A,1850,132,N,331,POLLING PLACE,16,6,6
NORWALK,4800021A,1850,132,N,0,VBM PORTION,14,7,7
NORWALK,4800021A,1850,132,N,331,TOTAL,30,13,13
NORWALK,4800021B,1851,132,N,1267,POLLING PLACE,43,9,28
NORWALK,4800021B,1851,132,N,0,VBM PORTION,50,7,38
NORWALK,4800021B,1851,132,N,1267,TOTAL,93,16,66
NORWALK,4800022A,1852,132,N,936,POLLING PLACE,51,12,28
NORWALK,4800022A,1852,132,N,0,VBM PORTION,39,13,23
NORWALK,4800022A,1852,132,N,936,TOTAL,90,25,51
NORWALK,4800023A,1853,132,N,1306,POLLING PLACE,70,30,35
NORWALK,4800023A,1853,132,N,0,VBM PORTION,68,22,44
NORWALK,4800023A,1853,132,N,1306,TOTAL,138,52,79
NORWALK,4800024A,1854,132,N,1196,POLLING PLACE,59,14,36
NORWALK,4800024A,1854,132,N,0,VBM PORTION,58,24,30
NORWALK,4800024A,1854,132,N,1196,TOTAL,117,38,66
NORWALK,4800025A,1855,137,N,698,POLLING PLACE,32,9,15
NORWALK,4800025A,1855,137,N,0,VBM PORTION,32,14,18
NORWALK,4800025A,1855,137,N,698,TOTAL,64,23,33
NORWALK,4800028A,1856,137,N,1201,POLLING PLACE,55,17,29
NORWALK,4800028A,1856,137,N,0,VBM PORTION,53,17,27
NORWALK,4800028A,1856,137,N,1201,TOTAL,108,34,56
NORWALK,4800029B,1857,132,N,1016,POLLING PLACE,44,10,29
NORWALK,4800029B,1857,132,N,0,VBM PORTION,56,19,30
NORWALK,4800029B,1857,132,N,1016,TOTAL,100,29,59
NORWALK,4800031A,1858,132,N,1107,POLLING PLACE,69,24,38
NORWALK,4800031A,1858,132,N,0,VBM PORTION,71,21,35
NORWALK,4800031A,1858,132,N,1107,TOTAL,140,45,73
NORWALK,4800032A,1859,132,N,983,POLLING PLACE,82,10,36
NORWALK,4800032A,1859,132,N,0,VBM PORTION,98,9,73
NORWALK,4800032A,1859,132,N,983,TOTAL,180,19,109
NORWALK,4800033A,1860,132,N,865,POLLING PLACE,34,16,15
NORWALK,4800033A,1860,132,N,0,VBM PORTION,46,21,20
NORWALK,4800033A,1860,132,N,865,TOTAL,80,37,35
NORWALK,4800034A,1861,132,N,1172,POLLING PLACE,67,24,32
NORWALK,4800034A,1861,132,N,0,VBM PORTION,108,34,64
NORWALK,4800034A,1861,132,N,1172,TOTAL,175,58,96
NORWALK,4800035A,1862,132,N,1149,POLLING PLACE,33,8,22
NORWALK,4800035A,1862,132,N,0,VBM PORTION,77,22,46
NORWALK,4800035A,1862,132,N,1149,TOTAL,110,30,68
NORWALK,4800037A,1863,132,N,1042,POLLING PLACE,59,16,31
NORWALK,4800037A,1863,132,N,0,VBM PORTION,65,20,37
NORWALK,4800037A,1863,132,N,1042,TOTAL,124,36,68
NORWALK,4800038A,1864,132,N,893,POLLING PLACE,34,9,16
NORWALK,4800038A,1864,132,N,0,VBM PORTION,61,10,49
NORWALK,4800038A,1864,132,N,893,TOTAL,95,19,65
NORWALK,4800040A,1865,137,N,1056,POLLING PLACE,48,14,26
NORWALK,4800040A,1865,137,N,0,VBM PORTION,42,16,23
NORWALK,4800040A,1865,137,N,1056,TOTAL,90,30,49
NORWALK,4800042B,1866,137,N,1285,POLLING PLACE,77,30,36
NORWALK,4800042B,1866,137,N,0,VBM PORTION,81,26,50
NORWALK,4800042B,1866,137,N,1285,TOTAL,158,56,86
NORWALK,4800044A,1867,137,N,767,POLLING PLACE,32,6,23
NORWALK,4800044A,1867,137,N,0,VBM PORTION,33,7,24
NORWALK,4800044A,1867,137,N,767,TOTAL,65,13,47
NORWALK,4800045A,1868,137,N,1020,POLLING PLACE,58,16,35
NORWALK,4800045A,1868,137,N,0,VBM PORTION,54,31,22
NORWALK,4800045A,1868,137,N,1020,TOTAL,112,47,57
NORWALK,4800047A,1869,137,N,568,POLLING PLACE,30,7,19
NORWALK,4800047A,1869,137,N,0,VBM PORTION,35,16,17
NORWALK,4800047A,1869,137,N,568,TOTAL,65,23,36
NORWALK,4800047B,1870,137,N,339,POLLING PLACE,18,7,8
NORWALK,4800047B,1870,137,N,0,VBM PORTION,9,4,5
NORWALK,4800047B,1870,137,N,339,TOTAL,27,11,13
NORWALK,4800048A,1871,137,N,1186,POLLING PLACE,55,19,33
NORWALK,4800048A,1871,137,N,0,VBM PORTION,76,23,45
NORWALK,4800048A,1871,137,N,1186,TOTAL,131,42,78
NORWALK,4800049B,1872,137,N,1073,POLLING PLACE,64,20,37
NORWALK,4800049B,1872,137,N,0,VBM PORTION,60,18,35
NORWALK,4800049B,1872,137,N,1073,TOTAL,124,38,72
NORWALK,4800050A,1873,137,N,1305,POLLING PLACE,75,28,36
NORWALK,4800050A,1873,137,N,0,VBM PORTION,71,17,46
NORWALK,4800050A,1873,137,N,1305,TOTAL,146,45,82
NORWALK,4800053A,1874,132,N,928,POLLING PLACE,56,5,43
NORWALK,4800053A,1874,132,N,0,VBM PORTION,27,6,19
NORWALK,4800053A,1874,132,N,928,TOTAL,83,11,62
NORWALK,4800054A,1875,132,N,924,POLLING PLACE,46,14,24
NORWALK,4800054A,1875,132,N,0,VBM PORTION,64,18,39
NORWALK,4800054A,1875,132,N,924,TOTAL,110,32,63
NORWALK,4800056A,1876,137,N,1197,POLLING PLACE,53,8,28
NORWALK,4800056A,1876,137,N,0,VBM PORTION,61,11,41
NORWALK,4800056A,1876,137,N,1197,TOTAL,114,19,69
NORWALK,4800059A,1877,137,N,986,POLLING PLACE,76,26,41
NORWALK,4800059A,1877,137,N,0,VBM PORTION,111,53,44
NORWALK,4800059A,1877,137,N,986,TOTAL,187,79,85
NORWALK,4800060A,1878,132,N,1090,POLLING PLACE,70,21,35
NORWALK,4800060A,1878,132,N,0,VBM PORTION,58,17,36
NORWALK,4800060A,1878,132,N,1090,TOTAL,128,38,71
NORWALK,4800067A,1879,137,N,1198,POLLING PLACE,76,12,49
NORWALK,4800067A,1879,137,N,0,VBM PORTION,47,17,29
NORWALK,4800067A,1879,137,N,1198,TOTAL,123,29,78
NORWALK,4800071A,1880,132,N,1199,POLLING PLACE,74,11,49
NORWALK,4800071A,1880,132,N,0,VBM PORTION,41,9,24
NORWALK,4800071A,1880,132,N,1199,TOTAL,115,20,73
NORWALK,4800076A,1881,132,N,954,POLLING PLACE,67,26,33
NORWALK,4800076A,1881,132,N,0,VBM PORTION,104,42,58
NORWALK,4800076A,1881,132,N,954,TOTAL,171,68,91
NORWALK,4800088A,1882,132,N,1070,POLLING PLACE,86,21,55
NORWALK,4800088A,1882,132,N,0,VBM PORTION,45,16,27
NORWALK,4800088A,1882,132,N,1070,TOTAL,131,37,82
NORWALK,4800089A,1883,137,N,811,POLLING PLACE,51,14,24
NORWALK,4800089A,1883,137,N,0,VBM PORTION,55,21,27
NORWALK,4800089A,1883,137,N,811,TOTAL,106,35,51
PICO RIVERA,5230002A,2057,134,N,1068,POLLING PLACE,79,13,47
PICO RIVERA,5230002A,2057,134,N,0,VBM PORTION,77,28,43
PICO RIVERA,5230002A,2057,134,N,1068,TOTAL,156,41,90
PICO RIVERA,5230006A,6130,134,Y,59,POLLING PLACE,0,0,0
PICO RIVERA,5230006A,6130,134,Y,0,VBM PORTION,9,1,8
PICO RIVERA,5230006A,6130,134,Y,59,TOTAL,9,1,8
PICO RIVERA,5230006B,2058,134,N,839,POLLING PLACE,65,17,36
PICO RIVERA,5230006B,2058,134,N,0,VBM PORTION,32,8,24
PICO RIVERA,5230006B,2058,134,N,839,TOTAL,97,25,60
PICO RIVERA,5230007A,2059,134,N,1063,POLLING PLACE,72,14,46
PICO RIVERA,5230007A,2059,134,N,0,VBM PORTION,54,11,41
PICO RIVERA,5230007A,2059,134,N,1063,TOTAL,126,25,87
PICO RIVERA,5230008A,2060,134,N,1105,POLLING PLACE,57,8,40
PICO RIVERA,5230008A,2060,134,N,0,VBM PORTION,49,11,31
PICO RIVERA,5230008A,2060,134,N,1105,TOTAL,106,19,71
PICO RIVERA,5230010A,2061,134,N,1047,POLLING PLACE,55,10,36
PICO RIVERA,5230010A,2061,134,N,0,VBM PORTION,73,25,41
PICO RIVERA,5230010A,2061,134,N,1047,TOTAL,128,35,77
PICO RIVERA,5230012A,2062,134,N,985,POLLING PLACE,42,1,31
PICO RIVERA,5230012A,2062,134,N,0,VBM PORTION,31,7,18
PICO RIVERA,5230012A,2062,134,N,985,TOTAL,73,8,49
PICO RIVERA,5230013A,2063,134,N,1209,POLLING PLACE,77,16,49
PICO RIVERA,5230013A,2063,134,N,0,VBM PORTION,87,17,61
PICO RIVERA,5230013A,2063,134,N,1209,TOTAL,164,33,110
PICO RIVERA,5230013E,2064,134,N,802,POLLING PLACE,43,3,31
PICO RIVERA,5230013E,2064,134,N,0,VBM PORTION,31,8,20
PICO RIVERA,5230013E,2064,134,N,802,TOTAL,74,11,51
PICO RIVERA,5230016D,2065,134,N,1179,POLLING PLACE,105,28,66
PICO RIVERA,5230016D,2065,134,N,0,VBM PORTION,53,8,43
PICO RIVERA,5230016D,2065,134,N,1179,TOTAL,158,36,109
PICO RIVERA,5230017A,2066,134,N,1119,POLLING PLACE,79,8,50
PICO RIVERA,5230017A,2066,134,N,0,VBM PORTION,23,3,16
PICO RIVERA,5230017A,2066,134,N,1119,TOTAL,102,11,66
PICO RIVERA,5230018A,2067,134,N,951,POLLING PLACE,30,7,14
PICO RIVERA,5230018A,2067,134,N,0,VBM PORTION,44,8,35
PICO RIVERA,5230018A,2067,134,N,951,TOTAL,74,15,49
PICO RIVERA,5230020A,2068,134,N,1049,POLLING PLACE,66,15,38
PICO RIVERA,5230020A,2068,134,N,0,VBM PORTION,69,13,51
PICO RIVERA,5230020A,2068,134,N,1049,TOTAL,135,28,89
PICO RIVERA,5230022D,2069,134,N,1036,POLLING PLACE,55,19,31
PICO RIVERA,5230022D,2069,134,N,0,VBM PORTION,47,10,34
PICO RIVERA,5230022D,2069,134,N,1036,TOTAL,102,29,65
PICO RIVERA,5230023A,2070,134,N,1070,POLLING PLACE,74,9,52
PICO RIVERA,5230023A,2070,134,N,0,VBM PORTION,65,13,48
PICO RIVERA,5230023A,2070,134,N,1070,TOTAL,139,22,100
PICO RIVERA,5230024A,2071,134,N,1181,POLLING PLACE,72,8,48
PICO RIVERA,5230024A,2071,134,N,0,VBM PORTION,55,7,45
PICO RIVERA,5230024A,2071,134,N,1181,TOTAL,127,15,93
PICO RIVERA,5230026A,6131,128,Y,0,POLLING PLACE,0,0,0
PICO RIVERA,5230026A,6131,128,Y,0,VBM PORTION,0,0,0
PICO RIVERA,5230026A,6131,128,Y,0,TOTAL,0,0,0
PICO RIVERA,5230027A,2072,134,N,1030,POLLING PLACE,82,16,49
PICO RIVERA,5230027A,2072,134,N,0,VBM PORTION,43,12,29
PICO RIVERA,5230027A,2072,134,N,1030,TOTAL,125,28,78
PICO RIVERA,5230029A,2073,134,N,797,POLLING PLACE,38,9,21
PICO RIVERA,5230029A,2073,134,N,0,VBM PORTION,38,5,27
PICO RIVERA,5230029A,2073,134,N,797,TOTAL,76,14,48
PICO RIVERA,5230030A,2074,134,N,839,POLLING PLACE,49,11,31
PICO RIVERA,5230030A,2074,134,N,0,VBM PORTION,42,8,33
PICO RIVERA,5230030A,2074,134,N,839,TOTAL,91,19,64
PICO RIVERA,5230032A,2075,134,N,891,POLLING PLACE,64,10,48
PICO RIVERA,5230032A,2075,134,N,0,VBM PORTION,47,11,35
PICO RIVERA,5230032A,2075,134,N,891,TOTAL,111,21,83
PICO RIVERA,5230034B,2076,134,N,1150,POLLING PLACE,83,21,48
PICO RIVERA,5230034B,2076,134,N,0,VBM PORTION,48,10,35
PICO RIVERA,5230034B,2076,134,N,1150,TOTAL,131,31,83
PICO RIVERA,5230035A,2077,134,N,952,POLLING PLACE,62,10,48
PICO RIVERA,5230035A,2077,134,N,0,VBM PORTION,58,13,42
PICO RIVERA,5230035A,2077,134,N,952,TOTAL,120,23,90
PICO RIVERA,5230036A,2078,134,N,845,POLLING PLACE,39,9,22
PICO RIVERA,5230036A,2078,134,N,0,VBM PORTION,34,5,25
PICO RIVERA,5230036A,2078,134,N,845,TOTAL,73,14,47
PICO RIVERA,5230036B,6132,134,Y,0,POLLING PLACE,0,0,0
PICO RIVERA,5230036B,6132,134,Y,0,VBM PORTION,0,0,0
PICO RIVERA,5230036B,6132,134,Y,0,TOTAL,0,0,0
PICO RIVERA,5230038A,2079,134,N,1042,POLLING PLACE,74,13,49
PICO RIVERA,5230038A,2079,134,N,0,VBM PORTION,59,7,48
PICO RIVERA,5230038A,2079,134,N,1042,TOTAL,133,20,97
PICO RIVERA,5230039A,2080,134,N,1106,POLLING PLACE,80,19,58
PICO RIVERA,5230039A,2080,134,N,0,VBM PORTION,80,6,69
PICO RIVERA,5230039A,2080,134,N,1106,TOTAL,160,25,127
PICO RIVERA,5230041A,2081,134,N,898,POLLING PLACE,88,16,50
PICO RIVERA,5230041A,2081,134,N,0,VBM PORTION,33,4,26
PICO RIVERA,5230041A,2081,134,N,898,TOTAL,121,20,76
PICO RIVERA,5230043A,2082,134,N,1048,POLLING PLACE,78,17,50
