LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RAUL BOCANEGRA,KEVIN J SUSCAVAGE,PATTY LOPEZ
LOS ANGELES,9000060A,3004,15,N,0,VBM PORTION,94,54,12,9
LOS ANGELES,9000060A,3004,15,N,1153,TOTAL,184,105,24,26
LOS ANGELES,9000061A,3005,15,N,1059,POLLING PLACE,45,31,8,4
LOS ANGELES,9000061A,3005,15,N,0,VBM PORTION,81,35,5,18
LOS ANGELES,9000061A,3005,15,N,1059,TOTAL,126,66,13,22
LOS ANGELES,9000068A,3010,19,N,880,POLLING PLACE,40,21,5,8
LOS ANGELES,9000068A,3010,19,N,0,VBM PORTION,51,26,6,6
LOS ANGELES,9000068A,3010,19,N,880,TOTAL,91,47,11,14
LOS ANGELES,9000069A,3011,15,N,863,POLLING PLACE,46,27,10,6
LOS ANGELES,9000069A,3011,15,N,0,VBM PORTION,35,17,6,7
LOS ANGELES,9000069A,3011,15,N,863,TOTAL,81,44,16,13
LOS ANGELES,9000070A,3012,15,N,889,POLLING PLACE,62,44,2,10
LOS ANGELES,9000070A,3012,15,N,0,VBM PORTION,28,21,2,4
LOS ANGELES,9000070A,3012,15,N,889,TOTAL,90,65,4,14
LOS ANGELES,9000074A,3016,15,N,967,POLLING PLACE,81,38,9,20
LOS ANGELES,9000074A,3016,15,N,0,VBM PORTION,97,57,5,14
LOS ANGELES,9000074A,3016,15,N,967,TOTAL,178,95,14,34
LOS ANGELES,9000075A,3017,15,N,1055,POLLING PLACE,45,19,3,14
LOS ANGELES,9000075A,3017,15,N,0,VBM PORTION,56,28,6,5
LOS ANGELES,9000075A,3017,15,N,1055,TOTAL,101,47,9,19
LOS ANGELES,9000078A,3020,15,N,986,POLLING PLACE,66,42,4,7
LOS ANGELES,9000078A,3020,15,N,0,VBM PORTION,49,24,6,14
LOS ANGELES,9000078A,3020,15,N,986,TOTAL,115,66,10,21
LOS ANGELES,9000079C,3021,15,N,1047,POLLING PLACE,68,47,1,13
LOS ANGELES,9000079C,3021,15,N,0,VBM PORTION,55,42,2,4
LOS ANGELES,9000079C,3021,15,N,1047,TOTAL,123,89,3,17
LOS ANGELES,9000080A,3022,15,N,1057,POLLING PLACE,57,41,0,10
LOS ANGELES,9000080A,3022,15,N,0,VBM PORTION,44,30,0,11
LOS ANGELES,9000080A,3022,15,N,1057,TOTAL,101,71,0,21
LOS ANGELES,9000087A,3027,26,N,725,POLLING PLACE,63,24,4,17
LOS ANGELES,9000087A,3027,26,N,0,VBM PORTION,43,9,13,9
LOS ANGELES,9000087A,3027,26,N,725,TOTAL,106,33,17,26
LOS ANGELES,9000090A,3030,19,N,1121,POLLING PLACE,36,17,4,6
LOS ANGELES,9000090A,3030,19,N,0,VBM PORTION,55,27,3,9
LOS ANGELES,9000090A,3030,19,N,1121,TOTAL,91,44,7,15
LOS ANGELES,9000094A,3032,19,N,942,POLLING PLACE,51,33,7,9
LOS ANGELES,9000094A,3032,19,N,0,VBM PORTION,29,18,4,0
LOS ANGELES,9000094A,3032,19,N,942,TOTAL,80,51,11,9
LOS ANGELES,9000097C,3035,15,N,1113,POLLING PLACE,73,36,11,13
LOS ANGELES,9000097C,3035,15,N,0,VBM PORTION,61,27,10,15
LOS ANGELES,9000097C,3035,15,N,1113,TOTAL,134,63,21,28
LOS ANGELES,9000101A,3038,15,N,1210,POLLING PLACE,87,50,13,12
LOS ANGELES,9000101A,3038,15,N,0,VBM PORTION,78,40,9,12
LOS ANGELES,9000101A,3038,15,N,1210,TOTAL,165,90,22,24
LOS ANGELES,9000110A,3041,19,N,853,POLLING PLACE,45,27,3,12
LOS ANGELES,9000110A,3041,19,N,0,VBM PORTION,21,8,3,7
LOS ANGELES,9000110A,3041,19,N,853,TOTAL,66,35,6,19
LOS ANGELES,9000113A,3043,15,N,613,POLLING PLACE,29,20,3,2
LOS ANGELES,9000113A,3043,15,N,0,VBM PORTION,16,10,1,4
LOS ANGELES,9000113A,3043,15,N,613,TOTAL,45,30,4,6
LOS ANGELES,9000116A,3045,19,N,1305,POLLING PLACE,60,32,5,18
LOS ANGELES,9000116A,3045,19,N,0,VBM PORTION,44,26,2,8
LOS ANGELES,9000116A,3045,19,N,1305,TOTAL,104,58,7,26
LOS ANGELES,9000119A,3047,19,N,1163,POLLING PLACE,59,34,7,9
LOS ANGELES,9000119A,3047,19,N,0,VBM PORTION,59,27,6,9
LOS ANGELES,9000119A,3047,19,N,1163,TOTAL,118,61,13,18
LOS ANGELES,9000123A,3048,19,N,842,POLLING PLACE,59,27,5,13
LOS ANGELES,9000123A,3048,19,N,0,VBM PORTION,36,20,6,2
LOS ANGELES,9000123A,3048,19,N,842,TOTAL,95,47,11,15
LOS ANGELES,9000125B,3049,19,N,1251,POLLING PLACE,50,28,9,10
LOS ANGELES,9000125B,3049,19,N,0,VBM PORTION,49,19,10,15
LOS ANGELES,9000125B,3049,19,N,1251,TOTAL,99,47,19,25
LOS ANGELES,9000126A,3050,19,N,1292,POLLING PLACE,89,45,10,20
LOS ANGELES,9000126A,3050,19,N,0,VBM PORTION,39,23,3,8
LOS ANGELES,9000126A,3050,19,N,1292,TOTAL,128,68,13,28
LOS ANGELES,9000134A,3056,15,N,758,POLLING PLACE,33,20,0,8
LOS ANGELES,9000134A,3056,15,N,0,VBM PORTION,22,9,3,4
LOS ANGELES,9000134A,3056,15,N,758,TOTAL,55,29,3,12
LOS ANGELES,9000139B,3060,15,N,1082,POLLING PLACE,58,27,8,11
LOS ANGELES,9000139B,3060,15,N,0,VBM PORTION,94,52,17,14
LOS ANGELES,9000139B,3060,15,N,1082,TOTAL,152,79,25,25
LOS ANGELES,9000141A,3062,15,N,1042,POLLING PLACE,65,34,6,15
LOS ANGELES,9000141A,3062,15,N,0,VBM PORTION,77,44,6,14
LOS ANGELES,9000141A,3062,15,N,1042,TOTAL,142,78,12,29
LOS ANGELES,9000144A,3064,15,N,1211,POLLING PLACE,78,41,14,15
LOS ANGELES,9000144A,3064,15,N,0,VBM PORTION,76,34,7,14
LOS ANGELES,9000144A,3064,15,N,1211,TOTAL,154,75,21,29
LOS ANGELES,9000163A,3075,15,N,1025,POLLING PLACE,131,66,14,22
LOS ANGELES,9000163A,3075,15,N,0,VBM PORTION,90,54,10,13
LOS ANGELES,9000163A,3075,15,N,1025,TOTAL,221,120,24,35
LOS ANGELES,9000165A,3076,19,N,1259,POLLING PLACE,80,45,5,22
LOS ANGELES,9000165A,3076,19,N,0,VBM PORTION,76,36,5,18
LOS ANGELES,9000165A,3076,19,N,1259,TOTAL,156,81,10,40
LOS ANGELES,9000167A,3077,15,N,1115,POLLING PLACE,90,54,8,16
LOS ANGELES,9000167A,3077,15,N,0,VBM PORTION,48,22,6,9
LOS ANGELES,9000167A,3077,15,N,1115,TOTAL,138,76,14,25
LOS ANGELES,9000184B,3087,15,N,1155,POLLING PLACE,51,31,5,9
LOS ANGELES,9000184B,3087,15,N,0,VBM PORTION,66,39,8,13
LOS ANGELES,9000184B,3087,15,N,1155,TOTAL,117,70,13,22
LOS ANGELES,9000222A,3107,15,N,1252,POLLING PLACE,108,45,10,24
LOS ANGELES,9000222A,3107,15,N,0,VBM PORTION,105,54,11,12
LOS ANGELES,9000222A,3107,15,N,1252,TOTAL,213,99,21,36
LOS ANGELES,9000223A,3108,15,N,1045,POLLING PLACE,99,38,13,25
LOS ANGELES,9000223A,3108,15,N,0,VBM PORTION,72,32,11,13
LOS ANGELES,9000223A,3108,15,N,1045,TOTAL,171,70,24,38
LOS ANGELES,9000232A,3115,19,N,1258,POLLING PLACE,70,41,2,14
LOS ANGELES,9000232A,3115,19,N,0,VBM PORTION,47,31,1,7
LOS ANGELES,9000232A,3115,19,N,1258,TOTAL,117,72,3,21
LOS ANGELES,9000252A,3125,19,N,1297,POLLING PLACE,145,80,13,28
LOS ANGELES,9000252A,3125,19,N,0,VBM PORTION,98,45,16,19
LOS ANGELES,9000252A,3125,19,N,1297,TOTAL,243,125,29,47
LOS ANGELES,9000292A,3152,26,N,878,POLLING PLACE,118,36,23,21
LOS ANGELES,9000292A,3152,26,N,0,VBM PORTION,104,45,10,12
LOS ANGELES,9000292A,3152,26,N,878,TOTAL,222,81,33,33
LOS ANGELES,9000300A,3156,15,N,1111,POLLING PLACE,47,25,2,14
LOS ANGELES,9000300A,3156,15,N,0,VBM PORTION,33,18,4,7
LOS ANGELES,9000300A,3156,15,N,1111,TOTAL,80,43,6,21
LOS ANGELES,9000301A,3157,15,N,1242,POLLING PLACE,91,54,8,17
LOS ANGELES,9000301A,3157,15,N,0,VBM PORTION,64,37,5,18
LOS ANGELES,9000301A,3157,15,N,1242,TOTAL,155,91,13,35
LOS ANGELES,9000305A,3160,15,N,1023,POLLING PLACE,93,43,15,19
LOS ANGELES,9000305A,3160,15,N,0,VBM PORTION,116,49,19,21
LOS ANGELES,9000305A,3160,15,N,1023,TOTAL,209,92,34,40
LOS ANGELES,9000308B,3162,15,N,1228,POLLING PLACE,84,34,10,19
LOS ANGELES,9000308B,3162,15,N,0,VBM PORTION,121,48,19,26
LOS ANGELES,9000308B,3162,15,N,1228,TOTAL,205,82,29,45
LOS ANGELES,9000312A,3164,15,N,885,POLLING PLACE,99,42,15,15
LOS ANGELES,9000312A,3164,15,N,0,VBM PORTION,66,30,12,15
LOS ANGELES,9000312A,3164,15,N,885,TOTAL,165,72,27,30
LOS ANGELES,9000313B,3165,15,N,888,POLLING PLACE,38,23,5,6
LOS ANGELES,9000313B,3165,15,N,0,VBM PORTION,25,13,2,7
LOS ANGELES,9000313B,3165,15,N,888,TOTAL,63,36,7,13
LOS ANGELES,9000314A,3166,15,N,1208,POLLING PLACE,80,47,6,18
LOS ANGELES,9000314A,3166,15,N,0,VBM PORTION,53,27,3,10
LOS ANGELES,9000314A,3166,15,N,1208,TOTAL,133,74,9,28
LOS ANGELES,9000316A,3168,15,N,981,POLLING PLACE,72,30,10,17
LOS ANGELES,9000316A,3168,15,N,0,VBM PORTION,72,40,8,13
LOS ANGELES,9000316A,3168,15,N,981,TOTAL,144,70,18,30
LOS ANGELES,9000321A,3172,15,N,1143,POLLING PLACE,45,37,3,3
LOS ANGELES,9000321A,3172,15,N,0,VBM PORTION,50,36,4,6
LOS ANGELES,9000321A,3172,15,N,1143,TOTAL,95,73,7,9
LOS ANGELES,9000324A,3174,15,N,1028,POLLING PLACE,67,40,5,16
LOS ANGELES,9000324A,3174,15,N,0,VBM PORTION,32,22,1,7
LOS ANGELES,9000324A,3174,15,N,1028,TOTAL,99,62,6,23
LOS ANGELES,9000325A,3175,15,N,914,POLLING PLACE,95,46,9,19
LOS ANGELES,9000325A,3175,15,N,0,VBM PORTION,60,32,5,10
LOS ANGELES,9000325A,3175,15,N,914,TOTAL,155,78,14,29
LOS ANGELES,9000327A,3177,15,N,1190,POLLING PLACE,77,59,3,11
LOS ANGELES,9000327A,3177,15,N,0,VBM PORTION,54,29,2,16
LOS ANGELES,9000327A,3177,15,N,1190,TOTAL,131,88,5,27
LOS ANGELES,9000330A,3178,15,N,960,POLLING PLACE,67,40,3,17
LOS ANGELES,9000330A,3178,15,N,0,VBM PORTION,46,23,7,12
LOS ANGELES,9000330A,3178,15,N,960,TOTAL,113,63,10,29
LOS ANGELES,9000331A,3179,15,N,1093,POLLING PLACE,80,46,10,11
LOS ANGELES,9000331A,3179,15,N,0,VBM PORTION,73,42,5,17
LOS ANGELES,9000331A,3179,15,N,1093,TOTAL,153,88,15,28
LOS ANGELES,9000334A,3181,18,N,890,POLLING PLACE,57,27,11,12
LOS ANGELES,9000334A,3181,18,N,0,VBM PORTION,81,37,9,16
LOS ANGELES,9000334A,3181,18,N,890,TOTAL,138,64,20,28
LOS ANGELES,9000344A,3185,15,N,896,POLLING PLACE,59,32,6,12
LOS ANGELES,9000344A,3185,15,N,0,VBM PORTION,29,15,2,10
LOS ANGELES,9000344A,3185,15,N,896,TOTAL,88,47,8,22
LOS ANGELES,9000345A,3186,15,N,1119,POLLING PLACE,119,60,23,16
LOS ANGELES,9000345A,3186,15,N,0,VBM PORTION,103,36,8,32
LOS ANGELES,9000345A,3186,15,N,1119,TOTAL,222,96,31,48
LOS ANGELES,9000349D,6180,17,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9000349D,6180,17,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9000378A,3205,15,N,796,POLLING PLACE,51,26,8,10
LOS ANGELES,9000378A,3205,15,N,0,VBM PORTION,61,29,12,9
LOS ANGELES,9000378A,3205,15,N,796,TOTAL,112,55,20,19
LOS ANGELES,9000379A,3206,15,N,1107,POLLING PLACE,76,46,10,7
LOS ANGELES,9000379A,3206,15,N,0,VBM PORTION,78,34,15,14
LOS ANGELES,9000379A,3206,15,N,1107,TOTAL,154,80,25,21
LOS ANGELES,9000381A,3207,15,N,751,POLLING PLACE,44,24,3,8
LOS ANGELES,9000381A,3207,15,N,0,VBM PORTION,39,21,2,9
LOS ANGELES,9000381A,3207,15,N,751,TOTAL,83,45,5,17
LOS ANGELES,9000382A,3208,15,N,1272,POLLING PLACE,62,25,4,22
LOS ANGELES,9000382A,3208,15,N,0,VBM PORTION,36,25,2,3
LOS ANGELES,9000382A,3208,15,N,1272,TOTAL,98,50,6,25
LOS ANGELES,9000383B,3209,15,N,1229,POLLING PLACE,85,55,7,15
LOS ANGELES,9000383B,3209,15,N,0,VBM PORTION,80,33,10,16
LOS ANGELES,9000383B,3209,15,N,1229,TOTAL,165,88,17,31
LOS ANGELES,9000390A,3214,15,N,1111,POLLING PLACE,81,49,6,18
LOS ANGELES,9000390A,3214,15,N,0,VBM PORTION,65,40,3,11
LOS ANGELES,9000390A,3214,15,N,1111,TOTAL,146,89,9,29
LOS ANGELES,9000391A,3215,15,N,1188,POLLING PLACE,69,50,2,9
LOS ANGELES,9000391A,3215,15,N,0,VBM PORTION,50,41,0,6
LOS ANGELES,9000391A,3215,15,N,1188,TOTAL,119,91,2,15
LOS ANGELES,9000392A,3216,19,N,1255,POLLING PLACE,53,27,4,8
LOS ANGELES,9000392A,3216,19,N,0,VBM PORTION,63,32,4,20
LOS ANGELES,9000392A,3216,19,N,1255,TOTAL,116,59,8,28
LOS ANGELES,9000396A,3219,15,N,1130,POLLING PLACE,85,51,10,12
LOS ANGELES,9000396A,3219,15,N,0,VBM PORTION,48,25,3,11
LOS ANGELES,9000396A,3219,15,N,1130,TOTAL,133,76,13,23
LOS ANGELES,9000416A,3236,26,N,928,POLLING PLACE,82,36,6,16
LOS ANGELES,9000416A,3236,26,N,0,VBM PORTION,85,25,12,16
LOS ANGELES,9000416A,3236,26,N,928,TOTAL,167,61,18,32
LOS ANGELES,9000448A,3250,26,N,1075,POLLING PLACE,105,44,19,23
LOS ANGELES,9000448A,3250,26,N,0,VBM PORTION,94,33,13,17
LOS ANGELES,9000448A,3250,26,N,1075,TOTAL,199,77,32,40
LOS ANGELES,9000457A,3256,19,N,963,POLLING PLACE,51,34,2,8
LOS ANGELES,9000457A,3256,19,N,0,VBM PORTION,50,25,11,11
LOS ANGELES,9000457A,3256,19,N,963,TOTAL,101,59,13,19
LOS ANGELES,9000460A,3258,19,N,1086,POLLING PLACE,81,35,11,15
LOS ANGELES,9000460A,3258,19,N,0,VBM PORTION,42,19,7,13
LOS ANGELES,9000460A,3258,19,N,1086,TOTAL,123,54,18,28
LOS ANGELES,9000461A,3259,19,N,1366,POLLING PLACE,90,50,7,18
LOS ANGELES,9000461A,3259,19,N,0,VBM PORTION,84,43,7,14
LOS ANGELES,9000461A,3259,19,N,1366,TOTAL,174,93,14,32
LOS ANGELES,9000465A,3261,15,N,1144,POLLING PLACE,57,39,6,7
LOS ANGELES,9000465A,3261,15,N,0,VBM PORTION,52,31,8,3
LOS ANGELES,9000465A,3261,15,N,1144,TOTAL,109,70,14,10
LOS ANGELES,9000467C,3263,19,N,1099,POLLING PLACE,55,36,8,8
LOS ANGELES,9000467C,3263,19,N,0,VBM PORTION,61,37,1,11
LOS ANGELES,9000467C,3263,19,N,1099,TOTAL,116,73,9,19
LOS ANGELES,9000472A,3265,15,N,1323,POLLING PLACE,77,50,7,15
LOS ANGELES,9000472A,3265,15,N,0,VBM PORTION,72,35,17,13
LOS ANGELES,9000472A,3265,15,N,1323,TOTAL,149,85,24,28
LOS ANGELES,9000474A,3266,15,N,1259,POLLING PLACE,57,34,4,9
LOS ANGELES,9000474A,3266,15,N,0,VBM PORTION,99,41,17,24
LOS ANGELES,9000474A,3266,15,N,1259,TOTAL,156,75,21,33
LOS ANGELES,9000483A,3270,19,N,1245,POLLING PLACE,54,28,7,12
LOS ANGELES,9000483A,3270,19,N,0,VBM PORTION,72,37,7,14
LOS ANGELES,9000483A,3270,19,N,1245,TOTAL,126,65,14,26
LOS ANGELES,9000497A,3278,15,N,1367,POLLING PLACE,84,51,4,16
LOS ANGELES,9000497A,3278,15,N,0,VBM PORTION,94,57,6,15
LOS ANGELES,9000497A,3278,15,N,1367,TOTAL,178,108,10,31
LOS ANGELES,9000498A,3279,15,N,1103,POLLING PLACE,88,39,10,21
LOS ANGELES,9000498A,3279,15,N,0,VBM PORTION,61,34,7,8
LOS ANGELES,9000498A,3279,15,N,1103,TOTAL,149,73,17,29
LOS ANGELES,9000500A,3280,15,N,1250,POLLING PLACE,56,19,6,13
LOS ANGELES,9000500A,3280,15,N,0,VBM PORTION,97,47,8,21
LOS ANGELES,9000500A,3280,15,N,1250,TOTAL,153,66,14,34
LOS ANGELES,9000509A,3286,19,N,1002,POLLING PLACE,72,40,7,18
LOS ANGELES,9000509A,3286,19,N,0,VBM PORTION,55,24,11,11
LOS ANGELES,9000509A,3286,19,N,1002,TOTAL,127,64,18,29
LOS ANGELES,9000510A,3287,19,N,1294,POLLING PLACE,75,35,11,22
LOS ANGELES,9000510A,3287,19,N,0,VBM PORTION,44,25,6,6
LOS ANGELES,9000510A,3287,19,N,1294,TOTAL,119,60,17,28
LOS ANGELES,9000510C,3288,19,N,1156,POLLING PLACE,67,39,16,4
LOS ANGELES,9000510C,3288,19,N,0,VBM PORTION,83,31,8,26
LOS ANGELES,9000510C,3288,19,N,1156,TOTAL,150,70,24,30
LOS ANGELES,9000512A,3290,19,N,1231,POLLING PLACE,58,33,5,17
LOS ANGELES,9000512A,3290,19,N,0,VBM PORTION,66,32,9,14
LOS ANGELES,9000512A,3290,19,N,1231,TOTAL,124,65,14,31
LOS ANGELES,9000518A,3294,19,N,1368,POLLING PLACE,59,29,7,14
LOS ANGELES,9000518A,3294,19,N,0,VBM PORTION,79,43,7,12
LOS ANGELES,9000518A,3294,19,N,1368,TOTAL,138,72,14,26
LOS ANGELES,9000519B,3295,19,N,994,POLLING PLACE,17,9,1,5
LOS ANGELES,9000519B,3295,19,N,0,VBM PORTION,28,16,1,7
LOS ANGELES,9000519B,3295,19,N,994,TOTAL,45,25,2,12
LOS ANGELES,9000523A,3297,19,N,1117,POLLING PLACE,53,28,5,17
LOS ANGELES,9000523A,3297,19,N,0,VBM PORTION,55,24,10,8
LOS ANGELES,9000523A,3297,19,N,1117,TOTAL,108,52,15,25
LOS ANGELES,9000529A,3300,19,N,1043,POLLING PLACE,80,42,10,16
LOS ANGELES,9000529A,3300,19,N,0,VBM PORTION,43,18,8,7
LOS ANGELES,9000529A,3300,19,N,1043,TOTAL,123,60,18,23
LOS ANGELES,9000531A,3302,19,N,1257,POLLING PLACE,110,59,11,21
LOS ANGELES,9000531A,3302,19,N,0,VBM PORTION,41,18,3,9
LOS ANGELES,9000531A,3302,19,N,1257,TOTAL,151,77,14,30
LOS ANGELES,9000537A,3305,19,N,1227,POLLING PLACE,87,42,11,22
LOS ANGELES,9000537A,3305,19,N,0,VBM PORTION,50,23,7,9
LOS ANGELES,9000537A,3305,19,N,1227,TOTAL,137,65,18,31
LOS ANGELES,9000543A,3306,19,N,1292,POLLING PLACE,115,76,9,15
LOS ANGELES,9000543A,3306,19,N,0,VBM PORTION,82,40,8,16
LOS ANGELES,9000543A,3306,19,N,1292,TOTAL,197,116,17,31
