LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LUIS J RODRIGUEZ,ALMA MARIE WINSTON,EDMUND G BROWN,JANEL H BUYCKS,ANDREW BLOUNT,RAKESH K CHRISTIAN,GLENN CHAMP,NEEL KASHKARI,TIM DONNELLY,"""BO"" B AMBROZEWICZ",AKINYEMI AGBEDE,RICHARD W AGUIRRE,ROBERT NEWMAN,CINDY L SHEEHAN,JOE LEICHT
49TH STATE ASSEMBLY,N,203626,POLLING PLACE,15560,287,125,8291,100,307,57,200,2953,2083,30,173,95,81,144,32
49TH STATE ASSEMBLY,N,0,VBM PORTION,17066,148,181,9104,141,423,46,237,3193,2120,37,176,72,117,153,25
49TH STATE ASSEMBLY,N,203626,TOTAL,32620,435,306,17395,241,730,103,437,6146,4203,67,349,167,198,297,57
50TH STATE ASSEMBLY,N,305661,POLLING PLACE,35488,576,104,24431,66,512,98,213,4779,1908,91,249,69,184,641,56
50TH STATE ASSEMBLY,N,0,VBM PORTION,32746,362,150,21682,105,693,59,287,5098,2035,91,138,91,156,410,46
50TH STATE ASSEMBLY,N,305661,TOTAL,68227,938,254,46113,171,1205,157,500,9877,3943,182,387,160,340,1051,102
51ST STATE ASSEMBLY,N,196553,POLLING PLACE,16118,912,111,11200,37,83,123,177,1112,821,46,321,128,113,270,37
51ST STATE ASSEMBLY,N,0,VBM PORTION,11247,401,79,7846,35,111,55,132,918,778,28,171,54,60,160,22
51ST STATE ASSEMBLY,N,196553,TOTAL,27363,1313,190,19046,72,194,178,309,2030,1599,74,492,182,173,430,59
52ND STATE ASSEMBLY,N,57852,POLLING PLACE,3541,127,25,1939,10,21,4,88,455,469,14,119,35,48,45,9
52ND STATE ASSEMBLY,N,0,VBM PORTION,3425,63,21,1889,23,44,5,59,554,474,11,67,17,42,42,9
52ND STATE ASSEMBLY,N,57852,TOTAL,6966,190,46,3828,33,65,9,147,1009,943,25,186,52,90,87,18
53RD STATE ASSEMBLY,N,147381,POLLING PLACE,11344,590,158,7217,52,48,26,51,726,629,60,416,121,91,203,46
53RD STATE ASSEMBLY,N,0,VBM PORTION,9033,202,91,5863,42,94,32,69,614,655,38,220,70,99,133,13
53RD STATE ASSEMBLY,N,147381,TOTAL,20371,792,249,13080,94,142,58,120,1340,1284,98,636,191,190,336,59
54TH STATE ASSEMBLY,N,272365,POLLING PLACE,26660,483,85,19937,100,78,28,94,2001,1645,96,523,93,115,368,42
54TH STATE ASSEMBLY,N,0,VBM PORTION,24484,258,91,18095,117,156,19,135,2075,1527,75,325,77,121,283,24
54TH STATE ASSEMBLY,N,272365,TOTAL,51129,741,176,38032,217,234,47,229,4076,3172,171,848,170,236,651,66
55TH STATE ASSEMBLY,N,87062,POLLING PLACE,6296,59,54,2916,22,80,20,82,1468,1082,29,73,76,48,51,3
55TH STATE ASSEMBLY,N,0,VBM PORTION,8041,62,87,3784,37,149,23,135,1611,1370,37,78,81,79,69,16
55TH STATE ASSEMBLY,N,87062,TOTAL,14333,121,141,6700,59,229,43,217,3079,2452,66,151,157,127,120,19
57TH STATE ASSEMBLY,N,231921,POLLING PLACE,17671,381,151,8613,66,191,39,190,4001,2468,46,172,375,187,161,41
57TH STATE ASSEMBLY,N,0,VBM PORTION,16417,211,185,7881,64,295,27,239,3813,2306,47,162,270,171,148,28
57TH STATE ASSEMBLY,N,231921,TOTAL,34078,592,336,16494,130,486,66,429,7814,4774,93,334,645,358,309,69
58TH STATE ASSEMBLY,N,223386,POLLING PLACE,17159,468,228,9055,67,208,67,255,3099,2032,62,237,138,264,198,60
58TH STATE ASSEMBLY,N,0,VBM PORTION,13873,216,206,7345,66,210,34,262,2473,1687,46,214,93,201,161,31
58TH STATE ASSEMBLY,N,223386,TOTAL,31023,684,434,16400,133,418,101,517,5572,3719,108,451,231,465,359,91
59TH STATE ASSEMBLY,N,166403,POLLING PLACE,9751,425,121,7394,74,62,20,54,205,188,23,256,56,81,240,59
59TH STATE ASSEMBLY,N,0,VBM PORTION,5862,126,57,4580,65,34,8,20,134,150,17,165,28,51,83,13
59TH STATE ASSEMBLY,N,166403,TOTAL,15607,551,178,11974,139,96,28,74,339,338,40,421,84,132,323,72
62ND STATE ASSEMBLY,N,244226,POLLING PLACE,24035,395,390,17049,112,173,51,130,2694,1422,38,271,54,98,302,36
62ND STATE ASSEMBLY,N,0,VBM PORTION,18070,214,369,12062,89,229,41,161,2346,1244,32,205,59,81,183,33
62ND STATE ASSEMBLY,N,244226,TOTAL,42082,609,759,29111,201,402,92,291,5040,2666,70,476,113,179,485,69
63RD STATE ASSEMBLY,N,189220,POLLING PLACE,11886,299,60,7043,86,248,44,156,1704,1311,30,187,54,97,105,21
63RD STATE ASSEMBLY,N,0,VBM PORTION,9458,151,47,5460,75,256,19,163,1437,1134,14,126,35,69,96,22
63RD STATE ASSEMBLY,N,189220,TOTAL,21337,450,107,12503,161,504,63,319,3141,2445,44,313,89,166,201,43
64TH STATE ASSEMBLY,N,214026,POLLING PLACE,15392,364,87,11128,242,160,67,109,787,772,34,555,86,107,123,21
64TH STATE ASSEMBLY,N,0,VBM PORTION,10750,141,94,7676,131,103,17,84,701,632,19,364,42,77,115,16
64TH STATE ASSEMBLY,N,214026,TOTAL,26141,505,181,18804,373,263,84,193,1488,1404,53,919,128,184,238,37
66TH STATE ASSEMBLY,N,275451,POLLING PLACE,33505,339,150,14966,67,339,191,526,9224,5335,97,290,138,214,278,63
66TH STATE ASSEMBLY,N,0,VBM PORTION,35238,255,216,16390,93,598,144,695,8880,5297,77,217,117,262,365,80
66TH STATE ASSEMBLY,N,275451,TOTAL,68731,594,366,31356,160,937,335,1221,18104,10632,174,507,255,476,643,143
70TH STATE ASSEMBLY,N,263185,POLLING PLACE,29154,574,192,16142,79,247,73,283,5117,3312,240,656,342,288,378,78
70TH STATE ASSEMBLY,N,0,VBM PORTION,28904,332,207,16113,70,394,48,329,5624,3640,151,335,211,196,305,62
70TH STATE ASSEMBLY,N,263185,TOTAL,58054,906,399,32255,149,641,121,612,10741,6952,391,991,553,484,683,140
