date_of_data,install_zip_code,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014,total_overall,data_source,incentive_program,about_the_program
7/16/14,90019,,,,2450,360,9112,8899,20821,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90020,,,,,,,1872,1872,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90023,,,,,,,2386,2386,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90024,,,,1019,,3380,5652,10051,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90025,,,,2400,,900,2995,6295,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90026,,,,3120,,,4952,8072,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90027,,,,4551,,4374,5102,14027,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90028,,,,,736,,1896,2632,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90029,,,,,,2970,4474,7444,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90031,,,,,,,1829,1829,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90032,,,,825,,2717,2050,5592,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90034,,,,11003,1710,7033,5917,25663,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90035,,,,1981,,10806,12497,25284,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90036,,,,3178,,3634,,6812,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90037,,,,,,,2355,2355,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90038,,,,,,920,,920,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90039,,,,2443,,8731,9907,21081,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90041,,,,14339,1968,13100,8362,37769,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90042,,,,6864,5962,5130,5855,23811,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90043,,,,2360,1783,11070,14972,30185,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90044,,,,,570,,9009,9579,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90045,,,,14071,1745,22023,20279,58118,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90046,,,,3187,,6305,2629,12121,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90047,,,,7488,7125,14209,9609,38431,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90048,,,,3610,630,4343,2686,11269,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90049,,,,2440,,7681,9831,19952,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90059,,,,,,6395,,6395,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90061,,,,,,1700,,1700,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90062,,,,1323,,1533,,2856,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90063,,,,,,,1975,1975,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90064,,,,3152,5000,7241,16964,32357,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90065,,,,,506,6919,7121,14546,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90066,,,,18194,9184,16809,11470,55657,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90068,,,,3500,400,,4200,8100,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90069,,,,,,931,525,1456,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90077,,,,1302,,2265,,3567,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90210,,,,2000,,3107,8326,13433,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90230,,,,975,2196,1564,1730,6465,Metropolitan Water District & West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90232,,,,625,1988,3336,,5949,West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90247,,,,3573,6731,,,10304,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90248,,,,384,889,,621,1894,West Basin Water District and Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90249,,,,5675,8267,6526,,20468,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90250,,,1336,3170,9685,11052,,25243,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90254,,,,,,988,,988,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90260,,,,1100,5728,1914,,8742,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90265,,,,,,,720,720,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90266,,,,,650,4754,,5404,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90272,,,,9698,2423,7725,5472,25318,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90278,,,,,1663,1392,,3055,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90291,,,,5054,265,9473,4817,19609,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90292,,,,,,1309,450,1759,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90293,,,,300,,450,,750,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90302,,,,,,1500,,1500,West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90304,,,,1550,4982,,,6532,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90401,,,,,,384,,384,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90402,,,,,,2318,6466,8784,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90403,,,,,,2251,7302,9553,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90404,,,,,,,1914,1914,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90405,,,,,,6312,15415,21727,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90501,,,,,,3539,2800,6339,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90503,,,,,704,704,,1408,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90504,,,,,,1064,,1064,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90505,,,,,,1474,,1474,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90606,,,,,,768,,768,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90630,,,,3111,13682,,2082,18875,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90638,,,,,,700,,700,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90660,,,,,,,3175,3175,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90680,,,,,3300,,,3300,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90710,,,,,,,1176,1176,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90715,,,,,,574,,574,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90716,,,,,,742,,742,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90720,,,,415,2400,,,2815,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90731,,,,2023,415,3337,10014,15789,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90732,,,,,574,2510,2422,5506,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90744,,,,700,,,666,1366,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90746,,,,,8345,1065,,9410,Metropolitan Water District and West Basin Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90755,,,,,,1010,,1010,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90801,,,,1755,,1296,,3051,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
7/16/14,90802,,,,7022,162,5888,6887,19959,Metropolitan Water District,Standard,"Metropolitan Water District has a third-party contractor that runs the turf removal incentive program directly for many cities, and indirectly for some. The standard program pays homeowners "cash for grass" -- money for actual removal of lawns."
