LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN LOWENTHAL,ANDY WHALLON,
LAKEWOOD,3450064A,1305,343,N,811,POLLING PLACE,173,65,99,
LAKEWOOD,3450064A,1305,343,N,,VBM PORTION,78,35,38,
LAKEWOOD,3450064A,1305,343,N,811,TOTAL,251,100,137,
LAKEWOOD,3450066A,1306,343,N,712,POLLING PLACE,147,70,66,
LAKEWOOD,3450066A,1306,343,N,,VBM PORTION,33,13,18,
LAKEWOOD,3450066A,1306,343,N,712,TOTAL,180,83,84,
LONG BEACH,3850002A,6144,396,Y,2,POLLING PLACE,,,,
LONG BEACH,3850002A,6144,396,Y,,VBM PORTION,,,,
LONG BEACH,3850002A,6144,396,Y,2,TOTAL,,,,
LONG BEACH,3850003A,1419,396,N,377,POLLING PLACE,,,,
LONG BEACH,3850003A,1419,396,N,,VBM PORTION,1,,1,
LONG BEACH,3850003A,1419,396,N,377,TOTAL,1,,1,
LONG BEACH,3850007A,1422,396,N,1140,POLLING PLACE,124,94,24,
LONG BEACH,3850007A,1422,396,N,,VBM PORTION,72,52,17,
LONG BEACH,3850007A,1422,396,N,1140,TOTAL,196,146,41,
LONG BEACH,3850010A,1425,396,N,1175,POLLING PLACE,135,107,21,
LONG BEACH,3850010A,1425,396,N,,VBM PORTION,25,19,5,
LONG BEACH,3850010A,1425,396,N,1175,TOTAL,160,126,26,
LONG BEACH,3850012A,1426,396,N,1440,POLLING PLACE,216,154,54,
LONG BEACH,3850012A,1426,396,N,,VBM PORTION,148,88,52,
LONG BEACH,3850012A,1426,396,N,1440,TOTAL,364,242,106,
LONG BEACH,3850021A,1433,396,N,1091,POLLING PLACE,105,95,8,
LONG BEACH,3850021A,1433,396,N,,VBM PORTION,34,26,8,
LONG BEACH,3850021A,1433,396,N,1091,TOTAL,139,121,16,
LONG BEACH,3850025A,1435,396,N,972,POLLING PLACE,101,66,20,
LONG BEACH,3850025A,1435,396,N,,VBM PORTION,38,24,12,
LONG BEACH,3850025A,1435,396,N,972,TOTAL,139,90,32,
LONG BEACH,3850030A,1439,396,N,980,POLLING PLACE,124,98,22,
LONG BEACH,3850030A,1439,396,N,,VBM PORTION,36,27,7,
LONG BEACH,3850030A,1439,396,N,980,TOTAL,160,125,29,
LONG BEACH,3850034A,1444,396,N,899,POLLING PLACE,36,22,11,
LONG BEACH,3850034A,1444,396,N,,VBM PORTION,25,15,8,
LONG BEACH,3850034A,1444,396,N,899,TOTAL,61,37,19,
LONG BEACH,3850036A,1446,396,N,902,POLLING PLACE,134,99,23,
LONG BEACH,3850036A,1446,396,N,,VBM PORTION,62,51,10,
LONG BEACH,3850036A,1446,396,N,902,TOTAL,196,150,33,
LONG BEACH,3850040A,1449,396,N,1079,POLLING PLACE,42,30,11,
LONG BEACH,3850040A,1449,396,N,,VBM PORTION,18,11,6,
LONG BEACH,3850040A,1449,396,N,1079,TOTAL,60,41,17,
LONG BEACH,3850042A,1451,357,N,804,POLLING PLACE,69,42,25,
LONG BEACH,3850042A,1451,357,N,,VBM PORTION,53,33,19,
LONG BEACH,3850042A,1451,357,N,804,TOTAL,122,75,44,
LONG BEACH,3850044D,1452,396,N,1065,POLLING PLACE,263,176,77,
LONG BEACH,3850044D,1452,396,N,,VBM PORTION,100,60,33,
LONG BEACH,3850044D,1452,396,N,1065,TOTAL,363,236,110,
LONG BEACH,3850045A,1453,396,N,946,POLLING PLACE,183,104,65,
LONG BEACH,3850045A,1453,396,N,,VBM PORTION,44,28,14,
LONG BEACH,3850045A,1453,396,N,946,TOTAL,227,132,79,
LONG BEACH,3850046A,1454,396,N,682,POLLING PLACE,49,37,11,
LONG BEACH,3850046A,1454,396,N,,VBM PORTION,16,13,3,
LONG BEACH,3850046A,1454,396,N,682,TOTAL,65,50,14,
LONG BEACH,3850047A,1455,396,N,1201,POLLING PLACE,74,56,12,
LONG BEACH,3850047A,1455,396,N,,VBM PORTION,33,24,8,
LONG BEACH,3850047A,1455,396,N,1201,TOTAL,107,80,20,
LONG BEACH,3850048A,1456,392,N,1108,POLLING PLACE,190,129,52,
LONG BEACH,3850048A,1456,392,N,,VBM PORTION,95,61,32,
LONG BEACH,3850048A,1456,392,N,1108,TOTAL,285,190,84,
LONG BEACH,3850049A,1457,396,N,1002,POLLING PLACE,124,91,20,
LONG BEACH,3850049A,1457,396,N,,VBM PORTION,29,18,10,
LONG BEACH,3850049A,1457,396,N,1002,TOTAL,153,109,30,
LONG BEACH,3850052A,1458,392,N,807,POLLING PLACE,173,90,71,
LONG BEACH,3850052A,1458,392,N,,VBM PORTION,91,37,48,
LONG BEACH,3850052A,1458,392,N,807,TOTAL,264,127,119,
LONG BEACH,3850053A,1459,396,N,1035,POLLING PLACE,152,107,40,
LONG BEACH,3850053A,1459,396,N,,VBM PORTION,77,49,24,
LONG BEACH,3850053A,1459,396,N,1035,TOTAL,229,156,64,
LONG BEACH,3850055A,1460,396,N,939,POLLING PLACE,158,112,36,
LONG BEACH,3850055A,1460,396,N,,VBM PORTION,41,22,16,
LONG BEACH,3850055A,1460,396,N,939,TOTAL,199,134,52,
LONG BEACH,3850059A,1462,357,N,1234,POLLING PLACE,103,73,24,
LONG BEACH,3850059A,1462,357,N,,VBM PORTION,50,34,15,
LONG BEACH,3850059A,1462,357,N,1234,TOTAL,153,107,39,
LONG BEACH,3850065A,1464,396,N,926,POLLING PLACE,187,99,83,
LONG BEACH,3850065A,1464,396,N,,VBM PORTION,107,46,54,
LONG BEACH,3850065A,1464,396,N,926,TOTAL,294,145,137,
LONG BEACH,3850067B,1465,396,N,1063,POLLING PLACE,247,133,104,
LONG BEACH,3850067B,1465,396,N,,VBM PORTION,118,60,52,
LONG BEACH,3850067B,1465,396,N,1063,TOTAL,365,193,156,
LONG BEACH,3850070A,1467,396,N,912,POLLING PLACE,177,107,60,
LONG BEACH,3850070A,1467,396,N,,VBM PORTION,59,34,24,
LONG BEACH,3850070A,1467,396,N,912,TOTAL,236,141,84,
LONG BEACH,3850071A,1468,396,N,871,POLLING PLACE,178,122,41,
LONG BEACH,3850071A,1468,396,N,,VBM PORTION,47,30,16,
LONG BEACH,3850071A,1468,396,N,871,TOTAL,225,152,57,
LONG BEACH,3850072A,1469,396,N,941,POLLING PLACE,135,98,34,
LONG BEACH,3850072A,1469,396,N,,VBM PORTION,44,30,13,
LONG BEACH,3850072A,1469,396,N,941,TOTAL,179,128,47,
LONG BEACH,3850075A,1470,396,N,864,POLLING PLACE,164,99,62,
LONG BEACH,3850075A,1470,396,N,,VBM PORTION,73,47,23,
LONG BEACH,3850075A,1470,396,N,864,TOTAL,237,146,85,
LONG BEACH,3850076A,1471,396,N,1063,POLLING PLACE,156,110,39,
LONG BEACH,3850076A,1471,396,N,,VBM PORTION,77,45,30,
LONG BEACH,3850076A,1471,396,N,1063,TOTAL,233,155,69,
LONG BEACH,3850081A,1472,396,N,1166,POLLING PLACE,235,149,78,
LONG BEACH,3850081A,1472,396,N,,VBM PORTION,124,80,43,
LONG BEACH,3850081A,1472,396,N,1166,TOTAL,359,229,121,
LONG BEACH,3850082A,1473,396,N,922,POLLING PLACE,182,122,52,
LONG BEACH,3850082A,1473,396,N,,VBM PORTION,70,36,30,
LONG BEACH,3850082A,1473,396,N,922,TOTAL,252,158,82,
LONG BEACH,3850085A,1474,396,N,1338,POLLING PLACE,302,192,101,
LONG BEACH,3850085A,1474,396,N,,VBM PORTION,132,90,38,
LONG BEACH,3850085A,1474,396,N,1338,TOTAL,434,282,139,
LONG BEACH,3850089A,1475,396,N,1146,POLLING PLACE,112,74,33,
LONG BEACH,3850089A,1475,396,N,,VBM PORTION,81,57,22,
LONG BEACH,3850089A,1475,396,N,1146,TOTAL,193,131,55,
LONG BEACH,3850089D,1476,396,N,1196,POLLING PLACE,102,77,24,
LONG BEACH,3850089D,1476,396,N,,VBM PORTION,77,61,12,
LONG BEACH,3850089D,1476,396,N,1196,TOTAL,179,138,36,
LONG BEACH,3850091A,1477,396,N,989,POLLING PLACE,59,37,19,
LONG BEACH,3850091A,1477,396,N,,VBM PORTION,23,17,4,
LONG BEACH,3850091A,1477,396,N,989,TOTAL,82,54,23,
LONG BEACH,3850092A,1478,396,N,956,POLLING PLACE,159,129,15,
LONG BEACH,3850092A,1478,396,N,,VBM PORTION,46,36,6,
LONG BEACH,3850092A,1478,396,N,956,TOTAL,205,165,21,
LONG BEACH,3850093A,1479,396,N,692,POLLING PLACE,102,62,35,
LONG BEACH,3850093A,1479,396,N,,VBM PORTION,54,36,17,
LONG BEACH,3850093A,1479,396,N,692,TOTAL,156,98,52,
LONG BEACH,3850097A,1480,396,N,1243,POLLING PLACE,168,108,37,
LONG BEACH,3850097A,1480,396,N,,VBM PORTION,54,39,14,
LONG BEACH,3850097A,1480,396,N,1243,TOTAL,222,147,51,
LONG BEACH,3850099A,1481,396,N,1041,POLLING PLACE,155,113,34,
LONG BEACH,3850099A,1481,396,N,,VBM PORTION,41,33,7,
LONG BEACH,3850099A,1481,396,N,1041,TOTAL,196,146,41,
LONG BEACH,3850100A,1482,396,N,806,POLLING PLACE,122,94,24,
LONG BEACH,3850100A,1482,396,N,,VBM PORTION,25,17,6,
LONG BEACH,3850100A,1482,396,N,806,TOTAL,147,111,30,
LONG BEACH,3850101A,1483,396,N,933,POLLING PLACE,132,109,21,
LONG BEACH,3850101A,1483,396,N,,VBM PORTION,51,43,8,
LONG BEACH,3850101A,1483,396,N,933,TOTAL,183,152,29,
LONG BEACH,3850103A,1485,396,N,963,POLLING PLACE,116,86,21,
LONG BEACH,3850103A,1485,396,N,,VBM PORTION,52,27,23,
LONG BEACH,3850103A,1485,396,N,963,TOTAL,168,113,44,
LONG BEACH,3850108A,1486,396,N,775,POLLING PLACE,74,52,18,
LONG BEACH,3850108A,1486,396,N,,VBM PORTION,74,47,27,
LONG BEACH,3850108A,1486,396,N,775,TOTAL,148,99,45,
LONG BEACH,3850110A,1487,396,N,1070,POLLING PLACE,139,108,26,
LONG BEACH,3850110A,1487,396,N,,VBM PORTION,64,43,16,
LONG BEACH,3850110A,1487,396,N,1070,TOTAL,203,151,42,
LONG BEACH,3850113B,1488,396,N,991,POLLING PLACE,77,48,17,
LONG BEACH,3850113B,1488,396,N,,VBM PORTION,41,30,8,
LONG BEACH,3850113B,1488,396,N,991,TOTAL,118,78,25,
LONG BEACH,3850117A,1489,396,N,1216,POLLING PLACE,124,90,20,
LONG BEACH,3850117A,1489,396,N,,VBM PORTION,43,34,7,
LONG BEACH,3850117A,1489,396,N,1216,TOTAL,167,124,27,
LONG BEACH,3850118A,1490,396,N,613,POLLING PLACE,48,39,6,
LONG BEACH,3850118A,1490,396,N,,VBM PORTION,18,15,3,
LONG BEACH,3850118A,1490,396,N,613,TOTAL,66,54,9,
LONG BEACH,3850120A,1491,396,N,895,POLLING PLACE,148,113,31,
LONG BEACH,3850120A,1491,396,N,,VBM PORTION,68,52,12,
LONG BEACH,3850120A,1491,396,N,895,TOTAL,216,165,43,
LONG BEACH,3850122A,1492,396,N,801,POLLING PLACE,67,53,12,
LONG BEACH,3850122A,1492,396,N,,VBM PORTION,28,23,3,
LONG BEACH,3850122A,1492,396,N,801,TOTAL,95,76,15,
LONG BEACH,3850123A,1493,396,N,855,POLLING PLACE,62,48,10,
LONG BEACH,3850123A,1493,396,N,,VBM PORTION,28,21,6,
LONG BEACH,3850123A,1493,396,N,855,TOTAL,90,69,16,
LONG BEACH,3850128A,1494,396,N,755,POLLING PLACE,71,54,17,
LONG BEACH,3850128A,1494,396,N,,VBM PORTION,26,16,10,
LONG BEACH,3850128A,1494,396,N,755,TOTAL,97,70,27,
LONG BEACH,3850133A,1495,396,N,1106,POLLING PLACE,127,100,21,
LONG BEACH,3850133A,1495,396,N,,VBM PORTION,38,28,6,
LONG BEACH,3850133A,1495,396,N,1106,TOTAL,165,128,27,
LONG BEACH,3850134B,1496,396,N,1018,POLLING PLACE,64,46,10,
LONG BEACH,3850134B,1496,396,N,,VBM PORTION,15,13,1,
LONG BEACH,3850134B,1496,396,N,1018,TOTAL,79,59,11,
LONG BEACH,3850135A,1497,396,N,1267,POLLING PLACE,203,156,38,
LONG BEACH,3850135A,1497,396,N,,VBM PORTION,85,62,18,
LONG BEACH,3850135A,1497,396,N,1267,TOTAL,288,218,56,
LONG BEACH,3850137A,1498,396,N,1148,POLLING PLACE,76,65,6,
LONG BEACH,3850137A,1498,396,N,,VBM PORTION,34,26,7,
LONG BEACH,3850137A,1498,396,N,1148,TOTAL,110,91,13,
LONG BEACH,3850138A,1499,396,N,933,POLLING PLACE,87,73,9,
LONG BEACH,3850138A,1499,396,N,,VBM PORTION,25,19,4,
LONG BEACH,3850138A,1499,396,N,933,TOTAL,112,92,13,
LONG BEACH,3850144A,1500,396,N,1101,POLLING PLACE,51,36,7,
LONG BEACH,3850144A,1500,396,N,,VBM PORTION,27,24,2,
LONG BEACH,3850144A,1500,396,N,1101,TOTAL,78,60,9,
LONG BEACH,3850145A,1501,396,N,877,POLLING PLACE,51,35,14,
LONG BEACH,3850145A,1501,396,N,,VBM PORTION,18,15,1,
LONG BEACH,3850145A,1501,396,N,877,TOTAL,69,50,15,
LONG BEACH,3850146A,1502,396,N,1128,POLLING PLACE,92,66,23,
LONG BEACH,3850146A,1502,396,N,,VBM PORTION,37,26,10,
LONG BEACH,3850146A,1502,396,N,1128,TOTAL,129,92,33,
LONG BEACH,3850147A,1503,396,N,863,POLLING PLACE,171,89,77,
LONG BEACH,3850147A,1503,396,N,,VBM PORTION,48,26,20,
LONG BEACH,3850147A,1503,396,N,863,TOTAL,219,115,97,
LONG BEACH,3850149A,1504,396,N,1011,POLLING PLACE,141,108,23,
LONG BEACH,3850149A,1504,396,N,,VBM PORTION,34,23,10,
LONG BEACH,3850149A,1504,396,N,1011,TOTAL,175,131,33,
LONG BEACH,3850151A,1505,396,N,1143,POLLING PLACE,60,50,6,
LONG BEACH,3850151A,1505,396,N,,VBM PORTION,32,24,7,
LONG BEACH,3850151A,1505,396,N,1143,TOTAL,92,74,13,
LONG BEACH,3850151C,1506,396,N,864,POLLING PLACE,69,54,10,
LONG BEACH,3850151C,1506,396,N,,VBM PORTION,31,22,6,
LONG BEACH,3850151C,1506,396,N,864,TOTAL,100,76,16,
LONG BEACH,3850152A,1507,396,N,781,POLLING PLACE,125,106,14,
LONG BEACH,3850152A,1507,396,N,,VBM PORTION,41,31,6,
LONG BEACH,3850152A,1507,396,N,781,TOTAL,166,137,20,
LONG BEACH,3850153A,1508,392,N,1257,POLLING PLACE,298,181,103,
LONG BEACH,3850153A,1508,392,N,,VBM PORTION,151,81,66,
LONG BEACH,3850153A,1508,392,N,1257,TOTAL,449,262,169,
LONG BEACH,3850154B,1509,396,N,501,POLLING PLACE,33,25,6,
LONG BEACH,3850154B,1509,396,N,,VBM PORTION,8,5,3,
LONG BEACH,3850154B,1509,396,N,501,TOTAL,41,30,9,
LONG BEACH,3850157A,1510,396,N,1098,POLLING PLACE,142,114,22,
LONG BEACH,3850157A,1510,396,N,,VBM PORTION,51,42,5,
LONG BEACH,3850157A,1510,396,N,1098,TOTAL,193,156,27,
LONG BEACH,3850158A,1511,396,N,961,POLLING PLACE,104,72,25,
LONG BEACH,3850158A,1511,396,N,,VBM PORTION,35,25,9,
LONG BEACH,3850158A,1511,396,N,961,TOTAL,139,97,34,
LONG BEACH,3850159A,1512,396,N,768,POLLING PLACE,50,37,12,
LONG BEACH,3850159A,1512,396,N,,VBM PORTION,29,22,3,
LONG BEACH,3850159A,1512,396,N,768,TOTAL,79,59,15,
LONG BEACH,3850163A,1513,396,N,936,POLLING PLACE,128,79,40,
LONG BEACH,3850163A,1513,396,N,,VBM PORTION,57,41,15,
LONG BEACH,3850163A,1513,396,N,936,TOTAL,185,120,55,
LONG BEACH,3850164A,1514,396,N,970,POLLING PLACE,72,57,11,
LONG BEACH,3850164A,1514,396,N,,VBM PORTION,32,24,5,
LONG BEACH,3850164A,1514,396,N,970,TOTAL,104,81,16,
LONG BEACH,3850166B,1515,396,N,986,POLLING PLACE,69,54,13,
LONG BEACH,3850166B,1515,396,N,,VBM PORTION,21,8,13,
LONG BEACH,3850166B,1515,396,N,986,TOTAL,90,62,26,
LONG BEACH,3850170A,1516,396,N,1216,POLLING PLACE,130,107,15,
LONG BEACH,3850170A,1516,396,N,,VBM PORTION,34,28,4,
LONG BEACH,3850170A,1516,396,N,1216,TOTAL,164,135,19,
LONG BEACH,3850171A,1517,396,N,912,POLLING PLACE,48,42,4,
LONG BEACH,3850171A,1517,396,N,,VBM PORTION,25,23,2,
LONG BEACH,3850171A,1517,396,N,912,TOTAL,73,65,6,
LONG BEACH,3850175A,1518,396,N,798,POLLING PLACE,83,68,14,
LONG BEACH,3850175A,1518,396,N,,VBM PORTION,35,21,12,
LONG BEACH,3850175A,1518,396,N,798,TOTAL,118,89,26,
LONG BEACH,3850178A,1519,396,N,807,POLLING PLACE,97,71,17,
LONG BEACH,3850178A,1519,396,N,,VBM PORTION,41,32,7,
LONG BEACH,3850178A,1519,396,N,807,TOTAL,138,103,24,
LONG BEACH,3850179A,1520,396,N,980,POLLING PLACE,134,95,33,
LONG BEACH,3850179A,1520,396,N,,VBM PORTION,124,65,52,
LONG BEACH,3850179A,1520,396,N,980,TOTAL,258,160,85,
LONG BEACH,3850184A,1521,396,N,739,POLLING PLACE,114,83,25,
LONG BEACH,3850184A,1521,396,N,,VBM PORTION,64,41,21,
LONG BEACH,3850184A,1521,396,N,739,TOTAL,178,124,46,
LONG BEACH,3850185A,1522,396,N,792,POLLING PLACE,51,42,6,
LONG BEACH,3850185A,1522,396,N,,VBM PORTION,15,11,2,
LONG BEACH,3850185A,1522,396,N,792,TOTAL,66,53,8,
LONG BEACH,3850190A,1523,396,N,744,POLLING PLACE,76,57,15,
LONG BEACH,3850190A,1523,396,N,,VBM PORTION,31,19,12,
LONG BEACH,3850190A,1523,396,N,744,TOTAL,107,76,27,
LONG BEACH,3850198A,1524,396,N,820,POLLING PLACE,160,106,45,
LONG BEACH,3850198A,1524,396,N,,VBM PORTION,85,48,29,
LONG BEACH,3850198A,1524,396,N,820,TOTAL,245,154,74,
LONG BEACH,3850201A,1525,396,N,890,POLLING PLACE,128,85,33,
LONG BEACH,3850201A,1525,396,N,,VBM PORTION,98,64,28,
LONG BEACH,3850201A,1525,396,N,890,TOTAL,226,149,61,
LONG BEACH,3850202A,1526,396,N,893,POLLING PLACE,120,95,22,
LONG BEACH,3850202A,1526,396,N,,VBM PORTION,54,43,11,
LONG BEACH,3850202A,1526,396,N,893,TOTAL,174,138,33,
LONG BEACH,3850204A,1527,396,N,1280,POLLING PLACE,196,167,25,
LONG BEACH,3850204A,1527,396,N,,VBM PORTION,79,61,15,
LONG BEACH,3850204A,1527,396,N,1280,TOTAL,275,228,40,
LONG BEACH,3850209B,1528,396,N,874,POLLING PLACE,184,111,58,
LONG BEACH,3850209B,1528,396,N,,VBM PORTION,78,45,29,
LONG BEACH,3850209B,1528,396,N,874,TOTAL,262,156,87,
LONG BEACH,3850210A,1529,396,N,705,POLLING PLACE,153,117,26,
LONG BEACH,3850210A,1529,396,N,,VBM PORTION,71,57,13,
LONG BEACH,3850210A,1529,396,N,705,TOTAL,224,174,39,
LONG BEACH,3850211A,1530,396,N,1127,POLLING PLACE,190,146,39,
LONG BEACH,3850211A,1530,396,N,,VBM PORTION,65,49,14,
LONG BEACH,3850211A,1530,396,N,1127,TOTAL,255,195,53,
LONG BEACH,3850212A,1531,396,N,933,POLLING PLACE,195,149,41,
LONG BEACH,3850212A,1531,396,N,,VBM PORTION,62,47,13,
LONG BEACH,3850212A,1531,396,N,933,TOTAL,257,196,54,
LONG BEACH,3850213A,1532,396,N,813,POLLING PLACE,141,83,53,
LONG BEACH,3850213A,1532,396,N,,VBM PORTION,119,74,41,
LONG BEACH,3850213A,1532,396,N,813,TOTAL,260,157,94,
LONG BEACH,3850215A,1533,392,N,1468,POLLING PLACE,259,126,115,
LONG BEACH,3850215A,1533,392,N,,VBM PORTION,309,138,155,
LONG BEACH,3850215A,1533,392,N,1468,TOTAL,568,264,270,
LONG BEACH,3850216A,1534,396,N,1248,POLLING PLACE,345,199,137,
LONG BEACH,3850216A,1534,396,N,,VBM PORTION,112,69,38,
LONG BEACH,3850216A,1534,396,N,1248,TOTAL,457,268,175,
LONG BEACH,3850222B,1536,396,N,822,POLLING PLACE,164,124,35,
LONG BEACH,3850222B,1536,396,N,,VBM PORTION,77,42,31,
LONG BEACH,3850222B,1536,396,N,822,TOTAL,241,166,66,
LONG BEACH,3850223A,1537,396,N,936,POLLING PLACE,262,175,78,
LONG BEACH,3850223A,1537,396,N,,VBM PORTION,97,53,40,
LONG BEACH,3850223A,1537,396,N,936,TOTAL,359,228,118,
LONG BEACH,3850227A,1538,396,N,1098,POLLING PLACE,211,174,31,
LONG BEACH,3850227A,1538,396,N,,VBM PORTION,51,39,11,
LONG BEACH,3850227A,1538,396,N,1098,TOTAL,262,213,42,
LONG BEACH,3850229A,1539,396,N,675,POLLING PLACE,122,93,20,
LONG BEACH,3850229A,1539,396,N,,VBM PORTION,42,29,10,
LONG BEACH,3850229A,1539,396,N,675,TOTAL,164,122,30,
LONG BEACH,3850236A,1540,396,N,941,POLLING PLACE,71,55,11,
LONG BEACH,3850236A,1540,396,N,,VBM PORTION,26,16,9,
LONG BEACH,3850236A,1540,396,N,941,TOTAL,97,71,20,
LONG BEACH,3850237B,1541,396,N,618,POLLING PLACE,97,79,17,
LONG BEACH,3850237B,1541,396,N,,VBM PORTION,23,16,7,
LONG BEACH,3850237B,1541,396,N,618,TOTAL,120,95,24,
LONG BEACH,3850238A,1542,396,N,827,POLLING PLACE,107,80,24,
LONG BEACH,3850238A,1542,396,N,,VBM PORTION,29,23,4,
LONG BEACH,3850238A,1542,396,N,827,TOTAL,136,103,28,
LONG BEACH,3850239A,1543,396,N,910,POLLING PLACE,83,61,18,
LONG BEACH,3850239A,1543,396,N,,VBM PORTION,51,39,12,
LONG BEACH,3850239A,1543,396,N,910,TOTAL,134,100,30,
LONG BEACH,3850244A,1544,396,N,753,POLLING PLACE,46,38,6,
LONG BEACH,3850244A,1544,396,N,,VBM PORTION,33,29,4,
LONG BEACH,3850244A,1544,396,N,753,TOTAL,79,67,10,
LONG BEACH,3850248A,1545,396,N,744,POLLING PLACE,126,85,36,
LONG BEACH,3850248A,1545,396,N,,VBM PORTION,47,29,15,
LONG BEACH,3850248A,1545,396,N,744,TOTAL,173,114,51,
LONG BEACH,3850249A,1546,396,N,914,POLLING PLACE,92,69,21,
LONG BEACH,3850249A,1546,396,N,,VBM PORTION,32,23,8,
LONG BEACH,3850249A,1546,396,N,914,TOTAL,124,92,29,
LONG BEACH,3850251A,1547,396,N,828,POLLING PLACE,156,116,32,
LONG BEACH,3850251A,1547,396,N,,VBM PORTION,42,29,12,
LONG BEACH,3850251A,1547,396,N,828,TOTAL,198,145,44,
LONG BEACH,3850254A,1548,392,N,1352,POLLING PLACE,379,171,193,
LONG BEACH,3850254A,1548,392,N,,VBM PORTION,246,69,165,
LONG BEACH,3850254A,1548,392,N,1352,TOTAL,625,240,358,
LONG BEACH,3850255A,1549,392,N,1367,POLLING PLACE,310,135,167,
LONG BEACH,3850255A,1549,392,N,,VBM PORTION,294,113,165,
LONG BEACH,3850255A,1549,392,N,1367,TOTAL,604,248,332,
LONG BEACH,3850256A,1550,392,N,776,POLLING PLACE,186,106,76,
LONG BEACH,3850256A,1550,392,N,,VBM PORTION,99,45,50,
LONG BEACH,3850256A,1550,392,N,776,TOTAL,285,151,126,
LONG BEACH,3850259A,1551,392,N,922,POLLING PLACE,232,124,99,
LONG BEACH,3850259A,1551,392,N,,VBM PORTION,129,53,71,
LONG BEACH,3850259A,1551,392,N,922,TOTAL,361,177,170,
LONG BEACH,3850262A,1552,392,N,1374,POLLING PLACE,370,210,143,
LONG BEACH,3850262A,1552,392,N,,VBM PORTION,165,80,77,
LONG BEACH,3850262A,1552,392,N,1374,TOTAL,535,290,220,
LONG BEACH,3850264A,1553,392,N,730,POLLING PLACE,103,62,38,
LONG BEACH,3850264A,1553,392,N,,VBM PORTION,48,26,18,
LONG BEACH,3850264A,1553,392,N,730,TOTAL,151,88,56,
LONG BEACH,3850270A,1554,392,N,775,POLLING PLACE,114,75,32,
LONG BEACH,3850270A,1554,392,N,,VBM PORTION,65,31,28,
LONG BEACH,3850270A,1554,392,N,775,TOTAL,179,106,60,
LONG BEACH,3850271A,1555,392,N,1034,POLLING PLACE,239,136,90,
LONG BEACH,3850271A,1555,392,N,,VBM PORTION,84,42,40,
LONG BEACH,3850271A,1555,392,N,1034,TOTAL,323,178,130,
