LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANDREW M STEIN,TOM GRIEGO,
AGOURA,0070004A,8,190,N,,VBM PORTION,84,17,41,
AGOURA,0070004A,8,190,N,710,TOTAL,252,69,112,
AGOURA,0070004C,9,191,N,369,POLLING PLACE,143,42,60,
AGOURA,0070004C,9,191,N,,VBM PORTION,42,6,19,
AGOURA,0070004C,9,191,N,369,TOTAL,185,48,79,
AGOURA,0070004M,6006,189,Y,77,POLLING PLACE,,,,
AGOURA,0070004M,6006,189,Y,,VBM PORTION,11,4,4,
AGOURA,0070004M,6006,189,Y,77,TOTAL,11,4,4,
AGOURA,0070006A,10,191,N,1083,POLLING PLACE,306,103,89,
AGOURA,0070006A,10,191,N,,VBM PORTION,132,41,41,
AGOURA,0070006A,10,191,N,1083,TOTAL,438,144,130,
AGOURA,0070027A,6007,190,Y,1,POLLING PLACE,,,,
AGOURA,0070027A,6007,190,Y,,VBM PORTION,,,,
AGOURA,0070027A,6007,190,Y,1,TOTAL,,,,
AGOURA,0070040A,6008,190,Y,89,POLLING PLACE,,,,
AGOURA,0070040A,6008,190,Y,,VBM PORTION,17,5,2,
AGOURA,0070040A,6008,190,Y,89,TOTAL,17,5,2,
AGOURA,0070041A,11,189,N,675,POLLING PLACE,193,49,80,
AGOURA,0070041A,11,189,N,,VBM PORTION,67,17,27,
AGOURA,0070041A,11,189,N,675,TOTAL,260,66,107,
AGOURA,0070207A,6009,189,Y,43,POLLING PLACE,,,,
AGOURA,0070207A,6009,189,Y,,VBM PORTION,9,2,4,
AGOURA,0070207A,6009,189,Y,43,TOTAL,9,2,4,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,93,93,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,30,41,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,123,134,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,66,72,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,31,31,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,97,103,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,109,84,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,48,54,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,157,138,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,71,76,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,22,27,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,93,103,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,103,81,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,27,37,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,130,118,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,91,99,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,34,45,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,125,144,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,107,114,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,40,48,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,147,162,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,63,71,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,16,35,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,79,106,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,97,104,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,42,52,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,139,156,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,106,86,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,32,41,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,138,127,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,109,93,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,36,66,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,145,159,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,111,95,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,42,46,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,153,141,
AGUA DULCE,0090003A,24,35,N,958,POLLING PLACE,283,65,129,
AGUA DULCE,0090003A,24,35,N,,VBM PORTION,115,17,62,
AGUA DULCE,0090003A,24,35,N,958,TOTAL,398,82,191,
AGUA DULCE,0090004A,25,35,N,729,POLLING PLACE,187,49,71,
AGUA DULCE,0090004A,25,35,N,,VBM PORTION,76,9,30,
AGUA DULCE,0090004A,25,35,N,729,TOTAL,263,58,101,
AGUA DULCE,0090004C,26,35,N,484,POLLING PLACE,131,38,52,
AGUA DULCE,0090004C,26,35,N,,VBM PORTION,63,17,27,
AGUA DULCE,0090004C,26,35,N,484,TOTAL,194,55,79,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,3,12,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,3,12,
AGUA DULCE,0090006A,6011,48,Y,64,POLLING PLACE,,,,
AGUA DULCE,0090006A,6011,48,Y,,VBM PORTION,6,,3,
AGUA DULCE,0090006A,6011,48,Y,64,TOTAL,6,,3,
AGUA DULCE,0090007B,6012,34,Y,2,POLLING PLACE,,,,
AGUA DULCE,0090007B,6012,34,Y,,VBM PORTION,2,,2,
AGUA DULCE,0090007B,6012,34,Y,2,TOTAL,2,,2,
AGUA DULCE,0090009A,6013,63,Y,,POLLING PLACE,,,,
AGUA DULCE,0090009A,6013,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090009A,6013,63,Y,,TOTAL,,,,
AGUA DULCE,0090012A,6014,63,Y,5,POLLING PLACE,,,,
AGUA DULCE,0090012A,6014,63,Y,,VBM PORTION,,,,
AGUA DULCE,0090012A,6014,63,Y,5,TOTAL,,,,
AGUA DULCE,0090017A,6015,51,Y,,POLLING PLACE,,,,
AGUA DULCE,0090017A,6015,51,Y,,VBM PORTION,,,,
AGUA DULCE,0090017A,6015,51,Y,,TOTAL,,,,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,64,84,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,16,32,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,80,116,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,25,65,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,6,25,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,31,90,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,74,99,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,17,43,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,91,142,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,48,91,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,12,30,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,60,121,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,50,85,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,15,24,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,65,109,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,63,125,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,22,52,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,85,177,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,56,68,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,22,23,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,78,91,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,43,62,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,13,18,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,56,80,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,52,102,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,14,30,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,66,132,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,47,79,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,17,30,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,64,109,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,43,85,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,6,29,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,49,114,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,36,74,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,25,49,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,61,123,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,50,101,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,13,33,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,63,134,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,49,97,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,17,28,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,66,125,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,22,40,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,10,19,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,32,59,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,28,58,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,15,27,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,43,85,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,37,70,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,10,39,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,47,109,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,58,96,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,14,48,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,72,144,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,,3,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,,3,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,27,70,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,7,8,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,34,78,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,52,100,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,11,34,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,63,134,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,19,76,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,17,38,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,36,114,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,27,47,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,7,17,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,34,64,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,32,66,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,10,22,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,42,88,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,30,51,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,21,25,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,51,76,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,21,35,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,5,18,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,26,53,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,19,46,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,8,26,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,27,72,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,40,80,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,18,41,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,58,121,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,46,60,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,22,40,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,68,100,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,31,96,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,7,26,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,38,122,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,60,70,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,6,19,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,66,89,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,32,71,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,11,17,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,43,88,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,13,31,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,9,15,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,22,46,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,60,117,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,4,26,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,64,143,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,42,72,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,22,31,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,64,103,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,51,106,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,22,28,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,73,134,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,27,50,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,21,58,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,48,108,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,34,75,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,26,29,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,60,104,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,16,51,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,12,25,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,28,76,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,57,41,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,14,17,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,71,58,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,58,57,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,24,43,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,82,100,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,81,103,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,17,23,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,98,126,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,96,132,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,29,63,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,125,195,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,63,89,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,28,54,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,91,143,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,71,68,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,14,30,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,85,98,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,69,88,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,22,33,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,91,121,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,80,74,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,30,39,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,110,113,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,63,68,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,19,36,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,82,104,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,52,69,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,16,29,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,68,98,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,97,83,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,25,52,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,122,135,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,55,72,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,12,14,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,67,86,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,38,59,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,11,13,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,49,72,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,53,71,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,11,14,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,64,85,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,69,105,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,28,43,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,97,148,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,64,104,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,15,20,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,79,124,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,117,141,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,62,72,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,179,213,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,73,88,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,31,47,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,104,135,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,149,139,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,35,53,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,184,192,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,134,129,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,46,38,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,180,167,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,78,112,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,23,34,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,101,146,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,51,55,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,13,19,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,64,74,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,107,129,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,27,55,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,134,184,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,135,104,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,41,56,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,176,160,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,57,62,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,9,23,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,66,85,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,84,118,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,47,40,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,131,158,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,104,122,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,32,26,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,136,148,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,122,121,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,32,41,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,154,162,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,42,89,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,31,56,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,73,145,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,57,63,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,24,53,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,81,116,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,40,85,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,31,62,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,71,147,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,46,76,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,13,61,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,59,137,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,67,114,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,19,50,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,86,164,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,50,85,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,17,88,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,67,173,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,74,93,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,22,56,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,96,149,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,65,85,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,44,73,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,109,158,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,45,77,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,29,66,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,74,143,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,52,76,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,26,74,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,78,150,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,45,81,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,31,51,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,76,132,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,50,73,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,14,49,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,64,122,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,39,83,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,23,38,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,62,121,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,36,83,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,13,49,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,49,132,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,37,84,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,16,49,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,53,133,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,44,89,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,11,21,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,55,110,
