LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DAVID HADLEY,AL MURATSUCHI,
HERMOSA BEACH,2750008A,1089,376,N,,VBM PORTION,89,52,31,
HERMOSA BEACH,2750008A,1089,376,N,859,TOTAL,277,139,122,
HERMOSA BEACH,2750011A,1090,376,N,1041,POLLING PLACE,236,104,115,
HERMOSA BEACH,2750011A,1090,376,N,,VBM PORTION,113,51,54,
HERMOSA BEACH,2750011A,1090,376,N,1041,TOTAL,349,155,169,
HERMOSA BEACH,2750012A,1091,376,N,1277,POLLING PLACE,294,131,147,
HERMOSA BEACH,2750012A,1091,376,N,,VBM PORTION,200,77,109,
HERMOSA BEACH,2750012A,1091,376,N,1277,TOTAL,494,208,256,
HERMOSA BEACH,2750015A,1092,376,N,967,POLLING PLACE,226,96,121,
HERMOSA BEACH,2750015A,1092,376,N,,VBM PORTION,160,52,101,
HERMOSA BEACH,2750015A,1092,376,N,967,TOTAL,386,148,222,
HERMOSA BEACH,2750016A,1093,376,N,848,POLLING PLACE,253,104,134,
HERMOSA BEACH,2750016A,1093,376,N,,VBM PORTION,108,51,51,
HERMOSA BEACH,2750016A,1093,376,N,848,TOTAL,361,155,185,
HERMOSA BEACH,2750017A,1094,376,N,1269,POLLING PLACE,389,158,219,
HERMOSA BEACH,2750017A,1094,376,N,,VBM PORTION,179,93,78,
HERMOSA BEACH,2750017A,1094,376,N,1269,TOTAL,568,251,297,
HERMOSA BEACH,2750019A,1095,376,N,1276,POLLING PLACE,340,141,178,
HERMOSA BEACH,2750019A,1095,376,N,,VBM PORTION,150,59,86,
HERMOSA BEACH,2750019A,1095,376,N,1276,TOTAL,490,200,264,
HERMOSA BEACH,2750023A,1096,376,N,930,POLLING PLACE,190,77,104,
HERMOSA BEACH,2750023A,1096,376,N,,VBM PORTION,88,30,50,
HERMOSA BEACH,2750023A,1096,376,N,930,TOTAL,278,107,154,
LOMITA,3800001A,1408,381,N,910,POLLING PLACE,195,91,97,
LOMITA,3800001A,1408,381,N,,VBM PORTION,79,37,37,
LOMITA,3800001A,1408,381,N,910,TOTAL,274,128,134,
LOMITA,3800002A,1409,381,N,962,POLLING PLACE,216,99,92,
LOMITA,3800002A,1409,381,N,,VBM PORTION,77,40,33,
LOMITA,3800002A,1409,381,N,962,TOTAL,293,139,125,
LOMITA,3800003A,1410,381,N,1031,POLLING PLACE,265,147,113,
LOMITA,3800003A,1410,381,N,,VBM PORTION,60,22,33,
LOMITA,3800003A,1410,381,N,1031,TOTAL,325,169,146,
LOMITA,3800004A,1411,381,N,1256,POLLING PLACE,181,83,82,
LOMITA,3800004A,1411,381,N,,VBM PORTION,100,40,55,
LOMITA,3800004A,1411,381,N,1256,TOTAL,281,123,137,
LOMITA,3800005A,6142,383,Y,,POLLING PLACE,,,,
LOMITA,3800005A,6142,383,Y,,VBM PORTION,,,,
LOMITA,3800005A,6142,383,Y,,TOTAL,,,,
LOMITA,3800006A,1412,381,N,1152,POLLING PLACE,177,94,75,
LOMITA,3800006A,1412,381,N,,VBM PORTION,97,48,45,
LOMITA,3800006A,1412,381,N,1152,TOTAL,274,142,120,
LOMITA,3800007A,1413,381,N,1251,POLLING PLACE,224,123,94,
LOMITA,3800007A,1413,381,N,,VBM PORTION,137,73,61,
LOMITA,3800007A,1413,381,N,1251,TOTAL,361,196,155,
LOMITA,3800010A,1414,381,N,937,POLLING PLACE,252,150,96,
LOMITA,3800010A,1414,381,N,,VBM PORTION,70,37,31,
LOMITA,3800010A,1414,381,N,937,TOTAL,322,187,127,
LOMITA,3800012A,1415,381,N,951,POLLING PLACE,178,78,85,
LOMITA,3800012A,1415,381,N,,VBM PORTION,62,28,30,
LOMITA,3800012A,1415,381,N,951,TOTAL,240,106,115,
LOMITA,3800013A,1416,381,N,1300,POLLING PLACE,272,128,126,
LOMITA,3800013A,1416,381,N,,VBM PORTION,138,52,74,
LOMITA,3800013A,1416,381,N,1300,TOTAL,410,180,200,
LOMITA,3800017A,1417,381,N,1211,POLLING PLACE,283,162,107,
LOMITA,3800017A,1417,381,N,,VBM PORTION,94,52,40,
LOMITA,3800017A,1417,381,N,1211,TOTAL,377,214,147,
MANHATTAN BEACH,4100001F,1716,375,N,1018,POLLING PLACE,257,132,111,
MANHATTAN BEACH,4100001F,1716,375,N,,VBM PORTION,105,68,33,
MANHATTAN BEACH,4100001F,1716,375,N,1018,TOTAL,362,200,144,
MANHATTAN BEACH,4100002A,1717,375,N,851,POLLING PLACE,205,98,97,
MANHATTAN BEACH,4100002A,1717,375,N,,VBM PORTION,88,53,32,
MANHATTAN BEACH,4100002A,1717,375,N,851,TOTAL,293,151,129,
MANHATTAN BEACH,4100005A,1718,375,N,1016,POLLING PLACE,243,123,103,
MANHATTAN BEACH,4100005A,1718,375,N,,VBM PORTION,112,63,45,
MANHATTAN BEACH,4100005A,1718,375,N,1016,TOTAL,355,186,148,
MANHATTAN BEACH,4100007B,1719,375,N,1099,POLLING PLACE,228,132,87,
MANHATTAN BEACH,4100007B,1719,375,N,,VBM PORTION,128,80,43,
MANHATTAN BEACH,4100007B,1719,375,N,1099,TOTAL,356,212,130,
MANHATTAN BEACH,4100012A,1720,375,N,947,POLLING PLACE,261,142,101,
MANHATTAN BEACH,4100012A,1720,375,N,,VBM PORTION,101,62,33,
MANHATTAN BEACH,4100012A,1720,375,N,947,TOTAL,362,204,134,
MANHATTAN BEACH,4100012B,1721,375,N,987,POLLING PLACE,238,131,96,
MANHATTAN BEACH,4100012B,1721,375,N,,VBM PORTION,141,86,49,
MANHATTAN BEACH,4100012B,1721,375,N,987,TOTAL,379,217,145,
MANHATTAN BEACH,4100014C,1722,375,N,901,POLLING PLACE,212,123,80,
MANHATTAN BEACH,4100014C,1722,375,N,,VBM PORTION,118,71,41,
MANHATTAN BEACH,4100014C,1722,375,N,901,TOTAL,330,194,121,
MANHATTAN BEACH,4100017A,1723,375,N,1097,POLLING PLACE,306,158,140,
MANHATTAN BEACH,4100017A,1723,375,N,,VBM PORTION,126,78,36,
MANHATTAN BEACH,4100017A,1723,375,N,1097,TOTAL,432,236,176,
MANHATTAN BEACH,4100019A,1724,375,N,1102,POLLING PLACE,294,154,130,
MANHATTAN BEACH,4100019A,1724,375,N,,VBM PORTION,118,61,44,
MANHATTAN BEACH,4100019A,1724,375,N,1102,TOTAL,412,215,174,
MANHATTAN BEACH,4100021A,1725,375,N,926,POLLING PLACE,224,100,115,
MANHATTAN BEACH,4100021A,1725,375,N,,VBM PORTION,125,62,59,
MANHATTAN BEACH,4100021A,1725,375,N,926,TOTAL,349,162,174,
MANHATTAN BEACH,4100025B,1726,375,N,973,POLLING PLACE,315,172,134,
MANHATTAN BEACH,4100025B,1726,375,N,,VBM PORTION,119,68,44,
MANHATTAN BEACH,4100025B,1726,375,N,973,TOTAL,434,240,178,
MANHATTAN BEACH,4100025D,1727,375,N,1042,POLLING PLACE,330,191,128,
MANHATTAN BEACH,4100025D,1727,375,N,,VBM PORTION,112,62,48,
MANHATTAN BEACH,4100025D,1727,375,N,1042,TOTAL,442,253,176,
MANHATTAN BEACH,4100026A,1728,375,N,1020,POLLING PLACE,314,172,130,
MANHATTAN BEACH,4100026A,1728,375,N,,VBM PORTION,104,53,47,
MANHATTAN BEACH,4100026A,1728,375,N,1020,TOTAL,418,225,177,
MANHATTAN BEACH,4100028A,1729,375,N,1092,POLLING PLACE,290,140,142,
MANHATTAN BEACH,4100028A,1729,375,N,,VBM PORTION,151,86,60,
MANHATTAN BEACH,4100028A,1729,375,N,1092,TOTAL,441,226,202,
MANHATTAN BEACH,4100031A,1730,375,N,1083,POLLING PLACE,253,103,144,
MANHATTAN BEACH,4100031A,1730,375,N,,VBM PORTION,175,91,74,
MANHATTAN BEACH,4100031A,1730,375,N,1083,TOTAL,428,194,218,
MANHATTAN BEACH,4100033A,1731,375,N,1230,POLLING PLACE,357,176,162,
MANHATTAN BEACH,4100033A,1731,375,N,,VBM PORTION,141,69,67,
MANHATTAN BEACH,4100033A,1731,375,N,1230,TOTAL,498,245,229,
MANHATTAN BEACH,4100034A,1732,375,N,1240,POLLING PLACE,334,169,159,
MANHATTAN BEACH,4100034A,1732,375,N,,VBM PORTION,138,79,53,
MANHATTAN BEACH,4100034A,1732,375,N,1240,TOTAL,472,248,212,
MANHATTAN BEACH,4100035A,1733,375,N,432,POLLING PLACE,110,65,40,
MANHATTAN BEACH,4100035A,1733,375,N,,VBM PORTION,32,20,12,
MANHATTAN BEACH,4100035A,1733,375,N,432,TOTAL,142,85,52,
MANHATTAN BEACH,4100036A,1734,375,N,1145,POLLING PLACE,304,158,131,
MANHATTAN BEACH,4100036A,1734,375,N,,VBM PORTION,139,73,61,
MANHATTAN BEACH,4100036A,1734,375,N,1145,TOTAL,443,231,192,
MANHATTAN BEACH,4100044A,1735,375,N,930,POLLING PLACE,248,127,118,
MANHATTAN BEACH,4100044A,1735,375,N,,VBM PORTION,125,76,42,
MANHATTAN BEACH,4100044A,1735,375,N,930,TOTAL,373,203,160,
MANHATTAN BEACH,4100047A,1736,375,N,1349,POLLING PLACE,305,159,126,
MANHATTAN BEACH,4100047A,1736,375,N,,VBM PORTION,207,116,75,
MANHATTAN BEACH,4100047A,1736,375,N,1349,TOTAL,512,275,201,
MANHATTAN BEACH,4100048A,1737,375,N,989,POLLING PLACE,293,145,125,
MANHATTAN BEACH,4100048A,1737,375,N,,VBM PORTION,76,39,32,
MANHATTAN BEACH,4100048A,1737,375,N,989,TOTAL,369,184,157,
MANHATTAN BEACH,4100050A,1738,375,N,924,POLLING PLACE,150,60,80,
MANHATTAN BEACH,4100050A,1738,375,N,,VBM PORTION,82,35,43,
MANHATTAN BEACH,4100050A,1738,375,N,924,TOTAL,232,95,123,
OCEAN VIEW,4850002A,1888,379,N,720,POLLING PLACE,169,88,76,
OCEAN VIEW,4850002A,1888,379,N,,VBM PORTION,120,60,57,
OCEAN VIEW,4850002A,1888,379,N,720,TOTAL,289,148,133,
OCEAN VIEW,4850005A,1889,380,N,582,POLLING PLACE,182,122,56,
OCEAN VIEW,4850005A,1889,380,N,,VBM PORTION,83,53,28,
OCEAN VIEW,4850005A,1889,380,N,582,TOTAL,265,175,84,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,POLLING PLACE,347,221,107,
PALOS VERDES ESTATES,5050001A,1956,379,N,,VBM PORTION,183,124,50,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,TOTAL,530,345,157,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,POLLING PLACE,246,155,73,
PALOS VERDES ESTATES,5050003A,1957,379,N,,VBM PORTION,153,92,52,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,TOTAL,399,247,125,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,POLLING PLACE,308,197,101,
PALOS VERDES ESTATES,5050003D,1958,379,N,,VBM PORTION,146,94,45,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,TOTAL,454,291,146,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,POLLING PLACE,200,113,70,
PALOS VERDES ESTATES,5050005A,1959,379,N,,VBM PORTION,145,97,36,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,TOTAL,345,210,106,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,POLLING PLACE,259,148,85,
PALOS VERDES ESTATES,5050007A,1960,379,N,,VBM PORTION,260,171,72,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,TOTAL,519,319,157,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,POLLING PLACE,151,100,44,
PALOS VERDES ESTATES,5050008B,1961,379,N,,VBM PORTION,96,59,31,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,TOTAL,247,159,75,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,POLLING PLACE,279,168,98,
PALOS VERDES ESTATES,5050010A,1962,379,N,,VBM PORTION,123,64,50,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,TOTAL,402,232,148,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,POLLING PLACE,334,210,107,
PALOS VERDES ESTATES,5050012A,1963,379,N,,VBM PORTION,190,111,64,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,TOTAL,524,321,171,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,POLLING PLACE,321,181,130,
PALOS VERDES ESTATES,5050014A,1964,379,N,,VBM PORTION,207,131,70,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,TOTAL,528,312,200,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,POLLING PLACE,330,181,125,
RANCHO PALOS VERDES,5530002A,2169,379,N,,VBM PORTION,168,90,70,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,TOTAL,498,271,195,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,POLLING PLACE,174,105,60,
RANCHO PALOS VERDES,5530006A,2170,379,N,,VBM PORTION,125,65,46,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,TOTAL,299,170,106,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,POLLING PLACE,315,186,111,
RANCHO PALOS VERDES,5530007A,2171,379,N,,VBM PORTION,147,100,44,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,TOTAL,462,286,155,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,POLLING PLACE,238,122,100,
RANCHO PALOS VERDES,5530013A,2172,379,N,,VBM PORTION,141,77,53,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,TOTAL,379,199,153,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,POLLING PLACE,249,124,111,
RANCHO PALOS VERDES,5530015A,2173,379,N,,VBM PORTION,146,68,70,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,TOTAL,395,192,181,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,POLLING PLACE,251,144,96,
RANCHO PALOS VERDES,5530016A,2174,379,N,,VBM PORTION,197,125,68,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,TOTAL,448,269,164,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,POLLING PLACE,230,114,92,
RANCHO PALOS VERDES,5530018B,2175,379,N,,VBM PORTION,129,73,51,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,TOTAL,359,187,143,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,POLLING PLACE,299,191,103,
RANCHO PALOS VERDES,5530021A,2176,379,N,,VBM PORTION,139,82,49,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,TOTAL,438,273,152,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,POLLING PLACE,391,226,149,
RANCHO PALOS VERDES,5530026A,2177,379,N,,VBM PORTION,289,183,89,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,TOTAL,680,409,238,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,POLLING PLACE,284,148,115,
RANCHO PALOS VERDES,5530027A,2178,379,N,,VBM PORTION,224,128,89,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,TOTAL,508,276,204,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,POLLING PLACE,238,118,102,
RANCHO PALOS VERDES,5530031A,2179,379,N,,VBM PORTION,159,81,73,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,TOTAL,397,199,175,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,POLLING PLACE,212,134,69,
RANCHO PALOS VERDES,5530032A,2180,379,N,,VBM PORTION,164,98,57,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,TOTAL,376,232,126,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,POLLING PLACE,220,124,84,
RANCHO PALOS VERDES,5530033A,2181,379,N,,VBM PORTION,159,83,67,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,TOTAL,379,207,151,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,POLLING PLACE,273,151,89,
RANCHO PALOS VERDES,5530036A,2182,379,N,,VBM PORTION,189,128,53,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,TOTAL,462,279,142,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,POLLING PLACE,228,130,90,
RANCHO PALOS VERDES,5530040A,2183,379,N,,VBM PORTION,89,41,43,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,TOTAL,317,171,133,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,POLLING PLACE,263,166,87,
RANCHO PALOS VERDES,5530041A,2184,379,N,,VBM PORTION,248,159,75,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,TOTAL,511,325,162,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,POLLING PLACE,330,211,108,
RANCHO PALOS VERDES,5530042A,2185,379,N,,VBM PORTION,157,93,58,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,TOTAL,487,304,166,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,POLLING PLACE,300,180,114,
RANCHO PALOS VERDES,5530048A,2186,379,N,,VBM PORTION,263,166,82,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,TOTAL,563,346,196,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,POLLING PLACE,194,106,81,
RANCHO PALOS VERDES,5530055A,2187,379,N,,VBM PORTION,112,59,42,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,TOTAL,306,165,123,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,POLLING PLACE,220,112,97,
RANCHO PALOS VERDES,5530059A,2188,379,N,,VBM PORTION,123,67,52,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,TOTAL,343,179,149,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,POLLING PLACE,179,101,69,
RANCHO PALOS VERDES,5530080A,2189,379,N,,VBM PORTION,106,57,39,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,TOTAL,285,158,108,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,POLLING PLACE,201,127,59,
RANCHO PALOS VERDES,5530081B,2190,379,N,,VBM PORTION,136,74,54,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,TOTAL,337,201,113,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,POLLING PLACE,171,77,85,
RANCHO PALOS VERDES,5530082A,2191,379,N,,VBM PORTION,98,45,42,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,TOTAL,269,122,127,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,POLLING PLACE,206,107,87,
RANCHO PALOS VERDES,5530085A,2192,379,N,,VBM PORTION,106,51,46,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,TOTAL,312,158,133,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,POLLING PLACE,191,78,100,
RANCHO PALOS VERDES,5530086A,2193,379,N,,VBM PORTION,82,27,53,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,TOTAL,273,105,153,
REDONDO BEACH,5550001A,2194,374,N,966,POLLING PLACE,176,79,92,
REDONDO BEACH,5550001A,2194,374,N,,VBM PORTION,110,56,53,
REDONDO BEACH,5550001A,2194,374,N,966,TOTAL,286,135,145,
REDONDO BEACH,5550004A,2195,374,N,819,POLLING PLACE,179,81,92,
REDONDO BEACH,5550004A,2195,374,N,,VBM PORTION,111,55,46,
REDONDO BEACH,5550004A,2195,374,N,819,TOTAL,290,136,138,
REDONDO BEACH,5550005A,2196,374,N,899,POLLING PLACE,239,119,113,
REDONDO BEACH,5550005A,2196,374,N,,VBM PORTION,92,48,38,
REDONDO BEACH,5550005A,2196,374,N,899,TOTAL,331,167,151,
REDONDO BEACH,5550006A,2197,374,N,1005,POLLING PLACE,210,96,110,
REDONDO BEACH,5550006A,2197,374,N,,VBM PORTION,125,68,49,
REDONDO BEACH,5550006A,2197,374,N,1005,TOTAL,335,164,159,
REDONDO BEACH,5550010A,2198,374,N,832,POLLING PLACE,192,123,66,
REDONDO BEACH,5550010A,2198,374,N,,VBM PORTION,105,60,41,
REDONDO BEACH,5550010A,2198,374,N,832,TOTAL,297,183,107,
REDONDO BEACH,5550012A,2199,374,N,981,POLLING PLACE,190,80,98,
REDONDO BEACH,5550012A,2199,374,N,,VBM PORTION,108,43,58,
REDONDO BEACH,5550012A,2199,374,N,981,TOTAL,298,123,156,
REDONDO BEACH,5550013A,2200,374,N,911,POLLING PLACE,269,105,137,
REDONDO BEACH,5550013A,2200,374,N,,VBM PORTION,99,35,57,
REDONDO BEACH,5550013A,2200,374,N,911,TOTAL,368,140,194,
REDONDO BEACH,5550014A,2201,374,N,1244,POLLING PLACE,283,133,142,
REDONDO BEACH,5550014A,2201,374,N,,VBM PORTION,162,61,92,
REDONDO BEACH,5550014A,2201,374,N,1244,TOTAL,445,194,234,
REDONDO BEACH,5550015A,2202,374,N,883,POLLING PLACE,207,98,102,
REDONDO BEACH,5550015A,2202,374,N,,VBM PORTION,91,48,41,
REDONDO BEACH,5550015A,2202,374,N,883,TOTAL,298,146,143,
REDONDO BEACH,5550016A,2203,374,N,1227,POLLING PLACE,289,117,160,
REDONDO BEACH,5550016A,2203,374,N,,VBM PORTION,132,71,54,
REDONDO BEACH,5550016A,2203,374,N,1227,TOTAL,421,188,214,
REDONDO BEACH,5550017A,2204,374,N,1224,POLLING PLACE,255,120,124,
REDONDO BEACH,5550017A,2204,374,N,,VBM PORTION,134,67,61,
REDONDO BEACH,5550017A,2204,374,N,1224,TOTAL,389,187,185,
REDONDO BEACH,5550019A,2205,374,N,1390,POLLING PLACE,297,131,149,
REDONDO BEACH,5550019A,2205,374,N,,VBM PORTION,172,95,68,
REDONDO BEACH,5550019A,2205,374,N,1390,TOTAL,469,226,217,
