LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ASHLEY SWEARENGIN,BETTY T YEE,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,260,170,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,117,81,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,95,82,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,212,163,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,134,87,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,81,44,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,215,131,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,149,56,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,141,49,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,290,105,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,91,82,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,64,64,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,155,146,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,92,76,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,67,64,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,159,140,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,118,72,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,93,40,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,211,112,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,82,87,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,61,42,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,143,129,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,119,67,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,56,47,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,175,114,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,92,71,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,45,57,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,137,128,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,113,79,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,57,48,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,170,127,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,93,67,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,27,29,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,120,96,
