LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ROGER HERNANDEZ,JOE M GARDNER,
AZUSA,0550023B,151,128,N,915,POLLING PLACE,136,83,48,
AZUSA,0550023B,151,128,N,,VBM PORTION,48,37,11,
AZUSA,0550023B,151,128,N,915,TOTAL,184,120,59,
AZUSA,0550025B,152,129,N,488,POLLING PLACE,87,57,26,
AZUSA,0550025B,152,129,N,,VBM PORTION,20,12,8,
AZUSA,0550025B,152,129,N,488,TOTAL,107,69,34,
AZUSA,0550073A,153,129,N,830,POLLING PLACE,146,81,46,
AZUSA,0550073A,153,129,N,,VBM PORTION,63,29,33,
AZUSA,0550073A,153,129,N,830,TOTAL,209,110,79,
AZUSA,0550074A,154,129,N,1124,POLLING PLACE,197,114,67,
AZUSA,0550074A,154,129,N,,VBM PORTION,62,28,27,
AZUSA,0550074A,154,129,N,1124,TOTAL,259,142,94,
AZUSA,0550076A,155,128,N,561,POLLING PLACE,80,49,26,
AZUSA,0550076A,155,128,N,,VBM PORTION,24,10,10,
AZUSA,0550076A,155,128,N,561,TOTAL,104,59,36,
AZUSA,0550078A,156,129,N,1177,POLLING PLACE,175,125,43,
AZUSA,0550078A,156,129,N,,VBM PORTION,57,40,14,
AZUSA,0550078A,156,129,N,1177,TOTAL,232,165,57,
AZUSA,0550079A,157,128,N,940,POLLING PLACE,195,82,96,
AZUSA,0550079A,157,128,N,,VBM PORTION,174,65,82,
AZUSA,0550079A,157,128,N,940,TOTAL,369,147,178,
AZUSA,0550080A,158,129,N,1155,POLLING PLACE,224,109,89,
AZUSA,0550080A,158,129,N,,VBM PORTION,78,32,40,
AZUSA,0550080A,158,129,N,1155,TOTAL,302,141,129,
AZUSA,0550081A,159,129,N,569,POLLING PLACE,117,50,57,
AZUSA,0550081A,159,129,N,,VBM PORTION,54,21,31,
AZUSA,0550081A,159,129,N,569,TOTAL,171,71,88,
AZUSA,0550084B,160,129,N,868,POLLING PLACE,185,108,56,
AZUSA,0550084B,160,129,N,,VBM PORTION,72,20,48,
AZUSA,0550084B,160,129,N,868,TOTAL,257,128,104,
AZUSA,0550085A,161,129,N,922,POLLING PLACE,186,91,79,
AZUSA,0550085A,161,129,N,,VBM PORTION,70,38,27,
AZUSA,0550085A,161,129,N,922,TOTAL,256,129,106,
AZUSA,0550085C,6029,136,Y,,POLLING PLACE,,,,
AZUSA,0550085C,6029,136,Y,,VBM PORTION,,,,
AZUSA,0550085C,6029,136,Y,,TOTAL,,,,
AZUSA,0550085F,6030,137,Y,,POLLING PLACE,,,,
AZUSA,0550085F,6030,137,Y,,VBM PORTION,,,,
AZUSA,0550085F,6030,137,Y,,TOTAL,,,,
AZUSA,0550086A,162,130,N,759,POLLING PLACE,189,81,96,
AZUSA,0550086A,162,130,N,,VBM PORTION,63,18,40,
AZUSA,0550086A,162,130,N,759,TOTAL,252,99,136,
BALDWIN PARK,0600001A,163,138,N,999,POLLING PLACE,151,116,27,
BALDWIN PARK,0600001A,163,138,N,,VBM PORTION,33,26,6,
BALDWIN PARK,0600001A,163,138,N,999,TOTAL,184,142,33,
BALDWIN PARK,0600002A,164,138,N,1070,POLLING PLACE,130,101,25,
BALDWIN PARK,0600002A,164,138,N,,VBM PORTION,54,37,13,
BALDWIN PARK,0600002A,164,138,N,1070,TOTAL,184,138,38,
BALDWIN PARK,0600006A,165,138,N,1045,POLLING PLACE,189,137,44,
BALDWIN PARK,0600006A,165,138,N,,VBM PORTION,26,16,8,
BALDWIN PARK,0600006A,165,138,N,1045,TOTAL,215,153,52,
BALDWIN PARK,0600007A,166,138,N,852,POLLING PLACE,154,115,28,
BALDWIN PARK,0600007A,166,138,N,,VBM PORTION,45,32,9,
BALDWIN PARK,0600007A,166,138,N,852,TOTAL,199,147,37,
BALDWIN PARK,0600008A,167,138,N,1004,POLLING PLACE,167,110,43,
BALDWIN PARK,0600008A,167,138,N,,VBM PORTION,55,32,19,
BALDWIN PARK,0600008A,167,138,N,1004,TOTAL,222,142,62,
BALDWIN PARK,0600009A,168,138,N,1111,POLLING PLACE,149,104,35,
BALDWIN PARK,0600009A,168,138,N,,VBM PORTION,45,33,9,
BALDWIN PARK,0600009A,168,138,N,1111,TOTAL,194,137,44,
BALDWIN PARK,0600010A,169,138,N,950,POLLING PLACE,121,94,15,
BALDWIN PARK,0600010A,169,138,N,,VBM PORTION,51,34,14,
BALDWIN PARK,0600010A,169,138,N,950,TOTAL,172,128,29,
BALDWIN PARK,0600012A,170,138,N,1146,POLLING PLACE,151,105,39,
BALDWIN PARK,0600012A,170,138,N,,VBM PORTION,50,30,15,
BALDWIN PARK,0600012A,170,138,N,1146,TOTAL,201,135,54,
BALDWIN PARK,0600013A,171,138,N,1145,POLLING PLACE,168,120,26,
BALDWIN PARK,0600013A,171,138,N,,VBM PORTION,75,37,32,
BALDWIN PARK,0600013A,171,138,N,1145,TOTAL,243,157,58,
BALDWIN PARK,0600014A,172,138,N,1161,POLLING PLACE,168,118,40,
BALDWIN PARK,0600014A,172,138,N,,VBM PORTION,85,59,19,
BALDWIN PARK,0600014A,172,138,N,1161,TOTAL,253,177,59,
BALDWIN PARK,0600016A,173,138,N,1037,POLLING PLACE,151,106,36,
BALDWIN PARK,0600016A,173,138,N,,VBM PORTION,66,43,20,
BALDWIN PARK,0600016A,173,138,N,1037,TOTAL,217,149,56,
BALDWIN PARK,0600017A,174,133,N,464,POLLING PLACE,73,49,18,
BALDWIN PARK,0600017A,174,133,N,,VBM PORTION,28,17,9,
BALDWIN PARK,0600017A,174,133,N,464,TOTAL,101,66,27,
BALDWIN PARK,0600019A,175,138,N,1179,POLLING PLACE,198,125,54,
BALDWIN PARK,0600019A,175,138,N,,VBM PORTION,56,37,14,
BALDWIN PARK,0600019A,175,138,N,1179,TOTAL,254,162,68,
BALDWIN PARK,0600020A,176,138,N,1123,POLLING PLACE,174,104,58,
BALDWIN PARK,0600020A,176,138,N,,VBM PORTION,49,33,14,
BALDWIN PARK,0600020A,176,138,N,1123,TOTAL,223,137,72,
BALDWIN PARK,0600021B,177,138,N,788,POLLING PLACE,94,69,21,
BALDWIN PARK,0600021B,177,138,N,,VBM PORTION,38,28,4,
BALDWIN PARK,0600021B,177,138,N,788,TOTAL,132,97,25,
BALDWIN PARK,0600024E,178,138,N,1176,POLLING PLACE,172,125,42,
BALDWIN PARK,0600024E,178,138,N,,VBM PORTION,72,40,24,
BALDWIN PARK,0600024E,178,138,N,1176,TOTAL,244,165,66,
BALDWIN PARK,0600025A,179,138,N,704,POLLING PLACE,96,66,23,
BALDWIN PARK,0600025A,179,138,N,,VBM PORTION,33,20,10,
BALDWIN PARK,0600025A,179,138,N,704,TOTAL,129,86,33,
BALDWIN PARK,0600026A,180,138,N,909,POLLING PLACE,166,123,35,
BALDWIN PARK,0600026A,180,138,N,,VBM PORTION,34,17,11,
BALDWIN PARK,0600026A,180,138,N,909,TOTAL,200,140,46,
BALDWIN PARK,0600027A,181,138,N,1115,POLLING PLACE,161,124,27,
BALDWIN PARK,0600027A,181,138,N,,VBM PORTION,57,39,13,
BALDWIN PARK,0600027A,181,138,N,1115,TOTAL,218,163,40,
BALDWIN PARK,0600028A,182,138,N,942,POLLING PLACE,109,71,34,
BALDWIN PARK,0600028A,182,138,N,,VBM PORTION,48,36,10,
BALDWIN PARK,0600028A,182,138,N,942,TOTAL,157,107,44,
BALDWIN PARK,0600029A,183,138,N,1033,POLLING PLACE,103,78,16,
BALDWIN PARK,0600029A,183,138,N,,VBM PORTION,41,27,6,
BALDWIN PARK,0600029A,183,138,N,1033,TOTAL,144,105,22,
BALDWIN PARK,0600030A,184,138,N,644,POLLING PLACE,77,53,19,
BALDWIN PARK,0600030A,184,138,N,,VBM PORTION,30,22,6,
BALDWIN PARK,0600030A,184,138,N,644,TOTAL,107,75,25,
BALDWIN PARK,0600030F,6031,132,Y,127,POLLING PLACE,,,,
BALDWIN PARK,0600030F,6031,132,Y,,VBM PORTION,10,9,1,
BALDWIN PARK,0600030F,6031,132,Y,127,TOTAL,10,9,1,
BALDWIN PARK,0600034A,185,138,N,961,POLLING PLACE,115,82,24,
BALDWIN PARK,0600034A,185,138,N,,VBM PORTION,29,23,5,
BALDWIN PARK,0600034A,185,138,N,961,TOTAL,144,105,29,
BALDWIN PARK,0600035A,186,138,N,1052,POLLING PLACE,162,119,31,
BALDWIN PARK,0600035A,186,138,N,,VBM PORTION,40,32,6,
BALDWIN PARK,0600035A,186,138,N,1052,TOTAL,202,151,37,
BALDWIN PARK,0600036A,187,138,N,899,POLLING PLACE,161,113,42,
BALDWIN PARK,0600036A,187,138,N,,VBM PORTION,57,32,21,
BALDWIN PARK,0600036A,187,138,N,899,TOTAL,218,145,63,
BALDWIN PARK,0600037A,188,138,N,1082,POLLING PLACE,152,108,36,
BALDWIN PARK,0600037A,188,138,N,,VBM PORTION,40,36,2,
BALDWIN PARK,0600037A,188,138,N,1082,TOTAL,192,144,38,
BALDWIN PARK,0600041B,189,138,N,952,POLLING PLACE,178,129,35,
BALDWIN PARK,0600041B,189,138,N,,VBM PORTION,39,27,12,
BALDWIN PARK,0600041B,189,138,N,952,TOTAL,217,156,47,
BALDWIN PARK,0600052C,190,138,N,1016,POLLING PLACE,168,136,23,
BALDWIN PARK,0600052C,190,138,N,,VBM PORTION,25,22,2,
BALDWIN PARK,0600052C,190,138,N,1016,TOTAL,193,158,25,
BASSETT,0670005A,191,131,N,746,POLLING PLACE,113,90,17,
BASSETT,0670005A,191,131,N,,VBM PORTION,28,22,4,
BASSETT,0670005A,191,131,N,746,TOTAL,141,112,21,
BASSETT,0670006A,192,131,N,1027,POLLING PLACE,166,123,35,
BASSETT,0670006A,192,131,N,,VBM PORTION,44,33,7,
BASSETT,0670006A,192,131,N,1027,TOTAL,210,156,42,
BASSETT,0670010A,193,131,N,709,POLLING PLACE,104,78,20,
BASSETT,0670010A,193,131,N,,VBM PORTION,28,19,8,
BASSETT,0670010A,193,131,N,709,TOTAL,132,97,28,
BASSETT,0670141A,194,131,N,1113,POLLING PLACE,182,128,36,
BASSETT,0670141A,194,131,N,,VBM PORTION,43,24,14,
BASSETT,0670141A,194,131,N,1113,TOTAL,225,152,50,
BASSETT,0670142A,195,131,N,593,POLLING PLACE,103,66,29,
BASSETT,0670142A,195,131,N,,VBM PORTION,24,13,11,
BASSETT,0670142A,195,131,N,593,TOTAL,127,79,40,
BASSETT,0670143A,196,131,N,977,POLLING PLACE,171,125,36,
BASSETT,0670143A,196,131,N,,VBM PORTION,35,22,12,
BASSETT,0670143A,196,131,N,977,TOTAL,206,147,48,
BASSETT,0670144A,197,131,N,947,POLLING PLACE,167,127,36,
BASSETT,0670144A,197,131,N,,VBM PORTION,39,23,10,
BASSETT,0670144A,197,131,N,947,TOTAL,206,150,46,
BRADBURY,0940002A,295,141,N,584,POLLING PLACE,117,41,70,
BRADBURY,0940002A,295,141,N,,VBM PORTION,63,12,49,
BRADBURY,0940002A,295,141,N,584,TOTAL,180,53,119,
CHARTER OAK,1100001A,466,128,N,542,POLLING PLACE,99,71,23,
CHARTER OAK,1100001A,466,128,N,,VBM PORTION,14,10,4,
CHARTER OAK,1100001A,466,128,N,542,TOTAL,113,81,27,
CHARTER OAK,1100004A,467,128,N,639,POLLING PLACE,92,70,14,
CHARTER OAK,1100004A,467,128,N,,VBM PORTION,30,18,11,
CHARTER OAK,1100004A,467,128,N,639,TOTAL,122,88,25,
CHARTER OAK,1100005A,468,128,N,599,POLLING PLACE,70,46,18,
CHARTER OAK,1100005A,468,128,N,,VBM PORTION,24,17,6,
CHARTER OAK,1100005A,468,128,N,599,TOTAL,94,63,24,
CHARTER OAK,1100007A,469,128,N,1006,POLLING PLACE,209,149,57,
CHARTER OAK,1100007A,469,128,N,,VBM PORTION,24,14,9,
CHARTER OAK,1100007A,469,128,N,1006,TOTAL,233,163,66,
CHARTER OAK,1100026A,470,133,N,1090,POLLING PLACE,218,90,118,
CHARTER OAK,1100026A,470,133,N,,VBM PORTION,68,25,41,
CHARTER OAK,1100026A,470,133,N,1090,TOTAL,286,115,159,
CHARTER OAK,1100028A,471,133,N,1265,POLLING PLACE,185,72,96,
CHARTER OAK,1100028A,471,133,N,,VBM PORTION,88,34,48,
CHARTER OAK,1100028A,471,133,N,1265,TOTAL,273,106,144,
CHARTER OAK,1100040A,472,133,N,1087,POLLING PLACE,193,94,86,
CHARTER OAK,1100040A,472,133,N,,VBM PORTION,80,35,39,
CHARTER OAK,1100040A,472,133,N,1087,TOTAL,273,129,125,
CHARTER OAK,1100072A,473,128,N,549,POLLING PLACE,99,53,40,
CHARTER OAK,1100072A,473,128,N,,VBM PORTION,34,15,19,
CHARTER OAK,1100072A,473,128,N,549,TOTAL,133,68,59,
CHARTER OAK,1100073A,474,128,N,1108,POLLING PLACE,230,125,95,
CHARTER OAK,1100073A,474,128,N,,VBM PORTION,63,33,24,
CHARTER OAK,1100073A,474,128,N,1108,TOTAL,293,158,119,
CHARTER OAK,1100076A,475,133,N,420,POLLING PLACE,81,41,38,
CHARTER OAK,1100076A,475,133,N,,VBM PORTION,18,10,8,
CHARTER OAK,1100076A,475,133,N,420,TOTAL,99,51,46,
CHARTER OAK,1100077A,476,128,N,955,POLLING PLACE,144,90,44,
CHARTER OAK,1100077A,476,128,N,,VBM PORTION,33,15,13,
CHARTER OAK,1100077A,476,128,N,955,TOTAL,177,105,57,
CHARTER OAK,1100078A,477,128,N,634,POLLING PLACE,140,65,67,
CHARTER OAK,1100078A,477,128,N,,VBM PORTION,38,18,20,
CHARTER OAK,1100078A,477,128,N,634,TOTAL,178,83,87,
CHARTER OAK,1100081A,478,128,N,821,POLLING PLACE,156,92,59,
CHARTER OAK,1100081A,478,128,N,,VBM PORTION,34,18,14,
CHARTER OAK,1100081A,478,128,N,821,TOTAL,190,110,73,
CHARTER OAK,1100083A,479,133,N,1090,POLLING PLACE,154,89,56,
CHARTER OAK,1100083A,479,133,N,,VBM PORTION,66,35,26,
CHARTER OAK,1100083A,479,133,N,1090,TOTAL,220,124,82,
CHARTER OAK,1100084A,480,133,N,770,POLLING PLACE,141,66,57,
CHARTER OAK,1100084A,480,133,N,,VBM PORTION,54,27,22,
CHARTER OAK,1100084A,480,133,N,770,TOTAL,195,93,79,
CITRUS,1250005A,6051,140,Y,163,POLLING PLACE,,,,
CITRUS,1250005A,6051,140,Y,,VBM PORTION,45,11,27,
CITRUS,1250005A,6051,140,Y,163,TOTAL,45,11,27,
CITRUS,1250079A,6053,139,Y,,POLLING PLACE,,,,
CITRUS,1250079A,6053,139,Y,,VBM PORTION,,,,
CITRUS,1250079A,6053,139,Y,,TOTAL,,,,
CITRUS,1250083A,6054,133,Y,172,POLLING PLACE,,,,
CITRUS,1250083A,6054,133,Y,,VBM PORTION,36,14,18,
CITRUS,1250083A,6054,133,Y,172,TOTAL,36,14,18,
COVINA,1500001A,558,133,N,325,POLLING PLACE,43,24,17,
COVINA,1500001A,558,133,N,,VBM PORTION,11,6,3,
COVINA,1500001A,558,133,N,325,TOTAL,54,30,20,
COVINA,1500003A,559,133,N,719,POLLING PLACE,141,55,77,
COVINA,1500003A,559,133,N,,VBM PORTION,54,26,25,
COVINA,1500003A,559,133,N,719,TOTAL,195,81,102,
COVINA,1500008A,560,133,N,880,POLLING PLACE,164,71,85,
COVINA,1500008A,560,133,N,,VBM PORTION,66,26,36,
COVINA,1500008A,560,133,N,880,TOTAL,230,97,121,
COVINA,1500009A,561,133,N,888,POLLING PLACE,198,78,100,
COVINA,1500009A,561,133,N,,VBM PORTION,69,28,36,
COVINA,1500009A,561,133,N,888,TOTAL,267,106,136,
COVINA,1500012A,562,133,N,1070,POLLING PLACE,170,72,80,
COVINA,1500012A,562,133,N,,VBM PORTION,76,29,41,
COVINA,1500012A,562,133,N,1070,TOTAL,246,101,121,
COVINA,1500014A,563,133,N,1207,POLLING PLACE,186,81,96,
COVINA,1500014A,563,133,N,,VBM PORTION,60,18,35,
COVINA,1500014A,563,133,N,1207,TOTAL,246,99,131,
COVINA,1500016B,564,133,N,1010,POLLING PLACE,151,66,76,
COVINA,1500016B,564,133,N,,VBM PORTION,87,45,36,
COVINA,1500016B,564,133,N,1010,TOTAL,238,111,112,
COVINA,1500022A,565,133,N,1153,POLLING PLACE,168,93,68,
COVINA,1500022A,565,133,N,,VBM PORTION,55,29,26,
COVINA,1500022A,565,133,N,1153,TOTAL,223,122,94,
COVINA,1500024A,566,133,N,977,POLLING PLACE,144,56,73,
COVINA,1500024A,566,133,N,,VBM PORTION,63,30,30,
COVINA,1500024A,566,133,N,977,TOTAL,207,86,103,
COVINA,1500025A,567,133,N,1099,POLLING PLACE,127,68,53,
COVINA,1500025A,567,133,N,,VBM PORTION,46,24,18,
COVINA,1500025A,567,133,N,1099,TOTAL,173,92,71,
COVINA,1500027A,568,133,N,668,POLLING PLACE,110,38,65,
COVINA,1500027A,568,133,N,,VBM PORTION,42,19,21,
COVINA,1500027A,568,133,N,668,TOTAL,152,57,86,
COVINA,1500029A,569,133,N,1014,POLLING PLACE,164,71,72,
COVINA,1500029A,569,133,N,,VBM PORTION,82,32,38,
COVINA,1500029A,569,133,N,1014,TOTAL,246,103,110,
COVINA,1500031A,570,133,N,1252,POLLING PLACE,282,96,167,
COVINA,1500031A,570,133,N,,VBM PORTION,108,32,70,
COVINA,1500031A,570,133,N,1252,TOTAL,390,128,237,
COVINA,1500035A,571,133,N,1049,POLLING PLACE,193,98,82,
COVINA,1500035A,571,133,N,,VBM PORTION,54,34,18,
COVINA,1500035A,571,133,N,1049,TOTAL,247,132,100,
COVINA,1500036C,572,133,N,1004,POLLING PLACE,196,77,100,
COVINA,1500036C,572,133,N,,VBM PORTION,79,26,49,
COVINA,1500036C,572,133,N,1004,TOTAL,275,103,149,
COVINA,1500037A,573,133,N,1107,POLLING PLACE,250,109,122,
COVINA,1500037A,573,133,N,,VBM PORTION,85,20,58,
COVINA,1500037A,573,133,N,1107,TOTAL,335,129,180,
COVINA,1500056A,574,133,N,1224,POLLING PLACE,196,74,107,
COVINA,1500056A,574,133,N,,VBM PORTION,86,36,43,
COVINA,1500056A,574,133,N,1224,TOTAL,282,110,150,
COVINA,1500074C,575,133,N,1245,POLLING PLACE,295,112,156,
COVINA,1500074C,575,133,N,,VBM PORTION,145,46,90,
COVINA,1500074C,575,133,N,1245,TOTAL,440,158,246,
COVINA,1500078A,576,133,N,1046,POLLING PLACE,180,75,96,
COVINA,1500078A,576,133,N,,VBM PORTION,88,42,41,
COVINA,1500078A,576,133,N,1046,TOTAL,268,117,137,
COVINA,1500082A,577,133,N,1002,POLLING PLACE,174,83,77,
COVINA,1500082A,577,133,N,,VBM PORTION,99,49,42,
COVINA,1500082A,577,133,N,1002,TOTAL,273,132,119,
COVINA,1500084A,578,133,N,821,POLLING PLACE,194,56,127,
COVINA,1500084A,578,133,N,,VBM PORTION,85,20,57,
COVINA,1500084A,578,133,N,821,TOTAL,279,76,184,
COVINA,1500086B,579,133,N,1180,POLLING PLACE,213,121,79,
COVINA,1500086B,579,133,N,,VBM PORTION,75,32,35,
COVINA,1500086B,579,133,N,1180,TOTAL,288,153,114,
COVINA,1500089A,580,133,N,882,POLLING PLACE,116,62,50,
COVINA,1500089A,580,133,N,,VBM PORTION,60,30,25,
COVINA,1500089A,580,133,N,882,TOTAL,176,92,75,
COVINA,1500090A,581,133,N,561,POLLING PLACE,99,51,44,
COVINA,1500090A,581,133,N,,VBM PORTION,17,10,5,
COVINA,1500090A,581,133,N,561,TOTAL,116,61,49,
COVINA,1500090C,582,128,N,228,POLLING PLACE,34,18,16,
COVINA,1500090C,582,128,N,,VBM PORTION,22,8,12,
COVINA,1500090C,582,128,N,228,TOTAL,56,26,28,
COVINA,1500093A,583,133,N,1219,POLLING PLACE,163,74,69,
COVINA,1500093A,583,133,N,,VBM PORTION,75,29,39,
COVINA,1500093A,583,133,N,1219,TOTAL,238,103,108,
DUARTE,1900001A,726,147,N,1347,POLLING PLACE,200,143,44,
DUARTE,1900001A,726,147,N,,VBM PORTION,61,41,18,
DUARTE,1900001A,726,147,N,1347,TOTAL,261,184,62,
DUARTE,1900002A,727,147,N,901,POLLING PLACE,177,101,60,
DUARTE,1900002A,727,147,N,,VBM PORTION,65,27,32,
DUARTE,1900002A,727,147,N,901,TOTAL,242,128,92,
DUARTE,1900004A,728,147,N,590,POLLING PLACE,86,55,26,
DUARTE,1900004A,728,147,N,,VBM PORTION,37,23,9,
DUARTE,1900004A,728,147,N,590,TOTAL,123,78,35,
DUARTE,1900005A,729,147,N,818,POLLING PLACE,120,60,46,
DUARTE,1900005A,729,147,N,,VBM PORTION,73,42,18,
DUARTE,1900005A,729,147,N,818,TOTAL,193,102,64,
DUARTE,1900006A,730,147,N,1137,POLLING PLACE,212,116,83,
DUARTE,1900006A,730,147,N,,VBM PORTION,148,69,61,
DUARTE,1900006A,730,147,N,1137,TOTAL,360,185,144,
DUARTE,1900007A,731,146,N,1319,POLLING PLACE,300,120,162,
DUARTE,1900007A,731,146,N,,VBM PORTION,144,61,74,
DUARTE,1900007A,731,146,N,1319,TOTAL,444,181,236,
DUARTE,1900008A,732,147,N,929,POLLING PLACE,159,83,65,
DUARTE,1900008A,732,147,N,,VBM PORTION,76,40,33,
DUARTE,1900008A,732,147,N,929,TOTAL,235,123,98,
DUARTE,1900009A,733,147,N,1253,POLLING PLACE,217,116,77,
DUARTE,1900009A,733,147,N,,VBM PORTION,108,55,44,
DUARTE,1900009A,733,147,N,1253,TOTAL,325,171,121,
DUARTE,1900012B,734,146,N,1233,POLLING PLACE,306,131,153,
DUARTE,1900012B,734,146,N,,VBM PORTION,117,62,48,
DUARTE,1900012B,734,146,N,1233,TOTAL,423,193,201,
DUARTE,1900012F,6067,145,Y,53,POLLING PLACE,,,,
DUARTE,1900012F,6067,145,Y,,VBM PORTION,13,3,10,
DUARTE,1900012F,6067,145,Y,53,TOTAL,13,3,10,
DUARTE,1900015B,735,147,N,767,POLLING PLACE,90,53,28,
DUARTE,1900015B,735,147,N,,VBM PORTION,74,40,26,
DUARTE,1900015B,735,147,N,767,TOTAL,164,93,54,
DUARTE,1900021C,736,147,N,895,POLLING PLACE,179,97,74,
DUARTE,1900021C,736,147,N,,VBM PORTION,94,35,52,
DUARTE,1900021C,736,147,N,895,TOTAL,273,132,126,
EAST ARCADIA,1940001A,737,137,N,952,POLLING PLACE,149,123,19,
EAST ARCADIA,1940001A,737,137,N,,VBM PORTION,17,11,4,
EAST ARCADIA,1940001A,737,137,N,952,TOTAL,166,134,23,
EAST ARCADIA,1940002A,738,137,N,945,POLLING PLACE,222,121,88,
EAST ARCADIA,1940002A,738,137,N,,VBM PORTION,70,37,31,
EAST ARCADIA,1940002A,738,137,N,945,TOTAL,292,158,119,
EAST ARCADIA,1940004A,739,137,N,428,POLLING PLACE,115,46,62,
EAST ARCADIA,1940004A,739,137,N,,VBM PORTION,38,19,17,
EAST ARCADIA,1940004A,739,137,N,428,TOTAL,153,65,79,
EAST ARCADIA,1940008A,742,137,N,832,POLLING PLACE,148,121,21,
EAST ARCADIA,1940008A,742,137,N,,VBM PORTION,28,19,8,
EAST ARCADIA,1940008A,742,137,N,832,TOTAL,176,140,29,
EAST ARCADIA,1940011A,744,137,N,967,POLLING PLACE,250,91,142,
EAST ARCADIA,1940011A,744,137,N,,VBM PORTION,78,35,41,
EAST ARCADIA,1940011A,744,137,N,967,TOTAL,328,126,183,
EL MONTE,2100014A,805,138,N,773,POLLING PLACE,85,72,10,
EL MONTE,2100014A,805,138,N,,VBM PORTION,23,15,8,
EL MONTE,2100014A,805,138,N,773,TOTAL,108,87,18,
EL MONTE,2100019B,808,135,N,733,POLLING PLACE,112,85,21,
EL MONTE,2100019B,808,135,N,,VBM PORTION,31,25,4,
EL MONTE,2100019B,808,135,N,733,TOTAL,143,110,25,
EL MONTE,2100021A,809,135,N,1005,POLLING PLACE,137,110,15,
EL MONTE,2100021A,809,135,N,,VBM PORTION,45,29,11,
EL MONTE,2100021A,809,135,N,1005,TOTAL,182,139,26,
EL MONTE,2100027A,812,138,N,967,POLLING PLACE,91,64,16,
EL MONTE,2100027A,812,138,N,,VBM PORTION,26,18,6,
EL MONTE,2100027A,812,138,N,967,TOTAL,117,82,22,
EL MONTE,2100029A,813,138,N,765,POLLING PLACE,81,56,13,
EL MONTE,2100029A,813,138,N,,VBM PORTION,39,32,4,
EL MONTE,2100029A,813,138,N,765,TOTAL,120,88,17,
EL MONTE,2100032A,814,135,N,361,POLLING PLACE,51,32,17,
EL MONTE,2100032A,814,135,N,,VBM PORTION,23,12,10,
EL MONTE,2100032A,814,135,N,361,TOTAL,74,44,27,
EL MONTE,2100033A,815,134,N,532,POLLING PLACE,54,43,10,
EL MONTE,2100033A,815,134,N,,VBM PORTION,34,27,4,
EL MONTE,2100033A,815,134,N,532,TOTAL,88,70,14,
EL MONTE,2100034A,816,135,N,425,POLLING PLACE,59,36,16,
EL MONTE,2100034A,816,135,N,,VBM PORTION,19,11,6,
EL MONTE,2100034A,816,135,N,425,TOTAL,78,47,22,
EL MONTE,2100034C,817,138,N,801,POLLING PLACE,49,40,8,
EL MONTE,2100034C,817,138,N,,VBM PORTION,26,18,6,
EL MONTE,2100034C,817,138,N,801,TOTAL,75,58,14,
