LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TONY STRICKLAND,STEVE KNIGHT,
CANYON COUNTRY,1020005A,6036,38,Y,4,POLLING PLACE,,,,
CANYON COUNTRY,1020005A,6036,38,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020005A,6036,38,Y,4,TOTAL,,,,
CANYON COUNTRY,1020007A,6037,10,Y,45,POLLING PLACE,,,,
CANYON COUNTRY,1020007A,6037,10,Y,,VBM PORTION,10,6,4,
CANYON COUNTRY,1020007A,6037,10,Y,45,TOTAL,10,6,4,
CANYON COUNTRY,1020014A,364,38,N,575,POLLING PLACE,87,46,29,
CANYON COUNTRY,1020014A,364,38,N,,VBM PORTION,62,26,28,
CANYON COUNTRY,1020014A,364,38,N,575,TOTAL,149,72,57,
CANYON COUNTRY,1020017B,6038,38,Y,209,POLLING PLACE,,,,
CANYON COUNTRY,1020017B,6038,38,Y,,VBM PORTION,57,19,34,
CANYON COUNTRY,1020017B,6038,38,Y,209,TOTAL,57,19,34,
CANYON COUNTRY,1020244A,365,19,N,576,POLLING PLACE,117,61,40,
CANYON COUNTRY,1020244A,365,19,N,,VBM PORTION,55,28,22,
CANYON COUNTRY,1020244A,365,19,N,576,TOTAL,172,89,62,
CASTAIC,1040001A,421,45,N,1109,POLLING PLACE,269,141,91,
CASTAIC,1040001A,421,45,N,,VBM PORTION,97,55,31,
CASTAIC,1040001A,421,45,N,1109,TOTAL,366,196,122,
CASTAIC,1040001F,422,45,N,537,POLLING PLACE,79,44,22,
CASTAIC,1040001F,422,45,N,,VBM PORTION,52,27,18,
CASTAIC,1040001F,422,45,N,537,TOTAL,131,71,40,
CASTAIC,1040002A,423,45,N,1052,POLLING PLACE,269,124,98,
CASTAIC,1040002A,423,45,N,,VBM PORTION,49,22,17,
CASTAIC,1040002A,423,45,N,1052,TOTAL,318,146,115,
CASTAIC,1040002C,6043,48,Y,12,POLLING PLACE,,,,
CASTAIC,1040002C,6043,48,Y,,VBM PORTION,,,,
CASTAIC,1040002C,6043,48,Y,12,TOTAL,,,,
CASTAIC,1040003A,424,45,N,1124,POLLING PLACE,224,121,70,
CASTAIC,1040003A,424,45,N,,VBM PORTION,93,49,33,
CASTAIC,1040003A,424,45,N,1124,TOTAL,317,170,103,
CASTAIC,1040004C,425,45,N,737,POLLING PLACE,126,62,49,
CASTAIC,1040004C,425,45,N,,VBM PORTION,71,31,32,
CASTAIC,1040004C,425,45,N,737,TOTAL,197,93,81,
CASTAIC,1040014A,426,45,N,1078,POLLING PLACE,168,89,61,
CASTAIC,1040014A,426,45,N,,VBM PORTION,123,52,58,
CASTAIC,1040014A,426,45,N,1078,TOTAL,291,141,119,
CASTAIC,1040015A,427,45,N,1202,POLLING PLACE,237,118,103,
CASTAIC,1040015A,427,45,N,,VBM PORTION,117,64,44,
CASTAIC,1040015A,427,45,N,1202,TOTAL,354,182,147,
CASTAIC,1040016A,428,45,N,1024,POLLING PLACE,187,93,73,
CASTAIC,1040016A,428,45,N,,VBM PORTION,97,36,53,
CASTAIC,1040016A,428,45,N,1024,TOTAL,284,129,126,
CASTAIC,1040017A,429,45,N,861,POLLING PLACE,159,85,58,
CASTAIC,1040017A,429,45,N,,VBM PORTION,75,35,20,
CASTAIC,1040017A,429,45,N,861,TOTAL,234,120,78,
CASTAIC,1040028A,430,45,N,1264,POLLING PLACE,253,131,96,
CASTAIC,1040028A,430,45,N,,VBM PORTION,102,60,34,
CASTAIC,1040028A,430,45,N,1264,TOTAL,355,191,130,
CASTAIC,1040052A,6044,48,Y,87,POLLING PLACE,,,,
CASTAIC,1040052A,6044,48,Y,,VBM PORTION,11,5,5,
CASTAIC,1040052A,6044,48,Y,87,TOTAL,11,5,5,
CASTAIC,1040052D,6045,45,Y,8,POLLING PLACE,,,,
CASTAIC,1040052D,6045,45,Y,,VBM PORTION,2,,2,
CASTAIC,1040052D,6045,45,Y,8,TOTAL,2,,2,
CASTAIC,1040072A,431,45,N,738,POLLING PLACE,187,96,73,
CASTAIC,1040072A,431,45,N,,VBM PORTION,78,38,26,
CASTAIC,1040072A,431,45,N,738,TOTAL,265,134,99,
CASTAIC,1040226A,6046,48,Y,7,POLLING PLACE,,,,
CASTAIC,1040226A,6046,48,Y,,VBM PORTION,2,2,,
CASTAIC,1040226A,6046,48,Y,7,TOTAL,2,2,,
CASTAIC,1040226C,432,45,N,733,POLLING PLACE,104,51,49,
CASTAIC,1040226C,432,45,N,,VBM PORTION,131,56,58,
CASTAIC,1040226C,432,45,N,733,TOTAL,235,107,107,
CASTAIC,1040251A,433,45,N,703,POLLING PLACE,106,42,52,
CASTAIC,1040251A,433,45,N,,VBM PORTION,82,38,29,
CASTAIC,1040251A,433,45,N,703,TOTAL,188,80,81,
CHATSWORTH,1150001A,481,48,N,754,POLLING PLACE,138,52,58,
CHATSWORTH,1150001A,481,48,N,,VBM PORTION,44,21,10,
CHATSWORTH,1150001A,481,48,N,754,TOTAL,182,73,68,
CHATSWORTH,1150004A,6050,114,Y,2,POLLING PLACE,,,,
CHATSWORTH,1150004A,6050,114,Y,,VBM PORTION,2,1,,
CHATSWORTH,1150004A,6050,114,Y,2,TOTAL,2,1,,
DEL SUR,1750001A,622,8,N,1079,POLLING PLACE,273,107,138,
DEL SUR,1750001A,622,8,N,,VBM PORTION,111,45,57,
DEL SUR,1750001A,622,8,N,1079,TOTAL,384,152,195,
DEL SUR,1750005H,6061,16,Y,,POLLING PLACE,,,,
DEL SUR,1750005H,6061,16,Y,,VBM PORTION,,,,
DEL SUR,1750005H,6061,16,Y,,TOTAL,,,,
DEL SUR,1750007C,6062,15,Y,,POLLING PLACE,,,,
DEL SUR,1750007C,6062,15,Y,,VBM PORTION,,,,
DEL SUR,1750007C,6062,15,Y,,TOTAL,,,,
DEL SUR,1750054A,623,7,N,562,POLLING PLACE,133,57,65,
DEL SUR,1750054A,623,7,N,,VBM PORTION,96,46,45,
DEL SUR,1750054A,623,7,N,562,TOTAL,229,103,110,
DESERT,1770001A,625,8,N,1091,POLLING PLACE,200,72,106,
DESERT,1770001A,625,8,N,,VBM PORTION,77,24,46,
DESERT,1770001A,625,8,N,1091,TOTAL,277,96,152,
DESERT,1770004A,626,13,N,1124,POLLING PLACE,270,94,161,
DESERT,1770004A,626,13,N,,VBM PORTION,165,43,110,
DESERT,1770004A,626,13,N,1124,TOTAL,435,137,271,
DESERT,1770007A,6064,13,Y,114,POLLING PLACE,,,,
DESERT,1770007A,6064,13,Y,,VBM PORTION,9,2,7,
DESERT,1770007A,6064,13,Y,114,TOTAL,9,2,7,
DESERT,1770015A,627,13,N,947,POLLING PLACE,129,43,73,
DESERT,1770015A,627,13,N,,VBM PORTION,147,44,85,
DESERT,1770015A,627,13,N,947,TOTAL,276,87,158,
DESERT,1770016A,628,13,N,397,POLLING PLACE,95,23,52,
DESERT,1770016A,628,13,N,,VBM PORTION,47,15,31,
DESERT,1770016A,628,13,N,397,TOTAL,142,38,83,
DESERT,1770063J,6065,13,Y,,POLLING PLACE,,,,
DESERT,1770063J,6065,13,Y,,VBM PORTION,,,,
DESERT,1770063J,6065,13,Y,,TOTAL,,,,
GORMAN,2610001A,6091,15,Y,49,POLLING PLACE,,,,
GORMAN,2610001A,6091,15,Y,,VBM PORTION,10,7,2,
GORMAN,2610001A,6091,15,Y,49,TOTAL,10,7,2,
GORMAN,2610017B,6092,23,Y,4,POLLING PLACE,,,,
GORMAN,2610017B,6092,23,Y,,VBM PORTION,,,,
GORMAN,2610017B,6092,23,Y,4,TOTAL,,,,
GREEN VALLEY,2620001A,1018,13,N,596,POLLING PLACE,173,100,53,
GREEN VALLEY,2620001A,1018,13,N,,VBM PORTION,62,30,25,
GREEN VALLEY,2620001A,1018,13,N,596,TOTAL,235,130,78,
LANCASTER,3550007A,1321,13,N,1310,POLLING PLACE,140,61,65,
LANCASTER,3550007A,1321,13,N,,VBM PORTION,105,36,54,
LANCASTER,3550007A,1321,13,N,1310,TOTAL,245,97,119,
LANCASTER,3550008A,1322,13,N,1425,POLLING PLACE,176,70,82,
LANCASTER,3550008A,1322,13,N,,VBM PORTION,90,33,43,
LANCASTER,3550008A,1322,13,N,1425,TOTAL,266,103,125,
LANCASTER,3550009A,1323,13,N,1537,POLLING PLACE,129,61,50,
LANCASTER,3550009A,1323,13,N,,VBM PORTION,72,25,34,
LANCASTER,3550009A,1323,13,N,1537,TOTAL,201,86,84,
LANCASTER,3550011B,1324,9,N,1379,POLLING PLACE,140,55,73,
LANCASTER,3550011B,1324,9,N,,VBM PORTION,138,40,54,
LANCASTER,3550011B,1324,9,N,1379,TOTAL,278,95,127,
LANCASTER,3550013A,1325,9,N,1302,POLLING PLACE,121,45,57,
LANCASTER,3550013A,1325,9,N,,VBM PORTION,100,24,38,
LANCASTER,3550013A,1325,9,N,1302,TOTAL,221,69,95,
LANCASTER,3550015A,1326,13,N,1528,POLLING PLACE,246,113,112,
LANCASTER,3550015A,1326,13,N,,VBM PORTION,105,45,46,
LANCASTER,3550015A,1326,13,N,1528,TOTAL,351,158,158,
LANCASTER,3550018A,1327,13,N,1270,POLLING PLACE,180,72,72,
LANCASTER,3550018A,1327,13,N,,VBM PORTION,88,24,38,
LANCASTER,3550018A,1327,13,N,1270,TOTAL,268,96,110,
LANCASTER,3550019B,6126,17,Y,,POLLING PLACE,,,,
LANCASTER,3550019B,6126,17,Y,,VBM PORTION,,,,
LANCASTER,3550019B,6126,17,Y,,TOTAL,,,,
LANCASTER,3550019D,1328,9,N,1186,POLLING PLACE,198,69,103,
LANCASTER,3550019D,1328,9,N,,VBM PORTION,123,32,63,
LANCASTER,3550019D,1328,9,N,1186,TOTAL,321,101,166,
LANCASTER,3550022A,1330,13,N,1364,POLLING PLACE,170,64,90,
LANCASTER,3550022A,1330,13,N,,VBM PORTION,109,35,44,
LANCASTER,3550022A,1330,13,N,1364,TOTAL,279,99,134,
LANCASTER,3550026A,1333,13,N,1059,POLLING PLACE,200,84,92,
LANCASTER,3550026A,1333,13,N,,VBM PORTION,63,16,38,
LANCASTER,3550026A,1333,13,N,1059,TOTAL,263,100,130,
LANCASTER,3550030B,1335,13,N,1349,POLLING PLACE,209,82,112,
LANCASTER,3550030B,1335,13,N,,VBM PORTION,117,39,65,
LANCASTER,3550030B,1335,13,N,1349,TOTAL,326,121,177,
LANCASTER,3550032A,1336,13,N,926,POLLING PLACE,189,81,95,
LANCASTER,3550032A,1336,13,N,,VBM PORTION,79,30,44,
LANCASTER,3550032A,1336,13,N,926,TOTAL,268,111,139,
LANCASTER,3550034A,1338,7,N,961,POLLING PLACE,107,42,49,
LANCASTER,3550034A,1338,7,N,,VBM PORTION,48,9,21,
LANCASTER,3550034A,1338,7,N,961,TOTAL,155,51,70,
LANCASTER,3550036A,1340,7,N,884,POLLING PLACE,93,32,47,
LANCASTER,3550036A,1340,7,N,,VBM PORTION,69,19,32,
LANCASTER,3550036A,1340,7,N,884,TOTAL,162,51,79,
LANCASTER,3550041A,1342,7,N,933,POLLING PLACE,135,44,73,
LANCASTER,3550041A,1342,7,N,,VBM PORTION,75,36,35,
LANCASTER,3550041A,1342,7,N,933,TOTAL,210,80,108,
LANCASTER,3550042A,1343,13,N,1120,POLLING PLACE,163,69,82,
LANCASTER,3550042A,1343,13,N,,VBM PORTION,61,20,30,
LANCASTER,3550042A,1343,13,N,1120,TOTAL,224,89,112,
LANCASTER,3550048A,1347,13,N,1200,POLLING PLACE,155,52,73,
LANCASTER,3550048A,1347,13,N,,VBM PORTION,88,31,31,
LANCASTER,3550048A,1347,13,N,1200,TOTAL,243,83,104,
LANCASTER,3550050A,1348,7,N,1535,POLLING PLACE,151,55,77,
LANCASTER,3550050A,1348,7,N,,VBM PORTION,115,34,50,
LANCASTER,3550050A,1348,7,N,1535,TOTAL,266,89,127,
LANCASTER,3550052A,1349,9,N,1092,POLLING PLACE,237,89,126,
LANCASTER,3550052A,1349,9,N,,VBM PORTION,155,52,89,
LANCASTER,3550052A,1349,9,N,1092,TOTAL,392,141,215,
LANCASTER,3550054A,1351,13,N,1267,POLLING PLACE,140,62,58,
LANCASTER,3550054A,1351,13,N,,VBM PORTION,97,19,48,
LANCASTER,3550054A,1351,13,N,1267,TOTAL,237,81,106,
LANCASTER,3550058A,1352,13,N,789,POLLING PLACE,166,60,95,
LANCASTER,3550058A,1352,13,N,,VBM PORTION,90,20,61,
LANCASTER,3550058A,1352,13,N,789,TOTAL,256,80,156,
LANCASTER,3550059A,1353,13,N,942,POLLING PLACE,213,79,123,
LANCASTER,3550059A,1353,13,N,,VBM PORTION,98,37,47,
LANCASTER,3550059A,1353,13,N,942,TOTAL,311,116,170,
LANCASTER,3550061A,1355,9,N,1344,POLLING PLACE,293,100,170,
LANCASTER,3550061A,1355,9,N,,VBM PORTION,102,34,64,
LANCASTER,3550061A,1355,9,N,1344,TOTAL,395,134,234,
LANCASTER,3550065D,6129,23,Y,,POLLING PLACE,,,,
LANCASTER,3550065D,6129,23,Y,,VBM PORTION,,,,
LANCASTER,3550065D,6129,23,Y,,TOTAL,,,,
LANCASTER,3550067A,1357,13,N,756,POLLING PLACE,158,58,95,
LANCASTER,3550067A,1357,13,N,,VBM PORTION,119,36,74,
LANCASTER,3550067A,1357,13,N,756,TOTAL,277,94,169,
LANCASTER,3550077A,1360,13,N,1231,POLLING PLACE,139,48,78,
LANCASTER,3550077A,1360,13,N,,VBM PORTION,95,35,43,
LANCASTER,3550077A,1360,13,N,1231,TOTAL,234,83,121,
LANCASTER,3550079A,1362,9,N,1332,POLLING PLACE,228,90,112,
LANCASTER,3550079A,1362,9,N,,VBM PORTION,157,39,92,
LANCASTER,3550079A,1362,9,N,1332,TOTAL,385,129,204,
LANCASTER,3550083A,1365,13,N,1474,POLLING PLACE,144,58,66,
LANCASTER,3550083A,1365,13,N,,VBM PORTION,80,20,31,
LANCASTER,3550083A,1365,13,N,1474,TOTAL,224,78,97,
LANCASTER,3550085A,6130,13,Y,,POLLING PLACE,,,,
LANCASTER,3550085A,6130,13,Y,,VBM PORTION,,,,
LANCASTER,3550085A,6130,13,Y,,TOTAL,,,,
LANCASTER,3550087A,1367,13,N,1325,POLLING PLACE,84,28,40,
LANCASTER,3550087A,1367,13,N,,VBM PORTION,75,18,15,
LANCASTER,3550087A,1367,13,N,1325,TOTAL,159,46,55,
LANCASTER,3550088A,1368,9,N,716,POLLING PLACE,56,27,23,
LANCASTER,3550088A,1368,9,N,,VBM PORTION,35,11,14,
LANCASTER,3550088A,1368,9,N,716,TOTAL,91,38,37,
LANCASTER,3550089B,1369,13,N,1451,POLLING PLACE,204,70,116,
LANCASTER,3550089B,1369,13,N,,VBM PORTION,134,38,64,
LANCASTER,3550089B,1369,13,N,1451,TOTAL,338,108,180,
LANCASTER,3550093B,1370,13,N,918,POLLING PLACE,116,46,53,
LANCASTER,3550093B,1370,13,N,,VBM PORTION,54,26,22,
LANCASTER,3550093B,1370,13,N,918,TOTAL,170,72,75,
LANCASTER,3550095A,1372,7,N,1488,POLLING PLACE,227,85,114,
LANCASTER,3550095A,1372,7,N,,VBM PORTION,105,27,62,
LANCASTER,3550095A,1372,7,N,1488,TOTAL,332,112,176,
LANCASTER,3550096A,1373,7,N,1369,POLLING PLACE,126,54,51,
LANCASTER,3550096A,1373,7,N,,VBM PORTION,75,28,35,
LANCASTER,3550096A,1373,7,N,1369,TOTAL,201,82,86,
LANCASTER,3550098A,1375,13,N,1489,POLLING PLACE,186,74,86,
LANCASTER,3550098A,1375,13,N,,VBM PORTION,117,27,56,
LANCASTER,3550098A,1375,13,N,1489,TOTAL,303,101,142,
LANCASTER,3550099B,1376,13,N,1144,POLLING PLACE,104,44,52,
LANCASTER,3550099B,1376,13,N,,VBM PORTION,61,17,30,
LANCASTER,3550099B,1376,13,N,1144,TOTAL,165,61,82,
LEONA VALLEY,3680001A,1400,8,N,1031,POLLING PLACE,374,153,189,
LEONA VALLEY,3680001A,1400,8,N,,VBM PORTION,89,18,63,
LEONA VALLEY,3680001A,1400,8,N,1031,TOTAL,463,171,252,
LEONA VALLEY,3680002G,6133,16,Y,,POLLING PLACE,,,,
LEONA VALLEY,3680002G,6133,16,Y,,VBM PORTION,,,,
LEONA VALLEY,3680002G,6133,16,Y,,TOTAL,,,,
LEONA VALLEY,3680003D,6134,23,Y,,POLLING PLACE,,,,
LEONA VALLEY,3680003D,6134,23,Y,,VBM PORTION,,,,
LEONA VALLEY,3680003D,6134,23,Y,,TOTAL,,,,
LITTLEROCK,3700001A,1401,13,N,764,POLLING PLACE,165,71,81,
LITTLEROCK,3700001A,1401,13,N,,VBM PORTION,46,18,25,
LITTLEROCK,3700001A,1401,13,N,764,TOTAL,211,89,106,
LITTLEROCK,3700040A,1402,13,N,886,POLLING PLACE,173,65,92,
LITTLEROCK,3700040A,1402,13,N,,VBM PORTION,66,22,41,
LITTLEROCK,3700040A,1402,13,N,886,TOTAL,239,87,133,
LITTLEROCK,3700042B,1403,13,N,784,POLLING PLACE,148,60,75,
LITTLEROCK,3700042B,1403,13,N,,VBM PORTION,59,19,35,
LITTLEROCK,3700042B,1403,13,N,784,TOTAL,207,79,110,
LITTLEROCK,3700043A,1404,13,N,867,POLLING PLACE,150,57,72,
LITTLEROCK,3700043A,1404,13,N,,VBM PORTION,42,21,17,
LITTLEROCK,3700043A,1404,13,N,867,TOTAL,192,78,89,
LITTLEROCK,3700044A,1405,13,N,936,POLLING PLACE,144,64,71,
LITTLEROCK,3700044A,1405,13,N,,VBM PORTION,74,38,25,
LITTLEROCK,3700044A,1405,13,N,936,TOTAL,218,102,96,
LITTLEROCK,3700046A,1406,13,N,1031,POLLING PLACE,155,77,66,
LITTLEROCK,3700046A,1406,13,N,,VBM PORTION,59,23,32,
LITTLEROCK,3700046A,1406,13,N,1031,TOTAL,214,100,98,
LLANO,3750005A,1407,13,N,681,POLLING PLACE,177,72,93,
LLANO,3750005A,1407,13,N,,VBM PORTION,98,30,64,
LLANO,3750005A,1407,13,N,681,TOTAL,275,102,157,
NEENACH,4650001A,1835,7,N,457,POLLING PLACE,116,47,63,
NEENACH,4650001A,1835,7,N,,VBM PORTION,89,37,47,
NEENACH,4650001A,1835,7,N,457,TOTAL,205,84,110,
NEENACH,4650001G,6161,13,Y,4,POLLING PLACE,,,,
NEENACH,4650001G,6161,13,Y,,VBM PORTION,,,,
NEENACH,4650001G,6161,13,Y,4,TOTAL,,,,
NEENACH,4650002H,6162,15,Y,,POLLING PLACE,,,,
NEENACH,4650002H,6162,15,Y,,VBM PORTION,,,,
NEENACH,4650002H,6162,15,Y,,TOTAL,,,,
NEWHALL,4700001A,6163,41,Y,67,POLLING PLACE,,,,
NEWHALL,4700001A,6163,41,Y,,VBM PORTION,8,3,5,
NEWHALL,4700001A,6163,41,Y,67,TOTAL,8,3,5,
NEWHALL,4700003C,6164,45,Y,11,POLLING PLACE,,,,
NEWHALL,4700003C,6164,45,Y,,VBM PORTION,2,,2,
NEWHALL,4700003C,6164,45,Y,11,TOTAL,2,,2,
NEWHALL,4700004A,6165,62,Y,,POLLING PLACE,,,,
NEWHALL,4700004A,6165,62,Y,,VBM PORTION,,,,
NEWHALL,4700004A,6165,62,Y,,TOTAL,,,,
NEWHALL,4700005A,6166,38,Y,67,POLLING PLACE,,,,
NEWHALL,4700005A,6166,38,Y,,VBM PORTION,14,9,,
NEWHALL,4700005A,6166,38,Y,67,TOTAL,14,9,,
NEWHALL,4700011B,6168,63,Y,,POLLING PLACE,,,,
NEWHALL,4700011B,6168,63,Y,,VBM PORTION,,,,
NEWHALL,4700011B,6168,63,Y,,TOTAL,,,,
PALMDALE,5000001A,1890,13,N,1298,POLLING PLACE,129,54,65,
PALMDALE,5000001A,1890,13,N,,VBM PORTION,101,22,48,
PALMDALE,5000001A,1890,13,N,1298,TOTAL,230,76,113,
PALMDALE,5000001C,6174,23,Y,,POLLING PLACE,,,,
PALMDALE,5000001C,6174,23,Y,,VBM PORTION,,,,
PALMDALE,5000001C,6174,23,Y,,TOTAL,,,,
PALMDALE,5000002A,1891,8,N,823,POLLING PLACE,141,53,84,
PALMDALE,5000002A,1891,8,N,,VBM PORTION,57,21,29,
PALMDALE,5000002A,1891,8,N,823,TOTAL,198,74,113,
PALMDALE,5000003A,1892,13,N,1118,POLLING PLACE,124,55,50,
PALMDALE,5000003A,1892,13,N,,VBM PORTION,63,20,31,
PALMDALE,5000003A,1892,13,N,1118,TOTAL,187,75,81,
PALMDALE,5000005A,1893,13,N,1667,POLLING PLACE,110,39,57,
PALMDALE,5000005A,1893,13,N,,VBM PORTION,107,16,42,
PALMDALE,5000005A,1893,13,N,1667,TOTAL,217,55,99,
PALMDALE,5000005B,6175,13,Y,35,POLLING PLACE,,,,
PALMDALE,5000005B,6175,13,Y,,VBM PORTION,1,,1,
PALMDALE,5000005B,6175,13,Y,35,TOTAL,1,,1,
PALMDALE,5000006A,1894,13,N,1182,POLLING PLACE,71,28,34,
PALMDALE,5000006A,1894,13,N,,VBM PORTION,94,20,43,
PALMDALE,5000006A,1894,13,N,1182,TOTAL,165,48,77,
PALMDALE,5000007A,1895,13,N,1334,POLLING PLACE,108,38,53,
PALMDALE,5000007A,1895,13,N,,VBM PORTION,73,20,21,
PALMDALE,5000007A,1895,13,N,1334,TOTAL,181,58,74,
PALMDALE,5000008A,1896,13,N,1086,POLLING PLACE,157,58,84,
PALMDALE,5000008A,1896,13,N,,VBM PORTION,78,16,42,
PALMDALE,5000008A,1896,13,N,1086,TOTAL,235,74,126,
PALMDALE,5000009A,1897,13,N,1273,POLLING PLACE,103,34,51,
PALMDALE,5000009A,1897,13,N,,VBM PORTION,104,32,48,
PALMDALE,5000009A,1897,13,N,1273,TOTAL,207,66,99,
PALMDALE,5000011A,1898,13,N,1425,POLLING PLACE,310,99,191,
PALMDALE,5000011A,1898,13,N,,VBM PORTION,151,32,103,
PALMDALE,5000011A,1898,13,N,1425,TOTAL,461,131,294,
PALMDALE,5000012A,1899,8,N,1207,POLLING PLACE,237,103,108,
PALMDALE,5000012A,1899,8,N,,VBM PORTION,66,29,31,
PALMDALE,5000012A,1899,8,N,1207,TOTAL,303,132,139,
PALMDALE,5000013A,1900,8,N,413,POLLING PLACE,43,19,15,
PALMDALE,5000013A,1900,8,N,,VBM PORTION,19,7,10,
PALMDALE,5000013A,1900,8,N,413,TOTAL,62,26,25,
PALMDALE,5000013C,6176,16,Y,,POLLING PLACE,,,,
PALMDALE,5000013C,6176,16,Y,,VBM PORTION,,,,
PALMDALE,5000013C,6176,16,Y,,TOTAL,,,,
PALMDALE,5000015A,1901,13,N,382,POLLING PLACE,56,23,26,
PALMDALE,5000015A,1901,13,N,,VBM PORTION,11,3,7,
PALMDALE,5000015A,1901,13,N,382,TOTAL,67,26,33,
PALMDALE,5000016A,1902,13,N,1373,POLLING PLACE,153,53,87,
PALMDALE,5000016A,1902,13,N,,VBM PORTION,69,29,29,
PALMDALE,5000016A,1902,13,N,1373,TOTAL,222,82,116,
PALMDALE,5000017A,1903,8,N,1003,POLLING PLACE,207,65,122,
PALMDALE,5000017A,1903,8,N,,VBM PORTION,98,36,55,
PALMDALE,5000017A,1903,8,N,1003,TOTAL,305,101,177,
PALMDALE,5000018A,1904,8,N,945,POLLING PLACE,220,66,130,
PALMDALE,5000018A,1904,8,N,,VBM PORTION,97,28,58,
PALMDALE,5000018A,1904,8,N,945,TOTAL,317,94,188,
PALMDALE,5000019A,1905,8,N,886,POLLING PLACE,145,66,59,
PALMDALE,5000019A,1905,8,N,,VBM PORTION,68,20,38,
PALMDALE,5000019A,1905,8,N,886,TOTAL,213,86,97,
PALMDALE,5000020A,1906,8,N,965,POLLING PLACE,218,78,117,
PALMDALE,5000020A,1906,8,N,,VBM PORTION,63,22,31,
PALMDALE,5000020A,1906,8,N,965,TOTAL,281,100,148,
PALMDALE,5000021A,1907,13,N,1254,POLLING PLACE,182,61,92,
PALMDALE,5000021A,1907,13,N,,VBM PORTION,65,17,30,
