LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ISIDRO ARMENTA,HOLLY J MITCHELL,
LADERA HEIGHTS,3430001A,1264,231,N,1296,POLLING PLACE,425,67,308,
LADERA HEIGHTS,3430001A,1264,231,N,,VBM PORTION,115,11,82,
LADERA HEIGHTS,3430001A,1264,231,N,1296,TOTAL,540,78,390,
LADERA HEIGHTS,3430003C,6121,233,Y,308,POLLING PLACE,,,,
LADERA HEIGHTS,3430003C,6121,233,Y,,VBM PORTION,43,9,32,
LADERA HEIGHTS,3430003C,6121,233,Y,308,TOTAL,43,9,32,
LADERA HEIGHTS,3430004A,1265,230,N,1242,POLLING PLACE,361,76,248,
LADERA HEIGHTS,3430004A,1265,230,N,,VBM PORTION,127,23,93,
LADERA HEIGHTS,3430004A,1265,230,N,1242,TOTAL,488,99,341,
LADERA HEIGHTS,3430005B,6122,232,Y,,POLLING PLACE,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,VBM PORTION,,,,
LADERA HEIGHTS,3430005B,6122,232,Y,,TOTAL,,,,
LADERA HEIGHTS,3430007A,1266,230,N,1328,POLLING PLACE,417,85,298,
LADERA HEIGHTS,3430007A,1266,230,N,,VBM PORTION,104,15,76,
LADERA HEIGHTS,3430007A,1266,230,N,1328,TOTAL,521,100,374,
LADERA HEIGHTS,3430018C,1267,231,N,614,POLLING PLACE,110,32,70,
LADERA HEIGHTS,3430018C,1267,231,N,,VBM PORTION,35,5,26,
LADERA HEIGHTS,3430018C,1267,231,N,614,TOTAL,145,37,96,
LADERA HEIGHTS,3430020A,1268,230,N,1046,POLLING PLACE,234,54,161,
LADERA HEIGHTS,3430020A,1268,230,N,,VBM PORTION,82,12,63,
LADERA HEIGHTS,3430020A,1268,230,N,1046,TOTAL,316,66,224,
VIEW PARK,7510001A,2763,231,N,1193,POLLING PLACE,339,46,254,
VIEW PARK,7510001A,2763,231,N,,VBM PORTION,88,9,72,
VIEW PARK,7510001A,2763,231,N,1193,TOTAL,427,55,326,
VIEW PARK,7510003C,2764,231,N,1312,POLLING PLACE,364,76,266,
VIEW PARK,7510003C,2764,231,N,,VBM PORTION,103,11,87,
VIEW PARK,7510003C,2764,231,N,1312,TOTAL,467,87,353,
VIEW PARK,7510004A,2765,231,N,728,POLLING PLACE,178,28,138,
VIEW PARK,7510004A,2765,231,N,,VBM PORTION,37,4,30,
VIEW PARK,7510004A,2765,231,N,728,TOTAL,215,32,168,
VIEW PARK,7510006A,2766,231,N,1231,POLLING PLACE,313,72,209,
VIEW PARK,7510006A,2766,231,N,,VBM PORTION,74,11,58,
VIEW PARK,7510006A,2766,231,N,1231,TOTAL,387,83,267,
VIEW PARK,7510008A,2767,231,N,1032,POLLING PLACE,285,51,216,
VIEW PARK,7510008A,2767,231,N,,VBM PORTION,93,13,68,
VIEW PARK,7510008A,2767,231,N,1032,TOTAL,378,64,284,
VIEW PARK,7510009B,2768,231,N,1227,POLLING PLACE,343,79,248,
VIEW PARK,7510009B,2768,231,N,,VBM PORTION,87,16,64,
VIEW PARK,7510009B,2768,231,N,1227,TOTAL,430,95,312,
VIEW PARK,7510010A,2769,231,N,940,POLLING PLACE,250,46,188,
VIEW PARK,7510010A,2769,231,N,,VBM PORTION,104,11,83,
VIEW PARK,7510010A,2769,231,N,940,TOTAL,354,57,271,
VIEW PARK,7510012A,2770,231,N,997,POLLING PLACE,340,70,239,
VIEW PARK,7510012A,2770,231,N,,VBM PORTION,74,9,59,
VIEW PARK,7510012A,2770,231,N,997,TOTAL,414,79,298,
WEST ATHENS,7670001A,2794,313,N,1040,POLLING PLACE,99,29,55,
WEST ATHENS,7670001A,2794,313,N,,VBM PORTION,32,9,16,
WEST ATHENS,7670001A,2794,313,N,1040,TOTAL,131,38,71,
WEST ATHENS,7670003A,2795,313,N,1015,POLLING PLACE,107,29,72,
WEST ATHENS,7670003A,2795,313,N,,VBM PORTION,35,13,18,
WEST ATHENS,7670003A,2795,313,N,1015,TOTAL,142,42,90,
WEST ATHENS,7670004A,2796,333,N,1057,POLLING PLACE,148,35,107,
WEST ATHENS,7670004A,2796,333,N,,VBM PORTION,21,5,13,
WEST ATHENS,7670004A,2796,333,N,1057,TOTAL,169,40,120,
WEST ATHENS,7670005A,2797,333,N,775,POLLING PLACE,108,35,64,
WEST ATHENS,7670005A,2797,333,N,,VBM PORTION,24,4,19,
WEST ATHENS,7670005A,2797,333,N,775,TOTAL,132,39,83,
WEST ATHENS,7670006A,2798,333,N,1068,POLLING PLACE,226,25,180,
WEST ATHENS,7670006A,2798,333,N,,VBM PORTION,71,14,50,
WEST ATHENS,7670006A,2798,333,N,1068,TOTAL,297,39,230,
WEST ATHENS,7670007A,2799,333,N,788,POLLING PLACE,120,28,85,
WEST ATHENS,7670007A,2799,333,N,,VBM PORTION,29,10,13,
WEST ATHENS,7670007A,2799,333,N,788,TOTAL,149,38,98,
WEST ATHENS,7670009A,2800,313,N,1103,POLLING PLACE,152,45,96,
WEST ATHENS,7670009A,2800,313,N,,VBM PORTION,21,9,8,
WEST ATHENS,7670009A,2800,313,N,1103,TOTAL,173,54,104,
WEST ATHENS,7670009D,2801,313,N,90,POLLING PLACE,21,5,14,
WEST ATHENS,7670009D,2801,313,N,,VBM PORTION,3,,2,
WEST ATHENS,7670009D,2801,313,N,90,TOTAL,24,5,16,
WEST ATHENS,7670010A,2802,333,N,1022,POLLING PLACE,143,22,114,
WEST ATHENS,7670010A,2802,333,N,,VBM PORTION,40,6,31,
WEST ATHENS,7670010A,2802,333,N,1022,TOTAL,183,28,145,
WEST ATHENS,7670011A,2803,333,N,722,POLLING PLACE,162,23,129,
WEST ATHENS,7670011A,2803,333,N,,VBM PORTION,30,6,22,
WEST ATHENS,7670011A,2803,333,N,722,TOTAL,192,29,151,
WEST ATHENS,7670012B,2804,333,N,1097,POLLING PLACE,182,30,138,
WEST ATHENS,7670012B,2804,333,N,,VBM PORTION,56,5,44,
WEST ATHENS,7670012B,2804,333,N,1097,TOTAL,238,35,182,
WEST ATHENS,7670013A,2805,333,N,809,POLLING PLACE,173,22,140,
WEST ATHENS,7670013A,2805,333,N,,VBM PORTION,40,10,26,
WEST ATHENS,7670013A,2805,333,N,809,TOTAL,213,32,166,
WEST ATHENS,7670014A,2806,333,N,871,POLLING PLACE,65,19,43,
WEST ATHENS,7670014A,2806,333,N,,VBM PORTION,15,5,10,
WEST ATHENS,7670014A,2806,333,N,871,TOTAL,80,24,53,
WEST ATHENS,7670016A,2808,333,N,885,POLLING PLACE,119,33,78,
WEST ATHENS,7670016A,2808,333,N,,VBM PORTION,11,1,10,
WEST ATHENS,7670016A,2808,333,N,885,TOTAL,130,34,88,
WEST ATHENS,7670022A,2814,333,N,966,POLLING PLACE,112,27,79,
WEST ATHENS,7670022A,2814,333,N,,VBM PORTION,16,4,9,
WEST ATHENS,7670022A,2814,333,N,966,TOTAL,128,31,88,
WEST ATHENS,7670023A,2815,333,N,899,POLLING PLACE,187,33,137,
WEST ATHENS,7670023A,2815,333,N,,VBM PORTION,27,5,21,
WEST ATHENS,7670023A,2815,333,N,899,TOTAL,214,38,158,
WEST ATHENS,7670024A,2816,333,N,783,POLLING PLACE,138,18,118,
WEST ATHENS,7670024A,2816,333,N,,VBM PORTION,31,4,26,
WEST ATHENS,7670024A,2816,333,N,783,TOTAL,169,22,144,
LOS ANGELES,9000002A,2986,228,N,791,POLLING PLACE,188,46,114,
LOS ANGELES,9000002A,2986,228,N,,VBM PORTION,86,22,53,
LOS ANGELES,9000002A,2986,228,N,791,TOTAL,274,68,167,
LOS ANGELES,9000269B,3152,228,N,1241,POLLING PLACE,260,80,144,
LOS ANGELES,9000269B,3152,228,N,,VBM PORTION,109,22,59,
LOS ANGELES,9000269B,3152,228,N,1241,TOTAL,369,102,203,
LOS ANGELES,9000280A,3158,310,N,957,POLLING PLACE,114,57,44,
LOS ANGELES,9000280A,3158,310,N,,VBM PORTION,44,20,19,
LOS ANGELES,9000280A,3158,310,N,957,TOTAL,158,77,63,
LOS ANGELES,9000282A,3159,330,N,943,POLLING PLACE,89,40,42,
LOS ANGELES,9000282A,3159,330,N,,VBM PORTION,28,7,19,
LOS ANGELES,9000282A,3159,330,N,943,TOTAL,117,47,61,
LOS ANGELES,9000283A,3160,330,N,996,POLLING PLACE,201,64,128,
LOS ANGELES,9000283A,3160,330,N,,VBM PORTION,48,9,35,
LOS ANGELES,9000283A,3160,330,N,996,TOTAL,249,73,163,
LOS ANGELES,9000284C,3161,309,N,906,POLLING PLACE,243,27,199,
LOS ANGELES,9000284C,3161,309,N,,VBM PORTION,45,10,32,
LOS ANGELES,9000284C,3161,309,N,906,TOTAL,288,37,231,
LOS ANGELES,9000285A,3162,309,N,1183,POLLING PLACE,231,19,188,
LOS ANGELES,9000285A,3162,309,N,,VBM PORTION,59,5,45,
LOS ANGELES,9000285A,3162,309,N,1183,TOTAL,290,24,233,
LOS ANGELES,9000288A,3164,312,N,1236,POLLING PLACE,315,65,231,
LOS ANGELES,9000288A,3164,312,N,,VBM PORTION,84,23,53,
LOS ANGELES,9000288A,3164,312,N,1236,TOTAL,399,88,284,
LOS ANGELES,9000289A,3165,312,N,1030,POLLING PLACE,132,36,87,
LOS ANGELES,9000289A,3165,312,N,,VBM PORTION,21,6,12,
LOS ANGELES,9000289A,3165,312,N,1030,TOTAL,153,42,99,
LOS ANGELES,9000290A,3166,312,N,926,POLLING PLACE,101,41,56,
LOS ANGELES,9000290A,3166,312,N,,VBM PORTION,13,3,6,
LOS ANGELES,9000290A,3166,312,N,926,TOTAL,114,44,62,
LOS ANGELES,9000293A,3168,358,N,785,POLLING PLACE,84,31,49,
LOS ANGELES,9000293A,3168,358,N,,VBM PORTION,26,7,13,
LOS ANGELES,9000293A,3168,358,N,785,TOTAL,110,38,62,
LOS ANGELES,9000294A,3169,358,N,858,POLLING PLACE,97,31,59,
LOS ANGELES,9000294A,3169,358,N,,VBM PORTION,29,6,18,
LOS ANGELES,9000294A,3169,358,N,858,TOTAL,126,37,77,
LOS ANGELES,9000296C,3170,358,N,1205,POLLING PLACE,241,49,177,
LOS ANGELES,9000296C,3170,358,N,,VBM PORTION,36,7,28,
LOS ANGELES,9000296C,3170,358,N,1205,TOTAL,277,56,205,
LOS ANGELES,9000354A,3207,358,N,376,POLLING PLACE,35,20,15,
LOS ANGELES,9000354A,3207,358,N,,VBM PORTION,10,4,4,
LOS ANGELES,9000354A,3207,358,N,376,TOTAL,45,24,19,
LOS ANGELES,9000366A,3217,309,N,1075,POLLING PLACE,161,37,114,
LOS ANGELES,9000366A,3217,309,N,,VBM PORTION,24,2,19,
LOS ANGELES,9000366A,3217,309,N,1075,TOTAL,185,39,133,
LOS ANGELES,9000454A,3273,308,N,1115,POLLING PLACE,185,80,77,
LOS ANGELES,9000454A,3273,308,N,,VBM PORTION,34,12,14,
LOS ANGELES,9000454A,3273,308,N,1115,TOTAL,219,92,91,
LOS ANGELES,9000493B,3295,216,N,1276,POLLING PLACE,220,62,136,
LOS ANGELES,9000493B,3295,216,N,,VBM PORTION,69,18,40,
LOS ANGELES,9000493B,3295,216,N,1276,TOTAL,289,80,176,
LOS ANGELES,9000533A,3324,229,N,1008,POLLING PLACE,123,43,69,
LOS ANGELES,9000533A,3324,229,N,,VBM PORTION,30,5,20,
LOS ANGELES,9000533A,3324,229,N,1008,TOTAL,153,48,89,
LOS ANGELES,9000545A,3329,359,N,1110,POLLING PLACE,160,74,74,
LOS ANGELES,9000545A,3329,359,N,,VBM PORTION,43,8,30,
LOS ANGELES,9000545A,3329,359,N,1110,TOTAL,203,82,104,
LOS ANGELES,9000554A,3335,308,N,403,POLLING PLACE,8,3,4,
LOS ANGELES,9000554A,3335,308,N,,VBM PORTION,,,,
LOS ANGELES,9000554A,3335,308,N,403,TOTAL,8,3,4,
LOS ANGELES,9000618A,3375,216,N,540,POLLING PLACE,90,30,46,
LOS ANGELES,9000618A,3375,216,N,,VBM PORTION,14,5,6,
LOS ANGELES,9000618A,3375,216,N,540,TOTAL,104,35,52,
LOS ANGELES,9000626A,6277,226,Y,,POLLING PLACE,,,,
LOS ANGELES,9000626A,6277,226,Y,,VBM PORTION,,,,
LOS ANGELES,9000626A,6277,226,Y,,TOTAL,,,,
LOS ANGELES,9000650C,3390,228,N,1238,POLLING PLACE,147,74,58,
LOS ANGELES,9000650C,3390,228,N,,VBM PORTION,58,14,38,
LOS ANGELES,9000650C,3390,228,N,1238,TOTAL,205,88,96,
LOS ANGELES,9000720C,3418,311,N,1041,POLLING PLACE,108,42,57,
LOS ANGELES,9000720C,3418,311,N,,VBM PORTION,22,7,15,
LOS ANGELES,9000720C,3418,311,N,1041,TOTAL,130,49,72,
LOS ANGELES,9000824A,3457,309,N,681,POLLING PLACE,84,31,50,
LOS ANGELES,9000824A,3457,309,N,,VBM PORTION,13,4,9,
LOS ANGELES,9000824A,3457,309,N,681,TOTAL,97,35,59,
LOS ANGELES,9000888A,3481,308,N,512,POLLING PLACE,72,32,28,
LOS ANGELES,9000888A,3481,308,N,,VBM PORTION,26,5,15,
LOS ANGELES,9000888A,3481,308,N,512,TOTAL,98,37,43,
LOS ANGELES,9000906A,3488,311,N,960,POLLING PLACE,128,67,43,
LOS ANGELES,9000906A,3488,311,N,,VBM PORTION,7,,7,
LOS ANGELES,9000906A,3488,311,N,960,TOTAL,135,67,50,
LOS ANGELES,9000908A,3490,229,N,991,POLLING PLACE,126,45,69,
LOS ANGELES,9000908A,3490,229,N,,VBM PORTION,61,20,40,
LOS ANGELES,9000908A,3490,229,N,991,TOTAL,187,65,109,
LOS ANGELES,9000944A,3502,228,N,1132,POLLING PLACE,259,88,134,
LOS ANGELES,9000944A,3502,228,N,,VBM PORTION,57,20,29,
LOS ANGELES,9000944A,3502,228,N,1132,TOTAL,316,108,163,
LOS ANGELES,9000945B,3503,229,N,1013,POLLING PLACE,191,74,108,
LOS ANGELES,9000945B,3503,229,N,,VBM PORTION,25,5,19,
LOS ANGELES,9000945B,3503,229,N,1013,TOTAL,216,79,127,
LOS ANGELES,9000948A,3506,228,N,1073,POLLING PLACE,304,74,215,
LOS ANGELES,9000948A,3506,228,N,,VBM PORTION,76,6,64,
LOS ANGELES,9000948A,3506,228,N,1073,TOTAL,380,80,279,
LOS ANGELES,9000985A,3518,311,N,998,POLLING PLACE,99,38,47,
LOS ANGELES,9000985A,3518,311,N,,VBM PORTION,29,10,12,
LOS ANGELES,9000985A,3518,311,N,998,TOTAL,128,48,59,
LOS ANGELES,9001000A,3526,217,N,673,POLLING PLACE,90,27,52,
LOS ANGELES,9001000A,3526,217,N,,VBM PORTION,46,10,31,
LOS ANGELES,9001000A,3526,217,N,673,TOTAL,136,37,83,
LOS ANGELES,9001000C,3527,217,N,631,POLLING PLACE,86,40,41,
LOS ANGELES,9001000C,3527,217,N,,VBM PORTION,20,6,13,
LOS ANGELES,9001000C,3527,217,N,631,TOTAL,106,46,54,
LOS ANGELES,9001003A,3530,311,N,973,POLLING PLACE,101,54,37,
LOS ANGELES,9001003A,3530,311,N,,VBM PORTION,17,3,13,
LOS ANGELES,9001003A,3530,311,N,973,TOTAL,118,57,50,
LOS ANGELES,9001024A,3541,308,N,867,POLLING PLACE,151,63,72,
LOS ANGELES,9001024A,3541,308,N,,VBM PORTION,14,5,6,
LOS ANGELES,9001024A,3541,308,N,867,TOTAL,165,68,78,
LOS ANGELES,9001026C,3542,308,N,957,POLLING PLACE,136,54,75,
LOS ANGELES,9001026C,3542,308,N,,VBM PORTION,19,7,12,
LOS ANGELES,9001026C,3542,308,N,957,TOTAL,155,61,87,
LOS ANGELES,9001030A,3544,308,N,1070,POLLING PLACE,196,66,111,
LOS ANGELES,9001030A,3544,308,N,,VBM PORTION,30,10,20,
LOS ANGELES,9001030A,3544,308,N,1070,TOTAL,226,76,131,
LOS ANGELES,9001031A,3545,311,N,1088,POLLING PLACE,142,68,57,
LOS ANGELES,9001031A,3545,311,N,,VBM PORTION,20,2,15,
LOS ANGELES,9001031A,3545,311,N,1088,TOTAL,162,70,72,
LOS ANGELES,9001046D,3553,308,N,632,POLLING PLACE,48,25,16,
LOS ANGELES,9001046D,3553,308,N,,VBM PORTION,21,10,6,
LOS ANGELES,9001046D,3553,308,N,632,TOTAL,69,35,22,
LOS ANGELES,9001046R,3554,308,N,692,POLLING PLACE,23,9,13,
LOS ANGELES,9001046R,3554,308,N,,VBM PORTION,4,2,1,
LOS ANGELES,9001046R,3554,308,N,692,TOTAL,27,11,14,
LOS ANGELES,9001055A,3559,311,N,932,POLLING PLACE,147,59,76,
LOS ANGELES,9001055A,3559,311,N,,VBM PORTION,12,5,6,
LOS ANGELES,9001055A,3559,311,N,932,TOTAL,159,64,82,
LOS ANGELES,9001081A,3572,311,N,1012,POLLING PLACE,150,86,42,
LOS ANGELES,9001081A,3572,311,N,,VBM PORTION,16,8,8,
LOS ANGELES,9001081A,3572,311,N,1012,TOTAL,166,94,50,
LOS ANGELES,9001097A,3582,216,N,1335,POLLING PLACE,207,61,124,
LOS ANGELES,9001097A,3582,216,N,,VBM PORTION,153,40,78,
LOS ANGELES,9001097A,3582,216,N,1335,TOTAL,360,101,202,
LOS ANGELES,9001111A,3589,228,N,1054,POLLING PLACE,196,55,117,
LOS ANGELES,9001111A,3589,228,N,,VBM PORTION,56,11,37,
LOS ANGELES,9001111A,3589,228,N,1054,TOTAL,252,66,154,
LOS ANGELES,9001129B,3595,310,N,1156,POLLING PLACE,189,106,73,
LOS ANGELES,9001129B,3595,310,N,,VBM PORTION,20,4,12,
LOS ANGELES,9001129B,3595,310,N,1156,TOTAL,209,110,85,
LOS ANGELES,9001130B,3596,310,N,642,POLLING PLACE,82,41,32,
LOS ANGELES,9001130B,3596,310,N,,VBM PORTION,23,6,16,
LOS ANGELES,9001130B,3596,310,N,642,TOTAL,105,47,48,
LOS ANGELES,9001137C,3600,228,N,544,POLLING PLACE,95,24,54,
LOS ANGELES,9001137C,3600,228,N,,VBM PORTION,39,12,19,
LOS ANGELES,9001137C,3600,228,N,544,TOTAL,134,36,73,
LOS ANGELES,9001159A,3605,358,N,1186,POLLING PLACE,156,55,97,
LOS ANGELES,9001159A,3605,358,N,,VBM PORTION,24,11,12,
LOS ANGELES,9001159A,3605,358,N,1186,TOTAL,180,66,109,
LOS ANGELES,9001165A,3607,228,N,922,POLLING PLACE,220,63,127,
LOS ANGELES,9001165A,3607,228,N,,VBM PORTION,70,15,44,
LOS ANGELES,9001165A,3607,228,N,922,TOTAL,290,78,171,
LOS ANGELES,9001169A,3609,358,N,655,POLLING PLACE,90,30,56,
LOS ANGELES,9001169A,3609,358,N,,VBM PORTION,21,13,6,
LOS ANGELES,9001169A,3609,358,N,655,TOTAL,111,43,62,
LOS ANGELES,9001175A,3612,228,N,1230,POLLING PLACE,275,62,164,
LOS ANGELES,9001175A,3612,228,N,,VBM PORTION,106,15,73,
LOS ANGELES,9001175A,3612,228,N,1230,TOTAL,381,77,237,
LOS ANGELES,9001183A,3617,216,N,985,POLLING PLACE,151,74,60,
LOS ANGELES,9001183A,3617,216,N,,VBM PORTION,32,15,12,
LOS ANGELES,9001183A,3617,216,N,985,TOTAL,183,89,72,
LOS ANGELES,9001189B,3621,309,N,882,POLLING PLACE,157,34,112,
LOS ANGELES,9001189B,3621,309,N,,VBM PORTION,26,10,13,
LOS ANGELES,9001189B,3621,309,N,882,TOTAL,183,44,125,
LOS ANGELES,9001246A,3642,358,N,1121,POLLING PLACE,198,58,134,
LOS ANGELES,9001246A,3642,358,N,,VBM PORTION,55,14,36,
LOS ANGELES,9001246A,3642,358,N,1121,TOTAL,253,72,170,
LOS ANGELES,9001249A,3643,226,N,925,POLLING PLACE,221,53,121,
LOS ANGELES,9001249A,3643,226,N,,VBM PORTION,88,17,59,
LOS ANGELES,9001249A,3643,226,N,925,TOTAL,309,70,180,
LOS ANGELES,9001250A,3644,226,N,1133,POLLING PLACE,212,59,115,
LOS ANGELES,9001250A,3644,226,N,,VBM PORTION,79,20,48,
LOS ANGELES,9001250A,3644,226,N,1133,TOTAL,291,79,163,
LOS ANGELES,9001253A,3645,226,N,1202,POLLING PLACE,231,54,136,
