LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BARRY A SNELL,MARIA LOYA,LOUISE JAFFE,NANCY GREENSTEIN,ANDREW WALZER,DENNIS C W FRISCH,
SANTA MONICA,6250098A,2500,181,N,,VBM PORTION,78,32,20,31,33,30,21,
SANTA MONICA,6250098A,2500,181,N,1199,TOTAL,404,146,117,170,176,127,129,
SANTA MONICA,6250106A,2501,181,N,955,POLLING PLACE,249,92,85,113,114,82,69,
SANTA MONICA,6250106A,2501,181,N,,VBM PORTION,101,40,29,51,46,29,17,
SANTA MONICA,6250106A,2501,181,N,955,TOTAL,350,132,114,164,160,111,86,
SANTA MONICA,6250107A,2502,181,N,1181,POLLING PLACE,336,117,94,145,154,113,101,
SANTA MONICA,6250107A,2502,181,N,,VBM PORTION,129,59,28,67,67,48,26,
SANTA MONICA,6250107A,2502,181,N,1181,TOTAL,465,176,122,212,221,161,127,
SANTA MONICA,6250110D,2503,181,N,910,POLLING PLACE,245,83,77,100,114,79,76,
SANTA MONICA,6250110D,2503,181,N,,VBM PORTION,60,23,13,34,36,27,12,
SANTA MONICA,6250110D,2503,181,N,910,TOTAL,305,106,90,134,150,106,88,
SANTA MONICA,6250113A,2504,181,N,1372,POLLING PLACE,294,105,84,128,142,108,96,
SANTA MONICA,6250113A,2504,181,N,,VBM PORTION,119,39,37,45,50,33,35,
SANTA MONICA,6250113A,2504,181,N,1372,TOTAL,413,144,121,173,192,141,131,
SANTA MONICA,6250121A,2505,181,N,1205,POLLING PLACE,268,86,90,112,122,89,108,
SANTA MONICA,6250121A,2505,181,N,,VBM PORTION,81,25,30,33,39,35,30,
SANTA MONICA,6250121A,2505,181,N,1205,TOTAL,349,111,120,145,161,124,138,
SANTA MONICA,6250125A,2506,181,N,1138,POLLING PLACE,354,121,95,154,162,118,106,
SANTA MONICA,6250125A,2506,181,N,,VBM PORTION,114,48,29,53,54,35,27,
SANTA MONICA,6250125A,2506,181,N,1138,TOTAL,468,169,124,207,216,153,133,
SANTA MONICA,6250127A,2507,181,N,1072,POLLING PLACE,327,130,111,142,164,101,109,
SANTA MONICA,6250127A,2507,181,N,,VBM PORTION,65,29,19,30,28,17,13,
SANTA MONICA,6250127A,2507,181,N,1072,TOTAL,392,159,130,172,192,118,122,
SANTA MONICA,6250128A,2508,181,N,878,POLLING PLACE,268,88,52,103,110,82,62,
SANTA MONICA,6250128A,2508,181,N,,VBM PORTION,117,39,25,55,43,29,28,
SANTA MONICA,6250128A,2508,181,N,878,TOTAL,385,127,77,158,153,111,90,
TOPANGA,7100032A,6249,195,Y,255,POLLING PLACE,,,,,,,,
TOPANGA,7100032A,6249,195,Y,,VBM PORTION,70,28,17,26,26,18,10,
TOPANGA,7100032A,6249,195,Y,255,TOTAL,70,28,17,26,26,18,10,
TOPANGA,7100033A,2661,195,N,1001,POLLING PLACE,295,77,71,111,103,87,91,
TOPANGA,7100033A,2661,195,N,,VBM PORTION,110,32,29,46,39,31,34,
TOPANGA,7100033A,2661,195,N,1001,TOTAL,405,109,100,157,142,118,125,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,POLLING PLACE,,,,,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,VBM PORTION,,,,,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,TOTAL,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,TOTAL,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,TOTAL,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,TOTAL,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,TOTAL,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,TOTAL,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,POLLING PLACE,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,VBM PORTION,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,TOTAL,,,,,,,,
