LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TOM CAMPBELL,GARY MARTIN,STACY L FORTNER,
CASTAIC,1040001F,422,45,N,537,TOTAL,131,78,62,19,
CASTAIC,1040002A,423,45,N,1052,POLLING PLACE,269,137,101,62,
CASTAIC,1040002A,423,45,N,,VBM PORTION,49,26,27,9,
CASTAIC,1040002A,423,45,N,1052,TOTAL,318,163,128,71,
CASTAIC,1040003A,424,45,N,1124,POLLING PLACE,224,125,98,33,
CASTAIC,1040003A,424,45,N,,VBM PORTION,93,58,39,5,
CASTAIC,1040003A,424,45,N,1124,TOTAL,317,183,137,38,
CASTAIC,1040004C,425,45,N,737,POLLING PLACE,126,78,57,21,
CASTAIC,1040004C,425,45,N,,VBM PORTION,71,42,28,23,
CASTAIC,1040004C,425,45,N,737,TOTAL,197,120,85,44,
CASTAIC,1040014A,426,45,N,1078,POLLING PLACE,168,96,62,44,
CASTAIC,1040014A,426,45,N,,VBM PORTION,123,79,54,29,
CASTAIC,1040014A,426,45,N,1078,TOTAL,291,175,116,73,
CASTAIC,1040015A,427,45,N,1202,POLLING PLACE,237,149,91,40,
CASTAIC,1040015A,427,45,N,,VBM PORTION,117,69,65,17,
CASTAIC,1040015A,427,45,N,1202,TOTAL,354,218,156,57,
CASTAIC,1040016A,428,45,N,1024,POLLING PLACE,187,98,86,35,
CASTAIC,1040016A,428,45,N,,VBM PORTION,97,55,50,22,
CASTAIC,1040016A,428,45,N,1024,TOTAL,284,153,136,57,
CASTAIC,1040017A,429,45,N,861,POLLING PLACE,159,95,79,30,
CASTAIC,1040017A,429,45,N,,VBM PORTION,75,47,32,11,
CASTAIC,1040017A,429,45,N,861,TOTAL,234,142,111,41,
CASTAIC,1040028A,430,45,N,1264,POLLING PLACE,253,145,97,61,
CASTAIC,1040028A,430,45,N,,VBM PORTION,102,67,48,10,
CASTAIC,1040028A,430,45,N,1264,TOTAL,355,212,145,71,
CASTAIC,1040052D,6045,45,Y,8,POLLING PLACE,,,,,
CASTAIC,1040052D,6045,45,Y,,VBM PORTION,2,,,1,
CASTAIC,1040052D,6045,45,Y,8,TOTAL,2,,,1,
CASTAIC,1040072A,431,45,N,738,POLLING PLACE,187,117,75,31,
CASTAIC,1040072A,431,45,N,,VBM PORTION,78,35,27,17,
CASTAIC,1040072A,431,45,N,738,TOTAL,265,152,102,48,
CASTAIC,1040226C,432,45,N,733,POLLING PLACE,104,62,46,18,
CASTAIC,1040226C,432,45,N,,VBM PORTION,131,75,61,24,
CASTAIC,1040226C,432,45,N,733,TOTAL,235,137,107,42,
CASTAIC,1040251A,433,45,N,703,POLLING PLACE,106,60,51,19,
CASTAIC,1040251A,433,45,N,,VBM PORTION,82,44,29,16,
CASTAIC,1040251A,433,45,N,703,TOTAL,188,104,80,35,
NEWHALL,4700001A,6163,41,Y,67,POLLING PLACE,,,,,
NEWHALL,4700001A,6163,41,Y,,VBM PORTION,8,6,5,,
NEWHALL,4700001A,6163,41,Y,67,TOTAL,8,6,5,,
NEWHALL,4700003C,6164,45,Y,11,POLLING PLACE,,,,,
NEWHALL,4700003C,6164,45,Y,,VBM PORTION,2,2,1,,
NEWHALL,4700003C,6164,45,Y,11,TOTAL,2,2,1,,
NEWHALL,4700004A,6165,62,Y,,POLLING PLACE,,,,,
NEWHALL,4700004A,6165,62,Y,,VBM PORTION,,,,,
NEWHALL,4700004A,6165,62,Y,,TOTAL,,,,,
NEWHALL,4700005A,6166,38,Y,67,POLLING PLACE,,,,,
NEWHALL,4700005A,6166,38,Y,,VBM PORTION,14,5,4,2,
NEWHALL,4700005A,6166,38,Y,67,TOTAL,14,5,4,2,
SANTA CLARITA,6220002B,2343,39,N,990,POLLING PLACE,179,84,76,42,
SANTA CLARITA,6220002B,2343,39,N,,VBM PORTION,77,37,39,19,
SANTA CLARITA,6220002B,2343,39,N,990,TOTAL,256,121,115,61,
SANTA CLARITA,6220003A,2344,44,N,1296,POLLING PLACE,291,161,121,45,
SANTA CLARITA,6220003A,2344,44,N,,VBM PORTION,123,74,61,19,
SANTA CLARITA,6220003A,2344,44,N,1296,TOTAL,414,235,182,64,
SANTA CLARITA,6220004A,2345,44,N,998,POLLING PLACE,240,130,95,41,
SANTA CLARITA,6220004A,2345,44,N,,VBM PORTION,97,60,44,18,
SANTA CLARITA,6220004A,2345,44,N,998,TOTAL,337,190,139,59,
SANTA CLARITA,6220005A,2346,36,N,1251,POLLING PLACE,256,130,106,45,
SANTA CLARITA,6220005A,2346,36,N,,VBM PORTION,128,83,62,14,
SANTA CLARITA,6220005A,2346,36,N,1251,TOTAL,384,213,168,59,
SANTA CLARITA,6220006A,2347,44,N,1060,POLLING PLACE,227,132,107,27,
SANTA CLARITA,6220006A,2347,44,N,,VBM PORTION,98,54,49,17,
SANTA CLARITA,6220006A,2347,44,N,1060,TOTAL,325,186,156,44,
SANTA CLARITA,6220007A,2348,44,N,823,POLLING PLACE,215,133,86,28,
SANTA CLARITA,6220007A,2348,44,N,,VBM PORTION,68,32,35,13,
SANTA CLARITA,6220007A,2348,44,N,823,TOTAL,283,165,121,41,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,143,111,67,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,79,74,22,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,222,185,89,
SANTA CLARITA,6220009A,2350,44,N,972,POLLING PLACE,203,126,84,37,
SANTA CLARITA,6220009A,2350,44,N,,VBM PORTION,90,58,48,13,
SANTA CLARITA,6220009A,2350,44,N,972,TOTAL,293,184,132,50,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,93,87,48,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,52,48,11,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,145,135,59,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,127,96,53,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,88,78,33,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,215,174,86,
SANTA CLARITA,6220017B,2353,39,N,1113,POLLING PLACE,193,108,98,43,
SANTA CLARITA,6220017B,2353,39,N,,VBM PORTION,137,84,62,31,
SANTA CLARITA,6220017B,2353,39,N,1113,TOTAL,330,192,160,74,
SANTA CLARITA,6220018A,2354,39,N,822,POLLING PLACE,160,84,76,34,
SANTA CLARITA,6220018A,2354,39,N,,VBM PORTION,93,42,44,18,
SANTA CLARITA,6220018A,2354,39,N,822,TOTAL,253,126,120,52,
SANTA CLARITA,6220020A,2355,39,N,1358,POLLING PLACE,314,169,140,57,
SANTA CLARITA,6220020A,2355,39,N,,VBM PORTION,160,98,71,37,
SANTA CLARITA,6220020A,2355,39,N,1358,TOTAL,474,267,211,94,
SANTA CLARITA,6220022B,2356,39,N,990,POLLING PLACE,227,102,105,45,
SANTA CLARITA,6220022B,2356,39,N,,VBM PORTION,109,60,53,16,
SANTA CLARITA,6220022B,2356,39,N,990,TOTAL,336,162,158,61,
SANTA CLARITA,6220023A,2357,39,N,580,POLLING PLACE,133,69,59,21,
SANTA CLARITA,6220023A,2357,39,N,,VBM PORTION,48,16,19,12,
SANTA CLARITA,6220023A,2357,39,N,580,TOTAL,181,85,78,33,
SANTA CLARITA,6220023E,6207,36,Y,1,POLLING PLACE,,,,,
SANTA CLARITA,6220023E,6207,36,Y,,VBM PORTION,,,,,
SANTA CLARITA,6220023E,6207,36,Y,1,TOTAL,,,,,
SANTA CLARITA,6220024A,2358,39,N,1359,POLLING PLACE,285,147,131,63,
SANTA CLARITA,6220024A,2358,39,N,,VBM PORTION,136,70,58,29,
SANTA CLARITA,6220024A,2358,39,N,1359,TOTAL,421,217,189,92,
SANTA CLARITA,6220028B,2359,39,N,1279,POLLING PLACE,325,186,169,72,
SANTA CLARITA,6220028B,2359,39,N,,VBM PORTION,119,65,60,26,
SANTA CLARITA,6220028B,2359,39,N,1279,TOTAL,444,251,229,98,
SANTA CLARITA,6220030A,2360,39,N,1144,POLLING PLACE,324,176,149,51,
SANTA CLARITA,6220030A,2360,39,N,,VBM PORTION,156,77,81,17,
SANTA CLARITA,6220030A,2360,39,N,1144,TOTAL,480,253,230,68,
SANTA CLARITA,6220031A,2361,39,N,848,POLLING PLACE,118,63,59,26,
SANTA CLARITA,6220031A,2361,39,N,,VBM PORTION,34,15,15,11,
SANTA CLARITA,6220031A,2361,39,N,848,TOTAL,152,78,74,37,
SANTA CLARITA,6220032A,2362,39,N,1010,POLLING PLACE,239,128,108,58,
SANTA CLARITA,6220032A,2362,39,N,,VBM PORTION,143,90,77,30,
SANTA CLARITA,6220032A,2362,39,N,1010,TOTAL,382,218,185,88,
SANTA CLARITA,6220033A,2363,39,N,692,POLLING PLACE,132,72,58,22,
SANTA CLARITA,6220033A,2363,39,N,,VBM PORTION,93,50,40,19,
SANTA CLARITA,6220033A,2363,39,N,692,TOTAL,225,122,98,41,
SANTA CLARITA,6220034A,2364,39,N,755,POLLING PLACE,148,79,64,34,
SANTA CLARITA,6220034A,2364,39,N,,VBM PORTION,60,35,31,3,
SANTA CLARITA,6220034A,2364,39,N,755,TOTAL,208,114,95,37,
SANTA CLARITA,6220037B,2365,39,N,592,POLLING PLACE,126,67,62,20,
SANTA CLARITA,6220037B,2365,39,N,,VBM PORTION,49,21,20,16,
SANTA CLARITA,6220037B,2365,39,N,592,TOTAL,175,88,82,36,
SANTA CLARITA,6220038A,2366,39,N,1133,POLLING PLACE,245,140,117,44,
SANTA CLARITA,6220038A,2366,39,N,,VBM PORTION,157,84,77,26,
SANTA CLARITA,6220038A,2366,39,N,1133,TOTAL,402,224,194,70,
SANTA CLARITA,6220040A,2367,39,N,1045,POLLING PLACE,207,116,100,42,
SANTA CLARITA,6220040A,2367,39,N,,VBM PORTION,68,46,34,15,
SANTA CLARITA,6220040A,2367,39,N,1045,TOTAL,275,162,134,57,
SANTA CLARITA,6220041A,2368,39,N,1304,POLLING PLACE,289,165,129,60,
SANTA CLARITA,6220041A,2368,39,N,,VBM PORTION,132,79,67,33,
SANTA CLARITA,6220041A,2368,39,N,1304,TOTAL,421,244,196,93,
SANTA CLARITA,6220042A,2369,36,N,1245,POLLING PLACE,224,119,106,56,
SANTA CLARITA,6220042A,2369,36,N,,VBM PORTION,147,88,81,27,
SANTA CLARITA,6220042A,2369,36,N,1245,TOTAL,371,207,187,83,
SANTA CLARITA,6220043A,2370,39,N,1207,POLLING PLACE,266,143,104,67,
SANTA CLARITA,6220043A,2370,39,N,,VBM PORTION,177,103,91,41,
SANTA CLARITA,6220043A,2370,39,N,1207,TOTAL,443,246,195,108,
SANTA CLARITA,6220044A,2371,39,N,961,POLLING PLACE,223,121,97,41,
SANTA CLARITA,6220044A,2371,39,N,,VBM PORTION,110,66,61,8,
SANTA CLARITA,6220044A,2371,39,N,961,TOTAL,333,187,158,49,
SANTA CLARITA,6220046B,2372,39,N,882,POLLING PLACE,109,54,42,27,
SANTA CLARITA,6220046B,2372,39,N,,VBM PORTION,55,26,24,9,
SANTA CLARITA,6220046B,2372,39,N,882,TOTAL,164,80,66,36,
SANTA CLARITA,6220047A,2373,36,N,1050,POLLING PLACE,241,131,98,63,
SANTA CLARITA,6220047A,2373,36,N,,VBM PORTION,113,65,57,17,
SANTA CLARITA,6220047A,2373,36,N,1050,TOTAL,354,196,155,80,
SANTA CLARITA,6220049A,2374,44,N,971,POLLING PLACE,219,115,90,33,
SANTA CLARITA,6220049A,2374,44,N,,VBM PORTION,95,55,54,17,
SANTA CLARITA,6220049A,2374,44,N,971,TOTAL,314,170,144,50,
SANTA CLARITA,6220051A,2375,44,N,950,POLLING PLACE,163,95,70,33,
SANTA CLARITA,6220051A,2375,44,N,,VBM PORTION,107,56,60,24,
SANTA CLARITA,6220051A,2375,44,N,950,TOTAL,270,151,130,57,
SANTA CLARITA,6220052A,2376,44,N,682,POLLING PLACE,188,104,79,27,
SANTA CLARITA,6220052A,2376,44,N,,VBM PORTION,53,30,28,10,
SANTA CLARITA,6220052A,2376,44,N,682,TOTAL,241,134,107,37,
SANTA CLARITA,6220053A,2377,44,N,1056,POLLING PLACE,224,131,109,31,
SANTA CLARITA,6220053A,2377,44,N,,VBM PORTION,93,51,46,15,
SANTA CLARITA,6220053A,2377,44,N,1056,TOTAL,317,182,155,46,
SANTA CLARITA,6220054A,2378,44,N,1030,POLLING PLACE,259,149,117,40,
SANTA CLARITA,6220054A,2378,44,N,,VBM PORTION,83,53,41,18,
SANTA CLARITA,6220054A,2378,44,N,1030,TOTAL,342,202,158,58,
SANTA CLARITA,6220055A,2379,44,N,1163,POLLING PLACE,225,126,91,51,
SANTA CLARITA,6220055A,2379,44,N,,VBM PORTION,110,61,39,12,
SANTA CLARITA,6220055A,2379,44,N,1163,TOTAL,335,187,130,63,
SANTA CLARITA,6220058A,6208,37,Y,228,POLLING PLACE,,,,,
SANTA CLARITA,6220058A,6208,37,Y,,VBM PORTION,38,22,13,11,
SANTA CLARITA,6220058A,6208,37,Y,228,TOTAL,38,22,13,11,
SANTA CLARITA,6220059E,2380,44,N,1037,POLLING PLACE,224,133,91,48,
SANTA CLARITA,6220059E,2380,44,N,,VBM PORTION,88,51,36,9,
SANTA CLARITA,6220059E,2380,44,N,1037,TOTAL,312,184,127,57,
SANTA CLARITA,6220061A,2381,37,N,1275,POLLING PLACE,326,173,127,81,
SANTA CLARITA,6220061A,2381,37,N,,VBM PORTION,96,56,45,23,
SANTA CLARITA,6220061A,2381,37,N,1275,TOTAL,422,229,172,104,
SANTA CLARITA,6220063A,2382,44,N,1309,POLLING PLACE,236,126,83,45,
SANTA CLARITA,6220063A,2382,44,N,,VBM PORTION,114,59,51,23,
SANTA CLARITA,6220063A,2382,44,N,1309,TOTAL,350,185,134,68,
SANTA CLARITA,6220064B,2383,37,N,635,POLLING PLACE,138,80,60,31,
SANTA CLARITA,6220064B,2383,37,N,,VBM PORTION,76,47,35,15,
SANTA CLARITA,6220064B,2383,37,N,635,TOTAL,214,127,95,46,
SANTA CLARITA,6220065A,2384,37,N,1186,POLLING PLACE,235,124,98,59,
SANTA CLARITA,6220065A,2384,37,N,,VBM PORTION,103,61,50,23,
SANTA CLARITA,6220065A,2384,37,N,1186,TOTAL,338,185,148,82,
SANTA CLARITA,6220067A,2385,37,N,1222,POLLING PLACE,209,119,85,40,
SANTA CLARITA,6220067A,2385,37,N,,VBM PORTION,106,69,61,25,
SANTA CLARITA,6220067A,2385,37,N,1222,TOTAL,315,188,146,65,
SANTA CLARITA,6220069A,2386,37,N,1250,POLLING PLACE,237,119,89,62,
SANTA CLARITA,6220069A,2386,37,N,,VBM PORTION,66,38,36,14,
SANTA CLARITA,6220069A,2386,37,N,1250,TOTAL,303,157,125,76,
SANTA CLARITA,6220071A,2387,36,N,777,POLLING PLACE,160,88,74,35,
SANTA CLARITA,6220071A,2387,36,N,,VBM PORTION,77,41,39,14,
SANTA CLARITA,6220071A,2387,36,N,777,TOTAL,237,129,113,49,
SANTA CLARITA,6220073A,2388,36,N,1045,POLLING PLACE,147,82,57,45,
SANTA CLARITA,6220073A,2388,36,N,,VBM PORTION,73,45,40,12,
SANTA CLARITA,6220073A,2388,36,N,1045,TOTAL,220,127,97,57,
SANTA CLARITA,6220074A,2389,36,N,1143,POLLING PLACE,210,98,85,58,
SANTA CLARITA,6220074A,2389,36,N,,VBM PORTION,73,41,37,17,
SANTA CLARITA,6220074A,2389,36,N,1143,TOTAL,283,139,122,75,
SANTA CLARITA,6220076A,2390,36,N,1382,POLLING PLACE,384,202,167,88,
SANTA CLARITA,6220076A,2390,36,N,,VBM PORTION,340,194,163,70,
SANTA CLARITA,6220076A,2390,36,N,1382,TOTAL,724,396,330,158,
SANTA CLARITA,6220078A,2391,40,N,872,POLLING PLACE,145,71,53,40,
SANTA CLARITA,6220078A,2391,40,N,,VBM PORTION,59,31,33,13,
SANTA CLARITA,6220078A,2391,40,N,872,TOTAL,204,102,86,53,
SANTA CLARITA,6220080A,2392,36,N,1165,POLLING PLACE,219,105,99,69,
SANTA CLARITA,6220080A,2392,36,N,,VBM PORTION,111,48,51,27,
SANTA CLARITA,6220080A,2392,36,N,1165,TOTAL,330,153,150,96,
SANTA CLARITA,6220081A,2393,36,N,1032,POLLING PLACE,194,101,83,45,
SANTA CLARITA,6220081A,2393,36,N,,VBM PORTION,107,50,39,27,
SANTA CLARITA,6220081A,2393,36,N,1032,TOTAL,301,151,122,72,
SANTA CLARITA,6220081C,6209,37,Y,185,POLLING PLACE,,,,,
SANTA CLARITA,6220081C,6209,37,Y,,VBM PORTION,34,20,15,10,
SANTA CLARITA,6220081C,6209,37,Y,185,TOTAL,34,20,15,10,
SANTA CLARITA,6220083A,2394,36,N,851,POLLING PLACE,82,43,30,20,
SANTA CLARITA,6220083A,2394,36,N,,VBM PORTION,61,36,42,6,
SANTA CLARITA,6220083A,2394,36,N,851,TOTAL,143,79,72,26,
SANTA CLARITA,6220086A,2395,36,N,1245,POLLING PLACE,188,114,90,30,
SANTA CLARITA,6220086A,2395,36,N,,VBM PORTION,68,33,34,12,
SANTA CLARITA,6220086A,2395,36,N,1245,TOTAL,256,147,124,42,
SANTA CLARITA,6220087A,2396,40,N,931,POLLING PLACE,192,111,95,20,
SANTA CLARITA,6220087A,2396,40,N,,VBM PORTION,121,70,52,18,
SANTA CLARITA,6220087A,2396,40,N,931,TOTAL,313,181,147,38,
SANTA CLARITA,6220088A,2397,36,N,849,POLLING PLACE,165,83,70,36,
SANTA CLARITA,6220088A,2397,36,N,,VBM PORTION,94,57,45,23,
SANTA CLARITA,6220088A,2397,36,N,849,TOTAL,259,140,115,59,
SANTA CLARITA,6220090A,2398,36,N,911,POLLING PLACE,218,124,97,28,
SANTA CLARITA,6220090A,2398,36,N,,VBM PORTION,135,78,70,15,
SANTA CLARITA,6220090A,2398,36,N,911,TOTAL,353,202,167,43,
SANTA CLARITA,6220091A,2399,36,N,901,POLLING PLACE,230,120,111,26,
SANTA CLARITA,6220091A,2399,36,N,,VBM PORTION,83,50,42,16,
SANTA CLARITA,6220091A,2399,36,N,901,TOTAL,313,170,153,42,
SANTA CLARITA,6220093A,2400,39,N,970,POLLING PLACE,192,99,83,45,
SANTA CLARITA,6220093A,2400,39,N,,VBM PORTION,143,76,73,26,
SANTA CLARITA,6220093A,2400,39,N,970,TOTAL,335,175,156,71,
SANTA CLARITA,6220094A,2401,37,N,869,POLLING PLACE,125,72,60,34,
SANTA CLARITA,6220094A,2401,37,N,,VBM PORTION,56,34,32,13,
SANTA CLARITA,6220094A,2401,37,N,869,TOTAL,181,106,92,47,
SANTA CLARITA,6220096A,2402,37,N,1248,POLLING PLACE,245,119,89,64,
SANTA CLARITA,6220096A,2402,37,N,,VBM PORTION,80,52,36,20,
SANTA CLARITA,6220096A,2402,37,N,1248,TOTAL,325,171,125,84,
SANTA CLARITA,6220098B,2403,39,N,1320,POLLING PLACE,294,129,122,61,
SANTA CLARITA,6220098B,2403,39,N,,VBM PORTION,139,66,68,31,
SANTA CLARITA,6220098B,2403,39,N,1320,TOTAL,433,195,190,92,
SANTA CLARITA,6220101B,2404,39,N,1164,POLLING PLACE,243,125,109,60,
SANTA CLARITA,6220101B,2404,39,N,,VBM PORTION,148,87,79,26,
SANTA CLARITA,6220101B,2404,39,N,1164,TOTAL,391,212,188,86,
SANTA CLARITA,6220102A,2405,36,N,1240,POLLING PLACE,277,142,130,63,
SANTA CLARITA,6220102A,2405,36,N,,VBM PORTION,111,59,50,29,
SANTA CLARITA,6220102A,2405,36,N,1240,TOTAL,388,201,180,92,
SANTA CLARITA,6220103A,2406,39,N,844,POLLING PLACE,180,110,93,31,
SANTA CLARITA,6220103A,2406,39,N,,VBM PORTION,154,83,82,29,
SANTA CLARITA,6220103A,2406,39,N,844,TOTAL,334,193,175,60,
SANTA CLARITA,6220105A,2407,36,N,828,POLLING PLACE,185,107,82,38,
SANTA CLARITA,6220105A,2407,36,N,,VBM PORTION,84,43,34,20,
SANTA CLARITA,6220105A,2407,36,N,828,TOTAL,269,150,116,58,
SANTA CLARITA,6220106A,2408,36,N,988,POLLING PLACE,237,123,117,56,
SANTA CLARITA,6220106A,2408,36,N,,VBM PORTION,85,45,52,16,
SANTA CLARITA,6220106A,2408,36,N,988,TOTAL,322,168,169,72,
SANTA CLARITA,6220107A,2409,36,N,1316,POLLING PLACE,260,139,110,57,
SANTA CLARITA,6220107A,2409,36,N,,VBM PORTION,124,78,65,17,
SANTA CLARITA,6220107A,2409,36,N,1316,TOTAL,384,217,175,74,
SANTA CLARITA,6220108A,2410,36,N,878,POLLING PLACE,159,81,87,43,
SANTA CLARITA,6220108A,2410,36,N,,VBM PORTION,74,47,42,19,
SANTA CLARITA,6220108A,2410,36,N,878,TOTAL,233,128,129,62,
SANTA CLARITA,6220109A,2411,39,N,1408,POLLING PLACE,206,103,96,47,
SANTA CLARITA,6220109A,2411,39,N,,VBM PORTION,213,112,112,38,
SANTA CLARITA,6220109A,2411,39,N,1408,TOTAL,419,215,208,85,
SANTA CLARITA,6220113A,2412,36,N,805,POLLING PLACE,202,111,86,57,
SANTA CLARITA,6220113A,2412,36,N,,VBM PORTION,86,46,45,20,
SANTA CLARITA,6220113A,2412,36,N,805,TOTAL,288,157,131,77,
SANTA CLARITA,6220114A,2413,37,N,1199,POLLING PLACE,189,106,97,32,
SANTA CLARITA,6220114A,2413,37,N,,VBM PORTION,100,63,62,19,
SANTA CLARITA,6220114A,2413,37,N,1199,TOTAL,289,169,159,51,
SANTA CLARITA,6220115A,2414,44,N,980,POLLING PLACE,227,142,95,32,
SANTA CLARITA,6220115A,2414,44,N,,VBM PORTION,66,40,30,23,
SANTA CLARITA,6220115A,2414,44,N,980,TOTAL,293,182,125,55,
SANTA CLARITA,6220116A,2415,44,N,1048,POLLING PLACE,206,128,107,31,
SANTA CLARITA,6220116A,2415,44,N,,VBM PORTION,93,59,56,17,
SANTA CLARITA,6220116A,2415,44,N,1048,TOTAL,299,187,163,48,
SANTA CLARITA,6220118A,2416,40,N,708,POLLING PLACE,60,28,22,14,
SANTA CLARITA,6220118A,2416,40,N,,VBM PORTION,49,23,21,12,
SANTA CLARITA,6220118A,2416,40,N,708,TOTAL,109,51,43,26,
SANTA CLARITA,6220126A,2417,40,N,1087,POLLING PLACE,161,71,50,38,
SANTA CLARITA,6220126A,2417,40,N,,VBM PORTION,100,53,48,22,
SANTA CLARITA,6220126A,2417,40,N,1087,TOTAL,261,124,98,60,
SANTA CLARITA,6220127A,2418,40,N,625,POLLING PLACE,99,47,44,19,
SANTA CLARITA,6220127A,2418,40,N,,VBM PORTION,48,25,26,10,
SANTA CLARITA,6220127A,2418,40,N,625,TOTAL,147,72,70,29,
SANTA CLARITA,6220127B,6210,43,Y,,POLLING PLACE,,,,,
SANTA CLARITA,6220127B,6210,43,Y,,VBM PORTION,,,,,
SANTA CLARITA,6220127B,6210,43,Y,,TOTAL,,,,,
SANTA CLARITA,6220127D,6211,44,Y,,POLLING PLACE,,,,,
SANTA CLARITA,6220127D,6211,44,Y,,VBM PORTION,,,,,
SANTA CLARITA,6220127D,6211,44,Y,,TOTAL,,,,,
SANTA CLARITA,6220127R,6212,39,Y,1,POLLING PLACE,,,,,
SANTA CLARITA,6220127R,6212,39,Y,,VBM PORTION,1,,,1,
SANTA CLARITA,6220127R,6212,39,Y,1,TOTAL,1,,,1,
SANTA CLARITA,6220132A,2419,39,N,561,POLLING PLACE,132,70,61,23,
SANTA CLARITA,6220132A,2419,39,N,,VBM PORTION,64,41,41,10,
SANTA CLARITA,6220132A,2419,39,N,561,TOTAL,196,111,102,33,
SANTA CLARITA,6220135A,2420,40,N,878,POLLING PLACE,165,104,83,35,
SANTA CLARITA,6220135A,2420,40,N,,VBM PORTION,99,60,56,24,
SANTA CLARITA,6220135A,2420,40,N,878,TOTAL,264,164,139,59,
SANTA CLARITA,6220136A,2421,40,N,1243,POLLING PLACE,278,134,111,50,
SANTA CLARITA,6220136A,2421,40,N,,VBM PORTION,124,75,69,15,
SANTA CLARITA,6220136A,2421,40,N,1243,TOTAL,402,209,180,65,
SANTA CLARITA,6220139A,2422,40,N,1197,POLLING PLACE,170,78,57,46,
SANTA CLARITA,6220139A,2422,40,N,,VBM PORTION,132,79,64,27,
SANTA CLARITA,6220139A,2422,40,N,1197,TOTAL,302,157,121,73,
SANTA CLARITA,6220141A,2423,37,N,779,POLLING PLACE,184,102,71,38,
SANTA CLARITA,6220141A,2423,37,N,,VBM PORTION,76,49,36,15,
SANTA CLARITA,6220141A,2423,37,N,779,TOTAL,260,151,107,53,
SANTA CLARITA,6220142A,2424,36,N,1236,POLLING PLACE,223,142,102,40,
SANTA CLARITA,6220142A,2424,36,N,,VBM PORTION,89,56,42,28,
