LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MIGUEL SANTIAGO,SANDRA MENDOZA,
LOS ANGELES,9000957C,3510,214,N,,VBM PORTION,91,61,20,
LOS ANGELES,9000957C,3510,214,N,1195,TOTAL,260,157,69,
LOS ANGELES,9000971A,3517,214,N,446,POLLING PLACE,56,39,12,
LOS ANGELES,9000971A,3517,214,N,,VBM PORTION,25,14,10,
LOS ANGELES,9000971A,3517,214,N,446,TOTAL,81,53,22,
LOS ANGELES,9000989A,3520,214,N,971,POLLING PLACE,112,62,29,
LOS ANGELES,9000989A,3520,214,N,,VBM PORTION,51,38,10,
LOS ANGELES,9000989A,3520,214,N,971,TOTAL,163,100,39,
LOS ANGELES,9000999A,3525,214,N,1177,POLLING PLACE,189,111,52,
LOS ANGELES,9000999A,3525,214,N,,VBM PORTION,91,51,23,
LOS ANGELES,9000999A,3525,214,N,1177,TOTAL,280,162,75,
LOS ANGELES,9001000A,3526,217,N,673,POLLING PLACE,90,53,30,
LOS ANGELES,9001000A,3526,217,N,,VBM PORTION,46,21,19,
LOS ANGELES,9001000A,3526,217,N,673,TOTAL,136,74,49,
LOS ANGELES,9001000C,3527,217,N,631,POLLING PLACE,86,53,29,
LOS ANGELES,9001000C,3527,217,N,,VBM PORTION,20,8,11,
LOS ANGELES,9001000C,3527,217,N,631,TOTAL,106,61,40,
LOS ANGELES,9001008A,3532,214,N,1099,POLLING PLACE,180,111,48,
LOS ANGELES,9001008A,3532,214,N,,VBM PORTION,60,31,15,
LOS ANGELES,9001008A,3532,214,N,1099,TOTAL,240,142,63,
LOS ANGELES,9001009A,3533,214,N,589,POLLING PLACE,82,46,22,
LOS ANGELES,9001009A,3533,214,N,,VBM PORTION,46,30,9,
LOS ANGELES,9001009A,3533,214,N,589,TOTAL,128,76,31,
LOS ANGELES,9001047B,3555,214,N,1050,POLLING PLACE,186,83,86,
LOS ANGELES,9001047B,3555,214,N,,VBM PORTION,59,35,16,
LOS ANGELES,9001047B,3555,214,N,1050,TOTAL,245,118,102,
LOS ANGELES,9001069A,3565,214,N,778,POLLING PLACE,104,45,35,
LOS ANGELES,9001069A,3565,214,N,,VBM PORTION,36,22,10,
LOS ANGELES,9001069A,3565,214,N,778,TOTAL,140,67,45,
LOS ANGELES,9001097A,3582,216,N,1335,POLLING PLACE,207,122,58,
LOS ANGELES,9001097A,3582,216,N,,VBM PORTION,153,77,45,
LOS ANGELES,9001097A,3582,216,N,1335,TOTAL,360,199,103,
LOS ANGELES,9001098B,3583,214,N,347,POLLING PLACE,59,29,26,
LOS ANGELES,9001098B,3583,214,N,,VBM PORTION,12,8,3,
LOS ANGELES,9001098B,3583,214,N,347,TOTAL,71,37,29,
LOS ANGELES,9001183A,3617,216,N,985,POLLING PLACE,151,77,51,
LOS ANGELES,9001183A,3617,216,N,,VBM PORTION,32,14,12,
LOS ANGELES,9001183A,3617,216,N,985,TOTAL,183,91,63,
LOS ANGELES,9001288A,3657,216,N,859,POLLING PLACE,127,68,37,
LOS ANGELES,9001288A,3657,216,N,,VBM PORTION,97,57,21,
LOS ANGELES,9001288A,3657,216,N,859,TOTAL,224,125,58,
LOS ANGELES,9001309A,3665,214,N,1015,POLLING PLACE,155,95,47,
LOS ANGELES,9001309A,3665,214,N,,VBM PORTION,92,69,14,
LOS ANGELES,9001309A,3665,214,N,1015,TOTAL,247,164,61,
LOS ANGELES,9001348A,3687,216,N,735,POLLING PLACE,83,54,22,
LOS ANGELES,9001348A,3687,216,N,,VBM PORTION,49,28,12,
LOS ANGELES,9001348A,3687,216,N,735,TOTAL,132,82,34,
LOS ANGELES,9001370A,3698,216,N,569,POLLING PLACE,25,19,5,
LOS ANGELES,9001370A,3698,216,N,,VBM PORTION,5,2,3,
LOS ANGELES,9001370A,3698,216,N,569,TOTAL,30,21,8,
LOS ANGELES,9001370B,3699,216,N,741,POLLING PLACE,13,2,6,
LOS ANGELES,9001370B,3699,216,N,,VBM PORTION,3,2,1,
LOS ANGELES,9001370B,3699,216,N,741,TOTAL,16,4,7,
LOS ANGELES,9001407B,3709,216,N,901,POLLING PLACE,57,33,19,
LOS ANGELES,9001407B,3709,216,N,,VBM PORTION,46,24,14,
LOS ANGELES,9001407B,3709,216,N,901,TOTAL,103,57,33,
LOS ANGELES,9001410A,3711,214,N,1072,POLLING PLACE,109,64,34,
LOS ANGELES,9001410A,3711,214,N,,VBM PORTION,35,14,16,
LOS ANGELES,9001410A,3711,214,N,1072,TOTAL,144,78,50,
LOS ANGELES,9001469A,3742,214,N,953,POLLING PLACE,154,83,57,
LOS ANGELES,9001469A,3742,214,N,,VBM PORTION,28,21,7,
LOS ANGELES,9001469A,3742,214,N,953,TOTAL,182,104,64,
LOS ANGELES,9001499A,3757,214,N,1176,POLLING PLACE,221,151,51,
LOS ANGELES,9001499A,3757,214,N,,VBM PORTION,72,48,15,
LOS ANGELES,9001499A,3757,214,N,1176,TOTAL,293,199,66,
LOS ANGELES,9001537A,3767,214,N,809,POLLING PLACE,97,53,35,
LOS ANGELES,9001537A,3767,214,N,,VBM PORTION,51,30,13,
LOS ANGELES,9001537A,3767,214,N,809,TOTAL,148,83,48,
LOS ANGELES,9001541A,3768,212,N,1282,POLLING PLACE,205,112,70,
LOS ANGELES,9001541A,3768,212,N,,VBM PORTION,101,57,27,
LOS ANGELES,9001541A,3768,212,N,1282,TOTAL,306,169,97,
LOS ANGELES,9001543A,3770,214,N,289,POLLING PLACE,49,34,9,
LOS ANGELES,9001543A,3770,214,N,,VBM PORTION,8,5,2,
LOS ANGELES,9001543A,3770,214,N,289,TOTAL,57,39,11,
LOS ANGELES,9001551A,3775,214,N,974,POLLING PLACE,121,70,36,
LOS ANGELES,9001551A,3775,214,N,,VBM PORTION,56,40,11,
LOS ANGELES,9001551A,3775,214,N,974,TOTAL,177,110,47,
LOS ANGELES,9001590A,3797,214,N,699,POLLING PLACE,101,51,37,
LOS ANGELES,9001590A,3797,214,N,,VBM PORTION,38,19,12,
LOS ANGELES,9001590A,3797,214,N,699,TOTAL,139,70,49,
LOS ANGELES,9001592A,3799,214,N,402,POLLING PLACE,63,35,22,
LOS ANGELES,9001592A,3799,214,N,,VBM PORTION,30,25,4,
LOS ANGELES,9001592A,3799,214,N,402,TOTAL,93,60,26,
LOS ANGELES,9001621A,3808,212,N,1217,POLLING PLACE,430,203,122,
LOS ANGELES,9001621A,3808,212,N,,VBM PORTION,84,37,16,
LOS ANGELES,9001621A,3808,212,N,1217,TOTAL,514,240,138,
LOS ANGELES,9001624A,3811,212,N,1075,POLLING PLACE,210,108,75,
LOS ANGELES,9001624A,3811,212,N,,VBM PORTION,81,37,23,
LOS ANGELES,9001624A,3811,212,N,1075,TOTAL,291,145,98,
LOS ANGELES,9001628A,3812,214,N,959,POLLING PLACE,162,90,48,
LOS ANGELES,9001628A,3812,214,N,,VBM PORTION,59,32,19,
LOS ANGELES,9001628A,3812,214,N,959,TOTAL,221,122,67,
LOS ANGELES,9001631A,3814,214,N,989,POLLING PLACE,159,89,50,
LOS ANGELES,9001631A,3814,214,N,,VBM PORTION,73,39,24,
LOS ANGELES,9001631A,3814,214,N,989,TOTAL,232,128,74,
LOS ANGELES,9001632B,3815,214,N,1020,POLLING PLACE,176,95,53,
LOS ANGELES,9001632B,3815,214,N,,VBM PORTION,57,39,8,
LOS ANGELES,9001632B,3815,214,N,1020,TOTAL,233,134,61,
LOS ANGELES,9001635B,3816,214,N,1141,POLLING PLACE,164,84,58,
LOS ANGELES,9001635B,3816,214,N,,VBM PORTION,72,41,20,
LOS ANGELES,9001635B,3816,214,N,1141,TOTAL,236,125,78,
LOS ANGELES,9001656C,3819,214,N,762,POLLING PLACE,117,57,49,
LOS ANGELES,9001656C,3819,214,N,,VBM PORTION,45,23,12,
LOS ANGELES,9001656C,3819,214,N,762,TOTAL,162,80,61,
LOS ANGELES,9001668A,3824,214,N,1231,POLLING PLACE,152,89,50,
LOS ANGELES,9001668A,3824,214,N,,VBM PORTION,96,52,28,
LOS ANGELES,9001668A,3824,214,N,1231,TOTAL,248,141,78,
LOS ANGELES,9001678A,3825,214,N,1032,POLLING PLACE,173,103,55,
LOS ANGELES,9001678A,3825,214,N,,VBM PORTION,81,43,25,
LOS ANGELES,9001678A,3825,214,N,1032,TOTAL,254,146,80,
LOS ANGELES,9001685A,3827,214,N,1049,POLLING PLACE,119,72,33,
LOS ANGELES,9001685A,3827,214,N,,VBM PORTION,78,36,34,
LOS ANGELES,9001685A,3827,214,N,1049,TOTAL,197,108,67,
LOS ANGELES,9001693A,3830,214,N,657,POLLING PLACE,80,45,21,
LOS ANGELES,9001693A,3830,214,N,,VBM PORTION,50,26,14,
LOS ANGELES,9001693A,3830,214,N,657,TOTAL,130,71,35,
LOS ANGELES,9001704C,3833,214,N,1300,POLLING PLACE,94,53,29,
LOS ANGELES,9001704C,3833,214,N,,VBM PORTION,101,50,30,
LOS ANGELES,9001704C,3833,214,N,1300,TOTAL,195,103,59,
LOS ANGELES,9001714A,3840,212,N,1013,POLLING PLACE,214,104,76,
LOS ANGELES,9001714A,3840,212,N,,VBM PORTION,66,29,21,
LOS ANGELES,9001714A,3840,212,N,1013,TOTAL,280,133,97,
LOS ANGELES,9001721A,3844,214,N,992,POLLING PLACE,165,102,53,
LOS ANGELES,9001721A,3844,214,N,,VBM PORTION,37,21,8,
LOS ANGELES,9001721A,3844,214,N,992,TOTAL,202,123,61,
LOS ANGELES,9001738A,3852,214,N,642,POLLING PLACE,92,57,28,
LOS ANGELES,9001738A,3852,214,N,,VBM PORTION,59,36,13,
LOS ANGELES,9001738A,3852,214,N,642,TOTAL,151,93,41,
LOS ANGELES,9001739A,3853,217,N,1154,POLLING PLACE,226,133,65,
LOS ANGELES,9001739A,3853,217,N,,VBM PORTION,34,21,11,
LOS ANGELES,9001739A,3853,217,N,1154,TOTAL,260,154,76,
LOS ANGELES,9001742A,3854,214,N,971,POLLING PLACE,107,52,42,
LOS ANGELES,9001742A,3854,214,N,,VBM PORTION,45,17,17,
LOS ANGELES,9001742A,3854,214,N,971,TOTAL,152,69,59,
LOS ANGELES,9001781B,3873,214,N,1195,POLLING PLACE,242,117,101,
LOS ANGELES,9001781B,3873,214,N,,VBM PORTION,44,18,21,
LOS ANGELES,9001781B,3873,214,N,1195,TOTAL,286,135,122,
LOS ANGELES,9001791A,3881,210,N,811,POLLING PLACE,149,90,46,
LOS ANGELES,9001791A,3881,210,N,,VBM PORTION,33,19,11,
LOS ANGELES,9001791A,3881,210,N,811,TOTAL,182,109,57,
LOS ANGELES,9001798A,3884,211,N,652,POLLING PLACE,119,73,36,
LOS ANGELES,9001798A,3884,211,N,,VBM PORTION,22,13,7,
LOS ANGELES,9001798A,3884,211,N,652,TOTAL,141,86,43,
LOS ANGELES,9001801B,3886,214,N,1167,POLLING PLACE,171,79,86,
LOS ANGELES,9001801B,3886,214,N,,VBM PORTION,74,28,29,
LOS ANGELES,9001801B,3886,214,N,1167,TOTAL,245,107,115,
LOS ANGELES,9001804A,3887,211,N,1185,POLLING PLACE,215,115,81,
LOS ANGELES,9001804A,3887,211,N,,VBM PORTION,42,24,13,
LOS ANGELES,9001804A,3887,211,N,1185,TOTAL,257,139,94,
LOS ANGELES,9001810A,3890,214,N,994,POLLING PLACE,144,81,50,
LOS ANGELES,9001810A,3890,214,N,,VBM PORTION,41,22,17,
LOS ANGELES,9001810A,3890,214,N,994,TOTAL,185,103,67,
LOS ANGELES,9001814A,3891,214,N,984,POLLING PLACE,125,69,43,
LOS ANGELES,9001814A,3891,214,N,,VBM PORTION,48,33,8,
LOS ANGELES,9001814A,3891,214,N,984,TOTAL,173,102,51,
LOS ANGELES,9001846A,3899,214,N,1125,POLLING PLACE,160,92,60,
LOS ANGELES,9001846A,3899,214,N,,VBM PORTION,38,15,23,
LOS ANGELES,9001846A,3899,214,N,1125,TOTAL,198,107,83,
LOS ANGELES,9001851A,3900,214,N,861,POLLING PLACE,129,74,50,
LOS ANGELES,9001851A,3900,214,N,,VBM PORTION,33,22,5,
LOS ANGELES,9001851A,3900,214,N,861,TOTAL,162,96,55,
LOS ANGELES,9001854A,3901,214,N,543,POLLING PLACE,100,54,35,
LOS ANGELES,9001854A,3901,214,N,,VBM PORTION,18,10,6,
LOS ANGELES,9001854A,3901,214,N,543,TOTAL,118,64,41,
LOS ANGELES,9001855A,3902,214,N,1045,POLLING PLACE,149,90,47,
LOS ANGELES,9001855A,3902,214,N,,VBM PORTION,23,15,5,
LOS ANGELES,9001855A,3902,214,N,1045,TOTAL,172,105,52,
LOS ANGELES,9001856A,3903,214,N,626,POLLING PLACE,111,59,46,
LOS ANGELES,9001856A,3903,214,N,,VBM PORTION,13,5,8,
LOS ANGELES,9001856A,3903,214,N,626,TOTAL,124,64,54,
LOS ANGELES,9001859A,3905,214,N,1128,POLLING PLACE,250,137,86,
LOS ANGELES,9001859A,3905,214,N,,VBM PORTION,35,13,21,
LOS ANGELES,9001859A,3905,214,N,1128,TOTAL,285,150,107,
LOS ANGELES,9001862C,3907,214,N,616,POLLING PLACE,2,,2,
LOS ANGELES,9001862C,3907,214,N,,VBM PORTION,18,6,11,
LOS ANGELES,9001862C,3907,214,N,616,TOTAL,20,6,13,
LOS ANGELES,9001875A,3909,214,N,928,POLLING PLACE,167,94,59,
LOS ANGELES,9001875A,3909,214,N,,VBM PORTION,58,34,13,
LOS ANGELES,9001875A,3909,214,N,928,TOTAL,225,128,72,
LOS ANGELES,9001889A,3913,214,N,810,POLLING PLACE,112,71,32,
LOS ANGELES,9001889A,3913,214,N,,VBM PORTION,62,45,9,
LOS ANGELES,9001889A,3913,214,N,810,TOTAL,174,116,41,
LOS ANGELES,9001890A,3914,214,N,810,POLLING PLACE,152,83,57,
LOS ANGELES,9001890A,3914,214,N,,VBM PORTION,66,48,14,
LOS ANGELES,9001890A,3914,214,N,810,TOTAL,218,131,71,
LOS ANGELES,9001891A,3915,214,N,1034,POLLING PLACE,212,110,73,
LOS ANGELES,9001891A,3915,214,N,,VBM PORTION,49,26,20,
LOS ANGELES,9001891A,3915,214,N,1034,TOTAL,261,136,93,
LOS ANGELES,9001895A,3918,214,N,1058,POLLING PLACE,164,91,60,
LOS ANGELES,9001895A,3918,214,N,,VBM PORTION,60,38,17,
LOS ANGELES,9001895A,3918,214,N,1058,TOTAL,224,129,77,
LOS ANGELES,9001899A,3919,214,N,619,POLLING PLACE,112,64,39,
LOS ANGELES,9001899A,3919,214,N,,VBM PORTION,19,9,8,
LOS ANGELES,9001899A,3919,214,N,619,TOTAL,131,73,47,
LOS ANGELES,9001904A,3921,214,N,1075,POLLING PLACE,174,86,82,
LOS ANGELES,9001904A,3921,214,N,,VBM PORTION,37,20,15,
LOS ANGELES,9001904A,3921,214,N,1075,TOTAL,211,106,97,
LOS ANGELES,9001905A,3922,214,N,1102,POLLING PLACE,212,105,94,
LOS ANGELES,9001905A,3922,214,N,,VBM PORTION,28,21,5,
LOS ANGELES,9001905A,3922,214,N,1102,TOTAL,240,126,99,
LOS ANGELES,9001910C,6288,213,Y,,POLLING PLACE,,,,
LOS ANGELES,9001910C,6288,213,Y,,VBM PORTION,,,,
LOS ANGELES,9001910C,6288,213,Y,,TOTAL,,,,
LOS ANGELES,9001910H,3924,214,N,994,POLLING PLACE,204,113,75,
LOS ANGELES,9001910H,3924,214,N,,VBM PORTION,26,12,14,
LOS ANGELES,9001910H,3924,214,N,994,TOTAL,230,125,89,
LOS ANGELES,9002001A,3959,214,N,1032,POLLING PLACE,122,78,36,
LOS ANGELES,9002001A,3959,214,N,,VBM PORTION,49,28,17,
LOS ANGELES,9002001A,3959,214,N,1032,TOTAL,171,106,53,
LOS ANGELES,9002001B,3960,214,N,479,POLLING PLACE,71,37,31,
LOS ANGELES,9002001B,3960,214,N,,VBM PORTION,22,13,7,
LOS ANGELES,9002001B,3960,214,N,479,TOTAL,93,50,38,
LOS ANGELES,9002012B,3964,214,N,1095,POLLING PLACE,169,97,49,
LOS ANGELES,9002012B,3964,214,N,,VBM PORTION,66,42,15,
LOS ANGELES,9002012B,3964,214,N,1095,TOTAL,235,139,64,
LOS ANGELES,9002017A,3965,214,N,1129,POLLING PLACE,195,104,63,
LOS ANGELES,9002017A,3965,214,N,,VBM PORTION,49,28,19,
LOS ANGELES,9002017A,3965,214,N,1129,TOTAL,244,132,82,
LOS ANGELES,9002057A,3985,215,N,379,POLLING PLACE,46,33,9,
LOS ANGELES,9002057A,3985,215,N,,VBM PORTION,17,11,4,
LOS ANGELES,9002057A,3985,215,N,379,TOTAL,63,44,13,
LOS ANGELES,9002089A,4001,216,N,1022,POLLING PLACE,64,33,19,
LOS ANGELES,9002089A,4001,216,N,,VBM PORTION,22,13,4,
LOS ANGELES,9002089A,4001,216,N,1022,TOTAL,86,46,23,
LOS ANGELES,9002099A,4008,214,N,1085,POLLING PLACE,193,132,52,
LOS ANGELES,9002099A,4008,214,N,,VBM PORTION,41,29,9,
LOS ANGELES,9002099A,4008,214,N,1085,TOTAL,234,161,61,
LOS ANGELES,9002108A,4014,214,N,778,POLLING PLACE,124,82,32,
LOS ANGELES,9002108A,4014,214,N,,VBM PORTION,39,22,10,
LOS ANGELES,9002108A,4014,214,N,778,TOTAL,163,104,42,
LOS ANGELES,9002122A,4020,214,N,1107,POLLING PLACE,150,99,41,
LOS ANGELES,9002122A,4020,214,N,,VBM PORTION,53,25,21,
LOS ANGELES,9002122A,4020,214,N,1107,TOTAL,203,124,62,
LOS ANGELES,9002146A,4036,214,N,1116,POLLING PLACE,198,125,55,
LOS ANGELES,9002146A,4036,214,N,,VBM PORTION,27,16,9,
LOS ANGELES,9002146A,4036,214,N,1116,TOTAL,225,141,64,
LOS ANGELES,9002155A,4040,216,N,1285,POLLING PLACE,122,64,36,
LOS ANGELES,9002155A,4040,216,N,,VBM PORTION,182,97,45,
LOS ANGELES,9002155A,4040,216,N,1285,TOTAL,304,161,81,
LOS ANGELES,9002158A,4043,214,N,1341,POLLING PLACE,242,134,79,
LOS ANGELES,9002158A,4043,214,N,,VBM PORTION,59,34,20,
LOS ANGELES,9002158A,4043,214,N,1341,TOTAL,301,168,99,
LOS ANGELES,9002364A,4135,216,N,660,POLLING PLACE,88,48,30,
LOS ANGELES,9002364A,4135,216,N,,VBM PORTION,9,7,2,
LOS ANGELES,9002364A,4135,216,N,660,TOTAL,97,55,32,
LOS ANGELES,9002543A,6305,217,Y,,POLLING PLACE,,,,
LOS ANGELES,9002543A,6305,217,Y,,VBM PORTION,,,,
LOS ANGELES,9002543A,6305,217,Y,,TOTAL,,,,
LOS ANGELES,9002545A,4211,216,N,496,POLLING PLACE,85,48,29,
LOS ANGELES,9002545A,4211,216,N,,VBM PORTION,8,3,4,
LOS ANGELES,9002545A,4211,216,N,496,TOTAL,93,51,33,
LOS ANGELES,9002547A,4212,216,N,1153,POLLING PLACE,240,139,44,
LOS ANGELES,9002547A,4212,216,N,,VBM PORTION,209,128,27,
LOS ANGELES,9002547A,4212,216,N,1153,TOTAL,449,267,71,
LOS ANGELES,9002557A,6306,217,Y,8,POLLING PLACE,,,,
LOS ANGELES,9002557A,6306,217,Y,,VBM PORTION,1,,1,
LOS ANGELES,9002557A,6306,217,Y,8,TOTAL,1,,1,
LOS ANGELES,9002625A,6316,217,Y,,POLLING PLACE,,,,
LOS ANGELES,9002625A,6316,217,Y,,VBM PORTION,,,,
LOS ANGELES,9002625A,6316,217,Y,,TOTAL,,,,
LOS ANGELES,9002629A,4238,210,N,398,POLLING PLACE,87,50,25,
LOS ANGELES,9002629A,4238,210,N,,VBM PORTION,29,12,9,
LOS ANGELES,9002629A,4238,210,N,398,TOTAL,116,62,34,
LOS ANGELES,9002638A,4244,211,N,588,POLLING PLACE,85,55,23,
LOS ANGELES,9002638A,4244,211,N,,VBM PORTION,27,12,13,
