LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEFFREY PRANG,JOHN MORRIS,
FLORENCE,2300008A,857,317,N,916,TOTAL,153,69,59,
FLORENCE,2300009A,858,317,N,709,POLLING PLACE,70,36,29,
FLORENCE,2300009A,858,317,N,,VBM PORTION,25,16,7,
FLORENCE,2300009A,858,317,N,709,TOTAL,95,52,36,
FLORENCE,2300010A,859,317,N,717,POLLING PLACE,64,31,25,
FLORENCE,2300010A,859,317,N,,VBM PORTION,15,6,7,
FLORENCE,2300010A,859,317,N,717,TOTAL,79,37,32,
FLORENCE,2300011A,860,317,N,747,POLLING PLACE,105,42,49,
FLORENCE,2300011A,860,317,N,,VBM PORTION,20,5,14,
FLORENCE,2300011A,860,317,N,747,TOTAL,125,47,63,
FLORENCE,2300012A,861,317,N,997,POLLING PLACE,124,66,39,
FLORENCE,2300012A,861,317,N,,VBM PORTION,32,17,13,
FLORENCE,2300012A,861,317,N,997,TOTAL,156,83,52,
FLORENCE,2300013A,862,317,N,741,POLLING PLACE,110,54,37,
FLORENCE,2300013A,862,317,N,,VBM PORTION,19,12,4,
FLORENCE,2300013A,862,317,N,741,TOTAL,129,66,41,
FLORENCE,2300016A,863,319,N,1029,POLLING PLACE,141,75,41,
FLORENCE,2300016A,863,319,N,,VBM PORTION,28,11,9,
FLORENCE,2300016A,863,319,N,1029,TOTAL,169,86,50,
FLORENCE,2300019A,864,319,N,788,POLLING PLACE,91,49,26,
FLORENCE,2300019A,864,319,N,,VBM PORTION,18,6,3,
FLORENCE,2300019A,864,319,N,788,TOTAL,109,55,29,
FLORENCE,2300025A,865,317,N,743,POLLING PLACE,79,42,26,
FLORENCE,2300025A,865,317,N,,VBM PORTION,11,4,5,
FLORENCE,2300025A,865,317,N,743,TOTAL,90,46,31,
FLORENCE,2300030A,866,319,N,981,POLLING PLACE,127,56,49,
FLORENCE,2300030A,866,319,N,,VBM PORTION,28,19,6,
FLORENCE,2300030A,866,319,N,981,TOTAL,155,75,55,
FLORENCE,2300034A,867,319,N,918,POLLING PLACE,65,37,20,
FLORENCE,2300034A,867,319,N,,VBM PORTION,12,7,3,
FLORENCE,2300034A,867,319,N,918,TOTAL,77,44,23,
FLORENCE,2300040A,868,319,N,945,POLLING PLACE,132,56,44,
FLORENCE,2300040A,868,319,N,,VBM PORTION,21,14,4,
FLORENCE,2300040A,868,319,N,945,TOTAL,153,70,48,
FLORENCE,2300041B,869,317,N,690,POLLING PLACE,116,57,44,
FLORENCE,2300041B,869,317,N,,VBM PORTION,13,7,3,
FLORENCE,2300041B,869,317,N,690,TOTAL,129,64,47,
FLORENCE,2300042A,870,319,N,927,POLLING PLACE,101,53,36,
FLORENCE,2300042A,870,319,N,,VBM PORTION,9,2,5,
FLORENCE,2300042A,870,319,N,927,TOTAL,110,55,41,
FLORENCE,2300043A,871,317,N,536,POLLING PLACE,68,24,28,
FLORENCE,2300043A,871,317,N,,VBM PORTION,17,8,5,
FLORENCE,2300043A,871,317,N,536,TOTAL,85,32,33,
FOOTHILL,2350002B,6076,85,Y,2,POLLING PLACE,,,,
FOOTHILL,2350002B,6076,85,Y,,VBM PORTION,,,,
FOOTHILL,2350002B,6076,85,Y,2,TOTAL,,,,
FOOTHILL,2350020A,6077,76,Y,58,POLLING PLACE,,,,
FOOTHILL,2350020A,6077,76,Y,,VBM PORTION,13,,8,
FOOTHILL,2350020A,6077,76,Y,58,TOTAL,13,,8,
FOOTHILL,2350021A,6078,88,Y,121,POLLING PLACE,,,,
FOOTHILL,2350021A,6078,88,Y,,VBM PORTION,33,9,9,
FOOTHILL,2350021A,6078,88,Y,121,TOTAL,33,9,9,
FOOTHILL,2350023A,6079,85,Y,,POLLING PLACE,,,,
FOOTHILL,2350023A,6079,85,Y,,VBM PORTION,,,,
FOOTHILL,2350023A,6079,85,Y,,TOTAL,,,,
FOOTHILL,2350024A,872,92,N,790,POLLING PLACE,163,57,65,
FOOTHILL,2350024A,872,92,N,,VBM PORTION,88,29,39,
FOOTHILL,2350024A,872,92,N,790,TOTAL,251,86,104,
FOOTHILL,2350026A,873,88,N,417,POLLING PLACE,109,20,50,
FOOTHILL,2350026A,873,88,N,,VBM PORTION,54,19,19,
FOOTHILL,2350026A,873,88,N,417,TOTAL,163,39,69,
FOOTHILL,2350026M,6080,85,Y,,POLLING PLACE,,,,
FOOTHILL,2350026M,6080,85,Y,,VBM PORTION,,,,
FOOTHILL,2350026M,6080,85,Y,,TOTAL,,,,
FOOTHILL,2350028A,6081,202,Y,141,POLLING PLACE,,,,
FOOTHILL,2350028A,6081,202,Y,,VBM PORTION,17,8,5,
FOOTHILL,2350028A,6081,202,Y,141,TOTAL,17,8,5,
FOOTHILL,2350029A,6082,202,Y,103,POLLING PLACE,,,,
FOOTHILL,2350029A,6082,202,Y,,VBM PORTION,10,2,8,
FOOTHILL,2350029A,6082,202,Y,103,TOTAL,10,2,8,
FOOTHILL,2350030A,6083,88,Y,227,POLLING PLACE,,,,
FOOTHILL,2350030A,6083,88,Y,,VBM PORTION,50,12,16,
FOOTHILL,2350030A,6083,88,Y,227,TOTAL,50,12,16,
FOOTHILL,2350031B,6084,75,Y,45,POLLING PLACE,,,,
FOOTHILL,2350031B,6084,75,Y,,VBM PORTION,10,1,6,
FOOTHILL,2350031B,6084,75,Y,45,TOTAL,10,1,6,
FRANKLIN,2400001A,6085,184,Y,2,POLLING PLACE,,,,
FRANKLIN,2400001A,6085,184,Y,,VBM PORTION,,,,
FRANKLIN,2400001A,6085,184,Y,2,TOTAL,,,,
GARDENA,2500001A,874,339,N,822,POLLING PLACE,242,161,56,
GARDENA,2500001A,874,339,N,,VBM PORTION,56,31,13,
GARDENA,2500001A,874,339,N,822,TOTAL,298,192,69,
GARDENA,2500002A,875,335,N,994,POLLING PLACE,295,201,50,
GARDENA,2500002A,875,335,N,,VBM PORTION,72,31,22,
GARDENA,2500002A,875,335,N,994,TOTAL,367,232,72,
GARDENA,2500003A,876,385,N,1018,POLLING PLACE,225,79,102,
GARDENA,2500003A,876,385,N,,VBM PORTION,90,43,29,
GARDENA,2500003A,876,385,N,1018,TOTAL,315,122,131,
GARDENA,2500005A,877,339,N,777,POLLING PLACE,185,126,45,
GARDENA,2500005A,877,339,N,,VBM PORTION,60,29,15,
GARDENA,2500005A,877,339,N,777,TOTAL,245,155,60,
GARDENA,2500007A,878,335,N,967,POLLING PLACE,242,151,58,
GARDENA,2500007A,878,335,N,,VBM PORTION,71,33,18,
GARDENA,2500007A,878,335,N,967,TOTAL,313,184,76,
GARDENA,2500008A,879,335,N,1106,POLLING PLACE,208,122,58,
GARDENA,2500008A,879,335,N,,VBM PORTION,93,39,35,
GARDENA,2500008A,879,335,N,1106,TOTAL,301,161,93,
GARDENA,2500010A,880,385,N,1075,POLLING PLACE,221,83,88,
GARDENA,2500010A,880,385,N,,VBM PORTION,93,40,31,
GARDENA,2500010A,880,385,N,1075,TOTAL,314,123,119,
GARDENA,2500012A,881,385,N,812,POLLING PLACE,106,39,53,
GARDENA,2500012A,881,385,N,,VBM PORTION,65,33,17,
GARDENA,2500012A,881,385,N,812,TOTAL,171,72,70,
GARDENA,2500013A,882,385,N,1363,POLLING PLACE,159,57,67,
GARDENA,2500013A,882,385,N,,VBM PORTION,97,42,32,
GARDENA,2500013A,882,385,N,1363,TOTAL,256,99,99,
GARDENA,2500016A,883,385,N,1177,POLLING PLACE,253,97,115,
GARDENA,2500016A,883,385,N,,VBM PORTION,115,48,37,
GARDENA,2500016A,883,385,N,1177,TOTAL,368,145,152,
GARDENA,2500018A,884,385,N,1253,POLLING PLACE,203,86,68,
GARDENA,2500018A,884,385,N,,VBM PORTION,110,42,39,
GARDENA,2500018A,884,385,N,1253,TOTAL,313,128,107,
GARDENA,2500019A,885,385,N,1420,POLLING PLACE,169,83,60,
GARDENA,2500019A,885,385,N,,VBM PORTION,113,51,31,
GARDENA,2500019A,885,385,N,1420,TOTAL,282,134,91,
GARDENA,2500020B,886,385,N,1586,POLLING PLACE,152,63,54,
GARDENA,2500020B,886,385,N,,VBM PORTION,78,43,27,
GARDENA,2500020B,886,385,N,1586,TOTAL,230,106,81,
GARDENA,2500021C,887,335,N,1005,POLLING PLACE,151,62,58,
GARDENA,2500021C,887,335,N,,VBM PORTION,78,39,27,
GARDENA,2500021C,887,335,N,1005,TOTAL,229,101,85,
GARDENA,2500021E,888,335,N,675,POLLING PLACE,85,42,33,
GARDENA,2500021E,888,335,N,,VBM PORTION,19,11,6,
GARDENA,2500021E,888,335,N,675,TOTAL,104,53,39,
GARDENA,2500023A,889,385,N,1530,POLLING PLACE,153,71,56,
GARDENA,2500023A,889,385,N,,VBM PORTION,111,47,40,
GARDENA,2500023A,889,385,N,1530,TOTAL,264,118,96,
GARDENA,2500026A,890,385,N,1024,POLLING PLACE,142,69,39,
GARDENA,2500026A,890,385,N,,VBM PORTION,94,37,31,
GARDENA,2500026A,890,385,N,1024,TOTAL,236,106,70,
GARDENA,2500028A,891,385,N,969,POLLING PLACE,165,64,65,
GARDENA,2500028A,891,385,N,,VBM PORTION,90,39,24,
GARDENA,2500028A,891,385,N,969,TOTAL,255,103,89,
GARDENA,2500030A,892,385,N,1269,POLLING PLACE,182,72,67,
GARDENA,2500030A,892,385,N,,VBM PORTION,189,73,53,
GARDENA,2500030A,892,385,N,1269,TOTAL,371,145,120,
GARDENA,2500031A,893,385,N,796,POLLING PLACE,119,57,39,
GARDENA,2500031A,893,385,N,,VBM PORTION,96,47,29,
GARDENA,2500031A,893,385,N,796,TOTAL,215,104,68,
GARDENA,2500033A,894,385,N,1145,POLLING PLACE,113,61,29,
GARDENA,2500033A,894,385,N,,VBM PORTION,132,60,43,
GARDENA,2500033A,894,385,N,1145,TOTAL,245,121,72,
GARDENA,2500035A,895,385,N,1378,POLLING PLACE,205,77,81,
GARDENA,2500035A,895,385,N,,VBM PORTION,152,68,43,
GARDENA,2500035A,895,385,N,1378,TOTAL,357,145,124,
GARDENA,2500036B,896,385,N,1265,POLLING PLACE,189,80,60,
GARDENA,2500036B,896,385,N,,VBM PORTION,144,54,39,
GARDENA,2500036B,896,385,N,1265,TOTAL,333,134,99,
GARDENA,2500041A,897,339,N,1082,POLLING PLACE,206,102,79,
GARDENA,2500041A,897,339,N,,VBM PORTION,37,15,12,
GARDENA,2500041A,897,339,N,1082,TOTAL,243,117,91,
GARDENA,2500046A,898,339,N,1049,POLLING PLACE,267,170,63,
GARDENA,2500046A,898,339,N,,VBM PORTION,69,28,23,
GARDENA,2500046A,898,339,N,1049,TOTAL,336,198,86,
GARDENA,2500063A,899,385,N,1001,POLLING PLACE,185,79,75,
GARDENA,2500063A,899,385,N,,VBM PORTION,94,35,34,
GARDENA,2500063A,899,385,N,1001,TOTAL,279,114,109,
GARDENA,2500064A,900,385,N,1133,POLLING PLACE,229,96,88,
GARDENA,2500064A,900,385,N,,VBM PORTION,80,46,15,
GARDENA,2500064A,900,385,N,1133,TOTAL,309,142,103,
GILMORE,2520001A,6086,183,Y,,POLLING PLACE,,,,
GILMORE,2520001A,6086,183,Y,,VBM PORTION,,,,
GILMORE,2520001A,6086,183,Y,,TOTAL,,,,
GLENDALE,2550002A,901,103,N,1249,POLLING PLACE,321,118,133,
GLENDALE,2550002A,901,103,N,,VBM PORTION,157,48,54,
GLENDALE,2550002A,901,103,N,1249,TOTAL,478,166,187,
GLENDALE,2550002C,6087,105,Y,33,POLLING PLACE,,,,
GLENDALE,2550002C,6087,105,Y,,VBM PORTION,9,,5,
GLENDALE,2550002C,6087,105,Y,33,TOTAL,9,,5,
GLENDALE,2550003A,6088,104,Y,,POLLING PLACE,,,,
GLENDALE,2550003A,6088,104,Y,,VBM PORTION,,,,
GLENDALE,2550003A,6088,104,Y,,TOTAL,,,,
GLENDALE,2550004A,902,103,N,860,POLLING PLACE,131,50,40,
GLENDALE,2550004A,902,103,N,,VBM PORTION,86,36,27,
GLENDALE,2550004A,902,103,N,860,TOTAL,217,86,67,
GLENDALE,2550006A,903,103,N,1332,POLLING PLACE,347,114,150,
GLENDALE,2550006A,903,103,N,,VBM PORTION,193,61,73,
GLENDALE,2550006A,903,103,N,1332,TOTAL,540,175,223,
GLENDALE,2550008A,904,103,N,1135,POLLING PLACE,316,110,133,
GLENDALE,2550008A,904,103,N,,VBM PORTION,125,39,55,
GLENDALE,2550008A,904,103,N,1135,TOTAL,441,149,188,
GLENDALE,2550009A,905,103,N,918,POLLING PLACE,227,65,123,
GLENDALE,2550009A,905,103,N,,VBM PORTION,90,29,42,
GLENDALE,2550009A,905,103,N,918,TOTAL,317,94,165,
GLENDALE,2550010A,906,103,N,797,POLLING PLACE,221,67,106,
GLENDALE,2550010A,906,103,N,,VBM PORTION,94,29,36,
GLENDALE,2550010A,906,103,N,797,TOTAL,315,96,142,
GLENDALE,2550011A,907,103,N,1207,POLLING PLACE,256,84,107,
GLENDALE,2550011A,907,103,N,,VBM PORTION,104,25,46,
GLENDALE,2550011A,907,103,N,1207,TOTAL,360,109,153,
GLENDALE,2550015A,908,103,N,1221,POLLING PLACE,283,80,144,
GLENDALE,2550015A,908,103,N,,VBM PORTION,112,33,46,
GLENDALE,2550015A,908,103,N,1221,TOTAL,395,113,190,
GLENDALE,2550017A,909,103,N,1020,POLLING PLACE,184,69,73,
GLENDALE,2550017A,909,103,N,,VBM PORTION,104,29,45,
GLENDALE,2550017A,909,103,N,1020,TOTAL,288,98,118,
GLENDALE,2550017B,910,105,N,563,POLLING PLACE,63,22,30,
GLENDALE,2550017B,910,105,N,,VBM PORTION,48,13,19,
GLENDALE,2550017B,910,105,N,563,TOTAL,111,35,49,
GLENDALE,2550018A,911,103,N,585,POLLING PLACE,100,35,39,
GLENDALE,2550018A,911,103,N,,VBM PORTION,44,18,17,
GLENDALE,2550018A,911,103,N,585,TOTAL,144,53,56,
GLENDALE,2550019C,6089,105,Y,8,POLLING PLACE,,,,
GLENDALE,2550019C,6089,105,Y,,VBM PORTION,,,,
GLENDALE,2550019C,6089,105,Y,8,TOTAL,,,,
GLENDALE,2550020A,912,103,N,1314,POLLING PLACE,245,79,107,
GLENDALE,2550020A,912,103,N,,VBM PORTION,159,56,59,
GLENDALE,2550020A,912,103,N,1314,TOTAL,404,135,166,
GLENDALE,2550023A,913,103,N,1244,POLLING PLACE,244,75,116,
GLENDALE,2550023A,913,103,N,,VBM PORTION,181,53,60,
GLENDALE,2550023A,913,103,N,1244,TOTAL,425,128,176,
GLENDALE,2550024A,914,103,N,908,POLLING PLACE,173,60,71,
GLENDALE,2550024A,914,103,N,,VBM PORTION,148,55,41,
GLENDALE,2550024A,914,103,N,908,TOTAL,321,115,112,
GLENDALE,2550025A,915,103,N,1162,POLLING PLACE,255,75,114,
GLENDALE,2550025A,915,103,N,,VBM PORTION,165,55,57,
GLENDALE,2550025A,915,103,N,1162,TOTAL,420,130,171,
GLENDALE,2550027A,916,103,N,824,POLLING PLACE,148,50,54,
GLENDALE,2550027A,916,103,N,,VBM PORTION,86,31,25,
GLENDALE,2550027A,916,103,N,824,TOTAL,234,81,79,
GLENDALE,2550028A,917,103,N,878,POLLING PLACE,162,49,68,
GLENDALE,2550028A,917,103,N,,VBM PORTION,74,10,37,
GLENDALE,2550028A,917,103,N,878,TOTAL,236,59,105,
GLENDALE,2550029A,918,103,N,848,POLLING PLACE,201,65,74,
GLENDALE,2550029A,918,103,N,,VBM PORTION,74,24,27,
GLENDALE,2550029A,918,103,N,848,TOTAL,275,89,101,
GLENDALE,2550032A,919,103,N,820,POLLING PLACE,141,44,52,
GLENDALE,2550032A,919,103,N,,VBM PORTION,71,24,19,
GLENDALE,2550032A,919,103,N,820,TOTAL,212,68,71,
GLENDALE,2550035A,920,103,N,797,POLLING PLACE,194,69,67,
GLENDALE,2550035A,920,103,N,,VBM PORTION,91,32,30,
GLENDALE,2550035A,920,103,N,797,TOTAL,285,101,97,
GLENDALE,2550036A,921,103,N,862,POLLING PLACE,216,68,85,
GLENDALE,2550036A,921,103,N,,VBM PORTION,71,26,22,
GLENDALE,2550036A,921,103,N,862,TOTAL,287,94,107,
GLENDALE,2550037A,922,103,N,1420,POLLING PLACE,207,79,69,
GLENDALE,2550037A,922,103,N,,VBM PORTION,140,52,51,
GLENDALE,2550037A,922,103,N,1420,TOTAL,347,131,120,
GLENDALE,2550039A,923,103,N,866,POLLING PLACE,119,31,51,
GLENDALE,2550039A,923,103,N,,VBM PORTION,115,43,30,
GLENDALE,2550039A,923,103,N,866,TOTAL,234,74,81,
GLENDALE,2550040A,924,103,N,1215,POLLING PLACE,268,81,114,
GLENDALE,2550040A,924,103,N,,VBM PORTION,156,73,38,
GLENDALE,2550040A,924,103,N,1215,TOTAL,424,154,152,
GLENDALE,2550041A,925,103,N,840,POLLING PLACE,130,36,56,
GLENDALE,2550041A,925,103,N,,VBM PORTION,94,29,32,
GLENDALE,2550041A,925,103,N,840,TOTAL,224,65,88,
GLENDALE,2550044A,926,103,N,870,POLLING PLACE,170,65,57,
GLENDALE,2550044A,926,103,N,,VBM PORTION,94,35,26,
GLENDALE,2550044A,926,103,N,870,TOTAL,264,100,83,
GLENDALE,2550047A,927,103,N,1248,POLLING PLACE,226,92,91,
GLENDALE,2550047A,927,103,N,,VBM PORTION,115,52,26,
GLENDALE,2550047A,927,103,N,1248,TOTAL,341,144,117,
GLENDALE,2550048A,928,103,N,1331,POLLING PLACE,107,28,41,
GLENDALE,2550048A,928,103,N,,VBM PORTION,104,35,44,
GLENDALE,2550048A,928,103,N,1331,TOTAL,211,63,85,
GLENDALE,2550050A,929,103,N,883,POLLING PLACE,164,44,84,
GLENDALE,2550050A,929,103,N,,VBM PORTION,139,42,50,
GLENDALE,2550050A,929,103,N,883,TOTAL,303,86,134,
GLENDALE,2550051A,930,103,N,1326,POLLING PLACE,122,46,49,
GLENDALE,2550051A,930,103,N,,VBM PORTION,86,38,22,
GLENDALE,2550051A,930,103,N,1326,TOTAL,208,84,71,
GLENDALE,2550052A,931,103,N,978,POLLING PLACE,262,72,124,
GLENDALE,2550052A,931,103,N,,VBM PORTION,100,35,42,
GLENDALE,2550052A,931,103,N,978,TOTAL,362,107,166,
GLENDALE,2550053A,932,103,N,940,POLLING PLACE,164,56,58,
GLENDALE,2550053A,932,103,N,,VBM PORTION,81,23,37,
GLENDALE,2550053A,932,103,N,940,TOTAL,245,79,95,
GLENDALE,2550054A,933,103,N,1026,POLLING PLACE,225,80,89,
GLENDALE,2550054A,933,103,N,,VBM PORTION,134,30,46,
GLENDALE,2550054A,933,103,N,1026,TOTAL,359,110,135,
GLENDALE,2550058A,934,103,N,1155,POLLING PLACE,154,52,54,
GLENDALE,2550058A,934,103,N,,VBM PORTION,104,52,22,
GLENDALE,2550058A,934,103,N,1155,TOTAL,258,104,76,
GLENDALE,2550060A,935,103,N,1322,POLLING PLACE,224,75,90,
GLENDALE,2550060A,935,103,N,,VBM PORTION,155,50,55,
GLENDALE,2550060A,935,103,N,1322,TOTAL,379,125,145,
GLENDALE,2550061A,936,103,N,1101,POLLING PLACE,108,30,44,
GLENDALE,2550061A,936,103,N,,VBM PORTION,68,21,21,
GLENDALE,2550061A,936,103,N,1101,TOTAL,176,51,65,
GLENDALE,2550062A,937,103,N,1049,POLLING PLACE,66,25,29,
GLENDALE,2550062A,937,103,N,,VBM PORTION,63,21,28,
GLENDALE,2550062A,937,103,N,1049,TOTAL,129,46,57,
GLENDALE,2550065A,938,103,N,1018,POLLING PLACE,181,65,76,
GLENDALE,2550065A,938,103,N,,VBM PORTION,98,28,31,
GLENDALE,2550065A,938,103,N,1018,TOTAL,279,93,107,
GLENDALE,2550066B,939,103,N,985,POLLING PLACE,69,24,28,
GLENDALE,2550066B,939,103,N,,VBM PORTION,84,38,17,
GLENDALE,2550066B,939,103,N,985,TOTAL,153,62,45,
GLENDALE,2550067A,940,103,N,1258,POLLING PLACE,204,63,73,
GLENDALE,2550067A,940,103,N,,VBM PORTION,125,38,46,
GLENDALE,2550067A,940,103,N,1258,TOTAL,329,101,119,
GLENDALE,2550069A,941,103,N,1128,POLLING PLACE,159,69,48,
GLENDALE,2550069A,941,103,N,,VBM PORTION,103,34,35,
GLENDALE,2550069A,941,103,N,1128,TOTAL,262,103,83,
GLENDALE,2550071A,942,103,N,1079,POLLING PLACE,112,39,44,
GLENDALE,2550071A,942,103,N,,VBM PORTION,68,23,19,
GLENDALE,2550071A,942,103,N,1079,TOTAL,180,62,63,
GLENDALE,2550072A,943,103,N,1029,POLLING PLACE,75,32,24,
GLENDALE,2550072A,943,103,N,,VBM PORTION,85,31,26,
GLENDALE,2550072A,943,103,N,1029,TOTAL,160,63,50,
GLENDALE,2550073A,944,103,N,994,POLLING PLACE,135,38,48,
GLENDALE,2550073A,944,103,N,,VBM PORTION,77,31,14,
GLENDALE,2550073A,944,103,N,994,TOTAL,212,69,62,
GLENDALE,2550074A,945,103,N,1216,POLLING PLACE,110,33,34,
GLENDALE,2550074A,945,103,N,,VBM PORTION,90,45,18,
GLENDALE,2550074A,945,103,N,1216,TOTAL,200,78,52,
GLENDALE,2550079A,946,103,N,858,POLLING PLACE,119,48,48,
GLENDALE,2550079A,946,103,N,,VBM PORTION,54,17,27,
GLENDALE,2550079A,946,103,N,858,TOTAL,173,65,75,
GLENDALE,2550080A,947,103,N,1062,POLLING PLACE,191,61,83,
GLENDALE,2550080A,947,103,N,,VBM PORTION,72,26,23,
GLENDALE,2550080A,947,103,N,1062,TOTAL,263,87,106,
GLENDALE,2550081A,948,103,N,1222,POLLING PLACE,135,63,41,
GLENDALE,2550081A,948,103,N,,VBM PORTION,90,33,33,
GLENDALE,2550081A,948,103,N,1222,TOTAL,225,96,74,
GLENDALE,2550082A,949,103,N,960,POLLING PLACE,85,39,28,
GLENDALE,2550082A,949,103,N,,VBM PORTION,66,33,10,
GLENDALE,2550082A,949,103,N,960,TOTAL,151,72,38,
GLENDALE,2550085A,950,103,N,1174,POLLING PLACE,175,73,56,
GLENDALE,2550085A,950,103,N,,VBM PORTION,138,51,37,
GLENDALE,2550085A,950,103,N,1174,TOTAL,313,124,93,
GLENDALE,2550086A,951,103,N,1071,POLLING PLACE,122,58,40,
GLENDALE,2550086A,951,103,N,,VBM PORTION,113,43,44,
GLENDALE,2550086A,951,103,N,1071,TOTAL,235,101,84,
GLENDALE,2550087A,952,103,N,1206,POLLING PLACE,135,53,44,
GLENDALE,2550087A,952,103,N,,VBM PORTION,93,32,21,
GLENDALE,2550087A,952,103,N,1206,TOTAL,228,85,65,
GLENDALE,2550088C,953,103,N,1166,POLLING PLACE,93,34,37,
GLENDALE,2550088C,953,103,N,,VBM PORTION,72,30,25,
GLENDALE,2550088C,953,103,N,1166,TOTAL,165,64,62,
GLENDALE,2550089A,954,103,N,1120,POLLING PLACE,115,45,44,
GLENDALE,2550089A,954,103,N,,VBM PORTION,129,61,26,
GLENDALE,2550089A,954,103,N,1120,TOTAL,244,106,70,
GLENDALE,2550090A,955,103,N,959,POLLING PLACE,119,47,46,
GLENDALE,2550090A,955,103,N,,VBM PORTION,63,17,24,
GLENDALE,2550090A,955,103,N,959,TOTAL,182,64,70,
GLENDALE,2550091A,956,103,N,1190,POLLING PLACE,147,68,51,
GLENDALE,2550091A,956,103,N,,VBM PORTION,80,23,24,
GLENDALE,2550091A,956,103,N,1190,TOTAL,227,91,75,
GLENDALE,2550095A,957,103,N,1271,POLLING PLACE,126,40,53,
GLENDALE,2550095A,957,103,N,,VBM PORTION,81,26,25,
GLENDALE,2550095A,957,103,N,1271,TOTAL,207,66,78,
GLENDALE,2550097A,958,103,N,1046,POLLING PLACE,142,60,53,
GLENDALE,2550097A,958,103,N,,VBM PORTION,71,22,29,
GLENDALE,2550097A,958,103,N,1046,TOTAL,213,82,82,
GLENDALE,2550098A,959,103,N,841,POLLING PLACE,171,55,56,
GLENDALE,2550098A,959,103,N,,VBM PORTION,71,22,24,
GLENDALE,2550098A,959,103,N,841,TOTAL,242,77,80,
GLENDALE,2550100A,960,103,N,1246,POLLING PLACE,125,51,48,
GLENDALE,2550100A,960,103,N,,VBM PORTION,83,41,20,
GLENDALE,2550100A,960,103,N,1246,TOTAL,208,92,68,
GLENDALE,2550102A,961,103,N,1132,POLLING PLACE,163,63,54,
GLENDALE,2550102A,961,103,N,,VBM PORTION,83,35,25,
GLENDALE,2550102A,961,103,N,1132,TOTAL,246,98,79,
GLENDALE,2550105A,962,103,N,1025,POLLING PLACE,86,47,31,
GLENDALE,2550105A,962,103,N,,VBM PORTION,89,43,21,
GLENDALE,2550105A,962,103,N,1025,TOTAL,175,90,52,
GLENDALE,2550108A,963,103,N,1217,POLLING PLACE,170,68,60,
GLENDALE,2550108A,963,103,N,,VBM PORTION,120,38,44,
GLENDALE,2550108A,963,103,N,1217,TOTAL,290,106,104,
GLENDALE,2550111A,964,103,N,1153,POLLING PLACE,92,39,29,
GLENDALE,2550111A,964,103,N,,VBM PORTION,100,41,37,
GLENDALE,2550111A,964,103,N,1153,TOTAL,192,80,66,
GLENDALE,2550113A,965,103,N,1036,POLLING PLACE,179,63,64,
GLENDALE,2550113A,965,103,N,,VBM PORTION,104,41,26,
GLENDALE,2550113A,965,103,N,1036,TOTAL,283,104,90,
GLENDALE,2550116A,966,103,N,1134,POLLING PLACE,256,115,77,
GLENDALE,2550116A,966,103,N,,VBM PORTION,114,41,43,
GLENDALE,2550116A,966,103,N,1134,TOTAL,370,156,120,
GLENDALE,2550117A,967,103,N,1191,POLLING PLACE,81,37,22,
GLENDALE,2550117A,967,103,N,,VBM PORTION,100,42,23,
GLENDALE,2550117A,967,103,N,1191,TOTAL,181,79,45,
GLENDALE,2550118A,968,103,N,1111,POLLING PLACE,101,43,37,
GLENDALE,2550118A,968,103,N,,VBM PORTION,66,21,25,
GLENDALE,2550118A,968,103,N,1111,TOTAL,167,64,62,
GLENDALE,2550119A,969,103,N,1252,POLLING PLACE,103,40,40,
GLENDALE,2550119A,969,103,N,,VBM PORTION,77,26,27,
GLENDALE,2550119A,969,103,N,1252,TOTAL,180,66,67,
GLENDALE,2550120A,970,103,N,1220,POLLING PLACE,135,58,53,
GLENDALE,2550120A,970,103,N,,VBM PORTION,125,50,27,
GLENDALE,2550120A,970,103,N,1220,TOTAL,260,108,80,
GLENDALE,2550120B,971,103,N,1179,POLLING PLACE,144,59,51,
GLENDALE,2550120B,971,103,N,,VBM PORTION,60,22,20,
GLENDALE,2550120B,971,103,N,1179,TOTAL,204,81,71,
GLENDALE,2550121A,972,103,N,1153,POLLING PLACE,91,29,34,
GLENDALE,2550121A,972,103,N,,VBM PORTION,61,17,32,
GLENDALE,2550121A,972,103,N,1153,TOTAL,152,46,66,
GLENDALE,2550123A,973,103,N,1100,POLLING PLACE,126,53,35,
GLENDALE,2550123A,973,103,N,,VBM PORTION,101,44,19,
GLENDALE,2550123A,973,103,N,1100,TOTAL,227,97,54,
GLENDALE,2550125A,974,103,N,1233,POLLING PLACE,102,37,42,
GLENDALE,2550125A,974,103,N,,VBM PORTION,125,42,23,
GLENDALE,2550125A,974,103,N,1233,TOTAL,227,79,65,
GLENDALE,2550131A,975,103,N,1079,POLLING PLACE,102,43,27,
GLENDALE,2550131A,975,103,N,,VBM PORTION,88,36,19,
GLENDALE,2550131A,975,103,N,1079,TOTAL,190,79,46,
GLENDALE,2550135A,976,103,N,1219,POLLING PLACE,144,43,44,
GLENDALE,2550135A,976,103,N,,VBM PORTION,118,34,35,
GLENDALE,2550135A,976,103,N,1219,TOTAL,262,77,79,
GLENDALE,2550140A,977,103,N,1135,POLLING PLACE,126,60,36,
GLENDALE,2550140A,977,103,N,,VBM PORTION,115,33,38,
