LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEPHEN K SHAM,ERIC SUNADA,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,103,73,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,24,23,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,127,96,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,86,84,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,19,18,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,105,102,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,69,62,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,33,15,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,102,77,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,30,29,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,26,7,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,56,36,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,126,107,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,24,16,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,150,123,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,90,85,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,38,28,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,128,113,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,80,148,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,29,39,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,109,187,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,59,40,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,85,40,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,144,80,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,52,102,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,45,27,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,97,129,
BALLOT GROUP 149,9990149A,8149,149,N,,POLLING PLACE,,,,
BALLOT GROUP 149,9990149A,8149,149,N,,VBM PORTION,,,,
BALLOT GROUP 149,9990149A,8149,149,N,,TOTAL,,,,
BALLOT GROUP 150,9990150A,8150,150,N,,POLLING PLACE,,,,
BALLOT GROUP 150,9990150A,8150,150,N,,VBM PORTION,,,,
BALLOT GROUP 150,9990150A,8150,150,N,,TOTAL,,,,
BALLOT GROUP 153,9990153A,8153,153,N,,POLLING PLACE,,,,
BALLOT GROUP 153,9990153A,8153,153,N,,VBM PORTION,,,,
BALLOT GROUP 153,9990153A,8153,153,N,,TOTAL,,,,
BALLOT GROUP 154,9990154A,8154,154,N,,POLLING PLACE,,,,
BALLOT GROUP 154,9990154A,8154,154,N,,VBM PORTION,,,,
BALLOT GROUP 154,9990154A,8154,154,N,,TOTAL,,,,
