LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED J GROSE,AUTUMN BURKE,
EL SEGUNDO,2250007A,845,323,N,,VBM PORTION,99,50,44,
EL SEGUNDO,2250007A,845,323,N,967,TOTAL,315,154,136,
EL SEGUNDO,2250009A,846,323,N,977,POLLING PLACE,289,156,121,
EL SEGUNDO,2250009A,846,323,N,,VBM PORTION,130,72,53,
EL SEGUNDO,2250009A,846,323,N,977,TOTAL,419,228,174,
EL SEGUNDO,2250012A,847,323,N,1188,POLLING PLACE,244,112,119,
EL SEGUNDO,2250012A,847,323,N,,VBM PORTION,98,46,42,
EL SEGUNDO,2250012A,847,323,N,1188,TOTAL,342,158,161,
EL SEGUNDO,2250017A,848,323,N,941,POLLING PLACE,215,114,83,
EL SEGUNDO,2250017A,848,323,N,,VBM PORTION,98,61,26,
EL SEGUNDO,2250017A,848,323,N,941,TOTAL,313,175,109,
EL SEGUNDO,2250020A,849,323,N,840,POLLING PLACE,242,135,93,
EL SEGUNDO,2250020A,849,323,N,,VBM PORTION,103,59,33,
EL SEGUNDO,2250020A,849,323,N,840,TOTAL,345,194,126,
EL SEGUNDO,2250030A,850,323,N,910,POLLING PLACE,213,114,77,
EL SEGUNDO,2250030A,850,323,N,,VBM PORTION,80,51,25,
EL SEGUNDO,2250030A,850,323,N,910,TOTAL,293,165,102,
GARDENA,2500001A,874,339,N,822,POLLING PLACE,242,15,218,
GARDENA,2500001A,874,339,N,,VBM PORTION,56,8,46,
GARDENA,2500001A,874,339,N,822,TOTAL,298,23,264,
GARDENA,2500002A,875,335,N,994,POLLING PLACE,295,15,266,
GARDENA,2500002A,875,335,N,,VBM PORTION,72,10,59,
GARDENA,2500002A,875,335,N,994,TOTAL,367,25,325,
GARDENA,2500005A,877,339,N,777,POLLING PLACE,185,13,165,
GARDENA,2500005A,877,339,N,,VBM PORTION,60,7,48,
GARDENA,2500005A,877,339,N,777,TOTAL,245,20,213,
GARDENA,2500007A,878,335,N,967,POLLING PLACE,242,12,219,
GARDENA,2500007A,878,335,N,,VBM PORTION,71,3,64,
GARDENA,2500007A,878,335,N,967,TOTAL,313,15,283,
GARDENA,2500008A,879,335,N,1106,POLLING PLACE,208,10,189,
GARDENA,2500008A,879,335,N,,VBM PORTION,93,10,79,
GARDENA,2500008A,879,335,N,1106,TOTAL,301,20,268,
GARDENA,2500021C,887,335,N,1005,POLLING PLACE,151,22,120,
GARDENA,2500021C,887,335,N,,VBM PORTION,78,18,55,
GARDENA,2500021C,887,335,N,1005,TOTAL,229,40,175,
GARDENA,2500021E,888,335,N,675,POLLING PLACE,85,12,69,
GARDENA,2500021E,888,335,N,,VBM PORTION,19,5,14,
GARDENA,2500021E,888,335,N,675,TOTAL,104,17,83,
GARDENA,2500041A,897,339,N,1082,POLLING PLACE,206,31,165,
GARDENA,2500041A,897,339,N,,VBM PORTION,37,6,24,
GARDENA,2500041A,897,339,N,1082,TOTAL,243,37,189,
GARDENA,2500046A,898,339,N,1049,POLLING PLACE,267,12,239,
GARDENA,2500046A,898,339,N,,VBM PORTION,69,9,54,
GARDENA,2500046A,898,339,N,1049,TOTAL,336,21,293,
HAWTHORNE,2700001A,1052,336,N,975,POLLING PLACE,138,16,113,
HAWTHORNE,2700001A,1052,336,N,,VBM PORTION,25,5,18,
HAWTHORNE,2700001A,1052,336,N,975,TOTAL,163,21,131,
HAWTHORNE,2700001C,6094,337,Y,56,POLLING PLACE,,,,
HAWTHORNE,2700001C,6094,337,Y,,VBM PORTION,1,,1,
HAWTHORNE,2700001C,6094,337,Y,56,TOTAL,1,,1,
HAWTHORNE,2700003A,1053,336,N,1050,POLLING PLACE,192,40,135,
HAWTHORNE,2700003A,1053,336,N,,VBM PORTION,39,10,27,
HAWTHORNE,2700003A,1053,336,N,1050,TOTAL,231,50,162,
HAWTHORNE,2700004A,1054,336,N,1070,POLLING PLACE,141,17,113,
HAWTHORNE,2700004A,1054,336,N,,VBM PORTION,61,16,42,
HAWTHORNE,2700004A,1054,336,N,1070,TOTAL,202,33,155,
HAWTHORNE,2700007A,1055,336,N,703,POLLING PLACE,139,58,73,
HAWTHORNE,2700007A,1055,336,N,,VBM PORTION,74,39,32,
HAWTHORNE,2700007A,1055,336,N,703,TOTAL,213,97,105,
HAWTHORNE,2700007C,6095,335,Y,16,POLLING PLACE,,,,
HAWTHORNE,2700007C,6095,335,Y,,VBM PORTION,,,,
HAWTHORNE,2700007C,6095,335,Y,16,TOTAL,,,,
HAWTHORNE,2700009A,1056,336,N,866,POLLING PLACE,133,31,92,
HAWTHORNE,2700009A,1056,336,N,,VBM PORTION,34,6,26,
HAWTHORNE,2700009A,1056,336,N,866,TOTAL,167,37,118,
HAWTHORNE,2700010A,1057,336,N,968,POLLING PLACE,167,46,109,
HAWTHORNE,2700010A,1057,336,N,,VBM PORTION,71,33,33,
HAWTHORNE,2700010A,1057,336,N,968,TOTAL,238,79,142,
HAWTHORNE,2700011A,6096,338,Y,271,POLLING PLACE,,,,
HAWTHORNE,2700011A,6096,338,Y,,VBM PORTION,76,36,33,
HAWTHORNE,2700011A,6096,338,Y,271,TOTAL,76,36,33,
HAWTHORNE,2700013A,1058,336,N,1027,POLLING PLACE,130,7,116,
HAWTHORNE,2700013A,1058,336,N,,VBM PORTION,50,6,37,
HAWTHORNE,2700013A,1058,336,N,1027,TOTAL,180,13,153,
HAWTHORNE,2700014A,1059,336,N,1097,POLLING PLACE,117,19,91,
HAWTHORNE,2700014A,1059,336,N,,VBM PORTION,39,8,27,
HAWTHORNE,2700014A,1059,336,N,1097,TOTAL,156,27,118,
HAWTHORNE,2700015A,1060,336,N,919,POLLING PLACE,93,14,75,
HAWTHORNE,2700015A,1060,336,N,,VBM PORTION,41,10,31,
HAWTHORNE,2700015A,1060,336,N,919,TOTAL,134,24,106,
HAWTHORNE,2700016A,1061,336,N,888,POLLING PLACE,101,26,67,
HAWTHORNE,2700016A,1061,336,N,,VBM PORTION,23,9,11,
HAWTHORNE,2700016A,1061,336,N,888,TOTAL,124,35,78,
HAWTHORNE,2700017A,1062,336,N,1056,POLLING PLACE,181,32,137,
HAWTHORNE,2700017A,1062,336,N,,VBM PORTION,30,16,14,
HAWTHORNE,2700017A,1062,336,N,1056,TOTAL,211,48,151,
HAWTHORNE,2700019A,1063,336,N,1064,POLLING PLACE,150,42,84,
HAWTHORNE,2700019A,1063,336,N,,VBM PORTION,45,20,24,
HAWTHORNE,2700019A,1063,336,N,1064,TOTAL,195,62,108,
HAWTHORNE,2700020A,1064,336,N,1131,POLLING PLACE,197,28,160,
HAWTHORNE,2700020A,1064,336,N,,VBM PORTION,41,11,27,
HAWTHORNE,2700020A,1064,336,N,1131,TOTAL,238,39,187,
HAWTHORNE,2700021A,1065,336,N,1167,POLLING PLACE,142,18,106,
HAWTHORNE,2700021A,1065,336,N,,VBM PORTION,39,4,33,
HAWTHORNE,2700021A,1065,336,N,1167,TOTAL,181,22,139,
HAWTHORNE,2700022A,1066,336,N,1003,POLLING PLACE,120,18,93,
HAWTHORNE,2700022A,1066,336,N,,VBM PORTION,53,16,29,
HAWTHORNE,2700022A,1066,336,N,1003,TOTAL,173,34,122,
HAWTHORNE,2700023A,1067,336,N,1071,POLLING PLACE,189,71,105,
HAWTHORNE,2700023A,1067,336,N,,VBM PORTION,53,21,28,
HAWTHORNE,2700023A,1067,336,N,1071,TOTAL,242,92,133,
HAWTHORNE,2700025C,1068,336,N,1146,POLLING PLACE,170,67,95,
HAWTHORNE,2700025C,1068,336,N,,VBM PORTION,93,37,47,
HAWTHORNE,2700025C,1068,336,N,1146,TOTAL,263,104,142,
HAWTHORNE,2700028A,1069,336,N,1156,POLLING PLACE,149,13,125,
HAWTHORNE,2700028A,1069,336,N,,VBM PORTION,59,8,47,
HAWTHORNE,2700028A,1069,336,N,1156,TOTAL,208,21,172,
HAWTHORNE,2700029A,1070,336,N,1059,POLLING PLACE,143,19,114,
HAWTHORNE,2700029A,1070,336,N,,VBM PORTION,46,13,29,
HAWTHORNE,2700029A,1070,336,N,1059,TOTAL,189,32,143,
HAWTHORNE,2700039B,1071,336,N,1160,POLLING PLACE,295,131,135,
HAWTHORNE,2700039B,1071,336,N,,VBM PORTION,125,69,46,
HAWTHORNE,2700039B,1071,336,N,1160,TOTAL,420,200,181,
HAWTHORNE,2700041A,1072,336,N,1218,POLLING PLACE,285,139,127,
HAWTHORNE,2700041A,1072,336,N,,VBM PORTION,128,79,37,
HAWTHORNE,2700041A,1072,336,N,1218,TOTAL,413,218,164,
HAWTHORNE,2700043A,1073,336,N,1139,POLLING PLACE,145,23,111,
HAWTHORNE,2700043A,1073,336,N,,VBM PORTION,39,4,33,
HAWTHORNE,2700043A,1073,336,N,1139,TOTAL,184,27,144,
HAWTHORNE,2700051A,1074,336,N,1071,POLLING PLACE,155,16,121,
HAWTHORNE,2700051A,1074,336,N,,VBM PORTION,33,3,27,
HAWTHORNE,2700051A,1074,336,N,1071,TOTAL,188,19,148,
HAWTHORNE,2700051B,6097,337,Y,56,POLLING PLACE,,,,
HAWTHORNE,2700051B,6097,337,Y,,VBM PORTION,5,1,3,
HAWTHORNE,2700051B,6097,337,Y,56,TOTAL,5,1,3,
HAWTHORNE,2700090A,1075,336,N,949,POLLING PLACE,182,20,142,
HAWTHORNE,2700090A,1075,336,N,,VBM PORTION,43,11,32,
HAWTHORNE,2700090A,1075,336,N,949,TOTAL,225,31,174,
HAWTHORNE,2700091A,1076,336,N,921,POLLING PLACE,173,34,118,
HAWTHORNE,2700091A,1076,336,N,,VBM PORTION,18,6,10,
HAWTHORNE,2700091A,1076,336,N,921,TOTAL,191,40,128,
HAWTHORNE,2700092A,1077,337,N,1088,POLLING PLACE,250,7,234,
HAWTHORNE,2700092A,1077,337,N,,VBM PORTION,90,2,83,
HAWTHORNE,2700092A,1077,337,N,1088,TOTAL,340,9,317,
HAWTHORNE,2700094A,1078,337,N,992,POLLING PLACE,295,12,269,
HAWTHORNE,2700094A,1078,337,N,,VBM PORTION,84,13,66,
HAWTHORNE,2700094A,1078,337,N,992,TOTAL,379,25,335,
HAWTHORNE,2700101A,1079,336,N,809,POLLING PLACE,140,30,101,
HAWTHORNE,2700101A,1079,336,N,,VBM PORTION,34,13,20,
HAWTHORNE,2700101A,1079,336,N,809,TOTAL,174,43,121,
HAWTHORNE,2700103B,1080,336,N,1147,POLLING PLACE,216,79,126,
HAWTHORNE,2700103B,1080,336,N,,VBM PORTION,53,26,27,
HAWTHORNE,2700103B,1080,336,N,1147,TOTAL,269,105,153,
HAWTHORNE,2700105A,1081,336,N,1040,POLLING PLACE,144,17,120,
HAWTHORNE,2700105A,1081,336,N,,VBM PORTION,33,4,22,
HAWTHORNE,2700105A,1081,336,N,1040,TOTAL,177,21,142,
HAWTHORNE,2700106A,1082,336,N,1066,POLLING PLACE,134,14,113,
HAWTHORNE,2700106A,1082,336,N,,VBM PORTION,31,6,25,
HAWTHORNE,2700106A,1082,336,N,1066,TOTAL,165,20,138,
HAWTHORNE,2700109A,1083,336,N,945,POLLING PLACE,155,56,84,
HAWTHORNE,2700109A,1083,336,N,,VBM PORTION,79,39,35,
HAWTHORNE,2700109A,1083,336,N,945,TOTAL,234,95,119,
HAWTHORNE,2700116A,1084,336,N,1021,POLLING PLACE,129,11,115,
HAWTHORNE,2700116A,1084,336,N,,VBM PORTION,24,4,20,
HAWTHORNE,2700116A,1084,336,N,1021,TOTAL,153,15,135,
INGLEWOOD,2950001A,1114,334,N,962,POLLING PLACE,269,10,246,
INGLEWOOD,2950001A,1114,334,N,,VBM PORTION,76,4,67,
INGLEWOOD,2950001A,1114,334,N,962,TOTAL,345,14,313,
INGLEWOOD,2950002A,1115,331,N,1070,POLLING PLACE,223,21,185,
INGLEWOOD,2950002A,1115,331,N,,VBM PORTION,52,4,45,
INGLEWOOD,2950002A,1115,331,N,1070,TOTAL,275,25,230,
INGLEWOOD,2950003A,1116,334,N,586,POLLING PLACE,180,6,167,
INGLEWOOD,2950003A,1116,334,N,,VBM PORTION,45,,43,
INGLEWOOD,2950003A,1116,334,N,586,TOTAL,225,6,210,
INGLEWOOD,2950004A,1117,334,N,550,POLLING PLACE,166,5,149,
INGLEWOOD,2950004A,1117,334,N,,VBM PORTION,48,2,42,
INGLEWOOD,2950004A,1117,334,N,550,TOTAL,214,7,191,
INGLEWOOD,2950005A,1118,334,N,552,POLLING PLACE,58,9,46,
INGLEWOOD,2950005A,1118,334,N,,VBM PORTION,22,12,9,
INGLEWOOD,2950005A,1118,334,N,552,TOTAL,80,21,55,
INGLEWOOD,2950006B,1119,334,N,791,POLLING PLACE,207,8,191,
INGLEWOOD,2950006B,1119,334,N,,VBM PORTION,76,9,62,
INGLEWOOD,2950006B,1119,334,N,791,TOTAL,283,17,253,
INGLEWOOD,2950007A,1120,334,N,1109,POLLING PLACE,136,12,116,
INGLEWOOD,2950007A,1120,334,N,,VBM PORTION,54,7,44,
INGLEWOOD,2950007A,1120,334,N,1109,TOTAL,190,19,160,
INGLEWOOD,2950008A,1121,334,N,938,POLLING PLACE,302,11,278,
INGLEWOOD,2950008A,1121,334,N,,VBM PORTION,49,3,45,
INGLEWOOD,2950008A,1121,334,N,938,TOTAL,351,14,323,
INGLEWOOD,2950009B,1122,334,N,1062,POLLING PLACE,262,13,229,
INGLEWOOD,2950009B,1122,334,N,,VBM PORTION,109,9,89,
INGLEWOOD,2950009B,1122,334,N,1062,TOTAL,371,22,318,
INGLEWOOD,2950010A,1123,334,N,1069,POLLING PLACE,270,16,238,
INGLEWOOD,2950010A,1123,334,N,,VBM PORTION,76,3,70,
INGLEWOOD,2950010A,1123,334,N,1069,TOTAL,346,19,308,
INGLEWOOD,2950011A,1124,334,N,769,POLLING PLACE,263,7,241,
INGLEWOOD,2950011A,1124,334,N,,VBM PORTION,78,5,67,
INGLEWOOD,2950011A,1124,334,N,769,TOTAL,341,12,308,
INGLEWOOD,2950013B,1125,334,N,901,POLLING PLACE,171,11,152,
INGLEWOOD,2950013B,1125,334,N,,VBM PORTION,61,5,53,
INGLEWOOD,2950013B,1125,334,N,901,TOTAL,232,16,205,
INGLEWOOD,2950014B,1126,334,N,900,POLLING PLACE,210,11,185,
INGLEWOOD,2950014B,1126,334,N,,VBM PORTION,72,6,58,
INGLEWOOD,2950014B,1126,334,N,900,TOTAL,282,17,243,
INGLEWOOD,2950015B,1127,334,N,606,POLLING PLACE,147,9,126,
INGLEWOOD,2950015B,1127,334,N,,VBM PORTION,61,9,51,
INGLEWOOD,2950015B,1127,334,N,606,TOTAL,208,18,177,
INGLEWOOD,2950016B,1128,334,N,796,POLLING PLACE,216,6,199,
INGLEWOOD,2950016B,1128,334,N,,VBM PORTION,42,3,39,
INGLEWOOD,2950016B,1128,334,N,796,TOTAL,258,9,238,
INGLEWOOD,2950017A,1129,334,N,900,POLLING PLACE,121,3,110,
INGLEWOOD,2950017A,1129,334,N,,VBM PORTION,51,2,47,
INGLEWOOD,2950017A,1129,334,N,900,TOTAL,172,5,157,
INGLEWOOD,2950018A,1130,334,N,1168,POLLING PLACE,311,9,276,
INGLEWOOD,2950018A,1130,334,N,,VBM PORTION,111,10,93,
INGLEWOOD,2950018A,1130,334,N,1168,TOTAL,422,19,369,
INGLEWOOD,2950019A,1131,334,N,1148,POLLING PLACE,86,6,76,
INGLEWOOD,2950019A,1131,334,N,,VBM PORTION,28,1,26,
INGLEWOOD,2950019A,1131,334,N,1148,TOTAL,114,7,102,
INGLEWOOD,2950020A,1132,334,N,1043,POLLING PLACE,237,15,208,
INGLEWOOD,2950020A,1132,334,N,,VBM PORTION,94,5,83,
INGLEWOOD,2950020A,1132,334,N,1043,TOTAL,331,20,291,
INGLEWOOD,2950022A,1133,334,N,1168,POLLING PLACE,347,8,321,
INGLEWOOD,2950022A,1133,334,N,,VBM PORTION,99,3,90,
INGLEWOOD,2950022A,1133,334,N,1168,TOTAL,446,11,411,
INGLEWOOD,2950023A,1134,334,N,684,POLLING PLACE,136,10,114,
INGLEWOOD,2950023A,1134,334,N,,VBM PORTION,57,7,44,
INGLEWOOD,2950023A,1134,334,N,684,TOTAL,193,17,158,
INGLEWOOD,2950024A,1135,334,N,800,POLLING PLACE,200,8,161,
INGLEWOOD,2950024A,1135,334,N,,VBM PORTION,51,4,44,
INGLEWOOD,2950024A,1135,334,N,800,TOTAL,251,12,205,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,26,149,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,4,30,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,30,179,
INGLEWOOD,2950026A,1137,334,N,961,POLLING PLACE,222,14,203,
INGLEWOOD,2950026A,1137,334,N,,VBM PORTION,69,6,53,
INGLEWOOD,2950026A,1137,334,N,961,TOTAL,291,20,256,
INGLEWOOD,2950028A,1138,334,N,533,POLLING PLACE,132,14,116,
INGLEWOOD,2950028A,1138,334,N,,VBM PORTION,30,2,27,
INGLEWOOD,2950028A,1138,334,N,533,TOTAL,162,16,143,
INGLEWOOD,2950029A,1139,334,N,873,POLLING PLACE,177,6,160,
INGLEWOOD,2950029A,1139,334,N,,VBM PORTION,62,5,54,
INGLEWOOD,2950029A,1139,334,N,873,TOTAL,239,11,214,
INGLEWOOD,2950030A,1140,334,N,1012,POLLING PLACE,143,15,122,
INGLEWOOD,2950030A,1140,334,N,,VBM PORTION,50,10,39,
INGLEWOOD,2950030A,1140,334,N,1012,TOTAL,193,25,161,
INGLEWOOD,2950031A,1141,334,N,770,POLLING PLACE,127,20,96,
INGLEWOOD,2950031A,1141,334,N,,VBM PORTION,30,7,22,
INGLEWOOD,2950031A,1141,334,N,770,TOTAL,157,27,118,
INGLEWOOD,2950033A,1142,334,N,947,POLLING PLACE,114,19,83,
INGLEWOOD,2950033A,1142,334,N,,VBM PORTION,24,4,15,
INGLEWOOD,2950033A,1142,334,N,947,TOTAL,138,23,98,
INGLEWOOD,2950037C,1143,334,N,619,POLLING PLACE,99,9,87,
INGLEWOOD,2950037C,1143,334,N,,VBM PORTION,9,,7,
INGLEWOOD,2950037C,1143,334,N,619,TOTAL,108,9,94,
INGLEWOOD,2950039A,1144,334,N,1173,POLLING PLACE,200,15,163,
INGLEWOOD,2950039A,1144,334,N,,VBM PORTION,53,8,45,
INGLEWOOD,2950039A,1144,334,N,1173,TOTAL,253,23,208,
INGLEWOOD,2950040A,1145,334,N,1087,POLLING PLACE,155,17,131,
INGLEWOOD,2950040A,1145,334,N,,VBM PORTION,35,4,30,
INGLEWOOD,2950040A,1145,334,N,1087,TOTAL,190,21,161,
INGLEWOOD,2950041A,1146,334,N,1071,POLLING PLACE,181,13,164,
INGLEWOOD,2950041A,1146,334,N,,VBM PORTION,60,8,49,
INGLEWOOD,2950041A,1146,334,N,1071,TOTAL,241,21,213,
INGLEWOOD,2950042A,1147,334,N,1042,POLLING PLACE,161,13,139,
INGLEWOOD,2950042A,1147,334,N,,VBM PORTION,54,8,39,
INGLEWOOD,2950042A,1147,334,N,1042,TOTAL,215,21,178,
INGLEWOOD,2950044A,1148,334,N,862,POLLING PLACE,138,16,115,
INGLEWOOD,2950044A,1148,334,N,,VBM PORTION,39,10,26,
INGLEWOOD,2950044A,1148,334,N,862,TOTAL,177,26,141,
INGLEWOOD,2950047B,1149,334,N,995,POLLING PLACE,158,27,125,
INGLEWOOD,2950047B,1149,334,N,,VBM PORTION,48,16,30,
INGLEWOOD,2950047B,1149,334,N,995,TOTAL,206,43,155,
INGLEWOOD,2950048A,1150,334,N,969,POLLING PLACE,165,28,127,
INGLEWOOD,2950048A,1150,334,N,,VBM PORTION,35,10,25,
INGLEWOOD,2950048A,1150,334,N,969,TOTAL,200,38,152,
INGLEWOOD,2950050A,1151,334,N,1019,POLLING PLACE,113,20,87,
INGLEWOOD,2950050A,1151,334,N,,VBM PORTION,41,15,23,
INGLEWOOD,2950050A,1151,334,N,1019,TOTAL,154,35,110,
INGLEWOOD,2950052A,1152,334,N,1028,POLLING PLACE,185,18,156,
INGLEWOOD,2950052A,1152,334,N,,VBM PORTION,32,8,22,
INGLEWOOD,2950052A,1152,334,N,1028,TOTAL,217,26,178,
INGLEWOOD,2950057A,1153,334,N,954,POLLING PLACE,155,19,130,
INGLEWOOD,2950057A,1153,334,N,,VBM PORTION,46,4,40,
INGLEWOOD,2950057A,1153,334,N,954,TOTAL,201,23,170,
INGLEWOOD,2950063A,1154,334,N,949,POLLING PLACE,216,16,185,
INGLEWOOD,2950063A,1154,334,N,,VBM PORTION,63,9,46,
INGLEWOOD,2950063A,1154,334,N,949,TOTAL,279,25,231,
INGLEWOOD,2950067A,1155,334,N,1073,POLLING PLACE,209,18,184,
INGLEWOOD,2950067A,1155,334,N,,VBM PORTION,61,8,51,
INGLEWOOD,2950067A,1155,334,N,1073,TOTAL,270,26,235,
INGLEWOOD,2950072A,1156,334,N,902,POLLING PLACE,134,7,120,
INGLEWOOD,2950072A,1156,334,N,,VBM PORTION,32,3,26,
INGLEWOOD,2950072A,1156,334,N,902,TOTAL,166,10,146,
INGLEWOOD,2950073A,1157,331,N,844,POLLING PLACE,151,10,133,
INGLEWOOD,2950073A,1157,331,N,,VBM PORTION,65,7,56,
INGLEWOOD,2950073A,1157,331,N,844,TOTAL,216,17,189,
INGLEWOOD,2950075A,1158,334,N,1234,POLLING PLACE,176,9,165,
INGLEWOOD,2950075A,1158,334,N,,VBM PORTION,55,4,50,
INGLEWOOD,2950075A,1158,334,N,1234,TOTAL,231,13,215,
INGLEWOOD,2950076A,1159,334,N,1038,POLLING PLACE,171,9,155,
INGLEWOOD,2950076A,1159,334,N,,VBM PORTION,42,3,39,
INGLEWOOD,2950076A,1159,334,N,1038,TOTAL,213,12,194,
INGLEWOOD,2950080A,1160,331,N,920,POLLING PLACE,169,10,146,
INGLEWOOD,2950080A,1160,331,N,,VBM PORTION,27,2,22,
INGLEWOOD,2950080A,1160,331,N,920,TOTAL,196,12,168,
INGLEWOOD,2950084A,1161,331,N,782,POLLING PLACE,118,6,107,
INGLEWOOD,2950084A,1161,331,N,,VBM PORTION,40,14,25,
INGLEWOOD,2950084A,1161,331,N,782,TOTAL,158,20,132,
INGLEWOOD,2950087A,1162,331,N,908,POLLING PLACE,178,22,149,
INGLEWOOD,2950087A,1162,331,N,,VBM PORTION,68,13,50,
INGLEWOOD,2950087A,1162,331,N,908,TOTAL,246,35,199,
INGLEWOOD,2950088A,1163,331,N,1263,POLLING PLACE,353,48,275,
INGLEWOOD,2950088A,1163,331,N,,VBM PORTION,134,28,99,
INGLEWOOD,2950088A,1163,331,N,1263,TOTAL,487,76,374,
INGLEWOOD,2950092A,1165,334,N,939,POLLING PLACE,139,5,130,
INGLEWOOD,2950092A,1165,334,N,,VBM PORTION,52,,50,
INGLEWOOD,2950092A,1165,334,N,939,TOTAL,191,5,180,
INGLEWOOD,2950095A,1166,334,N,896,POLLING PLACE,185,11,164,
INGLEWOOD,2950095A,1166,334,N,,VBM PORTION,92,9,74,
INGLEWOOD,2950095A,1166,334,N,896,TOTAL,277,20,238,
INGLEWOOD,2950141A,1167,334,N,601,POLLING PLACE,106,3,100,
INGLEWOOD,2950141A,1167,334,N,,VBM PORTION,12,1,9,
INGLEWOOD,2950141A,1167,334,N,601,TOTAL,118,4,109,
INGLEWOOD,2950146A,1168,334,N,879,POLLING PLACE,87,8,66,
INGLEWOOD,2950146A,1168,334,N,,VBM PORTION,37,5,32,
INGLEWOOD,2950146A,1168,334,N,879,TOTAL,124,13,98,
INGLEWOOD,2950147A,1169,334,N,775,POLLING PLACE,127,8,110,
INGLEWOOD,2950147A,1169,334,N,,VBM PORTION,36,1,34,
INGLEWOOD,2950147A,1169,334,N,775,TOTAL,163,9,144,
INGLEWOOD,2950149A,1170,334,N,1108,POLLING PLACE,204,14,175,
INGLEWOOD,2950149A,1170,334,N,,VBM PORTION,38,2,35,
INGLEWOOD,2950149A,1170,334,N,1108,TOTAL,242,16,210,
INGLEWOOD,2950152A,1171,334,N,810,POLLING PLACE,318,19,285,
INGLEWOOD,2950152A,1171,334,N,,VBM PORTION,53,4,47,
INGLEWOOD,2950152A,1171,334,N,810,TOTAL,371,23,332,
