LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ADAM B SCHIFF,STEVE STOKES,
BURBANK,0950155A,328,103,N,1266,POLLING PLACE,207,146,48,
BURBANK,0950155A,328,103,N,,VBM PORTION,88,67,19,
BURBANK,0950155A,328,103,N,1266,TOTAL,295,213,67,
BURBANK,0950157A,329,103,N,948,POLLING PLACE,107,80,23,
BURBANK,0950157A,329,103,N,,VBM PORTION,57,47,4,
BURBANK,0950157A,329,103,N,948,TOTAL,164,127,27,
BURBANK,0950158B,330,103,N,1158,POLLING PLACE,221,146,56,
BURBANK,0950158B,330,103,N,,VBM PORTION,51,29,15,
BURBANK,0950158B,330,103,N,1158,TOTAL,272,175,71,
BURBANK,0950160A,331,103,N,1100,POLLING PLACE,184,139,38,
BURBANK,0950160A,331,103,N,,VBM PORTION,55,35,13,
BURBANK,0950160A,331,103,N,1100,TOTAL,239,174,51,
BURBANK,0950161A,332,103,N,1152,POLLING PLACE,227,142,67,
BURBANK,0950161A,332,103,N,,VBM PORTION,108,61,35,
BURBANK,0950161A,332,103,N,1152,TOTAL,335,203,102,
BURBANK,0950162A,333,103,N,1033,POLLING PLACE,205,133,58,
BURBANK,0950162A,333,103,N,,VBM PORTION,112,62,37,
BURBANK,0950162A,333,103,N,1033,TOTAL,317,195,95,
BURBANK,0950163A,334,103,N,983,POLLING PLACE,257,148,85,
BURBANK,0950163A,334,103,N,,VBM PORTION,99,65,27,
BURBANK,0950163A,334,103,N,983,TOTAL,356,213,112,
BURBANK,0950166B,335,103,N,702,POLLING PLACE,115,85,25,
BURBANK,0950166B,335,103,N,,VBM PORTION,62,44,13,
BURBANK,0950166B,335,103,N,702,TOTAL,177,129,38,
BURBANK,0950184A,342,103,N,1262,POLLING PLACE,240,143,85,
BURBANK,0950184A,342,103,N,,VBM PORTION,104,58,39,
BURBANK,0950184A,342,103,N,1262,TOTAL,344,201,124,
BURBANK,0950186A,343,94,N,832,POLLING PLACE,131,80,48,
BURBANK,0950186A,343,94,N,,VBM PORTION,69,38,28,
BURBANK,0950186A,343,94,N,832,TOTAL,200,118,76,
BURBANK,0950187A,344,94,N,1039,POLLING PLACE,242,166,58,
BURBANK,0950187A,344,94,N,,VBM PORTION,83,63,18,
BURBANK,0950187A,344,94,N,1039,TOTAL,325,229,76,
BURBANK,0950198A,349,103,N,1112,POLLING PLACE,207,133,61,
BURBANK,0950198A,349,103,N,,VBM PORTION,103,76,22,
BURBANK,0950198A,349,103,N,1112,TOTAL,310,209,83,
CANYON COUNTRY,1020023A,6040,50,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020023A,6040,50,Y,,TOTAL,,,,
CANYON COUNTRY,1020192G,6041,64,Y,26,POLLING PLACE,,,,
CANYON COUNTRY,1020192G,6041,64,Y,,VBM PORTION,13,3,8,
CANYON COUNTRY,1020192G,6041,64,Y,26,TOTAL,13,3,8,
CANYON COUNTRY,1020192X,6042,64,Y,,POLLING PLACE,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,VBM PORTION,,,,
CANYON COUNTRY,1020192X,6042,64,Y,,TOTAL,,,,
GLENDALE,2550002A,901,103,N,1249,POLLING PLACE,321,185,115,
GLENDALE,2550002A,901,103,N,,VBM PORTION,157,95,52,
GLENDALE,2550002A,901,103,N,1249,TOTAL,478,280,167,
GLENDALE,2550002C,6087,105,Y,33,POLLING PLACE,,,,
GLENDALE,2550002C,6087,105,Y,,VBM PORTION,9,4,4,
GLENDALE,2550002C,6087,105,Y,33,TOTAL,9,4,4,
GLENDALE,2550003A,6088,104,Y,,POLLING PLACE,,,,
GLENDALE,2550003A,6088,104,Y,,VBM PORTION,,,,
GLENDALE,2550003A,6088,104,Y,,TOTAL,,,,
GLENDALE,2550004A,902,103,N,860,POLLING PLACE,131,77,42,
GLENDALE,2550004A,902,103,N,,VBM PORTION,86,60,22,
GLENDALE,2550004A,902,103,N,860,TOTAL,217,137,64,
GLENDALE,2550006A,903,103,N,1332,POLLING PLACE,347,219,107,
GLENDALE,2550006A,903,103,N,,VBM PORTION,193,101,75,
GLENDALE,2550006A,903,103,N,1332,TOTAL,540,320,182,
GLENDALE,2550008A,904,103,N,1135,POLLING PLACE,316,198,104,
GLENDALE,2550008A,904,103,N,,VBM PORTION,125,75,37,
GLENDALE,2550008A,904,103,N,1135,TOTAL,441,273,141,
GLENDALE,2550009A,905,103,N,918,POLLING PLACE,227,115,104,
GLENDALE,2550009A,905,103,N,,VBM PORTION,90,49,30,
GLENDALE,2550009A,905,103,N,918,TOTAL,317,164,134,
GLENDALE,2550010A,906,103,N,797,POLLING PLACE,221,121,89,
GLENDALE,2550010A,906,103,N,,VBM PORTION,94,53,31,
GLENDALE,2550010A,906,103,N,797,TOTAL,315,174,120,
GLENDALE,2550011A,907,103,N,1207,POLLING PLACE,256,165,80,
GLENDALE,2550011A,907,103,N,,VBM PORTION,104,71,25,
GLENDALE,2550011A,907,103,N,1207,TOTAL,360,236,105,
GLENDALE,2550015A,908,103,N,1221,POLLING PLACE,283,163,104,
GLENDALE,2550015A,908,103,N,,VBM PORTION,112,63,39,
GLENDALE,2550015A,908,103,N,1221,TOTAL,395,226,143,
GLENDALE,2550017A,909,103,N,1020,POLLING PLACE,184,113,60,
GLENDALE,2550017A,909,103,N,,VBM PORTION,104,66,27,
GLENDALE,2550017A,909,103,N,1020,TOTAL,288,179,87,
GLENDALE,2550017B,910,105,N,563,POLLING PLACE,63,37,19,
GLENDALE,2550017B,910,105,N,,VBM PORTION,48,40,7,
GLENDALE,2550017B,910,105,N,563,TOTAL,111,77,26,
GLENDALE,2550018A,911,103,N,585,POLLING PLACE,100,57,34,
GLENDALE,2550018A,911,103,N,,VBM PORTION,44,20,21,
GLENDALE,2550018A,911,103,N,585,TOTAL,144,77,55,
GLENDALE,2550019C,6089,105,Y,8,POLLING PLACE,,,,
GLENDALE,2550019C,6089,105,Y,,VBM PORTION,,,,
GLENDALE,2550019C,6089,105,Y,8,TOTAL,,,,
GLENDALE,2550020A,912,103,N,1314,POLLING PLACE,245,170,56,
GLENDALE,2550020A,912,103,N,,VBM PORTION,159,104,40,
GLENDALE,2550020A,912,103,N,1314,TOTAL,404,274,96,
GLENDALE,2550023A,913,103,N,1244,POLLING PLACE,244,146,77,
GLENDALE,2550023A,913,103,N,,VBM PORTION,181,117,47,
GLENDALE,2550023A,913,103,N,1244,TOTAL,425,263,124,
GLENDALE,2550024A,914,103,N,908,POLLING PLACE,173,101,61,
GLENDALE,2550024A,914,103,N,,VBM PORTION,148,90,44,
GLENDALE,2550024A,914,103,N,908,TOTAL,321,191,105,
GLENDALE,2550025A,915,103,N,1162,POLLING PLACE,255,148,94,
GLENDALE,2550025A,915,103,N,,VBM PORTION,165,89,63,
GLENDALE,2550025A,915,103,N,1162,TOTAL,420,237,157,
GLENDALE,2550027A,916,103,N,824,POLLING PLACE,148,98,44,
GLENDALE,2550027A,916,103,N,,VBM PORTION,86,60,18,
GLENDALE,2550027A,916,103,N,824,TOTAL,234,158,62,
GLENDALE,2550028A,917,103,N,878,POLLING PLACE,162,95,62,
GLENDALE,2550028A,917,103,N,,VBM PORTION,74,44,26,
GLENDALE,2550028A,917,103,N,878,TOTAL,236,139,88,
GLENDALE,2550029A,918,103,N,848,POLLING PLACE,201,132,58,
GLENDALE,2550029A,918,103,N,,VBM PORTION,74,53,14,
GLENDALE,2550029A,918,103,N,848,TOTAL,275,185,72,
GLENDALE,2550032A,919,103,N,820,POLLING PLACE,141,90,43,
GLENDALE,2550032A,919,103,N,,VBM PORTION,71,42,24,
GLENDALE,2550032A,919,103,N,820,TOTAL,212,132,67,
GLENDALE,2550035A,920,103,N,797,POLLING PLACE,194,150,35,
GLENDALE,2550035A,920,103,N,,VBM PORTION,91,58,25,
GLENDALE,2550035A,920,103,N,797,TOTAL,285,208,60,
GLENDALE,2550036A,921,103,N,862,POLLING PLACE,216,130,72,
GLENDALE,2550036A,921,103,N,,VBM PORTION,71,42,23,
GLENDALE,2550036A,921,103,N,862,TOTAL,287,172,95,
GLENDALE,2550037A,922,103,N,1420,POLLING PLACE,207,140,49,
GLENDALE,2550037A,922,103,N,,VBM PORTION,140,80,47,
GLENDALE,2550037A,922,103,N,1420,TOTAL,347,220,96,
GLENDALE,2550039A,923,103,N,866,POLLING PLACE,119,76,41,
GLENDALE,2550039A,923,103,N,,VBM PORTION,115,73,32,
GLENDALE,2550039A,923,103,N,866,TOTAL,234,149,73,
GLENDALE,2550040A,924,103,N,1215,POLLING PLACE,268,178,77,
GLENDALE,2550040A,924,103,N,,VBM PORTION,156,111,33,
GLENDALE,2550040A,924,103,N,1215,TOTAL,424,289,110,
GLENDALE,2550041A,925,103,N,840,POLLING PLACE,130,97,24,
GLENDALE,2550041A,925,103,N,,VBM PORTION,94,73,14,
GLENDALE,2550041A,925,103,N,840,TOTAL,224,170,38,
GLENDALE,2550044A,926,103,N,870,POLLING PLACE,170,108,55,
GLENDALE,2550044A,926,103,N,,VBM PORTION,94,52,30,
GLENDALE,2550044A,926,103,N,870,TOTAL,264,160,85,
GLENDALE,2550047A,927,103,N,1248,POLLING PLACE,226,147,63,
GLENDALE,2550047A,927,103,N,,VBM PORTION,115,84,21,
GLENDALE,2550047A,927,103,N,1248,TOTAL,341,231,84,
GLENDALE,2550048A,928,103,N,1331,POLLING PLACE,107,74,25,
GLENDALE,2550048A,928,103,N,,VBM PORTION,104,85,12,
GLENDALE,2550048A,928,103,N,1331,TOTAL,211,159,37,
GLENDALE,2550050A,929,103,N,883,POLLING PLACE,164,85,73,
GLENDALE,2550050A,929,103,N,,VBM PORTION,139,76,47,
GLENDALE,2550050A,929,103,N,883,TOTAL,303,161,120,
GLENDALE,2550051A,930,103,N,1326,POLLING PLACE,122,100,18,
GLENDALE,2550051A,930,103,N,,VBM PORTION,86,70,8,
GLENDALE,2550051A,930,103,N,1326,TOTAL,208,170,26,
GLENDALE,2550052A,931,103,N,978,POLLING PLACE,262,155,95,
GLENDALE,2550052A,931,103,N,,VBM PORTION,100,60,30,
GLENDALE,2550052A,931,103,N,978,TOTAL,362,215,125,
GLENDALE,2550053A,932,103,N,940,POLLING PLACE,164,106,41,
GLENDALE,2550053A,932,103,N,,VBM PORTION,81,52,20,
GLENDALE,2550053A,932,103,N,940,TOTAL,245,158,61,
GLENDALE,2550054A,933,103,N,1026,POLLING PLACE,225,133,78,
GLENDALE,2550054A,933,103,N,,VBM PORTION,134,74,47,
GLENDALE,2550054A,933,103,N,1026,TOTAL,359,207,125,
GLENDALE,2550058A,934,103,N,1155,POLLING PLACE,154,120,31,
GLENDALE,2550058A,934,103,N,,VBM PORTION,104,61,32,
GLENDALE,2550058A,934,103,N,1155,TOTAL,258,181,63,
GLENDALE,2550060A,935,103,N,1322,POLLING PLACE,224,151,59,
GLENDALE,2550060A,935,103,N,,VBM PORTION,155,104,39,
GLENDALE,2550060A,935,103,N,1322,TOTAL,379,255,98,
GLENDALE,2550061A,936,103,N,1101,POLLING PLACE,108,67,25,
GLENDALE,2550061A,936,103,N,,VBM PORTION,68,55,9,
GLENDALE,2550061A,936,103,N,1101,TOTAL,176,122,34,
GLENDALE,2550062A,937,103,N,1049,POLLING PLACE,66,51,11,
GLENDALE,2550062A,937,103,N,,VBM PORTION,63,43,14,
GLENDALE,2550062A,937,103,N,1049,TOTAL,129,94,25,
GLENDALE,2550065A,938,103,N,1018,POLLING PLACE,181,120,48,
GLENDALE,2550065A,938,103,N,,VBM PORTION,98,51,35,
GLENDALE,2550065A,938,103,N,1018,TOTAL,279,171,83,
GLENDALE,2550066B,939,103,N,985,POLLING PLACE,69,53,11,
GLENDALE,2550066B,939,103,N,,VBM PORTION,84,68,9,
GLENDALE,2550066B,939,103,N,985,TOTAL,153,121,20,
GLENDALE,2550067A,940,103,N,1258,POLLING PLACE,204,131,55,
GLENDALE,2550067A,940,103,N,,VBM PORTION,125,94,25,
GLENDALE,2550067A,940,103,N,1258,TOTAL,329,225,80,
GLENDALE,2550069A,941,103,N,1128,POLLING PLACE,159,114,35,
GLENDALE,2550069A,941,103,N,,VBM PORTION,103,74,19,
GLENDALE,2550069A,941,103,N,1128,TOTAL,262,188,54,
GLENDALE,2550071A,942,103,N,1079,POLLING PLACE,112,84,23,
GLENDALE,2550071A,942,103,N,,VBM PORTION,68,45,12,
GLENDALE,2550071A,942,103,N,1079,TOTAL,180,129,35,
GLENDALE,2550072A,943,103,N,1029,POLLING PLACE,75,59,12,
GLENDALE,2550072A,943,103,N,,VBM PORTION,85,62,16,
GLENDALE,2550072A,943,103,N,1029,TOTAL,160,121,28,
GLENDALE,2550073A,944,103,N,994,POLLING PLACE,135,91,32,
GLENDALE,2550073A,944,103,N,,VBM PORTION,77,55,17,
GLENDALE,2550073A,944,103,N,994,TOTAL,212,146,49,
GLENDALE,2550074A,945,103,N,1216,POLLING PLACE,110,73,30,
GLENDALE,2550074A,945,103,N,,VBM PORTION,90,74,10,
GLENDALE,2550074A,945,103,N,1216,TOTAL,200,147,40,
GLENDALE,2550079A,946,103,N,858,POLLING PLACE,119,79,32,
GLENDALE,2550079A,946,103,N,,VBM PORTION,54,35,12,
GLENDALE,2550079A,946,103,N,858,TOTAL,173,114,44,
GLENDALE,2550080A,947,103,N,1062,POLLING PLACE,191,136,45,
GLENDALE,2550080A,947,103,N,,VBM PORTION,72,53,13,
GLENDALE,2550080A,947,103,N,1062,TOTAL,263,189,58,
GLENDALE,2550081A,948,103,N,1222,POLLING PLACE,135,111,20,
GLENDALE,2550081A,948,103,N,,VBM PORTION,90,67,16,
GLENDALE,2550081A,948,103,N,1222,TOTAL,225,178,36,
GLENDALE,2550082A,949,103,N,960,POLLING PLACE,85,58,17,
GLENDALE,2550082A,949,103,N,,VBM PORTION,66,55,10,
GLENDALE,2550082A,949,103,N,960,TOTAL,151,113,27,
GLENDALE,2550085A,950,103,N,1174,POLLING PLACE,175,124,36,
GLENDALE,2550085A,950,103,N,,VBM PORTION,138,103,25,
GLENDALE,2550085A,950,103,N,1174,TOTAL,313,227,61,
GLENDALE,2550086A,951,103,N,1071,POLLING PLACE,122,88,21,
GLENDALE,2550086A,951,103,N,,VBM PORTION,113,76,28,
GLENDALE,2550086A,951,103,N,1071,TOTAL,235,164,49,
GLENDALE,2550087A,952,103,N,1206,POLLING PLACE,135,110,17,
GLENDALE,2550087A,952,103,N,,VBM PORTION,93,75,10,
GLENDALE,2550087A,952,103,N,1206,TOTAL,228,185,27,
GLENDALE,2550088C,953,103,N,1166,POLLING PLACE,93,66,15,
GLENDALE,2550088C,953,103,N,,VBM PORTION,72,55,11,
GLENDALE,2550088C,953,103,N,1166,TOTAL,165,121,26,
GLENDALE,2550089A,954,103,N,1120,POLLING PLACE,115,89,20,
GLENDALE,2550089A,954,103,N,,VBM PORTION,129,89,25,
GLENDALE,2550089A,954,103,N,1120,TOTAL,244,178,45,
GLENDALE,2550090A,955,103,N,959,POLLING PLACE,119,87,23,
GLENDALE,2550090A,955,103,N,,VBM PORTION,63,44,13,
GLENDALE,2550090A,955,103,N,959,TOTAL,182,131,36,
GLENDALE,2550091A,956,103,N,1190,POLLING PLACE,147,107,35,
GLENDALE,2550091A,956,103,N,,VBM PORTION,80,56,13,
GLENDALE,2550091A,956,103,N,1190,TOTAL,227,163,48,
GLENDALE,2550095A,957,103,N,1271,POLLING PLACE,126,95,23,
GLENDALE,2550095A,957,103,N,,VBM PORTION,81,65,11,
GLENDALE,2550095A,957,103,N,1271,TOTAL,207,160,34,
GLENDALE,2550097A,958,103,N,1046,POLLING PLACE,142,99,36,
GLENDALE,2550097A,958,103,N,,VBM PORTION,71,48,19,
GLENDALE,2550097A,958,103,N,1046,TOTAL,213,147,55,
GLENDALE,2550098A,959,103,N,841,POLLING PLACE,171,109,46,
GLENDALE,2550098A,959,103,N,,VBM PORTION,71,44,16,
GLENDALE,2550098A,959,103,N,841,TOTAL,242,153,62,
GLENDALE,2550100A,960,103,N,1246,POLLING PLACE,125,95,23,
GLENDALE,2550100A,960,103,N,,VBM PORTION,83,69,8,
GLENDALE,2550100A,960,103,N,1246,TOTAL,208,164,31,
GLENDALE,2550102A,961,103,N,1132,POLLING PLACE,163,115,35,
GLENDALE,2550102A,961,103,N,,VBM PORTION,83,65,13,
GLENDALE,2550102A,961,103,N,1132,TOTAL,246,180,48,
GLENDALE,2550105A,962,103,N,1025,POLLING PLACE,86,62,20,
GLENDALE,2550105A,962,103,N,,VBM PORTION,89,76,7,
GLENDALE,2550105A,962,103,N,1025,TOTAL,175,138,27,
GLENDALE,2550108A,963,103,N,1217,POLLING PLACE,170,138,25,
GLENDALE,2550108A,963,103,N,,VBM PORTION,120,100,16,
GLENDALE,2550108A,963,103,N,1217,TOTAL,290,238,41,
GLENDALE,2550111A,964,103,N,1153,POLLING PLACE,92,75,12,
GLENDALE,2550111A,964,103,N,,VBM PORTION,100,83,12,
GLENDALE,2550111A,964,103,N,1153,TOTAL,192,158,24,
GLENDALE,2550113A,965,103,N,1036,POLLING PLACE,179,111,45,
GLENDALE,2550113A,965,103,N,,VBM PORTION,104,78,16,
GLENDALE,2550113A,965,103,N,1036,TOTAL,283,189,61,
GLENDALE,2550116A,966,103,N,1134,POLLING PLACE,256,198,50,
GLENDALE,2550116A,966,103,N,,VBM PORTION,114,69,36,
GLENDALE,2550116A,966,103,N,1134,TOTAL,370,267,86,
GLENDALE,2550117A,967,103,N,1191,POLLING PLACE,81,59,17,
GLENDALE,2550117A,967,103,N,,VBM PORTION,100,84,10,
GLENDALE,2550117A,967,103,N,1191,TOTAL,181,143,27,
GLENDALE,2550118A,968,103,N,1111,POLLING PLACE,101,76,15,
GLENDALE,2550118A,968,103,N,,VBM PORTION,66,48,12,
GLENDALE,2550118A,968,103,N,1111,TOTAL,167,124,27,
GLENDALE,2550119A,969,103,N,1252,POLLING PLACE,103,79,14,
GLENDALE,2550119A,969,103,N,,VBM PORTION,77,55,15,
GLENDALE,2550119A,969,103,N,1252,TOTAL,180,134,29,
GLENDALE,2550120A,970,103,N,1220,POLLING PLACE,135,109,22,
GLENDALE,2550120A,970,103,N,,VBM PORTION,125,92,23,
GLENDALE,2550120A,970,103,N,1220,TOTAL,260,201,45,
GLENDALE,2550120B,971,103,N,1179,POLLING PLACE,144,117,17,
GLENDALE,2550120B,971,103,N,,VBM PORTION,60,45,9,
GLENDALE,2550120B,971,103,N,1179,TOTAL,204,162,26,
GLENDALE,2550121A,972,103,N,1153,POLLING PLACE,91,75,12,
GLENDALE,2550121A,972,103,N,,VBM PORTION,61,51,6,
GLENDALE,2550121A,972,103,N,1153,TOTAL,152,126,18,
GLENDALE,2550123A,973,103,N,1100,POLLING PLACE,126,98,20,
GLENDALE,2550123A,973,103,N,,VBM PORTION,101,73,20,
GLENDALE,2550123A,973,103,N,1100,TOTAL,227,171,40,
GLENDALE,2550125A,974,103,N,1233,POLLING PLACE,102,71,24,
GLENDALE,2550125A,974,103,N,,VBM PORTION,125,108,7,
GLENDALE,2550125A,974,103,N,1233,TOTAL,227,179,31,
GLENDALE,2550131A,975,103,N,1079,POLLING PLACE,102,66,24,
GLENDALE,2550131A,975,103,N,,VBM PORTION,88,68,7,
GLENDALE,2550131A,975,103,N,1079,TOTAL,190,134,31,
GLENDALE,2550135A,976,103,N,1219,POLLING PLACE,144,100,33,
GLENDALE,2550135A,976,103,N,,VBM PORTION,118,86,18,
GLENDALE,2550135A,976,103,N,1219,TOTAL,262,186,51,
GLENDALE,2550140A,977,103,N,1135,POLLING PLACE,126,98,23,
GLENDALE,2550140A,977,103,N,,VBM PORTION,115,92,15,
GLENDALE,2550140A,977,103,N,1135,TOTAL,241,190,38,
GLENDALE,2550142A,978,103,N,821,POLLING PLACE,117,91,23,
GLENDALE,2550142A,978,103,N,,VBM PORTION,77,51,22,
GLENDALE,2550142A,978,103,N,821,TOTAL,194,142,45,
GLENDALE,2550143A,979,103,N,874,POLLING PLACE,187,127,52,
GLENDALE,2550143A,979,103,N,,VBM PORTION,64,37,25,
GLENDALE,2550143A,979,103,N,874,TOTAL,251,164,77,
GLENDALE,2550149A,980,103,N,744,POLLING PLACE,195,111,72,
GLENDALE,2550149A,980,103,N,,VBM PORTION,92,63,25,
GLENDALE,2550149A,980,103,N,744,TOTAL,287,174,97,
GLENDALE,2550150A,981,103,N,885,POLLING PLACE,167,115,43,
GLENDALE,2550150A,981,103,N,,VBM PORTION,103,63,31,
GLENDALE,2550150A,981,103,N,885,TOTAL,270,178,74,
GLENDALE,2550151A,982,103,N,1167,POLLING PLACE,336,229,87,
GLENDALE,2550151A,982,103,N,,VBM PORTION,128,73,46,
GLENDALE,2550151A,982,103,N,1167,TOTAL,464,302,133,
GLENDALE,2550178A,983,103,N,1062,POLLING PLACE,254,147,94,
GLENDALE,2550178A,983,103,N,,VBM PORTION,144,95,45,
GLENDALE,2550178A,983,103,N,1062,TOTAL,398,242,139,
GLENDALE,2550190A,984,103,N,1229,POLLING PLACE,132,96,29,
GLENDALE,2550190A,984,103,N,,VBM PORTION,91,60,26,
GLENDALE,2550190A,984,103,N,1229,TOTAL,223,156,55,
GLENDALE,2550192A,985,103,N,1078,POLLING PLACE,190,111,70,
GLENDALE,2550192A,985,103,N,,VBM PORTION,141,89,36,
GLENDALE,2550192A,985,103,N,1078,TOTAL,331,200,106,
LA CANADA FLINTRIDGE,3150001A,1174,104,N,1045,POLLING PLACE,278,165,94,
