LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHNNIE ROBERTS JR,JAMES T LAW,DANIELA CALDERON,W H MURRAY JR,MERVIN EVANS,
DEL AIRE,1680007A,621,338,N,985,POLLING PLACE,206,17,15,50,72,13,
DEL AIRE,1680007A,621,338,N,,VBM PORTION,48,4,4,3,14,1,
DEL AIRE,1680007A,621,338,N,985,TOTAL,254,21,19,53,86,14,
HAWTHORNE,2700001A,1052,336,N,975,POLLING PLACE,138,9,10,40,54,8,
HAWTHORNE,2700001A,1052,336,N,,VBM PORTION,25,1,2,1,15,,
HAWTHORNE,2700001A,1052,336,N,975,TOTAL,163,10,12,41,69,8,
HAWTHORNE,2700001C,6094,337,Y,56,POLLING PLACE,,,,,,,
HAWTHORNE,2700001C,6094,337,Y,,VBM PORTION,1,,,1,,,
HAWTHORNE,2700001C,6094,337,Y,56,TOTAL,1,,,1,,,
HAWTHORNE,2700003A,1053,336,N,1050,POLLING PLACE,192,17,19,36,73,10,
HAWTHORNE,2700003A,1053,336,N,,VBM PORTION,39,6,3,4,18,5,
HAWTHORNE,2700003A,1053,336,N,1050,TOTAL,231,23,22,40,91,15,
HAWTHORNE,2700004A,1054,336,N,1070,POLLING PLACE,141,8,14,39,53,7,
HAWTHORNE,2700004A,1054,336,N,,VBM PORTION,61,4,3,9,25,,
HAWTHORNE,2700004A,1054,336,N,1070,TOTAL,202,12,17,48,78,7,
HAWTHORNE,2700007A,1055,336,N,703,POLLING PLACE,139,7,9,29,62,7,
HAWTHORNE,2700007A,1055,336,N,,VBM PORTION,74,6,7,5,26,3,
HAWTHORNE,2700007A,1055,336,N,703,TOTAL,213,13,16,34,88,10,
HAWTHORNE,2700009A,1056,336,N,866,POLLING PLACE,133,14,9,30,43,8,
HAWTHORNE,2700009A,1056,336,N,,VBM PORTION,34,4,,6,16,3,
HAWTHORNE,2700009A,1056,336,N,866,TOTAL,167,18,9,36,59,11,
HAWTHORNE,2700010A,1057,336,N,968,POLLING PLACE,167,16,15,45,54,10,
HAWTHORNE,2700010A,1057,336,N,,VBM PORTION,71,2,4,11,37,1,
HAWTHORNE,2700010A,1057,336,N,968,TOTAL,238,18,19,56,91,11,
HAWTHORNE,2700011A,6096,338,Y,271,POLLING PLACE,,,,,,,
HAWTHORNE,2700011A,6096,338,Y,,VBM PORTION,76,2,2,5,46,,
HAWTHORNE,2700011A,6096,338,Y,271,TOTAL,76,2,2,5,46,,
HAWTHORNE,2700013A,1058,336,N,1027,POLLING PLACE,130,4,8,18,69,8,
HAWTHORNE,2700013A,1058,336,N,,VBM PORTION,50,,2,6,26,4,
HAWTHORNE,2700013A,1058,336,N,1027,TOTAL,180,4,10,24,95,12,
HAWTHORNE,2700014A,1059,336,N,1097,POLLING PLACE,117,9,10,29,48,5,
HAWTHORNE,2700014A,1059,336,N,,VBM PORTION,39,2,,12,14,4,
HAWTHORNE,2700014A,1059,336,N,1097,TOTAL,156,11,10,41,62,9,
HAWTHORNE,2700015A,1060,336,N,919,POLLING PLACE,93,7,6,17,46,5,
HAWTHORNE,2700015A,1060,336,N,,VBM PORTION,41,1,8,8,18,,
HAWTHORNE,2700015A,1060,336,N,919,TOTAL,134,8,14,25,64,5,
HAWTHORNE,2700016A,1061,336,N,888,POLLING PLACE,101,11,12,17,41,3,
HAWTHORNE,2700016A,1061,336,N,,VBM PORTION,23,2,3,1,11,,
HAWTHORNE,2700016A,1061,336,N,888,TOTAL,124,13,15,18,52,3,
HAWTHORNE,2700017A,1062,336,N,1056,POLLING PLACE,181,16,14,43,80,5,
HAWTHORNE,2700017A,1062,336,N,,VBM PORTION,30,4,,4,17,,
HAWTHORNE,2700017A,1062,336,N,1056,TOTAL,211,20,14,47,97,5,
HAWTHORNE,2700019A,1063,336,N,1064,POLLING PLACE,150,15,19,31,48,4,
HAWTHORNE,2700019A,1063,336,N,,VBM PORTION,45,3,4,6,20,,
HAWTHORNE,2700019A,1063,336,N,1064,TOTAL,195,18,23,37,68,4,
HAWTHORNE,2700020A,1064,336,N,1131,POLLING PLACE,197,16,19,32,92,12,
HAWTHORNE,2700020A,1064,336,N,,VBM PORTION,41,2,8,5,17,2,
HAWTHORNE,2700020A,1064,336,N,1131,TOTAL,238,18,27,37,109,14,
HAWTHORNE,2700021A,1065,336,N,1167,POLLING PLACE,142,9,9,20,61,9,
HAWTHORNE,2700021A,1065,336,N,,VBM PORTION,39,6,1,5,17,2,
HAWTHORNE,2700021A,1065,336,N,1167,TOTAL,181,15,10,25,78,11,
HAWTHORNE,2700022A,1066,336,N,1003,POLLING PLACE,120,13,17,20,48,11,
HAWTHORNE,2700022A,1066,336,N,,VBM PORTION,53,2,7,7,19,3,
HAWTHORNE,2700022A,1066,336,N,1003,TOTAL,173,15,24,27,67,14,
HAWTHORNE,2700023A,1067,336,N,1071,POLLING PLACE,189,15,15,39,74,10,
HAWTHORNE,2700023A,1067,336,N,,VBM PORTION,53,3,2,8,24,3,
HAWTHORNE,2700023A,1067,336,N,1071,TOTAL,242,18,17,47,98,13,
HAWTHORNE,2700025C,1068,336,N,1146,POLLING PLACE,170,14,8,29,84,10,
HAWTHORNE,2700025C,1068,336,N,,VBM PORTION,93,5,10,12,41,7,
HAWTHORNE,2700025C,1068,336,N,1146,TOTAL,263,19,18,41,125,17,
HAWTHORNE,2700028A,1069,336,N,1156,POLLING PLACE,149,12,12,21,81,5,
HAWTHORNE,2700028A,1069,336,N,,VBM PORTION,59,4,5,7,31,2,
HAWTHORNE,2700028A,1069,336,N,1156,TOTAL,208,16,17,28,112,7,
HAWTHORNE,2700029A,1070,336,N,1059,POLLING PLACE,143,12,18,43,53,4,
HAWTHORNE,2700029A,1070,336,N,,VBM PORTION,46,1,6,5,18,2,
HAWTHORNE,2700029A,1070,336,N,1059,TOTAL,189,13,24,48,71,6,
HAWTHORNE,2700039B,1071,336,N,1160,POLLING PLACE,295,13,13,38,108,13,
HAWTHORNE,2700039B,1071,336,N,,VBM PORTION,125,1,5,14,62,8,
HAWTHORNE,2700039B,1071,336,N,1160,TOTAL,420,14,18,52,170,21,
HAWTHORNE,2700041A,1072,336,N,1218,POLLING PLACE,285,9,13,44,126,14,
HAWTHORNE,2700041A,1072,336,N,,VBM PORTION,128,2,6,11,62,5,
HAWTHORNE,2700041A,1072,336,N,1218,TOTAL,413,11,19,55,188,19,
HAWTHORNE,2700043A,1073,336,N,1139,POLLING PLACE,145,12,17,47,46,5,
HAWTHORNE,2700043A,1073,336,N,,VBM PORTION,39,5,6,4,13,1,
HAWTHORNE,2700043A,1073,336,N,1139,TOTAL,184,17,23,51,59,6,
HAWTHORNE,2700051A,1074,336,N,1071,POLLING PLACE,155,9,8,37,73,6,
HAWTHORNE,2700051A,1074,336,N,,VBM PORTION,33,1,3,3,17,3,
HAWTHORNE,2700051A,1074,336,N,1071,TOTAL,188,10,11,40,90,9,
HAWTHORNE,2700051B,6097,337,Y,56,POLLING PLACE,,,,,,,
HAWTHORNE,2700051B,6097,337,Y,,VBM PORTION,5,1,,,2,,
HAWTHORNE,2700051B,6097,337,Y,56,TOTAL,5,1,,,2,,
HAWTHORNE,2700090A,1075,336,N,949,POLLING PLACE,182,14,21,27,87,8,
HAWTHORNE,2700090A,1075,336,N,,VBM PORTION,43,8,,7,14,,
HAWTHORNE,2700090A,1075,336,N,949,TOTAL,225,22,21,34,101,8,
HAWTHORNE,2700091A,1076,336,N,921,POLLING PLACE,173,8,17,42,56,6,
HAWTHORNE,2700091A,1076,336,N,,VBM PORTION,18,,4,2,5,1,
HAWTHORNE,2700091A,1076,336,N,921,TOTAL,191,8,21,44,61,7,
HAWTHORNE,2700092A,1077,337,N,1088,POLLING PLACE,250,9,16,16,168,9,
HAWTHORNE,2700092A,1077,337,N,,VBM PORTION,90,8,7,10,44,3,
HAWTHORNE,2700092A,1077,337,N,1088,TOTAL,340,17,23,26,212,12,
HAWTHORNE,2700094A,1078,337,N,992,POLLING PLACE,295,12,15,19,203,13,
HAWTHORNE,2700094A,1078,337,N,,VBM PORTION,84,9,7,7,36,,
HAWTHORNE,2700094A,1078,337,N,992,TOTAL,379,21,22,26,239,13,
HAWTHORNE,2700101A,1079,336,N,809,POLLING PLACE,140,8,11,27,54,7,
HAWTHORNE,2700101A,1079,336,N,,VBM PORTION,34,3,1,4,16,1,
HAWTHORNE,2700101A,1079,336,N,809,TOTAL,174,11,12,31,70,8,
HAWTHORNE,2700103B,1080,336,N,1147,POLLING PLACE,216,13,24,57,77,6,
HAWTHORNE,2700103B,1080,336,N,,VBM PORTION,53,3,8,6,23,3,
HAWTHORNE,2700103B,1080,336,N,1147,TOTAL,269,16,32,63,100,9,
HAWTHORNE,2700105A,1081,336,N,1040,POLLING PLACE,144,10,17,18,78,3,
HAWTHORNE,2700105A,1081,336,N,,VBM PORTION,33,3,1,7,12,1,
HAWTHORNE,2700105A,1081,336,N,1040,TOTAL,177,13,18,25,90,4,
HAWTHORNE,2700106A,1082,336,N,1066,POLLING PLACE,134,13,9,25,61,5,
HAWTHORNE,2700106A,1082,336,N,,VBM PORTION,31,4,3,3,15,1,
HAWTHORNE,2700106A,1082,336,N,1066,TOTAL,165,17,12,28,76,6,
HAWTHORNE,2700109A,1083,336,N,945,POLLING PLACE,155,11,11,37,52,6,
HAWTHORNE,2700109A,1083,336,N,,VBM PORTION,79,8,9,9,31,3,
HAWTHORNE,2700109A,1083,336,N,945,TOTAL,234,19,20,46,83,9,
HAWTHORNE,2700116A,1084,336,N,1021,POLLING PLACE,129,11,10,17,66,5,
HAWTHORNE,2700116A,1084,336,N,,VBM PORTION,24,2,2,3,16,,
HAWTHORNE,2700116A,1084,336,N,1021,TOTAL,153,13,12,20,82,5,
INGLEWOOD,2950001A,1114,334,N,962,POLLING PLACE,269,6,15,11,185,13,
INGLEWOOD,2950001A,1114,334,N,,VBM PORTION,76,3,3,5,45,2,
INGLEWOOD,2950001A,1114,334,N,962,TOTAL,345,9,18,16,230,15,
INGLEWOOD,2950002A,1115,331,N,1070,POLLING PLACE,223,16,9,54,111,5,
INGLEWOOD,2950002A,1115,331,N,,VBM PORTION,52,3,5,12,21,1,
INGLEWOOD,2950002A,1115,331,N,1070,TOTAL,275,19,14,66,132,6,
INGLEWOOD,2950003A,1116,334,N,586,POLLING PLACE,180,6,13,7,125,2,
INGLEWOOD,2950003A,1116,334,N,,VBM PORTION,45,,2,2,31,,
INGLEWOOD,2950003A,1116,334,N,586,TOTAL,225,6,15,9,156,2,
INGLEWOOD,2950004A,1117,334,N,550,POLLING PLACE,166,7,5,17,106,2,
INGLEWOOD,2950004A,1117,334,N,,VBM PORTION,48,,1,4,28,1,
INGLEWOOD,2950004A,1117,334,N,550,TOTAL,214,7,6,21,134,3,
INGLEWOOD,2950005A,1118,334,N,552,POLLING PLACE,58,3,1,17,29,,
INGLEWOOD,2950005A,1118,334,N,,VBM PORTION,22,3,2,6,5,,
INGLEWOOD,2950005A,1118,334,N,552,TOTAL,80,6,3,23,34,,
INGLEWOOD,2950006B,1119,334,N,791,POLLING PLACE,207,10,14,18,136,5,
INGLEWOOD,2950006B,1119,334,N,,VBM PORTION,76,3,5,8,44,,
INGLEWOOD,2950006B,1119,334,N,791,TOTAL,283,13,19,26,180,5,
INGLEWOOD,2950007A,1120,334,N,1109,POLLING PLACE,136,7,15,14,79,4,
INGLEWOOD,2950007A,1120,334,N,,VBM PORTION,54,4,7,6,25,3,
INGLEWOOD,2950007A,1120,334,N,1109,TOTAL,190,11,22,20,104,7,
INGLEWOOD,2950008A,1121,334,N,938,POLLING PLACE,302,8,17,34,192,11,
INGLEWOOD,2950008A,1121,334,N,,VBM PORTION,49,2,6,2,27,,
INGLEWOOD,2950008A,1121,334,N,938,TOTAL,351,10,23,36,219,11,
INGLEWOOD,2950009B,1122,334,N,1062,POLLING PLACE,262,11,17,17,174,6,
INGLEWOOD,2950009B,1122,334,N,,VBM PORTION,109,5,7,23,55,1,
INGLEWOOD,2950009B,1122,334,N,1062,TOTAL,371,16,24,40,229,7,
INGLEWOOD,2950010A,1123,334,N,1069,POLLING PLACE,270,17,20,18,176,5,
INGLEWOOD,2950010A,1123,334,N,,VBM PORTION,76,4,11,7,44,3,
INGLEWOOD,2950010A,1123,334,N,1069,TOTAL,346,21,31,25,220,8,
INGLEWOOD,2950011A,1124,334,N,769,POLLING PLACE,263,6,13,14,197,4,
INGLEWOOD,2950011A,1124,334,N,,VBM PORTION,78,4,4,3,53,,
INGLEWOOD,2950011A,1124,334,N,769,TOTAL,341,10,17,17,250,4,
INGLEWOOD,2950013B,1125,334,N,901,POLLING PLACE,171,14,15,31,85,8,
INGLEWOOD,2950013B,1125,334,N,,VBM PORTION,61,2,9,7,31,2,
INGLEWOOD,2950013B,1125,334,N,901,TOTAL,232,16,24,38,116,10,
INGLEWOOD,2950014B,1126,334,N,900,POLLING PLACE,210,16,13,10,141,9,
INGLEWOOD,2950014B,1126,334,N,,VBM PORTION,72,1,6,5,43,1,
INGLEWOOD,2950014B,1126,334,N,900,TOTAL,282,17,19,15,184,10,
INGLEWOOD,2950015B,1127,334,N,606,POLLING PLACE,147,8,7,6,95,7,
INGLEWOOD,2950015B,1127,334,N,,VBM PORTION,61,2,8,2,41,1,
INGLEWOOD,2950015B,1127,334,N,606,TOTAL,208,10,15,8,136,8,
INGLEWOOD,2950016B,1128,334,N,796,POLLING PLACE,216,15,15,13,139,4,
INGLEWOOD,2950016B,1128,334,N,,VBM PORTION,42,1,3,5,23,,
INGLEWOOD,2950016B,1128,334,N,796,TOTAL,258,16,18,18,162,4,
INGLEWOOD,2950017A,1129,334,N,900,POLLING PLACE,121,10,6,12,72,2,
INGLEWOOD,2950017A,1129,334,N,,VBM PORTION,51,1,7,5,30,,
INGLEWOOD,2950017A,1129,334,N,900,TOTAL,172,11,13,17,102,2,
INGLEWOOD,2950018A,1130,334,N,1168,POLLING PLACE,311,11,14,24,218,5,
INGLEWOOD,2950018A,1130,334,N,,VBM PORTION,111,5,9,3,59,3,
INGLEWOOD,2950018A,1130,334,N,1168,TOTAL,422,16,23,27,277,8,
INGLEWOOD,2950019A,1131,334,N,1148,POLLING PLACE,86,7,8,22,44,2,
INGLEWOOD,2950019A,1131,334,N,,VBM PORTION,28,2,3,6,14,,
INGLEWOOD,2950019A,1131,334,N,1148,TOTAL,114,9,11,28,58,2,
INGLEWOOD,2950020A,1132,334,N,1043,POLLING PLACE,237,11,12,11,166,6,
INGLEWOOD,2950020A,1132,334,N,,VBM PORTION,94,3,6,6,55,6,
INGLEWOOD,2950020A,1132,334,N,1043,TOTAL,331,14,18,17,221,12,
INGLEWOOD,2950022A,1133,334,N,1168,POLLING PLACE,347,16,15,21,242,6,
INGLEWOOD,2950022A,1133,334,N,,VBM PORTION,99,10,5,3,62,4,
INGLEWOOD,2950022A,1133,334,N,1168,TOTAL,446,26,20,24,304,10,
INGLEWOOD,2950023A,1134,334,N,684,POLLING PLACE,136,7,11,10,82,5,
INGLEWOOD,2950023A,1134,334,N,,VBM PORTION,57,5,4,8,31,,
INGLEWOOD,2950023A,1134,334,N,684,TOTAL,193,12,15,18,113,5,
INGLEWOOD,2950024A,1135,334,N,800,POLLING PLACE,200,11,15,20,117,4,
INGLEWOOD,2950024A,1135,334,N,,VBM PORTION,51,2,5,,31,2,
INGLEWOOD,2950024A,1135,334,N,800,TOTAL,251,13,20,20,148,6,
INGLEWOOD,2950025A,1136,331,N,969,POLLING PLACE,184,11,11,42,98,4,
INGLEWOOD,2950025A,1136,331,N,,VBM PORTION,39,,2,9,18,1,
INGLEWOOD,2950025A,1136,331,N,969,TOTAL,223,11,13,51,116,5,
INGLEWOOD,2950026A,1137,334,N,961,POLLING PLACE,222,13,17,16,141,9,
INGLEWOOD,2950026A,1137,334,N,,VBM PORTION,69,4,4,1,36,1,
INGLEWOOD,2950026A,1137,334,N,961,TOTAL,291,17,21,17,177,10,
INGLEWOOD,2950028A,1138,334,N,533,POLLING PLACE,132,7,5,16,79,7,
INGLEWOOD,2950028A,1138,334,N,,VBM PORTION,30,2,1,1,19,1,
INGLEWOOD,2950028A,1138,334,N,533,TOTAL,162,9,6,17,98,8,
INGLEWOOD,2950029A,1139,334,N,873,POLLING PLACE,177,9,12,20,110,2,
INGLEWOOD,2950029A,1139,334,N,,VBM PORTION,62,2,9,5,36,2,
INGLEWOOD,2950029A,1139,334,N,873,TOTAL,239,11,21,25,146,4,
INGLEWOOD,2950030A,1140,334,N,1012,POLLING PLACE,143,6,7,23,89,6,
INGLEWOOD,2950030A,1140,334,N,,VBM PORTION,50,5,4,5,27,,
INGLEWOOD,2950030A,1140,334,N,1012,TOTAL,193,11,11,28,116,6,
INGLEWOOD,2950031A,1141,334,N,770,POLLING PLACE,127,11,20,16,60,9,
INGLEWOOD,2950031A,1141,334,N,,VBM PORTION,30,1,7,1,12,1,
INGLEWOOD,2950031A,1141,334,N,770,TOTAL,157,12,27,17,72,10,
INGLEWOOD,2950033A,1142,334,N,947,POLLING PLACE,114,12,7,22,51,5,
INGLEWOOD,2950033A,1142,334,N,,VBM PORTION,24,2,1,3,9,2,
INGLEWOOD,2950033A,1142,334,N,947,TOTAL,138,14,8,25,60,7,
INGLEWOOD,2950037C,1143,334,N,619,POLLING PLACE,99,7,7,19,57,,
INGLEWOOD,2950037C,1143,334,N,,VBM PORTION,9,1,2,2,1,1,
INGLEWOOD,2950037C,1143,334,N,619,TOTAL,108,8,9,21,58,1,
INGLEWOOD,2950039A,1144,334,N,1173,POLLING PLACE,200,13,10,48,102,6,
INGLEWOOD,2950039A,1144,334,N,,VBM PORTION,53,3,2,16,22,,
INGLEWOOD,2950039A,1144,334,N,1173,TOTAL,253,16,12,64,124,6,
INGLEWOOD,2950040A,1145,334,N,1087,POLLING PLACE,155,8,19,38,66,7,
INGLEWOOD,2950040A,1145,334,N,,VBM PORTION,35,3,5,7,11,2,
INGLEWOOD,2950040A,1145,334,N,1087,TOTAL,190,11,24,45,77,9,
INGLEWOOD,2950041A,1146,334,N,1071,POLLING PLACE,181,15,12,28,108,1,
INGLEWOOD,2950041A,1146,334,N,,VBM PORTION,60,7,5,11,27,2,
INGLEWOOD,2950041A,1146,334,N,1071,TOTAL,241,22,17,39,135,3,
INGLEWOOD,2950042A,1147,334,N,1042,POLLING PLACE,161,7,17,23,89,2,
INGLEWOOD,2950042A,1147,334,N,,VBM PORTION,54,3,1,6,31,,
INGLEWOOD,2950042A,1147,334,N,1042,TOTAL,215,10,18,29,120,2,
INGLEWOOD,2950044A,1148,334,N,862,POLLING PLACE,138,11,9,36,62,5,
INGLEWOOD,2950044A,1148,334,N,,VBM PORTION,39,1,3,6,20,,
INGLEWOOD,2950044A,1148,334,N,862,TOTAL,177,12,12,42,82,5,
INGLEWOOD,2950047B,1149,334,N,995,POLLING PLACE,158,22,9,36,70,4,
INGLEWOOD,2950047B,1149,334,N,,VBM PORTION,48,4,2,12,23,,
INGLEWOOD,2950047B,1149,334,N,995,TOTAL,206,26,11,48,93,4,
INGLEWOOD,2950048A,1150,334,N,969,POLLING PLACE,165,12,11,52,58,10,
INGLEWOOD,2950048A,1150,334,N,,VBM PORTION,35,3,1,7,17,,
INGLEWOOD,2950048A,1150,334,N,969,TOTAL,200,15,12,59,75,10,
INGLEWOOD,2950050A,1151,334,N,1019,POLLING PLACE,113,9,4,27,56,5,
INGLEWOOD,2950050A,1151,334,N,,VBM PORTION,41,3,4,8,18,,
INGLEWOOD,2950050A,1151,334,N,1019,TOTAL,154,12,8,35,74,5,
INGLEWOOD,2950052A,1152,334,N,1028,POLLING PLACE,185,18,10,35,101,7,
INGLEWOOD,2950052A,1152,334,N,,VBM PORTION,32,3,2,3,16,4,
INGLEWOOD,2950052A,1152,334,N,1028,TOTAL,217,21,12,38,117,11,
INGLEWOOD,2950057A,1153,334,N,954,POLLING PLACE,155,11,11,25,86,6,
INGLEWOOD,2950057A,1153,334,N,,VBM PORTION,46,4,5,6,21,1,
INGLEWOOD,2950057A,1153,334,N,954,TOTAL,201,15,16,31,107,7,
INGLEWOOD,2950063A,1154,334,N,949,POLLING PLACE,216,7,21,20,128,6,
INGLEWOOD,2950063A,1154,334,N,,VBM PORTION,63,1,5,4,37,,
INGLEWOOD,2950063A,1154,334,N,949,TOTAL,279,8,26,24,165,6,
INGLEWOOD,2950067A,1155,334,N,1073,POLLING PLACE,209,15,20,27,111,12,
INGLEWOOD,2950067A,1155,334,N,,VBM PORTION,61,7,4,8,30,2,
INGLEWOOD,2950067A,1155,334,N,1073,TOTAL,270,22,24,35,141,14,
INGLEWOOD,2950072A,1156,334,N,902,POLLING PLACE,134,8,17,14,75,5,
INGLEWOOD,2950072A,1156,334,N,,VBM PORTION,32,4,3,2,17,,
INGLEWOOD,2950072A,1156,334,N,902,TOTAL,166,12,20,16,92,5,
INGLEWOOD,2950073A,1157,331,N,844,POLLING PLACE,151,9,10,12,95,4,
INGLEWOOD,2950073A,1157,331,N,,VBM PORTION,65,2,7,3,37,2,
INGLEWOOD,2950073A,1157,331,N,844,TOTAL,216,11,17,15,132,6,
INGLEWOOD,2950075A,1158,334,N,1234,POLLING PLACE,176,10,19,15,112,,
INGLEWOOD,2950075A,1158,334,N,,VBM PORTION,55,4,10,2,29,1,
INGLEWOOD,2950075A,1158,334,N,1234,TOTAL,231,14,29,17,141,1,
INGLEWOOD,2950076A,1159,334,N,1038,POLLING PLACE,171,12,15,20,104,5,
INGLEWOOD,2950076A,1159,334,N,,VBM PORTION,42,2,5,2,24,1,
INGLEWOOD,2950076A,1159,334,N,1038,TOTAL,213,14,20,22,128,6,
INGLEWOOD,2950080A,1160,331,N,920,POLLING PLACE,169,8,9,34,91,5,
INGLEWOOD,2950080A,1160,331,N,,VBM PORTION,27,3,4,4,11,1,
INGLEWOOD,2950080A,1160,331,N,920,TOTAL,196,11,13,38,102,6,
INGLEWOOD,2950084A,1161,331,N,782,POLLING PLACE,118,3,9,24,66,,
INGLEWOOD,2950084A,1161,331,N,,VBM PORTION,40,,1,14,19,,
INGLEWOOD,2950084A,1161,331,N,782,TOTAL,158,3,10,38,85,,
INGLEWOOD,2950087A,1162,331,N,908,POLLING PLACE,178,7,7,30,113,2,
INGLEWOOD,2950087A,1162,331,N,,VBM PORTION,68,4,4,8,31,4,
INGLEWOOD,2950087A,1162,331,N,908,TOTAL,246,11,11,38,144,6,
INGLEWOOD,2950088A,1163,331,N,1263,POLLING PLACE,353,13,19,35,218,7,
INGLEWOOD,2950088A,1163,331,N,,VBM PORTION,134,4,10,12,56,4,
INGLEWOOD,2950088A,1163,331,N,1263,TOTAL,487,17,29,47,274,11,
INGLEWOOD,2950090A,1164,227,N,219,POLLING PLACE,68,5,5,5,30,3,
INGLEWOOD,2950090A,1164,227,N,,VBM PORTION,27,3,,3,14,,
INGLEWOOD,2950090A,1164,227,N,219,TOTAL,95,8,5,8,44,3,
INGLEWOOD,2950092A,1165,334,N,939,POLLING PLACE,139,11,10,20,76,6,
INGLEWOOD,2950092A,1165,334,N,,VBM PORTION,52,1,4,3,35,1,
INGLEWOOD,2950092A,1165,334,N,939,TOTAL,191,12,14,23,111,7,
INGLEWOOD,2950095A,1166,334,N,896,POLLING PLACE,185,6,15,7,131,5,
INGLEWOOD,2950095A,1166,334,N,,VBM PORTION,92,3,7,2,56,5,
INGLEWOOD,2950095A,1166,334,N,896,TOTAL,277,9,22,9,187,10,
INGLEWOOD,2950141A,1167,334,N,601,POLLING PLACE,106,11,4,14,62,2,
INGLEWOOD,2950141A,1167,334,N,,VBM PORTION,12,2,1,,7,1,
INGLEWOOD,2950141A,1167,334,N,601,TOTAL,118,13,5,14,69,3,
INGLEWOOD,2950146A,1168,334,N,879,POLLING PLACE,87,6,4,14,43,2,
INGLEWOOD,2950146A,1168,334,N,,VBM PORTION,37,2,3,10,15,,
INGLEWOOD,2950146A,1168,334,N,879,TOTAL,124,8,7,24,58,2,
INGLEWOOD,2950147A,1169,334,N,775,POLLING PLACE,127,9,5,27,72,4,
INGLEWOOD,2950147A,1169,334,N,,VBM PORTION,36,2,3,4,18,,
INGLEWOOD,2950147A,1169,334,N,775,TOTAL,163,11,8,31,90,4,
INGLEWOOD,2950149A,1170,334,N,1108,POLLING PLACE,204,8,23,29,118,3,
INGLEWOOD,2950149A,1170,334,N,,VBM PORTION,38,2,4,7,22,1,
INGLEWOOD,2950149A,1170,334,N,1108,TOTAL,242,10,27,36,140,4,
INGLEWOOD,2950152A,1171,334,N,810,POLLING PLACE,318,16,13,26,206,8,
INGLEWOOD,2950152A,1171,334,N,,VBM PORTION,53,3,6,6,29,,
INGLEWOOD,2950152A,1171,334,N,810,TOTAL,371,19,19,32,235,8,
LADERA HEIGHTS,3430001A,1264,231,N,1296,POLLING PLACE,425,32,31,29,204,15,
LADERA HEIGHTS,3430001A,1264,231,N,,VBM PORTION,115,3,2,7,64,2,
LADERA HEIGHTS,3430001A,1264,231,N,1296,TOTAL,540,35,33,36,268,17,
LADERA HEIGHTS,3430004A,1265,230,N,1242,POLLING PLACE,361,24,18,17,181,7,
LADERA HEIGHTS,3430004A,1265,230,N,,VBM PORTION,127,3,1,5,76,3,
LADERA HEIGHTS,3430004A,1265,230,N,1242,TOTAL,488,27,19,22,257,10,
LADERA HEIGHTS,3430007A,1266,230,N,1328,POLLING PLACE,417,34,26,42,204,18,
LADERA HEIGHTS,3430007A,1266,230,N,,VBM PORTION,104,4,5,4,56,,
LADERA HEIGHTS,3430007A,1266,230,N,1328,TOTAL,521,38,31,46,260,18,
LADERA HEIGHTS,3430018C,1267,231,N,614,POLLING PLACE,110,10,8,13,46,11,
LADERA HEIGHTS,3430018C,1267,231,N,,VBM PORTION,35,1,4,3,12,1,
