LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BRAD SHERMAN,MARK S REED,
LOS ANGELES,9000525A,3320,115,N,1113,TOTAL,201,136,57,
LOS ANGELES,9000557A,3338,115,N,1072,POLLING PLACE,119,71,44,
LOS ANGELES,9000557A,3338,115,N,,VBM PORTION,93,62,27,
LOS ANGELES,9000557A,3338,115,N,1072,TOTAL,212,133,71,
LOS ANGELES,9000559A,3340,109,N,992,POLLING PLACE,110,67,38,
LOS ANGELES,9000559A,3340,109,N,,VBM PORTION,56,33,19,
LOS ANGELES,9000559A,3340,109,N,992,TOTAL,166,100,57,
LOS ANGELES,9000596A,3360,125,N,1223,POLLING PLACE,247,172,65,
LOS ANGELES,9000596A,3360,125,N,,VBM PORTION,127,84,36,
LOS ANGELES,9000596A,3360,125,N,1223,TOTAL,374,256,101,
LOS ANGELES,9000611B,3371,125,N,913,POLLING PLACE,151,92,53,
LOS ANGELES,9000611B,3371,125,N,,VBM PORTION,95,51,39,
LOS ANGELES,9000611B,3371,125,N,913,TOTAL,246,143,92,
LOS ANGELES,9000612A,3372,54,N,1131,POLLING PLACE,255,128,118,
LOS ANGELES,9000612A,3372,54,N,,VBM PORTION,121,50,66,
LOS ANGELES,9000612A,3372,54,N,1131,TOTAL,376,178,184,
LOS ANGELES,9000624A,3377,116,N,1145,POLLING PLACE,286,152,116,
LOS ANGELES,9000624A,3377,116,N,,VBM PORTION,114,64,41,
LOS ANGELES,9000624A,3377,116,N,1145,TOTAL,400,216,157,
LOS ANGELES,9000689A,3404,115,N,1212,POLLING PLACE,192,126,59,
LOS ANGELES,9000689A,3404,115,N,,VBM PORTION,71,47,20,
LOS ANGELES,9000689A,3404,115,N,1212,TOTAL,263,173,79,
LOS ANGELES,9000711A,3414,113,N,1341,POLLING PLACE,170,124,37,
LOS ANGELES,9000711A,3414,113,N,,VBM PORTION,80,47,28,
LOS ANGELES,9000711A,3414,113,N,1341,TOTAL,250,171,65,
LOS ANGELES,9000742A,3425,115,N,1221,POLLING PLACE,262,197,48,
LOS ANGELES,9000742A,3425,115,N,,VBM PORTION,135,101,29,
LOS ANGELES,9000742A,3425,115,N,1221,TOTAL,397,298,77,
LOS ANGELES,9000745A,3426,125,N,1328,POLLING PLACE,240,172,53,
LOS ANGELES,9000745A,3426,125,N,,VBM PORTION,124,97,26,
LOS ANGELES,9000745A,3426,125,N,1328,TOTAL,364,269,79,
LOS ANGELES,9000755A,3431,115,N,985,POLLING PLACE,151,73,74,
LOS ANGELES,9000755A,3431,115,N,,VBM PORTION,59,40,17,
LOS ANGELES,9000755A,3431,115,N,985,TOTAL,210,113,91,
LOS ANGELES,9000777B,3437,126,N,1078,POLLING PLACE,250,170,70,
LOS ANGELES,9000777B,3437,126,N,,VBM PORTION,98,68,28,
LOS ANGELES,9000777B,3437,126,N,1078,TOTAL,348,238,98,
LOS ANGELES,9000780C,3439,113,N,1384,POLLING PLACE,194,133,54,
LOS ANGELES,9000780C,3439,113,N,,VBM PORTION,89,64,20,
LOS ANGELES,9000780C,3439,113,N,1384,TOTAL,283,197,74,
LOS ANGELES,9000799A,3446,125,N,1269,POLLING PLACE,260,193,61,
LOS ANGELES,9000799A,3446,125,N,,VBM PORTION,138,98,33,
LOS ANGELES,9000799A,3446,125,N,1269,TOTAL,398,291,94,
LOS ANGELES,9000801C,3448,115,N,442,POLLING PLACE,67,49,17,
LOS ANGELES,9000801C,3448,115,N,,VBM PORTION,38,32,5,
LOS ANGELES,9000801C,3448,115,N,442,TOTAL,105,81,22,
LOS ANGELES,9000804A,3450,115,N,1246,POLLING PLACE,179,125,48,
LOS ANGELES,9000804A,3450,115,N,,VBM PORTION,70,50,19,
LOS ANGELES,9000804A,3450,115,N,1246,TOTAL,249,175,67,
LOS ANGELES,9000831B,3460,115,N,1053,POLLING PLACE,160,78,66,
LOS ANGELES,9000831B,3460,115,N,,VBM PORTION,86,52,31,
LOS ANGELES,9000831B,3460,115,N,1053,TOTAL,246,130,97,
LOS ANGELES,9000837B,3464,109,N,1050,POLLING PLACE,132,76,49,
LOS ANGELES,9000837B,3464,109,N,,VBM PORTION,74,49,23,
LOS ANGELES,9000837B,3464,109,N,1050,TOTAL,206,125,72,
LOS ANGELES,9000841A,3465,125,N,493,POLLING PLACE,119,83,29,
LOS ANGELES,9000841A,3465,125,N,,VBM PORTION,35,21,14,
LOS ANGELES,9000841A,3465,125,N,493,TOTAL,154,104,43,
LOS ANGELES,9000912C,3491,116,N,1060,POLLING PLACE,168,110,47,
LOS ANGELES,9000912C,3491,116,N,,VBM PORTION,62,35,23,
LOS ANGELES,9000912C,3491,116,N,1060,TOTAL,230,145,70,
LOS ANGELES,9000920A,3495,109,N,1018,POLLING PLACE,216,126,77,
LOS ANGELES,9000920A,3495,109,N,,VBM PORTION,69,40,26,
LOS ANGELES,9000920A,3495,109,N,1018,TOTAL,285,166,103,
LOS ANGELES,9000988C,3519,125,N,1182,POLLING PLACE,210,142,53,
LOS ANGELES,9000988C,3519,125,N,,VBM PORTION,86,59,25,
LOS ANGELES,9000988C,3519,125,N,1182,TOTAL,296,201,78,
LOS ANGELES,9000990A,3521,125,N,1245,POLLING PLACE,222,174,41,
LOS ANGELES,9000990A,3521,125,N,,VBM PORTION,76,52,21,
LOS ANGELES,9000990A,3521,125,N,1245,TOTAL,298,226,62,
LOS ANGELES,9001002B,3529,125,N,1151,POLLING PLACE,243,168,63,
LOS ANGELES,9001002B,3529,125,N,,VBM PORTION,94,61,28,
LOS ANGELES,9001002B,3529,125,N,1151,TOTAL,337,229,91,
LOS ANGELES,9001015D,3535,125,N,1113,POLLING PLACE,209,154,42,
LOS ANGELES,9001015D,3535,125,N,,VBM PORTION,89,62,26,
LOS ANGELES,9001015D,3535,125,N,1113,TOTAL,298,216,68,
LOS ANGELES,9001016A,3536,125,N,1058,POLLING PLACE,209,161,42,
LOS ANGELES,9001016A,3536,125,N,,VBM PORTION,57,36,20,
LOS ANGELES,9001016A,3536,125,N,1058,TOTAL,266,197,62,
LOS ANGELES,9001019A,3537,115,N,733,POLLING PLACE,123,72,40,
LOS ANGELES,9001019A,3537,115,N,,VBM PORTION,62,42,15,
LOS ANGELES,9001019A,3537,115,N,733,TOTAL,185,114,55,
LOS ANGELES,9001019B,3538,115,N,630,POLLING PLACE,143,86,50,
LOS ANGELES,9001019B,3538,115,N,,VBM PORTION,81,55,26,
LOS ANGELES,9001019B,3538,115,N,630,TOTAL,224,141,76,
LOS ANGELES,9001021A,3539,115,N,1194,POLLING PLACE,281,162,106,
LOS ANGELES,9001021A,3539,115,N,,VBM PORTION,116,55,55,
LOS ANGELES,9001021A,3539,115,N,1194,TOTAL,397,217,161,
LOS ANGELES,9001027A,3543,115,N,552,POLLING PLACE,114,71,39,
LOS ANGELES,9001027A,3543,115,N,,VBM PORTION,75,34,34,
LOS ANGELES,9001027A,3543,115,N,552,TOTAL,189,105,73,
LOS ANGELES,9001036B,3546,115,N,950,POLLING PLACE,170,105,60,
LOS ANGELES,9001036B,3546,115,N,,VBM PORTION,131,67,57,
LOS ANGELES,9001036B,3546,115,N,950,TOTAL,301,172,117,
LOS ANGELES,9001037A,3547,115,N,738,POLLING PLACE,189,103,80,
LOS ANGELES,9001037A,3547,115,N,,VBM PORTION,80,41,33,
LOS ANGELES,9001037A,3547,115,N,738,TOTAL,269,144,113,
LOS ANGELES,9001037B,3548,115,N,869,POLLING PLACE,171,93,63,
LOS ANGELES,9001037B,3548,115,N,,VBM PORTION,95,54,36,
LOS ANGELES,9001037B,3548,115,N,869,TOTAL,266,147,99,
LOS ANGELES,9001039A,3549,115,N,1335,POLLING PLACE,343,214,109,
LOS ANGELES,9001039A,3549,115,N,,VBM PORTION,146,86,55,
LOS ANGELES,9001039A,3549,115,N,1335,TOTAL,489,300,164,
LOS ANGELES,9001041A,3550,115,N,621,POLLING PLACE,178,114,51,
LOS ANGELES,9001041A,3550,115,N,,VBM PORTION,65,47,16,
LOS ANGELES,9001041A,3550,115,N,621,TOTAL,243,161,67,
LOS ANGELES,9001044A,3552,115,N,1096,POLLING PLACE,244,145,88,
LOS ANGELES,9001044A,3552,115,N,,VBM PORTION,126,77,38,
LOS ANGELES,9001044A,3552,115,N,1096,TOTAL,370,222,126,
LOS ANGELES,9001049A,3556,115,N,861,POLLING PLACE,151,84,53,
LOS ANGELES,9001049A,3556,115,N,,VBM PORTION,95,57,35,
LOS ANGELES,9001049A,3556,115,N,861,TOTAL,246,141,88,
LOS ANGELES,9001052C,3558,125,N,1138,POLLING PLACE,302,223,70,
LOS ANGELES,9001052C,3558,125,N,,VBM PORTION,84,57,22,
LOS ANGELES,9001052C,3558,125,N,1138,TOTAL,386,280,92,
LOS ANGELES,9001060A,3560,115,N,841,POLLING PLACE,214,142,56,
LOS ANGELES,9001060A,3560,115,N,,VBM PORTION,83,54,27,
LOS ANGELES,9001060A,3560,115,N,841,TOTAL,297,196,83,
LOS ANGELES,9001063A,3562,125,N,1137,POLLING PLACE,186,147,30,
LOS ANGELES,9001063A,3562,125,N,,VBM PORTION,89,61,22,
LOS ANGELES,9001063A,3562,125,N,1137,TOTAL,275,208,52,
LOS ANGELES,9001070A,3566,115,N,799,POLLING PLACE,131,72,46,
LOS ANGELES,9001070A,3566,115,N,,VBM PORTION,107,49,48,
LOS ANGELES,9001070A,3566,115,N,799,TOTAL,238,121,94,
LOS ANGELES,9001073A,3567,115,N,507,POLLING PLACE,82,52,22,
LOS ANGELES,9001073A,3567,115,N,,VBM PORTION,83,55,25,
LOS ANGELES,9001073A,3567,115,N,507,TOTAL,165,107,47,
LOS ANGELES,9001073B,3568,115,N,1035,POLLING PLACE,202,122,58,
LOS ANGELES,9001073B,3568,115,N,,VBM PORTION,163,99,59,
LOS ANGELES,9001073B,3568,115,N,1035,TOTAL,365,221,117,
LOS ANGELES,9001074A,3569,115,N,991,POLLING PLACE,208,120,77,
LOS ANGELES,9001074A,3569,115,N,,VBM PORTION,140,88,41,
LOS ANGELES,9001074A,3569,115,N,991,TOTAL,348,208,118,
LOS ANGELES,9001080A,3571,125,N,1200,POLLING PLACE,286,178,75,
LOS ANGELES,9001080A,3571,125,N,,VBM PORTION,163,107,46,
LOS ANGELES,9001080A,3571,125,N,1200,TOTAL,449,285,121,
LOS ANGELES,9001083A,3573,125,N,823,POLLING PLACE,192,130,52,
LOS ANGELES,9001083A,3573,125,N,,VBM PORTION,64,47,16,
LOS ANGELES,9001083A,3573,125,N,823,TOTAL,256,177,68,
LOS ANGELES,9001084A,3574,125,N,1105,POLLING PLACE,185,129,44,
LOS ANGELES,9001084A,3574,125,N,,VBM PORTION,73,55,16,
LOS ANGELES,9001084A,3574,125,N,1105,TOTAL,258,184,60,
LOS ANGELES,9001085B,3575,125,N,1007,POLLING PLACE,200,144,47,
LOS ANGELES,9001085B,3575,125,N,,VBM PORTION,87,63,21,
LOS ANGELES,9001085B,3575,125,N,1007,TOTAL,287,207,68,
LOS ANGELES,9001090A,3577,115,N,1078,POLLING PLACE,203,139,58,
LOS ANGELES,9001090A,3577,115,N,,VBM PORTION,93,64,25,
LOS ANGELES,9001090A,3577,115,N,1078,TOTAL,296,203,83,
LOS ANGELES,9001091B,3578,115,N,1089,POLLING PLACE,234,146,61,
LOS ANGELES,9001091B,3578,115,N,,VBM PORTION,114,85,25,
LOS ANGELES,9001091B,3578,115,N,1089,TOTAL,348,231,86,
LOS ANGELES,9001092A,3579,125,N,1099,POLLING PLACE,165,124,38,
LOS ANGELES,9001092A,3579,125,N,,VBM PORTION,72,46,21,
LOS ANGELES,9001092A,3579,125,N,1099,TOTAL,237,170,59,
LOS ANGELES,9001094C,3580,125,N,1117,POLLING PLACE,272,206,61,
LOS ANGELES,9001094C,3580,125,N,,VBM PORTION,97,75,18,
LOS ANGELES,9001094C,3580,125,N,1117,TOTAL,369,281,79,
LOS ANGELES,9001095A,3581,125,N,1206,POLLING PLACE,251,190,49,
LOS ANGELES,9001095A,3581,125,N,,VBM PORTION,127,93,33,
LOS ANGELES,9001095A,3581,125,N,1206,TOTAL,378,283,82,
LOS ANGELES,9001099A,3584,125,N,556,POLLING PLACE,107,65,37,
LOS ANGELES,9001099A,3584,125,N,,VBM PORTION,66,43,21,
LOS ANGELES,9001099A,3584,125,N,556,TOTAL,173,108,58,
LOS ANGELES,9001103A,3586,125,N,1075,POLLING PLACE,215,143,58,
LOS ANGELES,9001103A,3586,125,N,,VBM PORTION,159,100,45,
LOS ANGELES,9001103A,3586,125,N,1075,TOTAL,374,243,103,
LOS ANGELES,9001109A,3588,125,N,1349,POLLING PLACE,246,193,50,
LOS ANGELES,9001109A,3588,125,N,,VBM PORTION,166,117,39,
LOS ANGELES,9001109A,3588,125,N,1349,TOTAL,412,310,89,
LOS ANGELES,9001113A,3590,125,N,1069,POLLING PLACE,232,185,38,
LOS ANGELES,9001113A,3590,125,N,,VBM PORTION,91,66,22,
LOS ANGELES,9001113A,3590,125,N,1069,TOTAL,323,251,60,
LOS ANGELES,9001120A,3592,125,N,1205,POLLING PLACE,205,154,42,
LOS ANGELES,9001120A,3592,125,N,,VBM PORTION,81,56,20,
LOS ANGELES,9001120A,3592,125,N,1205,TOTAL,286,210,62,
LOS ANGELES,9001122A,3593,125,N,873,POLLING PLACE,207,148,55,
LOS ANGELES,9001122A,3593,125,N,,VBM PORTION,93,67,19,
LOS ANGELES,9001122A,3593,125,N,873,TOTAL,300,215,74,
LOS ANGELES,9001126A,3594,125,N,1295,POLLING PLACE,270,203,56,
LOS ANGELES,9001126A,3594,125,N,,VBM PORTION,106,73,29,
LOS ANGELES,9001126A,3594,125,N,1295,TOTAL,376,276,85,
LOS ANGELES,9001133A,3597,125,N,576,POLLING PLACE,177,125,43,
LOS ANGELES,9001133A,3597,125,N,,VBM PORTION,58,40,15,
LOS ANGELES,9001133A,3597,125,N,576,TOTAL,235,165,58,
LOS ANGELES,9001134A,3598,125,N,1082,POLLING PLACE,311,223,76,
LOS ANGELES,9001134A,3598,125,N,,VBM PORTION,139,103,29,
LOS ANGELES,9001134A,3598,125,N,1082,TOTAL,450,326,105,
LOS ANGELES,9001152A,3602,125,N,1223,POLLING PLACE,227,162,61,
LOS ANGELES,9001152A,3602,125,N,,VBM PORTION,61,35,24,
LOS ANGELES,9001152A,3602,125,N,1223,TOTAL,288,197,85,
LOS ANGELES,9001157A,3603,125,N,965,POLLING PLACE,233,145,73,
LOS ANGELES,9001157A,3603,125,N,,VBM PORTION,66,40,19,
LOS ANGELES,9001157A,3603,125,N,965,TOTAL,299,185,92,
LOS ANGELES,9001158A,3604,125,N,1144,POLLING PLACE,216,166,41,
LOS ANGELES,9001158A,3604,125,N,,VBM PORTION,76,44,27,
LOS ANGELES,9001158A,3604,125,N,1144,TOTAL,292,210,68,
LOS ANGELES,9001164A,3606,125,N,906,POLLING PLACE,325,234,81,
LOS ANGELES,9001164A,3606,125,N,,VBM PORTION,67,51,14,
LOS ANGELES,9001164A,3606,125,N,906,TOTAL,392,285,95,
LOS ANGELES,9001167A,3608,125,N,1033,POLLING PLACE,160,114,29,
LOS ANGELES,9001167A,3608,125,N,,VBM PORTION,64,40,20,
LOS ANGELES,9001167A,3608,125,N,1033,TOTAL,224,154,49,
LOS ANGELES,9001173A,3610,125,N,1264,POLLING PLACE,215,152,61,
LOS ANGELES,9001173A,3610,125,N,,VBM PORTION,105,53,41,
LOS ANGELES,9001173A,3610,125,N,1264,TOTAL,320,205,102,
LOS ANGELES,9001174A,3611,125,N,725,POLLING PLACE,173,127,29,
LOS ANGELES,9001174A,3611,125,N,,VBM PORTION,114,75,31,
LOS ANGELES,9001174A,3611,125,N,725,TOTAL,287,202,60,
LOS ANGELES,9001176B,3613,125,N,1110,POLLING PLACE,280,213,43,
LOS ANGELES,9001176B,3613,125,N,,VBM PORTION,97,75,18,
LOS ANGELES,9001176B,3613,125,N,1110,TOTAL,377,288,61,
LOS ANGELES,9001177D,3614,125,N,641,POLLING PLACE,120,81,35,
LOS ANGELES,9001177D,3614,125,N,,VBM PORTION,86,49,34,
LOS ANGELES,9001177D,3614,125,N,641,TOTAL,206,130,69,
LOS ANGELES,9001178A,3615,125,N,937,POLLING PLACE,193,156,31,
LOS ANGELES,9001178A,3615,125,N,,VBM PORTION,87,57,24,
LOS ANGELES,9001178A,3615,125,N,937,TOTAL,280,213,55,
LOS ANGELES,9001187A,3619,125,N,1357,POLLING PLACE,291,187,87,
LOS ANGELES,9001187A,3619,125,N,,VBM PORTION,155,105,42,
LOS ANGELES,9001187A,3619,125,N,1357,TOTAL,446,292,129,
LOS ANGELES,9001666A,3823,125,N,1237,POLLING PLACE,181,133,37,
LOS ANGELES,9001666A,3823,125,N,,VBM PORTION,100,67,27,
LOS ANGELES,9001666A,3823,125,N,1237,TOTAL,281,200,64,
LOS ANGELES,9001690B,3829,115,N,990,POLLING PLACE,156,100,47,
LOS ANGELES,9001690B,3829,115,N,,VBM PORTION,79,38,39,
LOS ANGELES,9001690B,3829,115,N,990,TOTAL,235,138,86,
LOS ANGELES,9001695A,3831,115,N,996,POLLING PLACE,180,107,62,
LOS ANGELES,9001695A,3831,115,N,,VBM PORTION,82,48,29,
LOS ANGELES,9001695A,3831,115,N,996,TOTAL,262,155,91,
LOS ANGELES,9001754A,3857,33,N,1317,POLLING PLACE,225,101,117,
LOS ANGELES,9001754A,3857,33,N,,VBM PORTION,99,62,33,
LOS ANGELES,9001754A,3857,33,N,1317,TOTAL,324,163,150,
LOS ANGELES,9001758A,3860,113,N,1039,POLLING PLACE,129,71,44,
LOS ANGELES,9001758A,3860,113,N,,VBM PORTION,74,52,17,
LOS ANGELES,9001758A,3860,113,N,1039,TOTAL,203,123,61,
LOS ANGELES,9001805A,3888,33,N,1249,POLLING PLACE,255,161,85,
LOS ANGELES,9001805A,3888,33,N,,VBM PORTION,63,38,20,
LOS ANGELES,9001805A,3888,33,N,1249,TOTAL,318,199,105,
LOS ANGELES,9001808A,3889,115,N,1191,POLLING PLACE,221,117,98,
LOS ANGELES,9001808A,3889,115,N,,VBM PORTION,105,49,53,
LOS ANGELES,9001808A,3889,115,N,1191,TOTAL,326,166,151,
LOS ANGELES,9001825B,3893,115,N,1235,POLLING PLACE,228,142,72,
LOS ANGELES,9001825B,3893,115,N,,VBM PORTION,82,53,26,
LOS ANGELES,9001825B,3893,115,N,1235,TOTAL,310,195,98,
LOS ANGELES,9001877B,3911,115,N,1287,POLLING PLACE,164,125,29,
LOS ANGELES,9001877B,3911,115,N,,VBM PORTION,63,45,15,
LOS ANGELES,9001877B,3911,115,N,1287,TOTAL,227,170,44,
LOS ANGELES,9001892A,3916,115,N,1434,POLLING PLACE,206,144,47,
LOS ANGELES,9001892A,3916,115,N,,VBM PORTION,132,91,36,
LOS ANGELES,9001892A,3916,115,N,1434,TOTAL,338,235,83,
LOS ANGELES,9001893A,3917,115,N,1272,POLLING PLACE,191,109,68,
LOS ANGELES,9001893A,3917,115,N,,VBM PORTION,117,72,37,
LOS ANGELES,9001893A,3917,115,N,1272,TOTAL,308,181,105,
LOS ANGELES,9001924B,3927,125,N,1215,POLLING PLACE,227,165,57,
LOS ANGELES,9001924B,3927,125,N,,VBM PORTION,61,36,21,
LOS ANGELES,9001924B,3927,125,N,1215,TOTAL,288,201,78,
LOS ANGELES,9001926C,3928,125,N,1314,POLLING PLACE,296,211,73,
LOS ANGELES,9001926C,3928,125,N,,VBM PORTION,159,102,54,
LOS ANGELES,9001926C,3928,125,N,1314,TOTAL,455,313,127,
LOS ANGELES,9001928B,3930,125,N,1132,POLLING PLACE,276,200,65,
LOS ANGELES,9001928B,3930,125,N,,VBM PORTION,83,57,24,
LOS ANGELES,9001928B,3930,125,N,1132,TOTAL,359,257,89,
LOS ANGELES,9001931A,3933,125,N,1028,POLLING PLACE,262,194,53,
LOS ANGELES,9001931A,3933,125,N,,VBM PORTION,95,66,24,
LOS ANGELES,9001931A,3933,125,N,1028,TOTAL,357,260,77,
LOS ANGELES,9001999A,3958,115,N,763,POLLING PLACE,170,104,60,
LOS ANGELES,9001999A,3958,115,N,,VBM PORTION,82,49,31,
LOS ANGELES,9001999A,3958,115,N,763,TOTAL,252,153,91,
LOS ANGELES,9002123A,4021,115,N,794,POLLING PLACE,133,82,39,
LOS ANGELES,9002123A,4021,115,N,,VBM PORTION,87,46,29,
LOS ANGELES,9002123A,4021,115,N,794,TOTAL,220,128,68,
LOS ANGELES,9002125B,4023,113,N,886,POLLING PLACE,121,80,34,
LOS ANGELES,9002125B,4023,113,N,,VBM PORTION,55,27,22,
LOS ANGELES,9002125B,4023,113,N,886,TOTAL,176,107,56,
LOS ANGELES,9002267A,4085,126,N,1268,POLLING PLACE,223,148,66,
LOS ANGELES,9002267A,4085,126,N,,VBM PORTION,100,60,29,
LOS ANGELES,9002267A,4085,126,N,1268,TOTAL,323,208,95,
LOS ANGELES,9002307A,4104,115,N,1393,POLLING PLACE,171,107,52,
LOS ANGELES,9002307A,4104,115,N,,VBM PORTION,67,47,18,
LOS ANGELES,9002307A,4104,115,N,1393,TOTAL,238,154,70,
LOS ANGELES,9002315A,4106,113,N,986,POLLING PLACE,116,92,22,
LOS ANGELES,9002315A,4106,113,N,,VBM PORTION,59,32,22,
LOS ANGELES,9002315A,4106,113,N,986,TOTAL,175,124,44,
LOS ANGELES,9002414A,4153,115,N,1086,POLLING PLACE,158,118,38,
LOS ANGELES,9002414A,4153,115,N,,VBM PORTION,34,20,9,
LOS ANGELES,9002414A,4153,115,N,1086,TOTAL,192,138,47,
LOS ANGELES,9002473A,4175,113,N,165,POLLING PLACE,41,23,17,
LOS ANGELES,9002473A,4175,113,N,,VBM PORTION,10,8,2,
LOS ANGELES,9002473A,4175,113,N,165,TOTAL,51,31,19,
LOS ANGELES,9002509A,4196,33,N,816,POLLING PLACE,147,83,56,
LOS ANGELES,9002509A,4196,33,N,,VBM PORTION,69,37,30,
LOS ANGELES,9002509A,4196,33,N,816,TOTAL,216,120,86,
LOS ANGELES,9002536A,6302,32,Y,,POLLING PLACE,,,,
LOS ANGELES,9002536A,6302,32,Y,,VBM PORTION,,,,
LOS ANGELES,9002536A,6302,32,Y,,TOTAL,,,,
LOS ANGELES,9002679A,6319,123,Y,57,POLLING PLACE,,,,
LOS ANGELES,9002679A,6319,123,Y,,VBM PORTION,12,2,10,
LOS ANGELES,9002679A,6319,123,Y,57,TOTAL,12,2,10,
LOS ANGELES,9002772A,4269,115,N,846,POLLING PLACE,166,77,76,
LOS ANGELES,9002772A,4269,115,N,,VBM PORTION,67,38,26,
LOS ANGELES,9002772A,4269,115,N,846,TOTAL,233,115,102,
LOS ANGELES,9002804A,6327,115,Y,10,POLLING PLACE,,,,
LOS ANGELES,9002804A,6327,115,Y,,VBM PORTION,,,,
LOS ANGELES,9002804A,6327,115,Y,10,TOTAL,,,,
LOS ANGELES,9002828E,4282,54,N,998,POLLING PLACE,267,147,103,
LOS ANGELES,9002828E,4282,54,N,,VBM PORTION,91,46,43,
LOS ANGELES,9002828E,4282,54,N,998,TOTAL,358,193,146,
LOS ANGELES,9002851A,4286,125,N,929,POLLING PLACE,204,151,40,
LOS ANGELES,9002851A,4286,125,N,,VBM PORTION,64,49,11,
LOS ANGELES,9002851A,4286,125,N,929,TOTAL,268,200,51,
LOS ANGELES,9002873B,4288,125,N,1088,POLLING PLACE,199,151,36,
LOS ANGELES,9002873B,4288,125,N,,VBM PORTION,63,46,14,
LOS ANGELES,9002873B,4288,125,N,1088,TOTAL,262,197,50,
LOS ANGELES,9002892A,4292,33,N,1048,POLLING PLACE,211,122,78,
LOS ANGELES,9002892A,4292,33,N,,VBM PORTION,51,24,24,
LOS ANGELES,9002892A,4292,33,N,1048,TOTAL,262,146,102,
LOS ANGELES,9002968A,4308,54,N,1131,POLLING PLACE,251,119,123,
LOS ANGELES,9002968A,4308,54,N,,VBM PORTION,109,46,63,
LOS ANGELES,9002968A,4308,54,N,1131,TOTAL,360,165,186,
LOS ANGELES,9003055A,4313,54,N,1339,POLLING PLACE,381,192,173,
LOS ANGELES,9003055A,4313,54,N,,VBM PORTION,119,49,61,
LOS ANGELES,9003055A,4313,54,N,1339,TOTAL,500,241,234,
LOS ANGELES,9003088A,4317,54,N,770,POLLING PLACE,156,77,66,
LOS ANGELES,9003088A,4317,54,N,,VBM PORTION,58,28,28,
LOS ANGELES,9003088A,4317,54,N,770,TOTAL,214,105,94,
LOS ANGELES,9003122A,4318,115,N,1187,POLLING PLACE,302,176,115,
LOS ANGELES,9003122A,4318,115,N,,VBM PORTION,136,98,35,
LOS ANGELES,9003122A,4318,115,N,1187,TOTAL,438,274,150,
LOS ANGELES,9003128A,4319,116,N,894,POLLING PLACE,206,97,100,
LOS ANGELES,9003128A,4319,116,N,,VBM PORTION,95,45,44,
LOS ANGELES,9003128A,4319,116,N,894,TOTAL,301,142,144,
LOS ANGELES,9003129A,4320,116,N,1072,POLLING PLACE,269,136,120,
LOS ANGELES,9003129A,4320,116,N,,VBM PORTION,74,37,31,
LOS ANGELES,9003129A,4320,116,N,1072,TOTAL,343,173,151,
LOS ANGELES,9003218B,4331,115,N,1280,POLLING PLACE,248,153,83,
LOS ANGELES,9003218B,4331,115,N,,VBM PORTION,143,100,39,
LOS ANGELES,9003218B,4331,115,N,1280,TOTAL,391,253,122,
LOS ANGELES,9003228A,4333,125,N,1168,POLLING PLACE,192,142,37,
LOS ANGELES,9003228A,4333,125,N,,VBM PORTION,57,38,17,
LOS ANGELES,9003228A,4333,125,N,1168,TOTAL,249,180,54,
LOS ANGELES,9003238A,4336,125,N,708,POLLING PLACE,137,109,24,
LOS ANGELES,9003238A,4336,125,N,,VBM PORTION,50,39,5,
LOS ANGELES,9003238A,4336,125,N,708,TOTAL,187,148,29,
LOS ANGELES,9003465A,4350,115,N,429,POLLING PLACE,82,52,25,
LOS ANGELES,9003465A,4350,115,N,,VBM PORTION,60,27,31,
LOS ANGELES,9003465A,4350,115,N,429,TOTAL,142,79,56,
LOS ANGELES,9003466A,4351,54,N,564,POLLING PLACE,130,69,49,
LOS ANGELES,9003466A,4351,54,N,,VBM PORTION,83,39,40,
LOS ANGELES,9003466A,4351,54,N,564,TOTAL,213,108,89,
LOS ANGELES,9003600A,4356,115,N,1133,POLLING PLACE,207,115,83,
LOS ANGELES,9003600A,4356,115,N,,VBM PORTION,105,59,41,
LOS ANGELES,9003600A,4356,115,N,1133,TOTAL,312,174,124,
LOS ANGELES,9003613A,4358,58,N,932,POLLING PLACE,196,88,94,
LOS ANGELES,9003613A,4358,58,N,,VBM PORTION,92,30,54,
LOS ANGELES,9003613A,4358,58,N,932,TOTAL,288,118,148,
LOS ANGELES,9003614A,4359,58,N,1185,POLLING PLACE,271,147,113,
LOS ANGELES,9003614A,4359,58,N,,VBM PORTION,83,47,32,
LOS ANGELES,9003614A,4359,58,N,1185,TOTAL,354,194,145,
LOS ANGELES,9003626A,4360,109,N,1318,POLLING PLACE,268,153,101,
LOS ANGELES,9003626A,4360,109,N,,VBM PORTION,145,85,55,
LOS ANGELES,9003626A,4360,109,N,1318,TOTAL,413,238,156,
LOS ANGELES,9003681A,4363,115,N,1196,POLLING PLACE,157,116,38,
LOS ANGELES,9003681A,4363,115,N,,VBM PORTION,120,89,25,
LOS ANGELES,9003681A,4363,115,N,1196,TOTAL,277,205,63,
LOS ANGELES,9003683A,4364,115,N,1314,POLLING PLACE,207,133,46,
LOS ANGELES,9003683A,4364,115,N,,VBM PORTION,142,99,39,
LOS ANGELES,9003683A,4364,115,N,1314,TOTAL,349,232,85,
LOS ANGELES,9004210A,4387,112,N,910,POLLING PLACE,165,111,51,
