LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACQUELINE H LEWIS,DAYAN MATHAI,
COMPTON,1450132A,540,363,N,747,TOTAL,143,100,24,
COMPTON,1450133A,541,363,N,786,POLLING PLACE,106,60,38,
COMPTON,1450133A,541,363,N,,VBM PORTION,25,15,5,
COMPTON,1450133A,541,363,N,786,TOTAL,131,75,43,
COMPTON,1450137B,542,363,N,986,POLLING PLACE,149,98,38,
COMPTON,1450137B,542,363,N,,VBM PORTION,39,18,12,
COMPTON,1450137B,542,363,N,986,TOTAL,188,116,50,
COMPTON,1450137L,543,363,N,546,POLLING PLACE,59,31,17,
COMPTON,1450137L,543,363,N,,VBM PORTION,16,9,3,
COMPTON,1450137L,543,363,N,546,TOTAL,75,40,20,
COMPTON,1450142B,544,363,N,1083,POLLING PLACE,138,87,37,
COMPTON,1450142B,544,363,N,,VBM PORTION,43,21,14,
COMPTON,1450142B,544,363,N,1083,TOTAL,181,108,51,
COMPTON,1450147A,545,363,N,762,POLLING PLACE,146,86,33,
COMPTON,1450147A,545,363,N,,VBM PORTION,72,40,13,
COMPTON,1450147A,545,363,N,762,TOTAL,218,126,46,
COMPTON,1450148A,546,363,N,781,POLLING PLACE,123,75,26,
COMPTON,1450148A,546,363,N,,VBM PORTION,51,22,18,
COMPTON,1450148A,546,363,N,781,TOTAL,174,97,44,
COMPTON,1450149A,547,363,N,1095,POLLING PLACE,164,102,44,
COMPTON,1450149A,547,363,N,,VBM PORTION,40,16,13,
COMPTON,1450149A,547,363,N,1095,TOTAL,204,118,57,
COMPTON,1450152A,548,363,N,668,POLLING PLACE,149,82,42,
COMPTON,1450152A,548,363,N,,VBM PORTION,39,20,7,
COMPTON,1450152A,548,363,N,668,TOTAL,188,102,49,
COMPTON,1450153A,549,363,N,904,POLLING PLACE,107,67,20,
COMPTON,1450153A,549,363,N,,VBM PORTION,30,15,6,
COMPTON,1450153A,549,363,N,904,TOTAL,137,82,26,
COMPTON,1450154A,550,363,N,1058,POLLING PLACE,201,127,51,
COMPTON,1450154A,550,363,N,,VBM PORTION,65,24,27,
COMPTON,1450154A,550,363,N,1058,TOTAL,266,151,78,
COMPTON,1450155A,551,363,N,1042,POLLING PLACE,179,111,43,
COMPTON,1450155A,551,363,N,,VBM PORTION,42,21,12,
COMPTON,1450155A,551,363,N,1042,TOTAL,221,132,55,
COMPTON,1450155G,6058,367,Y,2,POLLING PLACE,,,,
COMPTON,1450155G,6058,367,Y,,VBM PORTION,,,,
COMPTON,1450155G,6058,367,Y,2,TOTAL,,,,
COMPTON,1450157A,552,363,N,827,POLLING PLACE,131,74,27,
COMPTON,1450157A,552,363,N,,VBM PORTION,30,15,10,
COMPTON,1450157A,552,363,N,827,TOTAL,161,89,37,
COMPTON,1450160A,553,363,N,864,POLLING PLACE,183,127,39,
COMPTON,1450160A,553,363,N,,VBM PORTION,44,21,13,
COMPTON,1450160A,553,363,N,864,TOTAL,227,148,52,
COMPTON,1450163A,554,363,N,841,POLLING PLACE,160,103,38,
COMPTON,1450163A,554,363,N,,VBM PORTION,34,14,7,
COMPTON,1450163A,554,363,N,841,TOTAL,194,117,45,
COMPTON,1450164C,555,363,N,1037,POLLING PLACE,199,128,46,
COMPTON,1450164C,555,363,N,,VBM PORTION,31,14,9,
COMPTON,1450164C,555,363,N,1037,TOTAL,230,142,55,
COMPTON,1450167A,556,363,N,1106,POLLING PLACE,240,155,57,
COMPTON,1450167A,556,363,N,,VBM PORTION,54,29,15,
COMPTON,1450167A,556,363,N,1106,TOTAL,294,184,72,
COMPTON,1450305B,557,363,N,716,POLLING PLACE,70,34,26,
COMPTON,1450305B,557,363,N,,VBM PORTION,23,14,9,
COMPTON,1450305B,557,363,N,716,TOTAL,93,48,35,
COVINA,1500001A,558,133,N,325,POLLING PLACE,43,12,12,
COVINA,1500001A,558,133,N,,VBM PORTION,11,2,4,
COVINA,1500001A,558,133,N,325,TOTAL,54,14,16,
COVINA,1500003A,559,133,N,719,POLLING PLACE,141,73,37,
COVINA,1500003A,559,133,N,,VBM PORTION,54,11,19,
COVINA,1500003A,559,133,N,719,TOTAL,195,84,56,
COVINA,1500008A,560,133,N,880,POLLING PLACE,164,79,57,
COVINA,1500008A,560,133,N,,VBM PORTION,66,24,15,
COVINA,1500008A,560,133,N,880,TOTAL,230,103,72,
COVINA,1500009A,561,133,N,888,POLLING PLACE,198,59,78,
COVINA,1500009A,561,133,N,,VBM PORTION,69,20,33,
COVINA,1500009A,561,133,N,888,TOTAL,267,79,111,
COVINA,1500012A,562,133,N,1070,POLLING PLACE,170,61,65,
COVINA,1500012A,562,133,N,,VBM PORTION,76,30,28,
COVINA,1500012A,562,133,N,1070,TOTAL,246,91,93,
COVINA,1500014A,563,133,N,1207,POLLING PLACE,186,66,81,
COVINA,1500014A,563,133,N,,VBM PORTION,60,10,25,
COVINA,1500014A,563,133,N,1207,TOTAL,246,76,106,
COVINA,1500016B,564,133,N,1010,POLLING PLACE,151,48,64,
COVINA,1500016B,564,133,N,,VBM PORTION,87,41,28,
COVINA,1500016B,564,133,N,1010,TOTAL,238,89,92,
COVINA,1500022A,565,133,N,1153,POLLING PLACE,168,64,73,
COVINA,1500022A,565,133,N,,VBM PORTION,55,24,17,
COVINA,1500022A,565,133,N,1153,TOTAL,223,88,90,
COVINA,1500024A,566,133,N,977,POLLING PLACE,144,59,57,
COVINA,1500024A,566,133,N,,VBM PORTION,63,12,33,
COVINA,1500024A,566,133,N,977,TOTAL,207,71,90,
COVINA,1500025A,567,133,N,1099,POLLING PLACE,127,49,52,
COVINA,1500025A,567,133,N,,VBM PORTION,46,18,14,
COVINA,1500025A,567,133,N,1099,TOTAL,173,67,66,
COVINA,1500027A,568,133,N,668,POLLING PLACE,110,34,48,
COVINA,1500027A,568,133,N,,VBM PORTION,42,20,13,
COVINA,1500027A,568,133,N,668,TOTAL,152,54,61,
COVINA,1500029A,569,133,N,1014,POLLING PLACE,164,58,63,
COVINA,1500029A,569,133,N,,VBM PORTION,82,33,24,
COVINA,1500029A,569,133,N,1014,TOTAL,246,91,87,
COVINA,1500031A,570,133,N,1252,POLLING PLACE,282,93,137,
COVINA,1500031A,570,133,N,,VBM PORTION,108,42,43,
COVINA,1500031A,570,133,N,1252,TOTAL,390,135,180,
COVINA,1500035A,571,133,N,1049,POLLING PLACE,193,72,88,
COVINA,1500035A,571,133,N,,VBM PORTION,54,26,14,
COVINA,1500035A,571,133,N,1049,TOTAL,247,98,102,
COVINA,1500036C,572,133,N,1004,POLLING PLACE,196,67,76,
COVINA,1500036C,572,133,N,,VBM PORTION,79,21,37,
COVINA,1500036C,572,133,N,1004,TOTAL,275,88,113,
COVINA,1500037A,573,133,N,1107,POLLING PLACE,250,100,89,
COVINA,1500037A,573,133,N,,VBM PORTION,85,18,41,
COVINA,1500037A,573,133,N,1107,TOTAL,335,118,130,
COVINA,1500056A,574,133,N,1224,POLLING PLACE,196,61,72,
COVINA,1500056A,574,133,N,,VBM PORTION,86,37,28,
COVINA,1500056A,574,133,N,1224,TOTAL,282,98,100,
COVINA,1500074C,575,133,N,1245,POLLING PLACE,295,99,126,
COVINA,1500074C,575,133,N,,VBM PORTION,145,42,51,
COVINA,1500074C,575,133,N,1245,TOTAL,440,141,177,
COVINA,1500078A,576,133,N,1046,POLLING PLACE,180,72,62,
COVINA,1500078A,576,133,N,,VBM PORTION,88,44,25,
COVINA,1500078A,576,133,N,1046,TOTAL,268,116,87,
COVINA,1500082A,577,133,N,1002,POLLING PLACE,174,76,62,
COVINA,1500082A,577,133,N,,VBM PORTION,99,38,35,
COVINA,1500082A,577,133,N,1002,TOTAL,273,114,97,
COVINA,1500084A,578,133,N,821,POLLING PLACE,194,55,91,
COVINA,1500084A,578,133,N,,VBM PORTION,85,19,39,
COVINA,1500084A,578,133,N,821,TOTAL,279,74,130,
COVINA,1500086B,579,133,N,1180,POLLING PLACE,213,106,69,
COVINA,1500086B,579,133,N,,VBM PORTION,75,30,30,
COVINA,1500086B,579,133,N,1180,TOTAL,288,136,99,
COVINA,1500089A,580,133,N,882,POLLING PLACE,116,50,42,
COVINA,1500089A,580,133,N,,VBM PORTION,60,21,26,
COVINA,1500089A,580,133,N,882,TOTAL,176,71,68,
COVINA,1500090A,581,133,N,561,POLLING PLACE,99,45,28,
COVINA,1500090A,581,133,N,,VBM PORTION,17,10,3,
COVINA,1500090A,581,133,N,561,TOTAL,116,55,31,
COVINA,1500090C,582,128,N,228,POLLING PLACE,34,10,21,
COVINA,1500090C,582,128,N,,VBM PORTION,22,8,12,
COVINA,1500090C,582,128,N,228,TOTAL,56,18,33,
COVINA,1500093A,583,133,N,1219,POLLING PLACE,163,62,58,
COVINA,1500093A,583,133,N,,VBM PORTION,75,22,32,
COVINA,1500093A,583,133,N,1219,TOTAL,238,84,90,
CUDAHY,1550001A,584,347,N,990,POLLING PLACE,140,71,45,
CUDAHY,1550001A,584,347,N,,VBM PORTION,28,12,15,
CUDAHY,1550001A,584,347,N,990,TOTAL,168,83,60,
CUDAHY,1550002A,6059,349,Y,,POLLING PLACE,,,,
CUDAHY,1550002A,6059,349,Y,,VBM PORTION,,,,
CUDAHY,1550002A,6059,349,Y,,TOTAL,,,,
CUDAHY,1550005A,585,347,N,1070,POLLING PLACE,139,70,54,
CUDAHY,1550005A,585,347,N,,VBM PORTION,18,8,9,
CUDAHY,1550005A,585,347,N,1070,TOTAL,157,78,63,
CUDAHY,1550006A,586,347,N,1091,POLLING PLACE,143,73,50,
CUDAHY,1550006A,586,347,N,,VBM PORTION,26,10,12,
CUDAHY,1550006A,586,347,N,1091,TOTAL,169,83,62,
CUDAHY,1550009A,587,347,N,942,POLLING PLACE,138,62,56,
CUDAHY,1550009A,587,347,N,,VBM PORTION,18,2,9,
CUDAHY,1550009A,587,347,N,942,TOTAL,156,64,65,
CUDAHY,1550010A,588,347,N,987,POLLING PLACE,131,58,56,
CUDAHY,1550010A,588,347,N,,VBM PORTION,29,14,11,
CUDAHY,1550010A,588,347,N,987,TOTAL,160,72,67,
CUDAHY,1550020A,589,347,N,1222,POLLING PLACE,168,85,48,
CUDAHY,1550020A,589,347,N,,VBM PORTION,33,16,7,
CUDAHY,1550020A,589,347,N,1222,TOTAL,201,101,55,
CULVER CITY,1600001A,590,233,N,902,POLLING PLACE,180,91,37,
CULVER CITY,1600001A,590,233,N,,VBM PORTION,72,34,15,
CULVER CITY,1600001A,590,233,N,902,TOTAL,252,125,52,
CULVER CITY,1600002A,591,233,N,754,POLLING PLACE,146,68,50,
CULVER CITY,1600002A,591,233,N,,VBM PORTION,73,40,15,
CULVER CITY,1600002A,591,233,N,754,TOTAL,219,108,65,
CULVER CITY,1600003A,592,233,N,998,POLLING PLACE,169,76,46,
CULVER CITY,1600003A,592,233,N,,VBM PORTION,92,45,21,
CULVER CITY,1600003A,592,233,N,998,TOTAL,261,121,67,
CULVER CITY,1600004A,593,233,N,1097,POLLING PLACE,230,120,59,
CULVER CITY,1600004A,593,233,N,,VBM PORTION,70,34,16,
CULVER CITY,1600004A,593,233,N,1097,TOTAL,300,154,75,
CULVER CITY,1600005A,594,233,N,885,POLLING PLACE,187,91,47,
CULVER CITY,1600005A,594,233,N,,VBM PORTION,85,38,20,
CULVER CITY,1600005A,594,233,N,885,TOTAL,272,129,67,
CULVER CITY,1600007A,595,233,N,1248,POLLING PLACE,316,145,77,
CULVER CITY,1600007A,595,233,N,,VBM PORTION,147,59,35,
CULVER CITY,1600007A,595,233,N,1248,TOTAL,463,204,112,
CULVER CITY,1600008A,596,233,N,1154,POLLING PLACE,329,159,80,
CULVER CITY,1600008A,596,233,N,,VBM PORTION,140,47,36,
CULVER CITY,1600008A,596,233,N,1154,TOTAL,469,206,116,
CULVER CITY,1600011A,597,233,N,1176,POLLING PLACE,206,97,39,
CULVER CITY,1600011A,597,233,N,,VBM PORTION,157,65,47,
CULVER CITY,1600011A,597,233,N,1176,TOTAL,363,162,86,
CULVER CITY,1600013B,598,233,N,1147,POLLING PLACE,330,136,74,
CULVER CITY,1600013B,598,233,N,,VBM PORTION,124,47,32,
CULVER CITY,1600013B,598,233,N,1147,TOTAL,454,183,106,
CULVER CITY,1600014A,599,233,N,476,POLLING PLACE,102,51,20,
CULVER CITY,1600014A,599,233,N,,VBM PORTION,80,43,12,
CULVER CITY,1600014A,599,233,N,476,TOTAL,182,94,32,
CULVER CITY,1600014C,6060,228,Y,,POLLING PLACE,,,,
CULVER CITY,1600014C,6060,228,Y,,VBM PORTION,,,,
CULVER CITY,1600014C,6060,228,Y,,TOTAL,,,,
CULVER CITY,1600017B,600,233,N,1114,POLLING PLACE,224,111,45,
CULVER CITY,1600017B,600,233,N,,VBM PORTION,112,46,31,
CULVER CITY,1600017B,600,233,N,1114,TOTAL,336,157,76,
CULVER CITY,1600018A,601,233,N,899,POLLING PLACE,161,85,38,
CULVER CITY,1600018A,601,233,N,,VBM PORTION,63,30,12,
CULVER CITY,1600018A,601,233,N,899,TOTAL,224,115,50,
CULVER CITY,1600022A,602,233,N,651,POLLING PLACE,156,72,38,
CULVER CITY,1600022A,602,233,N,,VBM PORTION,59,24,21,
CULVER CITY,1600022A,602,233,N,651,TOTAL,215,96,59,
CULVER CITY,1600024A,603,233,N,1216,POLLING PLACE,269,115,87,
CULVER CITY,1600024A,603,233,N,,VBM PORTION,111,47,22,
CULVER CITY,1600024A,603,233,N,1216,TOTAL,380,162,109,
CULVER CITY,1600025A,604,233,N,955,POLLING PLACE,285,113,83,
CULVER CITY,1600025A,604,233,N,,VBM PORTION,123,50,25,
CULVER CITY,1600025A,604,233,N,955,TOTAL,408,163,108,
CULVER CITY,1600027C,605,233,N,646,POLLING PLACE,188,66,56,
CULVER CITY,1600027C,605,233,N,,VBM PORTION,74,33,19,
CULVER CITY,1600027C,605,233,N,646,TOTAL,262,99,75,
CULVER CITY,1600028A,606,233,N,1254,POLLING PLACE,272,116,82,
CULVER CITY,1600028A,606,233,N,,VBM PORTION,129,49,39,
CULVER CITY,1600028A,606,233,N,1254,TOTAL,401,165,121,
CULVER CITY,1600031C,607,233,N,1008,POLLING PLACE,244,119,60,
CULVER CITY,1600031C,607,233,N,,VBM PORTION,131,64,34,
CULVER CITY,1600031C,607,233,N,1008,TOTAL,375,183,94,
CULVER CITY,1600034A,608,233,N,1156,POLLING PLACE,304,111,94,
CULVER CITY,1600034A,608,233,N,,VBM PORTION,165,77,37,
CULVER CITY,1600034A,608,233,N,1156,TOTAL,469,188,131,
CULVER CITY,1600042A,609,233,N,768,POLLING PLACE,284,141,67,
CULVER CITY,1600042A,609,233,N,,VBM PORTION,107,51,23,
CULVER CITY,1600042A,609,233,N,768,TOTAL,391,192,90,
CULVER CITY,1600045A,610,233,N,962,POLLING PLACE,225,102,63,
CULVER CITY,1600045A,610,233,N,,VBM PORTION,97,38,24,
CULVER CITY,1600045A,610,233,N,962,TOTAL,322,140,87,
CULVER CITY,1600055A,611,233,N,1079,POLLING PLACE,302,155,58,
CULVER CITY,1600055A,611,233,N,,VBM PORTION,87,41,16,
CULVER CITY,1600055A,611,233,N,1079,TOTAL,389,196,74,
CULVER CITY,1600073A,612,233,N,1197,POLLING PLACE,248,133,64,
CULVER CITY,1600073A,612,233,N,,VBM PORTION,74,31,18,
CULVER CITY,1600073A,612,233,N,1197,TOTAL,322,164,82,
CULVER CITY,1600074B,613,233,N,1091,POLLING PLACE,282,138,80,
CULVER CITY,1600074B,613,233,N,,VBM PORTION,117,63,27,
CULVER CITY,1600074B,613,233,N,1091,TOTAL,399,201,107,
CULVER CITY,1600076A,614,233,N,1125,POLLING PLACE,268,132,61,
CULVER CITY,1600076A,614,233,N,,VBM PORTION,82,48,14,
CULVER CITY,1600076A,614,233,N,1125,TOTAL,350,180,75,
DEL AIRE,1680001A,615,338,N,825,POLLING PLACE,175,58,72,
DEL AIRE,1680001A,615,338,N,,VBM PORTION,54,21,24,
DEL AIRE,1680001A,615,338,N,825,TOTAL,229,79,96,
DEL AIRE,1680002B,616,338,N,956,POLLING PLACE,263,78,113,
DEL AIRE,1680002B,616,338,N,,VBM PORTION,71,9,32,
DEL AIRE,1680002B,616,338,N,956,TOTAL,334,87,145,
DEL AIRE,1680003A,617,338,N,861,POLLING PLACE,205,83,82,
DEL AIRE,1680003A,617,338,N,,VBM PORTION,70,20,29,
DEL AIRE,1680003A,617,338,N,861,TOTAL,275,103,111,
DEL AIRE,1680004A,618,338,N,765,POLLING PLACE,164,55,68,
DEL AIRE,1680004A,618,338,N,,VBM PORTION,60,19,17,
DEL AIRE,1680004A,618,338,N,765,TOTAL,224,74,85,
DEL AIRE,1680005A,619,338,N,410,POLLING PLACE,80,29,39,
DEL AIRE,1680005A,619,338,N,,VBM PORTION,19,2,11,
DEL AIRE,1680005A,619,338,N,410,TOTAL,99,31,50,
DEL AIRE,1680006C,620,338,N,642,POLLING PLACE,111,32,48,
DEL AIRE,1680006C,620,338,N,,VBM PORTION,46,13,28,
DEL AIRE,1680006C,620,338,N,642,TOTAL,157,45,76,
DEL AIRE,1680007A,621,338,N,985,POLLING PLACE,206,71,91,
DEL AIRE,1680007A,621,338,N,,VBM PORTION,48,13,15,
DEL AIRE,1680007A,621,338,N,985,TOTAL,254,84,106,
DEL SUR,1750001A,622,8,N,1079,POLLING PLACE,273,73,120,
DEL SUR,1750001A,622,8,N,,VBM PORTION,111,24,55,
DEL SUR,1750001A,622,8,N,1079,TOTAL,384,97,175,
DEL SUR,1750005H,6061,16,Y,,POLLING PLACE,,,,
DEL SUR,1750005H,6061,16,Y,,VBM PORTION,,,,
DEL SUR,1750005H,6061,16,Y,,TOTAL,,,,
DEL SUR,1750007C,6062,15,Y,,POLLING PLACE,,,,
DEL SUR,1750007C,6062,15,Y,,VBM PORTION,,,,
DEL SUR,1750007C,6062,15,Y,,TOTAL,,,,
DEL SUR,1750052A,6063,3,Y,234,POLLING PLACE,,,,
DEL SUR,1750052A,6063,3,Y,,VBM PORTION,108,37,45,
DEL SUR,1750052A,6063,3,Y,234,TOTAL,108,37,45,
DEL SUR,1750054A,623,7,N,562,POLLING PLACE,133,25,63,
DEL SUR,1750054A,623,7,N,,VBM PORTION,96,22,52,
DEL SUR,1750054A,623,7,N,562,TOTAL,229,47,115,
DEL SUR,1750055A,624,1,N,1404,POLLING PLACE,376,96,197,
DEL SUR,1750055A,624,1,N,,VBM PORTION,170,43,79,
DEL SUR,1750055A,624,1,N,1404,TOTAL,546,139,276,
DESERT,1770001A,625,8,N,1091,POLLING PLACE,200,74,86,
DESERT,1770001A,625,8,N,,VBM PORTION,77,29,25,
DESERT,1770001A,625,8,N,1091,TOTAL,277,103,111,
DESERT,1770004A,626,13,N,1124,POLLING PLACE,270,59,142,
DESERT,1770004A,626,13,N,,VBM PORTION,165,52,70,
DESERT,1770004A,626,13,N,1124,TOTAL,435,111,212,
DESERT,1770007A,6064,13,Y,114,POLLING PLACE,,,,
DESERT,1770007A,6064,13,Y,,VBM PORTION,9,3,4,
DESERT,1770007A,6064,13,Y,114,TOTAL,9,3,4,
DESERT,1770015A,627,13,N,947,POLLING PLACE,129,31,58,
DESERT,1770015A,627,13,N,,VBM PORTION,147,38,69,
DESERT,1770015A,627,13,N,947,TOTAL,276,69,127,
DESERT,1770016A,628,13,N,397,POLLING PLACE,95,22,39,
DESERT,1770016A,628,13,N,,VBM PORTION,47,20,16,
DESERT,1770016A,628,13,N,397,TOTAL,142,42,55,
DESERT,1770063J,6065,13,Y,,POLLING PLACE,,,,
DESERT,1770063J,6065,13,Y,,VBM PORTION,,,,
DESERT,1770063J,6065,13,Y,,TOTAL,,,,
DIAMOND BAR,1780001A,629,238,N,1145,POLLING PLACE,150,32,64,
DIAMOND BAR,1780001A,629,238,N,,VBM PORTION,108,27,30,
DIAMOND BAR,1780001A,629,238,N,1145,TOTAL,258,59,94,
DIAMOND BAR,1780002A,630,237,N,1182,POLLING PLACE,203,79,71,
DIAMOND BAR,1780002A,630,237,N,,VBM PORTION,89,31,33,
DIAMOND BAR,1780002A,630,237,N,1182,TOTAL,292,110,104,
DIAMOND BAR,1780003A,631,238,N,661,POLLING PLACE,124,43,52,
DIAMOND BAR,1780003A,631,238,N,,VBM PORTION,47,10,12,
DIAMOND BAR,1780003A,631,238,N,661,TOTAL,171,53,64,
DIAMOND BAR,1780004A,632,238,N,1149,POLLING PLACE,175,54,55,
DIAMOND BAR,1780004A,632,238,N,,VBM PORTION,113,25,56,
DIAMOND BAR,1780004A,632,238,N,1149,TOTAL,288,79,111,
DIAMOND BAR,1780006A,633,238,N,1076,POLLING PLACE,201,73,80,
DIAMOND BAR,1780006A,633,238,N,,VBM PORTION,101,22,47,
DIAMOND BAR,1780006A,633,238,N,1076,TOTAL,302,95,127,
DIAMOND BAR,1780007B,634,238,N,1068,POLLING PLACE,173,41,72,
DIAMOND BAR,1780007B,634,238,N,,VBM PORTION,96,31,33,
DIAMOND BAR,1780007B,634,238,N,1068,TOTAL,269,72,105,
DIAMOND BAR,1780008A,635,238,N,1158,POLLING PLACE,138,52,45,
DIAMOND BAR,1780008A,635,238,N,,VBM PORTION,145,52,39,
DIAMOND BAR,1780008A,635,238,N,1158,TOTAL,283,104,84,
DIAMOND BAR,1780014A,636,238,N,1201,POLLING PLACE,212,87,80,
DIAMOND BAR,1780014A,636,238,N,,VBM PORTION,115,39,43,
DIAMOND BAR,1780014A,636,238,N,1201,TOTAL,327,126,123,
DIAMOND BAR,1780020A,637,238,N,1097,POLLING PLACE,187,67,62,
DIAMOND BAR,1780020A,637,238,N,,VBM PORTION,97,32,37,
DIAMOND BAR,1780020A,637,238,N,1097,TOTAL,284,99,99,
DIAMOND BAR,1780021A,638,238,N,1029,POLLING PLACE,169,61,63,
DIAMOND BAR,1780021A,638,238,N,,VBM PORTION,108,19,34,
DIAMOND BAR,1780021A,638,238,N,1029,TOTAL,277,80,97,
DIAMOND BAR,1780041A,639,238,N,1150,POLLING PLACE,226,85,75,
DIAMOND BAR,1780041A,639,238,N,,VBM PORTION,92,24,39,
DIAMOND BAR,1780041A,639,238,N,1150,TOTAL,318,109,114,
DIAMOND BAR,1780043B,640,238,N,1132,POLLING PLACE,185,64,61,
DIAMOND BAR,1780043B,640,238,N,,VBM PORTION,136,36,53,
DIAMOND BAR,1780043B,640,238,N,1132,TOTAL,321,100,114,
DIAMOND BAR,1780063A,641,237,N,578,POLLING PLACE,109,47,37,
DIAMOND BAR,1780063A,641,237,N,,VBM PORTION,67,28,23,
DIAMOND BAR,1780063A,641,237,N,578,TOTAL,176,75,60,
DIAMOND BAR,1780063B,642,237,N,879,POLLING PLACE,189,64,76,
DIAMOND BAR,1780063B,642,237,N,,VBM PORTION,71,21,30,
DIAMOND BAR,1780063B,642,237,N,879,TOTAL,260,85,106,
DIAMOND BAR,1780065B,643,237,N,914,POLLING PLACE,204,69,71,
DIAMOND BAR,1780065B,643,237,N,,VBM PORTION,101,28,43,
DIAMOND BAR,1780065B,643,237,N,914,TOTAL,305,97,114,
DIAMOND BAR,1780066A,644,238,N,850,POLLING PLACE,154,49,60,
DIAMOND BAR,1780066A,644,238,N,,VBM PORTION,80,27,24,
DIAMOND BAR,1780066A,644,238,N,850,TOTAL,234,76,84,
DIAMOND BAR,1780067A,645,238,N,853,POLLING PLACE,151,44,59,
DIAMOND BAR,1780067A,645,238,N,,VBM PORTION,84,32,29,
DIAMOND BAR,1780067A,645,238,N,853,TOTAL,235,76,88,
DIAMOND BAR,1780068A,646,238,N,406,POLLING PLACE,66,20,25,
DIAMOND BAR,1780068A,646,238,N,,VBM PORTION,23,5,12,
DIAMOND BAR,1780068A,646,238,N,406,TOTAL,89,25,37,
DIAMOND BAR,1780069A,647,238,N,960,POLLING PLACE,106,38,45,
DIAMOND BAR,1780069A,647,238,N,,VBM PORTION,88,32,32,
DIAMOND BAR,1780069A,647,238,N,960,TOTAL,194,70,77,
DIAMOND BAR,1780070A,648,237,N,1076,POLLING PLACE,198,78,67,
DIAMOND BAR,1780070A,648,237,N,,VBM PORTION,110,40,33,
DIAMOND BAR,1780070A,648,237,N,1076,TOTAL,308,118,100,
DIAMOND BAR,1780071C,649,238,N,494,POLLING PLACE,85,37,33,
DIAMOND BAR,1780071C,649,238,N,,VBM PORTION,53,24,16,
DIAMOND BAR,1780071C,649,238,N,494,TOTAL,138,61,49,
DIAMOND BAR,1780072A,650,237,N,822,POLLING PLACE,169,67,57,
DIAMOND BAR,1780072A,650,237,N,,VBM PORTION,55,15,24,
DIAMOND BAR,1780072A,650,237,N,822,TOTAL,224,82,81,
DIAMOND BAR,1780073A,651,237,N,875,POLLING PLACE,185,67,79,
DIAMOND BAR,1780073A,651,237,N,,VBM PORTION,78,22,37,
DIAMOND BAR,1780073A,651,237,N,875,TOTAL,263,89,116,
DIAMOND BAR,1780075A,652,238,N,890,POLLING PLACE,114,47,50,
DIAMOND BAR,1780075A,652,238,N,,VBM PORTION,78,33,26,
DIAMOND BAR,1780075A,652,238,N,890,TOTAL,192,80,76,
DIAMOND BAR,1780077A,653,238,N,869,POLLING PLACE,110,42,41,
DIAMOND BAR,1780077A,653,238,N,,VBM PORTION,74,30,21,
DIAMOND BAR,1780077A,653,238,N,869,TOTAL,184,72,62,
DIAMOND BAR,1780078A,654,238,N,950,POLLING PLACE,136,42,67,
DIAMOND BAR,1780078A,654,238,N,,VBM PORTION,83,29,24,
DIAMOND BAR,1780078A,654,238,N,950,TOTAL,219,71,91,
DIAMOND BAR,1780079A,655,238,N,491,POLLING PLACE,29,11,7,
DIAMOND BAR,1780079A,655,238,N,,VBM PORTION,47,14,21,
DIAMOND BAR,1780079A,655,238,N,491,TOTAL,76,25,28,
DIAMOND BAR,1780081A,656,238,N,615,POLLING PLACE,114,34,43,
DIAMOND BAR,1780081A,656,238,N,,VBM PORTION,43,8,14,
DIAMOND BAR,1780081A,656,238,N,615,TOTAL,157,42,57,
DIAMOND BAR,1780085A,657,238,N,723,POLLING PLACE,105,35,38,
DIAMOND BAR,1780085A,657,238,N,,VBM PORTION,47,16,11,
DIAMOND BAR,1780085A,657,238,N,723,TOTAL,152,51,49,
DIAMOND BAR,1780087A,658,238,N,576,POLLING PLACE,106,33,49,
DIAMOND BAR,1780087A,658,238,N,,VBM PORTION,52,21,19,
DIAMOND BAR,1780087A,658,238,N,576,TOTAL,158,54,68,
DIAMOND BAR,1780091E,659,238,N,932,POLLING PLACE,152,61,62,
DIAMOND BAR,1780091E,659,238,N,,VBM PORTION,92,25,38,
DIAMOND BAR,1780091E,659,238,N,932,TOTAL,244,86,100,
DIAMOND BAR,1780092A,660,238,N,696,POLLING PLACE,103,30,39,
DIAMOND BAR,1780092A,660,238,N,,VBM PORTION,58,20,21,
DIAMOND BAR,1780092A,660,238,N,696,TOTAL,161,50,60,
DIAMOND BAR,1780094A,661,238,N,1070,POLLING PLACE,178,57,74,
DIAMOND BAR,1780094A,661,238,N,,VBM PORTION,91,27,28,
DIAMOND BAR,1780094A,661,238,N,1070,TOTAL,269,84,102,
DOMINGUEZ,1800020B,662,373,N,733,POLLING PLACE,222,119,73,
DOMINGUEZ,1800020B,662,373,N,,VBM PORTION,37,14,12,
DOMINGUEZ,1800020B,662,373,N,733,TOTAL,259,133,85,
DOMINGUEZ,1800021A,663,367,N,798,POLLING PLACE,230,108,77,
DOMINGUEZ,1800021A,663,367,N,,VBM PORTION,51,26,17,
DOMINGUEZ,1800021A,663,367,N,798,TOTAL,281,134,94,
DOWNEY,1850001A,664,302,N,1065,POLLING PLACE,177,73,87,
DOWNEY,1850001A,664,302,N,,VBM PORTION,56,22,27,
DOWNEY,1850001A,664,302,N,1065,TOTAL,233,95,114,
