LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,FREDDIE RODRIGUEZ,DOROTHY F PINEDA,
POMONA,5250034B,2116,207,N,1199,POLLING PLACE,246,162,78,
POMONA,5250034B,2116,207,N,,VBM PORTION,104,52,48,
POMONA,5250034B,2116,207,N,1199,TOTAL,350,214,126,
POMONA,5250038A,2117,207,N,1063,POLLING PLACE,198,122,66,
POMONA,5250038A,2117,207,N,,VBM PORTION,71,47,19,
POMONA,5250038A,2117,207,N,1063,TOTAL,269,169,85,
POMONA,5250041A,2118,207,N,1166,POLLING PLACE,195,140,42,
POMONA,5250041A,2118,207,N,,VBM PORTION,42,28,12,
POMONA,5250041A,2118,207,N,1166,TOTAL,237,168,54,
POMONA,5250042A,2119,207,N,1005,POLLING PLACE,174,120,45,
POMONA,5250042A,2119,207,N,,VBM PORTION,52,34,17,
POMONA,5250042A,2119,207,N,1005,TOTAL,226,154,62,
POMONA,5250044D,2120,208,N,504,POLLING PLACE,72,52,15,
POMONA,5250044D,2120,208,N,,VBM PORTION,14,6,7,
POMONA,5250044D,2120,208,N,504,TOTAL,86,58,22,
POMONA,5250046D,2121,207,N,876,POLLING PLACE,118,88,23,
POMONA,5250046D,2121,207,N,,VBM PORTION,46,36,9,
POMONA,5250046D,2121,207,N,876,TOTAL,164,124,32,
POMONA,5250049A,2122,204,N,1026,POLLING PLACE,136,103,28,
POMONA,5250049A,2122,204,N,,VBM PORTION,35,21,14,
POMONA,5250049A,2122,204,N,1026,TOTAL,171,124,42,
POMONA,5250050A,2123,207,N,812,POLLING PLACE,149,105,37,
POMONA,5250050A,2123,207,N,,VBM PORTION,31,14,16,
POMONA,5250050A,2123,207,N,812,TOTAL,180,119,53,
POMONA,5250053A,2124,207,N,1218,POLLING PLACE,141,108,28,
POMONA,5250053A,2124,207,N,,VBM PORTION,31,14,15,
POMONA,5250053A,2124,207,N,1218,TOTAL,172,122,43,
POMONA,5250055A,2125,206,N,1004,POLLING PLACE,202,136,56,
POMONA,5250055A,2125,206,N,,VBM PORTION,54,25,22,
POMONA,5250055A,2125,206,N,1004,TOTAL,256,161,78,
POMONA,5250057A,2126,206,N,624,POLLING PLACE,100,71,24,
POMONA,5250057A,2126,206,N,,VBM PORTION,33,19,14,
POMONA,5250057A,2126,206,N,624,TOTAL,133,90,38,
POMONA,5250061A,2127,203,N,1194,POLLING PLACE,175,131,28,
POMONA,5250061A,2127,203,N,,VBM PORTION,41,29,11,
POMONA,5250061A,2127,203,N,1194,TOTAL,216,160,39,
POMONA,5250062A,2128,203,N,1195,POLLING PLACE,176,129,31,
POMONA,5250062A,2128,203,N,,VBM PORTION,50,32,15,
POMONA,5250062A,2128,203,N,1195,TOTAL,226,161,46,
POMONA,5250063A,2129,203,N,861,POLLING PLACE,133,104,23,
POMONA,5250063A,2129,203,N,,VBM PORTION,41,25,12,
POMONA,5250063A,2129,203,N,861,TOTAL,174,129,35,
POMONA,5250065A,2130,203,N,839,POLLING PLACE,123,89,26,
POMONA,5250065A,2130,203,N,,VBM PORTION,28,22,5,
POMONA,5250065A,2130,203,N,839,TOTAL,151,111,31,
POMONA,5250066A,2131,203,N,850,POLLING PLACE,95,69,19,
POMONA,5250066A,2131,203,N,,VBM PORTION,18,13,4,
POMONA,5250066A,2131,203,N,850,TOTAL,113,82,23,
POMONA,5250069A,2132,204,N,1094,POLLING PLACE,139,106,18,
POMONA,5250069A,2132,204,N,,VBM PORTION,45,25,18,
POMONA,5250069A,2132,204,N,1094,TOTAL,184,131,36,
POMONA,5250070A,2133,204,N,1160,POLLING PLACE,178,106,37,
POMONA,5250070A,2133,204,N,,VBM PORTION,39,26,7,
POMONA,5250070A,2133,204,N,1160,TOTAL,217,132,44,
POMONA,5250073A,2134,203,N,932,POLLING PLACE,158,114,27,
POMONA,5250073A,2134,203,N,,VBM PORTION,38,26,10,
POMONA,5250073A,2134,203,N,932,TOTAL,196,140,37,
POMONA,5250076A,2135,204,N,946,POLLING PLACE,136,91,39,
POMONA,5250076A,2135,204,N,,VBM PORTION,56,36,14,
POMONA,5250076A,2135,204,N,946,TOTAL,192,127,53,
POMONA,5250077A,2136,204,N,1068,POLLING PLACE,180,124,45,
POMONA,5250077A,2136,204,N,,VBM PORTION,38,27,6,
POMONA,5250077A,2136,204,N,1068,TOTAL,218,151,51,
POMONA,5250079A,2137,207,N,975,POLLING PLACE,154,93,50,
POMONA,5250079A,2137,207,N,,VBM PORTION,37,20,15,
POMONA,5250079A,2137,207,N,975,TOTAL,191,113,65,
POMONA,5250087C,2138,207,N,831,POLLING PLACE,147,95,35,
POMONA,5250087C,2138,207,N,,VBM PORTION,48,31,14,
POMONA,5250087C,2138,207,N,831,TOTAL,195,126,49,
POMONA,5250090E,6191,207,Y,37,POLLING PLACE,,,,
POMONA,5250090E,6191,207,Y,,VBM PORTION,,,,
POMONA,5250090E,6191,207,Y,37,TOTAL,,,,
POMONA,5250096A,2139,204,N,1126,POLLING PLACE,136,99,29,
POMONA,5250096A,2139,204,N,,VBM PORTION,44,24,14,
POMONA,5250096A,2139,204,N,1126,TOTAL,180,123,43,
POMONA,5250142A,2140,206,N,786,POLLING PLACE,204,121,74,
POMONA,5250142A,2140,206,N,,VBM PORTION,42,24,16,
POMONA,5250142A,2140,206,N,786,TOTAL,246,145,90,
POMONA,5250143A,2141,206,N,812,POLLING PLACE,211,117,77,
POMONA,5250143A,2141,206,N,,VBM PORTION,61,28,31,
POMONA,5250143A,2141,206,N,812,TOTAL,272,145,108,
POMONA,5250145A,2142,206,N,1213,POLLING PLACE,214,106,83,
POMONA,5250145A,2142,206,N,,VBM PORTION,99,48,43,
POMONA,5250145A,2142,206,N,1213,TOTAL,313,154,126,
POMONA,5250147A,2143,206,N,721,POLLING PLACE,165,91,64,
POMONA,5250147A,2143,206,N,,VBM PORTION,62,17,44,
POMONA,5250147A,2143,206,N,721,TOTAL,227,108,108,
POMONA,5250148A,2144,209,N,644,POLLING PLACE,89,54,30,
POMONA,5250148A,2144,209,N,,VBM PORTION,67,34,27,
POMONA,5250148A,2144,209,N,644,TOTAL,156,88,57,
POMONA,5250150A,2145,206,N,790,POLLING PLACE,119,55,53,
POMONA,5250150A,2145,206,N,,VBM PORTION,79,30,45,
POMONA,5250150A,2145,206,N,790,TOTAL,198,85,98,
POMONA,5250151A,2146,206,N,828,POLLING PLACE,175,81,75,
POMONA,5250151A,2146,206,N,,VBM PORTION,58,20,30,
POMONA,5250151A,2146,206,N,828,TOTAL,233,101,105,
POMONA,5250314A,2147,207,N,1234,POLLING PLACE,171,129,36,
POMONA,5250314A,2147,207,N,,VBM PORTION,48,33,11,
POMONA,5250314A,2147,207,N,1234,TOTAL,219,162,47,
POMONA,5250318A,2148,206,N,981,POLLING PLACE,202,111,70,
POMONA,5250318A,2148,206,N,,VBM PORTION,65,35,27,
POMONA,5250318A,2148,206,N,981,TOTAL,267,146,97,
POMONA,5250319A,2149,206,N,787,POLLING PLACE,234,136,68,
POMONA,5250319A,2149,206,N,,VBM PORTION,44,28,14,
POMONA,5250319A,2149,206,N,787,TOTAL,278,164,82,
BALLOT GROUP 202,9990202A,8202,202,N,,POLLING PLACE,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,VBM PORTION,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,TOTAL,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,POLLING PLACE,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,VBM PORTION,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,TOTAL,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,POLLING PLACE,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,VBM PORTION,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,TOTAL,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,POLLING PLACE,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,VBM PORTION,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,TOTAL,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,POLLING PLACE,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,VBM PORTION,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,TOTAL,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,POLLING PLACE,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,VBM PORTION,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,TOTAL,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,POLLING PLACE,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,VBM PORTION,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,TOTAL,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,POLLING PLACE,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,VBM PORTION,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,TOTAL,,,,
