LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LAURIE LIEBERMAN,DHUN MAY,RALPH MECHUR,OSCAR DE LA TORRE,R TAHVILDARAN-JESSWEIN,CRAIG FOSTER,PATTY FINER,
SANTA MONICA,6250128C,6226,182,Y,83,TOTAL,20,10,2,3,4,4,7,5,
TOPANGA,7100032A,6249,195,Y,255,POLLING PLACE,,,,,,,,,
TOPANGA,7100032A,6249,195,Y,,VBM PORTION,70,30,8,19,17,22,14,7,
TOPANGA,7100032A,6249,195,Y,255,TOTAL,70,30,8,19,17,22,14,7,
TOPANGA,7100033A,2661,195,N,1001,POLLING PLACE,295,101,40,47,86,64,165,41,
TOPANGA,7100033A,2661,195,N,,VBM PORTION,110,40,11,27,37,27,48,16,
TOPANGA,7100033A,2661,195,N,1001,TOTAL,405,141,51,74,123,91,213,57,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,POLLING PLACE,,,,,,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,VBM PORTION,,,,,,,,,
WESTLAKE VILLAGE,7770011B,6264,108,Y,,TOTAL,,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 108,9990108A,8108,108,N,,TOTAL,,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,TOTAL,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,TOTAL,,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 188,9990188A,8188,188,N,,TOTAL,,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 192,9990192A,8192,192,N,,TOTAL,,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 194,9990194A,8194,194,N,,TOTAL,,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,POLLING PLACE,,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,VBM PORTION,,,,,,,,,
BALLOT GROUP 195,9990195A,8195,195,N,,TOTAL,,,,,,,,,
