LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON,
WALNUT,7600033A,2787,238,N,,VBM PORTION,76,45,24,
WALNUT,7600033A,2787,238,N,875,TOTAL,198,114,62,
BALLOT GROUP 237,9990237A,8237,237,N,,POLLING PLACE,,,,
BALLOT GROUP 237,9990237A,8237,237,N,,VBM PORTION,,,,
BALLOT GROUP 237,9990237A,8237,237,N,,TOTAL,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,POLLING PLACE,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,VBM PORTION,,,,
BALLOT GROUP 238,9990238A,8238,238,N,,TOTAL,,,,
BALLOT GROUP 244,9990244A,8244,244,N,,POLLING PLACE,,,,
BALLOT GROUP 244,9990244A,8244,244,N,,VBM PORTION,,,,
BALLOT GROUP 244,9990244A,8244,244,N,,TOTAL,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,POLLING PLACE,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,VBM PORTION,,,,
BALLOT GROUP 263,9990263A,8263,263,N,,TOTAL,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,POLLING PLACE,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,VBM PORTION,,,,
BALLOT GROUP 264,9990264A,8264,264,N,,TOTAL,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,POLLING PLACE,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,VBM PORTION,,,,
BALLOT GROUP 265,9990265A,8265,265,N,,TOTAL,,,,
BALLOT GROUP 266,9990266A,8266,266,N,,POLLING PLACE,,,,
BALLOT GROUP 266,9990266A,8266,266,N,,VBM PORTION,,,,
BALLOT GROUP 266,9990266A,8266,266,N,,TOTAL,,,,
