LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,TONY MENDOZA,
BELLFLOWER,0750034A,231,286,N,871,POLLING PLACE,144,77,62,
BELLFLOWER,0750034A,231,286,N,,VBM PORTION,60,28,29,
BELLFLOWER,0750034A,231,286,N,871,TOTAL,204,105,91,
BELLFLOWER,0750035A,232,286,N,856,POLLING PLACE,128,26,95,
BELLFLOWER,0750035A,232,286,N,,VBM PORTION,71,27,39,
BELLFLOWER,0750035A,232,286,N,856,TOTAL,199,53,134,
BELLFLOWER,0750036A,233,286,N,954,POLLING PLACE,97,28,62,
BELLFLOWER,0750036A,233,286,N,,VBM PORTION,36,19,13,
BELLFLOWER,0750036A,233,286,N,954,TOTAL,133,47,75,
BELLFLOWER,0750037B,234,292,N,548,POLLING PLACE,105,36,60,
BELLFLOWER,0750037B,234,292,N,,VBM PORTION,31,21,7,
BELLFLOWER,0750037B,234,292,N,548,TOTAL,136,57,67,
BELLFLOWER,0750040A,235,285,N,1012,POLLING PLACE,105,19,82,
BELLFLOWER,0750040A,235,285,N,,VBM PORTION,32,14,16,
BELLFLOWER,0750040A,235,285,N,1012,TOTAL,137,33,98,
BELLFLOWER,0750040D,236,286,N,856,POLLING PLACE,127,35,84,
BELLFLOWER,0750040D,236,286,N,,VBM PORTION,26,6,18,
BELLFLOWER,0750040D,236,286,N,856,TOTAL,153,41,102,
BELLFLOWER,0750041A,237,286,N,984,POLLING PLACE,188,82,98,
BELLFLOWER,0750041A,237,286,N,,VBM PORTION,68,31,28,
BELLFLOWER,0750041A,237,286,N,984,TOTAL,256,113,126,
BELLFLOWER,0750042A,238,293,N,1058,POLLING PLACE,217,97,110,
BELLFLOWER,0750042A,238,293,N,,VBM PORTION,36,14,17,
BELLFLOWER,0750042A,238,293,N,1058,TOTAL,253,111,127,
BELLFLOWER,0750043A,239,286,N,729,POLLING PLACE,166,104,58,
BELLFLOWER,0750043A,239,286,N,,VBM PORTION,57,36,15,
BELLFLOWER,0750043A,239,286,N,729,TOTAL,223,140,73,
BELLFLOWER,0750044A,240,292,N,942,POLLING PLACE,172,81,78,
BELLFLOWER,0750044A,240,292,N,,VBM PORTION,42,25,17,
BELLFLOWER,0750044A,240,292,N,942,TOTAL,214,106,95,
BELLFLOWER,0750045A,241,292,N,702,POLLING PLACE,122,50,68,
BELLFLOWER,0750045A,241,292,N,,VBM PORTION,31,12,18,
BELLFLOWER,0750045A,241,292,N,702,TOTAL,153,62,86,
BELLFLOWER,0750048A,242,284,N,999,POLLING PLACE,149,57,85,
BELLFLOWER,0750048A,242,284,N,,VBM PORTION,77,29,39,
BELLFLOWER,0750048A,242,284,N,999,TOTAL,226,86,124,
BELLFLOWER,0750054B,243,284,N,1085,POLLING PLACE,105,22,77,
BELLFLOWER,0750054B,243,284,N,,VBM PORTION,61,19,29,
BELLFLOWER,0750054B,243,284,N,1085,TOTAL,166,41,106,
CERRITOS,1070001A,434,275,N,1006,POLLING PLACE,166,71,81,
CERRITOS,1070001A,434,275,N,,VBM PORTION,128,74,42,
CERRITOS,1070001A,434,275,N,1006,TOTAL,294,145,123,
CERRITOS,1070002A,435,278,N,1059,POLLING PLACE,208,96,99,
CERRITOS,1070002A,435,278,N,,VBM PORTION,111,68,39,
CERRITOS,1070002A,435,278,N,1059,TOTAL,319,164,138,
CERRITOS,1070003A,436,287,N,727,POLLING PLACE,180,86,81,
CERRITOS,1070003A,436,287,N,,VBM PORTION,59,33,20,
CERRITOS,1070003A,436,287,N,727,TOTAL,239,119,101,
CERRITOS,1070004A,437,287,N,593,POLLING PLACE,153,79,67,
CERRITOS,1070004A,437,287,N,,VBM PORTION,65,35,27,
CERRITOS,1070004A,437,287,N,593,TOTAL,218,114,94,
CERRITOS,1070006A,438,275,N,927,POLLING PLACE,178,82,81,
CERRITOS,1070006A,438,275,N,,VBM PORTION,114,56,49,
CERRITOS,1070006A,438,275,N,927,TOTAL,292,138,130,
CERRITOS,1070007A,439,275,N,818,POLLING PLACE,143,54,82,
CERRITOS,1070007A,439,275,N,,VBM PORTION,80,43,31,
CERRITOS,1070007A,439,275,N,818,TOTAL,223,97,113,
CERRITOS,1070008A,440,275,N,779,POLLING PLACE,158,62,85,
CERRITOS,1070008A,440,275,N,,VBM PORTION,103,55,39,
CERRITOS,1070008A,440,275,N,779,TOTAL,261,117,124,
CERRITOS,1070010A,441,275,N,1262,POLLING PLACE,287,130,141,
CERRITOS,1070010A,441,275,N,,VBM PORTION,124,63,49,
CERRITOS,1070010A,441,275,N,1262,TOTAL,411,193,190,
CERRITOS,1070011A,442,275,N,960,POLLING PLACE,174,77,74,
CERRITOS,1070011A,442,275,N,,VBM PORTION,119,40,70,
CERRITOS,1070011A,442,275,N,960,TOTAL,293,117,144,
CERRITOS,1070012A,443,275,N,971,POLLING PLACE,160,66,82,
CERRITOS,1070012A,443,275,N,,VBM PORTION,110,48,55,
CERRITOS,1070012A,443,275,N,971,TOTAL,270,114,137,
CERRITOS,1070013A,444,275,N,837,POLLING PLACE,227,105,101,
CERRITOS,1070013A,444,275,N,,VBM PORTION,68,35,27,
CERRITOS,1070013A,444,275,N,837,TOTAL,295,140,128,
CERRITOS,1070014A,445,275,N,834,POLLING PLACE,166,66,88,
CERRITOS,1070014A,445,275,N,,VBM PORTION,63,35,20,
CERRITOS,1070014A,445,275,N,834,TOTAL,229,101,108,
CERRITOS,1070016D,446,275,N,1203,POLLING PLACE,244,123,99,
CERRITOS,1070016D,446,275,N,,VBM PORTION,138,58,58,
CERRITOS,1070016D,446,275,N,1203,TOTAL,382,181,157,
CERRITOS,1070017A,447,275,N,1252,POLLING PLACE,241,110,100,
CERRITOS,1070017A,447,275,N,,VBM PORTION,180,83,65,
CERRITOS,1070017A,447,275,N,1252,TOTAL,421,193,165,
CERRITOS,1070018A,448,275,N,996,POLLING PLACE,185,79,85,
CERRITOS,1070018A,448,275,N,,VBM PORTION,106,54,39,
CERRITOS,1070018A,448,275,N,996,TOTAL,291,133,124,
CERRITOS,1070020A,449,275,N,1000,POLLING PLACE,215,95,104,
CERRITOS,1070020A,449,275,N,,VBM PORTION,100,63,28,
CERRITOS,1070020A,449,275,N,1000,TOTAL,315,158,132,
CERRITOS,1070021A,450,275,N,716,POLLING PLACE,130,62,59,
CERRITOS,1070021A,450,275,N,,VBM PORTION,82,32,33,
CERRITOS,1070021A,450,275,N,716,TOTAL,212,94,92,
CERRITOS,1070022A,451,275,N,1056,POLLING PLACE,168,76,75,
CERRITOS,1070022A,451,275,N,,VBM PORTION,121,53,53,
CERRITOS,1070022A,451,275,N,1056,TOTAL,289,129,128,
CERRITOS,1070023A,452,275,N,894,POLLING PLACE,167,86,65,
CERRITOS,1070023A,452,275,N,,VBM PORTION,120,67,41,
CERRITOS,1070023A,452,275,N,894,TOTAL,287,153,106,
CERRITOS,1070024A,453,275,N,728,POLLING PLACE,169,81,77,
CERRITOS,1070024A,453,275,N,,VBM PORTION,79,38,29,
CERRITOS,1070024A,453,275,N,728,TOTAL,248,119,106,
CERRITOS,1070025A,454,275,N,846,POLLING PLACE,200,89,93,
CERRITOS,1070025A,454,275,N,,VBM PORTION,87,41,33,
CERRITOS,1070025A,454,275,N,846,TOTAL,287,130,126,
CERRITOS,1070026A,455,275,N,1218,POLLING PLACE,273,124,130,
CERRITOS,1070026A,455,275,N,,VBM PORTION,145,60,54,
CERRITOS,1070026A,455,275,N,1218,TOTAL,418,184,184,
CERRITOS,1070028A,456,275,N,1083,POLLING PLACE,184,87,77,
CERRITOS,1070028A,456,275,N,,VBM PORTION,131,53,65,
CERRITOS,1070028A,456,275,N,1083,TOTAL,315,140,142,
CERRITOS,1070029A,457,275,N,932,POLLING PLACE,182,75,82,
CERRITOS,1070029A,457,275,N,,VBM PORTION,105,55,39,
CERRITOS,1070029A,457,275,N,932,TOTAL,287,130,121,
CERRITOS,1070031A,458,275,N,924,POLLING PLACE,226,119,67,
CERRITOS,1070031A,458,275,N,,VBM PORTION,98,57,30,
CERRITOS,1070031A,458,275,N,924,TOTAL,324,176,97,
CERRITOS,1070032A,459,275,N,935,POLLING PLACE,188,101,77,
CERRITOS,1070032A,459,275,N,,VBM PORTION,87,48,34,
CERRITOS,1070032A,459,275,N,935,TOTAL,275,149,111,
CERRITOS,1070036A,460,276,N,1026,POLLING PLACE,216,111,83,
CERRITOS,1070036A,460,276,N,,VBM PORTION,137,83,43,
CERRITOS,1070036A,460,276,N,1026,TOTAL,353,194,126,
CERRITOS,1070037A,461,275,N,638,POLLING PLACE,134,47,74,
CERRITOS,1070037A,461,275,N,,VBM PORTION,91,53,29,
CERRITOS,1070037A,461,275,N,638,TOTAL,225,100,103,
CERRITOS,1070040A,462,275,N,945,POLLING PLACE,167,69,82,
CERRITOS,1070040A,462,275,N,,VBM PORTION,126,54,41,
CERRITOS,1070040A,462,275,N,945,TOTAL,293,123,123,
CERRITOS,1070041A,463,278,N,1378,POLLING PLACE,287,126,133,
CERRITOS,1070041A,463,278,N,,VBM PORTION,184,93,71,
CERRITOS,1070041A,463,278,N,1378,TOTAL,471,219,204,
CERRITOS,1070048A,464,275,N,1047,POLLING PLACE,156,62,77,
CERRITOS,1070048A,464,275,N,,VBM PORTION,113,49,49,
CERRITOS,1070048A,464,275,N,1047,TOTAL,269,111,126,
CERRITOS,1070048B,6049,271,Y,36,POLLING PLACE,,,,
CERRITOS,1070048B,6049,271,Y,,VBM PORTION,6,3,1,
CERRITOS,1070048B,6049,271,Y,36,TOTAL,6,3,1,
CERRITOS,1070070B,465,273,N,397,POLLING PLACE,72,29,35,
CERRITOS,1070070B,465,273,N,,VBM PORTION,39,22,16,
CERRITOS,1070070B,465,273,N,397,TOTAL,111,51,51,
COMMERCE,1430002A,506,289,N,678,POLLING PLACE,119,21,92,
COMMERCE,1430002A,506,289,N,,VBM PORTION,10,,10,
COMMERCE,1430002A,506,289,N,678,TOTAL,129,21,102,
COMMERCE,1430003A,6056,282,Y,,POLLING PLACE,,,,
COMMERCE,1430003A,6056,282,Y,,VBM PORTION,,,,
COMMERCE,1430003A,6056,282,Y,,TOTAL,,,,
COMMERCE,1430009A,507,289,N,1045,POLLING PLACE,192,44,128,
COMMERCE,1430009A,507,289,N,,VBM PORTION,33,10,20,
COMMERCE,1430009A,507,289,N,1045,TOTAL,225,54,148,
COMMERCE,1430010A,6057,304,Y,1,POLLING PLACE,,,,
COMMERCE,1430010A,6057,304,Y,,VBM PORTION,,,,
COMMERCE,1430010A,6057,304,Y,1,TOTAL,,,,
COMMERCE,1430031A,508,289,N,781,POLLING PLACE,207,50,145,
COMMERCE,1430031A,508,289,N,,VBM PORTION,41,13,25,
COMMERCE,1430031A,508,289,N,781,TOTAL,248,63,170,
COMMERCE,1430033A,509,289,N,1013,POLLING PLACE,173,36,126,
COMMERCE,1430033A,509,289,N,,VBM PORTION,34,15,17,
COMMERCE,1430033A,509,289,N,1013,TOTAL,207,51,143,
COMMERCE,1430034A,510,289,N,608,POLLING PLACE,109,17,85,
COMMERCE,1430034A,510,289,N,,VBM PORTION,28,10,16,
COMMERCE,1430034A,510,289,N,608,TOTAL,137,27,101,
COMMERCE,1430035A,511,289,N,986,POLLING PLACE,145,28,105,
COMMERCE,1430035A,511,289,N,,VBM PORTION,42,12,26,
COMMERCE,1430035A,511,289,N,986,TOTAL,187,40,131,
COMMERCE,1430036A,512,289,N,908,POLLING PLACE,129,35,86,
COMMERCE,1430036A,512,289,N,,VBM PORTION,25,4,17,
COMMERCE,1430036A,512,289,N,908,TOTAL,154,39,103,
DOWNEY,1850001A,664,302,N,1065,POLLING PLACE,177,72,96,
DOWNEY,1850001A,664,302,N,,VBM PORTION,56,28,26,
DOWNEY,1850001A,664,302,N,1065,TOTAL,233,100,122,
DOWNEY,1850002A,665,302,N,405,POLLING PLACE,36,12,23,
DOWNEY,1850002A,665,302,N,,VBM PORTION,10,6,1,
DOWNEY,1850002A,665,302,N,405,TOTAL,46,18,24,
DOWNEY,1850002C,666,302,N,578,POLLING PLACE,91,36,50,
DOWNEY,1850002C,666,302,N,,VBM PORTION,22,12,8,
DOWNEY,1850002C,666,302,N,578,TOTAL,113,48,58,
DOWNEY,1850006B,667,302,N,633,POLLING PLACE,73,22,45,
DOWNEY,1850006B,667,302,N,,VBM PORTION,15,5,9,
DOWNEY,1850006B,667,302,N,633,TOTAL,88,27,54,
DOWNEY,1850008A,668,299,N,925,POLLING PLACE,177,88,87,
DOWNEY,1850008A,668,299,N,,VBM PORTION,60,44,13,
DOWNEY,1850008A,668,299,N,925,TOTAL,237,132,100,
DOWNEY,1850009A,669,293,N,1013,POLLING PLACE,183,77,99,
DOWNEY,1850009A,669,293,N,,VBM PORTION,78,37,37,
DOWNEY,1850009A,669,293,N,1013,TOTAL,261,114,136,
DOWNEY,1850010A,670,293,N,589,POLLING PLACE,95,47,43,
DOWNEY,1850010A,670,293,N,,VBM PORTION,30,10,19,
DOWNEY,1850010A,670,293,N,589,TOTAL,125,57,62,
DOWNEY,1850011A,671,303,N,614,POLLING PLACE,88,37,46,
DOWNEY,1850011A,671,303,N,,VBM PORTION,25,12,11,
DOWNEY,1850011A,671,303,N,614,TOTAL,113,49,57,
DOWNEY,1850011B,672,302,N,593,POLLING PLACE,68,32,35,
DOWNEY,1850011B,672,302,N,,VBM PORTION,23,12,10,
DOWNEY,1850011B,672,302,N,593,TOTAL,91,44,45,
DOWNEY,1850012A,673,293,N,727,POLLING PLACE,130,49,75,
DOWNEY,1850012A,673,293,N,,VBM PORTION,30,14,14,
DOWNEY,1850012A,673,293,N,727,TOTAL,160,63,89,
DOWNEY,1850013A,674,293,N,961,POLLING PLACE,216,63,139,
DOWNEY,1850013A,674,293,N,,VBM PORTION,33,12,19,
DOWNEY,1850013A,674,293,N,961,TOTAL,249,75,158,
DOWNEY,1850015A,675,293,N,1044,POLLING PLACE,202,74,122,
DOWNEY,1850015A,675,293,N,,VBM PORTION,37,18,16,
DOWNEY,1850015A,675,293,N,1044,TOTAL,239,92,138,
DOWNEY,1850016A,676,296,N,1096,POLLING PLACE,315,184,111,
DOWNEY,1850016A,676,296,N,,VBM PORTION,52,32,14,
DOWNEY,1850016A,676,296,N,1096,TOTAL,367,216,125,
DOWNEY,1850017A,677,302,N,1204,POLLING PLACE,203,107,90,
DOWNEY,1850017A,677,302,N,,VBM PORTION,56,32,22,
DOWNEY,1850017A,677,302,N,1204,TOTAL,259,139,112,
DOWNEY,1850019A,678,302,N,712,POLLING PLACE,130,57,67,
DOWNEY,1850019A,678,302,N,,VBM PORTION,37,25,9,
DOWNEY,1850019A,678,302,N,712,TOTAL,167,82,76,
DOWNEY,1850021A,679,295,N,605,POLLING PLACE,84,33,46,
DOWNEY,1850021A,679,295,N,,VBM PORTION,42,24,15,
DOWNEY,1850021A,679,295,N,605,TOTAL,126,57,61,
DOWNEY,1850023A,680,296,N,1124,POLLING PLACE,176,73,93,
DOWNEY,1850023A,680,296,N,,VBM PORTION,56,28,26,
DOWNEY,1850023A,680,296,N,1124,TOTAL,232,101,119,
DOWNEY,1850024A,681,295,N,933,POLLING PLACE,196,89,106,
DOWNEY,1850024A,681,295,N,,VBM PORTION,69,39,26,
DOWNEY,1850024A,681,295,N,933,TOTAL,265,128,132,
DOWNEY,1850025A,682,296,N,800,POLLING PLACE,173,73,91,
DOWNEY,1850025A,682,296,N,,VBM PORTION,61,31,28,
DOWNEY,1850025A,682,296,N,800,TOTAL,234,104,119,
DOWNEY,1850027A,683,294,N,923,POLLING PLACE,125,46,77,
DOWNEY,1850027A,683,294,N,,VBM PORTION,34,9,24,
DOWNEY,1850027A,683,294,N,923,TOTAL,159,55,101,
DOWNEY,1850027B,684,290,N,475,POLLING PLACE,104,46,52,
DOWNEY,1850027B,684,290,N,,VBM PORTION,35,21,13,
DOWNEY,1850027B,684,290,N,475,TOTAL,139,67,65,
DOWNEY,1850028A,685,296,N,1140,POLLING PLACE,213,112,92,
DOWNEY,1850028A,685,296,N,,VBM PORTION,77,45,26,
DOWNEY,1850028A,685,296,N,1140,TOTAL,290,157,118,
DOWNEY,1850029B,686,291,N,731,POLLING PLACE,156,103,48,
DOWNEY,1850029B,686,291,N,,VBM PORTION,59,26,27,
DOWNEY,1850029B,686,291,N,731,TOTAL,215,129,75,
DOWNEY,1850030A,687,296,N,1182,POLLING PLACE,255,147,100,
DOWNEY,1850030A,687,296,N,,VBM PORTION,68,44,21,
DOWNEY,1850030A,687,296,N,1182,TOTAL,323,191,121,
DOWNEY,1850031A,688,295,N,742,POLLING PLACE,114,55,55,
DOWNEY,1850031A,688,295,N,,VBM PORTION,43,20,21,
DOWNEY,1850031A,688,295,N,742,TOTAL,157,75,76,
DOWNEY,1850032A,689,290,N,506,POLLING PLACE,92,31,58,
DOWNEY,1850032A,689,290,N,,VBM PORTION,44,32,11,
DOWNEY,1850032A,689,290,N,506,TOTAL,136,63,69,
DOWNEY,1850033A,690,296,N,925,POLLING PLACE,188,94,89,
DOWNEY,1850033A,690,296,N,,VBM PORTION,55,32,13,
DOWNEY,1850033A,690,296,N,925,TOTAL,243,126,102,
DOWNEY,1850034B,691,302,N,758,POLLING PLACE,116,48,63,
DOWNEY,1850034B,691,302,N,,VBM PORTION,37,18,17,
DOWNEY,1850034B,691,302,N,758,TOTAL,153,66,80,
DOWNEY,1850038A,692,296,N,1006,POLLING PLACE,187,97,84,
DOWNEY,1850038A,692,296,N,,VBM PORTION,63,39,21,
DOWNEY,1850038A,692,296,N,1006,TOTAL,250,136,105,
DOWNEY,1850040A,693,295,N,850,POLLING PLACE,175,96,73,
DOWNEY,1850040A,693,295,N,,VBM PORTION,45,29,12,
DOWNEY,1850040A,693,295,N,850,TOTAL,220,125,85,
DOWNEY,1850041A,694,303,N,1160,POLLING PLACE,232,107,115,
DOWNEY,1850041A,694,303,N,,VBM PORTION,55,24,25,
DOWNEY,1850041A,694,303,N,1160,TOTAL,287,131,140,
DOWNEY,1850043A,695,303,N,904,POLLING PLACE,175,84,86,
DOWNEY,1850043A,695,303,N,,VBM PORTION,71,31,31,
DOWNEY,1850043A,695,303,N,904,TOTAL,246,115,117,
DOWNEY,1850045A,696,303,N,529,POLLING PLACE,130,69,58,
DOWNEY,1850045A,696,303,N,,VBM PORTION,37,22,15,
DOWNEY,1850045A,696,303,N,529,TOTAL,167,91,73,
DOWNEY,1850046A,697,303,N,597,POLLING PLACE,124,55,61,
DOWNEY,1850046A,697,303,N,,VBM PORTION,36,16,17,
DOWNEY,1850046A,697,303,N,597,TOTAL,160,71,78,
DOWNEY,1850047A,698,303,N,903,POLLING PLACE,249,103,120,
DOWNEY,1850047A,698,303,N,,VBM PORTION,68,29,32,
DOWNEY,1850047A,698,303,N,903,TOTAL,317,132,152,
DOWNEY,1850048A,6066,304,Y,68,POLLING PLACE,,,,
DOWNEY,1850048A,6066,304,Y,,VBM PORTION,9,5,4,
DOWNEY,1850048A,6066,304,Y,68,TOTAL,9,5,4,
DOWNEY,1850050A,699,303,N,862,POLLING PLACE,215,98,95,
DOWNEY,1850050A,699,303,N,,VBM PORTION,51,27,23,
DOWNEY,1850050A,699,303,N,862,TOTAL,266,125,118,
DOWNEY,1850051B,700,303,N,816,POLLING PLACE,184,94,82,
DOWNEY,1850051B,700,303,N,,VBM PORTION,78,45,26,
DOWNEY,1850051B,700,303,N,816,TOTAL,262,139,108,
DOWNEY,1850055A,701,303,N,733,POLLING PLACE,177,110,61,
DOWNEY,1850055A,701,303,N,,VBM PORTION,58,35,19,
DOWNEY,1850055A,701,303,N,733,TOTAL,235,145,80,
DOWNEY,1850056C,702,303,N,1112,POLLING PLACE,162,76,79,
DOWNEY,1850056C,702,303,N,,VBM PORTION,41,22,19,
DOWNEY,1850056C,702,303,N,1112,TOTAL,203,98,98,
DOWNEY,1850057A,703,298,N,715,POLLING PLACE,78,30,43,
DOWNEY,1850057A,703,298,N,,VBM PORTION,25,13,12,
DOWNEY,1850057A,703,298,N,715,TOTAL,103,43,55,
DOWNEY,1850058A,704,303,N,772,POLLING PLACE,106,39,64,
DOWNEY,1850058A,704,303,N,,VBM PORTION,25,10,11,
DOWNEY,1850058A,704,303,N,772,TOTAL,131,49,75,
DOWNEY,1850059A,705,303,N,411,POLLING PLACE,92,48,41,
DOWNEY,1850059A,705,303,N,,VBM PORTION,11,7,2,
DOWNEY,1850059A,705,303,N,411,TOTAL,103,55,43,
DOWNEY,1850062A,706,303,N,985,POLLING PLACE,240,120,106,
DOWNEY,1850062A,706,303,N,,VBM PORTION,80,47,24,
DOWNEY,1850062A,706,303,N,985,TOTAL,320,167,130,
DOWNEY,1850063A,707,303,N,767,POLLING PLACE,120,48,71,
DOWNEY,1850063A,707,303,N,,VBM PORTION,45,17,22,
DOWNEY,1850063A,707,303,N,767,TOTAL,165,65,93,
