LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CONNIE M LEYVA,MATTHEW MUNSON,
POMONA,5250077A,2136,204,N,1068,TOTAL,218,153,53,
POMONA,5250079A,2137,207,N,975,POLLING PLACE,154,99,44,
POMONA,5250079A,2137,207,N,,VBM PORTION,37,24,11,
POMONA,5250079A,2137,207,N,975,TOTAL,191,123,55,
POMONA,5250087C,2138,207,N,831,POLLING PLACE,147,93,38,
POMONA,5250087C,2138,207,N,,VBM PORTION,48,31,14,
POMONA,5250087C,2138,207,N,831,TOTAL,195,124,52,
POMONA,5250090E,6191,207,Y,37,POLLING PLACE,,,,
POMONA,5250090E,6191,207,Y,,VBM PORTION,,,,
POMONA,5250090E,6191,207,Y,37,TOTAL,,,,
POMONA,5250096A,2139,204,N,1126,POLLING PLACE,136,98,29,
POMONA,5250096A,2139,204,N,,VBM PORTION,44,26,10,
POMONA,5250096A,2139,204,N,1126,TOTAL,180,124,39,
POMONA,5250142A,2140,206,N,786,POLLING PLACE,204,112,81,
POMONA,5250142A,2140,206,N,,VBM PORTION,42,24,16,
POMONA,5250142A,2140,206,N,786,TOTAL,246,136,97,
POMONA,5250143A,2141,206,N,812,POLLING PLACE,211,106,85,
POMONA,5250143A,2141,206,N,,VBM PORTION,61,33,27,
POMONA,5250143A,2141,206,N,812,TOTAL,272,139,112,
POMONA,5250145A,2142,206,N,1213,POLLING PLACE,214,108,84,
POMONA,5250145A,2142,206,N,,VBM PORTION,99,49,44,
POMONA,5250145A,2142,206,N,1213,TOTAL,313,157,128,
POMONA,5250147A,2143,206,N,721,POLLING PLACE,165,90,65,
POMONA,5250147A,2143,206,N,,VBM PORTION,62,22,39,
POMONA,5250147A,2143,206,N,721,TOTAL,227,112,104,
POMONA,5250148A,2144,209,N,644,POLLING PLACE,89,52,32,
POMONA,5250148A,2144,209,N,,VBM PORTION,67,35,24,
POMONA,5250148A,2144,209,N,644,TOTAL,156,87,56,
POMONA,5250150A,2145,206,N,790,POLLING PLACE,119,57,53,
POMONA,5250150A,2145,206,N,,VBM PORTION,79,32,43,
POMONA,5250150A,2145,206,N,790,TOTAL,198,89,96,
POMONA,5250151A,2146,206,N,828,POLLING PLACE,175,71,84,
POMONA,5250151A,2146,206,N,,VBM PORTION,58,20,32,
POMONA,5250151A,2146,206,N,828,TOTAL,233,91,116,
POMONA,5250314A,2147,207,N,1234,POLLING PLACE,171,124,40,
POMONA,5250314A,2147,207,N,,VBM PORTION,48,33,11,
POMONA,5250314A,2147,207,N,1234,TOTAL,219,157,51,
POMONA,5250318A,2148,206,N,981,POLLING PLACE,202,111,66,
POMONA,5250318A,2148,206,N,,VBM PORTION,65,38,27,
POMONA,5250318A,2148,206,N,981,TOTAL,267,149,93,
POMONA,5250319A,2149,206,N,787,POLLING PLACE,234,135,76,
POMONA,5250319A,2149,206,N,,VBM PORTION,44,28,14,
POMONA,5250319A,2149,206,N,787,TOTAL,278,163,90,
BALLOT GROUP 202,9990202A,8202,202,N,,POLLING PLACE,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,VBM PORTION,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,TOTAL,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,POLLING PLACE,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,VBM PORTION,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,TOTAL,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,POLLING PLACE,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,VBM PORTION,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,TOTAL,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,POLLING PLACE,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,VBM PORTION,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,TOTAL,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,POLLING PLACE,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,VBM PORTION,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,TOTAL,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,POLLING PLACE,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,VBM PORTION,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,TOTAL,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,POLLING PLACE,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,VBM PORTION,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,TOTAL,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,POLLING PLACE,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,VBM PORTION,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,TOTAL,,,,
