LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT HOUSTON,STEPHEN MURRAY,JEFF EBENSTEIN,
CULVER CITY,1600042A,609,233,N,768,TOTAL,391,136,38,126,
CULVER CITY,1600045A,610,233,N,962,POLLING PLACE,225,103,26,49,
CULVER CITY,1600045A,610,233,N,,VBM PORTION,97,19,17,27,
CULVER CITY,1600045A,610,233,N,962,TOTAL,322,122,43,76,
CULVER CITY,1600055A,611,233,N,1079,POLLING PLACE,302,113,43,64,
CULVER CITY,1600055A,611,233,N,,VBM PORTION,87,26,12,22,
CULVER CITY,1600055A,611,233,N,1079,TOTAL,389,139,55,86,
CULVER CITY,1600073A,612,233,N,1197,POLLING PLACE,248,98,41,71,
CULVER CITY,1600073A,612,233,N,,VBM PORTION,74,20,11,19,
CULVER CITY,1600073A,612,233,N,1197,TOTAL,322,118,52,90,
CULVER CITY,1600074B,613,233,N,1091,POLLING PLACE,282,107,41,83,
CULVER CITY,1600074B,613,233,N,,VBM PORTION,117,32,16,46,
CULVER CITY,1600074B,613,233,N,1091,TOTAL,399,139,57,129,
CULVER CITY,1600076A,614,233,N,1125,POLLING PLACE,268,114,23,73,
CULVER CITY,1600076A,614,233,N,,VBM PORTION,82,17,13,36,
CULVER CITY,1600076A,614,233,N,1125,TOTAL,350,131,36,109,
DEL AIRE,1680001A,615,338,N,825,POLLING PLACE,175,84,31,21,
DEL AIRE,1680001A,615,338,N,,VBM PORTION,54,25,14,7,
DEL AIRE,1680001A,615,338,N,825,TOTAL,229,109,45,28,
DEL AIRE,1680002B,616,338,N,956,POLLING PLACE,263,127,41,33,
DEL AIRE,1680002B,616,338,N,,VBM PORTION,71,17,16,17,
DEL AIRE,1680002B,616,338,N,956,TOTAL,334,144,57,50,
DEL AIRE,1680003A,617,338,N,861,POLLING PLACE,205,98,33,45,
DEL AIRE,1680003A,617,338,N,,VBM PORTION,70,26,4,28,
DEL AIRE,1680003A,617,338,N,861,TOTAL,275,124,37,73,
DEL AIRE,1680004A,618,338,N,765,POLLING PLACE,164,64,30,35,
DEL AIRE,1680004A,618,338,N,,VBM PORTION,60,16,6,15,
DEL AIRE,1680004A,618,338,N,765,TOTAL,224,80,36,50,
DEL AIRE,1680005A,619,338,N,410,POLLING PLACE,80,27,17,23,
DEL AIRE,1680005A,619,338,N,,VBM PORTION,19,4,3,3,
DEL AIRE,1680005A,619,338,N,410,TOTAL,99,31,20,26,
DEL AIRE,1680006C,620,338,N,642,POLLING PLACE,111,49,16,19,
DEL AIRE,1680006C,620,338,N,,VBM PORTION,46,18,9,14,
DEL AIRE,1680006C,620,338,N,642,TOTAL,157,67,25,33,
DEL AIRE,1680007A,621,338,N,985,POLLING PLACE,206,85,33,55,
DEL AIRE,1680007A,621,338,N,,VBM PORTION,48,15,8,12,
DEL AIRE,1680007A,621,338,N,985,TOTAL,254,100,41,67,
EL SEGUNDO,2250001A,840,323,N,820,POLLING PLACE,183,77,41,30,
EL SEGUNDO,2250001A,840,323,N,,VBM PORTION,86,34,18,24,
EL SEGUNDO,2250001A,840,323,N,820,TOTAL,269,111,59,54,
EL SEGUNDO,2250002A,841,323,N,900,POLLING PLACE,209,73,49,47,
EL SEGUNDO,2250002A,841,323,N,,VBM PORTION,97,41,21,14,
EL SEGUNDO,2250002A,841,323,N,900,TOTAL,306,114,70,61,
EL SEGUNDO,2250003A,842,323,N,954,POLLING PLACE,231,99,58,38,
EL SEGUNDO,2250003A,842,323,N,,VBM PORTION,128,57,27,21,
EL SEGUNDO,2250003A,842,323,N,954,TOTAL,359,156,85,59,
EL SEGUNDO,2250004A,843,323,N,927,POLLING PLACE,177,66,59,19,
EL SEGUNDO,2250004A,843,323,N,,VBM PORTION,113,46,26,22,
EL SEGUNDO,2250004A,843,323,N,927,TOTAL,290,112,85,41,
EL SEGUNDO,2250006A,844,323,N,1234,POLLING PLACE,285,121,66,46,
EL SEGUNDO,2250006A,844,323,N,,VBM PORTION,121,52,20,19,
EL SEGUNDO,2250006A,844,323,N,1234,TOTAL,406,173,86,65,
EL SEGUNDO,2250007A,845,323,N,967,POLLING PLACE,216,85,47,37,
EL SEGUNDO,2250007A,845,323,N,,VBM PORTION,99,41,18,17,
EL SEGUNDO,2250007A,845,323,N,967,TOTAL,315,126,65,54,
EL SEGUNDO,2250009A,846,323,N,977,POLLING PLACE,289,96,74,64,
EL SEGUNDO,2250009A,846,323,N,,VBM PORTION,130,45,31,31,
EL SEGUNDO,2250009A,846,323,N,977,TOTAL,419,141,105,95,
EL SEGUNDO,2250012A,847,323,N,1188,POLLING PLACE,244,97,63,44,
EL SEGUNDO,2250012A,847,323,N,,VBM PORTION,98,33,29,11,
EL SEGUNDO,2250012A,847,323,N,1188,TOTAL,342,130,92,55,
EL SEGUNDO,2250017A,848,323,N,941,POLLING PLACE,215,74,60,28,
EL SEGUNDO,2250017A,848,323,N,,VBM PORTION,98,39,24,18,
EL SEGUNDO,2250017A,848,323,N,941,TOTAL,313,113,84,46,
EL SEGUNDO,2250020A,849,323,N,840,POLLING PLACE,242,103,71,35,
EL SEGUNDO,2250020A,849,323,N,,VBM PORTION,103,40,25,11,
EL SEGUNDO,2250020A,849,323,N,840,TOTAL,345,143,96,46,
EL SEGUNDO,2250030A,850,323,N,910,POLLING PLACE,213,80,63,35,
EL SEGUNDO,2250030A,850,323,N,,VBM PORTION,80,31,20,12,
EL SEGUNDO,2250030A,850,323,N,910,TOTAL,293,111,83,47,
FRANKLIN,2400001A,6085,184,Y,2,POLLING PLACE,,,,,
FRANKLIN,2400001A,6085,184,Y,,VBM PORTION,,,,,
FRANKLIN,2400001A,6085,184,Y,2,TOTAL,,,,,
HAWTHORNE,2700011A,6096,338,Y,271,POLLING PLACE,,,,,
HAWTHORNE,2700011A,6096,338,Y,,VBM PORTION,76,15,25,13,
HAWTHORNE,2700011A,6096,338,Y,271,TOTAL,76,15,25,13,
LADERA HEIGHTS,3430001A,1264,231,N,1296,POLLING PLACE,425,113,60,147,
LADERA HEIGHTS,3430001A,1264,231,N,,VBM PORTION,115,32,14,38,
LADERA HEIGHTS,3430001A,1264,231,N,1296,TOTAL,540,145,74,185,
LADERA HEIGHTS,3430003C,6121,233,Y,308,POLLING PLACE,,,,,
LADERA HEIGHTS,3430003C,6121,233,Y,,VBM PORTION,43,13,5,13,
LADERA HEIGHTS,3430003C,6121,233,Y,308,TOTAL,43,13,5,13,
LADERA HEIGHTS,3430018C,1267,231,N,614,POLLING PLACE,110,33,23,32,
LADERA HEIGHTS,3430018C,1267,231,N,,VBM PORTION,35,7,3,13,
LADERA HEIGHTS,3430018C,1267,231,N,614,TOTAL,145,40,26,45,
LENNOX,3670001A,1393,338,N,396,POLLING PLACE,72,23,11,23,
LENNOX,3670001A,1393,338,N,,VBM PORTION,8,,,6,
LENNOX,3670001A,1393,338,N,396,TOTAL,80,23,11,29,
LENNOX,3670032A,1398,338,N,932,POLLING PLACE,125,42,23,36,
LENNOX,3670032A,1398,338,N,,VBM PORTION,17,4,2,7,
LENNOX,3670032A,1398,338,N,932,TOTAL,142,46,25,43,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,69,36,41,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,21,11,14,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,90,47,55,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,63,31,39,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,20,12,25,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,83,43,64,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,57,20,21,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,14,24,18,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,71,44,39,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,45,44,44,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,20,18,10,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,65,62,54,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,97,79,70,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,29,33,19,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,126,112,89,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,69,65,40,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,22,19,20,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,91,84,60,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,37,23,22,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,19,15,8,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,56,38,30,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,76,40,65,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,29,27,15,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,105,67,80,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,50,42,52,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,28,23,24,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,78,65,76,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,72,43,52,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,33,26,28,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,105,69,80,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,,6,1,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,,6,1,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,13,11,12,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,,5,,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,13,16,12,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,,
MARINA DEL REY,4150041A,1739,323,N,508,POLLING PLACE,76,24,15,10,
MARINA DEL REY,4150041A,1739,323,N,,VBM PORTION,38,9,7,9,
MARINA DEL REY,4150041A,1739,323,N,508,TOTAL,114,33,22,19,
MARINA DEL REY,4150045A,1740,323,N,1206,POLLING PLACE,246,87,39,31,
MARINA DEL REY,4150045A,1740,323,N,,VBM PORTION,102,20,20,19,
MARINA DEL REY,4150045A,1740,323,N,1206,TOTAL,348,107,59,50,
MARINA DEL REY,4150048A,1741,323,N,899,POLLING PLACE,142,56,28,17,
MARINA DEL REY,4150048A,1741,323,N,,VBM PORTION,52,18,9,9,
MARINA DEL REY,4150048A,1741,323,N,899,TOTAL,194,74,37,26,
MARINA DEL REY,4150050A,1742,323,N,723,POLLING PLACE,144,41,22,29,
MARINA DEL REY,4150050A,1742,323,N,,VBM PORTION,48,13,6,9,
MARINA DEL REY,4150050A,1742,323,N,723,TOTAL,192,54,28,38,
MARINA DEL REY,4150051A,1743,323,N,427,POLLING PLACE,36,13,12,7,
MARINA DEL REY,4150051A,1743,323,N,,VBM PORTION,34,12,7,12,
MARINA DEL REY,4150051A,1743,323,N,427,TOTAL,70,25,19,19,
MARINA DEL REY,4150053A,1744,323,N,1237,POLLING PLACE,298,101,58,72,
MARINA DEL REY,4150053A,1744,323,N,,VBM PORTION,110,27,33,16,
MARINA DEL REY,4150053A,1744,323,N,1237,TOTAL,408,128,91,88,
TOPANGA,7100001A,2655,196,N,988,POLLING PLACE,253,95,61,43,
TOPANGA,7100001A,2655,196,N,,VBM PORTION,107,32,23,22,
TOPANGA,7100001A,2655,196,N,988,TOTAL,360,127,84,65,
TOPANGA,7100002A,2656,196,N,966,POLLING PLACE,297,91,38,75,
TOPANGA,7100002A,2656,196,N,,VBM PORTION,47,12,14,9,
TOPANGA,7100002A,2656,196,N,966,TOTAL,344,103,52,84,
TOPANGA,7100004B,2657,196,N,778,POLLING PLACE,254,96,35,62,
TOPANGA,7100004B,2657,196,N,,VBM PORTION,49,15,6,15,
TOPANGA,7100004B,2657,196,N,778,TOTAL,303,111,41,77,
TOPANGA,7100006A,2658,196,N,650,POLLING PLACE,215,75,21,59,
TOPANGA,7100006A,2658,196,N,,VBM PORTION,45,11,7,13,
TOPANGA,7100006A,2658,196,N,650,TOTAL,260,86,28,72,
TOPANGA,7100030A,2660,196,N,777,POLLING PLACE,259,88,26,65,
TOPANGA,7100030A,2660,196,N,,VBM PORTION,48,18,8,15,
TOPANGA,7100030A,2660,196,N,777,TOTAL,307,106,34,80,
TOPANGA,7100032A,6249,195,Y,255,POLLING PLACE,,,,,
TOPANGA,7100032A,6249,195,Y,,VBM PORTION,70,20,8,14,
TOPANGA,7100032A,6249,195,Y,255,TOTAL,70,20,8,14,
TOPANGA,7100033A,2661,195,N,1001,POLLING PLACE,295,71,52,68,
TOPANGA,7100033A,2661,195,N,,VBM PORTION,110,25,22,21,
TOPANGA,7100033A,2661,195,N,1001,TOTAL,405,96,74,89,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,171,POLLING PLACE,,,,,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,,VBM PORTION,23,7,3,5,
VETERANS ADMIN CENTER,7470001A,6258,221,Y,171,TOTAL,23,7,3,5,
VIEW PARK,7510001A,2763,231,N,1193,POLLING PLACE,339,98,41,113,
VIEW PARK,7510001A,2763,231,N,,VBM PORTION,88,21,9,29,
VIEW PARK,7510001A,2763,231,N,1193,TOTAL,427,119,50,142,
VIEW PARK,7510003C,2764,231,N,1312,POLLING PLACE,364,123,51,103,
VIEW PARK,7510003C,2764,231,N,,VBM PORTION,103,32,9,33,
VIEW PARK,7510003C,2764,231,N,1312,TOTAL,467,155,60,136,
VIEW PARK,7510004A,2765,231,N,728,POLLING PLACE,178,52,28,53,
VIEW PARK,7510004A,2765,231,N,,VBM PORTION,37,7,6,12,
VIEW PARK,7510004A,2765,231,N,728,TOTAL,215,59,34,65,
VIEW PARK,7510006A,2766,231,N,1231,POLLING PLACE,313,104,50,76,
VIEW PARK,7510006A,2766,231,N,,VBM PORTION,74,18,8,27,
VIEW PARK,7510006A,2766,231,N,1231,TOTAL,387,122,58,103,
VIEW PARK,7510008A,2767,231,N,1032,POLLING PLACE,285,92,44,87,
VIEW PARK,7510008A,2767,231,N,,VBM PORTION,93,26,10,25,
VIEW PARK,7510008A,2767,231,N,1032,TOTAL,378,118,54,112,
VIEW PARK,7510009B,2768,231,N,1227,POLLING PLACE,343,114,59,98,
VIEW PARK,7510009B,2768,231,N,,VBM PORTION,87,28,3,31,
VIEW PARK,7510009B,2768,231,N,1227,TOTAL,430,142,62,129,
VIEW PARK,7510010A,2769,231,N,940,POLLING PLACE,250,86,38,76,
VIEW PARK,7510010A,2769,231,N,,VBM PORTION,104,22,7,48,
VIEW PARK,7510010A,2769,231,N,940,TOTAL,354,108,45,124,
VIEW PARK,7510012A,2770,231,N,997,POLLING PLACE,340,83,53,121,
VIEW PARK,7510012A,2770,231,N,,VBM PORTION,74,19,5,24,
VIEW PARK,7510012A,2770,231,N,997,TOTAL,414,102,58,145,
WEST HOLLYWOOD,7750001A,2889,180,N,982,POLLING PLACE,191,72,25,50,
WEST HOLLYWOOD,7750001A,2889,180,N,,VBM PORTION,54,14,8,14,
WEST HOLLYWOOD,7750001A,2889,180,N,982,TOTAL,245,86,33,64,
WEST HOLLYWOOD,7750002A,2890,180,N,1218,POLLING PLACE,201,81,29,38,
WEST HOLLYWOOD,7750002A,2890,180,N,,VBM PORTION,117,35,13,25,
WEST HOLLYWOOD,7750002A,2890,180,N,1218,TOTAL,318,116,42,63,
WEST HOLLYWOOD,7750003A,2891,180,N,977,POLLING PLACE,186,78,24,56,
WEST HOLLYWOOD,7750003A,2891,180,N,,VBM PORTION,57,16,10,22,
WEST HOLLYWOOD,7750003A,2891,180,N,977,TOTAL,243,94,34,78,
WEST HOLLYWOOD,7750004A,2892,180,N,1146,POLLING PLACE,237,107,17,52,
WEST HOLLYWOOD,7750004A,2892,180,N,,VBM PORTION,112,37,10,36,
WEST HOLLYWOOD,7750004A,2892,180,N,1146,TOTAL,349,144,27,88,
WEST HOLLYWOOD,7750005A,2893,180,N,1163,POLLING PLACE,238,101,30,53,
WEST HOLLYWOOD,7750005A,2893,180,N,,VBM PORTION,107,29,13,31,
WEST HOLLYWOOD,7750005A,2893,180,N,1163,TOTAL,345,130,43,84,
WEST HOLLYWOOD,7750006A,2894,180,N,767,POLLING PLACE,174,57,22,38,
WEST HOLLYWOOD,7750006A,2894,180,N,,VBM PORTION,61,15,3,25,
WEST HOLLYWOOD,7750006A,2894,180,N,767,TOTAL,235,72,25,63,
WEST HOLLYWOOD,7750007A,2895,180,N,1278,POLLING PLACE,250,90,25,64,
WEST HOLLYWOOD,7750007A,2895,180,N,,VBM PORTION,124,27,18,37,
WEST HOLLYWOOD,7750007A,2895,180,N,1278,TOTAL,374,117,43,101,
WEST HOLLYWOOD,7750008A,2896,180,N,911,POLLING PLACE,209,74,24,50,
WEST HOLLYWOOD,7750008A,2896,180,N,,VBM PORTION,88,23,8,25,
WEST HOLLYWOOD,7750008A,2896,180,N,911,TOTAL,297,97,32,75,
WEST HOLLYWOOD,7750016A,2897,180,N,1128,POLLING PLACE,223,92,19,56,
WEST HOLLYWOOD,7750016A,2897,180,N,,VBM PORTION,96,29,11,28,
WEST HOLLYWOOD,7750016A,2897,180,N,1128,TOTAL,319,121,30,84,
WEST HOLLYWOOD,7750017A,2898,180,N,1058,POLLING PLACE,273,97,20,70,
WEST HOLLYWOOD,7750017A,2898,180,N,,VBM PORTION,72,17,8,20,
WEST HOLLYWOOD,7750017A,2898,180,N,1058,TOTAL,345,114,28,90,
WEST HOLLYWOOD,7750021A,2899,180,N,1225,POLLING PLACE,282,106,34,53,
WEST HOLLYWOOD,7750021A,2899,180,N,,VBM PORTION,110,32,13,35,
WEST HOLLYWOOD,7750021A,2899,180,N,1225,TOTAL,392,138,47,88,
WEST HOLLYWOOD,7750023A,2900,180,N,1084,POLLING PLACE,253,110,21,48,
WEST HOLLYWOOD,7750023A,2900,180,N,,VBM PORTION,63,18,9,25,
WEST HOLLYWOOD,7750023A,2900,180,N,1084,TOTAL,316,128,30,73,
WEST HOLLYWOOD,7750024A,2901,180,N,1034,POLLING PLACE,167,73,24,27,
WEST HOLLYWOOD,7750024A,2901,180,N,,VBM PORTION,74,23,7,21,
WEST HOLLYWOOD,7750024A,2901,180,N,1034,TOTAL,241,96,31,48,
WEST HOLLYWOOD,7750026B,2902,180,N,929,POLLING PLACE,178,80,17,42,
WEST HOLLYWOOD,7750026B,2902,180,N,,VBM PORTION,61,13,4,27,
WEST HOLLYWOOD,7750026B,2902,180,N,929,TOTAL,239,93,21,69,
WEST HOLLYWOOD,7750030A,2903,180,N,873,POLLING PLACE,185,72,22,44,
WEST HOLLYWOOD,7750030A,2903,180,N,,VBM PORTION,53,11,7,20,
WEST HOLLYWOOD,7750030A,2903,180,N,873,TOTAL,238,83,29,64,
WEST HOLLYWOOD,7750036B,2904,180,N,817,POLLING PLACE,130,43,7,43,
WEST HOLLYWOOD,7750036B,2904,180,N,,VBM PORTION,39,17,3,13,
WEST HOLLYWOOD,7750036B,2904,180,N,817,TOTAL,169,60,10,56,
WEST HOLLYWOOD,7750043A,2905,180,N,1009,POLLING PLACE,173,71,18,47,
WEST HOLLYWOOD,7750043A,2905,180,N,,VBM PORTION,69,14,11,24,
WEST HOLLYWOOD,7750043A,2905,180,N,1009,TOTAL,242,85,29,71,
WEST HOLLYWOOD,7750051A,2906,180,N,860,POLLING PLACE,215,82,31,42,
WEST HOLLYWOOD,7750051A,2906,180,N,,VBM PORTION,85,29,8,18,
WEST HOLLYWOOD,7750051A,2906,180,N,860,TOTAL,300,111,39,60,
WEST HOLLYWOOD,7750070A,2907,180,N,1117,POLLING PLACE,238,100,30,59,
WEST HOLLYWOOD,7750070A,2907,180,N,,VBM PORTION,109,42,11,25,
WEST HOLLYWOOD,7750070A,2907,180,N,1117,TOTAL,347,142,41,84,
WEST HOLLYWOOD,7750072A,2908,180,N,786,POLLING PLACE,187,79,23,35,
WEST HOLLYWOOD,7750072A,2908,180,N,,VBM PORTION,72,30,9,14,
WEST HOLLYWOOD,7750072A,2908,180,N,786,TOTAL,259,109,32,49,
WEST HOLLYWOOD,7750077A,2909,180,N,796,POLLING PLACE,167,58,17,41,
WEST HOLLYWOOD,7750077A,2909,180,N,,VBM PORTION,63,17,8,16,
WEST HOLLYWOOD,7750077A,2909,180,N,796,TOTAL,230,75,25,57,
WEST HOLLYWOOD,7750077C,2910,180,N,1149,POLLING PLACE,268,84,32,87,
WEST HOLLYWOOD,7750077C,2910,180,N,,VBM PORTION,105,23,14,30,
WEST HOLLYWOOD,7750077C,2910,180,N,1149,TOTAL,373,107,46,117,
WEST HOLLYWOOD,7750078A,2911,180,N,848,POLLING PLACE,125,46,12,35,
WEST HOLLYWOOD,7750078A,2911,180,N,,VBM PORTION,53,13,11,15,
WEST HOLLYWOOD,7750078A,2911,180,N,848,TOTAL,178,59,23,50,
LOS ANGELES,9000039A,3007,323,N,1230,POLLING PLACE,165,48,25,44,
LOS ANGELES,9000039A,3007,323,N,,VBM PORTION,151,44,32,36,
LOS ANGELES,9000039A,3007,323,N,1230,TOTAL,316,92,57,80,
LOS ANGELES,9000449A,3270,326,N,975,POLLING PLACE,231,81,36,60,
LOS ANGELES,9000449A,3270,326,N,,VBM PORTION,120,31,22,29,
LOS ANGELES,9000449A,3270,326,N,975,TOTAL,351,112,58,89,
LOS ANGELES,9000552A,3333,329,N,1079,POLLING PLACE,175,49,27,44,
LOS ANGELES,9000552A,3333,329,N,,VBM PORTION,70,22,13,13,
LOS ANGELES,9000552A,3333,329,N,1079,TOTAL,245,71,40,57,
LOS ANGELES,9000625A,3378,329,N,1237,POLLING PLACE,309,84,53,69,
LOS ANGELES,9000625A,3378,329,N,,VBM PORTION,94,23,11,22,
LOS ANGELES,9000625A,3378,329,N,1237,TOTAL,403,107,64,91,
LOS ANGELES,9001135B,6280,184,Y,,POLLING PLACE,,,,,
LOS ANGELES,9001135B,6280,184,Y,,VBM PORTION,,,,,
