INCIDENT NUMBER,INCIDENT TYPE,INCIDENT DATE,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO_LOCATION,PERSON AGE,PERSON RACE,MENTAL HEALTH CONCERNS,CRIMINAL HISTORY,WOUNDED,DECEASED,ON PROBATION,ON PAROLE,UNDER THE INFLUENCE,SUBSTANCE NAME,# OF INVOLVED DEPUTIES,WEAPON INVOLVED CATEGORY,WEAPON INVOLVED CATEGORY DESC,APPROX_LATITUDE,APPROX_LONGITUDE
1000352,HIT SHOOTING INCIDENT,05/24/2011 06:44:00 AM,2000 EAST 76TH STREET,LOS ANGELES,CA,90001,2173,"2000 EAST 76TH STREET
LOS ANGELES, CA 90001
(33.971921, -118.236815)",21,HISPANIC,N,Y,Y,N,Y,Y,Y,HALLUCINOGEN,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.971921,-118.236815
1000304,HIT SHOOTING INCIDENT,06/09/2010 01:59:00 AM,1800 MORNINGSIDE COURT,AZUSA,CA,91702,3199,"1800 MORNINGSIDE COURT
AZUSA, CA 91702
(34.15647, -117.910953)",25,HISPANIC,N,Y,N,Y,Y,N,N,,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,34.15647,-117.910953
1000497,HIT SHOOTING INCIDENT,08/26/2014 01:04:00 PM,12200 SANTA FE AVENUE,COMPTON,CA,90222,2116,"12200 SANTA FE AVENUE
COMPTON, CA 90222
(33.916817, -118.217536)",45,BLACK,N,Y,N,Y,N,N,N,,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.916817,-118.217536
1000445,HIT SHOOTING INCIDENT,05/11/2013 10:02:00 PM,4100 WALNUT STREET,CUDAHY,CA,90201,0261,"4100 WALNUT STREET
CUDAHY, CA 90201
(33.969949, -118.195354)",34,HISPANIC,N,N,N,Y,Y,N,Y,OTHER/UNKNOWN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.969949,-118.195354
1000336,HIT SHOOTING INCIDENT,01/08/2011 12:47:00 AM,8000 WADSWORTH AVENUE,LOS ANGELES,CA,90001,2199,"8000 WADSWORTH AVENUE
LOS ANGELES, CA 90001
(33.966244, -118.25858)",20,BLACK,N,Y,N,Y,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.966244,-118.25858
1000400,HIT SHOOTING INCIDENT,05/12/2012 01:25:00 PM,HUDSON AVENUE AND STAFFORD AVENUE,CITY OF INDUSTRY,CA,91744,1462,"HUDSON AVENUE AND STAFFORD AVENUE
CITY OF INDUSTRY, CA 91744
(34.02503598860171436153, -117.95933102562561901379)",30,HISPANIC,N,N,N,Y,N,N,Y,MARIJUANA,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.025035988601714,-117.959331025625619
1000513,NON-HIT SHOOTING INCIDENT,02/05/2015 05:29:00 PM,1600 E. GLADWICK STREET,CARSON,CA,90746,1616,"1600 E. GLADWICK STREET
CARSON, CA 90746
(33.85268, -118.2417)",26,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.85268,-118.2417
1000427,HIT SHOOTING INCIDENT,11/23/2012 11:08:00 AM,1600 E 118TH PLACE,LOS ANGELES,CA,90059,2131,"1600 E 118TH PLACE
LOS ANGELES, CA 90059
(33.925162, -118.246416)",31,BLACK,N,Y,Y,N,Y,Y,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.925162,-118.246416
1000312,NON-HIT SHOOTING INCIDENT,08/25/2010 08:40:00 PM,800 E. 88TH STREET,LOS ANGELES,CA,90002,2199,"800 E. 88TH STREET
LOS ANGELES, CA 90002
(33.957423, -118.260254)",29,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.957423,-118.260254
1000482,HIT SHOOTING INCIDENT,04/13/2014 04:05:00 PM,3400 MARTIN LUTHER KING JR. BOULEVARD,LYNWOOD,CA,90262,2112,"3400 MARTIN LUTHER KING JR. BOULEVARD
LYNWOOD, CA 90262
(33.936467, -118.209777)",44,HISPANIC,N,N,Y,N,N,N,Y,ALCOHOL,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.936467,-118.209777
1000325,HIT SHOOTING INCIDENT,10/27/2010 09:37:00 AM,4500 ABBOTT ROAD,LYNWOOD,CA,90262,2113,"4500 ABBOTT ROAD
LYNWOOD, CA 90262
(33.934969, -118.193581)",17,HISPANIC,N,N,Y,N,N,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.934969,-118.193581
1000342,HIT SHOOTING INCIDENT,02/26/2011 03:53:00 AM,4500 EAST THIRD STREET,LOS ANGELES,CA,90063,0283,"4500 EAST THIRD STREET
LOS ANGELES, CA 90063
(34.03324, -118.169147)",24,HISPANIC,N,N,Y,N,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",34.03324,-118.169147
1000477,HIT SHOOTING INCIDENT,01/26/2014 11:11:00 PM,2400 EAST 126TH STREET,COMPTON,CA,90222,2138,"2400 EAST 126TH STREET
COMPTON, CA 90222
(33.91802, -118.229482)",43,HISPANIC,N,Y,Y,N,N,N,Y,ALCOHOL,4,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.91802,-118.229482
1000447,HIT SHOOTING INCIDENT,06/22/2013 09:44:00 PM,15600 LOUKELTON STREET,LA PUENTE,CA,91744,1432,"15600 LOUKELTON STREET
LA PUENTE, CA 91744
(34.034448, -117.94669)",24,HISPANIC,N,Y,N,Y,Y,N,Y,MARIJUANA,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.034448,-117.94669
1000302,NON-HIT SHOOTING INCIDENT,06/10/2010 09:28:00 PM,2800 SANTA ROSA AVENUE,ALTADENA,CA,91001,0773,"2800 SANTA ROSA AVENUE
ALTADENA, CA 91001
(34.193135, -118.134092)",61,HISPANIC,Y,N,N,Y,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.193135,-118.134092
1000433,NON-HIT SHOOTING INCIDENT,03/14/2013 12:10:00 PM,1100 ORANGE GROVE BLVD,PASADENA,CA,91105,3199,"1100 ORANGE GROVE BLVD
PASADENA, CA 91105
(34.126946, -118.158199)",,BLACK,N,N,N,N,,,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.126946,-118.158199
1000433,NON-HIT SHOOTING INCIDENT,03/14/2013 12:10:00 PM,1100 ORANGE GROVE BLVD,PASADENA,CA,91105,3199,"1100 ORANGE GROVE BLVD
PASADENA, CA 91105
(34.126946, -118.158199)",,BLACK,N,N,N,N,,,N,,1,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.126946,-118.158199
1000495,HIT SHOOTING INCIDENT,08/10/2014 03:46:00 AM,11800 MAIN STREET,LOS ANGELES,CA,90061,2199,"11800 MAIN STREET
LOS ANGELES, CA 90061
(33.926472, -118.273893)",19,HISPANIC,N,N,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.926472,-118.273893
1000648,HIT SHOOTING INCIDENT,09/10/2015 08:52:00 PM,9200 LAKEWOOD BLVD.,DOWNEY,CA,90240,3199,"9200 LAKEWOOD BLVD.
DOWNEY, CA 90240
(33.954779, -118.113381)",41,HISPANIC,N,Y,N,Y,N,Y,Y,,4,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.954779,-118.113381
1000496,HIT SHOOTING INCIDENT,08/18/2014 11:30:00 AM,8800 ARTESIA BOULEVARD,BELLFLOWER,CA,90706,1335,"8800 ARTESIA BOULEVARD
BELLFLOWER, CA 90706
(33.874752, -118.14454)",38,BLACK,Y,Y,N,Y,Y,N,Y,CNS STIMULANT,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.874752,-118.14454
1000479,HIT SHOOTING INCIDENT,02/14/2014 12:20:00 PM,1100 E. PACIFIC COAST HIGHWAY,LONG BEACH,CA,90806,1399,"1100 E. PACIFIC COAST HIGHWAY
LONG BEACH, CA 90806
(33.78985, -118.178393)",37,HISPANIC,N,Y,Y,N,Y,N,N,,2,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.78985,-118.178393
1000350,NON-HIT SHOOTING INCIDENT,04/11/2011 11:20:00 PM,1100 DOHENY DRIVE,WEST HOLLYWOOD,CA,90069,0978,"1100 DOHENY DRIVE
WEST HOLLYWOOD, CA 90069
(34.090586, -118.38975)",21,HISPANIC,N,N,N,N,Y,N,Y,ALCOHOL,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.090586,-118.38975
1000459,NON-HIT SHOOTING INCIDENT,09/22/2013 04:25:00 PM,7300 ALONDRA BLVD,PARAMOUNT,CA,90723,1367,"7300 ALONDRA BLVD
PARAMOUNT, CA 90723
(33.889076, -118.171578)",25,HISPANIC,Y,N,N,N,N,Y,Y,OTHER/UNKNOWN,1,D-1,NO SUSPECT FIREAM/OTHER WEAPON involved in the Incident,33.889076,-118.171578
1000381,HIT SHOOTING INCIDENT,02/01/2012 09:02:00 PM,44900 SPEARMAN AVENUE,LANCASTER,CA,93534,1132,"44900 SPEARMAN AVENUE
LANCASTER, CA 93534
(34.698743, -118.132932)",68,WHITE,N,Y,N,Y,Y,Y,Y,HALLUCINOGEN,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.698743,-118.132932
1000341,HIT SHOOTING INCIDENT,02/18/2011 11:27:00 PM,900 E NEW YORK DRIVE,ALTADENA,CA,91001,0774,"900 E NEW YORK DRIVE
ALTADENA, CA 91001
(34.178443, -118.131826)",33,BLACK,N,Y,N,Y,Y,N,Y,ALCOHOL,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.178443,-118.131826
1000458,HIT SHOOTING INCIDENT,09/17/2013 04:27:00 PM,3RD STREET AND  HUMPHREYS AVENUE,EAST LOS ANGELES,CA,90063,0283,"3RD STREET AND HUMPHREYS AVENUE
EAST LOS ANGELES, CA 90063
(34.033221, -118.171927)",25,HISPANIC,N,Y,Y,N,Y,N,Y,CNS DEPRESSANT,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.033221,-118.171927
1000361,HIT SHOOTING INCIDENT,09/09/2011 09:19:00 PM,2400 CYPRESS STREET,COMPTON,CA,90220,2830,"2400 CYPRESS STREET
COMPTON, CA 90220
(33.887564, -118.254348)",22,BLACK,N,Y,Y,N,Y,N,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.887564,-118.254348
1000493,HIT SHOOTING INCIDENT,08/01/2014 04:49:00 AM,9000 ROSEHEDGE DRIVE,PICO RIVERA,CA,90660,1514,"9000 ROSEHEDGE DRIVE
PICO RIVERA, CA 90660
(33.993633, -118.087458)",54,HISPANIC,N,N,N,Y,N,N,N,,5,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.993633,-118.087458
1000456,HIT SHOOTING INCIDENT,09/10/2013 01:30:00 AM,4000 ALMANZA LANE AND MILLER AVENUE,EAST LOS ANGELES,CA,90063,0272,"4000 ALMANZA LANE AND MILLER AVENUE
EAST LOS ANGELES, CA 90063
(34.05272684942028420774, -118.17838558142339697124)",23,HISPANIC,N,N,N,Y,Y,N,Y,MARIJUANA,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.052726849420284,-118.178385581423397
1000419,HIT SHOOTING INCIDENT,09/28/2012 10:12:00 PM,4900 1ST STREET,EAST LOS ANGELES,CA,90022,0282,"4900 1ST STREET
EAST LOS ANGELES, CA 90022
(34.03694347384902778288, -118.16027149723664319205)",19,HISPANIC,N,N,Y,N,N,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.036943473849028,-118.160271497236643
1000437,NON-HIT SHOOTING INCIDENT,05/01/2013 03:10:00 PM,109TH STREET AND WILMINGTON AVENUE,LOS ANGELES,CA,90059,2199,"109TH STREET AND WILMINGTON AVENUE
LOS ANGELES, CA 90059
(33.93709699699830668175, -118.2390260105214329152)",18,HISPANIC,N,Y,N,N,N,N,Y,HALLUCINOGEN,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.937096996998307,-118.239026010521433
1000310,HIT SHOOTING INCIDENT,07/09/2010 02:50:00 AM,20400 SOLEDAD CANYON ROAD,CANYON COUNTRY,CA,91351,0610,"20400 SOLEDAD CANYON ROAD
CANYON COUNTRY, CA 91351
(34.421681, -118.491432)",41,HISPANIC,Y,N,Y,N,N,N,N,,2,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",34.421681,-118.491432
1000457,HIT SHOOTING INCIDENT,09/14/2013 10:14:00 PM,"1400 
EAST GAGE AVENUE",LOS ANGELES,CA,90001,2170,"1400 EAST GAGE AVENUE
LOS ANGELES, CA 90001
(33.982041, -118.249885)",22,HISPANIC,N,Y,Y,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.982041,-118.249885
1000307,HIT SHOOTING INCIDENT,06/16/2010 09:43:00 PM,16100 EUCALYPTUS AVENUE,BELLFLOWER,CA,90706,1337,"16100 EUCALYPTUS AVENUE
BELLFLOWER, CA 90706
(33.888315, -118.122013)",23,BLACK,N,N,N,Y,Y,N,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.888315,-118.122013
1000500,HIT SHOOTING INCIDENT,10/08/2014 12:58:00 AM,OLYMPIC BLVD AND  FRASER AVENUE,EAST LOS ANGELES,CA,90022,0284,"OLYMPIC BLVD AND FRASER AVENUE
EAST LOS ANGELES, CA 90022
(34.01721798307304797605, -118.16292001415274344634)",19,HISPANIC,N,N,Y,N,N,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.017217983073048,-118.162920014152743
1000370,HIT SHOOTING INCIDENT,12/17/2011 04:57:00 AM,400 SOLANO AVENUE,LOS ANGELES,CA,90012,6891,"400 SOLANO AVENUE
LOS ANGELES, CA 90012
(34.070999, -118.230158)",32,HISPANIC,N,N,N,Y,N,N,Y,HALLUCINOGEN,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.070999,-118.230158
1000686,HIT SHOOTING INCIDENT,02/20/2016 09:25:00 PM,15100 GUNDRY AVENUE,PARAMOUNT,CA,90723,1366,"15100 GUNDRY AVENUE
PARAMOUNT, CA 90723
(33.894729, -118.175544)",32,BLACK,N,N,Y,N,,,,,2,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.894729,-118.175544
1000486,HIT SHOOTING INCIDENT,05/26/2014 09:45:00 AM,6900 LONG BEACH BLVD,LONG BEACH,CA,90805,2899,"6900 LONG BEACH BLVD
LONG BEACH, CA 90805
(33.879473, -118.204286)",23,HISPANIC,N,Y,N,Y,Y,N,Y,HALLUCINOGEN,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.879473,-118.204286
1000296,HIT SHOOTING INCIDENT,04/18/2010 12:42:00 AM,11700 WILLOWBROOK AVENUE,LOS ANGELES,CA,90059,6851,"11700 WILLOWBROOK AVENUE
LOS ANGELES, CA 90059
(33.926853, -118.236724)",24,HISPANIC,N,Y,Y,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.926853,-118.236724
1000298,NON-HIT SHOOTING INCIDENT,05/10/2010 04:42:00 AM,5800 LAKEWOOD BOULEVARD,LAKEWOOD,CA,90712,1322,"5800 LAKEWOOD BOULEVARD
LAKEWOOD, CA 90712
(33.860311, -118.142409)",,BLACK,N,N,N,N,,,N,,1,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",33.860311,-118.142409
1000291,HIT SHOOTING INCIDENT,02/26/2010 04:29:00 AM,NORWALK BOULEVARD AND CAMBRIAN STREET,ARTESIA,CA,90701,1349,"NORWALK BOULEVARD AND CAMBRIAN STREET
ARTESIA, CA 90701
(33.85705101617263071594, -118.072289006107218075)",35,BLACK,N,N,Y,N,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.857051016172631,-118.072289006107218
1000519,NON-HIT SHOOTING INCIDENT,03/20/2015 12:44:00 PM,106TH STREET AND VERMONT AVENUE,LOS ANGELES,CA,90044,0375,"106TH STREET AND VERMONT AVENUE
LOS ANGELES, CA 90044
(33.94000699925598385067, -118.29183402516511975283)",31,BLACK,N,Y,N,N,N,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.940006999255984,-118.29183402516512
1000448,HIT SHOOTING INCIDENT,06/27/2013 05:44:00 AM,1100 WEST ARBUTUS STREET,COMPTON,CA,90220,2811,"1100 WEST ARBUTUS STREET
COMPTON, CA 90220
(33.899185, -118.243131)",22,BLACK,N,Y,N,Y,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.899185,-118.243131
1000309,NON-HIT SHOOTING INCIDENT,06/27/2010 03:20:00 AM,22400 PLATINO AVENUE,MISSION VIEJO,CA,92691,5199,"22400 PLATINO AVENUE
MISSION VIEJO, CA 92691
(33.637413, -117.664361)",21,WHITE,N,Y,N,N,Y,N,Y,ALCOHOL,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.637413,-117.664361
1000530,HIT SHOOTING INCIDENT,07/03/2015 11:30:00 PM,3100 W. AVENUE K-4,LANCASTER,CA,93536,1192,"3100 W. AVENUE K-4
LANCASTER, CA 93536
(34.733112, -118.182423)",46,HISPANIC,N,N,N,Y,Y,N,N,,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.733112,-118.182423
1000402,HIT SHOOTING INCIDENT,05/23/2012 10:48:00 AM,1000 W STOCKWELL STREET,COMPTON,CA,90222,2812,"1000 W STOCKWELL STREET
COMPTON, CA 90222
(33.909089, -118.243098)",19,HISPANIC,N,N,Y,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.909089,-118.243098
1000492,NON-HIT SHOOTING INCIDENT,08/15/2013 05:44:00 PM,4100 NAOMI AVENUE,LOS ANGELES,CA,90011,0399,"4100 NAOMI AVENUE
LOS ANGELES, CA 90011
(34.009238, -118.253793)",25,HISPANIC,N,Y,N,N,Y,N,N,,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.009238,-118.253793
1000481,NON-HIT SHOOTING INCIDENT,04/12/2014 09:50:00 PM,6000 6TH ST AND SCHOOL AVE,LOS ANGELES,CA,90022,0287,"6000 6TH ST AND SCHOOL AVE
LOS ANGELES, CA 90022
(34.02163033089235938466, -118.14077009956585543488)",28,HISPANIC,Y,Y,N,N,Y,Y,Y,OTHER/UNKNOWN,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.021630330892359,-118.140770099565855
1000435,HIT SHOOTING INCIDENT,04/20/2013 08:30:00 PM,9600 ATLANTIC AVENUE,SOUTH GATE,CA,90280,2199,"9600 ATLANTIC AVENUE
SOUTH GATE, CA 90280
(33.944978, -118.180758)",37,HISPANIC,N,Y,Y,N,Y,Y,N,,1,A-4,"FIREARM:  Perception shooting, Suspect actions and/or other info suggest suspect was armed, Firearm not seen/not recovered",33.944978,-118.180758
1000678,HIT SHOOTING INCIDENT,01/12/2016 05:45:00 PM,1100 WEST AVENUE H-14,LANCASTER,CA,93534,1121,"1100 WEST AVENUE H-14
LANCASTER, CA 93534
(34.715187, -118.149901)",21,BLACK,N,N,Y,N,Y,N,N,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.715187,-118.149901
1000337,HIT SHOOTING INCIDENT,01/10/2011 08:20:00 PM,5400 N. PECK ROAD,ARCADIA,CA,91006,8339,"5400 N. PECK ROAD
ARCADIA, CA 91006
(34.100974, -118.009518)",39,WHITE,N,Y,Y,N,N,N,Y,ALCOHOL,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",34.100974,-118.009518
1000411,HIT SHOOTING INCIDENT,08/03/2012 06:00:00 PM,38500 LARKIN AVENUE,PALMDALE,CA,93550,2611,"38500 LARKIN AVENUE
PALMDALE, CA 93550
(34.582596, -118.121879)",31,HISPANIC,N,Y,N,Y,Y,N,Y,HALLUCINOGEN,2,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",34.582596,-118.121879
1000290,NON-HIT SHOOTING INCIDENT,02/10/2010 09:45:00 PM,1300 WEST 139TH STREET,COMPTON,CA,90222,2812,"1300 WEST 139TH STREET
COMPTON, CA 90222
(33.90574174912721183816, -118.25189214720193997677)",19,HISPANIC,N,N,Y,N,Y,N,Y,STIMULANT,3,A-2,"FIREARM:  Suspect armed,  Suspect fired at deputy",33.905741749127212,-118.25189214720194
1000436,HIT SHOOTING INCIDENT,04/26/2013 11:42:00 AM,11400 S VERMONT AVE,LOS ANGELES,CA,90044,0378,"11400 S VERMONT AVE
LOS ANGELES, CA 90044
(33.930622, -118.291581)",24,BLACK,N,Y,N,Y,Y,N,N,,1,B-2,"WEAPON - OTHER:  Suspect armed, Suspect used weapon to assault deputy",33.930622,-118.291581
1000388,HIT SHOOTING INCIDENT,03/07/2012 02:49:00 PM,10300 LOU DILLON AVENUE,LOS ANGELES,CA,90059,2199,"10300 LOU DILLON AVENUE
LOS ANGELES, CA 90059
(33.943123, -118.234839)",22,HISPANIC,N,Y,N,Y,N,N,Y,ALCOHOL,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.943123,-118.234839
1000340,HIT SHOOTING INCIDENT,02/14/2011 08:15:00 PM,SUNOL DRIVE AND BOSWELL PLACE,LOS ANGELES,CA,90063,0278,"SUNOL DRIVE AND BOSWELL PLACE
LOS ANGELES, CA 90063
(34.01766998786855915704, -118.17897601662108047213)",31,HISPANIC,N,Y,Y,N,Y,Y,N,,3,A-3,"FIREARM:  Suspect may have been armed,  Deputy saw firearm but not recovered",34.017669987868559,-118.17897601662108
1000292,HIT SHOOTING INCIDENT,03/09/2010 11:32:00 AM,6300 BEAR AVENUE,BELL GARDENS,CA,90201,3199,"6300 BEAR AVENUE
BELL GARDENS, CA 90201
(33.980614, -118.197058)",55,HISPANIC,Y,N,Y,N,Y,N,Y,STIMULANT,1,A-1,"FIREARM:  Suspect armed,  Firearm recovered",33.980614,-118.197058
1000516,HIT SHOOTING INCIDENT,03/03/2015 03:30:00 PM,12400 215TH STREET,LAKEWOOD,CA,90711,1328,"12400 215TH STREET
LAKEWOOD, CA 90711
(33.833696, -118.067747)",50,HISPANIC,N,N,Y,N,N,Y,N,,1,B-1,"WEAPON - OTHER:  Suspect armed, Weapon recovered",33.833696,-118.067747
1000684,HIT SHOOTING INCIDENT,02/14/2016 03:50:00 AM,4800 WHITTIER BOULEVARD,LOS ANGELES,CA,90022,0294,"4800 WHITTIER BOULEVARD
LOS ANGELES, CA 90022
(34.02154, -118.1636)",29,HISPANIC,N,N,N,Y,,,,,2,A-1,"FIREARM:  Suspect armed,  Firearm recovered",34.02154,-118.1636
