LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
HACIENDA HEIGHTS,2630192A,1032,133,N,985,POLLING PLACE,91,39,44
HACIENDA HEIGHTS,2630192A,1032,133,N,0,VBM PORTION,70,19,47
HACIENDA HEIGHTS,2630192A,1032,133,N,985,TOTAL,161,58,91
HACIENDA HEIGHTS,2630193C,1033,133,N,1227,POLLING PLACE,106,60,41
HACIENDA HEIGHTS,2630193C,1033,133,N,0,VBM PORTION,70,30,31
HACIENDA HEIGHTS,2630193C,1033,133,N,1227,TOTAL,176,90,72
HACIENDA HEIGHTS,2630195A,1034,133,N,1044,POLLING PLACE,107,35,62
HACIENDA HEIGHTS,2630195A,1034,133,N,0,VBM PORTION,85,32,42
HACIENDA HEIGHTS,2630195A,1034,133,N,1044,TOTAL,192,67,104
HACIENDA HEIGHTS,2630199A,1035,133,N,1204,POLLING PLACE,139,40,83
HACIENDA HEIGHTS,2630199A,1035,133,N,0,VBM PORTION,153,46,85
HACIENDA HEIGHTS,2630199A,1035,133,N,1204,TOTAL,292,86,168
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,POLLING PLACE,99,28,61
HACIENDA HEIGHTS,2630202A,1036,133,N,0,VBM PORTION,98,28,53
HACIENDA HEIGHTS,2630202A,1036,133,N,1172,TOTAL,197,56,114
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,POLLING PLACE,96,33,53
HACIENDA HEIGHTS,2630205A,1037,133,N,0,VBM PORTION,169,45,99
HACIENDA HEIGHTS,2630205A,1037,133,N,1272,TOTAL,265,78,152
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,POLLING PLACE,52,36,14
HACIENDA HEIGHTS,2630206A,1038,133,N,0,VBM PORTION,68,39,20
HACIENDA HEIGHTS,2630206A,1038,133,N,1033,TOTAL,120,75,34
INDUSTRY,2930003A,6063,129,Y,1,POLLING PLACE,0,0,0
INDUSTRY,2930003A,6063,129,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930003A,6063,129,Y,1,TOTAL,0,0,0
INDUSTRY,2930006A,6064,123,Y,48,POLLING PLACE,0,0,0
INDUSTRY,2930006A,6064,123,Y,0,VBM PORTION,14,1,11
INDUSTRY,2930006A,6064,123,Y,48,TOTAL,14,1,11
INDUSTRY,2930010A,6065,123,Y,42,POLLING PLACE,0,0,0
INDUSTRY,2930010A,6065,123,Y,0,VBM PORTION,12,2,9
INDUSTRY,2930010A,6065,123,Y,42,TOTAL,12,2,9
INDUSTRY,2930011A,6066,125,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930011A,6066,125,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930011A,6066,125,Y,0,TOTAL,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930012A,6067,125,Y,0,TOTAL,0,0,0
INDUSTRY,2930062A,6070,123,Y,6,POLLING PLACE,0,0,0
INDUSTRY,2930062A,6070,123,Y,0,VBM PORTION,2,0,1
INDUSTRY,2930062A,6070,123,Y,6,TOTAL,2,0,1
INDUSTRY,2930067A,6071,123,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930067A,6071,123,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930067A,6071,123,Y,0,TOTAL,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,POLLING PLACE,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,VBM PORTION,0,0,0
INDUSTRY,2930068A,6072,123,Y,0,TOTAL,0,0,0
LA HABRA HEIGHTS,3230001A,1189,133,N,535,POLLING PLACE,72,22,48
LA HABRA HEIGHTS,3230001A,1189,133,N,0,VBM PORTION,69,14,43
LA HABRA HEIGHTS,3230001A,1189,133,N,535,TOTAL,141,36,91
LA HABRA HEIGHTS,3230003A,1190,133,N,929,POLLING PLACE,114,25,76
LA HABRA HEIGHTS,3230003A,1190,133,N,0,VBM PORTION,134,27,92
LA HABRA HEIGHTS,3230003A,1190,133,N,929,TOTAL,248,52,168
LA HABRA HEIGHTS,3230004A,1191,133,N,1023,POLLING PLACE,97,30,59
LA HABRA HEIGHTS,3230004A,1191,133,N,0,VBM PORTION,169,38,115
LA HABRA HEIGHTS,3230004A,1191,133,N,1023,TOTAL,266,68,174
LA HABRA HEIGHTS,3230006A,1192,133,N,919,POLLING PLACE,89,15,71
LA HABRA HEIGHTS,3230006A,1192,133,N,0,VBM PORTION,129,28,89
LA HABRA HEIGHTS,3230006A,1192,133,N,919,TOTAL,218,43,160
LA HABRA HEIGHTS,3230009A,1193,133,N,373,POLLING PLACE,57,10,43
LA HABRA HEIGHTS,3230009A,1193,133,N,0,VBM PORTION,52,6,44
LA HABRA HEIGHTS,3230009A,1193,133,N,373,TOTAL,109,16,87
LA MIRADA,3300001A,1194,132,N,1053,POLLING PLACE,103,31,66
LA MIRADA,3300001A,1194,132,N,0,VBM PORTION,94,30,49
LA MIRADA,3300001A,1194,132,N,1053,TOTAL,197,61,115
LA MIRADA,3300003A,1195,132,N,1259,POLLING PLACE,139,47,86
LA MIRADA,3300003A,1195,132,N,0,VBM PORTION,95,40,48
LA MIRADA,3300003A,1195,132,N,1259,TOTAL,234,87,134
LA MIRADA,3300006A,1196,132,N,1010,POLLING PLACE,103,47,45
LA MIRADA,3300006A,1196,132,N,0,VBM PORTION,145,60,65
LA MIRADA,3300006A,1196,132,N,1010,TOTAL,248,107,110
LA MIRADA,3300007A,1197,132,N,1237,POLLING PLACE,127,53,66
LA MIRADA,3300007A,1197,132,N,0,VBM PORTION,106,34,62
LA MIRADA,3300007A,1197,132,N,1237,TOTAL,233,87,128
LA MIRADA,3300008C,1198,132,N,1048,POLLING PLACE,93,28,59
LA MIRADA,3300008C,1198,132,N,0,VBM PORTION,84,31,43
LA MIRADA,3300008C,1198,132,N,1048,TOTAL,177,59,102
LA MIRADA,3300009A,1199,132,N,706,POLLING PLACE,49,12,31
LA MIRADA,3300009A,1199,132,N,0,VBM PORTION,35,5,24
LA MIRADA,3300009A,1199,132,N,706,TOTAL,84,17,55
LA MIRADA,3300010A,1200,132,N,1363,POLLING PLACE,94,35,51
LA MIRADA,3300010A,1200,132,N,0,VBM PORTION,119,59,56
LA MIRADA,3300010A,1200,132,N,1363,TOTAL,213,94,107
LA MIRADA,3300014A,1201,132,N,1058,POLLING PLACE,60,36,21
LA MIRADA,3300014A,1201,132,N,0,VBM PORTION,96,29,55
LA MIRADA,3300014A,1201,132,N,1058,TOTAL,156,65,76
LA MIRADA,3300015A,1202,132,N,1178,POLLING PLACE,113,39,71
LA MIRADA,3300015A,1202,132,N,0,VBM PORTION,89,35,49
LA MIRADA,3300015A,1202,132,N,1178,TOTAL,202,74,120
LA MIRADA,3300017A,1203,132,N,1058,POLLING PLACE,102,29,59
LA MIRADA,3300017A,1203,132,N,0,VBM PORTION,143,43,75
LA MIRADA,3300017A,1203,132,N,1058,TOTAL,245,72,134
LA MIRADA,3300019A,1204,132,N,795,POLLING PLACE,89,20,69
LA MIRADA,3300019A,1204,132,N,0,VBM PORTION,92,22,55
LA MIRADA,3300019A,1204,132,N,795,TOTAL,181,42,124
LA MIRADA,3300020A,1205,132,N,906,POLLING PLACE,83,28,48
LA MIRADA,3300020A,1205,132,N,0,VBM PORTION,66,26,36
LA MIRADA,3300020A,1205,132,N,906,TOTAL,149,54,84
LA MIRADA,3300022A,1206,132,N,710,POLLING PLACE,47,15,28
LA MIRADA,3300022A,1206,132,N,0,VBM PORTION,61,19,34
LA MIRADA,3300022A,1206,132,N,710,TOTAL,108,34,62
LA MIRADA,3300023A,1207,132,N,925,POLLING PLACE,71,12,52
LA MIRADA,3300023A,1207,132,N,0,VBM PORTION,63,14,37
LA MIRADA,3300023A,1207,132,N,925,TOTAL,134,26,89
LA MIRADA,3300025A,1208,132,N,783,POLLING PLACE,79,30,43
LA MIRADA,3300025A,1208,132,N,0,VBM PORTION,44,12,27
LA MIRADA,3300025A,1208,132,N,783,TOTAL,123,42,70
LA MIRADA,3300026A,1209,132,N,857,POLLING PLACE,71,21,46
LA MIRADA,3300026A,1209,132,N,0,VBM PORTION,74,23,42
LA MIRADA,3300026A,1209,132,N,857,TOTAL,145,44,88
LA MIRADA,3300029A,1210,132,N,1057,POLLING PLACE,109,38,60
LA MIRADA,3300029A,1210,132,N,0,VBM PORTION,71,28,37
LA MIRADA,3300029A,1210,132,N,1057,TOTAL,180,66,97
LA MIRADA,3300034A,1211,132,N,1286,POLLING PLACE,95,32,51
LA MIRADA,3300034A,1211,132,N,0,VBM PORTION,109,51,51
LA MIRADA,3300034A,1211,132,N,1286,TOTAL,204,83,102
LA MIRADA,3300040A,1212,132,N,1024,POLLING PLACE,66,13,47
LA MIRADA,3300040A,1212,132,N,0,VBM PORTION,103,31,50
LA MIRADA,3300040A,1212,132,N,1024,TOTAL,169,44,97
LA MIRADA,3300042A,1213,132,N,1165,POLLING PLACE,64,17,45
LA MIRADA,3300042A,1213,132,N,0,VBM PORTION,114,37,67
LA MIRADA,3300042A,1213,132,N,1165,TOTAL,178,54,112
LA MIRADA,3300044A,1214,132,N,1222,POLLING PLACE,92,31,50
LA MIRADA,3300044A,1214,132,N,0,VBM PORTION,111,37,61
LA MIRADA,3300044A,1214,132,N,1222,TOTAL,203,68,111
LA MIRADA,3300045A,1215,132,N,1206,POLLING PLACE,177,45,115
LA MIRADA,3300045A,1215,132,N,0,VBM PORTION,128,50,65
LA MIRADA,3300045A,1215,132,N,1206,TOTAL,305,95,180
LA MIRADA,3300056A,1216,132,N,572,POLLING PLACE,130,52,65
LA MIRADA,3300056A,1216,132,N,0,VBM PORTION,143,54,70
LA MIRADA,3300056A,1216,132,N,572,TOTAL,273,106,135
LA MIRADA,3300070A,1217,132,N,1112,POLLING PLACE,85,40,36
LA MIRADA,3300070A,1217,132,N,0,VBM PORTION,71,19,46
LA MIRADA,3300070A,1217,132,N,1112,TOTAL,156,59,82
LA MIRADA,3300072A,1218,132,N,1320,POLLING PLACE,110,46,52
LA MIRADA,3300072A,1218,132,N,0,VBM PORTION,106,43,51
LA MIRADA,3300072A,1218,132,N,1320,TOTAL,216,89,103
LA MIRADA,3300073A,1219,132,N,1237,POLLING PLACE,68,29,34
LA MIRADA,3300073A,1219,132,N,0,VBM PORTION,58,18,33
LA MIRADA,3300073A,1219,132,N,1237,TOTAL,126,47,67
LA PUENTE,3330001A,1220,123,N,1186,POLLING PLACE,104,65,16
LA PUENTE,3330001A,1220,123,N,0,VBM PORTION,41,25,11
LA PUENTE,3330001A,1220,123,N,1186,TOTAL,145,90,27
LA PUENTE,3330002C,1221,123,N,462,POLLING PLACE,25,13,11
LA PUENTE,3330002C,1221,123,N,0,VBM PORTION,18,8,7
LA PUENTE,3330002C,1221,123,N,462,TOTAL,43,21,18
LA PUENTE,3330003E,1222,123,N,695,POLLING PLACE,49,31,12
LA PUENTE,3330003E,1222,123,N,0,VBM PORTION,38,22,11
LA PUENTE,3330003E,1222,123,N,695,TOTAL,87,53,23
LA PUENTE,3330004A,1223,123,N,1374,POLLING PLACE,78,46,22
LA PUENTE,3330004A,1223,123,N,0,VBM PORTION,91,44,32
LA PUENTE,3330004A,1223,123,N,1374,TOTAL,169,90,54
LA PUENTE,3330008A,1224,123,N,1089,POLLING PLACE,76,53,16
LA PUENTE,3330008A,1224,123,N,0,VBM PORTION,48,35,11
LA PUENTE,3330008A,1224,123,N,1089,TOTAL,124,88,27
LA PUENTE,3330009A,1225,123,N,1048,POLLING PLACE,52,32,12
LA PUENTE,3330009A,1225,123,N,0,VBM PORTION,45,25,14
LA PUENTE,3330009A,1225,123,N,1048,TOTAL,97,57,26
LA PUENTE,3330012A,1226,123,N,1208,POLLING PLACE,44,34,3
LA PUENTE,3330012A,1226,123,N,0,VBM PORTION,51,30,13
LA PUENTE,3330012A,1226,123,N,1208,TOTAL,95,64,16
LA PUENTE,3330013B,1227,123,N,980,POLLING PLACE,61,33,23
LA PUENTE,3330013B,1227,123,N,0,VBM PORTION,38,19,14
LA PUENTE,3330013B,1227,123,N,980,TOTAL,99,52,37
LA PUENTE,3330017A,1228,123,N,1201,POLLING PLACE,65,46,12
LA PUENTE,3330017A,1228,123,N,0,VBM PORTION,60,37,14
LA PUENTE,3330017A,1228,123,N,1201,TOTAL,125,83,26
LA PUENTE,3330018A,1229,123,N,1215,POLLING PLACE,55,29,16
LA PUENTE,3330018A,1229,123,N,0,VBM PORTION,38,28,7
LA PUENTE,3330018A,1229,123,N,1215,TOTAL,93,57,23
LA PUENTE,3330019C,1230,123,N,1092,POLLING PLACE,65,35,19
LA PUENTE,3330019C,1230,123,N,0,VBM PORTION,50,26,16
LA PUENTE,3330019C,1230,123,N,1092,TOTAL,115,61,35
LA PUENTE,3330020A,1231,123,N,1055,POLLING PLACE,46,32,9
LA PUENTE,3330020A,1231,123,N,0,VBM PORTION,51,30,18
LA PUENTE,3330020A,1231,123,N,1055,TOTAL,97,62,27
LA PUENTE,3330020B,1232,123,N,1004,POLLING PLACE,74,43,14
LA PUENTE,3330020B,1232,123,N,0,VBM PORTION,48,24,13
LA PUENTE,3330020B,1232,123,N,1004,TOTAL,122,67,27
LA PUENTE,3330021A,1233,123,N,1121,POLLING PLACE,88,41,28
LA PUENTE,3330021A,1233,123,N,0,VBM PORTION,48,32,10
LA PUENTE,3330021A,1233,123,N,1121,TOTAL,136,73,38
LA PUENTE,3330040C,1234,123,N,1072,POLLING PLACE,79,52,16
LA PUENTE,3330040C,1234,123,N,0,VBM PORTION,71,37,25
LA PUENTE,3330040C,1234,123,N,1072,TOTAL,150,89,41
LOS NIETOS,3900005A,1662,132,N,642,POLLING PLACE,60,29,28
LOS NIETOS,3900005A,1662,132,N,0,VBM PORTION,26,11,10
LOS NIETOS,3900005A,1662,132,N,642,TOTAL,86,40,38
LOS NIETOS,3900006A,1663,132,N,1084,POLLING PLACE,88,53,31
LOS NIETOS,3900006A,1663,132,N,0,VBM PORTION,70,29,29
LOS NIETOS,3900006A,1663,132,N,1084,TOTAL,158,82,60
LOS NIETOS,3900007A,1664,132,N,1096,POLLING PLACE,64,34,26
LOS NIETOS,3900007A,1664,132,N,0,VBM PORTION,48,26,16
LOS NIETOS,3900007A,1664,132,N,1096,TOTAL,112,60,42
LOS NIETOS,3900008A,1665,132,N,619,POLLING PLACE,34,22,10
LOS NIETOS,3900008A,1665,132,N,0,VBM PORTION,33,21,11
LOS NIETOS,3900008A,1665,132,N,619,TOTAL,67,43,21
LOS NIETOS,3900009A,1666,132,N,1209,POLLING PLACE,106,73,24
LOS NIETOS,3900009A,1666,132,N,0,VBM PORTION,39,24,11
LOS NIETOS,3900009A,1666,132,N,1209,TOTAL,145,97,35
LOS NIETOS,3900061A,1667,132,N,383,POLLING PLACE,36,26,9
LOS NIETOS,3900061A,1667,132,N,0,VBM PORTION,16,10,6
LOS NIETOS,3900061A,1667,132,N,383,TOTAL,52,36,15
LOS NIETOS,3900062A,1668,132,N,1199,POLLING PLACE,82,45,23
LOS NIETOS,3900062A,1668,132,N,0,VBM PORTION,43,29,11
LOS NIETOS,3900062A,1668,132,N,1199,TOTAL,125,74,34
LOS NIETOS,3900063A,1669,132,N,643,POLLING PLACE,49,28,15
LOS NIETOS,3900063A,1669,132,N,0,VBM PORTION,11,5,5
LOS NIETOS,3900063A,1669,132,N,643,TOTAL,60,33,20
LOS NIETOS,3900066A,1670,132,N,1092,POLLING PLACE,91,47,37
LOS NIETOS,3900066A,1670,132,N,0,VBM PORTION,72,31,32
LOS NIETOS,3900066A,1670,132,N,1092,TOTAL,163,78,69
LOS NIETOS,3900067A,1671,132,N,1109,POLLING PLACE,101,59,34
LOS NIETOS,3900067A,1671,132,N,0,VBM PORTION,73,35,34
LOS NIETOS,3900067A,1671,132,N,1109,TOTAL,174,94,68
LOS NIETOS,3900070A,1672,132,N,949,POLLING PLACE,50,26,21
LOS NIETOS,3900070A,1672,132,N,0,VBM PORTION,45,25,16
LOS NIETOS,3900070A,1672,132,N,949,TOTAL,95,51,37
LOS NIETOS,3900071C,1673,132,N,376,POLLING PLACE,16,7,8
LOS NIETOS,3900071C,1673,132,N,0,VBM PORTION,23,9,11
LOS NIETOS,3900071C,1673,132,N,376,TOTAL,39,16,19
LOS NIETOS,3900073A,1674,132,N,908,POLLING PLACE,66,36,19
LOS NIETOS,3900073A,1674,132,N,0,VBM PORTION,67,35,25
LOS NIETOS,3900073A,1674,132,N,908,TOTAL,133,71,44
LOS NIETOS,3900080B,1675,132,N,782,POLLING PLACE,50,37,10
LOS NIETOS,3900080B,1675,132,N,0,VBM PORTION,30,15,12
LOS NIETOS,3900080B,1675,132,N,782,TOTAL,80,52,22
LOS NIETOS,3900082A,1676,132,N,1129,POLLING PLACE,74,47,18
LOS NIETOS,3900082A,1676,132,N,0,VBM PORTION,45,26,15
LOS NIETOS,3900082A,1676,132,N,1129,TOTAL,119,73,33
LOS NIETOS,3900088A,1677,132,N,562,POLLING PLACE,53,23,26
LOS NIETOS,3900088A,1677,132,N,0,VBM PORTION,50,24,22
LOS NIETOS,3900088A,1677,132,N,562,TOTAL,103,47,48
NORTH WHITTIER,4780001A,1833,128,N,756,POLLING PLACE,78,48,15
NORTH WHITTIER,4780001A,1833,128,N,0,VBM PORTION,27,19,7
NORTH WHITTIER,4780001A,1833,128,N,756,TOTAL,105,67,22
NORTH WHITTIER,4780003A,6121,132,Y,181,POLLING PLACE,0,0,0
NORTH WHITTIER,4780003A,6121,132,Y,0,VBM PORTION,54,19,24
NORTH WHITTIER,4780003A,6121,132,Y,181,TOTAL,54,19,24
NORTH WHITTIER,4780004A,1834,132,N,894,POLLING PLACE,78,29,42
NORTH WHITTIER,4780004A,1834,132,N,0,VBM PORTION,81,27,43
NORTH WHITTIER,4780004A,1834,132,N,894,TOTAL,159,56,85
NORTH WHITTIER,4780008A,6122,130,Y,0,POLLING PLACE,0,0,0
NORTH WHITTIER,4780008A,6122,130,Y,0,VBM PORTION,0,0,0
NORTH WHITTIER,4780008A,6122,130,Y,0,TOTAL,0,0,0
NORTH WHITTIER,4780011A,1835,132,N,931,POLLING PLACE,122,39,72
NORTH WHITTIER,4780011A,1835,132,N,0,VBM PORTION,110,40,58
NORTH WHITTIER,4780011A,1835,132,N,931,TOTAL,232,79,130
NORWALK,4800003A,1837,132,N,1194,POLLING PLACE,90,59,25
NORWALK,4800003A,1837,132,N,0,VBM PORTION,59,28,28
NORWALK,4800003A,1837,132,N,1194,TOTAL,149,87,53
NORWALK,4800008C,1841,132,N,1216,POLLING PLACE,77,47,25
NORWALK,4800008C,1841,132,N,0,VBM PORTION,62,19,34
NORWALK,4800008C,1841,132,N,1216,TOTAL,139,66,59
NORWALK,4800009A,1842,132,N,1344,POLLING PLACE,77,44,29
NORWALK,4800009A,1842,132,N,0,VBM PORTION,73,40,24
NORWALK,4800009A,1842,132,N,1344,TOTAL,150,84,53
NORWALK,4800010A,1843,132,N,848,POLLING PLACE,72,44,23
NORWALK,4800010A,1843,132,N,0,VBM PORTION,37,21,13
