LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DOROTHY F PINEDA,FREDDIE RODRIGUEZ
POMONA,5250073A,2130,94,N,764,TOTAL,71,15,54
POMONA,5250076A,2131,94,N,1248,POLLING PLACE,63,20,38
POMONA,5250076A,2131,94,N,0,VBM PORTION,61,11,41
POMONA,5250076A,2131,94,N,1248,TOTAL,124,31,79
POMONA,5250077A,2132,94,N,1125,POLLING PLACE,57,13,38
POMONA,5250077A,2132,94,N,0,VBM PORTION,43,6,32
POMONA,5250077A,2132,94,N,1125,TOTAL,100,19,70
POMONA,5250079A,2133,94,N,1017,POLLING PLACE,54,18,33
POMONA,5250079A,2133,94,N,0,VBM PORTION,48,13,28
POMONA,5250079A,2133,94,N,1017,TOTAL,102,31,61
POMONA,5250087C,2134,94,N,914,POLLING PLACE,110,29,45
POMONA,5250087C,2134,94,N,0,VBM PORTION,55,16,34
POMONA,5250087C,2134,94,N,914,TOTAL,165,45,79
POMONA,5250096A,2135,94,N,1225,POLLING PLACE,41,12,28
POMONA,5250096A,2135,94,N,0,VBM PORTION,52,13,37
POMONA,5250096A,2135,94,N,1225,TOTAL,93,25,65
POMONA,5250142A,2136,94,N,822,POLLING PLACE,77,27,43
POMONA,5250142A,2136,94,N,0,VBM PORTION,50,17,27
POMONA,5250142A,2136,94,N,822,TOTAL,127,44,70
POMONA,5250143A,2137,94,N,839,POLLING PLACE,71,28,37
POMONA,5250143A,2137,94,N,0,VBM PORTION,66,36,26
POMONA,5250143A,2137,94,N,839,TOTAL,137,64,63
POMONA,5250145A,2138,94,N,1288,POLLING PLACE,86,32,49
POMONA,5250145A,2138,94,N,0,VBM PORTION,110,41,62
POMONA,5250145A,2138,94,N,1288,TOTAL,196,73,111
POMONA,5250147A,2139,94,N,762,POLLING PLACE,48,14,26
POMONA,5250147A,2139,94,N,0,VBM PORTION,64,42,22
POMONA,5250147A,2139,94,N,762,TOTAL,112,56,48
POMONA,5250148A,2140,94,N,674,POLLING PLACE,52,20,25
POMONA,5250148A,2140,94,N,0,VBM PORTION,90,31,53
POMONA,5250148A,2140,94,N,674,TOTAL,142,51,78
POMONA,5250150A,2141,94,N,826,POLLING PLACE,46,29,16
POMONA,5250150A,2141,94,N,0,VBM PORTION,99,51,42
POMONA,5250150A,2141,94,N,826,TOTAL,145,80,58
POMONA,5250151A,2142,94,N,859,POLLING PLACE,51,25,22
POMONA,5250151A,2142,94,N,0,VBM PORTION,75,36,29
POMONA,5250151A,2142,94,N,859,TOTAL,126,61,51
POMONA,5250314A,2143,94,N,1244,POLLING PLACE,58,16,36
POMONA,5250314A,2143,94,N,0,VBM PORTION,58,17,38
POMONA,5250314A,2143,94,N,1244,TOTAL,116,33,74
POMONA,5250318A,2144,94,N,1018,POLLING PLACE,75,29,41
POMONA,5250318A,2144,94,N,0,VBM PORTION,69,24,39
POMONA,5250318A,2144,94,N,1018,TOTAL,144,53,80
POMONA,5250319A,2145,94,N,815,POLLING PLACE,70,28,37
POMONA,5250319A,2145,94,N,0,VBM PORTION,50,15,27
POMONA,5250319A,2145,94,N,815,TOTAL,120,43,64
BALLOT GROUP 93,9990093A,8093,93,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 93,9990093A,8093,93,N,0,VBM PORTION,0,0,0
BALLOT GROUP 93,9990093A,8093,93,N,0,TOTAL,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,POLLING PLACE,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,VBM PORTION,0,0,0
BALLOT GROUP 94,9990094A,8094,94,N,0,TOTAL,0,0,0
