LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
LOS ANGELES,9000358A,3194,59,N,1213,POLLING PLACE,106,42,55,4
LOS ANGELES,9000358A,3194,59,N,0,VBM PORTION,114,37,62,9
LOS ANGELES,9000358A,3194,59,N,1213,TOTAL,220,79,117,13
LOS ANGELES,9000362A,3196,7,N,1313,POLLING PLACE,105,38,54,10
LOS ANGELES,9000362A,3196,7,N,0,VBM PORTION,101,36,54,7
LOS ANGELES,9000362A,3196,7,N,1313,TOTAL,206,74,108,17
LOS ANGELES,9000363A,3197,59,N,824,POLLING PLACE,67,28,25,4
LOS ANGELES,9000363A,3197,59,N,0,VBM PORTION,87,25,51,6
LOS ANGELES,9000363A,3197,59,N,824,TOTAL,154,53,76,10
LOS ANGELES,9000364A,3198,59,N,871,POLLING PLACE,90,43,36,3
LOS ANGELES,9000364A,3198,59,N,0,VBM PORTION,72,17,42,3
LOS ANGELES,9000364A,3198,59,N,871,TOTAL,162,60,78,6
LOS ANGELES,9000365A,3199,59,N,932,POLLING PLACE,95,34,41,12
LOS ANGELES,9000365A,3199,59,N,0,VBM PORTION,82,47,24,2
LOS ANGELES,9000365A,3199,59,N,932,TOTAL,177,81,65,14
LOS ANGELES,9000377B,3204,62,N,869,POLLING PLACE,91,20,59,4
LOS ANGELES,9000377B,3204,62,N,0,VBM PORTION,96,12,72,6
LOS ANGELES,9000377B,3204,62,N,869,TOTAL,187,32,131,10
LOS ANGELES,9000378A,3205,15,N,796,POLLING PLACE,51,20,24,2
LOS ANGELES,9000378A,3205,15,N,0,VBM PORTION,61,17,36,5
LOS ANGELES,9000378A,3205,15,N,796,TOTAL,112,37,60,7
LOS ANGELES,9000379A,3206,15,N,1107,POLLING PLACE,76,23,42,7
LOS ANGELES,9000379A,3206,15,N,0,VBM PORTION,78,23,47,1
LOS ANGELES,9000379A,3206,15,N,1107,TOTAL,154,46,89,8
LOS ANGELES,9000381A,3207,15,N,751,POLLING PLACE,44,14,27,0
LOS ANGELES,9000381A,3207,15,N,0,VBM PORTION,39,5,29,5
LOS ANGELES,9000381A,3207,15,N,751,TOTAL,83,19,56,5
LOS ANGELES,9000382A,3208,15,N,1272,POLLING PLACE,62,21,24,9
LOS ANGELES,9000382A,3208,15,N,0,VBM PORTION,36,9,23,2
LOS ANGELES,9000382A,3208,15,N,1272,TOTAL,98,30,47,11
LOS ANGELES,9000383B,3209,15,N,1229,POLLING PLACE,85,33,42,7
LOS ANGELES,9000383B,3209,15,N,0,VBM PORTION,80,26,38,5
LOS ANGELES,9000383B,3209,15,N,1229,TOTAL,165,59,80,12
LOS ANGELES,9000385A,3210,62,N,1435,POLLING PLACE,110,25,50,11
LOS ANGELES,9000385A,3210,62,N,0,VBM PORTION,117,27,61,4
LOS ANGELES,9000385A,3210,62,N,1435,TOTAL,227,52,111,15
LOS ANGELES,9000386B,3211,59,N,1042,POLLING PLACE,42,15,21,2
LOS ANGELES,9000386B,3211,59,N,0,VBM PORTION,63,17,29,5
LOS ANGELES,9000386B,3211,59,N,1042,TOTAL,105,32,50,7
LOS ANGELES,9000390A,3214,15,N,1111,POLLING PLACE,81,31,39,5
LOS ANGELES,9000390A,3214,15,N,0,VBM PORTION,65,10,49,3
LOS ANGELES,9000390A,3214,15,N,1111,TOTAL,146,41,88,8
LOS ANGELES,9000391A,3215,15,N,1188,POLLING PLACE,69,22,36,8
LOS ANGELES,9000391A,3215,15,N,0,VBM PORTION,50,5,41,1
LOS ANGELES,9000391A,3215,15,N,1188,TOTAL,119,27,77,9
LOS ANGELES,9000392A,3216,19,N,1255,POLLING PLACE,53,7,34,5
LOS ANGELES,9000392A,3216,19,N,0,VBM PORTION,63,9,45,7
LOS ANGELES,9000392A,3216,19,N,1255,TOTAL,116,16,79,12
LOS ANGELES,9000396A,3219,15,N,1130,POLLING PLACE,85,19,47,11
LOS ANGELES,9000396A,3219,15,N,0,VBM PORTION,48,11,25,6
LOS ANGELES,9000396A,3219,15,N,1130,TOTAL,133,30,72,17
LOS ANGELES,9000398A,3220,59,N,865,POLLING PLACE,55,17,24,8
LOS ANGELES,9000398A,3220,59,N,0,VBM PORTION,71,17,43,9
LOS ANGELES,9000398A,3220,59,N,865,TOTAL,126,34,67,17
LOS ANGELES,9000399A,3221,59,N,1381,POLLING PLACE,99,28,60,8
LOS ANGELES,9000399A,3221,59,N,0,VBM PORTION,124,29,81,9
LOS ANGELES,9000399A,3221,59,N,1381,TOTAL,223,57,141,17
LOS ANGELES,9000400A,3222,59,N,1041,POLLING PLACE,38,11,23,1
LOS ANGELES,9000400A,3222,59,N,0,VBM PORTION,48,11,33,2
LOS ANGELES,9000400A,3222,59,N,1041,TOTAL,86,22,56,3
LOS ANGELES,9000402A,3224,63,N,1370,POLLING PLACE,144,25,95,15
LOS ANGELES,9000402A,3224,63,N,0,VBM PORTION,127,19,88,6
LOS ANGELES,9000402A,3224,63,N,1370,TOTAL,271,44,183,21
LOS ANGELES,9000404A,3225,59,N,836,POLLING PLACE,53,15,32,3
LOS ANGELES,9000404A,3225,59,N,0,VBM PORTION,48,19,28,1
LOS ANGELES,9000404A,3225,59,N,836,TOTAL,101,34,60,4
LOS ANGELES,9000405A,3226,59,N,746,POLLING PLACE,56,11,40,4
LOS ANGELES,9000405A,3226,59,N,0,VBM PORTION,32,5,24,1
LOS ANGELES,9000405A,3226,59,N,746,TOTAL,88,16,64,5
LOS ANGELES,9000405C,3227,59,N,902,POLLING PLACE,48,9,27,9
LOS ANGELES,9000405C,3227,59,N,0,VBM PORTION,36,8,24,3
LOS ANGELES,9000405C,3227,59,N,902,TOTAL,84,17,51,12
LOS ANGELES,9000406A,3228,59,N,915,POLLING PLACE,33,12,17,3
LOS ANGELES,9000406A,3228,59,N,0,VBM PORTION,34,5,26,0
LOS ANGELES,9000406A,3228,59,N,915,TOTAL,67,17,43,3
LOS ANGELES,9000406B,3229,59,N,1007,POLLING PLACE,39,10,21,3
LOS ANGELES,9000406B,3229,59,N,0,VBM PORTION,65,6,38,10
LOS ANGELES,9000406B,3229,59,N,1007,TOTAL,104,16,59,13
LOS ANGELES,9000408A,3230,59,N,986,POLLING PLACE,48,14,26,6
LOS ANGELES,9000408A,3230,59,N,0,VBM PORTION,41,13,19,2
LOS ANGELES,9000408A,3230,59,N,986,TOTAL,89,27,45,8
LOS ANGELES,9000410A,3231,63,N,1071,POLLING PLACE,81,20,47,5
LOS ANGELES,9000410A,3231,63,N,0,VBM PORTION,86,11,59,7
LOS ANGELES,9000410A,3231,63,N,1071,TOTAL,167,31,106,12
LOS ANGELES,9000411B,3232,59,N,678,POLLING PLACE,53,28,19,3
LOS ANGELES,9000411B,3232,59,N,0,VBM PORTION,58,15,32,2
LOS ANGELES,9000411B,3232,59,N,678,TOTAL,111,43,51,5
LOS ANGELES,9000415A,3235,59,N,1150,POLLING PLACE,62,9,48,3
LOS ANGELES,9000415A,3235,59,N,0,VBM PORTION,63,14,47,0
LOS ANGELES,9000415A,3235,59,N,1150,TOTAL,125,23,95,3
LOS ANGELES,9000417A,3237,59,N,1108,POLLING PLACE,94,33,46,7
LOS ANGELES,9000417A,3237,59,N,0,VBM PORTION,90,26,48,5
LOS ANGELES,9000417A,3237,59,N,1108,TOTAL,184,59,94,12
LOS ANGELES,9000422A,3239,63,N,1234,POLLING PLACE,132,32,87,7
LOS ANGELES,9000422A,3239,63,N,0,VBM PORTION,90,16,58,8
LOS ANGELES,9000422A,3239,63,N,1234,TOTAL,222,48,145,15
LOS ANGELES,9000428A,3243,63,N,844,POLLING PLACE,118,39,70,5
LOS ANGELES,9000428A,3243,63,N,0,VBM PORTION,75,31,31,5
LOS ANGELES,9000428A,3243,63,N,844,TOTAL,193,70,101,10
LOS ANGELES,9000442A,3247,59,N,824,POLLING PLACE,60,10,39,7
LOS ANGELES,9000442A,3247,59,N,0,VBM PORTION,47,6,30,7
LOS ANGELES,9000442A,3247,59,N,824,TOTAL,107,16,69,14
LOS ANGELES,9000443A,3248,59,N,764,POLLING PLACE,46,12,28,3
LOS ANGELES,9000443A,3248,59,N,0,VBM PORTION,32,5,24,2
LOS ANGELES,9000443A,3248,59,N,764,TOTAL,78,17,52,5
LOS ANGELES,9000457A,3256,19,N,963,POLLING PLACE,51,16,28,0
LOS ANGELES,9000457A,3256,19,N,0,VBM PORTION,50,12,33,3
LOS ANGELES,9000457A,3256,19,N,963,TOTAL,101,28,61,3
LOS ANGELES,9000460A,3258,19,N,1086,POLLING PLACE,81,35,28,8
LOS ANGELES,9000460A,3258,19,N,0,VBM PORTION,42,17,21,1
LOS ANGELES,9000460A,3258,19,N,1086,TOTAL,123,52,49,9
LOS ANGELES,9000461A,3259,19,N,1366,POLLING PLACE,90,27,49,8
LOS ANGELES,9000461A,3259,19,N,0,VBM PORTION,84,20,50,9
LOS ANGELES,9000461A,3259,19,N,1366,TOTAL,174,47,99,17
LOS ANGELES,9000465A,3261,15,N,1144,POLLING PLACE,57,18,26,9
LOS ANGELES,9000465A,3261,15,N,0,VBM PORTION,52,17,21,6
LOS ANGELES,9000465A,3261,15,N,1144,TOTAL,109,35,47,15
LOS ANGELES,9000467C,3263,19,N,1099,POLLING PLACE,55,5,41,7
LOS ANGELES,9000467C,3263,19,N,0,VBM PORTION,61,13,38,5
LOS ANGELES,9000467C,3263,19,N,1099,TOTAL,116,18,79,12
LOS ANGELES,9000469A,3264,59,N,1182,POLLING PLACE,64,15,38,4
LOS ANGELES,9000469A,3264,59,N,0,VBM PORTION,57,8,37,8
LOS ANGELES,9000469A,3264,59,N,1182,TOTAL,121,23,75,12
LOS ANGELES,9000472A,3265,15,N,1323,POLLING PLACE,77,12,49,10
LOS ANGELES,9000472A,3265,15,N,0,VBM PORTION,72,14,44,6
LOS ANGELES,9000472A,3265,15,N,1323,TOTAL,149,26,93,16
LOS ANGELES,9000474A,3266,15,N,1259,POLLING PLACE,57,17,37,2
LOS ANGELES,9000474A,3266,15,N,0,VBM PORTION,99,30,59,5
LOS ANGELES,9000474A,3266,15,N,1259,TOTAL,156,47,96,7
LOS ANGELES,9000483A,3270,19,N,1245,POLLING PLACE,54,16,25,9
LOS ANGELES,9000483A,3270,19,N,0,VBM PORTION,72,21,45,3
LOS ANGELES,9000483A,3270,19,N,1245,TOTAL,126,37,70,12
LOS ANGELES,9000490A,3272,59,N,1270,POLLING PLACE,88,19,55,8
LOS ANGELES,9000490A,3272,59,N,0,VBM PORTION,64,16,34,9
LOS ANGELES,9000490A,3272,59,N,1270,TOTAL,152,35,89,17
LOS ANGELES,9000492C,3273,63,N,887,POLLING PLACE,77,39,28,5
LOS ANGELES,9000492C,3273,63,N,0,VBM PORTION,81,29,42,3
LOS ANGELES,9000492C,3273,63,N,887,TOTAL,158,68,70,8
LOS ANGELES,9000494A,3275,59,N,1225,POLLING PLACE,55,20,26,5
LOS ANGELES,9000494A,3275,59,N,0,VBM PORTION,79,14,51,6
LOS ANGELES,9000494A,3275,59,N,1225,TOTAL,134,34,77,11
LOS ANGELES,9000496A,3277,59,N,912,POLLING PLACE,59,32,17,7
LOS ANGELES,9000496A,3277,59,N,0,VBM PORTION,46,9,33,3
LOS ANGELES,9000496A,3277,59,N,912,TOTAL,105,41,50,10
LOS ANGELES,9000497A,3278,15,N,1367,POLLING PLACE,84,23,54,4
LOS ANGELES,9000497A,3278,15,N,0,VBM PORTION,94,36,53,4
LOS ANGELES,9000497A,3278,15,N,1367,TOTAL,178,59,107,8
LOS ANGELES,9000498A,3279,15,N,1103,POLLING PLACE,88,23,47,14
LOS ANGELES,9000498A,3279,15,N,0,VBM PORTION,61,17,33,9
LOS ANGELES,9000498A,3279,15,N,1103,TOTAL,149,40,80,23
LOS ANGELES,9000500A,3280,15,N,1250,POLLING PLACE,56,19,28,5
LOS ANGELES,9000500A,3280,15,N,0,VBM PORTION,97,21,60,3
LOS ANGELES,9000500A,3280,15,N,1250,TOTAL,153,40,88,8
LOS ANGELES,9000503A,3281,59,N,1236,POLLING PLACE,73,12,40,14
LOS ANGELES,9000503A,3281,59,N,0,VBM PORTION,70,12,45,8
LOS ANGELES,9000503A,3281,59,N,1236,TOTAL,143,24,85,22
LOS ANGELES,9000506A,3283,59,N,1435,POLLING PLACE,64,12,42,6
LOS ANGELES,9000506A,3283,59,N,0,VBM PORTION,109,26,72,7
LOS ANGELES,9000506A,3283,59,N,1435,TOTAL,173,38,114,13
LOS ANGELES,9000508A,3285,59,N,1007,POLLING PLACE,61,21,32,2
LOS ANGELES,9000508A,3285,59,N,0,VBM PORTION,71,15,37,9
LOS ANGELES,9000508A,3285,59,N,1007,TOTAL,132,36,69,11
LOS ANGELES,9000509A,3286,19,N,1002,POLLING PLACE,72,18,45,7
LOS ANGELES,9000509A,3286,19,N,0,VBM PORTION,55,15,33,5
LOS ANGELES,9000509A,3286,19,N,1002,TOTAL,127,33,78,12
LOS ANGELES,9000510A,3287,19,N,1294,POLLING PLACE,75,19,42,7
LOS ANGELES,9000510A,3287,19,N,0,VBM PORTION,44,15,20,3
LOS ANGELES,9000510A,3287,19,N,1294,TOTAL,119,34,62,10
LOS ANGELES,9000510C,3288,19,N,1156,POLLING PLACE,67,17,34,6
LOS ANGELES,9000510C,3288,19,N,0,VBM PORTION,83,27,42,5
LOS ANGELES,9000510C,3288,19,N,1156,TOTAL,150,44,76,11
LOS ANGELES,9000511A,3289,63,N,1308,POLLING PLACE,84,22,50,6
LOS ANGELES,9000511A,3289,63,N,0,VBM PORTION,103,24,57,10
LOS ANGELES,9000511A,3289,63,N,1308,TOTAL,187,46,107,16
LOS ANGELES,9000512A,3290,19,N,1231,POLLING PLACE,58,26,27,2
LOS ANGELES,9000512A,3290,19,N,0,VBM PORTION,66,10,36,15
LOS ANGELES,9000512A,3290,19,N,1231,TOTAL,124,36,63,17
LOS ANGELES,9000518A,3294,19,N,1368,POLLING PLACE,59,14,41,1
LOS ANGELES,9000518A,3294,19,N,0,VBM PORTION,79,15,46,5
LOS ANGELES,9000518A,3294,19,N,1368,TOTAL,138,29,87,6
LOS ANGELES,9000519B,3295,19,N,994,POLLING PLACE,17,4,9,2
LOS ANGELES,9000519B,3295,19,N,0,VBM PORTION,28,3,20,3
LOS ANGELES,9000519B,3295,19,N,994,TOTAL,45,7,29,5
LOS ANGELES,9000523A,3297,19,N,1117,POLLING PLACE,53,14,32,1
LOS ANGELES,9000523A,3297,19,N,0,VBM PORTION,55,18,30,2
LOS ANGELES,9000523A,3297,19,N,1117,TOTAL,108,32,62,3
LOS ANGELES,9000529A,3300,19,N,1043,POLLING PLACE,80,23,42,9
LOS ANGELES,9000529A,3300,19,N,0,VBM PORTION,43,15,17,6
LOS ANGELES,9000529A,3300,19,N,1043,TOTAL,123,38,59,15
LOS ANGELES,9000531A,3302,19,N,1257,POLLING PLACE,110,30,57,12
LOS ANGELES,9000531A,3302,19,N,0,VBM PORTION,41,10,22,7
LOS ANGELES,9000531A,3302,19,N,1257,TOTAL,151,40,79,19
LOS ANGELES,9000537A,3305,19,N,1227,POLLING PLACE,87,20,58,6
LOS ANGELES,9000537A,3305,19,N,0,VBM PORTION,50,13,29,3
LOS ANGELES,9000537A,3305,19,N,1227,TOTAL,137,33,87,9
LOS ANGELES,9000543A,3306,19,N,1292,POLLING PLACE,115,25,71,9
LOS ANGELES,9000543A,3306,19,N,0,VBM PORTION,82,12,46,12
LOS ANGELES,9000543A,3306,19,N,1292,TOTAL,197,37,117,21
LOS ANGELES,9000549A,3311,62,N,1375,POLLING PLACE,114,28,62,9
LOS ANGELES,9000549A,3311,62,N,0,VBM PORTION,119,23,69,15
LOS ANGELES,9000549A,3311,62,N,1375,TOTAL,233,51,131,24
LOS ANGELES,9000553D,3314,62,N,1221,POLLING PLACE,63,13,41,1
LOS ANGELES,9000553D,3314,62,N,0,VBM PORTION,69,10,41,10
LOS ANGELES,9000553D,3314,62,N,1221,TOTAL,132,23,82,11
LOS ANGELES,9000556A,3317,19,N,1121,POLLING PLACE,74,11,47,6
LOS ANGELES,9000556A,3317,19,N,0,VBM PORTION,41,12,21,4
LOS ANGELES,9000556A,3317,19,N,1121,TOTAL,115,23,68,10
LOS ANGELES,9000559A,3320,50,N,1130,POLLING PLACE,55,25,19,4
LOS ANGELES,9000559A,3320,50,N,0,VBM PORTION,81,28,38,6
LOS ANGELES,9000559A,3320,50,N,1130,TOTAL,136,53,57,10
LOS ANGELES,9000562A,3322,62,N,1494,POLLING PLACE,77,14,47,12
LOS ANGELES,9000562A,3322,62,N,0,VBM PORTION,95,21,63,4
LOS ANGELES,9000562A,3322,62,N,1494,TOTAL,172,35,110,16
LOS ANGELES,9000563A,3323,62,N,1359,POLLING PLACE,88,19,58,6
LOS ANGELES,9000563A,3323,62,N,0,VBM PORTION,89,13,55,11
LOS ANGELES,9000563A,3323,62,N,1359,TOTAL,177,32,113,17
LOS ANGELES,9000568A,3325,62,N,1216,POLLING PLACE,69,18,36,5
LOS ANGELES,9000568A,3325,62,N,0,VBM PORTION,118,21,74,7
LOS ANGELES,9000568A,3325,62,N,1216,TOTAL,187,39,110,12
LOS ANGELES,9000572A,3327,62,N,1310,POLLING PLACE,112,18,82,5
LOS ANGELES,9000572A,3327,62,N,0,VBM PORTION,111,42,49,10
LOS ANGELES,9000572A,3327,62,N,1310,TOTAL,223,60,131,15
LOS ANGELES,9000574A,3328,15,N,890,POLLING PLACE,71,18,43,6
LOS ANGELES,9000574A,3328,15,N,0,VBM PORTION,20,2,15,2
LOS ANGELES,9000574A,3328,15,N,890,TOTAL,91,20,58,8
LOS ANGELES,9000575A,3329,62,N,1446,POLLING PLACE,128,31,76,13
LOS ANGELES,9000575A,3329,62,N,0,VBM PORTION,161,40,98,9
LOS ANGELES,9000575A,3329,62,N,1446,TOTAL,289,71,174,22
LOS ANGELES,9000578A,3330,59,N,1308,POLLING PLACE,108,23,63,14
LOS ANGELES,9000578A,3330,59,N,0,VBM PORTION,92,33,50,4
LOS ANGELES,9000578A,3330,59,N,1308,TOTAL,200,56,113,18
LOS ANGELES,9000581A,3332,62,N,1519,POLLING PLACE,117,18,85,4
LOS ANGELES,9000581A,3332,62,N,0,VBM PORTION,104,15,74,5
LOS ANGELES,9000581A,3332,62,N,1519,TOTAL,221,33,159,9
LOS ANGELES,9000592A,3337,19,N,881,POLLING PLACE,63,16,35,5
LOS ANGELES,9000592A,3337,19,N,0,VBM PORTION,56,16,28,8
LOS ANGELES,9000592A,3337,19,N,881,TOTAL,119,32,63,13
LOS ANGELES,9000596A,3340,63,N,1057,POLLING PLACE,122,24,76,9
LOS ANGELES,9000596A,3340,63,N,0,VBM PORTION,124,23,76,6
LOS ANGELES,9000596A,3340,63,N,1057,TOTAL,246,47,152,15
LOS ANGELES,9000606A,3347,62,N,1048,POLLING PLACE,94,23,50,12
LOS ANGELES,9000606A,3347,62,N,0,VBM PORTION,75,15,41,9
LOS ANGELES,9000606A,3347,62,N,1048,TOTAL,169,38,91,21
LOS ANGELES,9000607C,3348,19,N,1353,POLLING PLACE,124,23,72,18
LOS ANGELES,9000607C,3348,19,N,0,VBM PORTION,97,24,55,10
LOS ANGELES,9000607C,3348,19,N,1353,TOTAL,221,47,127,28
LOS ANGELES,9000611B,3351,63,N,1314,POLLING PLACE,101,27,66,5
LOS ANGELES,9000611B,3351,63,N,0,VBM PORTION,136,44,82,3
LOS ANGELES,9000611B,3351,63,N,1314,TOTAL,237,71,148,8
LOS ANGELES,9000613B,3353,62,N,1385,POLLING PLACE,94,17,56,14
LOS ANGELES,9000613B,3353,62,N,0,VBM PORTION,161,31,110,8
LOS ANGELES,9000613B,3353,62,N,1385,TOTAL,255,48,166,22
LOS ANGELES,9000616A,3354,19,N,1236,POLLING PLACE,104,27,60,8
LOS ANGELES,9000616A,3354,19,N,0,VBM PORTION,50,4,34,7
LOS ANGELES,9000616A,3354,19,N,1236,TOTAL,154,31,94,15
LOS ANGELES,9000668B,3375,59,N,870,POLLING PLACE,60,17,35,6
LOS ANGELES,9000668B,3375,59,N,0,VBM PORTION,65,8,45,7
LOS ANGELES,9000668B,3375,59,N,870,TOTAL,125,25,80,13
LOS ANGELES,9000686A,3380,19,N,1305,POLLING PLACE,77,21,44,9
LOS ANGELES,9000686A,3380,19,N,0,VBM PORTION,80,12,49,10
LOS ANGELES,9000686A,3380,19,N,1305,TOTAL,157,33,93,19
LOS ANGELES,9000692A,3385,19,N,936,POLLING PLACE,81,21,50,9
LOS ANGELES,9000692A,3385,19,N,0,VBM PORTION,76,15,50,5
LOS ANGELES,9000692A,3385,19,N,936,TOTAL,157,36,100,14
LOS ANGELES,9000718A,3395,19,N,1231,POLLING PLACE,59,10,40,6
LOS ANGELES,9000718A,3395,19,N,0,VBM PORTION,49,16,29,2
LOS ANGELES,9000718A,3395,19,N,1231,TOTAL,108,26,69,8
LOS ANGELES,9000727A,3399,59,N,1255,POLLING PLACE,81,31,41,8
LOS ANGELES,9000727A,3399,59,N,0,VBM PORTION,57,12,36,5
LOS ANGELES,9000727A,3399,59,N,1255,TOTAL,138,43,77,13
LOS ANGELES,9000732A,3401,19,N,1125,POLLING PLACE,72,13,45,8
LOS ANGELES,9000732A,3401,19,N,0,VBM PORTION,50,12,23,8
LOS ANGELES,9000732A,3401,19,N,1125,TOTAL,122,25,68,16
LOS ANGELES,9000737B,3403,59,N,1081,POLLING PLACE,75,15,50,6
LOS ANGELES,9000737B,3403,59,N,0,VBM PORTION,102,20,68,7
LOS ANGELES,9000737B,3403,59,N,1081,TOTAL,177,35,118,13
LOS ANGELES,9000745A,3405,63,N,1432,POLLING PLACE,128,32,78,6
LOS ANGELES,9000745A,3405,63,N,0,VBM PORTION,141,19,104,7
LOS ANGELES,9000745A,3405,63,N,1432,TOTAL,269,51,182,13
LOS ANGELES,9000751B,3407,62,N,1453,POLLING PLACE,114,23,74,14
LOS ANGELES,9000751B,3407,62,N,0,VBM PORTION,145,26,96,19
LOS ANGELES,9000751B,3407,62,N,1453,TOTAL,259,49,170,33
LOS ANGELES,9000773B,3414,62,N,1412,POLLING PLACE,134,25,91,11
LOS ANGELES,9000773B,3414,62,N,0,VBM PORTION,116,19,71,12
LOS ANGELES,9000773B,3414,62,N,1412,TOTAL,250,44,162,23
LOS ANGELES,9000799A,3425,63,N,1342,POLLING PLACE,133,24,89,8
LOS ANGELES,9000799A,3425,63,N,0,VBM PORTION,176,40,116,9
LOS ANGELES,9000799A,3425,63,N,1342,TOTAL,309,64,205,17
LOS ANGELES,9000805A,3431,59,N,1143,POLLING PLACE,94,20,51,6
LOS ANGELES,9000805A,3431,59,N,0,VBM PORTION,58,11,36,7
LOS ANGELES,9000805A,3431,59,N,1143,TOTAL,152,31,87,13
LOS ANGELES,9000837B,3444,50,N,1136,POLLING PLACE,56,18,31,2
LOS ANGELES,9000837B,3444,50,N,0,VBM PORTION,87,32,45,5
LOS ANGELES,9000837B,3444,50,N,1136,TOTAL,143,50,76,7
LOS ANGELES,9000841A,3446,63,N,734,POLLING PLACE,105,26,50,12
LOS ANGELES,9000841A,3446,63,N,0,VBM PORTION,69,19,37,7
LOS ANGELES,9000841A,3446,63,N,734,TOTAL,174,45,87,19
LOS ANGELES,9000920A,3475,50,N,1173,POLLING PLACE,100,47,42,4
LOS ANGELES,9000920A,3475,50,N,0,VBM PORTION,84,29,44,7
LOS ANGELES,9000920A,3475,50,N,1173,TOTAL,184,76,86,11
LOS ANGELES,9000987A,3500,63,N,626,POLLING PLACE,70,13,48,7
LOS ANGELES,9000987A,3500,63,N,0,VBM PORTION,74,18,52,1
LOS ANGELES,9000987A,3500,63,N,626,TOTAL,144,31,100,8
LOS ANGELES,9000988B,3501,63,N,829,POLLING PLACE,38,5,27,4
LOS ANGELES,9000988B,3501,63,N,0,VBM PORTION,65,10,43,5
LOS ANGELES,9000988B,3501,63,N,829,TOTAL,103,15,70,9
LOS ANGELES,9000990A,3503,63,N,1145,POLLING PLACE,104,15,66,15
LOS ANGELES,9000990A,3503,63,N,0,VBM PORTION,71,9,44,8
LOS ANGELES,9000990A,3503,63,N,1145,TOTAL,175,24,110,23
LOS ANGELES,9000998A,3506,15,N,1016,POLLING PLACE,53,13,33,4
LOS ANGELES,9000998A,3506,15,N,0,VBM PORTION,57,17,35,1
LOS ANGELES,9000998A,3506,15,N,1016,TOTAL,110,30,68,5
LOS ANGELES,9001002B,3511,63,N,1221,POLLING PLACE,107,16,79,4
LOS ANGELES,9001002B,3511,63,N,0,VBM PORTION,128,32,72,6
LOS ANGELES,9001002B,3511,63,N,1221,TOTAL,235,48,151,10
LOS ANGELES,9001015D,3516,63,N,1193,POLLING PLACE,103,21,65,9
LOS ANGELES,9001015D,3516,63,N,0,VBM PORTION,97,18,59,11
LOS ANGELES,9001015D,3516,63,N,1193,TOTAL,200,39,124,20
LOS ANGELES,9001016A,3517,63,N,1141,POLLING PLACE,97,19,62,9
LOS ANGELES,9001016A,3517,63,N,0,VBM PORTION,85,18,55,7
LOS ANGELES,9001016A,3517,63,N,1141,TOTAL,182,37,117,16
LOS ANGELES,9001050A,3539,15,N,1200,POLLING PLACE,72,17,42,7
LOS ANGELES,9001050A,3539,15,N,0,VBM PORTION,44,6,33,3
LOS ANGELES,9001050A,3539,15,N,1200,TOTAL,116,23,75,10
LOS ANGELES,9001052C,3540,63,N,1216,POLLING PLACE,163,37,104,12
LOS ANGELES,9001052C,3540,63,N,0,VBM PORTION,103,26,61,7
LOS ANGELES,9001052C,3540,63,N,1216,TOTAL,266,63,165,19
LOS ANGELES,9001063A,3544,63,N,1220,POLLING PLACE,102,16,72,7
LOS ANGELES,9001063A,3544,63,N,0,VBM PORTION,104,27,57,10
LOS ANGELES,9001063A,3544,63,N,1220,TOTAL,206,43,129,17
LOS ANGELES,9001064A,3545,59,N,1069,POLLING PLACE,65,19,32,8
LOS ANGELES,9001064A,3545,59,N,0,VBM PORTION,35,10,21,0
LOS ANGELES,9001064A,3545,59,N,1069,TOTAL,100,29,53,8
LOS ANGELES,9001065A,3546,15,N,931,POLLING PLACE,50,16,31,3
LOS ANGELES,9001065A,3546,15,N,0,VBM PORTION,63,11,44,7
LOS ANGELES,9001065A,3546,15,N,931,TOTAL,113,27,75,10
LOS ANGELES,9001077A,3552,15,N,1152,POLLING PLACE,61,15,36,0
LOS ANGELES,9001077A,3552,15,N,0,VBM PORTION,54,6,40,1
LOS ANGELES,9001077A,3552,15,N,1152,TOTAL,115,21,76,1
LOS ANGELES,9001080A,3553,63,N,1262,POLLING PLACE,171,36,105,6
LOS ANGELES,9001080A,3553,63,N,0,VBM PORTION,162,31,104,7
LOS ANGELES,9001080A,3553,63,N,1262,TOTAL,333,67,209,13
LOS ANGELES,9001083A,3555,63,N,868,POLLING PLACE,99,30,56,6
LOS ANGELES,9001083A,3555,63,N,0,VBM PORTION,75,16,50,7
LOS ANGELES,9001083A,3555,63,N,868,TOTAL,174,46,106,13
LOS ANGELES,9001084A,3556,63,N,1189,POLLING PLACE,73,13,45,10
LOS ANGELES,9001084A,3556,63,N,0,VBM PORTION,96,24,62,4
LOS ANGELES,9001084A,3556,63,N,1189,TOTAL,169,37,107,14
LOS ANGELES,9001085B,3557,63,N,1091,POLLING PLACE,89,21,56,6
LOS ANGELES,9001085B,3557,63,N,0,VBM PORTION,84,17,56,5
LOS ANGELES,9001085B,3557,63,N,1091,TOTAL,173,38,112,11
LOS ANGELES,9001092A,3560,63,N,1171,POLLING PLACE,104,26,63,4
LOS ANGELES,9001092A,3560,63,N,0,VBM PORTION,65,13,44,2
LOS ANGELES,9001092A,3560,63,N,1171,TOTAL,169,39,107,6
