LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
BELLFLOWER,0750034A,227,137,N,934,TOTAL,146,80
BELLFLOWER,0750035A,228,137,N,921,POLLING PLACE,51,36
BELLFLOWER,0750035A,228,137,N,0,VBM PORTION,76,47
BELLFLOWER,0750035A,228,137,N,921,TOTAL,127,83
BELLFLOWER,0750036A,229,137,N,1025,POLLING PLACE,36,19
BELLFLOWER,0750036A,229,137,N,0,VBM PORTION,32,21
BELLFLOWER,0750036A,229,137,N,1025,TOTAL,68,40
BELLFLOWER,0750037B,230,139,N,597,POLLING PLACE,44,26
BELLFLOWER,0750037B,230,139,N,0,VBM PORTION,31,23
BELLFLOWER,0750037B,230,139,N,597,TOTAL,75,49
BELLFLOWER,0750040A,231,137,N,1078,POLLING PLACE,54,39
BELLFLOWER,0750040A,231,137,N,0,VBM PORTION,37,20
BELLFLOWER,0750040A,231,137,N,1078,TOTAL,91,59
BELLFLOWER,0750040D,232,137,N,906,POLLING PLACE,49,32
BELLFLOWER,0750040D,232,137,N,0,VBM PORTION,28,19
BELLFLOWER,0750040D,232,137,N,906,TOTAL,77,51
BELLFLOWER,0750041A,233,137,N,1058,POLLING PLACE,86,51
BELLFLOWER,0750041A,233,137,N,0,VBM PORTION,73,45
BELLFLOWER,0750041A,233,137,N,1058,TOTAL,159,96
BELLFLOWER,0750042A,234,139,N,1215,POLLING PLACE,84,45
BELLFLOWER,0750042A,234,139,N,0,VBM PORTION,61,31
BELLFLOWER,0750042A,234,139,N,1215,TOTAL,145,76
BELLFLOWER,0750043A,235,137,N,764,POLLING PLACE,91,41
BELLFLOWER,0750043A,235,137,N,0,VBM PORTION,71,36
BELLFLOWER,0750043A,235,137,N,764,TOTAL,162,77
BELLFLOWER,0750044A,236,139,N,984,POLLING PLACE,74,39
BELLFLOWER,0750044A,236,139,N,0,VBM PORTION,55,20
BELLFLOWER,0750044A,236,139,N,984,TOTAL,129,59
BELLFLOWER,0750045A,237,139,N,739,POLLING PLACE,58,35
BELLFLOWER,0750045A,237,139,N,0,VBM PORTION,42,27
BELLFLOWER,0750045A,237,139,N,739,TOTAL,100,62
BELLFLOWER,0750048A,238,137,N,1060,POLLING PLACE,86,49
BELLFLOWER,0750048A,238,137,N,0,VBM PORTION,80,64
BELLFLOWER,0750048A,238,137,N,1060,TOTAL,166,113
BELLFLOWER,0750054B,239,137,N,1194,POLLING PLACE,34,21
BELLFLOWER,0750054B,239,137,N,0,VBM PORTION,55,41
BELLFLOWER,0750054B,239,137,N,1194,TOTAL,89,62
BELL GARDENS,0800001A,240,136,N,1120,POLLING PLACE,43,28
BELL GARDENS,0800001A,240,136,N,0,VBM PORTION,28,24
BELL GARDENS,0800001A,240,136,N,1120,TOTAL,71,52
BELL GARDENS,0800002A,241,136,N,1022,POLLING PLACE,47,37
BELL GARDENS,0800002A,241,136,N,0,VBM PORTION,21,19
BELL GARDENS,0800002A,241,136,N,1022,TOTAL,68,56
BELL GARDENS,0800003A,242,136,N,1038,POLLING PLACE,44,32
BELL GARDENS,0800003A,242,136,N,0,VBM PORTION,25,21
BELL GARDENS,0800003A,242,136,N,1038,TOTAL,69,53
BELL GARDENS,0800004A,243,136,N,1210,POLLING PLACE,44,33
BELL GARDENS,0800004A,243,136,N,0,VBM PORTION,25,20
BELL GARDENS,0800004A,243,136,N,1210,TOTAL,69,53
BELL GARDENS,0800005A,244,136,N,1133,POLLING PLACE,34,16
BELL GARDENS,0800005A,244,136,N,0,VBM PORTION,23,22
BELL GARDENS,0800005A,244,136,N,1133,TOTAL,57,38
BELL GARDENS,0800006A,245,136,N,970,POLLING PLACE,49,38
BELL GARDENS,0800006A,245,136,N,0,VBM PORTION,24,23
BELL GARDENS,0800006A,245,136,N,970,TOTAL,73,61
BELL GARDENS,0800007A,246,136,N,1108,POLLING PLACE,69,53
BELL GARDENS,0800007A,246,136,N,0,VBM PORTION,34,28
BELL GARDENS,0800007A,246,136,N,1108,TOTAL,103,81
BELL GARDENS,0800009A,247,136,N,1058,POLLING PLACE,38,28
BELL GARDENS,0800009A,247,136,N,0,VBM PORTION,33,28
BELL GARDENS,0800009A,247,136,N,1058,TOTAL,71,56
BELL GARDENS,0800011A,248,136,N,573,POLLING PLACE,11,8
BELL GARDENS,0800011A,248,136,N,0,VBM PORTION,7,7
BELL GARDENS,0800011A,248,136,N,573,TOTAL,18,15
BELL GARDENS,0800013A,249,136,N,939,POLLING PLACE,46,24
BELL GARDENS,0800013A,249,136,N,0,VBM PORTION,19,11
BELL GARDENS,0800013A,249,136,N,939,TOTAL,65,35
BELL GARDENS,0800014A,250,136,N,534,POLLING PLACE,40,24
BELL GARDENS,0800014A,250,136,N,0,VBM PORTION,31,25
BELL GARDENS,0800014A,250,136,N,534,TOTAL,71,49
BELL GARDENS,0800016A,251,136,N,1099,POLLING PLACE,36,29
BELL GARDENS,0800016A,251,136,N,0,VBM PORTION,20,19
BELL GARDENS,0800016A,251,136,N,1099,TOTAL,56,48
BELL GARDENS,0800017B,252,136,N,1083,POLLING PLACE,39,27
BELL GARDENS,0800017B,252,136,N,0,VBM PORTION,24,22
BELL GARDENS,0800017B,252,136,N,1083,TOTAL,63,49
CERRITOS,1070001A,431,137,N,1063,POLLING PLACE,76,43
CERRITOS,1070001A,431,137,N,0,VBM PORTION,102,44
CERRITOS,1070001A,431,137,N,1063,TOTAL,178,87
CERRITOS,1070002A,432,137,N,1004,POLLING PLACE,94,53
CERRITOS,1070002A,432,137,N,0,VBM PORTION,80,41
CERRITOS,1070002A,432,137,N,1004,TOTAL,174,94
CERRITOS,1070003A,433,137,N,762,POLLING PLACE,100,62
CERRITOS,1070003A,433,137,N,0,VBM PORTION,68,40
CERRITOS,1070003A,433,137,N,762,TOTAL,168,102
CERRITOS,1070004A,434,137,N,642,POLLING PLACE,66,29
CERRITOS,1070004A,434,137,N,0,VBM PORTION,74,42
CERRITOS,1070004A,434,137,N,642,TOTAL,140,71
CERRITOS,1070006A,435,137,N,973,POLLING PLACE,92,51
CERRITOS,1070006A,435,137,N,0,VBM PORTION,96,52
CERRITOS,1070006A,435,137,N,973,TOTAL,188,103
CERRITOS,1070007A,436,137,N,853,POLLING PLACE,68,35
CERRITOS,1070007A,436,137,N,0,VBM PORTION,81,57
CERRITOS,1070007A,436,137,N,853,TOTAL,149,92
CERRITOS,1070008A,437,137,N,821,POLLING PLACE,81,46
CERRITOS,1070008A,437,137,N,0,VBM PORTION,98,50
CERRITOS,1070008A,437,137,N,821,TOTAL,179,96
CERRITOS,1070010A,438,137,N,1320,POLLING PLACE,121,67
CERRITOS,1070010A,438,137,N,0,VBM PORTION,118,74
CERRITOS,1070010A,438,137,N,1320,TOTAL,239,141
CERRITOS,1070011A,439,137,N,1017,POLLING PLACE,67,37
CERRITOS,1070011A,439,137,N,0,VBM PORTION,114,74
CERRITOS,1070011A,439,137,N,1017,TOTAL,181,111
CERRITOS,1070012A,440,137,N,1026,POLLING PLACE,73,45
CERRITOS,1070012A,440,137,N,0,VBM PORTION,109,64
CERRITOS,1070012A,440,137,N,1026,TOTAL,182,109
CERRITOS,1070013A,441,137,N,891,POLLING PLACE,92,48
CERRITOS,1070013A,441,137,N,0,VBM PORTION,72,43
CERRITOS,1070013A,441,137,N,891,TOTAL,164,91
CERRITOS,1070014A,442,137,N,861,POLLING PLACE,74,45
CERRITOS,1070014A,442,137,N,0,VBM PORTION,75,39
CERRITOS,1070014A,442,137,N,861,TOTAL,149,84
CERRITOS,1070016D,443,137,N,1260,POLLING PLACE,93,53
CERRITOS,1070016D,443,137,N,0,VBM PORTION,127,71
CERRITOS,1070016D,443,137,N,1260,TOTAL,220,124
CERRITOS,1070017A,444,137,N,1313,POLLING PLACE,132,74
CERRITOS,1070017A,444,137,N,0,VBM PORTION,183,104
CERRITOS,1070017A,444,137,N,1313,TOTAL,315,178
CERRITOS,1070018A,445,137,N,1050,POLLING PLACE,70,41
CERRITOS,1070018A,445,137,N,0,VBM PORTION,106,69
CERRITOS,1070018A,445,137,N,1050,TOTAL,176,110
CERRITOS,1070020A,446,137,N,1059,POLLING PLACE,102,62
CERRITOS,1070020A,446,137,N,0,VBM PORTION,84,46
CERRITOS,1070020A,446,137,N,1059,TOTAL,186,108
CERRITOS,1070021A,447,137,N,853,POLLING PLACE,70,44
CERRITOS,1070021A,447,137,N,0,VBM PORTION,116,72
CERRITOS,1070021A,447,137,N,853,TOTAL,186,116
CERRITOS,1070022A,448,137,N,1131,POLLING PLACE,76,42
CERRITOS,1070022A,448,137,N,0,VBM PORTION,113,55
CERRITOS,1070022A,448,137,N,1131,TOTAL,189,97
CERRITOS,1070023A,449,137,N,941,POLLING PLACE,72,42
CERRITOS,1070023A,449,137,N,0,VBM PORTION,105,53
CERRITOS,1070023A,449,137,N,941,TOTAL,177,95
CERRITOS,1070024A,450,137,N,757,POLLING PLACE,81,43
CERRITOS,1070024A,450,137,N,0,VBM PORTION,64,36
CERRITOS,1070024A,450,137,N,757,TOTAL,145,79
CERRITOS,1070025A,451,137,N,896,POLLING PLACE,86,45
CERRITOS,1070025A,451,137,N,0,VBM PORTION,82,51
CERRITOS,1070025A,451,137,N,896,TOTAL,168,96
CERRITOS,1070026A,452,137,N,1278,POLLING PLACE,130,78
CERRITOS,1070026A,452,137,N,0,VBM PORTION,143,81
CERRITOS,1070026A,452,137,N,1278,TOTAL,273,159
CERRITOS,1070028A,453,137,N,1150,POLLING PLACE,110,59
CERRITOS,1070028A,453,137,N,0,VBM PORTION,100,56
CERRITOS,1070028A,453,137,N,1150,TOTAL,210,115
CERRITOS,1070029A,454,137,N,982,POLLING PLACE,78,34
CERRITOS,1070029A,454,137,N,0,VBM PORTION,98,57
CERRITOS,1070029A,454,137,N,982,TOTAL,176,91
CERRITOS,1070031A,455,137,N,963,POLLING PLACE,106,59
CERRITOS,1070031A,455,137,N,0,VBM PORTION,114,58
CERRITOS,1070031A,455,137,N,963,TOTAL,220,117
CERRITOS,1070032A,456,137,N,984,POLLING PLACE,71,38
CERRITOS,1070032A,456,137,N,0,VBM PORTION,101,54
CERRITOS,1070032A,456,137,N,984,TOTAL,172,92
CERRITOS,1070036A,457,137,N,877,POLLING PLACE,79,39
CERRITOS,1070036A,457,137,N,0,VBM PORTION,141,79
CERRITOS,1070036A,457,137,N,877,TOTAL,220,118
CERRITOS,1070037A,458,137,N,873,POLLING PLACE,83,51
CERRITOS,1070037A,458,137,N,0,VBM PORTION,102,61
CERRITOS,1070037A,458,137,N,873,TOTAL,185,112
CERRITOS,1070040A,459,137,N,1005,POLLING PLACE,84,47
CERRITOS,1070040A,459,137,N,0,VBM PORTION,118,69
CERRITOS,1070040A,459,137,N,1005,TOTAL,202,116
CERRITOS,1070041A,460,137,N,1437,POLLING PLACE,148,97
CERRITOS,1070041A,460,137,N,0,VBM PORTION,160,102
CERRITOS,1070041A,460,137,N,1437,TOTAL,308,199
CERRITOS,1070048A,461,137,N,1135,POLLING PLACE,69,37
CERRITOS,1070048A,461,137,N,0,VBM PORTION,101,49
CERRITOS,1070048A,461,137,N,1135,TOTAL,170,86
CERRITOS,1070070B,462,137,N,417,POLLING PLACE,34,17
CERRITOS,1070070B,462,137,N,0,VBM PORTION,37,25
CERRITOS,1070070B,462,137,N,417,TOTAL,71,42
COMMERCE,1430002A,505,135,N,696,POLLING PLACE,57,36
COMMERCE,1430002A,505,135,N,0,VBM PORTION,12,11
COMMERCE,1430002A,505,135,N,696,TOTAL,69,47
COMMERCE,1430003A,6035,134,Y,0,POLLING PLACE,0,0
COMMERCE,1430003A,6035,134,Y,0,VBM PORTION,0,0
COMMERCE,1430003A,6035,134,Y,0,TOTAL,0,0
COMMERCE,1430009A,506,135,N,1086,POLLING PLACE,73,47
COMMERCE,1430009A,506,135,N,0,VBM PORTION,39,24
COMMERCE,1430009A,506,135,N,1086,TOTAL,112,71
COMMERCE,1430031A,507,135,N,798,POLLING PLACE,105,62
COMMERCE,1430031A,507,135,N,0,VBM PORTION,48,39
COMMERCE,1430031A,507,135,N,798,TOTAL,153,101
COMMERCE,1430033A,508,135,N,1053,POLLING PLACE,61,39
COMMERCE,1430033A,508,135,N,0,VBM PORTION,37,27
COMMERCE,1430033A,508,135,N,1053,TOTAL,98,66
COMMERCE,1430034A,509,135,N,644,POLLING PLACE,45,30
COMMERCE,1430034A,509,135,N,0,VBM PORTION,32,24
COMMERCE,1430034A,509,135,N,644,TOTAL,77,54
COMMERCE,1430035A,510,135,N,1029,POLLING PLACE,57,40
COMMERCE,1430035A,510,135,N,0,VBM PORTION,40,29
COMMERCE,1430035A,510,135,N,1029,TOTAL,97,69
COMMERCE,1430036A,511,135,N,950,POLLING PLACE,46,30
COMMERCE,1430036A,511,135,N,0,VBM PORTION,29,23
COMMERCE,1430036A,511,135,N,950,TOTAL,75,53
DOWNEY,1850001A,660,138,N,1115,POLLING PLACE,80,56
DOWNEY,1850001A,660,138,N,0,VBM PORTION,74,43
DOWNEY,1850001A,660,138,N,1115,TOTAL,154,99
DOWNEY,1850002A,661,138,N,451,POLLING PLACE,26,17
DOWNEY,1850002A,661,138,N,0,VBM PORTION,14,11
DOWNEY,1850002A,661,138,N,451,TOTAL,40,28
DOWNEY,1850002C,662,138,N,596,POLLING PLACE,48,35
DOWNEY,1850002C,662,138,N,0,VBM PORTION,28,12
DOWNEY,1850002C,662,138,N,596,TOTAL,76,47
DOWNEY,1850006B,663,138,N,709,POLLING PLACE,23,17
DOWNEY,1850006B,663,138,N,0,VBM PORTION,19,11
DOWNEY,1850006B,663,138,N,709,TOTAL,42,28
DOWNEY,1850008A,664,138,N,994,POLLING PLACE,122,85
DOWNEY,1850008A,664,138,N,0,VBM PORTION,48,22
DOWNEY,1850008A,664,138,N,994,TOTAL,170,107
DOWNEY,1850009A,665,138,N,1056,POLLING PLACE,98,54
DOWNEY,1850009A,665,138,N,0,VBM PORTION,81,52
DOWNEY,1850009A,665,138,N,1056,TOTAL,179,106
DOWNEY,1850010A,666,138,N,626,POLLING PLACE,56,32
DOWNEY,1850010A,666,138,N,0,VBM PORTION,37,21
DOWNEY,1850010A,666,138,N,626,TOTAL,93,53
DOWNEY,1850011A,667,138,N,668,POLLING PLACE,46,33
DOWNEY,1850011A,667,138,N,0,VBM PORTION,22,11
DOWNEY,1850011A,667,138,N,668,TOTAL,68,44
DOWNEY,1850011B,668,138,N,670,POLLING PLACE,33,25
DOWNEY,1850011B,668,138,N,0,VBM PORTION,25,20
DOWNEY,1850011B,668,138,N,670,TOTAL,58,45
DOWNEY,1850012A,669,138,N,794,POLLING PLACE,92,68
DOWNEY,1850012A,669,138,N,0,VBM PORTION,37,25
DOWNEY,1850012A,669,138,N,794,TOTAL,129,93
DOWNEY,1850013A,670,138,N,1025,POLLING PLACE,105,75
DOWNEY,1850013A,670,138,N,0,VBM PORTION,46,39
DOWNEY,1850013A,670,138,N,1025,TOTAL,151,114
DOWNEY,1850015A,671,138,N,1094,POLLING PLACE,119,89
DOWNEY,1850015A,671,138,N,0,VBM PORTION,65,45
DOWNEY,1850015A,671,138,N,1094,TOTAL,184,134
DOWNEY,1850016A,672,138,N,1168,POLLING PLACE,182,102
DOWNEY,1850016A,672,138,N,0,VBM PORTION,62,33
DOWNEY,1850016A,672,138,N,1168,TOTAL,244,135
DOWNEY,1850017A,673,138,N,1263,POLLING PLACE,96,63
DOWNEY,1850017A,673,138,N,0,VBM PORTION,69,45
DOWNEY,1850017A,673,138,N,1263,TOTAL,165,108
DOWNEY,1850019A,674,138,N,1291,POLLING PLACE,106,62
DOWNEY,1850019A,674,138,N,0,VBM PORTION,77,44
DOWNEY,1850019A,674,138,N,1291,TOTAL,183,106
DOWNEY,1850023A,675,138,N,880,POLLING PLACE,63,43
DOWNEY,1850023A,675,138,N,0,VBM PORTION,45,29
DOWNEY,1850023A,675,138,N,880,TOTAL,108,72
DOWNEY,1850024A,676,138,N,975,POLLING PLACE,101,56
DOWNEY,1850024A,676,138,N,0,VBM PORTION,74,43
DOWNEY,1850024A,676,138,N,975,TOTAL,175,99
DOWNEY,1850025A,677,138,N,831,POLLING PLACE,95,61
DOWNEY,1850025A,677,138,N,0,VBM PORTION,62,42
DOWNEY,1850025A,677,138,N,831,TOTAL,157,103
DOWNEY,1850027A,678,138,N,1012,POLLING PLACE,78,51
DOWNEY,1850027A,678,138,N,0,VBM PORTION,49,35
DOWNEY,1850027A,678,138,N,1012,TOTAL,127,86
DOWNEY,1850028A,679,138,N,1213,POLLING PLACE,126,74
DOWNEY,1850028A,679,138,N,0,VBM PORTION,85,49
DOWNEY,1850028A,679,138,N,1213,TOTAL,211,123
DOWNEY,1850029B,680,138,N,767,POLLING PLACE,102,66
DOWNEY,1850029B,680,138,N,0,VBM PORTION,75,43
DOWNEY,1850029B,680,138,N,767,TOTAL,177,109
DOWNEY,1850030A,681,138,N,1253,POLLING PLACE,145,95
DOWNEY,1850030A,681,138,N,0,VBM PORTION,71,49
DOWNEY,1850030A,681,138,N,1253,TOTAL,216,144
DOWNEY,1850031A,682,138,N,797,POLLING PLACE,55,40
DOWNEY,1850031A,682,138,N,0,VBM PORTION,42,26
DOWNEY,1850031A,682,138,N,797,TOTAL,97,66
DOWNEY,1850032A,683,138,N,986,POLLING PLACE,85,65
DOWNEY,1850032A,683,138,N,0,VBM PORTION,66,40
DOWNEY,1850032A,683,138,N,986,TOTAL,151,105
DOWNEY,1850033A,684,138,N,987,POLLING PLACE,110,73
DOWNEY,1850033A,684,138,N,0,VBM PORTION,58,32
DOWNEY,1850033A,684,138,N,987,TOTAL,168,105
DOWNEY,1850034B,685,138,N,807,POLLING PLACE,66,43
DOWNEY,1850034B,685,138,N,0,VBM PORTION,26,14
DOWNEY,1850034B,685,138,N,807,TOTAL,92,57
DOWNEY,1850038A,686,138,N,1086,POLLING PLACE,123,84
DOWNEY,1850038A,686,138,N,0,VBM PORTION,79,50
DOWNEY,1850038A,686,138,N,1086,TOTAL,202,134
DOWNEY,1850040A,687,138,N,895,POLLING PLACE,101,69
DOWNEY,1850040A,687,138,N,0,VBM PORTION,47,27
DOWNEY,1850040A,687,138,N,895,TOTAL,148,96
DOWNEY,1850041A,688,138,N,1227,POLLING PLACE,91,52
DOWNEY,1850041A,688,138,N,0,VBM PORTION,64,46
DOWNEY,1850041A,688,138,N,1227,TOTAL,155,98
DOWNEY,1850043A,689,138,N,944,POLLING PLACE,124,71
DOWNEY,1850043A,689,138,N,0,VBM PORTION,84,57
DOWNEY,1850043A,689,138,N,944,TOTAL,208,128
DOWNEY,1850045A,690,138,N,584,POLLING PLACE,82,48
DOWNEY,1850045A,690,138,N,0,VBM PORTION,49,31
DOWNEY,1850045A,690,138,N,584,TOTAL,131,79
DOWNEY,1850046A,691,138,N,623,POLLING PLACE,63,38
DOWNEY,1850046A,691,138,N,0,VBM PORTION,43,23
DOWNEY,1850046A,691,138,N,623,TOTAL,106,61
DOWNEY,1850047A,692,138,N,927,POLLING PLACE,129,70
DOWNEY,1850047A,692,138,N,0,VBM PORTION,72,45
DOWNEY,1850047A,692,138,N,927,TOTAL,201,115
DOWNEY,1850050A,693,138,N,946,POLLING PLACE,109,66
DOWNEY,1850050A,693,138,N,0,VBM PORTION,59,36
DOWNEY,1850050A,693,138,N,946,TOTAL,168,102
DOWNEY,1850051B,694,138,N,861,POLLING PLACE,130,68
DOWNEY,1850051B,694,138,N,0,VBM PORTION,73,40
DOWNEY,1850051B,694,138,N,861,TOTAL,203,108
DOWNEY,1850055A,695,138,N,762,POLLING PLACE,95,48
DOWNEY,1850055A,695,138,N,0,VBM PORTION,66,40
DOWNEY,1850055A,695,138,N,762,TOTAL,161,88
DOWNEY,1850056C,696,138,N,1176,POLLING PLACE,86,53
DOWNEY,1850056C,696,138,N,0,VBM PORTION,46,32
DOWNEY,1850056C,696,138,N,1176,TOTAL,132,85
DOWNEY,1850057A,697,138,N,773,POLLING PLACE,36,25
DOWNEY,1850057A,697,138,N,0,VBM PORTION,22,14
DOWNEY,1850057A,697,138,N,773,TOTAL,58,39
DOWNEY,1850058A,698,138,N,844,POLLING PLACE,57,32
DOWNEY,1850058A,698,138,N,0,VBM PORTION,31,23
DOWNEY,1850058A,698,138,N,844,TOTAL,88,55
DOWNEY,1850059A,699,138,N,438,POLLING PLACE,68,40
DOWNEY,1850059A,699,138,N,0,VBM PORTION,22,12
DOWNEY,1850059A,699,138,N,438,TOTAL,90,52
DOWNEY,1850062A,700,138,N,1029,POLLING PLACE,129,73
DOWNEY,1850062A,700,138,N,0,VBM PORTION,84,40
DOWNEY,1850062A,700,138,N,1029,TOTAL,213,113
DOWNEY,1850063A,701,138,N,805,POLLING PLACE,69,39
DOWNEY,1850063A,701,138,N,0,VBM PORTION,40,31
DOWNEY,1850063A,701,138,N,805,TOTAL,109,70
DOWNEY,1850064A,702,138,N,816,POLLING PLACE,45,29
DOWNEY,1850064A,702,138,N,0,VBM PORTION,40,33
DOWNEY,1850064A,702,138,N,816,TOTAL,85,62
DOWNEY,1850065A,703,138,N,1051,POLLING PLACE,122,72
DOWNEY,1850065A,703,138,N,0,VBM PORTION,70,54
DOWNEY,1850065A,703,138,N,1051,TOTAL,192,126
DOWNEY,1850067A,704,138,N,791,POLLING PLACE,112,74
DOWNEY,1850067A,704,138,N,0,VBM PORTION,57,34
DOWNEY,1850067A,704,138,N,791,TOTAL,169,108
DOWNEY,1850071A,705,138,N,964,POLLING PLACE,141,74
DOWNEY,1850071A,705,138,N,0,VBM PORTION,90,48
DOWNEY,1850071A,705,138,N,964,TOTAL,231,122
