LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,LING-LING CHANG,PHILLIP CHEN,GREGG D FRITCHLE,STEVE TYE
DIAMOND BAR,1780041A,636,122,N,1222,POLLING PLACE,124,22,15,31,51
DIAMOND BAR,1780041A,636,122,N,0,VBM PORTION,112,28,16,20,39
DIAMOND BAR,1780041A,636,122,N,1222,TOTAL,236,50,31,51,90
DIAMOND BAR,1780043B,637,122,N,1231,POLLING PLACE,113,26,17,32,34
DIAMOND BAR,1780043B,637,122,N,0,VBM PORTION,119,33,11,21,41
DIAMOND BAR,1780043B,637,122,N,1231,TOTAL,232,59,28,53,75
DIAMOND BAR,1780063A,638,122,N,613,POLLING PLACE,58,14,4,24,13
DIAMOND BAR,1780063A,638,122,N,0,VBM PORTION,71,19,3,15,27
DIAMOND BAR,1780063A,638,122,N,613,TOTAL,129,33,7,39,40
DIAMOND BAR,1780063B,639,122,N,928,POLLING PLACE,108,23,10,23,50
DIAMOND BAR,1780063B,639,122,N,0,VBM PORTION,79,16,8,25,26
DIAMOND BAR,1780063B,639,122,N,928,TOTAL,187,39,18,48,76
DIAMOND BAR,1780065B,640,122,N,957,POLLING PLACE,114,30,16,26,40
DIAMOND BAR,1780065B,640,122,N,0,VBM PORTION,115,29,25,26,22
DIAMOND BAR,1780065B,640,122,N,957,TOTAL,229,59,41,52,62
DIAMOND BAR,1780066A,641,122,N,898,POLLING PLACE,71,11,7,20,29
DIAMOND BAR,1780066A,641,122,N,0,VBM PORTION,88,27,7,23,23
DIAMOND BAR,1780066A,641,122,N,898,TOTAL,159,38,14,43,52
DIAMOND BAR,1780067A,642,122,N,906,POLLING PLACE,112,27,10,24,40
DIAMOND BAR,1780067A,642,122,N,0,VBM PORTION,81,16,10,19,28
DIAMOND BAR,1780067A,642,122,N,906,TOTAL,193,43,20,43,68
DIAMOND BAR,1780068A,643,122,N,1129,POLLING PLACE,96,23,16,22,33
DIAMOND BAR,1780068A,643,122,N,0,VBM PORTION,88,26,17,12,27
DIAMOND BAR,1780068A,643,122,N,1129,TOTAL,184,49,33,34,60
DIAMOND BAR,1780069A,644,122,N,1066,POLLING PLACE,64,16,9,18,16
DIAMOND BAR,1780069A,644,122,N,0,VBM PORTION,102,11,8,23,50
DIAMOND BAR,1780069A,644,122,N,1066,TOTAL,166,27,17,41,66
DIAMOND BAR,1780070A,645,122,N,1129,POLLING PLACE,99,13,9,31,40
DIAMOND BAR,1780070A,645,122,N,0,VBM PORTION,135,34,12,34,45
DIAMOND BAR,1780070A,645,122,N,1129,TOTAL,234,47,21,65,85
DIAMOND BAR,1780071C,646,122,N,1082,POLLING PLACE,61,15,11,19,12
DIAMOND BAR,1780071C,646,122,N,0,VBM PORTION,108,24,12,30,27
DIAMOND BAR,1780071C,646,122,N,1082,TOTAL,169,39,23,49,39
DIAMOND BAR,1780072A,647,122,N,883,POLLING PLACE,95,14,13,33,31
DIAMOND BAR,1780072A,647,122,N,0,VBM PORTION,73,13,10,18,24
DIAMOND BAR,1780072A,647,122,N,883,TOTAL,168,27,23,51,55
DIAMOND BAR,1780073A,648,122,N,921,POLLING PLACE,96,24,7,33,29
DIAMOND BAR,1780073A,648,122,N,0,VBM PORTION,100,15,19,21,39
DIAMOND BAR,1780073A,648,122,N,921,TOTAL,196,39,26,54,68
DIAMOND BAR,1780075A,649,122,N,950,POLLING PLACE,58,14,7,18,15
DIAMOND BAR,1780075A,649,122,N,0,VBM PORTION,88,17,13,28,22
DIAMOND BAR,1780075A,649,122,N,950,TOTAL,146,31,20,46,37
DIAMOND BAR,1780077A,650,122,N,922,POLLING PLACE,63,16,11,10,21
DIAMOND BAR,1780077A,650,122,N,0,VBM PORTION,80,25,18,20,10
DIAMOND BAR,1780077A,650,122,N,922,TOTAL,143,41,29,30,31
DIAMOND BAR,1780078A,651,122,N,1014,POLLING PLACE,66,11,12,9,31
DIAMOND BAR,1780078A,651,122,N,0,VBM PORTION,96,29,24,18,21
DIAMOND BAR,1780078A,651,122,N,1014,TOTAL,162,40,36,27,52
DIAMOND BAR,1780081A,652,122,N,654,POLLING PLACE,48,10,4,13,19
DIAMOND BAR,1780081A,652,122,N,0,VBM PORTION,56,15,9,9,20
DIAMOND BAR,1780081A,652,122,N,654,TOTAL,104,25,13,22,39
DIAMOND BAR,1780085A,653,122,N,774,POLLING PLACE,63,18,9,15,19
DIAMOND BAR,1780085A,653,122,N,0,VBM PORTION,58,15,3,18,19
DIAMOND BAR,1780085A,653,122,N,774,TOTAL,121,33,12,33,38
DIAMOND BAR,1780087A,654,122,N,608,POLLING PLACE,52,8,8,20,15
DIAMOND BAR,1780087A,654,122,N,0,VBM PORTION,58,11,8,19,20
DIAMOND BAR,1780087A,654,122,N,608,TOTAL,110,19,16,39,35
DIAMOND BAR,1780091E,655,122,N,984,POLLING PLACE,92,14,11,27,39
DIAMOND BAR,1780091E,655,122,N,0,VBM PORTION,103,21,17,22,42
DIAMOND BAR,1780091E,655,122,N,984,TOTAL,195,35,28,49,81
DIAMOND BAR,1780092A,656,122,N,741,POLLING PLACE,52,10,8,13,20
DIAMOND BAR,1780092A,656,122,N,0,VBM PORTION,88,22,14,19,28
DIAMOND BAR,1780092A,656,122,N,741,TOTAL,140,32,22,32,48
DIAMOND BAR,1780094A,657,122,N,1136,POLLING PLACE,95,21,15,20,36
DIAMOND BAR,1780094A,657,122,N,0,VBM PORTION,84,21,10,13,34
DIAMOND BAR,1780094A,657,122,N,1136,TOTAL,179,42,25,33,70
INDUSTRY,2930016A,6069,120,Y,6,POLLING PLACE,0,0,0,0,0
INDUSTRY,2930016A,6069,120,Y,0,VBM PORTION,1,1,0,0,0
INDUSTRY,2930016A,6069,120,Y,6,TOTAL,1,1,0,0,0
RAMONA,5500009A,6135,122,Y,0,POLLING PLACE,0,0,0,0,0
RAMONA,5500009A,6135,122,Y,0,VBM PORTION,0,0,0,0,0
RAMONA,5500009A,6135,122,Y,0,TOTAL,0,0,0,0,0
RAMONA,5500109A,2162,121,N,542,POLLING PLACE,54,17,16,11,8
RAMONA,5500109A,2162,121,N,0,VBM PORTION,75,22,12,21,17
RAMONA,5500109A,2162,121,N,542,TOTAL,129,39,28,32,25
RAMONA,5500110A,2163,121,N,915,POLLING PLACE,86,19,17,18,27
RAMONA,5500110A,2163,121,N,0,VBM PORTION,73,15,18,16,15
RAMONA,5500110A,2163,121,N,915,TOTAL,159,34,35,34,42
ROWLAND HEIGHTS,5850001A,2258,122,N,541,POLLING PLACE,54,9,10,16,15
ROWLAND HEIGHTS,5850001A,2258,122,N,0,VBM PORTION,50,11,11,16,7
ROWLAND HEIGHTS,5850001A,2258,122,N,541,TOTAL,104,20,21,32,22
ROWLAND HEIGHTS,5850002A,2259,122,N,1020,POLLING PLACE,74,21,12,24,12
ROWLAND HEIGHTS,5850002A,2259,122,N,0,VBM PORTION,88,36,17,24,9
ROWLAND HEIGHTS,5850002A,2259,122,N,1020,TOTAL,162,57,29,48,21
ROWLAND HEIGHTS,5850003B,2260,122,N,1115,POLLING PLACE,73,14,15,28,12
ROWLAND HEIGHTS,5850003B,2260,122,N,0,VBM PORTION,72,22,13,21,11
ROWLAND HEIGHTS,5850003B,2260,122,N,1115,TOTAL,145,36,28,49,23
ROWLAND HEIGHTS,5850005A,2261,122,N,1029,POLLING PLACE,54,13,10,25,4
ROWLAND HEIGHTS,5850005A,2261,122,N,0,VBM PORTION,83,36,15,19,8
ROWLAND HEIGHTS,5850005A,2261,122,N,1029,TOTAL,137,49,25,44,12
ROWLAND HEIGHTS,5850011A,2262,122,N,1272,POLLING PLACE,93,24,9,35,19
ROWLAND HEIGHTS,5850011A,2262,122,N,0,VBM PORTION,143,48,28,40,21
ROWLAND HEIGHTS,5850011A,2262,122,N,1272,TOTAL,236,72,37,75,40
ROWLAND HEIGHTS,5850018A,2263,122,N,886,POLLING PLACE,38,13,6,10,7
ROWLAND HEIGHTS,5850018A,2263,122,N,0,VBM PORTION,83,41,15,14,10
ROWLAND HEIGHTS,5850018A,2263,122,N,886,TOTAL,121,54,21,24,17
ROWLAND HEIGHTS,5850021A,2264,122,N,1206,POLLING PLACE,71,17,7,32,12
ROWLAND HEIGHTS,5850021A,2264,122,N,0,VBM PORTION,95,34,24,23,6
ROWLAND HEIGHTS,5850021A,2264,122,N,1206,TOTAL,166,51,31,55,18
ROWLAND HEIGHTS,5850027A,2265,122,N,1069,POLLING PLACE,68,9,8,36,10
ROWLAND HEIGHTS,5850027A,2265,122,N,0,VBM PORTION,134,31,28,39,24
ROWLAND HEIGHTS,5850027A,2265,122,N,1069,TOTAL,202,40,36,75,34
ROWLAND HEIGHTS,5850028A,2266,122,N,1122,POLLING PLACE,80,23,12,30,7
ROWLAND HEIGHTS,5850028A,2266,122,N,0,VBM PORTION,107,35,25,22,18
ROWLAND HEIGHTS,5850028A,2266,122,N,1122,TOTAL,187,58,37,52,25
ROWLAND HEIGHTS,5850030A,2267,122,N,1055,POLLING PLACE,54,15,12,12,12
ROWLAND HEIGHTS,5850030A,2267,122,N,0,VBM PORTION,131,42,36,20,28
ROWLAND HEIGHTS,5850030A,2267,122,N,1055,TOTAL,185,57,48,32,40
ROWLAND HEIGHTS,5850071B,2268,122,N,1139,POLLING PLACE,95,31,15,27,12
ROWLAND HEIGHTS,5850071B,2268,122,N,0,VBM PORTION,98,32,18,21,22
ROWLAND HEIGHTS,5850071B,2268,122,N,1139,TOTAL,193,63,33,48,34
ROWLAND HEIGHTS,5850073A,2269,122,N,1246,POLLING PLACE,47,9,7,23,5
ROWLAND HEIGHTS,5850073A,2269,122,N,0,VBM PORTION,107,23,16,45,20
ROWLAND HEIGHTS,5850073A,2269,122,N,1246,TOTAL,154,32,23,68,25
ROWLAND HEIGHTS,5850075A,2270,122,N,852,POLLING PLACE,20,7,6,3,4
ROWLAND HEIGHTS,5850075A,2270,122,N,0,VBM PORTION,62,24,16,9,11
ROWLAND HEIGHTS,5850075A,2270,122,N,852,TOTAL,82,31,22,12,15
ROWLAND HEIGHTS,5850077B,2271,122,N,900,POLLING PLACE,70,24,13,24,7
ROWLAND HEIGHTS,5850077B,2271,122,N,0,VBM PORTION,98,32,17,24,11
ROWLAND HEIGHTS,5850077B,2271,122,N,900,TOTAL,168,56,30,48,18
ROWLAND HEIGHTS,5850118A,2272,122,N,1202,POLLING PLACE,74,21,7,31,10
ROWLAND HEIGHTS,5850118A,2272,122,N,0,VBM PORTION,121,46,20,24,19
ROWLAND HEIGHTS,5850118A,2272,122,N,1202,TOTAL,195,67,27,55,29
ROWLAND HEIGHTS,5850153A,2273,122,N,1039,POLLING PLACE,72,18,11,27,11
ROWLAND HEIGHTS,5850153A,2273,122,N,0,VBM PORTION,109,34,23,30,19
ROWLAND HEIGHTS,5850153A,2273,122,N,1039,TOTAL,181,52,34,57,30
ROWLAND HEIGHTS,5850175A,2274,122,N,1225,POLLING PLACE,87,32,17,18,14
ROWLAND HEIGHTS,5850175A,2274,122,N,0,VBM PORTION,117,37,21,32,21
ROWLAND HEIGHTS,5850175A,2274,122,N,1225,TOTAL,204,69,38,50,35
ROWLAND HEIGHTS,5850207A,2275,122,N,1116,POLLING PLACE,59,14,6,27,7
ROWLAND HEIGHTS,5850207A,2275,122,N,0,VBM PORTION,59,19,6,27,2
ROWLAND HEIGHTS,5850207A,2275,122,N,1116,TOTAL,118,33,12,54,9
ROWLAND HEIGHTS,5850211A,2276,122,N,1179,POLLING PLACE,71,14,10,29,13
ROWLAND HEIGHTS,5850211A,2276,122,N,0,VBM PORTION,107,28,14,39,18
ROWLAND HEIGHTS,5850211A,2276,122,N,1179,TOTAL,178,42,24,68,31
ROWLAND HEIGHTS,5850218A,6142,122,Y,3,POLLING PLACE,0,0,0,0,0
ROWLAND HEIGHTS,5850218A,6142,122,Y,0,VBM PORTION,0,0,0,0,0
ROWLAND HEIGHTS,5850218A,6142,122,Y,3,TOTAL,0,0,0,0,0
ROWLAND HEIGHTS,5850221A,2277,122,N,640,POLLING PLACE,48,14,13,6,12
ROWLAND HEIGHTS,5850221A,2277,122,N,0,VBM PORTION,62,15,23,9,14
ROWLAND HEIGHTS,5850221A,2277,122,N,640,TOTAL,110,29,36,15,26
ROWLAND HEIGHTS,5850222A,2278,122,N,1104,POLLING PLACE,67,28,12,18,8
ROWLAND HEIGHTS,5850222A,2278,122,N,0,VBM PORTION,91,34,13,35,6
ROWLAND HEIGHTS,5850222A,2278,122,N,1104,TOTAL,158,62,25,53,14
ROWLAND HEIGHTS,5850223A,6143,122,Y,0,POLLING PLACE,0,0,0,0,0
ROWLAND HEIGHTS,5850223A,6143,122,Y,0,VBM PORTION,0,0,0,0,0
ROWLAND HEIGHTS,5850223A,6143,122,Y,0,TOTAL,0,0,0,0,0
SPADRA,6750022A,2620,122,N,198,POLLING PLACE,7,1,2,3,0
SPADRA,6750022A,2620,122,N,0,VBM PORTION,0,0,0,0,0
SPADRA,6750022A,2620,122,N,198,TOTAL,7,1,2,3,0
WALNUT,7600002A,2760,120,N,590,POLLING PLACE,37,10,7,14,4
WALNUT,7600002A,2760,120,N,0,VBM PORTION,57,14,10,22,8
WALNUT,7600002A,2760,120,N,590,TOTAL,94,24,17,36,12
WALNUT,7600002D,2761,120,N,671,POLLING PLACE,58,9,10,31,5
WALNUT,7600002D,2761,120,N,0,VBM PORTION,42,10,11,7,9
WALNUT,7600002D,2761,120,N,671,TOTAL,100,19,21,38,14
WALNUT,7600003A,2762,120,N,866,POLLING PLACE,84,18,13,29,23
WALNUT,7600003A,2762,120,N,0,VBM PORTION,95,19,26,25,17
WALNUT,7600003A,2762,120,N,866,TOTAL,179,37,39,54,40
WALNUT,7600004A,2763,120,N,1071,POLLING PLACE,67,9,14,16,20
WALNUT,7600004A,2763,120,N,0,VBM PORTION,80,18,13,24,15
WALNUT,7600004A,2763,120,N,1071,TOTAL,147,27,27,40,35
WALNUT,7600006A,2764,120,N,1370,POLLING PLACE,100,30,11,33,25
WALNUT,7600006A,2764,120,N,0,VBM PORTION,126,30,29,33,28
WALNUT,7600006A,2764,120,N,1370,TOTAL,226,60,40,66,53
WALNUT,7600006B,2765,120,N,978,POLLING PLACE,45,10,10,17,7
WALNUT,7600006B,2765,120,N,0,VBM PORTION,68,16,30,5,12
WALNUT,7600006B,2765,120,N,978,TOTAL,113,26,40,22,19
WALNUT,7600007A,2766,120,N,1229,POLLING PLACE,86,6,25,24,17
WALNUT,7600007A,2766,120,N,0,VBM PORTION,140,39,38,33,13
WALNUT,7600007A,2766,120,N,1229,TOTAL,226,45,63,57,30
WALNUT,7600008A,2767,120,N,1283,POLLING PLACE,75,7,17,30,15
WALNUT,7600008A,2767,120,N,0,VBM PORTION,108,35,18,28,23
WALNUT,7600008A,2767,120,N,1283,TOTAL,183,42,35,58,38
WALNUT,7600009A,2768,120,N,1009,POLLING PLACE,60,14,12,24,7
WALNUT,7600009A,2768,120,N,0,VBM PORTION,76,32,21,15,4
WALNUT,7600009A,2768,120,N,1009,TOTAL,136,46,33,39,11
WALNUT,7600011A,2769,120,N,1089,POLLING PLACE,65,19,9,14,16
WALNUT,7600011A,2769,120,N,0,VBM PORTION,120,38,30,25,19
WALNUT,7600011A,2769,120,N,1089,TOTAL,185,57,39,39,35
WALNUT,7600012A,2770,120,N,933,POLLING PLACE,87,18,19,35,14
WALNUT,7600012A,2770,120,N,0,VBM PORTION,82,27,19,25,9
WALNUT,7600012A,2770,120,N,933,TOTAL,169,45,38,60,23
WALNUT,7600017A,2771,120,N,1312,POLLING PLACE,117,25,29,36,19
WALNUT,7600017A,2771,120,N,0,VBM PORTION,144,34,36,35,27
WALNUT,7600017A,2771,120,N,1312,TOTAL,261,59,65,71,46
WALNUT,7600018A,2772,120,N,994,POLLING PLACE,59,10,15,27,5
WALNUT,7600018A,2772,120,N,0,VBM PORTION,112,38,31,20,17
WALNUT,7600018A,2772,120,N,994,TOTAL,171,48,46,47,22
WALNUT,7600030A,2773,120,N,1148,POLLING PLACE,77,17,17,27,11
WALNUT,7600030A,2773,120,N,0,VBM PORTION,85,19,16,32,14
WALNUT,7600030A,2773,120,N,1148,TOTAL,162,36,33,59,25
WALNUT,7600031A,2774,120,N,1123,POLLING PLACE,74,11,20,23,15
WALNUT,7600031A,2774,120,N,0,VBM PORTION,82,23,12,32,10
WALNUT,7600031A,2774,120,N,1123,TOTAL,156,34,32,55,25
WALNUT,7600032A,2775,120,N,1389,POLLING PLACE,90,16,26,29,13
WALNUT,7600032A,2775,120,N,0,VBM PORTION,139,43,30,35,28
WALNUT,7600032A,2775,120,N,1389,TOTAL,229,59,56,64,41
WALNUT,7600033A,2776,120,N,947,POLLING PLACE,66,6,19,22,12
WALNUT,7600033A,2776,120,N,0,VBM PORTION,102,29,21,27,13
WALNUT,7600033A,2776,120,N,947,TOTAL,168,35,40,49,25
WEST COVINA,7700021B,2834,119,N,991,POLLING PLACE,69,27,7,10,20
WEST COVINA,7700021B,2834,119,N,0,VBM PORTION,103,18,34,23,17
WEST COVINA,7700021B,2834,119,N,991,TOTAL,172,45,41,33,37
WEST COVINA,7700056A,2847,119,N,574,POLLING PLACE,45,10,9,16,6
WEST COVINA,7700056A,2847,119,N,0,VBM PORTION,44,10,3,20,8
WEST COVINA,7700056A,2847,119,N,574,TOTAL,89,20,12,36,14
WEST COVINA,7700056C,2848,119,N,780,POLLING PLACE,23,7,4,6,5
WEST COVINA,7700056C,2848,119,N,0,VBM PORTION,61,21,9,13,10
WEST COVINA,7700056C,2848,119,N,780,TOTAL,84,28,13,19,15
WEST COVINA,7700073A,2849,119,N,537,POLLING PLACE,30,9,0,17,1
WEST COVINA,7700073A,2849,119,N,0,VBM PORTION,28,10,2,9,5
WEST COVINA,7700073A,2849,119,N,537,TOTAL,58,19,2,26,6
WEST COVINA,7700079A,2850,119,N,966,POLLING PLACE,56,6,11,35,3
WEST COVINA,7700079A,2850,119,N,0,VBM PORTION,58,10,11,22,12
WEST COVINA,7700079A,2850,119,N,966,TOTAL,114,16,22,57,15
WEST COVINA,7700079B,2851,119,N,639,POLLING PLACE,36,5,9,15,3
WEST COVINA,7700079B,2851,119,N,0,VBM PORTION,68,22,5,31,4
WEST COVINA,7700079B,2851,119,N,639,TOTAL,104,27,14,46,7
WEST COVINA,7700080A,2852,119,N,728,POLLING PLACE,67,16,5,27,13
WEST COVINA,7700080A,2852,119,N,0,VBM PORTION,48,17,5,17,6
WEST COVINA,7700080A,2852,119,N,728,TOTAL,115,33,10,44,19
WEST COVINA,7700114A,2853,119,N,942,POLLING PLACE,48,11,7,19,7
WEST COVINA,7700114A,2853,119,N,0,VBM PORTION,72,20,7,28,10
WEST COVINA,7700114A,2853,119,N,942,TOTAL,120,31,14,47,17
WEST COVINA,7700115A,2854,119,N,677,POLLING PLACE,42,5,6,24,6
WEST COVINA,7700115A,2854,119,N,0,VBM PORTION,71,17,15,20,9
WEST COVINA,7700115A,2854,119,N,677,TOTAL,113,22,21,44,15
WEST COVINA,7700116A,2855,119,N,808,POLLING PLACE,51,4,11,26,8
WEST COVINA,7700116A,2855,119,N,0,VBM PORTION,59,15,6,23,8
WEST COVINA,7700116A,2855,119,N,808,TOTAL,110,19,17,49,16
WEST COVINA,7700118A,2856,119,N,1059,POLLING PLACE,54,7,9,22,10
WEST COVINA,7700118A,2856,119,N,0,VBM PORTION,97,36,6,34,13
WEST COVINA,7700118A,2856,119,N,1059,TOTAL,151,43,15,56,23
WEST COVINA,7700122A,2857,119,N,599,POLLING PLACE,32,3,6,13,8
WEST COVINA,7700122A,2857,119,N,0,VBM PORTION,47,5,7,21,6
WEST COVINA,7700122A,2857,119,N,599,TOTAL,79,8,13,34,14
WEST COVINA,7700155C,2869,119,N,897,POLLING PLACE,41,13,3,17,7
WEST COVINA,7700155C,2869,119,N,0,VBM PORTION,80,13,16,40,6
WEST COVINA,7700155C,2869,119,N,897,TOTAL,121,26,19,57,13
WEST COVINA,7700162A,2871,119,N,454,POLLING PLACE,16,5,2,4,3
WEST COVINA,7700162A,2871,119,N,0,VBM PORTION,39,13,0,12,4
WEST COVINA,7700162A,2871,119,N,454,TOTAL,55,18,2,16,7
WEST COVINA,7700163A,2872,119,N,973,POLLING PLACE,45,15,7,19,1
WEST COVINA,7700163A,2872,119,N,0,VBM PORTION,48,12,5,20,6
WEST COVINA,7700163A,2872,119,N,973,TOTAL,93,27,12,39,7
WEST COVINA,7700169A,2874,119,N,777,POLLING PLACE,106,28,28,28,14
WEST COVINA,7700169A,2874,119,N,0,VBM PORTION,102,27,27,28,13
WEST COVINA,7700169A,2874,119,N,777,TOTAL,208,55,55,56,27
WEST COVINA,7700169B,2875,119,N,955,POLLING PLACE,88,20,17,26,14
WEST COVINA,7700169B,2875,119,N,0,VBM PORTION,97,25,22,27,21
WEST COVINA,7700169B,2875,119,N,955,TOTAL,185,45,39,53,35
WEST COVINA,7700313A,2876,119,N,607,POLLING PLACE,38,6,4,23,2
WEST COVINA,7700313A,2876,119,N,0,VBM PORTION,24,7,2,13,2
WEST COVINA,7700313A,2876,119,N,607,TOTAL,62,13,6,36,4
BALLOT GROUP 119,9990119A,8119,119,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 119,9990119A,8119,119,N,0,VBM PORTION,4,0,0,0,2
BALLOT GROUP 119,9990119A,8119,119,N,0,TOTAL,2,0,0,0,2
BALLOT GROUP 120,9990120A,8120,120,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 120,9990120A,8120,120,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 120,9990120A,8120,120,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 121,9990121A,8121,121,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 121,9990121A,8121,121,N,0,VBM PORTION,0,0,0,0,0
BALLOT GROUP 121,9990121A,8121,121,N,0,TOTAL,0,0,0,0,0
BALLOT GROUP 122,9990122A,8122,122,N,0,POLLING PLACE,0,0,0,0,0
BALLOT GROUP 122,9990122A,8122,122,N,0,VBM PORTION,4,1,0,1,0
BALLOT GROUP 122,9990122A,8122,122,N,0,TOTAL,2,1,0,1,0
