LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ANDY WHALLON,ALAN LOWENTHAL
LONG BEACH,3850045C,6097,192,Y,0,POLLING PLACE,0,0,0
LONG BEACH,3850045C,6097,192,Y,0,VBM PORTION,0,0,0
LONG BEACH,3850045C,6097,192,Y,0,TOTAL,0,0,0
LONG BEACH,3850045J,6098,192,Y,24,POLLING PLACE,0,0,0
LONG BEACH,3850045J,6098,192,Y,0,VBM PORTION,7,2,5
LONG BEACH,3850045J,6098,192,Y,24,TOTAL,7,2,5
LONG BEACH,3850046A,1442,192,N,1506,POLLING PLACE,72,7,46
LONG BEACH,3850046A,1442,192,N,0,VBM PORTION,70,11,52
LONG BEACH,3850046A,1442,192,N,1506,TOTAL,142,18,98
LONG BEACH,3850047A,1443,192,N,1361,POLLING PLACE,52,7,39
LONG BEACH,3850047A,1443,192,N,0,VBM PORTION,36,6,26
LONG BEACH,3850047A,1443,192,N,1361,TOTAL,88,13,65
LONG BEACH,3850048A,1444,189,N,769,POLLING PLACE,104,31,67
LONG BEACH,3850048A,1444,189,N,0,VBM PORTION,98,36,58
LONG BEACH,3850048A,1444,189,N,769,TOTAL,202,67,125
LONG BEACH,3850049A,1445,192,N,1146,POLLING PLACE,82,16,51
LONG BEACH,3850049A,1445,192,N,0,VBM PORTION,53,10,37
LONG BEACH,3850049A,1445,192,N,1146,TOTAL,135,26,88
LONG BEACH,3850052A,1446,189,N,837,POLLING PLACE,132,61,51
LONG BEACH,3850052A,1446,189,N,0,VBM PORTION,132,50,72
LONG BEACH,3850052A,1446,189,N,837,TOTAL,264,111,123
LONG BEACH,3850052C,6099,189,Y,22,POLLING PLACE,0,0,0
LONG BEACH,3850052C,6099,189,Y,0,VBM PORTION,6,2,1
LONG BEACH,3850052C,6099,189,Y,22,TOTAL,6,2,1
LONG BEACH,3850053A,1447,192,N,1105,POLLING PLACE,105,22,72
LONG BEACH,3850053A,1447,192,N,0,VBM PORTION,115,28,79
LONG BEACH,3850053A,1447,192,N,1105,TOTAL,220,50,151
LONG BEACH,3850055A,1448,192,N,981,POLLING PLACE,102,30,61
LONG BEACH,3850055A,1448,192,N,0,VBM PORTION,127,45,71
LONG BEACH,3850055A,1448,192,N,981,TOTAL,229,75,132
LONG BEACH,3850059A,1451,172,N,1336,POLLING PLACE,68,13,47
LONG BEACH,3850059A,1451,172,N,0,VBM PORTION,87,26,57
LONG BEACH,3850059A,1451,172,N,1336,TOTAL,155,39,104
LONG BEACH,3850065A,1453,192,N,984,POLLING PLACE,146,55,74
LONG BEACH,3850065A,1453,192,N,0,VBM PORTION,153,79,67
LONG BEACH,3850065A,1453,192,N,984,TOTAL,299,134,141
LONG BEACH,3850067B,1454,192,N,695,POLLING PLACE,113,49,55
LONG BEACH,3850067B,1454,192,N,0,VBM PORTION,130,56,65
LONG BEACH,3850067B,1454,192,N,695,TOTAL,243,105,120
LONG BEACH,3850070A,1456,192,N,978,POLLING PLACE,147,42,87
LONG BEACH,3850070A,1456,192,N,0,VBM PORTION,133,40,83
LONG BEACH,3850070A,1456,192,N,978,TOTAL,280,82,170
LONG BEACH,3850071A,1457,192,N,923,POLLING PLACE,150,33,95
LONG BEACH,3850071A,1457,192,N,0,VBM PORTION,101,26,69
LONG BEACH,3850071A,1457,192,N,923,TOTAL,251,59,164
LONG BEACH,3850072A,1458,192,N,1061,POLLING PLACE,101,20,70
LONG BEACH,3850072A,1458,192,N,0,VBM PORTION,82,24,49
LONG BEACH,3850072A,1458,192,N,1061,TOTAL,183,44,119
LONG BEACH,3850075A,1459,192,N,929,POLLING PLACE,154,52,84
LONG BEACH,3850075A,1459,192,N,0,VBM PORTION,112,38,69
LONG BEACH,3850075A,1459,192,N,929,TOTAL,266,90,153
LONG BEACH,3850076A,1460,192,N,927,POLLING PLACE,94,14,61
LONG BEACH,3850076A,1460,192,N,0,VBM PORTION,114,30,77
LONG BEACH,3850076A,1460,192,N,927,TOTAL,208,44,138
LONG BEACH,3850081A,1461,192,N,1507,POLLING PLACE,233,65,145
LONG BEACH,3850081A,1461,192,N,0,VBM PORTION,291,93,181
LONG BEACH,3850081A,1461,192,N,1507,TOTAL,524,158,326
LONG BEACH,3850082A,1462,192,N,753,POLLING PLACE,142,39,90
LONG BEACH,3850082A,1462,192,N,0,VBM PORTION,96,27,69
LONG BEACH,3850082A,1462,192,N,753,TOTAL,238,66,159
LONG BEACH,3850082B,6100,192,Y,35,POLLING PLACE,0,0,0
LONG BEACH,3850082B,6100,192,Y,0,VBM PORTION,5,0,4
LONG BEACH,3850082B,6100,192,Y,35,TOTAL,5,0,4
LONG BEACH,3850084A,1463,192,N,869,POLLING PLACE,155,38,110
LONG BEACH,3850084A,1463,192,N,0,VBM PORTION,145,45,91
LONG BEACH,3850084A,1463,192,N,869,TOTAL,300,83,201
LONG BEACH,3850085A,1464,192,N,1072,POLLING PLACE,165,49,107
LONG BEACH,3850085A,1464,192,N,0,VBM PORTION,168,45,113
LONG BEACH,3850085A,1464,192,N,1072,TOTAL,333,94,220
LONG BEACH,3850088A,1465,192,N,598,POLLING PLACE,62,10,48
LONG BEACH,3850088A,1465,192,N,0,VBM PORTION,67,8,53
LONG BEACH,3850088A,1465,192,N,598,TOTAL,129,18,101
LONG BEACH,3850091A,1466,192,N,1114,POLLING PLACE,39,10,19
LONG BEACH,3850091A,1466,192,N,0,VBM PORTION,43,13,26
LONG BEACH,3850091A,1466,192,N,1114,TOTAL,82,23,45
LONG BEACH,3850091C,6101,192,Y,82,POLLING PLACE,0,0,0
LONG BEACH,3850091C,6101,192,Y,0,VBM PORTION,7,4,3
LONG BEACH,3850091C,6101,192,Y,82,TOTAL,7,4,3
LONG BEACH,3850092A,1467,192,N,1017,POLLING PLACE,107,8,77
LONG BEACH,3850092A,1467,192,N,0,VBM PORTION,85,12,62
LONG BEACH,3850092A,1467,192,N,1017,TOTAL,192,20,139
LONG BEACH,3850093A,1468,192,N,710,POLLING PLACE,67,24,37
LONG BEACH,3850093A,1468,192,N,0,VBM PORTION,80,27,51
LONG BEACH,3850093A,1468,192,N,710,TOTAL,147,51,88
LONG BEACH,3850097A,1469,192,N,1308,POLLING PLACE,135,18,66
LONG BEACH,3850097A,1469,192,N,0,VBM PORTION,98,30,51
LONG BEACH,3850097A,1469,192,N,1308,TOTAL,233,48,117
LONG BEACH,3850099A,1470,192,N,1110,POLLING PLACE,116,15,78
LONG BEACH,3850099A,1470,192,N,0,VBM PORTION,68,6,57
LONG BEACH,3850099A,1470,192,N,1110,TOTAL,184,21,135
LONG BEACH,3850100A,1471,192,N,845,POLLING PLACE,75,10,49
LONG BEACH,3850100A,1471,192,N,0,VBM PORTION,57,9,44
LONG BEACH,3850100A,1471,192,N,845,TOTAL,132,19,93
LONG BEACH,3850101A,1472,192,N,1008,POLLING PLACE,92,16,61
LONG BEACH,3850101A,1472,192,N,0,VBM PORTION,82,10,64
LONG BEACH,3850101A,1472,192,N,1008,TOTAL,174,26,125
LONG BEACH,3850103A,1474,192,N,1015,POLLING PLACE,75,13,49
LONG BEACH,3850103A,1474,192,N,0,VBM PORTION,87,29,53
LONG BEACH,3850103A,1474,192,N,1015,TOTAL,162,42,102
LONG BEACH,3850108A,1475,192,N,818,POLLING PLACE,32,9,20
LONG BEACH,3850108A,1475,192,N,0,VBM PORTION,115,32,76
LONG BEACH,3850108A,1475,192,N,818,TOTAL,147,41,96
LONG BEACH,3850110A,1476,192,N,1607,POLLING PLACE,164,35,105
LONG BEACH,3850110A,1476,192,N,0,VBM PORTION,193,50,129
LONG BEACH,3850110A,1476,192,N,1607,TOTAL,357,85,234
LONG BEACH,3850113B,1477,192,N,1077,POLLING PLACE,53,6,29
LONG BEACH,3850113B,1477,192,N,0,VBM PORTION,56,7,41
LONG BEACH,3850113B,1477,192,N,1077,TOTAL,109,13,70
LONG BEACH,3850113D,6102,192,Y,31,POLLING PLACE,0,0,0
LONG BEACH,3850113D,6102,192,Y,0,VBM PORTION,0,0,0
LONG BEACH,3850113D,6102,192,Y,31,TOTAL,0,0,0
LONG BEACH,3850117A,1478,192,N,1305,POLLING PLACE,65,16,40
LONG BEACH,3850117A,1478,192,N,0,VBM PORTION,73,20,42
LONG BEACH,3850117A,1478,192,N,1305,TOTAL,138,36,82
LONG BEACH,3850120A,1479,192,N,946,POLLING PLACE,118,16,86
LONG BEACH,3850120A,1479,192,N,0,VBM PORTION,107,21,81
LONG BEACH,3850120A,1479,192,N,946,TOTAL,225,37,167
LONG BEACH,3850122A,1480,192,N,903,POLLING PLACE,58,6,46
LONG BEACH,3850122A,1480,192,N,0,VBM PORTION,52,5,45
LONG BEACH,3850122A,1480,192,N,903,TOTAL,110,11,91
LONG BEACH,3850123A,1481,192,N,938,POLLING PLACE,63,13,37
LONG BEACH,3850123A,1481,192,N,0,VBM PORTION,43,9,33
LONG BEACH,3850123A,1481,192,N,938,TOTAL,106,22,70
LONG BEACH,3850126A,1482,192,N,624,POLLING PLACE,92,20,68
LONG BEACH,3850126A,1482,192,N,0,VBM PORTION,45,5,39
LONG BEACH,3850126A,1482,192,N,624,TOTAL,137,25,107
LONG BEACH,3850128A,1483,192,N,613,POLLING PLACE,27,3,20
LONG BEACH,3850128A,1483,192,N,0,VBM PORTION,34,11,21
LONG BEACH,3850128A,1483,192,N,613,TOTAL,61,14,41
LONG BEACH,3850133A,1484,192,N,1199,POLLING PLACE,64,15,45
LONG BEACH,3850133A,1484,192,N,0,VBM PORTION,66,8,56
LONG BEACH,3850133A,1484,192,N,1199,TOTAL,130,23,101
LONG BEACH,3850134A,1485,192,N,1305,POLLING PLACE,53,7,33
LONG BEACH,3850134A,1485,192,N,0,VBM PORTION,31,4,27
LONG BEACH,3850134A,1485,192,N,1305,TOTAL,84,11,60
LONG BEACH,3850135A,1486,192,N,1372,POLLING PLACE,146,26,109
LONG BEACH,3850135A,1486,192,N,0,VBM PORTION,132,27,96
LONG BEACH,3850135A,1486,192,N,1372,TOTAL,278,53,205
LONG BEACH,3850137A,1487,192,N,1253,POLLING PLACE,81,7,46
LONG BEACH,3850137A,1487,192,N,0,VBM PORTION,55,5,42
LONG BEACH,3850137A,1487,192,N,1253,TOTAL,136,12,88
LONG BEACH,3850138A,1488,192,N,1032,POLLING PLACE,45,4,33
LONG BEACH,3850138A,1488,192,N,0,VBM PORTION,41,5,29
LONG BEACH,3850138A,1488,192,N,1032,TOTAL,86,9,62
LONG BEACH,3850144A,1489,192,N,933,POLLING PLACE,31,5,20
LONG BEACH,3850144A,1489,192,N,0,VBM PORTION,35,4,28
LONG BEACH,3850144A,1489,192,N,933,TOTAL,66,9,48
LONG BEACH,3850145A,1490,192,N,970,POLLING PLACE,40,1,32
LONG BEACH,3850145A,1490,192,N,0,VBM PORTION,37,4,30
LONG BEACH,3850145A,1490,192,N,970,TOTAL,77,5,62
LONG BEACH,3850146A,1491,192,N,1146,POLLING PLACE,49,9,30
LONG BEACH,3850146A,1491,192,N,0,VBM PORTION,53,14,33
LONG BEACH,3850146A,1491,192,N,1146,TOTAL,102,23,63
LONG BEACH,3850147A,1492,192,N,914,POLLING PLACE,118,45,60
LONG BEACH,3850147A,1492,192,N,0,VBM PORTION,85,39,41
LONG BEACH,3850147A,1492,192,N,914,TOTAL,203,84,101
LONG BEACH,3850149A,1493,192,N,1126,POLLING PLACE,93,16,67
LONG BEACH,3850149A,1493,192,N,0,VBM PORTION,76,12,61
LONG BEACH,3850149A,1493,192,N,1126,TOTAL,169,28,128
LONG BEACH,3850151A,1494,192,N,737,POLLING PLACE,48,6,30
LONG BEACH,3850151A,1494,192,N,0,VBM PORTION,22,4,16
LONG BEACH,3850151A,1494,192,N,737,TOTAL,70,10,46
LONG BEACH,3850151C,1495,192,N,517,POLLING PLACE,44,4,20
LONG BEACH,3850151C,1495,192,N,0,VBM PORTION,27,6,19
LONG BEACH,3850151C,1495,192,N,517,TOTAL,71,10,39
LONG BEACH,3850152A,1496,192,N,886,POLLING PLACE,106,13,83
LONG BEACH,3850152A,1496,192,N,0,VBM PORTION,63,9,49
LONG BEACH,3850152A,1496,192,N,886,TOTAL,169,22,132
LONG BEACH,3850153A,1497,189,N,1101,POLLING PLACE,216,56,132
LONG BEACH,3850153A,1497,189,N,0,VBM PORTION,169,67,86
LONG BEACH,3850153A,1497,189,N,1101,TOTAL,385,123,218
LONG BEACH,3850154A,1498,192,N,544,POLLING PLACE,51,4,35
LONG BEACH,3850154A,1498,192,N,0,VBM PORTION,27,7,18
LONG BEACH,3850154A,1498,192,N,544,TOTAL,78,11,53
LONG BEACH,3850154B,1499,192,N,547,POLLING PLACE,24,1,14
LONG BEACH,3850154B,1499,192,N,0,VBM PORTION,14,3,11
LONG BEACH,3850154B,1499,192,N,547,TOTAL,38,4,25
LONG BEACH,3850156A,1500,192,N,440,POLLING PLACE,22,3,15
LONG BEACH,3850156A,1500,192,N,0,VBM PORTION,15,1,14
LONG BEACH,3850156A,1500,192,N,440,TOTAL,37,4,29
LONG BEACH,3850157A,1501,192,N,1215,POLLING PLACE,93,12,78
LONG BEACH,3850157A,1501,192,N,0,VBM PORTION,79,6,69
LONG BEACH,3850157A,1501,192,N,1215,TOTAL,172,18,147
LONG BEACH,3850158A,1502,192,N,1071,POLLING PLACE,74,10,54
LONG BEACH,3850158A,1502,192,N,0,VBM PORTION,53,12,36
LONG BEACH,3850158A,1502,192,N,1071,TOTAL,127,22,90
LONG BEACH,3850159A,1503,192,N,853,POLLING PLACE,24,4,20
LONG BEACH,3850159A,1503,192,N,0,VBM PORTION,41,3,32
LONG BEACH,3850159A,1503,192,N,853,TOTAL,65,7,52
LONG BEACH,3850163A,1504,192,N,1011,POLLING PLACE,89,17,66
LONG BEACH,3850163A,1504,192,N,0,VBM PORTION,95,20,72
LONG BEACH,3850163A,1504,192,N,1011,TOTAL,184,37,138
LONG BEACH,3850164A,1505,192,N,1058,POLLING PLACE,48,8,29
LONG BEACH,3850164A,1505,192,N,0,VBM PORTION,49,9,37
LONG BEACH,3850164A,1505,192,N,1058,TOTAL,97,17,66
LONG BEACH,3850166B,1506,192,N,1101,POLLING PLACE,73,14,49
LONG BEACH,3850166B,1506,192,N,0,VBM PORTION,50,14,35
LONG BEACH,3850166B,1506,192,N,1101,TOTAL,123,28,84
LONG BEACH,3850170A,1507,192,N,1322,POLLING PLACE,100,10,71
LONG BEACH,3850170A,1507,192,N,0,VBM PORTION,44,9,31
LONG BEACH,3850170A,1507,192,N,1322,TOTAL,144,19,102
LONG BEACH,3850171A,1508,192,N,973,POLLING PLACE,40,1,29
LONG BEACH,3850171A,1508,192,N,0,VBM PORTION,47,3,40
LONG BEACH,3850171A,1508,192,N,973,TOTAL,87,4,69
LONG BEACH,3850175A,1509,192,N,894,POLLING PLACE,59,11,44
LONG BEACH,3850175A,1509,192,N,0,VBM PORTION,66,13,49
LONG BEACH,3850175A,1509,192,N,894,TOTAL,125,24,93
LONG BEACH,3850178A,1510,192,N,899,POLLING PLACE,76,12,56
LONG BEACH,3850178A,1510,192,N,0,VBM PORTION,70,12,53
LONG BEACH,3850178A,1510,192,N,899,TOTAL,146,24,109
LONG BEACH,3850179A,1511,192,N,1074,POLLING PLACE,90,16,68
LONG BEACH,3850179A,1511,192,N,0,VBM PORTION,164,63,91
LONG BEACH,3850179A,1511,192,N,1074,TOTAL,254,79,159
LONG BEACH,3850184A,1512,192,N,789,POLLING PLACE,90,16,65
LONG BEACH,3850184A,1512,192,N,0,VBM PORTION,100,30,66
LONG BEACH,3850184A,1512,192,N,789,TOTAL,190,46,131
LONG BEACH,3850190A,1513,192,N,784,POLLING PLACE,79,4,64
LONG BEACH,3850190A,1513,192,N,0,VBM PORTION,50,12,34
LONG BEACH,3850190A,1513,192,N,784,TOTAL,129,16,98
LONG BEACH,3850198A,1514,192,N,896,POLLING PLACE,111,32,72
LONG BEACH,3850198A,1514,192,N,0,VBM PORTION,119,39,72
LONG BEACH,3850198A,1514,192,N,896,TOTAL,230,71,144
LONG BEACH,3850201A,1515,192,N,985,POLLING PLACE,92,23,59
LONG BEACH,3850201A,1515,192,N,0,VBM PORTION,130,39,84
LONG BEACH,3850201A,1515,192,N,985,TOTAL,222,62,143
LONG BEACH,3850201C,6103,192,Y,0,POLLING PLACE,0,0,0
LONG BEACH,3850201C,6103,192,Y,0,VBM PORTION,0,0,0
LONG BEACH,3850201C,6103,192,Y,0,TOTAL,0,0,0
LONG BEACH,3850202A,1516,192,N,1010,POLLING PLACE,76,13,56
LONG BEACH,3850202A,1516,192,N,0,VBM PORTION,84,15,64
LONG BEACH,3850202A,1516,192,N,1010,TOTAL,160,28,120
LONG BEACH,3850204A,1517,192,N,1431,POLLING PLACE,120,19,92
LONG BEACH,3850204A,1517,192,N,0,VBM PORTION,150,27,115
LONG BEACH,3850204A,1517,192,N,1431,TOTAL,270,46,207
LONG BEACH,3850209B,1518,192,N,981,POLLING PLACE,145,43,93
LONG BEACH,3850209B,1518,192,N,0,VBM PORTION,139,40,89
LONG BEACH,3850209B,1518,192,N,981,TOTAL,284,83,182
LONG BEACH,3850210A,1519,192,N,768,POLLING PLACE,137,22,106
LONG BEACH,3850210A,1519,192,N,0,VBM PORTION,132,27,99
LONG BEACH,3850210A,1519,192,N,768,TOTAL,269,49,205
LONG BEACH,3850211A,1520,192,N,791,POLLING PLACE,94,15,68
LONG BEACH,3850211A,1520,192,N,0,VBM PORTION,76,16,56
LONG BEACH,3850211A,1520,192,N,791,TOTAL,170,31,124
LONG BEACH,3850212A,1521,192,N,875,POLLING PLACE,105,23,67
LONG BEACH,3850212A,1521,192,N,0,VBM PORTION,89,17,69
LONG BEACH,3850212A,1521,192,N,875,TOTAL,194,40,136
LONG BEACH,3850213A,1522,192,N,879,POLLING PLACE,150,52,87
LONG BEACH,3850213A,1522,192,N,0,VBM PORTION,171,60,98
LONG BEACH,3850213A,1522,192,N,879,TOTAL,321,112,185
LONG BEACH,3850215A,1523,189,N,1539,POLLING PLACE,239,105,112
LONG BEACH,3850215A,1523,189,N,0,VBM PORTION,422,209,198
LONG BEACH,3850215A,1523,189,N,1539,TOTAL,661,314,310
LONG BEACH,3850216A,1524,192,N,1282,POLLING PLACE,253,89,145
LONG BEACH,3850216A,1524,192,N,0,VBM PORTION,216,87,116
LONG BEACH,3850216A,1524,192,N,1282,TOTAL,469,176,261
LONG BEACH,3850222B,1525,192,N,895,POLLING PLACE,105,25,69
LONG BEACH,3850222B,1525,192,N,0,VBM PORTION,131,38,87
LONG BEACH,3850222B,1525,192,N,895,TOTAL,236,63,156
LONG BEACH,3850223A,1526,192,N,1014,POLLING PLACE,236,69,154
LONG BEACH,3850223A,1526,192,N,0,VBM PORTION,152,47,96
LONG BEACH,3850223A,1526,192,N,1014,TOTAL,388,116,250
LONG BEACH,3850227A,1527,192,N,1203,POLLING PLACE,137,24,103
LONG BEACH,3850227A,1527,192,N,0,VBM PORTION,92,17,72
LONG BEACH,3850227A,1527,192,N,1203,TOTAL,229,41,175
LONG BEACH,3850229A,1528,192,N,733,POLLING PLACE,68,10,57
LONG BEACH,3850229A,1528,192,N,0,VBM PORTION,74,7,63
LONG BEACH,3850229A,1528,192,N,733,TOTAL,142,17,120
LONG BEACH,3850236A,1529,192,N,1041,POLLING PLACE,40,5,28
LONG BEACH,3850236A,1529,192,N,0,VBM PORTION,38,10,21
LONG BEACH,3850236A,1529,192,N,1041,TOTAL,78,15,49
LONG BEACH,3850237B,1530,192,N,672,POLLING PLACE,69,8,54
LONG BEACH,3850237B,1530,192,N,0,VBM PORTION,50,11,34
LONG BEACH,3850237B,1530,192,N,672,TOTAL,119,19,88
LONG BEACH,3850238A,1531,192,N,946,POLLING PLACE,57,7,46
LONG BEACH,3850238A,1531,192,N,0,VBM PORTION,63,9,52
LONG BEACH,3850238A,1531,192,N,946,TOTAL,120,16,98
LONG BEACH,3850239A,1532,192,N,1016,POLLING PLACE,59,6,47
LONG BEACH,3850239A,1532,192,N,0,VBM PORTION,86,18,62
LONG BEACH,3850239A,1532,192,N,1016,TOTAL,145,24,109
LONG BEACH,3850244A,1533,192,N,1712,POLLING PLACE,94,24,59
LONG BEACH,3850244A,1533,192,N,0,VBM PORTION,164,19,128
LONG BEACH,3850244A,1533,192,N,1712,TOTAL,258,43,187
LONG BEACH,3850248A,1534,192,N,793,POLLING PLACE,108,25,78
LONG BEACH,3850248A,1534,192,N,0,VBM PORTION,86,24,58
LONG BEACH,3850248A,1534,192,N,793,TOTAL,194,49,136
LONG BEACH,3850249A,1535,192,N,1017,POLLING PLACE,89,14,68
LONG BEACH,3850249A,1535,192,N,0,VBM PORTION,48,12,32
LONG BEACH,3850249A,1535,192,N,1017,TOTAL,137,26,100
LONG BEACH,3850251A,1536,192,N,886,POLLING PLACE,127,22,98
LONG BEACH,3850251A,1536,192,N,0,VBM PORTION,87,19,59
LONG BEACH,3850251A,1536,192,N,886,TOTAL,214,41,157
LONG BEACH,3850254A,1537,189,N,1405,POLLING PLACE,322,156,131
LONG BEACH,3850254A,1537,189,N,0,VBM PORTION,339,193,129
LONG BEACH,3850254A,1537,189,N,1405,TOTAL,661,349,260
LONG BEACH,3850255A,1538,189,N,1416,POLLING PLACE,252,122,99
LONG BEACH,3850255A,1538,189,N,0,VBM PORTION,331,171,138
