LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOAN M CHROSTEK,EMMA CASTRO
ALHAMBRA,0150045A,50,76,N,749,POLLING PLACE,43,18,18
ALHAMBRA,0150045A,50,76,N,0,VBM PORTION,56,27,16
ALHAMBRA,0150045A,50,76,N,749,TOTAL,99,45,34
ALHAMBRA,0150049A,51,76,N,961,POLLING PLACE,58,22,17
ALHAMBRA,0150049A,51,76,N,0,VBM PORTION,83,32,26
ALHAMBRA,0150049A,51,76,N,961,TOTAL,141,54,43
ALHAMBRA,0150051A,52,76,N,1223,POLLING PLACE,85,25,41
ALHAMBRA,0150051A,52,76,N,0,VBM PORTION,68,23,27
ALHAMBRA,0150051A,52,76,N,1223,TOTAL,153,48,68
ALHAMBRA,0150055A,53,76,N,924,POLLING PLACE,88,32,42
ALHAMBRA,0150055A,53,76,N,0,VBM PORTION,63,24,31
ALHAMBRA,0150055A,53,76,N,924,TOTAL,151,56,73
ALHAMBRA,0150056A,54,76,N,1172,POLLING PLACE,76,32,28
ALHAMBRA,0150056A,54,76,N,0,VBM PORTION,51,12,20
ALHAMBRA,0150056A,54,76,N,1172,TOTAL,127,44,48
ALHAMBRA,0150059B,55,76,N,1047,POLLING PLACE,72,25,29
ALHAMBRA,0150059B,55,76,N,0,VBM PORTION,55,20,19
ALHAMBRA,0150059B,55,76,N,1047,TOTAL,127,45,48
ALHAMBRA,0150063A,56,76,N,597,POLLING PLACE,25,8,13
ALHAMBRA,0150063A,56,76,N,0,VBM PORTION,41,11,19
ALHAMBRA,0150063A,56,76,N,597,TOTAL,66,19,32
ALHAMBRA,0150064A,57,76,N,1230,POLLING PLACE,110,28,54
ALHAMBRA,0150064A,57,76,N,0,VBM PORTION,49,15,25
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,43,79
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,31,27
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,43,35
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,74,62
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,45,44
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,37,26
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,82,70
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,24,21
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,61,44
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,85,65
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,30,28
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,31,25
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,61,53
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,13,16
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,14,14
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,27,30
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,20,35
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,14,21
ALTADENA,0200001A,63,33,N,500,TOTAL,118,34,56
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,12,26
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,39,34
ALTADENA,0200002A,64,33,N,692,TOTAL,152,51,60
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,31,36
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,28,29
ALTADENA,0200003A,65,33,N,854,TOTAL,161,59,65
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,55,59
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,77,70
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,132,129
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,37,58
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,48,43
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,85,101
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,23,34
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,18,27
ALTADENA,0200008A,68,33,N,873,TOTAL,135,41,61
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,31,38
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,24,28
ALTADENA,0200009A,69,33,N,969,TOTAL,151,55,66
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,23,35
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,27,47
ALTADENA,0200011A,70,33,N,860,TOTAL,178,50,82
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,37,48
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,36,39
ALTADENA,0200012A,71,33,N,819,TOTAL,194,73,87
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,14,33
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,9,19
ALTADENA,0200013A,72,33,N,931,TOTAL,109,23,52
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,33,44
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,42,43
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,75,87
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,17,26
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,21,18
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,38,44
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,13,31
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,13,21
ALTADENA,0200018A,75,33,N,852,TOTAL,93,26,52
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,19,27
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,11,11
ALTADENA,0200019B,76,33,N,872,TOTAL,81,30,38
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,38,54
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,38,46
ALTADENA,0200022A,77,33,N,866,TOTAL,243,76,100
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,24,48
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,18,15
ALTADENA,0200025B,78,33,N,915,TOTAL,136,42,63
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,61,91
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,62,93
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,123,184
ALTADENA,0200030A,80,33,N,889,POLLING PLACE,118,41,54
ALTADENA,0200030A,80,33,N,0,VBM PORTION,143,50,57
ALTADENA,0200030A,80,33,N,889,TOTAL,261,91,111
ALTADENA,0200031A,6012,44,Y,3,POLLING PLACE,0,0,0
ALTADENA,0200031A,6012,44,Y,0,VBM PORTION,0,0,0
ALTADENA,0200031A,6012,44,Y,3,TOTAL,0,0,0
ALTADENA,0200032A,81,33,N,1378,POLLING PLACE,196,57,108
ALTADENA,0200032A,81,33,N,0,VBM PORTION,153,45,65
ALTADENA,0200032A,81,33,N,1378,TOTAL,349,102,173
ALTADENA,0200038B,82,33,N,1195,POLLING PLACE,180,50,85
ALTADENA,0200038B,82,33,N,0,VBM PORTION,134,43,61
ALTADENA,0200038B,82,33,N,1195,TOTAL,314,93,146
ALTADENA,0200039A,83,33,N,1132,POLLING PLACE,145,56,61
ALTADENA,0200039A,83,33,N,0,VBM PORTION,117,36,48
ALTADENA,0200039A,83,33,N,1132,TOTAL,262,92,109
ALTADENA,0200044A,84,33,N,985,POLLING PLACE,77,30,38
ALTADENA,0200044A,84,33,N,0,VBM PORTION,59,14,27
ALTADENA,0200044A,84,33,N,985,TOTAL,136,44,65
ALTADENA,0200051A,85,33,N,1218,POLLING PLACE,131,33,72
ALTADENA,0200051A,85,33,N,0,VBM PORTION,151,48,68
ALTADENA,0200051A,85,33,N,1218,TOTAL,282,81,140
ALTADENA,0200086A,86,33,N,1189,POLLING PLACE,153,44,73
ALTADENA,0200086A,86,33,N,0,VBM PORTION,152,44,74
ALTADENA,0200086A,86,33,N,1189,TOTAL,305,88,147
ALTADENA,0200086B,6013,33,Y,22,POLLING PLACE,0,0,0
ALTADENA,0200086B,6013,33,Y,0,VBM PORTION,8,3,1
ALTADENA,0200086B,6013,33,Y,22,TOTAL,8,3,1
ALTADENA,0200087A,87,33,N,703,POLLING PLACE,92,24,38
ALTADENA,0200087A,87,33,N,0,VBM PORTION,61,19,27
ALTADENA,0200087A,87,33,N,703,TOTAL,153,43,65
ALTADENA,0200088B,88,33,N,1376,POLLING PLACE,144,43,61
ALTADENA,0200088B,88,33,N,0,VBM PORTION,145,42,62
ALTADENA,0200088B,88,33,N,1376,TOTAL,289,85,123
ALTADENA,0200090A,89,33,N,1130,POLLING PLACE,137,40,62
ALTADENA,0200090A,89,33,N,0,VBM PORTION,111,43,47
ALTADENA,0200090A,89,33,N,1130,TOTAL,248,83,109
ALTADENA,0200091A,90,33,N,1298,POLLING PLACE,166,45,85
ALTADENA,0200091A,90,33,N,0,VBM PORTION,116,43,48
ALTADENA,0200091A,90,33,N,1298,TOTAL,282,88,133
ANTELOPE,0300002A,91,3,N,834,POLLING PLACE,126,71,26
ANTELOPE,0300002A,91,3,N,0,VBM PORTION,117,80,20
ANTELOPE,0300002A,91,3,N,834,TOTAL,243,151,46
ANTELOPE,0300003A,6014,3,Y,66,POLLING PLACE,0,0,0
ANTELOPE,0300003A,6014,3,Y,0,VBM PORTION,15,10,1
ANTELOPE,0300003A,6014,3,Y,66,TOTAL,15,10,1
ARCADIA,0350001A,92,76,N,998,POLLING PLACE,124,53,39
ARCADIA,0350001A,92,76,N,0,VBM PORTION,145,66,41
ARCADIA,0350001A,92,76,N,998,TOTAL,269,119,80
ARCADIA,0350005A,93,76,N,1240,POLLING PLACE,96,36,38
ARCADIA,0350005A,93,76,N,0,VBM PORTION,165,67,37
ARCADIA,0350005A,93,76,N,1240,TOTAL,261,103,75
ARCADIA,0350007A,94,76,N,1143,POLLING PLACE,88,37,17
ARCADIA,0350007A,94,76,N,0,VBM PORTION,156,81,35
ARCADIA,0350007A,94,76,N,1143,TOTAL,244,118,52
ARCADIA,0350008A,95,76,N,1256,POLLING PLACE,170,70,62
ARCADIA,0350008A,95,76,N,0,VBM PORTION,159,67,34
ARCADIA,0350008A,95,76,N,1256,TOTAL,329,137,96
ARCADIA,0350009A,96,76,N,1456,POLLING PLACE,98,38,37
ARCADIA,0350009A,96,76,N,0,VBM PORTION,173,83,29
ARCADIA,0350009A,96,76,N,1456,TOTAL,271,121,66
ARCADIA,0350013A,97,76,N,1231,POLLING PLACE,125,64,30
ARCADIA,0350013A,97,76,N,0,VBM PORTION,135,64,25
ARCADIA,0350013A,97,76,N,1231,TOTAL,260,128,55
ARCADIA,0350018A,98,76,N,1403,POLLING PLACE,134,52,46
ARCADIA,0350018A,98,76,N,0,VBM PORTION,242,90,49
ARCADIA,0350018A,98,76,N,1403,TOTAL,376,142,95
ARCADIA,0350023A,99,76,N,1456,POLLING PLACE,82,41,20
ARCADIA,0350023A,99,76,N,0,VBM PORTION,139,66,38
ARCADIA,0350023A,99,76,N,1456,TOTAL,221,107,58
ARCADIA,0350024A,100,76,N,1485,POLLING PLACE,80,26,28
ARCADIA,0350024A,100,76,N,0,VBM PORTION,134,54,43
ARCADIA,0350024A,100,76,N,1485,TOTAL,214,80,71
ARCADIA,0350029B,101,76,N,1373,POLLING PLACE,120,66,28
ARCADIA,0350029B,101,76,N,0,VBM PORTION,140,63,32
ARCADIA,0350029B,101,76,N,1373,TOTAL,260,129,60
ARCADIA,0350030A,102,76,N,1307,POLLING PLACE,74,34,22
ARCADIA,0350030A,102,76,N,0,VBM PORTION,116,44,39
ARCADIA,0350030A,102,76,N,1307,TOTAL,190,78,61
ARCADIA,0350035A,103,76,N,1078,POLLING PLACE,93,40,25
ARCADIA,0350035A,103,76,N,0,VBM PORTION,115,52,27
ARCADIA,0350035A,103,76,N,1078,TOTAL,208,92,52
ARCADIA,0350037A,104,76,N,1210,POLLING PLACE,91,50,24
ARCADIA,0350037A,104,76,N,0,VBM PORTION,110,44,38
ARCADIA,0350037A,104,76,N,1210,TOTAL,201,94,62
ARCADIA,0350038A,105,76,N,1246,POLLING PLACE,111,49,28
ARCADIA,0350038A,105,76,N,0,VBM PORTION,120,51,34
ARCADIA,0350038A,105,76,N,1246,TOTAL,231,100,62
ARCADIA,0350042A,106,76,N,1251,POLLING PLACE,70,22,26
ARCADIA,0350042A,106,76,N,0,VBM PORTION,67,27,31
ARCADIA,0350042A,106,76,N,1251,TOTAL,137,49,57
ARCADIA,0350043C,107,76,N,1204,POLLING PLACE,68,24,26
ARCADIA,0350043C,107,76,N,0,VBM PORTION,67,29,20
ARCADIA,0350043C,107,76,N,1204,TOTAL,135,53,46
ARCADIA,0350045B,108,76,N,1355,POLLING PLACE,88,29,26
ARCADIA,0350045B,108,76,N,0,VBM PORTION,146,63,38
ARCADIA,0350045B,108,76,N,1355,TOTAL,234,92,64
ARCADIA,0350048A,109,76,N,1098,POLLING PLACE,112,49,25
ARCADIA,0350048A,109,76,N,0,VBM PORTION,92,40,17
ARCADIA,0350048A,109,76,N,1098,TOTAL,204,89,42
ARCADIA,0350054A,110,76,N,1254,POLLING PLACE,135,66,40
ARCADIA,0350054A,110,76,N,0,VBM PORTION,152,47,44
ARCADIA,0350054A,110,76,N,1254,TOTAL,287,113,84
ARCADIA,0350058A,111,76,N,1346,POLLING PLACE,119,46,34
ARCADIA,0350058A,111,76,N,0,VBM PORTION,114,35,34
ARCADIA,0350058A,111,76,N,1346,TOTAL,233,81,68
ARCADIA,0350062B,112,76,N,1218,POLLING PLACE,81,33,30
ARCADIA,0350062B,112,76,N,0,VBM PORTION,115,43,35
ARCADIA,0350062B,112,76,N,1218,TOTAL,196,76,65
ARCADIA,0350079A,113,76,N,1247,POLLING PLACE,107,44,34
ARCADIA,0350079A,113,76,N,0,VBM PORTION,123,60,36
ARCADIA,0350079A,113,76,N,1247,TOTAL,230,104,70
ARCADIA,0350104A,114,76,N,1310,POLLING PLACE,114,39,46
ARCADIA,0350104A,114,76,N,0,VBM PORTION,127,50,37
ARCADIA,0350104A,114,76,N,1310,TOTAL,241,89,83
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,20,45
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,6,17
ARTESIA,0400001A,115,137,N,819,TOTAL,113,26,62
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,36,26
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,59,44
ARTESIA,0400002A,116,137,N,1182,TOTAL,215,95,70
ARTESIA,0400004A,117,137,N,1004,POLLING PLACE,89,26,28
ARTESIA,0400004A,117,137,N,0,VBM PORTION,66,22,26
ARTESIA,0400004A,117,137,N,1004,TOTAL,155,48,54
ARTESIA,0400006A,118,137,N,1042,POLLING PLACE,77,26,34
