LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RUDY MELENDEZ,P CONLEY ULICH,YUVAL D KREMER,SHEILA KUEHL,DOUG FAY,ERIC PREVEN,JOHN DURAN,BOBBY SHRIVER
AGOURA HILLS,0080034A,15,88,N,1078,POLLING PLACE,130,1,4,3,54,2,1,17,31
AGOURA HILLS,0080034A,15,88,N,0,VBM PORTION,105,1,1,4,43,1,0,8,12
AGOURA HILLS,0080034A,15,88,N,1078,TOTAL,235,2,5,7,97,3,1,25,43
AGOURA HILLS,0080038A,16,88,N,1281,POLLING PLACE,144,3,4,4,54,3,1,21,37
AGOURA HILLS,0080038A,16,88,N,0,VBM PORTION,148,1,7,11,55,4,0,21,21
AGOURA HILLS,0080038A,16,88,N,1281,TOTAL,292,4,11,15,109,7,1,42,58
AGOURA HILLS,0080043A,17,88,N,1447,POLLING PLACE,166,9,11,7,59,5,1,21,24
AGOURA HILLS,0080043A,17,88,N,0,VBM PORTION,140,4,10,5,40,1,5,24,26
AGOURA HILLS,0080043A,17,88,N,1447,TOTAL,306,13,21,12,99,6,6,45,50
AGOURA HILLS,0080047A,18,88,N,845,POLLING PLACE,88,2,6,4,27,2,1,24,13
AGOURA HILLS,0080047A,18,88,N,0,VBM PORTION,76,1,4,1,31,1,0,9,17
AGOURA HILLS,0080047A,18,88,N,845,TOTAL,164,3,10,5,58,3,1,33,30
AGOURA HILLS,0080050A,19,88,N,1259,POLLING PLACE,170,1,7,8,58,7,2,17,37
AGOURA HILLS,0080050A,19,88,N,0,VBM PORTION,151,1,13,5,47,2,0,26,35
AGOURA HILLS,0080050A,19,88,N,1259,TOTAL,321,2,20,13,105,9,2,43,72
AGOURA HILLS,0080052A,20,88,N,1116,POLLING PLACE,117,2,5,6,44,4,3,14,25
AGOURA HILLS,0080052A,20,88,N,0,VBM PORTION,131,4,8,7,45,4,1,15,26
AGOURA HILLS,0080052A,20,88,N,1116,TOTAL,248,6,13,13,89,8,4,29,51
AGOURA HILLS,0080053A,21,88,N,1261,POLLING PLACE,115,3,6,4,34,6,0,16,23
AGOURA HILLS,0080053A,21,88,N,0,VBM PORTION,129,1,9,4,49,4,3,11,22
AGOURA HILLS,0080053A,21,88,N,1261,TOTAL,244,4,15,8,83,10,3,27,45
AGOURA HILLS,0080070A,22,88,N,1263,POLLING PLACE,146,1,12,8,53,2,1,17,32
AGOURA HILLS,0080070A,22,88,N,0,VBM PORTION,140,4,6,2,27,0,0,35,33
AGOURA HILLS,0080070A,22,88,N,1263,TOTAL,286,5,18,10,80,2,1,52,65
BEVERLY HILLS,0900001A,270,82,N,749,POLLING PLACE,85,0,1,1,17,2,1,21,20
BEVERLY HILLS,0900001A,270,82,N,0,VBM PORTION,96,0,2,2,27,0,1,6,37
BEVERLY HILLS,0900001A,270,82,N,749,TOTAL,181,0,3,3,44,2,2,27,57
BEVERLY HILLS,0900002A,271,82,N,1322,POLLING PLACE,92,0,3,4,24,3,2,17,20
BEVERLY HILLS,0900002A,271,82,N,0,VBM PORTION,141,5,5,1,44,1,1,18,37
BEVERLY HILLS,0900002A,271,82,N,1322,TOTAL,233,5,8,5,68,4,3,35,57
BEVERLY HILLS,0900003A,272,82,N,630,POLLING PLACE,86,0,0,4,26,2,1,10,31
BEVERLY HILLS,0900003A,272,82,N,0,VBM PORTION,88,1,1,2,13,2,1,11,29
BEVERLY HILLS,0900003A,272,82,N,630,TOTAL,174,1,1,6,39,4,2,21,60
BEVERLY HILLS,0900004A,273,82,N,883,POLLING PLACE,58,0,1,3,13,0,0,10,8
BEVERLY HILLS,0900004A,273,82,N,0,VBM PORTION,131,0,3,1,20,1,1,19,58
BEVERLY HILLS,0900004A,273,82,N,883,TOTAL,189,0,4,4,33,1,1,29,66
BEVERLY HILLS,0900005A,274,82,N,1171,POLLING PLACE,178,3,6,7,52,3,1,23,53
BEVERLY HILLS,0900005A,274,82,N,0,VBM PORTION,171,0,3,7,41,2,1,27,39
BEVERLY HILLS,0900005A,274,82,N,1171,TOTAL,349,3,9,14,93,5,2,50,92
BEVERLY HILLS,0900006A,275,82,N,879,POLLING PLACE,73,1,3,4,19,0,0,9,22
BEVERLY HILLS,0900006A,275,82,N,0,VBM PORTION,114,3,9,6,32,2,1,12,33
BEVERLY HILLS,0900006A,275,82,N,879,TOTAL,187,4,12,10,51,2,1,21,55
BEVERLY HILLS,0900008A,276,82,N,1196,POLLING PLACE,123,0,4,9,30,0,0,17,20
BEVERLY HILLS,0900008A,276,82,N,0,VBM PORTION,163,0,2,2,57,2,4,24,26
BEVERLY HILLS,0900008A,276,82,N,1196,TOTAL,286,0,6,11,87,2,4,41,46
BEVERLY HILLS,0900010A,277,82,N,977,POLLING PLACE,86,3,0,10,15,2,4,14,20
BEVERLY HILLS,0900010A,277,82,N,0,VBM PORTION,125,1,3,12,30,1,0,18,18
BEVERLY HILLS,0900010A,277,82,N,977,TOTAL,211,4,3,22,45,3,4,32,38
BEVERLY HILLS,0900014A,6017,85,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900014A,6017,85,Y,2,TOTAL,0,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900016B,278,82,N,939,POLLING PLACE,84,3,5,1,20,2,1,11,21
BEVERLY HILLS,0900016B,278,82,N,0,VBM PORTION,86,0,3,2,19,2,2,12,21
BEVERLY HILLS,0900016B,278,82,N,939,TOTAL,170,3,8,3,39,4,3,23,42
BEVERLY HILLS,0900018A,279,82,N,626,POLLING PLACE,53,1,3,3,7,1,0,5,21
BEVERLY HILLS,0900018A,279,82,N,0,VBM PORTION,100,0,6,3,29,2,2,12,22
BEVERLY HILLS,0900018A,279,82,N,626,TOTAL,153,1,9,6,36,3,2,17,43
BEVERLY HILLS,0900020A,280,82,N,1230,POLLING PLACE,94,1,4,5,25,3,1,10,27
BEVERLY HILLS,0900020A,280,82,N,0,VBM PORTION,101,2,5,4,23,1,2,10,24
BEVERLY HILLS,0900020A,280,82,N,1230,TOTAL,195,3,9,9,48,4,3,20,51
BEVERLY HILLS,0900023A,281,82,N,1321,POLLING PLACE,121,1,4,6,23,3,2,19,38
BEVERLY HILLS,0900023A,281,82,N,0,VBM PORTION,115,3,2,1,36,1,2,10,35
BEVERLY HILLS,0900023A,281,82,N,1321,TOTAL,236,4,6,7,59,4,4,29,73
BEVERLY HILLS,0900023B,282,82,N,1022,POLLING PLACE,93,1,5,2,24,1,0,16,26
BEVERLY HILLS,0900023B,282,82,N,0,VBM PORTION,153,0,5,9,54,0,1,21,40
BEVERLY HILLS,0900023B,282,82,N,1022,TOTAL,246,1,10,11,78,1,1,37,66
BEVERLY HILLS,0900026A,283,82,N,1405,POLLING PLACE,149,2,7,2,49,6,3,14,38
BEVERLY HILLS,0900026A,283,82,N,0,VBM PORTION,113,1,7,4,34,2,1,5,29
BEVERLY HILLS,0900026A,283,82,N,1405,TOTAL,262,3,14,6,83,8,4,19,67
BEVERLY HILLS,0900030A,284,82,N,1083,POLLING PLACE,130,4,5,5,39,2,1,14,30
BEVERLY HILLS,0900030A,284,82,N,0,VBM PORTION,105,0,1,6,20,1,1,15,33
BEVERLY HILLS,0900030A,284,82,N,1083,TOTAL,235,4,6,11,59,3,2,29,63
BEVERLY HILLS,0900033B,6018,83,Y,10,POLLING PLACE,0,0,0,0,0,0,0,0,0
BEVERLY HILLS,0900033B,6018,83,Y,0,VBM PORTION,4,1,0,0,1,0,0,1,1
BEVERLY HILLS,0900033B,6018,83,Y,10,TOTAL,4,1,0,0,1,0,0,1,1
BEVERLY HILLS,0900033I,285,82,N,1100,POLLING PLACE,111,1,2,6,43,0,1,21,25
BEVERLY HILLS,0900033I,285,82,N,0,VBM PORTION,133,0,1,4,37,1,0,15,51
BEVERLY HILLS,0900033I,285,82,N,1100,TOTAL,244,1,3,10,80,1,1,36,76
BEVERLY HILLS,0900036A,286,82,N,1297,POLLING PLACE,105,1,2,4,39,8,0,12,22
BEVERLY HILLS,0900036A,286,82,N,0,VBM PORTION,127,1,4,7,39,0,0,14,35
BEVERLY HILLS,0900036A,286,82,N,1297,TOTAL,232,2,6,11,78,8,0,26,57
BEVERLY HILLS,0900037G,287,82,N,1228,POLLING PLACE,142,2,6,7,47,6,1,16,33
BEVERLY HILLS,0900037G,287,82,N,0,VBM PORTION,152,0,7,4,51,4,3,19,40
BEVERLY HILLS,0900037G,287,82,N,1228,TOTAL,294,2,13,11,98,10,4,35,73
BEVERLY HILLS,0900041A,288,82,N,1420,POLLING PLACE,143,1,9,7,41,3,2,16,37
BEVERLY HILLS,0900041A,288,82,N,0,VBM PORTION,143,2,6,7,50,2,1,16,26
BEVERLY HILLS,0900041A,288,82,N,1420,TOTAL,286,3,15,14,91,5,3,32,63
BEVERLY HILLS,0900046A,289,82,N,1228,POLLING PLACE,78,2,3,3,18,2,3,7,14
BEVERLY HILLS,0900046A,289,82,N,0,VBM PORTION,106,1,4,2,20,1,0,11,34
BEVERLY HILLS,0900046A,289,82,N,1228,TOTAL,184,3,7,5,38,3,3,18,48
CALABASAS,1000001E,347,58,N,1263,POLLING PLACE,69,2,6,5,16,2,1,8,13
CALABASAS,1000001E,347,58,N,0,VBM PORTION,134,3,7,6,30,0,0,23,39
CALABASAS,1000001E,347,58,N,1263,TOTAL,203,5,13,11,46,2,1,31,52
CALABASAS,1000004A,6019,88,Y,177,POLLING PLACE,0,0,0,0,0,0,0,0,0
CALABASAS,1000004A,6019,88,Y,0,VBM PORTION,38,0,0,4,3,0,1,10,6
CALABASAS,1000004A,6019,88,Y,177,TOTAL,38,0,0,4,3,0,1,10,6
CALABASAS,1000006A,348,58,N,1503,POLLING PLACE,137,3,4,2,53,4,1,20,31
CALABASAS,1000006A,348,58,N,0,VBM PORTION,272,2,12,9,84,6,2,38,70
CALABASAS,1000006A,348,58,N,1503,TOTAL,409,5,16,11,137,10,3,58,101
CALABASAS,1000007A,349,58,N,1306,POLLING PLACE,114,1,4,9,29,7,2,16,30
CALABASAS,1000007A,349,58,N,0,VBM PORTION,107,0,5,3,28,6,1,14,18
CALABASAS,1000007A,349,58,N,1306,TOTAL,221,1,9,12,57,13,3,30,48
CALABASAS,1000008A,350,58,N,1163,POLLING PLACE,120,2,13,3,26,2,1,23,42
CALABASAS,1000008A,350,58,N,0,VBM PORTION,175,0,9,11,49,1,0,27,39
CALABASAS,1000008A,350,58,N,1163,TOTAL,295,2,22,14,75,3,1,50,81
CALABASAS,1000009A,351,58,N,573,POLLING PLACE,70,1,2,2,17,2,1,13,24
CALABASAS,1000009A,351,58,N,0,VBM PORTION,65,1,7,2,17,2,1,11,16
CALABASAS,1000009A,351,58,N,573,TOTAL,135,2,9,4,34,4,2,24,40
CALABASAS,1000010A,352,58,N,813,POLLING PLACE,90,2,6,8,22,5,1,14,22
CALABASAS,1000010A,352,58,N,0,VBM PORTION,118,3,10,4,31,6,3,9,30
CALABASAS,1000010A,352,58,N,813,TOTAL,208,5,16,12,53,11,4,23,52
CALABASAS,1000011A,353,58,N,592,POLLING PLACE,71,0,2,6,21,5,1,14,12
CALABASAS,1000011A,353,58,N,0,VBM PORTION,43,0,5,1,9,1,0,4,10
CALABASAS,1000011A,353,58,N,592,TOTAL,114,0,7,7,30,6,1,18,22
CALABASAS,1000012A,354,58,N,930,POLLING PLACE,79,1,3,1,19,0,1,9,15
CALABASAS,1000012A,354,58,N,0,VBM PORTION,100,0,11,7,18,1,0,17,17
CALABASAS,1000012A,354,58,N,930,TOTAL,179,1,14,8,37,1,1,26,32
CALABASAS,1000013A,355,58,N,1187,POLLING PLACE,105,1,6,3,29,5,1,19,17
CALABASAS,1000013A,355,58,N,0,VBM PORTION,93,4,11,0,26,1,2,6,27
CALABASAS,1000013A,355,58,N,1187,TOTAL,198,5,17,3,55,6,3,25,44
CALABASAS,1000016A,356,58,N,1218,POLLING PLACE,156,1,7,6,54,4,3,17,49
CALABASAS,1000016A,356,58,N,0,VBM PORTION,202,2,12,7,73,2,1,19,52
CALABASAS,1000016A,356,58,N,1218,TOTAL,358,3,19,13,127,6,4,36,101
CALABASAS,1000033A,357,58,N,1036,POLLING PLACE,92,0,4,10,14,4,2,12,29
CALABASAS,1000033A,357,58,N,0,VBM PORTION,115,1,5,4,31,4,3,9,32
CALABASAS,1000033A,357,58,N,1036,TOTAL,207,1,9,14,45,8,5,21,61
CALABASAS,1000075A,358,58,N,937,POLLING PLACE,104,1,4,2,23,1,1,11,47
CALABASAS,1000075A,358,58,N,0,VBM PORTION,115,3,6,9,30,3,1,7,33
CALABASAS,1000075A,358,58,N,937,TOTAL,219,4,10,11,53,4,2,18,80
CALABASAS,1000076A,359,58,N,1287,POLLING PLACE,141,0,5,5,38,2,0,21,35
CALABASAS,1000076A,359,58,N,0,VBM PORTION,194,0,9,5,54,0,1,39,53
CALABASAS,1000076A,359,58,N,1287,TOTAL,335,0,14,10,92,2,1,60,88
CALABASAS,1000077A,360,58,N,929,POLLING PLACE,107,1,7,3,25,2,3,18,30
CALABASAS,1000077A,360,58,N,0,VBM PORTION,100,2,3,2,24,2,3,14,24
CALABASAS,1000077A,360,58,N,929,TOTAL,207,3,10,5,49,4,6,32,54
FRANKLIN,2400001A,6055,82,Y,2,POLLING PLACE,0,0,0,0,0,0,0,0,0
FRANKLIN,2400001A,6055,82,Y,0,VBM PORTION,1,0,0,0,1,0,0,0,0
FRANKLIN,2400001A,6055,82,Y,2,TOTAL,1,0,0,0,1,0,0,0,0
GILMORE,2520001A,6056,82,Y,0,POLLING PLACE,0,0,0,0,0,0,0,0,0
GILMORE,2520001A,6056,82,Y,0,VBM PORTION,0,0,0,0,0,0,0,0,0
GILMORE,2520001A,6056,82,Y,0,TOTAL,0,0,0,0,0,0,0,0,0
HIDDEN HILLS,2780001A,1089,56,N,610,POLLING PLACE,60,0,2,0,22,0,1,10,16
HIDDEN HILLS,2780001A,1089,56,N,0,VBM PORTION,63,0,9,7,18,0,0,6,12
HIDDEN HILLS,2780001A,1089,56,N,610,TOTAL,123,0,11,7,40,0,1,16,28
HIDDEN HILLS,2780002A,1090,56,N,726,POLLING PLACE,86,0,6,4,31,1,3,7,16
HIDDEN HILLS,2780002A,1090,56,N,0,VBM PORTION,59,0,4,5,15,0,2,8,16
HIDDEN HILLS,2780002A,1090,56,N,726,TOTAL,145,0,10,9,46,1,5,15,32
MALIBU,4050002A,1700,88,N,824,POLLING PLACE,106,1,9,3,27,1,6,7,37
MALIBU,4050002A,1700,88,N,0,VBM PORTION,110,0,9,2,39,3,0,7,30
MALIBU,4050002A,1700,88,N,824,TOTAL,216,1,18,5,66,4,6,14,67
MALIBU,4050003A,1701,88,N,721,POLLING PLACE,129,0,23,1,35,3,4,13,34
MALIBU,4050003A,1701,88,N,0,VBM PORTION,84,1,10,3,19,3,0,5,22
MALIBU,4050003A,1701,88,N,721,TOTAL,213,1,33,4,54,6,4,18,56
MALIBU,4050004A,1702,88,N,634,POLLING PLACE,98,2,6,2,34,2,0,12,25
MALIBU,4050004A,1702,88,N,0,VBM PORTION,111,3,12,0,32,2,1,10,27
MALIBU,4050004A,1702,88,N,634,TOTAL,209,5,18,2,66,4,1,22,52
MALIBU,4050014A,1703,88,N,947,POLLING PLACE,95,2,23,0,22,5,3,11,17
MALIBU,4050014A,1703,88,N,0,VBM PORTION,103,1,14,0,26,0,0,11,35
MALIBU,4050014A,1703,88,N,947,TOTAL,198,3,37,0,48,5,3,22,52
MALIBU,4050051A,1704,88,N,1361,POLLING PLACE,179,3,46,6,51,1,1,23,35
MALIBU,4050051A,1704,88,N,0,VBM PORTION,164,1,31,2,37,6,3,22,36
MALIBU,4050051A,1704,88,N,1361,TOTAL,343,4,77,8,88,7,4,45,71
MALIBU,4050057A,1705,88,N,951,POLLING PLACE,134,2,15,3,31,3,1,23,31
MALIBU,4050057A,1705,88,N,0,VBM PORTION,113,1,21,0,34,1,1,11,27
MALIBU,4050057A,1705,88,N,951,TOTAL,247,3,36,3,65,4,2,34,58
MALIBU,4050059B,1706,88,N,673,POLLING PLACE,56,1,9,2,10,2,1,7,14
MALIBU,4050059B,1706,88,N,0,VBM PORTION,104,0,19,1,22,1,0,8,34
MALIBU,4050059B,1706,88,N,673,TOTAL,160,1,28,3,32,3,1,15,48
MALIBU,4050062A,1707,88,N,988,POLLING PLACE,159,2,41,1,43,1,2,18,42
MALIBU,4050062A,1707,88,N,0,VBM PORTION,135,1,25,0,27,1,2,13,37
MALIBU,4050062A,1707,88,N,988,TOTAL,294,3,66,1,70,2,4,31,79
MALIBU,4050063A,1708,88,N,983,POLLING PLACE,99,0,26,1,18,5,1,13,23
MALIBU,4050063A,1708,88,N,0,VBM PORTION,154,2,24,2,43,4,3,13,35
MALIBU,4050063A,1708,88,N,983,TOTAL,253,2,50,3,61,9,4,26,58
MALIBU,4050064A,1709,88,N,1015,POLLING PLACE,147,1,36,2,29,4,3,12,35
MALIBU,4050064A,1709,88,N,0,VBM PORTION,156,1,13,5,42,4,1,21,42
MALIBU,4050064A,1709,88,N,1015,TOTAL,303,2,49,7,71,8,4,33,77
MALIBU HEIGHTS,4060001A,1710,88,N,455,POLLING PLACE,82,0,10,7,22,1,0,13,22
MALIBU HEIGHTS,4060001A,1710,88,N,0,VBM PORTION,58,1,5,5,13,4,0,4,13
MALIBU HEIGHTS,4060001A,1710,88,N,455,TOTAL,140,1,15,12,35,5,0,17,35
MALIBU HEIGHTS,4060003A,1711,88,N,765,POLLING PLACE,28,1,0,1,10,0,0,7,5
MALIBU HEIGHTS,4060003A,1711,88,N,0,VBM PORTION,38,1,7,4,4,2,0,3,5
MALIBU HEIGHTS,4060003A,1711,88,N,765,TOTAL,66,2,7,5,14,2,0,10,10
MALIBU HEIGHTS,4060004A,1712,88,N,618,POLLING PLACE,66,2,10,0,14,3,0,8,21
MALIBU HEIGHTS,4060004A,1712,88,N,0,VBM PORTION,108,0,17,0,37,2,0,6,25
MALIBU HEIGHTS,4060004A,1712,88,N,618,TOTAL,174,2,27,0,51,5,0,14,46
MALIBU HEIGHTS,4060012A,1713,88,N,380,POLLING PLACE,54,1,7,1,11,4,0,5,21
MALIBU HEIGHTS,4060012A,1713,88,N,0,VBM PORTION,62,2,5,2,25,1,0,7,6
MALIBU HEIGHTS,4060012A,1713,88,N,380,TOTAL,116,3,12,3,36,5,0,12,27
SAN FERNANDO,6050001A,2305,15,N,895,POLLING PLACE,66,13,4,1,16,3,1,7,14
SAN FERNANDO,6050001A,2305,15,N,0,VBM PORTION,49,10,0,0,19,2,0,4,9
SAN FERNANDO,6050001A,2305,15,N,895,TOTAL,115,23,4,1,35,5,1,11,23
SAN FERNANDO,6050002A,2306,15,N,787,POLLING PLACE,62,8,1,1,14,1,3,15,9
SAN FERNANDO,6050002A,2306,15,N,0,VBM PORTION,52,9,3,0,12,2,0,4,14
SAN FERNANDO,6050002A,2306,15,N,787,TOTAL,114,17,4,1,26,3,3,19,23
SAN FERNANDO,6050005A,2307,15,N,1265,POLLING PLACE,86,13,9,5,22,2,0,12,17
SAN FERNANDO,6050005A,2307,15,N,0,VBM PORTION,51,1,1,0,11,0,0,12,16
SAN FERNANDO,6050005A,2307,15,N,1265,TOTAL,137,14,10,5,33,2,0,24,33
SAN FERNANDO,6050007A,2308,15,N,1232,POLLING PLACE,90,14,5,4,17,2,0,9,30
SAN FERNANDO,6050007A,2308,15,N,0,VBM PORTION,85,6,4,2,19,4,1,14,22
SAN FERNANDO,6050007A,2308,15,N,1232,TOTAL,175,20,9,6,36,6,1,23,52
SAN FERNANDO,6050009A,2309,15,N,1178,POLLING PLACE,74,11,4,1,20,2,0,12,17
SAN FERNANDO,6050009A,2309,15,N,0,VBM PORTION,57,9,5,2,9,3,0,12,13
SAN FERNANDO,6050009A,2309,15,N,1178,TOTAL,131,20,9,3,29,5,0,24,30
SAN FERNANDO,6050010A,2310,15,N,747,POLLING PLACE,44,3,4,2,13,3,0,7,10
SAN FERNANDO,6050010A,2310,15,N,0,VBM PORTION,28,5,2,0,9,0,0,4,7
SAN FERNANDO,6050010A,2310,15,N,747,TOTAL,72,8,6,2,22,3,0,11,17
SAN FERNANDO,6050012A,2311,15,N,1013,POLLING PLACE,71,12,8,1,7,4,0,16,19
SAN FERNANDO,6050012A,2311,15,N,0,VBM PORTION,42,4,5,0,12,5,0,3,8
SAN FERNANDO,6050012A,2311,15,N,1013,TOTAL,113,16,13,1,19,9,0,19,27
SAN FERNANDO,6050013A,2312,15,N,1093,POLLING PLACE,62,13,1,3,8,4,0,6,12
SAN FERNANDO,6050013A,2312,15,N,0,VBM PORTION,55,5,5,4,15,1,0,5,9
SAN FERNANDO,6050013A,2312,15,N,1093,TOTAL,117,18,6,7,23,5,0,11,21
SAN FERNANDO,6050016A,2313,15,N,994,POLLING PLACE,83,14,7,3,12,2,0,18,11
SAN FERNANDO,6050016A,2313,15,N,0,VBM PORTION,51,4,5,0,8,2,1,7,16
SAN FERNANDO,6050016A,2313,15,N,994,TOTAL,134,18,12,3,20,4,1,25,27
SANTA MONICA,6250001A,2450,82,N,945,POLLING PLACE,176,0,9,1,54,4,0,28,63
SANTA MONICA,6250001A,2450,82,N,0,VBM PORTION,156,0,1,1,59,2,1,14,63
SANTA MONICA,6250001A,2450,82,N,945,TOTAL,332,0,10,2,113,6,1,42,126
SANTA MONICA,6250003C,2451,82,N,1050,POLLING PLACE,228,2,0,5,75,0,1,29,88
SANTA MONICA,6250003C,2451,82,N,0,VBM PORTION,187,0,3,0,63,1,0,28,73
SANTA MONICA,6250003C,2451,82,N,1050,TOTAL,415,2,3,5,138,1,1,57,161
SANTA MONICA,6250005A,2452,82,N,1264,POLLING PLACE,194,2,4,6,86,1,0,16,55
SANTA MONICA,6250005A,2452,82,N,0,VBM PORTION,128,0,4,1,54,4,0,6,41
SANTA MONICA,6250005A,2452,82,N,1264,TOTAL,322,2,8,7,140,5,0,22,96
SANTA MONICA,6250006A,2453,82,N,1150,POLLING PLACE,242,5,8,6,78,2,3,22,103
SANTA MONICA,6250006A,2453,82,N,0,VBM PORTION,147,0,1,4,41,5,1,10,60
SANTA MONICA,6250006A,2453,82,N,1150,TOTAL,389,5,9,10,119,7,4,32,163
SANTA MONICA,6250008A,2454,82,N,1214,POLLING PLACE,162,2,4,1,61,0,0,8,64
SANTA MONICA,6250008A,2454,82,N,0,VBM PORTION,198,0,6,2,67,0,2,21,76
SANTA MONICA,6250008A,2454,82,N,1214,TOTAL,360,2,10,3,128,0,2,29,140
SANTA MONICA,6250010E,2455,82,N,1176,POLLING PLACE,167,3,8,2,50,8,1,18,50
SANTA MONICA,6250010E,2455,82,N,0,VBM PORTION,113,0,3,3,38,2,0,7,37
SANTA MONICA,6250010E,2455,82,N,1176,TOTAL,280,3,11,5,88,10,1,25,87
SANTA MONICA,6250011A,2456,82,N,1183,POLLING PLACE,160,2,7,3,45,4,4,14,60
SANTA MONICA,6250011A,2456,82,N,0,VBM PORTION,157,5,7,2,42,4,0,15,53
SANTA MONICA,6250011A,2456,82,N,1183,TOTAL,317,7,14,5,87,8,4,29,113
SANTA MONICA,6250015B,2457,82,N,1320,POLLING PLACE,214,0,4,4,82,2,1,23,72
SANTA MONICA,6250015B,2457,82,N,0,VBM PORTION,227,2,3,3,73,0,5,30,70
SANTA MONICA,6250015B,2457,82,N,1320,TOTAL,441,2,7,7,155,2,6,53,142
SANTA MONICA,6250016A,2458,82,N,1376,POLLING PLACE,234,2,8,6,62,4,1,24,99
SANTA MONICA,6250016A,2458,82,N,0,VBM PORTION,174,0,8,4,53,1,0,14,67
SANTA MONICA,6250016A,2458,82,N,1376,TOTAL,408,2,16,10,115,5,1,38,166
SANTA MONICA,6250017A,2459,82,N,1334,POLLING PLACE,285,3,3,4,89,3,0,35,111
SANTA MONICA,6250017A,2459,82,N,0,VBM PORTION,211,1,2,4,60,0,0,25,95
SANTA MONICA,6250017A,2459,82,N,1334,TOTAL,496,4,5,8,149,3,0,60,206
SANTA MONICA,6250019A,2460,82,N,1461,POLLING PLACE,137,3,4,1,38,8,1,11,55
SANTA MONICA,6250019A,2460,82,N,0,VBM PORTION,140,2,5,4,34,1,0,14,46
SANTA MONICA,6250019A,2460,82,N,1461,TOTAL,277,5,9,5,72,9,1,25,101
SANTA MONICA,6250020A,2461,82,N,1129,POLLING PLACE,184,3,6,1,68,3,3,9,58
SANTA MONICA,6250020A,2461,82,N,0,VBM PORTION,118,0,6,2,33,3,2,10,35
