"district_attorney_file_number",year,"date","time","suspect_gender","suspect_race",suspect_age,"mental_health_concerns","parole_status","probation_status","felony_convictions","wounded","deceased","notes"
"#10-0653",2010,"2010-08-21","22:48:00","M ","BLACK ",24,"YES ","YES ","NO ","NO ","1","",""
"#10-0767",2010,"2010-10-01","12:45:00","M ","HISPANIC ",30,"NO ","NO ","YES ","NO ","2","",""
"#10-0767",2010,"2010-10-01","12:45:00","F ","WHITE ",27,"","UNK ","UNK ","UNK ","","",""
"#10-0783",2010,"2010-10-09","18:47:00","M ","HISPANIC ",20,"NO ","NO ","YES ","YES ","1","",""
"#10-0784",2010,"2010-10-10","0:23:00","M ","HISPANIC ",20,"NO ","NO ","NO ","NO ","","1",""
"#10-0839",2010,"2010-10-27","9:37:00","M ","HISPANIC ",17,"NO ","NO ","NO ","NO ","1","",""
"#10-0887",2010,"2010-11-08","22:17:00","M ","BLACK ",21,"NO ","NO ","YES ","NO ","","1",""
"#10-0934",2010,"2010-11-26","21:16:00","M ","HISPANIC ",31,"NO ","NO ","YES ","YES ","","1",""
"#10-0949",2010,"2010-12-01","15:07:00","M ","HISPANIC ",20,"NO ","NO ","YES ","YES ","1","",""
"#11-0001",2010,"2010-12-21","17:50:00","M ","WHITE ",40,"YES ","YES ","YES ","YES ","","1",""
"#11-0024",2011,"2011-01-08","0:47:00","M ","BLACK ",20,"NO ","NO ","YES ","YES ","","1",""
"#11-0025",2011,"2011-01-10","20:20:00","M ","WHITE ",39,"NO ","NO ","NO ","YES ","1","",""
"#11-0039",2011,"2011-01-11","19:17:00","M ","HISPANIC ",37,"NO ","YES ","YES ","YES ","","1",""
"#11-0083",2011,"2011-02-05","21:56:00","M ","BLACK ",43,"NO ","NO ","YES ","YES ","1","",""
"#11-0117",2011,"2011-02-14","20:15:00","M ","HISPANIC ",31,"NO ","YES ","YES ","YES ","1","",""
"#11-0122",2011,"2011-02-18","23:27:00","M ","BLACK ",33,"NO ","NO ","YES ","YES ","","1",""
"#11-0146",2011,"2011-02-26","3:53:00","M ","HISPANIC ",24,"NO ","NO ","YES ","NO ","1","",""
"#11-0150",2011,"2011-03-01","15:29:00","M ","BLACK ",17,"NO ","NO ","NO ","UNK ","","1",""
"#11-0184",2011,"2011-03-10","20:35:00","M ","BLACK ",23,"NO ","NO ","YES ","YES ","1","",""
"#11-0185",2011,"2011-03-12","2:52:00","M ","BLACK ",24,"NO ","NO ","NO ","NO ","","1",""
"#11-0252",2011,"2011-04-05","20:59:00","M ","HISPANIC ",24,"NO ","YES ","YES ","YES ","2","",""
"#11-0252",2011,"2011-04-05","20:59:00","M ","HISPANIC ",23,"NO ","YES ","YES ","YES","","",""
"#11-0254",2011,"2011-04-04","9:00:00","M ","BLACK ",31,"YES ","YES ","YES ","YES ","1","",""
"#11-0287",2011,"2011-04-08","18:04:00","M ","HISPANIC ",19,"NO ","NO ","YES ","YES ","","1",""
"#11-0363",2011,"2011-05-22","6:30:00","M ","BLACK ",21,"NO ","NO ","YES ","YES ","1","",""
"#11-0365",2011,"2011-05-24","6:44:00","M ","HISPANIC ",21,"NO ","YES ","YES ","YES ","2","",""
"#11-0365",2011,"2011-05-24","6:44:00","M ","HISPANIC ",18,"NO ","NO ","YES ","NO ","","",""
"#11-0376",2011,"2011-05-25","20:33:00","M ","HISPANIC ",19,"NO ","NO ","YES ","YES ","","1",""
"#11-0434",2011,"2011-06-23","18:47:00","M ","HISPANIC ",32,"NO ","YES ","YES ","YES ","","1",""
"#11-0438",2011,"2011-06-22","4:30:00","M ","Other ",43,"NO ","NO ","NO ","NO ","1","",""
"#11-0486",2011,"2011-07-21","21:50:00","M ","HISPANIC ",39,"NO ","YES ","NO ","YES ","1","",""
"#11-0500",2011,"2011-07-21","12:33:00","M ","HISPANIC ",26,"NO ","YES ","YES ","YES ","1","",""
"#11-0548",2011,"2011-08-20","20:30:00","M ","HISPANIC ",19,"NO ","NO ","YES ","NO ","","1",""
"#11-0605",2011,"2011-09-09","21:19:00","M ","BLACK ",22,"NO ","NO ","YES ","NO ","1","",""
"#11-0651",2011,"2011-10-05","22:50:00","M ","BLACK ",24,"NO ","YES ","YES ","YES ","2","",""
"#11-0651",2011,"2011-10-05","22:50:00","M ","BLACK ",26,"","NO ","NO ","YES","","",""
"#11-0657",2011,"2011-10-13","11:40:00","M ","BLACK ",32,"NO ","YES ","YES ","YES ","","1",""
"#11-0763",2011,"2011-11-29","3:36:00","M ","HISPANIC ",39,"YES ","YES ","YES ","YES ","1","",""
"#11-0764",2011,"2011-12-01","4:50:00","M ","HISPANIC ",39,"NO ","NO ","YES ","YES ","","1",""
"#11-0795",2011,"2011-12-17","4:57:00","M ","HISPANIC ",32,"NO ","NO ","NO ","NO ","","1",""
"#11-0796",2011,"2011-12-16","3:34:00","M ","HISPANIC ",29,"NO ","NO ","NO ","YES ","1","",""
"#11-0823",2011,"2011-12-27","18:43:00","M ","WHITE ",48,"YES ","NO ","YES ","YES ","","1",""
"#12-0017",2012,"2012-01-04","15:28:00","F ","ASIAN-PACIFIC ISLANDER ",40,"YES ","UNK ","UNK ","NO ","","1",""
"#12-0026",2012,"2012-01-05","14:47:00","M ","HISPANIC ",28,"NO ","YES ","YES ","YES ","1","",""
"#12-0068",2012,"2012-01-21","23:03:00","M ","HISPANIC ",26,"YES ","YES ","YES ","YES ","","1",""
"#12-0085",2012,"2012-02-01","21:02:00","M ","WHITE ",68,"NO ","YES ","YES ","YES ","","1",""
"#12-0103",2012,"2012-02-08","8:14:00","M ","HISPANIC ",29,"NO ","YES ","YES ","YES ","1","",""
"#12-0136",2012,"2012-02-21","0:25:00","M ","WHITE ",22,"NO ","NO ","YES ","NO ","","1",""
"#12-0139",2012,"2012-02-22","21:38:00","M ","HISPANIC ",29,"NO ","YES ","NO ","YES ","1","",""
"#12-0149",2012,"2012-02-26","19:34:00","M ","HISPANIC ",45,"NO ","YES ","YES ","NO ","1","",""
"#12-0159",2012,"2012-03-04","0:27:00","M ","BLACK ",23,"NO ","NO ","NO ","NO ","1","",""
"#12-0171",2012,"2012-03-07","14:49:00","M ","HISPANIC ",22,"NO ","NO ","NO ","NO ","","1",""
"#12-0174",2012,"2012-03-08","15:30:00","M ","HISPANIC ",22,"NO ","NO ","YES ","NO ","2","",""
"#12-0174",2012,"2012-03-08","15:30:00","M ","HISPANIC ",24,"NO ","NO ","YES ","NO ","","",""
"#12-0318",2012,"2012-05-05","23:37:00","M ","WHITE ",29,"NO ","NO ","YES ","NO ","1","",""
"#12-0331",2012,"2012-05-13","21:03:00","M ","HISPANIC ",33,"NO ","YES ","YES ","YES ","1","",""
"#12-0338",2012,"2012-05-12","13:25:00","M ","HISPANIC ",30,"NO ","NO ","NO ","NO ","","1",""
"#12-0359",2012,"2012-05-23","10:48:00","M ","HISPANIC ",19,"NO ","NO ","YES ","NO ","1","",""
"#12-0425",2012,"2012-06-21","12:00:00","M ","HISPANIC ",27,"NO ","NO ","YES ","NO ","","1",""
"#12-0431",2012,"2012-06-24","12:34:00","M ","HISPANIC ",30,"NO ","YES ","YES ","YES ","","1",""
"#12-0438",2012,"2012-07-01","2:24:00","M ","HISPANIC ",21,"NO ","NO ","NO ","NO ","1","",""
"#12-0506",2012,"2012-08-03","18:00:00","M ","HISPANIC ",31,"NO ","NO ","YES ","YES ","","1",""
"#12-0541",2012,"2012-08-16","12:18:00","M ","BLACK ",31,"NO ","NO ","YES ","NO ","1","",""
"#12-0554",2012,"2012-08-24","14:11:00","M ","BLACK ",22,"NO ","NO ","NO ","NO ","","1",""
"#12-0559",2012,"2012-08-29","17:57:00","M ","HISPANIC ",34,"NO ","NO ","YES ","YES ","","1",""
"#12-0561",2012,"2012-08-29","17:33:00","M ","HISPANIC ",28,"NO ","NO ","YES ","NO ","1","",""
"#12-0596",2012,"2012-09-08","19:17:00","M ","HISPANIC ",25,"NO ","NO ","YES ","YES ","1","",""
"#12-0600",2012,"2012-09-17","19:40:00","M ","HISPANIC ",27,"NO ","NO ","NO ","NO ","","1",""
"#12-0620",2012,"2012-09-28","22:12:00","M ","HISPANIC ",19,"NO ","NO ","NO ","NO ","1","",""
"#12-0685",2012,"2012-10-18","1:04:00","M ","HISPANIC ",27,"NO ","NO ","YES ","YES ","","1",""
"#12-0688",2012,"2012-10-20","15:00:00","M ","HISPANIC ",18,"NO ","NO ","YES ","YES ","1","",""
"#12-0689",2012,"2012-10-24","18:18:00","M ","BLACK ",27,"NO ","YES ","YES ","YES ","2","",""
"#12-0689",2012,"2012-10-24","18:18:00","M ","BLACK ",24,"","YES ","NO ","YES ","","",""
"#12-0742",2012,"2012-11-09","10:12:00","M ","WHITE ",60,"NO ","NO ","NO ","NO ","","1",""
"#12-0744",2012,"2012-11-10","22:18:00","M ","HISPANIC ",37,"NO ","YES ","NO ","YES ","","1",""
"#12-0745",2012,"2012-11-14","19:43:00","M ","HISPANIC ",35,"NO ","YES ","YES ","YES ","","1",""
"#12-0761",2012,"2012-11-16","21:30:00","M ","BLACK ",36,"NO ","NO ","YES ","NO ","1","",""
"#12-0765",2012,"2012-11-23","11:08:00","M ","BLACK ",31,"NO ","YES ","YES ","YES ","1","",""
"#12-0828",2012,"2012-12-23","7:01:00","M ","WHITE ",35,"NO ","NO ","NO ","NO ","","1",""
"#13-0063",2013,"2013-01-10","16:08:00","M ","HISPANIC ",16,"NO ","NO ","YES ","YES ","","1",""
"#13-0084",2013,"2013-01-21","4:59:00","M ","BLACK ",26,"NO ","YES ","YES ","YES ","1","",""
"#13-0120",2013,"2013-02-01","2:00:00","M ","HISPANIC ",35,"NO ","YES ","YES ","YES ","1","",""
"#13-0161",2013,"2013-02-19","20:31:00","M ","BLACK ",36,"NO ","YES ","YES ","YES ","1","",""
"#13-0226",2013,"2013-04-09","13:49:00","M ","HISPANIC ",25,"NO ","YES ","YES ","YES ","","1",""
"#13-0247",2013,"2013-04-10","23:58:00","M ","HISPANIC ",31,"NO ","YES ","YES ","YES ","1","",""
"#13-0276",2013,"2013-04-20","20:30:00","M ","HISPANIC ",37,"NO ","YES ","YES ","YES ","1","",""
"#13-0278",2013,"2013-04-26","14:42:00","M ","BLACK ",24,"NO ","NO ","YES ","YES ","","1",""
"#13-0308",2013,"2013-04-29","22:20:00","M ","HISPANIC ",35,"NO ","YES ","YES ","YES ","","1",""
"#13-0340",2013,"2013-05-11","23:50:00","M ","HISPANIC ",34,"NO ","NO ","YES ","NO ","","1",""
"#13-0341",2013,"2013-05-14","21:15:00","M ","HISPANIC ",37,"NO ","NO ","YES ","NO ","","1",""
"#13-0350",2013,"2013-05-18","21:12:00","M ","BLACK ",50,"NO ","YES ","YES ","NO ","","1",""
"#13-0375",2013,"2013-05-22","11:40:00","M ","WHITE ",28,"NO ","YES ","YES ","YES ","1","",""
"#13-0383",2013,"2013-05-23","19:28:00","M ","BLACK ",27,"NO ","NO ","YES ","NO ","","1",""
"#13-0429",2013,"2013-05-01","19:25:00","M ","WHITE ",28,"NO ","NO ","YES ","NO ","1","",""
"#13-0456",2013,"2013-06-21","21:26:00","M ","BLACK ",24,"NO ","NO ","YES ","YES ","1","",""
"#13-0457",2013,"2013-06-22","21:44:00","M ","HISPANIC ",24,"NO ","NO ","YES ","YES ","","1",""
"#13-0462",2013,"2013-06-27","7:05:00","M ","HISPANIC ",80,"NO ","NO ","NO ","NO ","","1",""
"#13-0465",2013,"2013-06-27","5:44:00","M ","BLACK ",22,"NO ","NO ","YES ","YES ","","1",""
"#13-0502",2013,"2013-07-19","11:43:00","M ","HISPANIC ",29,"NO ","YES ","YES ","YES ","","1",""
"#13-0509",2013,"2013-07-24","23:38:00","M ","HISPANIC ",42,"NO ","NO ","YES ","NO ","","1",""
"#13-0526",2013,"2013-08-04","0:30:00","M ","HISPANIC ",23,"NO ","NO ","YES ","YES ","1","",""
"#13-0586",2013,"2013-08-28","17:49:00","M ","HISPANIC ",18,"NO ","NO ","NO ","NO ","","1",""
"#13-0619",2013,"2013-09-10","1:30:00","M ","HISPANIC ",23,"NO ","NO ","YES ","NO ","","1",""
"#13-0626",2013,"2013-09-14","22:14:00","M ","HISPANIC ",22,"NO ","NO ","YES ","YES ","1","",""
"#13-0653",2013,"2013-09-25","14:50:00","M ","BLACK ",49,"NO ","YES ","YES ","YES ","1","",""
"#13-0679",2013,"2013-10-06","15:30:00","M","HISPANIC ",80,"NO","UNK","UNK","UNK","","1",""
"#13-0685",2013,"2013-10-06","17:47:00","M ","WHITE ",53,"NO ","NO ","NO ","NO ","","1",""
"#13-0694",2013,"2013-10-12","16:06:00","M ","HISPANIC ",23,"NO ","YES ","NO ","YES ","1","",""
"#13-0721",2013,"2013-10-27","1:27:00","M ","BLACK ",57,"NO ","NO ","YES ","NO ","","1",""
"#13-0726",2013,"2013-11-01","3:03:00","M ","HISPANIC ",27,"NO ","YES ","YES ","YES ","","1",""
"#13-0732",2013,"2013-10-29","0:01:00","M ","BLACK ",49,"NO ","YES ","YES ","YES ","","1",""
"#13-0760",2013,"2013-11-15","18:41:00","M ","HISPANIC ",21,"NO ","UNK ","UNK ","UNK ","","1",""
"#14-0001",2013,"2013-12-29","1:20:00","M ","HISPANIC ",36,"NO ","NO ","NO ","YES ","2","",""
"#14-0001",2013,"2013-12-29","1:20:00","M ","HISPANIC ",24,"NO ","NO ","YES ","YES","","",""
"#14-0042",2014,"2014-01-26","23:11:00","M ","HISPANIC ",43,"NO ","NO ","UNK ","UNK ","1","",""
"#14-0059",2014,"2014-01-30","20:22:00","M ","WHITE ",47,"NO ","NO ","NO ","NO ","","",""
"#14-0064",2014,"2014-02-04","5:50:00","M ","HISPANIC ",56,"NO ","NO ","NO ","NO ","1","",""
"#14-0105",2014,"2014-02-14","12:20:00","M ","HISPANIC ",37,"NO ","NO ","YES ","YES ","1","",""
"#14-0127",2014,"2014-02-13","17:15:00","M ","HISPANIC ",35,"NO ","YES ","YES ","YES ","","Y",""
"#14-0169",2014,"2014-03-16","16:19:00","M ","BLACK ",28,"NO ","NO ","YES ","NO ","1","",""
"#14-0227",2014,"2014-04-07","21:29:00","M ","WHITE ",30,"NO ","NO ","NO ","NO ","","1*","(Deceased party was mis-identified and believed to be the suspect at the time of the shooting incident. The Wounded party was inadvertently struck by a stray round.)"
"#14-0227",2014,"2014-04-07","21:29:00","M ","WHITE ",28,"NO ","","","","1*","",""
"#14-0238",2014,"2014-04-13","16:05:00","M ","HISPANIC ",44,"NO ","NO ","NO ","NO ","1","",""
"#14-0272",2014,"2014-04-25","23:06:00","M ","HISPANIC ",42,"NO ","NO ","NO ","UNK ","","1",""
"#14-0281",2014,"2014-04-29","4:15:00","M ","HISPANIC ",26,"NO ","NO ","NO ","YES ","","1",""
"#14-0355",2014,"2014-05-24","1:50:00","M ","BLACK ",34,"NO ","NO ","YES ","YES ","1","",""
"#14-0356",2014,"2014-05-26","9:45:00","M ","HISPANIC ",23,"NO ","NO ","YES ","YES ","","1",""
"#14-0428",2014,"2014-06-24","21:51:00","M ","BLACK ",24,"NO ","YES ","NO ","YES ","1","",""
"#14-0428",2014,"2014-06-24","21:51:00","M ","BLACK ",24,"","","","","","1",""
"#14-0521",2014,"2014-08-09","4:12:00","M ","HISPANIC ",41,"NO ","NO ","YES ","NO ","","1",""
"#14-0539",2014,"2014-08-18","11:30:00","M ","BLACK ",38,"NO ","NO ","YES ","YES ","","1",""
"#14-0671",2014,"2014-10-27","14:50:00","M ","HISPANIC ",28,"NO ","NO ","YES ","YES ","","1",""
"#14-0703",2014,"2014-11-16","2:39:00","M ","HISPANIC ",26,"NO ","NO ","NO ","NO ","2","",""
"#14-0703",2014,"2014-11-16","2:39:00","M ","HISPANIC ",57,"NO ","NO ","NO ","NO ","","",""
"n/a",2011,"2011-02-11","14:35:00","M ","HISPANIC ",24,"NO ","NO ","NO ","NO ","1","",""
"n/a",2011,"2011-03-26","1:55:00","M ","WHITE ",27,"NO ","NO ","YES ","YES ","2","",""
"n/a",2011,"2011-03-26","1:55:00","M ","WHITE ",24,"NO ","NO ","YES ","YES","","",""
"n/a",2011,"2011-12-28","16:30:00","M ","HISPANIC ",22,"NO ","YES ","YES ","NO ","1","",""
"n/a",2013,"2013-09-17","16:27:00","M ","HISPANIC ",23,"NO ","UNK ","UNK ","UNK ","1","",""
"n/a",2013,"2013-10-06","15:30:00","M ","HISPANIC ",80,"NO ","UNK ","UNK ","UNK ","","1",""
"n/a",2013,"2013-11-05","10:10:00","M ","HISPANIC ",38,"NO ","YES ","YES ","YES ","1","",""
"n/a",2014,"2014-06-25","17:05:00","M ","HISPANIC ",29,"NO ","YES ","NO ","YES ","","1",""
"n/a",2014,"2014-08-01","16:49:00","M ","HISPANIC ",24,"NO ","YES ","YES ","YES ","","1",""
"n/a",2014,"2014-08-01","16:49:00","M ","HISPANIC ",54,"NO ","","","","","1*","(Deceased party was misidentified and believed to be the suspect at the time of the shooting incident.)"
"n/a",2014,"2014-08-10","3:46:00","M ","HISPANIC ",19,"NO ","UNK ","UNK ","UNK ","1","",""
"n/a",2014,"2014-08-26","13:04:00","M ","BLACK ",45,"NO ","NO ","NO ","YES ","","1",""
"n/a",2014,"2014-09-17","22:49:00","M ","HISPANIC ",22,"NO ","NO ","UNK ","UNK ","1","",""
"n/a",2014,"2014-10-04","18:51:00","M ","HISPANIC ",28,"YES ","NO ","NO ","YES ","","1",""
"n/a",2014,"2014-10-08","0:58:00","M ","HISPANIC ",19,"NO ","NO ","NO ","NO ","1","",""
"n/a",2014,"2014-10-29","14:13:00","M","WHITE",23,"NO","NO","NO","NO","1","",""
"n/a",2014,"2014-11-07","3:48:00","M","WHITE",36,"YES","NO","NO","YES","","1",""
"n/a",2014,"2014-11-30","1:00:00","M ","HISPANIC ",19,"YES ","NO ","NO ","NO ","1","",""
"n/a",2014,"2014-12-31","17:00:00","F ","HISPANIC ",34,"NO ","NO ","NO ","NO ","1","",""
"n/a",2015,"2015-01-24","20:54:00","M ","HISPANIC ",16,"NO ","NO ","NO ","NO ","1","",""
"n/a",2015,"2015-03-03","15:30:00","M ","HISPANIC ",50,"NO ","YES ","NO ","YES ","1","",""
"n/a",2015,"2015-03-12","18:36:00","M ","HISPANIC ",30,"NO ","UNK ","UNK ","UNK ","","1",""
"n/a",2015,"2015-03-13","17:25:00","M ","HISPANIC ",26,"NO ","NO ","YES ","NO ","1","",""
"n/a",2015,"2015-03-25","1:15:00","M ","HISPANIC ",28,"NO ","UNK ","UNK ","UNK ","","1",""
"n/a",2015,"2015-04-10","3:31:00","M ","BLACK ",28,"NO ","NO ","YES ","YES ","1","",""
"n/a",2015,"2015-05-05","12:40:00","M ","ASIAN-PACIFIC ISLANDER ",32,"YES ","NO ","UNK ","UNK ","","1",""
"n/a",2015,"2015-05-07","16:30:00","M ","BLACK ",21,"NO ","NO ","YES ","YES ","","1",""
"n/a",2015,"2015-05-13","17:41:00","M ","BLACK ",17,"NO ","NO ","NO ","NO ","1","",""
"n/a",2015,"2015-06-01","17:44:00","M ","WHITE ",52,"NO ","NO ","NO ","YES ","1","",""
"n/a",2015,"2015-06-04","17:54:00","M ","HISPANIC ",31,"NO ","YES ","NO ","YES ","1","",""
"n/a",2015,"2015-07-03","23:30:00","M ","HISPANIC ",46,"NO ","NO ","YES ","NO ","","1",""
"n/a",2015,"2015-07-05","21:41:00","M ","HISPANIC ",33,"NO ","YES ","YES ","YES ","","1",""
"n/a",2015,"2015-07-06","10:45:00","M ","WHITE ",29,"YES ","NO ","NO ","UNK ","","1",""
"n/a",2015,"2015-07-10","10:44:00","F ","WHITE ",44,"YES ","N/A ","N/A ","N/A ","1","",NULL
