LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN PAUL DRAYER,DAWN DUNTON,
BELLFLOWER,0750054B,243,284,N,,VBM PORTION,61,31,20,
BELLFLOWER,0750054B,243,284,N,1085,TOTAL,166,84,60,
CERRITOS,1070070B,465,273,N,397,POLLING PLACE,72,35,25,
CERRITOS,1070070B,465,273,N,,VBM PORTION,39,20,16,
CERRITOS,1070070B,465,273,N,397,TOTAL,111,55,41,
DOWNEY,1850009A,669,293,N,1013,POLLING PLACE,183,105,61,
DOWNEY,1850009A,669,293,N,,VBM PORTION,78,39,29,
DOWNEY,1850009A,669,293,N,1013,TOTAL,261,144,90,
DOWNEY,1850010A,670,293,N,589,POLLING PLACE,95,49,26,
DOWNEY,1850010A,670,293,N,,VBM PORTION,30,11,10,
DOWNEY,1850010A,670,293,N,589,TOTAL,125,60,36,
DOWNEY,1850012A,673,293,N,727,POLLING PLACE,130,85,29,
DOWNEY,1850012A,673,293,N,,VBM PORTION,30,21,5,
DOWNEY,1850012A,673,293,N,727,TOTAL,160,106,34,
DOWNEY,1850013A,674,293,N,961,POLLING PLACE,216,141,50,
DOWNEY,1850013A,674,293,N,,VBM PORTION,33,17,8,
DOWNEY,1850013A,674,293,N,961,TOTAL,249,158,58,
DOWNEY,1850015A,675,293,N,1044,POLLING PLACE,202,136,46,
DOWNEY,1850015A,675,293,N,,VBM PORTION,37,17,12,
DOWNEY,1850015A,675,293,N,1044,TOTAL,239,153,58,
DOWNEY,1850027B,684,290,N,475,POLLING PLACE,104,61,24,
DOWNEY,1850027B,684,290,N,,VBM PORTION,35,15,11,
DOWNEY,1850027B,684,290,N,475,TOTAL,139,76,35,
DOWNEY,1850029B,686,291,N,731,POLLING PLACE,156,75,62,
DOWNEY,1850029B,686,291,N,,VBM PORTION,59,38,8,
DOWNEY,1850029B,686,291,N,731,TOTAL,215,113,70,
DOWNEY,1850032A,689,290,N,506,POLLING PLACE,92,58,22,
DOWNEY,1850032A,689,290,N,,VBM PORTION,44,18,16,
DOWNEY,1850032A,689,290,N,506,TOTAL,136,76,38,
NORWALK,4800030A,6171,283,Y,,POLLING PLACE,,,,
NORWALK,4800030A,6171,283,Y,,VBM PORTION,,,,
NORWALK,4800030A,6171,283,Y,,TOTAL,,,,
NORWALK,4800045B,6172,269,Y,,POLLING PLACE,,,,
NORWALK,4800045B,6172,269,Y,,VBM PORTION,,,,
NORWALK,4800045B,6172,269,Y,,TOTAL,,,,
SOUTH GATE,6550001A,2538,351,N,315,POLLING PLACE,52,23,19,
SOUTH GATE,6550001A,2538,351,N,,VBM PORTION,18,12,4,
SOUTH GATE,6550001A,2538,351,N,315,TOTAL,70,35,23,
BALLOT GROUP 269,9990269A,8269,269,N,,POLLING PLACE,,,,
BALLOT GROUP 269,9990269A,8269,269,N,,VBM PORTION,,,,
BALLOT GROUP 269,9990269A,8269,269,N,,TOTAL,,,,
BALLOT GROUP 273,9990273A,8273,273,N,,POLLING PLACE,,,,
BALLOT GROUP 273,9990273A,8273,273,N,,VBM PORTION,,,,
BALLOT GROUP 273,9990273A,8273,273,N,,TOTAL,,,,
BALLOT GROUP 283,9990283A,8283,283,N,,POLLING PLACE,,,,
BALLOT GROUP 283,9990283A,8283,283,N,,VBM PORTION,,,,
BALLOT GROUP 283,9990283A,8283,283,N,,TOTAL,,,,
BALLOT GROUP 284,9990284A,8284,284,N,,POLLING PLACE,,,,
BALLOT GROUP 284,9990284A,8284,284,N,,VBM PORTION,,,,
BALLOT GROUP 284,9990284A,8284,284,N,,TOTAL,,,,
BALLOT GROUP 290,9990290A,8290,290,N,,POLLING PLACE,,,,
BALLOT GROUP 290,9990290A,8290,290,N,,VBM PORTION,,,,
BALLOT GROUP 290,9990290A,8290,290,N,,TOTAL,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,POLLING PLACE,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,VBM PORTION,,,,
BALLOT GROUP 291,9990291A,8291,291,N,,TOTAL,,,,
BALLOT GROUP 292,9990292A,8292,292,N,,POLLING PLACE,,,,
BALLOT GROUP 292,9990292A,8292,292,N,,VBM PORTION,,,,
BALLOT GROUP 292,9990292A,8292,292,N,,TOTAL,,,,
BALLOT GROUP 293,9990293A,8293,293,N,,POLLING PLACE,,,,
BALLOT GROUP 293,9990293A,8293,293,N,,VBM PORTION,,,,
BALLOT GROUP 293,9990293A,8293,293,N,,TOTAL,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,POLLING PLACE,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,VBM PORTION,,,,
BALLOT GROUP 351,9990351A,8351,351,N,,TOTAL,,,,
