LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NATHANIEL TSAI,CHRIS HOLDEN,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,39,55,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,135,232,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,47,102,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,15,31,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,62,133,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,73,253,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,33,85,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,106,338,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,38,279,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,23,104,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,61,383,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,25,155,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,12,46,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,37,201,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,48,247,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,28,113,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,76,360,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,60,258,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,19,75,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,79,333,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,58,296,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,19,93,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,77,389,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
CITRUS,1250071A,6052,85,Y,4,POLLING PLACE,,,,
CITRUS,1250071A,6052,85,Y,,VBM PORTION,,,,
CITRUS,1250071A,6052,85,Y,4,TOTAL,,,,
CLAREMONT,1300001A,484,84,N,837,POLLING PLACE,150,41,105,
CLAREMONT,1300001A,484,84,N,,VBM PORTION,86,34,41,
CLAREMONT,1300001A,484,84,N,837,TOTAL,236,75,146,
CLAREMONT,1300002A,485,84,N,689,POLLING PLACE,195,36,149,
CLAREMONT,1300002A,485,84,N,,VBM PORTION,61,17,42,
CLAREMONT,1300002A,485,84,N,689,TOTAL,256,53,191,
CLAREMONT,1300003A,486,84,N,1189,POLLING PLACE,331,95,208,
CLAREMONT,1300003A,486,84,N,,VBM PORTION,97,37,51,
CLAREMONT,1300003A,486,84,N,1189,TOTAL,428,132,259,
CLAREMONT,1300004A,487,84,N,1236,POLLING PLACE,97,10,83,
CLAREMONT,1300004A,487,84,N,,VBM PORTION,23,4,17,
CLAREMONT,1300004A,487,84,N,1236,TOTAL,120,14,100,
CLAREMONT,1300005A,488,84,N,910,POLLING PLACE,287,88,177,
CLAREMONT,1300005A,488,84,N,,VBM PORTION,95,32,59,
CLAREMONT,1300005A,488,84,N,910,TOTAL,382,120,236,
CLAREMONT,1300007A,489,84,N,1010,POLLING PLACE,237,64,140,
CLAREMONT,1300007A,489,84,N,,VBM PORTION,166,60,87,
CLAREMONT,1300007A,489,84,N,1010,TOTAL,403,124,227,
CLAREMONT,1300009A,490,84,N,1382,POLLING PLACE,475,82,367,
CLAREMONT,1300009A,490,84,N,,VBM PORTION,300,51,234,
CLAREMONT,1300009A,490,84,N,1382,TOTAL,775,133,601,
CLAREMONT,1300010A,6055,83,Y,,POLLING PLACE,,,,
CLAREMONT,1300010A,6055,83,Y,,VBM PORTION,,,,
CLAREMONT,1300010A,6055,83,Y,,TOTAL,,,,
CLAREMONT,1300012A,491,84,N,1189,POLLING PLACE,462,79,360,
CLAREMONT,1300012A,491,84,N,,VBM PORTION,138,31,99,
CLAREMONT,1300012A,491,84,N,1189,TOTAL,600,110,459,
CLAREMONT,1300014A,492,84,N,890,POLLING PLACE,290,96,177,
CLAREMONT,1300014A,492,84,N,,VBM PORTION,110,39,65,
CLAREMONT,1300014A,492,84,N,890,TOTAL,400,135,242,
CLAREMONT,1300018A,493,84,N,1163,POLLING PLACE,394,136,227,
CLAREMONT,1300018A,493,84,N,,VBM PORTION,144,44,87,
CLAREMONT,1300018A,493,84,N,1163,TOTAL,538,180,314,
CLAREMONT,1300019A,494,84,N,910,POLLING PLACE,290,114,147,
CLAREMONT,1300019A,494,84,N,,VBM PORTION,125,53,63,
CLAREMONT,1300019A,494,84,N,910,TOTAL,415,167,210,
CLAREMONT,1300020A,495,84,N,856,POLLING PLACE,272,113,133,
CLAREMONT,1300020A,495,84,N,,VBM PORTION,114,46,59,
CLAREMONT,1300020A,495,84,N,856,TOTAL,386,159,192,
CLAREMONT,1300021A,496,84,N,836,POLLING PLACE,312,91,206,
CLAREMONT,1300021A,496,84,N,,VBM PORTION,109,35,65,
CLAREMONT,1300021A,496,84,N,836,TOTAL,421,126,271,
CLAREMONT,1300023B,497,83,N,550,POLLING PLACE,122,29,84,
CLAREMONT,1300023B,497,83,N,,VBM PORTION,34,17,16,
CLAREMONT,1300023B,497,83,N,550,TOTAL,156,46,100,
CLAREMONT,1300025A,498,84,N,870,POLLING PLACE,290,79,170,
CLAREMONT,1300025A,498,84,N,,VBM PORTION,121,23,85,
CLAREMONT,1300025A,498,84,N,870,TOTAL,411,102,255,
CLAREMONT,1300026A,499,84,N,1128,POLLING PLACE,341,122,176,
CLAREMONT,1300026A,499,84,N,,VBM PORTION,126,49,64,
CLAREMONT,1300026A,499,84,N,1128,TOTAL,467,171,240,
CLAREMONT,1300029A,500,84,N,517,POLLING PLACE,135,50,75,
CLAREMONT,1300029A,500,84,N,,VBM PORTION,115,62,46,
CLAREMONT,1300029A,500,84,N,517,TOTAL,250,112,121,
CLAREMONT,1300037A,501,84,N,1117,POLLING PLACE,322,159,129,
CLAREMONT,1300037A,501,84,N,,VBM PORTION,139,78,52,
CLAREMONT,1300037A,501,84,N,1117,TOTAL,461,237,181,
CLAREMONT,1300039A,502,84,N,1184,POLLING PLACE,389,155,207,
CLAREMONT,1300039A,502,84,N,,VBM PORTION,165,75,82,
CLAREMONT,1300039A,502,84,N,1184,TOTAL,554,230,289,
CLAREMONT,1300042A,503,84,N,920,POLLING PLACE,322,147,147,
CLAREMONT,1300042A,503,84,N,,VBM PORTION,132,55,70,
CLAREMONT,1300042A,503,84,N,920,TOTAL,454,202,217,
CLAREMONT,1300062A,504,84,N,689,POLLING PLACE,200,94,90,
CLAREMONT,1300062A,504,84,N,,VBM PORTION,92,25,60,
CLAREMONT,1300062A,504,84,N,689,TOTAL,292,119,150,
CLAREMONT,1300063A,505,84,N,1057,POLLING PLACE,364,146,199,
CLAREMONT,1300063A,505,84,N,,VBM PORTION,130,59,67,
CLAREMONT,1300063A,505,84,N,1057,TOTAL,494,205,266,
EAST PASADENA,2020001A,780,80,N,705,POLLING PLACE,149,55,74,
EAST PASADENA,2020001A,780,80,N,,VBM PORTION,70,24,39,
EAST PASADENA,2020001A,780,80,N,705,TOTAL,219,79,113,
EAST PASADENA,2020003A,781,79,N,1229,POLLING PLACE,226,103,89,
EAST PASADENA,2020003A,781,79,N,,VBM PORTION,160,88,56,
EAST PASADENA,2020003A,781,79,N,1229,TOTAL,386,191,145,
EAST PASADENA,2020006A,782,89,N,1232,POLLING PLACE,381,140,205,
EAST PASADENA,2020006A,782,89,N,,VBM PORTION,129,46,71,
EAST PASADENA,2020006A,782,89,N,1232,TOTAL,510,186,276,
EAST PASADENA,2020007A,783,80,N,699,POLLING PLACE,126,31,81,
EAST PASADENA,2020007A,783,80,N,,VBM PORTION,44,13,31,
EAST PASADENA,2020007A,783,80,N,699,TOTAL,170,44,112,
EAST PASADENA,2020012A,784,80,N,592,POLLING PLACE,116,34,76,
EAST PASADENA,2020012A,784,80,N,,VBM PORTION,52,21,25,
EAST PASADENA,2020012A,784,80,N,592,TOTAL,168,55,101,
FOOTHILL,2350002B,6076,85,Y,2,POLLING PLACE,,,,
FOOTHILL,2350002B,6076,85,Y,,VBM PORTION,,,,
FOOTHILL,2350002B,6076,85,Y,2,TOTAL,,,,
FOOTHILL,2350020A,6077,76,Y,58,POLLING PLACE,,,,
FOOTHILL,2350020A,6077,76,Y,,VBM PORTION,13,7,6,
FOOTHILL,2350020A,6077,76,Y,58,TOTAL,13,7,6,
FOOTHILL,2350021A,6078,88,Y,121,POLLING PLACE,,,,
FOOTHILL,2350021A,6078,88,Y,,VBM PORTION,33,11,21,
FOOTHILL,2350021A,6078,88,Y,121,TOTAL,33,11,21,
FOOTHILL,2350023A,6079,85,Y,,POLLING PLACE,,,,
FOOTHILL,2350023A,6079,85,Y,,VBM PORTION,,,,
FOOTHILL,2350023A,6079,85,Y,,TOTAL,,,,
FOOTHILL,2350024A,872,92,N,790,POLLING PLACE,163,79,71,
FOOTHILL,2350024A,872,92,N,,VBM PORTION,88,44,39,
FOOTHILL,2350024A,872,92,N,790,TOTAL,251,123,110,
FOOTHILL,2350026A,873,88,N,417,POLLING PLACE,109,53,49,
FOOTHILL,2350026A,873,88,N,,VBM PORTION,54,22,30,
FOOTHILL,2350026A,873,88,N,417,TOTAL,163,75,79,
FOOTHILL,2350026M,6080,85,Y,,POLLING PLACE,,,,
FOOTHILL,2350026M,6080,85,Y,,VBM PORTION,,,,
FOOTHILL,2350026M,6080,85,Y,,TOTAL,,,,
FOOTHILL,2350030A,6083,88,Y,227,POLLING PLACE,,,,
FOOTHILL,2350030A,6083,88,Y,,VBM PORTION,50,26,21,
FOOTHILL,2350030A,6083,88,Y,227,TOTAL,50,26,21,
FOOTHILL,2350031B,6084,75,Y,45,POLLING PLACE,,,,
FOOTHILL,2350031B,6084,75,Y,,VBM PORTION,10,4,4,
FOOTHILL,2350031B,6084,75,Y,45,TOTAL,10,4,4,
KINNELOA MESA,3080002A,1173,86,N,893,POLLING PLACE,201,82,106,
KINNELOA MESA,3080002A,1173,86,N,,VBM PORTION,140,69,62,
KINNELOA MESA,3080002A,1173,86,N,893,TOTAL,341,151,168,
LA VERNE,3400001A,1242,92,N,897,POLLING PLACE,237,122,94,
LA VERNE,3400001A,1242,92,N,,VBM PORTION,120,53,56,
LA VERNE,3400001A,1242,92,N,897,TOTAL,357,175,150,
LA VERNE,3400002A,1243,92,N,986,POLLING PLACE,152,74,67,
LA VERNE,3400002A,1243,92,N,,VBM PORTION,74,40,28,
LA VERNE,3400002A,1243,92,N,986,TOTAL,226,114,95,
LA VERNE,3400003A,1244,92,N,865,POLLING PLACE,185,82,89,
LA VERNE,3400003A,1244,92,N,,VBM PORTION,62,23,32,
LA VERNE,3400003A,1244,92,N,865,TOTAL,247,105,121,
LA VERNE,3400005A,1245,92,N,880,POLLING PLACE,253,106,117,
LA VERNE,3400005A,1245,92,N,,VBM PORTION,56,26,26,
LA VERNE,3400005A,1245,92,N,880,TOTAL,309,132,143,
LA VERNE,3400006A,1246,92,N,760,POLLING PLACE,175,58,102,
LA VERNE,3400006A,1246,92,N,,VBM PORTION,44,14,26,
LA VERNE,3400006A,1246,92,N,760,TOTAL,219,72,128,
LA VERNE,3400008A,1247,92,N,913,POLLING PLACE,225,131,78,
LA VERNE,3400008A,1247,92,N,,VBM PORTION,116,69,38,
LA VERNE,3400008A,1247,92,N,913,TOTAL,341,200,116,
LA VERNE,3400009A,1248,92,N,834,POLLING PLACE,210,106,89,
LA VERNE,3400009A,1248,92,N,,VBM PORTION,61,26,31,
LA VERNE,3400009A,1248,92,N,834,TOTAL,271,132,120,
LA VERNE,3400009G,6118,91,Y,65,POLLING PLACE,,,,
LA VERNE,3400009G,6118,91,Y,,VBM PORTION,8,7,,
LA VERNE,3400009G,6118,91,Y,65,TOTAL,8,7,,
LA VERNE,3400010A,6119,91,Y,72,POLLING PLACE,,,,
LA VERNE,3400010A,6119,91,Y,,VBM PORTION,16,8,7,
LA VERNE,3400010A,6119,91,Y,72,TOTAL,16,8,7,
LA VERNE,3400010B,1249,92,N,732,POLLING PLACE,187,112,57,
LA VERNE,3400010B,1249,92,N,,VBM PORTION,89,54,28,
LA VERNE,3400010B,1249,92,N,732,TOTAL,276,166,85,
LA VERNE,3400011A,1250,92,N,1184,POLLING PLACE,246,105,122,
LA VERNE,3400011A,1250,92,N,,VBM PORTION,90,35,47,
LA VERNE,3400011A,1250,92,N,1184,TOTAL,336,140,169,
LA VERNE,3400012A,1251,92,N,1201,POLLING PLACE,261,99,142,
LA VERNE,3400012A,1251,92,N,,VBM PORTION,137,42,80,
LA VERNE,3400012A,1251,92,N,1201,TOTAL,398,141,222,
LA VERNE,3400013A,6120,78,Y,,POLLING PLACE,,,,
LA VERNE,3400013A,6120,78,Y,,VBM PORTION,,,,
LA VERNE,3400013A,6120,78,Y,,TOTAL,,,,
LA VERNE,3400014A,1252,92,N,572,POLLING PLACE,121,61,54,
LA VERNE,3400014A,1252,92,N,,VBM PORTION,54,29,18,
LA VERNE,3400014A,1252,92,N,572,TOTAL,175,90,72,
LA VERNE,3400016A,1253,92,N,923,POLLING PLACE,178,103,58,
LA VERNE,3400016A,1253,92,N,,VBM PORTION,112,48,52,
LA VERNE,3400016A,1253,92,N,923,TOTAL,290,151,110,
LA VERNE,3400017A,1254,92,N,762,POLLING PLACE,182,107,61,
LA VERNE,3400017A,1254,92,N,,VBM PORTION,94,51,36,
LA VERNE,3400017A,1254,92,N,762,TOTAL,276,158,97,
LA VERNE,3400018A,1255,92,N,1153,POLLING PLACE,248,172,61,
LA VERNE,3400018A,1255,92,N,,VBM PORTION,148,75,65,
LA VERNE,3400018A,1255,92,N,1153,TOTAL,396,247,126,
LA VERNE,3400019B,1256,92,N,776,POLLING PLACE,182,102,63,
LA VERNE,3400019B,1256,92,N,,VBM PORTION,72,40,28,
LA VERNE,3400019B,1256,92,N,776,TOTAL,254,142,91,
LA VERNE,3400021A,1257,92,N,1006,POLLING PLACE,299,143,134,
LA VERNE,3400021A,1257,92,N,,VBM PORTION,119,61,49,
LA VERNE,3400021A,1257,92,N,1006,TOTAL,418,204,183,
LA VERNE,3400022A,1258,92,N,733,POLLING PLACE,195,86,95,
LA VERNE,3400022A,1258,92,N,,VBM PORTION,126,68,50,
LA VERNE,3400022A,1258,92,N,733,TOTAL,321,154,145,
LA VERNE,3400023A,1259,92,N,987,POLLING PLACE,186,108,71,
LA VERNE,3400023A,1259,92,N,,VBM PORTION,73,37,33,
LA VERNE,3400023A,1259,92,N,987,TOTAL,259,145,104,
LA VERNE,3400024A,1260,92,N,921,POLLING PLACE,244,137,85,
LA VERNE,3400024A,1260,92,N,,VBM PORTION,71,36,31,
LA VERNE,3400024A,1260,92,N,921,TOTAL,315,173,116,
LA VERNE,3400025A,1261,92,N,836,POLLING PLACE,196,107,78,
LA VERNE,3400025A,1261,92,N,,VBM PORTION,46,19,21,
LA VERNE,3400025A,1261,92,N,836,TOTAL,242,126,99,
LA VERNE,3400052A,1262,92,N,906,POLLING PLACE,259,143,89,
LA VERNE,3400052A,1262,92,N,,VBM PORTION,91,47,35,
LA VERNE,3400052A,1262,92,N,906,TOTAL,350,190,124,
LA VERNE,3400053A,1263,92,N,751,POLLING PLACE,157,66,74,
LA VERNE,3400053A,1263,92,N,,VBM PORTION,53,23,28,
LA VERNE,3400053A,1263,92,N,751,TOTAL,210,89,102,
LAMANDA,3500010B,6123,85,Y,3,POLLING PLACE,,,,
LAMANDA,3500010B,6123,85,Y,,VBM PORTION,,,,
LAMANDA,3500010B,6123,85,Y,3,TOTAL,,,,
LAMANDA,3500016A,6124,76,Y,22,POLLING PLACE,,,,
LAMANDA,3500016A,6124,76,Y,,VBM PORTION,2,2,,
LAMANDA,3500016A,6124,76,Y,22,TOTAL,2,2,,
LLANO,3750006A,6136,73,Y,,POLLING PLACE,,,,
LLANO,3750006A,6136,73,Y,,VBM PORTION,,,,
LLANO,3750006A,6136,73,Y,,TOTAL,,,,
LLANO,3750009A,6138,74,Y,,POLLING PLACE,,,,
LLANO,3750009A,6138,74,Y,,VBM PORTION,,,,
LLANO,3750009A,6138,74,Y,,TOTAL,,,,
LLANO,3750009B,6139,77,Y,,POLLING PLACE,,,,
LLANO,3750009B,6139,77,Y,,VBM PORTION,,,,
LLANO,3750009B,6139,77,Y,,TOTAL,,,,
MONROVIA,4400001A,1754,93,N,556,POLLING PLACE,147,58,83,
MONROVIA,4400001A,1754,93,N,,VBM PORTION,50,30,15,
MONROVIA,4400001A,1754,93,N,556,TOTAL,197,88,98,
MONROVIA,4400003A,1755,93,N,908,POLLING PLACE,226,104,104,
MONROVIA,4400003A,1755,93,N,,VBM PORTION,93,37,43,
MONROVIA,4400003A,1755,93,N,908,TOTAL,319,141,147,
MONROVIA,4400004A,1756,89,N,1094,POLLING PLACE,288,139,127,
MONROVIA,4400004A,1756,89,N,,VBM PORTION,130,63,57,
MONROVIA,4400004A,1756,89,N,1094,TOTAL,418,202,184,
MONROVIA,4400007A,1757,93,N,911,POLLING PLACE,250,114,128,
MONROVIA,4400007A,1757,93,N,,VBM PORTION,80,34,41,
MONROVIA,4400007A,1757,93,N,911,TOTAL,330,148,169,
MONROVIA,4400008A,1758,89,N,661,POLLING PLACE,198,105,74,
MONROVIA,4400008A,1758,89,N,,VBM PORTION,72,39,26,
MONROVIA,4400008A,1758,89,N,661,TOTAL,270,144,100,
MONROVIA,4400009A,1759,93,N,957,POLLING PLACE,288,126,138,
MONROVIA,4400009A,1759,93,N,,VBM PORTION,89,38,40,
MONROVIA,4400009A,1759,93,N,957,TOTAL,377,164,178,
MONROVIA,4400010A,1760,89,N,812,POLLING PLACE,279,140,122,
MONROVIA,4400010A,1760,89,N,,VBM PORTION,73,39,30,
MONROVIA,4400010A,1760,89,N,812,TOTAL,352,179,152,
MONROVIA,4400011A,1761,93,N,697,POLLING PLACE,176,71,93,
MONROVIA,4400011A,1761,93,N,,VBM PORTION,54,21,29,
MONROVIA,4400011A,1761,93,N,697,TOTAL,230,92,122,
MONROVIA,4400013A,1762,93,N,989,POLLING PLACE,173,71,92,
MONROVIA,4400013A,1762,93,N,,VBM PORTION,73,24,41,
MONROVIA,4400013A,1762,93,N,989,TOTAL,246,95,133,
MONROVIA,4400014A,1763,93,N,677,POLLING PLACE,146,55,85,
MONROVIA,4400014A,1763,93,N,,VBM PORTION,40,10,25,
MONROVIA,4400014A,1763,93,N,677,TOTAL,186,65,110,
MONROVIA,4400015A,1764,93,N,721,POLLING PLACE,146,45,91,
MONROVIA,4400015A,1764,93,N,,VBM PORTION,49,16,32,
MONROVIA,4400015A,1764,93,N,721,TOTAL,195,61,123,
MONROVIA,4400016A,1765,93,N,1251,POLLING PLACE,210,77,120,
MONROVIA,4400016A,1765,93,N,,VBM PORTION,72,28,39,
MONROVIA,4400016A,1765,93,N,1251,TOTAL,282,105,159,
MONROVIA,4400017A,1766,93,N,912,POLLING PLACE,178,44,122,
MONROVIA,4400017A,1766,93,N,,VBM PORTION,63,26,33,
MONROVIA,4400017A,1766,93,N,912,TOTAL,241,70,155,
MONROVIA,4400021A,1767,93,N,772,POLLING PLACE,131,57,65,
MONROVIA,4400021A,1767,93,N,,VBM PORTION,66,25,35,
MONROVIA,4400021A,1767,93,N,772,TOTAL,197,82,100,
MONROVIA,4400023A,1768,93,N,835,POLLING PLACE,198,82,95,
MONROVIA,4400023A,1768,93,N,,VBM PORTION,93,47,39,
MONROVIA,4400023A,1768,93,N,835,TOTAL,291,129,134,
MONROVIA,4400030A,1769,93,N,956,POLLING PLACE,197,80,107,
MONROVIA,4400030A,1769,93,N,,VBM PORTION,77,25,48,
MONROVIA,4400030A,1769,93,N,956,TOTAL,274,105,155,
MONROVIA,4400061A,1770,93,N,852,POLLING PLACE,140,55,79,
MONROVIA,4400061A,1770,93,N,,VBM PORTION,68,22,39,
MONROVIA,4400061A,1770,93,N,852,TOTAL,208,77,118,
MONROVIA,4400063A,1771,93,N,733,POLLING PLACE,119,13,92,
MONROVIA,4400063A,1771,93,N,,VBM PORTION,36,9,25,
MONROVIA,4400063A,1771,93,N,733,TOTAL,155,22,117,
MONROVIA,4400064A,1772,93,N,920,POLLING PLACE,153,61,84,
MONROVIA,4400064A,1772,93,N,,VBM PORTION,75,27,43,
MONROVIA,4400064A,1772,93,N,920,TOTAL,228,88,127,
MONROVIA,4400065A,1773,93,N,884,POLLING PLACE,214,60,129,
MONROVIA,4400065A,1773,93,N,,VBM PORTION,80,26,47,
MONROVIA,4400065A,1773,93,N,884,TOTAL,294,86,176,
MONROVIA,4400066A,1774,93,N,1053,POLLING PLACE,182,43,125,
MONROVIA,4400066A,1774,93,N,,VBM PORTION,59,20,35,
MONROVIA,4400066A,1774,93,N,1053,TOTAL,241,63,160,
MONROVIA,4400067A,1775,93,N,873,POLLING PLACE,135,44,82,
MONROVIA,4400067A,1775,93,N,,VBM PORTION,49,7,36,
MONROVIA,4400067A,1775,93,N,873,TOTAL,184,51,118,
PASADENA,5150002A,1985,85,N,538,POLLING PLACE,135,7,122,
PASADENA,5150002A,1985,85,N,,VBM PORTION,48,9,38,
PASADENA,5150002A,1985,85,N,538,TOTAL,183,16,160,
PASADENA,5150004A,1986,90,N,1318,POLLING PLACE,387,145,211,
PASADENA,5150004A,1986,90,N,,VBM PORTION,172,93,63,
PASADENA,5150004A,1986,90,N,1318,TOTAL,559,238,274,
PASADENA,5150005A,1987,85,N,986,POLLING PLACE,193,30,158,
PASADENA,5150005A,1987,85,N,,VBM PORTION,89,28,55,
PASADENA,5150005A,1987,85,N,986,TOTAL,282,58,213,
PASADENA,5150006B,1988,85,N,1064,POLLING PLACE,199,24,170,
PASADENA,5150006B,1988,85,N,,VBM PORTION,107,30,73,
PASADENA,5150006B,1988,85,N,1064,TOTAL,306,54,243,
PASADENA,5150007A,1989,85,N,994,POLLING PLACE,158,22,129,
PASADENA,5150007A,1989,85,N,,VBM PORTION,40,1,37,
PASADENA,5150007A,1989,85,N,994,TOTAL,198,23,166,
PASADENA,5150007B,6178,81,Y,,POLLING PLACE,,,,
PASADENA,5150007B,6178,81,Y,,VBM PORTION,,,,
PASADENA,5150007B,6178,81,Y,,TOTAL,,,,
PASADENA,5150008A,1990,85,N,955,POLLING PLACE,160,14,135,
PASADENA,5150008A,1990,85,N,,VBM PORTION,36,4,30,
PASADENA,5150008A,1990,85,N,955,TOTAL,196,18,165,
PASADENA,5150012A,1991,85,N,808,POLLING PLACE,88,7,75,
PASADENA,5150012A,1991,85,N,,VBM PORTION,23,6,13,
PASADENA,5150012A,1991,85,N,808,TOTAL,111,13,88,
PASADENA,5150014A,1992,90,N,1121,POLLING PLACE,325,156,147,
PASADENA,5150014A,1992,90,N,,VBM PORTION,209,88,104,
PASADENA,5150014A,1992,90,N,1121,TOTAL,534,244,251,
PASADENA,5150015A,1993,85,N,1268,POLLING PLACE,309,145,150,
PASADENA,5150015A,1993,85,N,,VBM PORTION,174,89,73,
PASADENA,5150015A,1993,85,N,1268,TOTAL,483,234,223,
PASADENA,5150021B,1994,85,N,909,POLLING PLACE,197,37,143,
PASADENA,5150021B,1994,85,N,,VBM PORTION,51,11,37,
PASADENA,5150021B,1994,85,N,909,TOTAL,248,48,180,
PASADENA,5150025A,1995,85,N,1274,POLLING PLACE,320,52,255,
