LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOHN CHIANG,GREG CONLON,
LAWNDALE,3650012A,1388,335,N,908,TOTAL,201,123,61,
LAWNDALE,3650013A,1389,335,N,974,POLLING PLACE,122,85,34,
LAWNDALE,3650013A,1389,335,N,,VBM PORTION,28,14,14,
LAWNDALE,3650013A,1389,335,N,974,TOTAL,150,99,48,
LAWNDALE,3650014A,1390,335,N,898,POLLING PLACE,129,74,51,
LAWNDALE,3650014A,1390,335,N,,VBM PORTION,38,22,13,
LAWNDALE,3650014A,1390,335,N,898,TOTAL,167,96,64,
LAWNDALE,3650015A,1391,335,N,1179,POLLING PLACE,177,112,55,
LAWNDALE,3650015A,1391,335,N,,VBM PORTION,50,32,15,
LAWNDALE,3650015A,1391,335,N,1179,TOTAL,227,144,70,
LAWNDALE,3650018A,1392,335,N,967,POLLING PLACE,148,84,48,
LAWNDALE,3650018A,1392,335,N,,VBM PORTION,39,25,14,
LAWNDALE,3650018A,1392,335,N,967,TOTAL,187,109,62,
LENNOX,3670001A,1393,338,N,396,POLLING PLACE,72,51,13,
LENNOX,3670001A,1393,338,N,,VBM PORTION,8,3,5,
LENNOX,3670001A,1393,338,N,396,TOTAL,80,54,18,
LENNOX,3670005A,1394,337,N,1123,POLLING PLACE,150,108,23,
LENNOX,3670005A,1394,337,N,,VBM PORTION,26,16,9,
LENNOX,3670005A,1394,337,N,1123,TOTAL,176,124,32,
LENNOX,3670007A,1395,337,N,1115,POLLING PLACE,144,106,18,
LENNOX,3670007A,1395,337,N,,VBM PORTION,15,11,4,
LENNOX,3670007A,1395,337,N,1115,TOTAL,159,117,22,
LENNOX,3670030A,1396,337,N,572,POLLING PLACE,74,58,11,
LENNOX,3670030A,1396,337,N,,VBM PORTION,13,9,3,
LENNOX,3670030A,1396,337,N,572,TOTAL,87,67,14,
LENNOX,3670031A,1397,337,N,932,POLLING PLACE,139,112,15,
LENNOX,3670031A,1397,337,N,,VBM PORTION,29,22,7,
LENNOX,3670031A,1397,337,N,932,TOTAL,168,134,22,
LENNOX,3670032A,1398,338,N,932,POLLING PLACE,125,92,20,
LENNOX,3670032A,1398,338,N,,VBM PORTION,17,13,3,
LENNOX,3670032A,1398,338,N,932,TOTAL,142,105,23,
LENNOX,3670033A,1399,337,N,980,POLLING PLACE,108,90,12,
LENNOX,3670033A,1399,337,N,,VBM PORTION,13,12,1,
LENNOX,3670033A,1399,337,N,980,TOTAL,121,102,13,
LEONA VALLEY,3680001A,1400,8,N,1031,POLLING PLACE,374,72,284,
LEONA VALLEY,3680001A,1400,8,N,,VBM PORTION,89,18,63,
LEONA VALLEY,3680001A,1400,8,N,1031,TOTAL,463,90,347,
LEONA VALLEY,3680002G,6133,16,Y,,POLLING PLACE,,,,
LEONA VALLEY,3680002G,6133,16,Y,,VBM PORTION,,,,
LEONA VALLEY,3680002G,6133,16,Y,,TOTAL,,,,
LEONA VALLEY,3680003D,6134,23,Y,,POLLING PLACE,,,,
LEONA VALLEY,3680003D,6134,23,Y,,VBM PORTION,,,,
LEONA VALLEY,3680003D,6134,23,Y,,TOTAL,,,,
LITTLEROCK,3700001A,1401,13,N,764,POLLING PLACE,165,64,92,
LITTLEROCK,3700001A,1401,13,N,,VBM PORTION,46,11,34,
LITTLEROCK,3700001A,1401,13,N,764,TOTAL,211,75,126,
LITTLEROCK,3700003A,6135,25,Y,2,POLLING PLACE,,,,
LITTLEROCK,3700003A,6135,25,Y,,VBM PORTION,,,,
LITTLEROCK,3700003A,6135,25,Y,2,TOTAL,,,,
LITTLEROCK,3700040A,1402,13,N,886,POLLING PLACE,173,75,90,
LITTLEROCK,3700040A,1402,13,N,,VBM PORTION,66,25,39,
LITTLEROCK,3700040A,1402,13,N,886,TOTAL,239,100,129,
LITTLEROCK,3700042B,1403,13,N,784,POLLING PLACE,148,50,87,
LITTLEROCK,3700042B,1403,13,N,,VBM PORTION,59,13,43,
LITTLEROCK,3700042B,1403,13,N,784,TOTAL,207,63,130,
LITTLEROCK,3700043A,1404,13,N,867,POLLING PLACE,150,84,56,
LITTLEROCK,3700043A,1404,13,N,,VBM PORTION,42,22,15,
LITTLEROCK,3700043A,1404,13,N,867,TOTAL,192,106,71,
LITTLEROCK,3700044A,1405,13,N,936,POLLING PLACE,144,61,72,
LITTLEROCK,3700044A,1405,13,N,,VBM PORTION,74,36,36,
LITTLEROCK,3700044A,1405,13,N,936,TOTAL,218,97,108,
LITTLEROCK,3700046A,1406,13,N,1031,POLLING PLACE,155,88,56,
LITTLEROCK,3700046A,1406,13,N,,VBM PORTION,59,26,32,
LITTLEROCK,3700046A,1406,13,N,1031,TOTAL,214,114,88,
LLANO,3750005A,1407,13,N,681,POLLING PLACE,177,42,125,
LLANO,3750005A,1407,13,N,,VBM PORTION,98,19,74,
LLANO,3750005A,1407,13,N,681,TOTAL,275,61,199,
LLANO,3750006A,6136,73,Y,,POLLING PLACE,,,,
LLANO,3750006A,6136,73,Y,,VBM PORTION,,,,
LLANO,3750006A,6136,73,Y,,TOTAL,,,,
LLANO,3750008F,6137,28,Y,,POLLING PLACE,,,,
LLANO,3750008F,6137,28,Y,,VBM PORTION,,,,
LLANO,3750008F,6137,28,Y,,TOTAL,,,,
LLANO,3750009A,6138,74,Y,,POLLING PLACE,,,,
LLANO,3750009A,6138,74,Y,,VBM PORTION,,,,
LLANO,3750009A,6138,74,Y,,TOTAL,,,,
LLANO,3750009B,6139,77,Y,,POLLING PLACE,,,,
LLANO,3750009B,6139,77,Y,,VBM PORTION,,,,
LLANO,3750009B,6139,77,Y,,TOTAL,,,,
LLANO,3750012A,6140,26,Y,28,POLLING PLACE,,,,
LLANO,3750012A,6140,26,Y,,VBM PORTION,8,2,6,
LLANO,3750012A,6140,26,Y,28,TOTAL,8,2,6,
LLANO,3750047A,6141,26,Y,97,POLLING PLACE,,,,
LLANO,3750047A,6141,26,Y,,VBM PORTION,24,4,18,
LLANO,3750047A,6141,26,Y,97,TOTAL,24,4,18,
LOMITA,3800001A,1408,381,N,910,POLLING PLACE,195,97,82,
LOMITA,3800001A,1408,381,N,,VBM PORTION,79,37,38,
LOMITA,3800001A,1408,381,N,910,TOTAL,274,134,120,
LOMITA,3800002A,1409,381,N,962,POLLING PLACE,216,95,98,
LOMITA,3800002A,1409,381,N,,VBM PORTION,77,34,36,
LOMITA,3800002A,1409,381,N,962,TOTAL,293,129,134,
LOMITA,3800003A,1410,381,N,1031,POLLING PLACE,265,115,138,
LOMITA,3800003A,1410,381,N,,VBM PORTION,60,34,21,
LOMITA,3800003A,1410,381,N,1031,TOTAL,325,149,159,
LOMITA,3800004A,1411,381,N,1256,POLLING PLACE,181,90,83,
LOMITA,3800004A,1411,381,N,,VBM PORTION,100,57,38,
LOMITA,3800004A,1411,381,N,1256,TOTAL,281,147,121,
LOMITA,3800005A,6142,383,Y,,POLLING PLACE,,,,
LOMITA,3800005A,6142,383,Y,,VBM PORTION,,,,
LOMITA,3800005A,6142,383,Y,,TOTAL,,,,
LOMITA,3800006A,1412,381,N,1152,POLLING PLACE,177,91,81,
LOMITA,3800006A,1412,381,N,,VBM PORTION,97,44,44,
LOMITA,3800006A,1412,381,N,1152,TOTAL,274,135,125,
LOMITA,3800007A,1413,381,N,1251,POLLING PLACE,224,106,110,
LOMITA,3800007A,1413,381,N,,VBM PORTION,137,69,64,
LOMITA,3800007A,1413,381,N,1251,TOTAL,361,175,174,
LOMITA,3800010A,1414,381,N,937,POLLING PLACE,252,111,133,
LOMITA,3800010A,1414,381,N,,VBM PORTION,70,36,30,
LOMITA,3800010A,1414,381,N,937,TOTAL,322,147,163,
LOMITA,3800012A,1415,381,N,951,POLLING PLACE,178,90,78,
LOMITA,3800012A,1415,381,N,,VBM PORTION,62,36,24,
LOMITA,3800012A,1415,381,N,951,TOTAL,240,126,102,
LOMITA,3800013A,1416,381,N,1300,POLLING PLACE,272,129,124,
LOMITA,3800013A,1416,381,N,,VBM PORTION,138,73,54,
LOMITA,3800013A,1416,381,N,1300,TOTAL,410,202,178,
LOMITA,3800017A,1417,381,N,1211,POLLING PLACE,283,119,141,
LOMITA,3800017A,1417,381,N,,VBM PORTION,94,44,47,
LOMITA,3800017A,1417,381,N,1211,TOTAL,377,163,188,
LONG BEACH,3850001A,1418,370,N,960,POLLING PLACE,126,106,16,
LONG BEACH,3850001A,1418,370,N,,VBM PORTION,25,22,2,
LONG BEACH,3850001A,1418,370,N,960,TOTAL,151,128,18,
LONG BEACH,3850001C,6143,365,Y,5,POLLING PLACE,,,,
LONG BEACH,3850001C,6143,365,Y,,VBM PORTION,2,2,,
LONG BEACH,3850001C,6143,365,Y,5,TOTAL,2,2,,
LONG BEACH,3850002A,6144,396,Y,2,POLLING PLACE,,,,
LONG BEACH,3850002A,6144,396,Y,,VBM PORTION,,,,
LONG BEACH,3850002A,6144,396,Y,2,TOTAL,,,,
LONG BEACH,3850003A,1419,396,N,377,POLLING PLACE,,,,
LONG BEACH,3850003A,1419,396,N,,VBM PORTION,1,,1,
LONG BEACH,3850003A,1419,396,N,377,TOTAL,1,,1,
LONG BEACH,3850004A,1420,370,N,1121,POLLING PLACE,202,158,30,
LONG BEACH,3850004A,1420,370,N,,VBM PORTION,45,40,2,
LONG BEACH,3850004A,1420,370,N,1121,TOTAL,247,198,32,
LONG BEACH,3850005A,1421,370,N,971,POLLING PLACE,133,108,18,
LONG BEACH,3850005A,1421,370,N,,VBM PORTION,31,24,1,
LONG BEACH,3850005A,1421,370,N,971,TOTAL,164,132,19,
LONG BEACH,3850007A,1422,396,N,1140,POLLING PLACE,124,87,24,
LONG BEACH,3850007A,1422,396,N,,VBM PORTION,72,56,14,
LONG BEACH,3850007A,1422,396,N,1140,TOTAL,196,143,38,
LONG BEACH,3850008A,1423,370,N,1132,POLLING PLACE,196,155,30,
LONG BEACH,3850008A,1423,370,N,,VBM PORTION,33,24,7,
LONG BEACH,3850008A,1423,370,N,1132,TOTAL,229,179,37,
LONG BEACH,3850009A,1424,355,N,1024,POLLING PLACE,129,94,25,
LONG BEACH,3850009A,1424,355,N,,VBM PORTION,40,23,9,
LONG BEACH,3850009A,1424,355,N,1024,TOTAL,169,117,34,
LONG BEACH,3850010A,1425,396,N,1175,POLLING PLACE,135,102,21,
LONG BEACH,3850010A,1425,396,N,,VBM PORTION,25,19,6,
LONG BEACH,3850010A,1425,396,N,1175,TOTAL,160,121,27,
LONG BEACH,3850012A,1426,396,N,1440,POLLING PLACE,216,138,61,
LONG BEACH,3850012A,1426,396,N,,VBM PORTION,148,94,46,
LONG BEACH,3850012A,1426,396,N,1440,TOTAL,364,232,107,
LONG BEACH,3850013A,1427,370,N,1104,POLLING PLACE,122,91,26,
LONG BEACH,3850013A,1427,370,N,,VBM PORTION,50,27,18,
LONG BEACH,3850013A,1427,370,N,1104,TOTAL,172,118,44,
LONG BEACH,3850015A,1428,370,N,994,POLLING PLACE,97,66,21,
LONG BEACH,3850015A,1428,370,N,,VBM PORTION,36,30,5,
LONG BEACH,3850015A,1428,370,N,994,TOTAL,133,96,26,
LONG BEACH,3850016A,1429,355,N,1093,POLLING PLACE,99,72,23,
LONG BEACH,3850016A,1429,355,N,,VBM PORTION,52,33,17,
LONG BEACH,3850016A,1429,355,N,1093,TOTAL,151,105,40,
LONG BEACH,3850017B,1430,355,N,833,POLLING PLACE,101,85,13,
LONG BEACH,3850017B,1430,355,N,,VBM PORTION,25,19,6,
LONG BEACH,3850017B,1430,355,N,833,TOTAL,126,104,19,
LONG BEACH,3850020A,1431,355,N,975,POLLING PLACE,90,66,18,
LONG BEACH,3850020A,1431,355,N,,VBM PORTION,37,28,8,
LONG BEACH,3850020A,1431,355,N,975,TOTAL,127,94,26,
LONG BEACH,3850020B,1432,355,N,767,POLLING PLACE,104,68,33,
LONG BEACH,3850020B,1432,355,N,,VBM PORTION,46,34,10,
LONG BEACH,3850020B,1432,355,N,767,TOTAL,150,102,43,
LONG BEACH,3850021A,1433,396,N,1091,POLLING PLACE,105,90,13,
LONG BEACH,3850021A,1433,396,N,,VBM PORTION,34,26,6,
LONG BEACH,3850021A,1433,396,N,1091,TOTAL,139,116,19,
LONG BEACH,3850024A,1434,355,N,1071,POLLING PLACE,124,87,25,
LONG BEACH,3850024A,1434,355,N,,VBM PORTION,46,30,13,
LONG BEACH,3850024A,1434,355,N,1071,TOTAL,170,117,38,
LONG BEACH,3850025A,1435,396,N,972,POLLING PLACE,101,69,21,
LONG BEACH,3850025A,1435,396,N,,VBM PORTION,38,25,8,
LONG BEACH,3850025A,1435,396,N,972,TOTAL,139,94,29,
LONG BEACH,3850026A,1436,355,N,805,POLLING PLACE,105,85,18,
LONG BEACH,3850026A,1436,355,N,,VBM PORTION,19,18,1,
LONG BEACH,3850026A,1436,355,N,805,TOTAL,124,103,19,
LONG BEACH,3850027D,1437,355,N,636,POLLING PLACE,86,47,32,
LONG BEACH,3850027D,1437,355,N,,VBM PORTION,16,5,8,
LONG BEACH,3850027D,1437,355,N,636,TOTAL,102,52,40,
LONG BEACH,3850029A,1438,355,N,696,POLLING PLACE,44,31,8,
LONG BEACH,3850029A,1438,355,N,,VBM PORTION,26,16,9,
LONG BEACH,3850029A,1438,355,N,696,TOTAL,70,47,17,
LONG BEACH,3850030A,1439,396,N,980,POLLING PLACE,124,97,21,
LONG BEACH,3850030A,1439,396,N,,VBM PORTION,36,23,9,
LONG BEACH,3850030A,1439,396,N,980,TOTAL,160,120,30,
LONG BEACH,3850031B,1440,355,N,721,POLLING PLACE,76,57,10,
LONG BEACH,3850031B,1440,355,N,,VBM PORTION,24,20,4,
LONG BEACH,3850031B,1440,355,N,721,TOTAL,100,77,14,
LONG BEACH,3850032A,1441,355,N,623,POLLING PLACE,54,40,6,
LONG BEACH,3850032A,1441,355,N,,VBM PORTION,12,8,2,
LONG BEACH,3850032A,1441,355,N,623,TOTAL,66,48,8,
LONG BEACH,3850032B,1442,355,N,899,POLLING PLACE,94,73,16,
LONG BEACH,3850032B,1442,355,N,,VBM PORTION,21,14,7,
LONG BEACH,3850032B,1442,355,N,899,TOTAL,115,87,23,
LONG BEACH,3850033A,1443,355,N,707,POLLING PLACE,109,62,36,
LONG BEACH,3850033A,1443,355,N,,VBM PORTION,28,19,8,
LONG BEACH,3850033A,1443,355,N,707,TOTAL,137,81,44,
LONG BEACH,3850034A,1444,396,N,899,POLLING PLACE,36,25,11,
LONG BEACH,3850034A,1444,396,N,,VBM PORTION,25,15,8,
LONG BEACH,3850034A,1444,396,N,899,TOTAL,61,40,19,
LONG BEACH,3850035A,1445,352,N,804,POLLING PLACE,115,67,40,
LONG BEACH,3850035A,1445,352,N,,VBM PORTION,34,21,12,
LONG BEACH,3850035A,1445,352,N,804,TOTAL,149,88,52,
LONG BEACH,3850036A,1446,396,N,902,POLLING PLACE,134,99,23,
LONG BEACH,3850036A,1446,396,N,,VBM PORTION,62,54,7,
LONG BEACH,3850036A,1446,396,N,902,TOTAL,196,153,30,
LONG BEACH,3850037A,1447,370,N,1186,POLLING PLACE,109,83,18,
LONG BEACH,3850037A,1447,370,N,,VBM PORTION,33,29,4,
LONG BEACH,3850037A,1447,370,N,1186,TOTAL,142,112,22,
LONG BEACH,3850037H,6145,365,Y,,POLLING PLACE,,,,
LONG BEACH,3850037H,6145,365,Y,,VBM PORTION,,,,
LONG BEACH,3850037H,6145,365,Y,,TOTAL,,,,
LONG BEACH,3850039A,1448,370,N,878,POLLING PLACE,65,53,6,
LONG BEACH,3850039A,1448,370,N,,VBM PORTION,29,17,8,
LONG BEACH,3850039A,1448,370,N,878,TOTAL,94,70,14,
LONG BEACH,3850040A,1449,396,N,1079,POLLING PLACE,42,31,10,
LONG BEACH,3850040A,1449,396,N,,VBM PORTION,18,14,4,
LONG BEACH,3850040A,1449,396,N,1079,TOTAL,60,45,14,
LONG BEACH,3850041A,1450,352,N,735,POLLING PLACE,57,46,7,
LONG BEACH,3850041A,1450,352,N,,VBM PORTION,21,16,3,
LONG BEACH,3850041A,1450,352,N,735,TOTAL,78,62,10,
LONG BEACH,3850042A,1451,357,N,804,POLLING PLACE,69,43,25,
LONG BEACH,3850042A,1451,357,N,,VBM PORTION,53,27,22,
LONG BEACH,3850042A,1451,357,N,804,TOTAL,122,70,47,
LONG BEACH,3850044D,1452,396,N,1065,POLLING PLACE,263,167,80,
LONG BEACH,3850044D,1452,396,N,,VBM PORTION,100,66,28,
LONG BEACH,3850044D,1452,396,N,1065,TOTAL,363,233,108,
LONG BEACH,3850045A,1453,396,N,946,POLLING PLACE,183,110,54,
LONG BEACH,3850045A,1453,396,N,,VBM PORTION,44,31,8,
LONG BEACH,3850045A,1453,396,N,946,TOTAL,227,141,62,
LONG BEACH,3850046A,1454,396,N,682,POLLING PLACE,49,35,11,
LONG BEACH,3850046A,1454,396,N,,VBM PORTION,16,12,3,
LONG BEACH,3850046A,1454,396,N,682,TOTAL,65,47,14,
LONG BEACH,3850047A,1455,396,N,1201,POLLING PLACE,74,52,17,
LONG BEACH,3850047A,1455,396,N,,VBM PORTION,33,23,9,
LONG BEACH,3850047A,1455,396,N,1201,TOTAL,107,75,26,
LONG BEACH,3850048A,1456,392,N,1108,POLLING PLACE,190,116,56,
LONG BEACH,3850048A,1456,392,N,,VBM PORTION,95,62,29,
LONG BEACH,3850048A,1456,392,N,1108,TOTAL,285,178,85,
LONG BEACH,3850049A,1457,396,N,1002,POLLING PLACE,124,86,29,
LONG BEACH,3850049A,1457,396,N,,VBM PORTION,29,15,8,
LONG BEACH,3850049A,1457,396,N,1002,TOTAL,153,101,37,
LONG BEACH,3850052A,1458,392,N,807,POLLING PLACE,173,88,71,
LONG BEACH,3850052A,1458,392,N,,VBM PORTION,91,43,42,
LONG BEACH,3850052A,1458,392,N,807,TOTAL,264,131,113,
LONG BEACH,3850053A,1459,396,N,1035,POLLING PLACE,152,108,37,
LONG BEACH,3850053A,1459,396,N,,VBM PORTION,77,46,26,
LONG BEACH,3850053A,1459,396,N,1035,TOTAL,229,154,63,
LONG BEACH,3850055A,1460,396,N,939,POLLING PLACE,158,109,38,
LONG BEACH,3850055A,1460,396,N,,VBM PORTION,41,23,16,
LONG BEACH,3850055A,1460,396,N,939,TOTAL,199,132,54,
LONG BEACH,3850058A,1461,355,N,1227,POLLING PLACE,135,97,28,
LONG BEACH,3850058A,1461,355,N,,VBM PORTION,52,31,13,
LONG BEACH,3850058A,1461,355,N,1227,TOTAL,187,128,41,
LONG BEACH,3850059A,1462,357,N,1234,POLLING PLACE,103,78,23,
LONG BEACH,3850059A,1462,357,N,,VBM PORTION,50,31,17,
LONG BEACH,3850059A,1462,357,N,1234,TOTAL,153,109,40,
LONG BEACH,3850060A,1463,370,N,1154,POLLING PLACE,120,85,29,
LONG BEACH,3850060A,1463,370,N,,VBM PORTION,42,30,6,
LONG BEACH,3850060A,1463,370,N,1154,TOTAL,162,115,35,
LONG BEACH,3850065A,1464,396,N,926,POLLING PLACE,187,102,78,
LONG BEACH,3850065A,1464,396,N,,VBM PORTION,107,52,50,
LONG BEACH,3850065A,1464,396,N,926,TOTAL,294,154,128,
LONG BEACH,3850067B,1465,396,N,1063,POLLING PLACE,247,131,104,
LONG BEACH,3850067B,1465,396,N,,VBM PORTION,118,61,49,
LONG BEACH,3850067B,1465,396,N,1063,TOTAL,365,192,153,
LONG BEACH,3850069B,1466,355,N,629,POLLING PLACE,101,62,34,
LONG BEACH,3850069B,1466,355,N,,VBM PORTION,42,32,5,
LONG BEACH,3850069B,1466,355,N,629,TOTAL,143,94,39,
LONG BEACH,3850070A,1467,396,N,912,POLLING PLACE,177,112,59,
LONG BEACH,3850070A,1467,396,N,,VBM PORTION,59,32,24,
LONG BEACH,3850070A,1467,396,N,912,TOTAL,236,144,83,
LONG BEACH,3850071A,1468,396,N,871,POLLING PLACE,178,124,44,
LONG BEACH,3850071A,1468,396,N,,VBM PORTION,47,30,13,
LONG BEACH,3850071A,1468,396,N,871,TOTAL,225,154,57,
LONG BEACH,3850072A,1469,396,N,941,POLLING PLACE,135,93,35,
LONG BEACH,3850072A,1469,396,N,,VBM PORTION,44,30,10,
LONG BEACH,3850072A,1469,396,N,941,TOTAL,179,123,45,
LONG BEACH,3850075A,1470,396,N,864,POLLING PLACE,164,101,54,
LONG BEACH,3850075A,1470,396,N,,VBM PORTION,73,47,21,
LONG BEACH,3850075A,1470,396,N,864,TOTAL,237,148,75,
LONG BEACH,3850076A,1471,396,N,1063,POLLING PLACE,156,113,32,
LONG BEACH,3850076A,1471,396,N,,VBM PORTION,77,43,30,
LONG BEACH,3850076A,1471,396,N,1063,TOTAL,233,156,62,
LONG BEACH,3850081A,1472,396,N,1166,POLLING PLACE,235,147,64,
LONG BEACH,3850081A,1472,396,N,,VBM PORTION,124,75,43,
LONG BEACH,3850081A,1472,396,N,1166,TOTAL,359,222,107,
LONG BEACH,3850082A,1473,396,N,922,POLLING PLACE,182,113,53,
LONG BEACH,3850082A,1473,396,N,,VBM PORTION,70,37,30,
LONG BEACH,3850082A,1473,396,N,922,TOTAL,252,150,83,
LONG BEACH,3850085A,1474,396,N,1338,POLLING PLACE,302,191,98,
LONG BEACH,3850085A,1474,396,N,,VBM PORTION,132,83,44,
LONG BEACH,3850085A,1474,396,N,1338,TOTAL,434,274,142,
LONG BEACH,3850089A,1475,396,N,1146,POLLING PLACE,112,70,29,
LONG BEACH,3850089A,1475,396,N,,VBM PORTION,81,59,21,
LONG BEACH,3850089A,1475,396,N,1146,TOTAL,193,129,50,
LONG BEACH,3850089D,1476,396,N,1196,POLLING PLACE,102,78,19,
LONG BEACH,3850089D,1476,396,N,,VBM PORTION,77,59,15,
LONG BEACH,3850089D,1476,396,N,1196,TOTAL,179,137,34,
LONG BEACH,3850091A,1477,396,N,989,POLLING PLACE,59,41,16,
LONG BEACH,3850091A,1477,396,N,,VBM PORTION,23,17,4,
LONG BEACH,3850091A,1477,396,N,989,TOTAL,82,58,20,
LONG BEACH,3850092A,1478,396,N,956,POLLING PLACE,159,129,20,
LONG BEACH,3850092A,1478,396,N,,VBM PORTION,46,36,10,
LONG BEACH,3850092A,1478,396,N,956,TOTAL,205,165,30,
LONG BEACH,3850093A,1479,396,N,692,POLLING PLACE,102,61,36,
LONG BEACH,3850093A,1479,396,N,,VBM PORTION,54,33,20,
LONG BEACH,3850093A,1479,396,N,692,TOTAL,156,94,56,
LONG BEACH,3850097A,1480,396,N,1243,POLLING PLACE,168,106,41,
LONG BEACH,3850097A,1480,396,N,,VBM PORTION,54,37,14,
LONG BEACH,3850097A,1480,396,N,1243,TOTAL,222,143,55,
LONG BEACH,3850099A,1481,396,N,1041,POLLING PLACE,155,112,26,
LONG BEACH,3850099A,1481,396,N,,VBM PORTION,41,32,9,
LONG BEACH,3850099A,1481,396,N,1041,TOTAL,196,144,35,
LONG BEACH,3850100A,1482,396,N,806,POLLING PLACE,122,94,22,
LONG BEACH,3850100A,1482,396,N,,VBM PORTION,25,17,5,
LONG BEACH,3850100A,1482,396,N,806,TOTAL,147,111,27,
LONG BEACH,3850101A,1483,396,N,933,POLLING PLACE,132,104,25,
LONG BEACH,3850101A,1483,396,N,,VBM PORTION,51,45,5,
LONG BEACH,3850101A,1483,396,N,933,TOTAL,183,149,30,
LONG BEACH,3850102A,1484,370,N,1101,POLLING PLACE,116,89,21,
LONG BEACH,3850102A,1484,370,N,,VBM PORTION,32,19,12,
LONG BEACH,3850102A,1484,370,N,1101,TOTAL,148,108,33,
LONG BEACH,3850103A,1485,396,N,963,POLLING PLACE,116,82,22,
LONG BEACH,3850103A,1485,396,N,,VBM PORTION,52,27,23,
LONG BEACH,3850103A,1485,396,N,963,TOTAL,168,109,45,
LONG BEACH,3850108A,1486,396,N,775,POLLING PLACE,74,49,19,
LONG BEACH,3850108A,1486,396,N,,VBM PORTION,74,44,29,
LONG BEACH,3850108A,1486,396,N,775,TOTAL,148,93,48,
LONG BEACH,3850110A,1487,396,N,1070,POLLING PLACE,139,106,23,
LONG BEACH,3850110A,1487,396,N,,VBM PORTION,64,48,10,
LONG BEACH,3850110A,1487,396,N,1070,TOTAL,203,154,33,
LONG BEACH,3850113B,1488,396,N,991,POLLING PLACE,77,47,14,
LONG BEACH,3850113B,1488,396,N,,VBM PORTION,41,27,10,
LONG BEACH,3850113B,1488,396,N,991,TOTAL,118,74,24,
LONG BEACH,3850117A,1489,396,N,1216,POLLING PLACE,124,90,20,
LONG BEACH,3850117A,1489,396,N,,VBM PORTION,43,33,7,
LONG BEACH,3850117A,1489,396,N,1216,TOTAL,167,123,27,
LONG BEACH,3850118A,1490,396,N,613,POLLING PLACE,48,38,9,
LONG BEACH,3850118A,1490,396,N,,VBM PORTION,18,14,4,
LONG BEACH,3850118A,1490,396,N,613,TOTAL,66,52,13,
LONG BEACH,3850120A,1491,396,N,895,POLLING PLACE,148,112,26,
LONG BEACH,3850120A,1491,396,N,,VBM PORTION,68,50,13,
LONG BEACH,3850120A,1491,396,N,895,TOTAL,216,162,39,
LONG BEACH,3850122A,1492,396,N,801,POLLING PLACE,67,53,10,
LONG BEACH,3850122A,1492,396,N,,VBM PORTION,28,25,3,
LONG BEACH,3850122A,1492,396,N,801,TOTAL,95,78,13,
LONG BEACH,3850123A,1493,396,N,855,POLLING PLACE,62,50,7,
LONG BEACH,3850123A,1493,396,N,,VBM PORTION,28,18,10,
LONG BEACH,3850123A,1493,396,N,855,TOTAL,90,68,17,
LONG BEACH,3850128A,1494,396,N,755,POLLING PLACE,71,52,17,
LONG BEACH,3850128A,1494,396,N,,VBM PORTION,26,15,11,
LONG BEACH,3850128A,1494,396,N,755,TOTAL,97,67,28,
LONG BEACH,3850133A,1495,396,N,1106,POLLING PLACE,127,99,23,
LONG BEACH,3850133A,1495,396,N,,VBM PORTION,38,23,10,
LONG BEACH,3850133A,1495,396,N,1106,TOTAL,165,122,33,
LONG BEACH,3850134B,1496,396,N,1018,POLLING PLACE,64,49,10,
LONG BEACH,3850134B,1496,396,N,,VBM PORTION,15,14,,
LONG BEACH,3850134B,1496,396,N,1018,TOTAL,79,63,10,
LONG BEACH,3850135A,1497,396,N,1267,POLLING PLACE,203,156,36,
LONG BEACH,3850135A,1497,396,N,,VBM PORTION,85,64,15,
LONG BEACH,3850135A,1497,396,N,1267,TOTAL,288,220,51,
LONG BEACH,3850137A,1498,396,N,1148,POLLING PLACE,76,59,11,
LONG BEACH,3850137A,1498,396,N,,VBM PORTION,34,26,7,
LONG BEACH,3850137A,1498,396,N,1148,TOTAL,110,85,18,
LONG BEACH,3850138A,1499,396,N,933,POLLING PLACE,87,73,7,
LONG BEACH,3850138A,1499,396,N,,VBM PORTION,25,19,6,
LONG BEACH,3850138A,1499,396,N,933,TOTAL,112,92,13,
LONG BEACH,3850144A,1500,396,N,1101,POLLING PLACE,51,43,4,
LONG BEACH,3850144A,1500,396,N,,VBM PORTION,27,25,1,
LONG BEACH,3850144A,1500,396,N,1101,TOTAL,78,68,5,
LONG BEACH,3850145A,1501,396,N,877,POLLING PLACE,51,40,8,
LONG BEACH,3850145A,1501,396,N,,VBM PORTION,18,16,1,
LONG BEACH,3850145A,1501,396,N,877,TOTAL,69,56,9,
LONG BEACH,3850146A,1502,396,N,1128,POLLING PLACE,92,69,17,
LONG BEACH,3850146A,1502,396,N,,VBM PORTION,37,25,9,
LONG BEACH,3850146A,1502,396,N,1128,TOTAL,129,94,26,
LONG BEACH,3850147A,1503,396,N,863,POLLING PLACE,171,80,79,
LONG BEACH,3850147A,1503,396,N,,VBM PORTION,48,24,23,
LONG BEACH,3850147A,1503,396,N,863,TOTAL,219,104,102,
LONG BEACH,3850149A,1504,396,N,1011,POLLING PLACE,141,113,22,
