LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,
LONG BEACH,3850264A,1553,392,N,730,POLLING PLACE,103,55,44,
LONG BEACH,3850264A,1553,392,N,,VBM PORTION,48,25,19,
LONG BEACH,3850264A,1553,392,N,730,TOTAL,151,80,63,
LONG BEACH,3850270A,1554,392,N,775,POLLING PLACE,114,73,36,
LONG BEACH,3850270A,1554,392,N,,VBM PORTION,65,27,35,
LONG BEACH,3850270A,1554,392,N,775,TOTAL,179,100,71,
LONG BEACH,3850271A,1555,392,N,1034,POLLING PLACE,239,127,98,
LONG BEACH,3850271A,1555,392,N,,VBM PORTION,84,37,44,
LONG BEACH,3850271A,1555,392,N,1034,TOTAL,323,164,142,
LONG BEACH,3850272A,1556,392,N,985,POLLING PLACE,213,105,98,
LONG BEACH,3850272A,1556,392,N,,VBM PORTION,84,29,47,
LONG BEACH,3850272A,1556,392,N,985,TOTAL,297,134,145,
LONG BEACH,3850275A,1557,392,N,1077,POLLING PLACE,245,122,114,
LONG BEACH,3850275A,1557,392,N,,VBM PORTION,144,56,80,
LONG BEACH,3850275A,1557,392,N,1077,TOTAL,389,178,194,
LONG BEACH,3850276A,1558,392,N,1128,POLLING PLACE,272,110,144,
LONG BEACH,3850276A,1558,392,N,,VBM PORTION,146,58,80,
LONG BEACH,3850276A,1558,392,N,1128,TOTAL,418,168,224,
LONG BEACH,3850280A,1559,392,N,1212,POLLING PLACE,300,104,180,
LONG BEACH,3850280A,1559,392,N,,VBM PORTION,229,71,144,
LONG BEACH,3850280A,1559,392,N,1212,TOTAL,529,175,324,
LONG BEACH,3850285A,1560,392,N,1035,POLLING PLACE,238,97,129,
LONG BEACH,3850285A,1560,392,N,,VBM PORTION,152,47,97,
LONG BEACH,3850285A,1560,392,N,1035,TOTAL,390,144,226,
LONG BEACH,3850287A,1561,392,N,835,POLLING PLACE,206,101,92,
LONG BEACH,3850287A,1561,392,N,,VBM PORTION,104,49,50,
LONG BEACH,3850287A,1561,392,N,835,TOTAL,310,150,142,
LONG BEACH,3850290A,1562,392,N,1186,POLLING PLACE,245,83,148,
LONG BEACH,3850290A,1562,392,N,,VBM PORTION,194,52,133,
LONG BEACH,3850290A,1562,392,N,1186,TOTAL,439,135,281,
LONG BEACH,3850293B,1563,392,N,843,POLLING PLACE,190,70,108,
LONG BEACH,3850293B,1563,392,N,,VBM PORTION,126,42,72,
LONG BEACH,3850293B,1563,392,N,843,TOTAL,316,112,180,
LONG BEACH,3850294A,1564,392,N,840,POLLING PLACE,195,84,101,
LONG BEACH,3850294A,1564,392,N,,VBM PORTION,62,25,29,
LONG BEACH,3850294A,1564,392,N,840,TOTAL,257,109,130,
LONG BEACH,3850295A,1565,392,N,1247,POLLING PLACE,260,116,136,
LONG BEACH,3850295A,1565,392,N,,VBM PORTION,136,49,77,
LONG BEACH,3850295A,1565,392,N,1247,TOTAL,396,165,213,
LONG BEACH,3850302A,1567,392,N,1327,POLLING PLACE,378,188,168,
LONG BEACH,3850302A,1567,392,N,,VBM PORTION,169,66,86,
LONG BEACH,3850302A,1567,392,N,1327,TOTAL,547,254,254,
LONG BEACH,3850305A,1568,392,N,1428,POLLING PLACE,354,177,160,
LONG BEACH,3850305A,1568,392,N,,VBM PORTION,159,53,92,
LONG BEACH,3850305A,1568,392,N,1428,TOTAL,513,230,252,
LONG BEACH,3850321A,1574,392,N,1355,POLLING PLACE,334,148,166,
LONG BEACH,3850321A,1574,392,N,,VBM PORTION,146,63,75,
LONG BEACH,3850321A,1574,392,N,1355,TOTAL,480,211,241,
LONG BEACH,3850324A,1576,392,N,1090,POLLING PLACE,241,134,94,
LONG BEACH,3850324A,1576,392,N,,VBM PORTION,84,46,31,
LONG BEACH,3850324A,1576,392,N,1090,TOTAL,325,180,125,
LONG BEACH,3850328A,1577,392,N,1452,POLLING PLACE,344,142,177,
LONG BEACH,3850328A,1577,392,N,,VBM PORTION,182,57,109,
LONG BEACH,3850328A,1577,392,N,1452,TOTAL,526,199,286,
LONG BEACH,3850445A,1609,392,N,1228,POLLING PLACE,251,94,141,
LONG BEACH,3850445A,1609,392,N,,VBM PORTION,180,47,120,
LONG BEACH,3850445A,1609,392,N,1228,TOTAL,431,141,261,
LONG BEACH,3850447A,1610,392,N,1533,POLLING PLACE,375,144,214,
LONG BEACH,3850447A,1610,392,N,,VBM PORTION,200,57,132,
LONG BEACH,3850447A,1610,392,N,1533,TOTAL,575,201,346,
LONG BEACH,3850469A,1611,392,N,287,POLLING PLACE,75,28,42,
LONG BEACH,3850469A,1611,392,N,,VBM PORTION,59,23,31,
LONG BEACH,3850469A,1611,392,N,287,TOTAL,134,51,73,
LONG BEACH,3850481A,1612,392,N,764,POLLING PLACE,168,66,96,
LONG BEACH,3850481A,1612,392,N,,VBM PORTION,107,28,72,
LONG BEACH,3850481A,1612,392,N,764,TOTAL,275,94,168,
LONG BEACH,3850535A,1616,392,N,845,POLLING PLACE,218,95,104,
LONG BEACH,3850535A,1616,392,N,,VBM PORTION,87,22,60,
LONG BEACH,3850535A,1616,392,N,845,TOTAL,305,117,164,
LONG BEACH,3850539A,1617,392,N,1160,POLLING PLACE,285,135,138,
LONG BEACH,3850539A,1617,392,N,,VBM PORTION,141,42,92,
LONG BEACH,3850539A,1617,392,N,1160,TOTAL,426,177,230,
LONG BEACH,3850637A,1651,392,N,802,POLLING PLACE,218,109,99,
LONG BEACH,3850637A,1651,392,N,,VBM PORTION,90,35,43,
LONG BEACH,3850637A,1651,392,N,802,TOTAL,308,144,142,
LONG BEACH,3850639A,1652,392,N,963,POLLING PLACE,262,114,134,
LONG BEACH,3850639A,1652,392,N,,VBM PORTION,100,34,60,
LONG BEACH,3850639A,1652,392,N,963,TOTAL,362,148,194,
LONG BEACH,3850645A,1653,392,N,730,POLLING PLACE,14,11,1,
LONG BEACH,3850645A,1653,392,N,,VBM PORTION,1,1,,
LONG BEACH,3850645A,1653,392,N,730,TOTAL,15,12,1,
LONG BEACH,3850648A,1654,392,N,1458,POLLING PLACE,376,159,196,
LONG BEACH,3850648A,1654,392,N,,VBM PORTION,180,51,114,
LONG BEACH,3850648A,1654,392,N,1458,TOTAL,556,210,310,
LONG BEACH,3850649E,6148,391,Y,,POLLING PLACE,,,,
LONG BEACH,3850649E,6148,391,Y,,VBM PORTION,,,,
LONG BEACH,3850649E,6148,391,Y,,TOTAL,,,,
LONG BEACH,3850650A,1655,344,N,846,POLLING PLACE,151,60,79,
LONG BEACH,3850650A,1655,344,N,,VBM PORTION,77,22,47,
LONG BEACH,3850650A,1655,344,N,846,TOTAL,228,82,126,
LONG BEACH,3850688A,1660,392,N,1028,POLLING PLACE,174,85,80,
LONG BEACH,3850688A,1660,392,N,,VBM PORTION,194,74,116,
LONG BEACH,3850688A,1660,392,N,1028,TOTAL,368,159,196,
BALLOT GROUP 344,9990344A,8344,344,N,,POLLING PLACE,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,VBM PORTION,,,,
BALLOT GROUP 344,9990344A,8344,344,N,,TOTAL,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,POLLING PLACE,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,VBM PORTION,,,,
BALLOT GROUP 391,9990391A,8391,391,N,,TOTAL,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,POLLING PLACE,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,VBM PORTION,,,,
BALLOT GROUP 392,9990392A,8392,392,N,,TOTAL,,,,
