LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,TOM LACKEY,
ACTON,0050003A,1,13,N,1044,POLLING PLACE,308,59,236,
ACTON,0050003A,1,13,N,,VBM PORTION,110,24,81,
ACTON,0050003A,1,13,N,1044,TOTAL,418,83,317,
ACTON,0050004B,2,13,N,576,POLLING PLACE,128,20,106,
ACTON,0050004B,2,13,N,,VBM PORTION,93,20,69,
ACTON,0050004B,2,13,N,576,TOTAL,221,40,175,
ACTON,0050005A,3,13,N,713,POLLING PLACE,198,39,153,
ACTON,0050005A,3,13,N,,VBM PORTION,71,16,53,
ACTON,0050005A,3,13,N,713,TOTAL,269,55,206,
ACTON,0050014A,4,23,N,695,POLLING PLACE,172,38,125,
ACTON,0050014A,4,23,N,,VBM PORTION,87,25,60,
ACTON,0050014A,4,23,N,695,TOTAL,259,63,185,
ACTON,0050022A,6001,27,Y,61,POLLING PLACE,,,,
ACTON,0050022A,6001,27,Y,,VBM PORTION,19,3,15,
ACTON,0050022A,6001,27,Y,61,TOTAL,19,3,15,
ACTON,0050025A,6002,23,Y,2,POLLING PLACE,,,,
ACTON,0050025A,6002,23,Y,,VBM PORTION,2,2,,
ACTON,0050025A,6002,23,Y,2,TOTAL,2,2,,
ACTON,0050026A,6003,29,Y,,POLLING PLACE,,,,
ACTON,0050026A,6003,29,Y,,VBM PORTION,,,,
ACTON,0050026A,6003,29,Y,,TOTAL,,,,
ACTON,0050059A,5,13,N,1169,POLLING PLACE,299,75,211,
ACTON,0050059A,5,13,N,,VBM PORTION,113,25,82,
ACTON,0050059A,5,13,N,1169,TOTAL,412,100,293,
ACTON,0050061A,6,13,N,1105,POLLING PLACE,277,62,204,
ACTON,0050061A,6,13,N,,VBM PORTION,132,31,98,
ACTON,0050061A,6,13,N,1105,TOTAL,409,93,302,
AGUA DULCE,0090005B,6010,13,Y,167,POLLING PLACE,,,,
AGUA DULCE,0090005B,6010,13,Y,,VBM PORTION,22,5,14,
AGUA DULCE,0090005B,6010,13,Y,167,TOTAL,22,5,14,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,30,141,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,22,81,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,52,222,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,1,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,1,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
CANYON COUNTRY,1020007A,6037,10,Y,45,POLLING PLACE,,,,
CANYON COUNTRY,1020007A,6037,10,Y,,VBM PORTION,10,4,6,
CANYON COUNTRY,1020007A,6037,10,Y,45,TOTAL,10,4,6,
CANYON COUNTRY,1020244A,365,19,N,576,POLLING PLACE,117,35,76,
CANYON COUNTRY,1020244A,365,19,N,,VBM PORTION,55,18,34,
CANYON COUNTRY,1020244A,365,19,N,576,TOTAL,172,53,110,
DEL SUR,1750001A,622,8,N,1079,POLLING PLACE,273,82,180,
DEL SUR,1750001A,622,8,N,,VBM PORTION,111,34,74,
DEL SUR,1750001A,622,8,N,1079,TOTAL,384,116,254,
DEL SUR,1750005H,6061,16,Y,,POLLING PLACE,,,,
DEL SUR,1750005H,6061,16,Y,,VBM PORTION,,,,
DEL SUR,1750005H,6061,16,Y,,TOTAL,,,,
DEL SUR,1750007C,6062,15,Y,,POLLING PLACE,,,,
DEL SUR,1750007C,6062,15,Y,,VBM PORTION,,,,
DEL SUR,1750007C,6062,15,Y,,TOTAL,,,,
DEL SUR,1750052A,6063,3,Y,234,POLLING PLACE,,,,
DEL SUR,1750052A,6063,3,Y,,VBM PORTION,108,30,76,
DEL SUR,1750052A,6063,3,Y,234,TOTAL,108,30,76,
DEL SUR,1750054A,623,7,N,562,POLLING PLACE,133,19,100,
DEL SUR,1750054A,623,7,N,,VBM PORTION,96,17,76,
DEL SUR,1750054A,623,7,N,562,TOTAL,229,36,176,
DEL SUR,1750055A,624,1,N,1404,POLLING PLACE,376,58,308,
DEL SUR,1750055A,624,1,N,,VBM PORTION,170,35,123,
DEL SUR,1750055A,624,1,N,1404,TOTAL,546,93,431,
DESERT,1770001A,625,8,N,1091,POLLING PLACE,200,70,125,
DESERT,1770001A,625,8,N,,VBM PORTION,77,28,45,
DESERT,1770001A,625,8,N,1091,TOTAL,277,98,170,
DESERT,1770004A,626,13,N,1124,POLLING PLACE,270,44,215,
DESERT,1770004A,626,13,N,,VBM PORTION,165,29,127,
DESERT,1770004A,626,13,N,1124,TOTAL,435,73,342,
DESERT,1770007A,6064,13,Y,114,POLLING PLACE,,,,
DESERT,1770007A,6064,13,Y,,VBM PORTION,9,3,5,
DESERT,1770007A,6064,13,Y,114,TOTAL,9,3,5,
DESERT,1770015A,627,13,N,947,POLLING PLACE,129,42,81,
DESERT,1770015A,627,13,N,,VBM PORTION,147,41,98,
DESERT,1770015A,627,13,N,947,TOTAL,276,83,179,
DESERT,1770016A,628,13,N,397,POLLING PLACE,95,31,57,
DESERT,1770016A,628,13,N,,VBM PORTION,47,17,29,
DESERT,1770016A,628,13,N,397,TOTAL,142,48,86,
DESERT,1770063J,6065,13,Y,,POLLING PLACE,,,,
DESERT,1770063J,6065,13,Y,,VBM PORTION,,,,
DESERT,1770063J,6065,13,Y,,TOTAL,,,,
GORMAN,2610001A,6091,15,Y,49,POLLING PLACE,,,,
GORMAN,2610001A,6091,15,Y,,VBM PORTION,10,,9,
GORMAN,2610001A,6091,15,Y,49,TOTAL,10,,9,
GORMAN,2610017B,6092,23,Y,4,POLLING PLACE,,,,
GORMAN,2610017B,6092,23,Y,,VBM PORTION,,,,
GORMAN,2610017B,6092,23,Y,4,TOTAL,,,,
GREEN VALLEY,2620001A,1018,13,N,596,POLLING PLACE,173,52,106,
GREEN VALLEY,2620001A,1018,13,N,,VBM PORTION,62,15,42,
GREEN VALLEY,2620001A,1018,13,N,596,TOTAL,235,67,148,
LANCASTER,3550001A,1317,2,N,1305,POLLING PLACE,194,89,99,
LANCASTER,3550001A,1317,2,N,,VBM PORTION,81,34,42,
LANCASTER,3550001A,1317,2,N,1305,TOTAL,275,123,141,
LANCASTER,3550003A,1318,2,N,1076,POLLING PLACE,226,59,153,
LANCASTER,3550003A,1318,2,N,,VBM PORTION,112,31,74,
LANCASTER,3550003A,1318,2,N,1076,TOTAL,338,90,227,
LANCASTER,3550003D,1319,2,N,1432,POLLING PLACE,148,63,76,
LANCASTER,3550003D,1319,2,N,,VBM PORTION,104,35,62,
LANCASTER,3550003D,1319,2,N,1432,TOTAL,252,98,138,
LANCASTER,3550004A,1320,2,N,1751,POLLING PLACE,223,141,68,
LANCASTER,3550004A,1320,2,N,,VBM PORTION,184,123,55,
LANCASTER,3550004A,1320,2,N,1751,TOTAL,407,264,123,
LANCASTER,3550004F,6125,5,Y,,POLLING PLACE,,,,
LANCASTER,3550004F,6125,5,Y,,VBM PORTION,,,,
LANCASTER,3550004F,6125,5,Y,,TOTAL,,,,
LANCASTER,3550007A,1321,13,N,1310,POLLING PLACE,140,67,70,
LANCASTER,3550007A,1321,13,N,,VBM PORTION,105,46,57,
LANCASTER,3550007A,1321,13,N,1310,TOTAL,245,113,127,
LANCASTER,3550008A,1322,13,N,1425,POLLING PLACE,176,93,78,
LANCASTER,3550008A,1322,13,N,,VBM PORTION,90,49,37,
LANCASTER,3550008A,1322,13,N,1425,TOTAL,266,142,115,
LANCASTER,3550009A,1323,13,N,1537,POLLING PLACE,129,71,52,
LANCASTER,3550009A,1323,13,N,,VBM PORTION,72,43,24,
LANCASTER,3550009A,1323,13,N,1537,TOTAL,201,114,76,
LANCASTER,3550011B,1324,9,N,1379,POLLING PLACE,140,50,80,
LANCASTER,3550011B,1324,9,N,,VBM PORTION,138,74,53,
LANCASTER,3550011B,1324,9,N,1379,TOTAL,278,124,133,
LANCASTER,3550013A,1325,9,N,1302,POLLING PLACE,121,45,65,
LANCASTER,3550013A,1325,9,N,,VBM PORTION,100,58,38,
LANCASTER,3550013A,1325,9,N,1302,TOTAL,221,103,103,
LANCASTER,3550015A,1326,13,N,1528,POLLING PLACE,246,103,131,
LANCASTER,3550015A,1326,13,N,,VBM PORTION,105,43,61,
LANCASTER,3550015A,1326,13,N,1528,TOTAL,351,146,192,
LANCASTER,3550018A,1327,13,N,1270,POLLING PLACE,180,117,46,
LANCASTER,3550018A,1327,13,N,,VBM PORTION,88,51,29,
LANCASTER,3550018A,1327,13,N,1270,TOTAL,268,168,75,
LANCASTER,3550019B,6126,17,Y,,POLLING PLACE,,,,
LANCASTER,3550019B,6126,17,Y,,VBM PORTION,,,,
LANCASTER,3550019B,6126,17,Y,,TOTAL,,,,
LANCASTER,3550019D,1328,9,N,1186,POLLING PLACE,198,89,102,
LANCASTER,3550019D,1328,9,N,,VBM PORTION,123,60,60,
LANCASTER,3550019D,1328,9,N,1186,TOTAL,321,149,162,
LANCASTER,3550020B,1329,3,N,1339,POLLING PLACE,282,93,170,
LANCASTER,3550020B,1329,3,N,,VBM PORTION,138,29,104,
LANCASTER,3550020B,1329,3,N,1339,TOTAL,420,122,274,
LANCASTER,3550022A,1330,13,N,1364,POLLING PLACE,170,76,91,
LANCASTER,3550022A,1330,13,N,,VBM PORTION,109,54,50,
LANCASTER,3550022A,1330,13,N,1364,TOTAL,279,130,141,
LANCASTER,3550023A,1331,3,N,934,POLLING PLACE,206,57,141,
LANCASTER,3550023A,1331,3,N,,VBM PORTION,72,20,43,
LANCASTER,3550023A,1331,3,N,934,TOTAL,278,77,184,
LANCASTER,3550024A,1332,2,N,1466,POLLING PLACE,157,69,80,
LANCASTER,3550024A,1332,2,N,,VBM PORTION,115,78,28,
LANCASTER,3550024A,1332,2,N,1466,TOTAL,272,147,108,
LANCASTER,3550024C,6127,4,Y,,POLLING PLACE,,,,
LANCASTER,3550024C,6127,4,Y,,VBM PORTION,,,,
LANCASTER,3550024C,6127,4,Y,,TOTAL,,,,
LANCASTER,3550026A,1333,13,N,1059,POLLING PLACE,200,82,108,
LANCASTER,3550026A,1333,13,N,,VBM PORTION,63,19,38,
LANCASTER,3550026A,1333,13,N,1059,TOTAL,263,101,146,
LANCASTER,3550029A,1334,2,N,794,POLLING PLACE,208,60,142,
LANCASTER,3550029A,1334,2,N,,VBM PORTION,102,25,75,
LANCASTER,3550029A,1334,2,N,794,TOTAL,310,85,217,
LANCASTER,3550030B,1335,13,N,1349,POLLING PLACE,209,75,127,
LANCASTER,3550030B,1335,13,N,,VBM PORTION,117,42,70,
LANCASTER,3550030B,1335,13,N,1349,TOTAL,326,117,197,
LANCASTER,3550032A,1336,13,N,926,POLLING PLACE,189,57,125,
LANCASTER,3550032A,1336,13,N,,VBM PORTION,79,19,58,
LANCASTER,3550032A,1336,13,N,926,TOTAL,268,76,183,
LANCASTER,3550033A,1337,3,N,911,POLLING PLACE,231,47,180,
LANCASTER,3550033A,1337,3,N,,VBM PORTION,90,32,52,
LANCASTER,3550033A,1337,3,N,911,TOTAL,321,79,232,
LANCASTER,3550034A,1338,7,N,961,POLLING PLACE,107,72,34,
LANCASTER,3550034A,1338,7,N,,VBM PORTION,48,35,12,
LANCASTER,3550034A,1338,7,N,961,TOTAL,155,107,46,
LANCASTER,3550035B,1339,3,N,1291,POLLING PLACE,238,87,146,
LANCASTER,3550035B,1339,3,N,,VBM PORTION,107,37,68,
LANCASTER,3550035B,1339,3,N,1291,TOTAL,345,124,214,
LANCASTER,3550036A,1340,7,N,884,POLLING PLACE,93,40,50,
LANCASTER,3550036A,1340,7,N,,VBM PORTION,69,35,26,
LANCASTER,3550036A,1340,7,N,884,TOTAL,162,75,76,
LANCASTER,3550040A,1341,3,N,1305,POLLING PLACE,252,95,148,
LANCASTER,3550040A,1341,3,N,,VBM PORTION,114,38,72,
LANCASTER,3550040A,1341,3,N,1305,TOTAL,366,133,220,
LANCASTER,3550041A,1342,7,N,933,POLLING PLACE,135,66,58,
LANCASTER,3550041A,1342,7,N,,VBM PORTION,75,43,32,
LANCASTER,3550041A,1342,7,N,933,TOTAL,210,109,90,
LANCASTER,3550042A,1343,13,N,1120,POLLING PLACE,163,61,91,
LANCASTER,3550042A,1343,13,N,,VBM PORTION,61,28,30,
LANCASTER,3550042A,1343,13,N,1120,TOTAL,224,89,121,
LANCASTER,3550044A,1344,3,N,1121,POLLING PLACE,219,49,164,
LANCASTER,3550044A,1344,3,N,,VBM PORTION,120,31,82,
LANCASTER,3550044A,1344,3,N,1121,TOTAL,339,80,246,
LANCASTER,3550045A,1345,2,N,998,POLLING PLACE,175,55,116,
LANCASTER,3550045A,1345,2,N,,VBM PORTION,93,29,58,
LANCASTER,3550045A,1345,2,N,998,TOTAL,268,84,174,
LANCASTER,3550047B,1346,3,N,595,POLLING PLACE,93,34,57,
LANCASTER,3550047B,1346,3,N,,VBM PORTION,61,31,29,
LANCASTER,3550047B,1346,3,N,595,TOTAL,154,65,86,
LANCASTER,3550047D,6128,6,Y,2,POLLING PLACE,,,,
LANCASTER,3550047D,6128,6,Y,,VBM PORTION,,,,
LANCASTER,3550047D,6128,6,Y,2,TOTAL,,,,
LANCASTER,3550048A,1347,13,N,1200,POLLING PLACE,155,82,65,
LANCASTER,3550048A,1347,13,N,,VBM PORTION,88,47,34,
LANCASTER,3550048A,1347,13,N,1200,TOTAL,243,129,99,
LANCASTER,3550050A,1348,7,N,1535,POLLING PLACE,151,72,73,
LANCASTER,3550050A,1348,7,N,,VBM PORTION,115,76,35,
LANCASTER,3550050A,1348,7,N,1535,TOTAL,266,148,108,
LANCASTER,3550052A,1349,9,N,1092,POLLING PLACE,237,78,147,
LANCASTER,3550052A,1349,9,N,,VBM PORTION,155,50,96,
LANCASTER,3550052A,1349,9,N,1092,TOTAL,392,128,243,
LANCASTER,3550053A,1350,2,N,1240,POLLING PLACE,186,97,83,
LANCASTER,3550053A,1350,2,N,,VBM PORTION,86,43,38,
LANCASTER,3550053A,1350,2,N,1240,TOTAL,272,140,121,
LANCASTER,3550054A,1351,13,N,1267,POLLING PLACE,140,66,67,
LANCASTER,3550054A,1351,13,N,,VBM PORTION,97,53,39,
LANCASTER,3550054A,1351,13,N,1267,TOTAL,237,119,106,
LANCASTER,3550058A,1352,13,N,789,POLLING PLACE,166,41,116,
LANCASTER,3550058A,1352,13,N,,VBM PORTION,90,22,66,
LANCASTER,3550058A,1352,13,N,789,TOTAL,256,63,182,
LANCASTER,3550059A,1353,13,N,942,POLLING PLACE,213,57,150,
LANCASTER,3550059A,1353,13,N,,VBM PORTION,98,20,73,
LANCASTER,3550059A,1353,13,N,942,TOTAL,311,77,223,
LANCASTER,3550060A,1354,3,N,1062,POLLING PLACE,227,57,160,
LANCASTER,3550060A,1354,3,N,,VBM PORTION,143,42,92,
LANCASTER,3550060A,1354,3,N,1062,TOTAL,370,99,252,
LANCASTER,3550061A,1355,9,N,1344,POLLING PLACE,293,100,187,
LANCASTER,3550061A,1355,9,N,,VBM PORTION,102,28,69,
LANCASTER,3550061A,1355,9,N,1344,TOTAL,395,128,256,
LANCASTER,3550064A,1356,2,N,1571,POLLING PLACE,220,98,110,
LANCASTER,3550064A,1356,2,N,,VBM PORTION,145,59,78,
LANCASTER,3550064A,1356,2,N,1571,TOTAL,365,157,188,
LANCASTER,3550065D,6129,23,Y,,POLLING PLACE,,,,
LANCASTER,3550065D,6129,23,Y,,VBM PORTION,,,,
LANCASTER,3550065D,6129,23,Y,,TOTAL,,,,
LANCASTER,3550067A,1357,13,N,756,POLLING PLACE,158,34,121,
LANCASTER,3550067A,1357,13,N,,VBM PORTION,119,18,94,
LANCASTER,3550067A,1357,13,N,756,TOTAL,277,52,215,
LANCASTER,3550069A,1358,3,N,838,POLLING PLACE,149,52,93,
LANCASTER,3550069A,1358,3,N,,VBM PORTION,62,18,44,
LANCASTER,3550069A,1358,3,N,838,TOTAL,211,70,137,
LANCASTER,3550075A,1359,2,N,1277,POLLING PLACE,191,76,110,
LANCASTER,3550075A,1359,2,N,,VBM PORTION,60,19,37,
LANCASTER,3550075A,1359,2,N,1277,TOTAL,251,95,147,
LANCASTER,3550077A,1360,13,N,1231,POLLING PLACE,139,74,60,
LANCASTER,3550077A,1360,13,N,,VBM PORTION,95,50,43,
LANCASTER,3550077A,1360,13,N,1231,TOTAL,234,124,103,
LANCASTER,3550078A,1361,1,N,628,POLLING PLACE,72,30,38,
LANCASTER,3550078A,1361,1,N,,VBM PORTION,44,19,23,
LANCASTER,3550078A,1361,1,N,628,TOTAL,116,49,61,
LANCASTER,3550079A,1362,9,N,1332,POLLING PLACE,228,84,131,
LANCASTER,3550079A,1362,9,N,,VBM PORTION,157,48,96,
LANCASTER,3550079A,1362,9,N,1332,TOTAL,385,132,227,
LANCASTER,3550080A,1363,3,N,1059,POLLING PLACE,171,66,97,
LANCASTER,3550080A,1363,3,N,,VBM PORTION,72,29,40,
LANCASTER,3550080A,1363,3,N,1059,TOTAL,243,95,137,
LANCASTER,3550082A,1364,1,N,928,POLLING PLACE,222,65,148,
LANCASTER,3550082A,1364,1,N,,VBM PORTION,111,34,72,
LANCASTER,3550082A,1364,1,N,928,TOTAL,333,99,220,
LANCASTER,3550083A,1365,13,N,1474,POLLING PLACE,144,70,67,
LANCASTER,3550083A,1365,13,N,,VBM PORTION,80,44,35,
LANCASTER,3550083A,1365,13,N,1474,TOTAL,224,114,102,
LANCASTER,3550085A,6130,13,Y,,POLLING PLACE,,,,
LANCASTER,3550085A,6130,13,Y,,VBM PORTION,,,,
LANCASTER,3550085A,6130,13,Y,,TOTAL,,,,
LANCASTER,3550086B,1366,1,N,1109,POLLING PLACE,200,79,111,
LANCASTER,3550086B,1366,1,N,,VBM PORTION,96,38,54,
LANCASTER,3550086B,1366,1,N,1109,TOTAL,296,117,165,
LANCASTER,3550087A,1367,13,N,1325,POLLING PLACE,84,52,25,
LANCASTER,3550087A,1367,13,N,,VBM PORTION,75,58,16,
LANCASTER,3550087A,1367,13,N,1325,TOTAL,159,110,41,
LANCASTER,3550088A,1368,9,N,716,POLLING PLACE,56,29,25,
LANCASTER,3550088A,1368,9,N,,VBM PORTION,35,23,10,
LANCASTER,3550088A,1368,9,N,716,TOTAL,91,52,35,
LANCASTER,3550089B,1369,13,N,1451,POLLING PLACE,204,93,107,
LANCASTER,3550089B,1369,13,N,,VBM PORTION,134,51,76,
