LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,22,50,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,58,174,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,42,99,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,7,45,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,49,144,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,79,117,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,25,47,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,104,164,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,73,96,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,35,30,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,108,126,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,41,128,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,18,28,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,59,156,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,52,108,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,32,78,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,84,186,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,58,142,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,20,38,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,78,180,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,56,152,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,23,46,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,79,198,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,14,61,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,15,19,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,29,80,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,31,85,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,15,53,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,46,138,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,35,111,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,19,52,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,54,163,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,65,137,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,25,58,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,90,195,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,1,2,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,1,2,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,44,89,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,8,13,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,52,102,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,53,147,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,25,47,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,78,194,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,26,94,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,15,63,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,41,157,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,35,75,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,9,25,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,44,100,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,40,78,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,13,44,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,53,122,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,36,87,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,22,41,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,58,128,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,17,54,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,11,16,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,28,70,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,39,55,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,7,40,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,46,95,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,49,123,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,23,81,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,72,204,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,31,121,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,19,64,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,50,185,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,49,135,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,24,28,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,73,163,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,53,121,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,13,28,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,66,149,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,39,92,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,9,36,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,48,128,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,17,47,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,11,23,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,28,70,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,56,182,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,12,30,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,68,212,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,51,121,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,37,36,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,88,157,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,103,131,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,28,52,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,131,183,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,30,70,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,79,61,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,109,131,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,69,80,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,30,47,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,99,127,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,22,128,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,8,32,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,30,160,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,54,112,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,41,52,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,95,164,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,37,203,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,6,50,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,43,253,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,123,200,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,71,81,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,194,281,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,71,134,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,45,75,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,116,209,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,18,174,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,7,55,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,25,229,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,28,162,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,11,57,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,39,219,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,26,166,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,16,67,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,42,233,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,57,130,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,24,61,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,81,191,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,21,142,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,9,48,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,30,190,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,53,199,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,20,78,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,73,277,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,18,155,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,5,32,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,23,187,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,13,123,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,6,32,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,19,155,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,35,141,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,6,25,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,41,166,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,98,163,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,46,70,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,144,233,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,35,194,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,7,45,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,42,239,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,106,277,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,58,117,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,164,394,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,70,145,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,47,73,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,117,218,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,112,275,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,42,78,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,154,353,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,140,221,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,58,79,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,198,300,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,104,171,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,40,54,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,144,225,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,55,94,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,18,30,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,73,124,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,77,253,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,42,80,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,119,333,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,57,265,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,27,105,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,84,370,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,36,148,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,12,46,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,48,194,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,47,255,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,32,110,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,79,365,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,68,255,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,17,77,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,85,332,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,53,305,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,22,92,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,75,397,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,118,89,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,82,49,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,200,138,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,104,67,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,107,58,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,211,125,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,111,62,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,96,45,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,207,107,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,181,119,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,76,59,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,257,178,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,108,89,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,93,91,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,201,180,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,128,86,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,86,42,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,214,128,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,164,61,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,157,51,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,321,112,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,88,88,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,56,72,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,144,160,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,88,92,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,66,67,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,154,159,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,118,79,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,88,47,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,206,126,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,76,97,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,57,48,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,133,145,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,103,86,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,55,56,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,158,142,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,98,75,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,42,59,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,140,134,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,110,82,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,55,53,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,165,135,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,80,80,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,26,31,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,106,111,
ARCADIA,0350043C,109,162,N,1085,POLLING PLACE,150,48,92,
ARCADIA,0350043C,109,162,N,,VBM PORTION,85,31,48,
ARCADIA,0350043C,109,162,N,1085,TOTAL,235,79,140,
ARCADIA,0350045B,110,162,N,1254,POLLING PLACE,155,75,68,
ARCADIA,0350045B,110,162,N,,VBM PORTION,129,67,59,
ARCADIA,0350045B,110,162,N,1254,TOTAL,284,142,127,
ARCADIA,0350048A,111,162,N,1007,POLLING PLACE,183,91,80,
ARCADIA,0350048A,111,162,N,,VBM PORTION,77,37,34,
ARCADIA,0350048A,111,162,N,1007,TOTAL,260,128,114,
ARCADIA,0350054A,112,162,N,1197,POLLING PLACE,240,124,101,
ARCADIA,0350054A,112,162,N,,VBM PORTION,120,62,49,
ARCADIA,0350054A,112,162,N,1197,TOTAL,360,186,150,
ARCADIA,0350058A,113,162,N,1193,POLLING PLACE,191,93,90,
ARCADIA,0350058A,113,162,N,,VBM PORTION,107,54,46,
ARCADIA,0350058A,113,162,N,1193,TOTAL,298,147,136,
ARCADIA,0350058B,6023,157,Y,47,POLLING PLACE,,,,
ARCADIA,0350058B,6023,157,Y,,VBM PORTION,8,6,2,
ARCADIA,0350058B,6023,157,Y,47,TOTAL,8,6,2,
ARCADIA,0350062B,114,162,N,1129,POLLING PLACE,192,87,92,
ARCADIA,0350062B,114,162,N,,VBM PORTION,110,48,50,
ARCADIA,0350062B,114,162,N,1129,TOTAL,302,135,142,
ARCADIA,0350079A,115,162,N,1174,POLLING PLACE,181,86,83,
ARCADIA,0350079A,115,162,N,,VBM PORTION,115,53,53,
ARCADIA,0350079A,115,162,N,1174,TOTAL,296,139,136,
ARCADIA,0350101A,6024,158,Y,6,POLLING PLACE,,,,
ARCADIA,0350101A,6024,158,Y,,VBM PORTION,1,1,,
ARCADIA,0350101A,6024,158,Y,6,TOTAL,1,1,,
ARCADIA,0350104A,116,162,N,1235,POLLING PLACE,218,106,102,
ARCADIA,0350104A,116,162,N,,VBM PORTION,120,76,30,
ARCADIA,0350104A,116,162,N,1235,TOTAL,338,182,132,
BRADBURY,0940002A,295,141,N,584,POLLING PLACE,117,75,36,
BRADBURY,0940002A,295,141,N,,VBM PORTION,63,48,12,
BRADBURY,0940002A,295,141,N,584,TOTAL,180,123,48,
CITRUS,1250005A,6051,140,Y,163,POLLING PLACE,,,,
CITRUS,1250005A,6051,140,Y,,VBM PORTION,45,33,8,
CITRUS,1250005A,6051,140,Y,163,TOTAL,45,33,8,
CITRUS,1250071A,6052,85,Y,4,POLLING PLACE,,,,
CITRUS,1250071A,6052,85,Y,,VBM PORTION,,,,
CITRUS,1250071A,6052,85,Y,4,TOTAL,,,,
CITRUS,1250079A,6053,139,Y,,POLLING PLACE,,,,
CITRUS,1250079A,6053,139,Y,,VBM PORTION,,,,
CITRUS,1250079A,6053,139,Y,,TOTAL,,,,
CLAREMONT,1300001A,484,84,N,837,POLLING PLACE,150,46,100,
CLAREMONT,1300001A,484,84,N,,VBM PORTION,86,34,44,
CLAREMONT,1300001A,484,84,N,837,TOTAL,236,80,144,
CLAREMONT,1300002A,485,84,N,689,POLLING PLACE,195,44,142,
CLAREMONT,1300002A,485,84,N,,VBM PORTION,61,18,41,
CLAREMONT,1300002A,485,84,N,689,TOTAL,256,62,183,
CLAREMONT,1300003A,486,84,N,1189,POLLING PLACE,331,107,196,
CLAREMONT,1300003A,486,84,N,,VBM PORTION,97,39,52,
CLAREMONT,1300003A,486,84,N,1189,TOTAL,428,146,248,
CLAREMONT,1300004A,487,84,N,1236,POLLING PLACE,97,9,85,
CLAREMONT,1300004A,487,84,N,,VBM PORTION,23,3,19,
CLAREMONT,1300004A,487,84,N,1236,TOTAL,120,12,104,
CLAREMONT,1300005A,488,84,N,910,POLLING PLACE,287,98,173,
CLAREMONT,1300005A,488,84,N,,VBM PORTION,95,34,58,
CLAREMONT,1300005A,488,84,N,910,TOTAL,382,132,231,
CLAREMONT,1300007A,489,84,N,1010,POLLING PLACE,237,66,146,
CLAREMONT,1300007A,489,84,N,,VBM PORTION,166,64,90,
CLAREMONT,1300007A,489,84,N,1010,TOTAL,403,130,236,
CLAREMONT,1300009A,490,84,N,1382,POLLING PLACE,475,87,371,
CLAREMONT,1300009A,490,84,N,,VBM PORTION,300,55,231,
CLAREMONT,1300009A,490,84,N,1382,TOTAL,775,142,602,
CLAREMONT,1300010A,6055,83,Y,,POLLING PLACE,,,,
CLAREMONT,1300010A,6055,83,Y,,VBM PORTION,,,,
CLAREMONT,1300010A,6055,83,Y,,TOTAL,,,,
CLAREMONT,1300012A,491,84,N,1189,POLLING PLACE,462,93,358,
CLAREMONT,1300012A,491,84,N,,VBM PORTION,138,33,100,
CLAREMONT,1300012A,491,84,N,1189,TOTAL,600,126,458,
CLAREMONT,1300014A,492,84,N,890,POLLING PLACE,290,104,174,
CLAREMONT,1300014A,492,84,N,,VBM PORTION,110,44,59,
CLAREMONT,1300014A,492,84,N,890,TOTAL,400,148,233,
CLAREMONT,1300018A,493,84,N,1163,POLLING PLACE,394,154,218,
CLAREMONT,1300018A,493,84,N,,VBM PORTION,144,48,86,
CLAREMONT,1300018A,493,84,N,1163,TOTAL,538,202,304,
CLAREMONT,1300019A,494,84,N,910,POLLING PLACE,290,128,134,
CLAREMONT,1300019A,494,84,N,,VBM PORTION,125,58,62,
CLAREMONT,1300019A,494,84,N,910,TOTAL,415,186,196,
CLAREMONT,1300020A,495,84,N,856,POLLING PLACE,272,113,139,
CLAREMONT,1300020A,495,84,N,,VBM PORTION,114,48,56,
CLAREMONT,1300020A,495,84,N,856,TOTAL,386,161,195,
CLAREMONT,1300021A,496,84,N,836,POLLING PLACE,312,87,209,
CLAREMONT,1300021A,496,84,N,,VBM PORTION,109,41,62,
CLAREMONT,1300021A,496,84,N,836,TOTAL,421,128,271,
CLAREMONT,1300023B,497,83,N,550,POLLING PLACE,122,33,81,
CLAREMONT,1300023B,497,83,N,,VBM PORTION,34,18,15,
CLAREMONT,1300023B,497,83,N,550,TOTAL,156,51,96,
CLAREMONT,1300025A,498,84,N,870,POLLING PLACE,290,80,184,
CLAREMONT,1300025A,498,84,N,,VBM PORTION,121,34,78,
CLAREMONT,1300025A,498,84,N,870,TOTAL,411,114,262,
CLAREMONT,1300026A,499,84,N,1128,POLLING PLACE,341,136,176,
CLAREMONT,1300026A,499,84,N,,VBM PORTION,126,56,61,
CLAREMONT,1300026A,499,84,N,1128,TOTAL,467,192,237,
CLAREMONT,1300029A,500,84,N,517,POLLING PLACE,135,51,76,
CLAREMONT,1300029A,500,84,N,,VBM PORTION,115,66,46,
CLAREMONT,1300029A,500,84,N,517,TOTAL,250,117,122,
CLAREMONT,1300037A,501,84,N,1117,POLLING PLACE,322,167,138,
CLAREMONT,1300037A,501,84,N,,VBM PORTION,139,80,54,
CLAREMONT,1300037A,501,84,N,1117,TOTAL,461,247,192,
CLAREMONT,1300039A,502,84,N,1184,POLLING PLACE,389,156,201,
CLAREMONT,1300039A,502,84,N,,VBM PORTION,165,80,76,
CLAREMONT,1300039A,502,84,N,1184,TOTAL,554,236,277,
CLAREMONT,1300042A,503,84,N,920,POLLING PLACE,322,157,142,
CLAREMONT,1300042A,503,84,N,,VBM PORTION,132,67,61,
CLAREMONT,1300042A,503,84,N,920,TOTAL,454,224,203,
CLAREMONT,1300062A,504,84,N,689,POLLING PLACE,200,105,90,
CLAREMONT,1300062A,504,84,N,,VBM PORTION,92,32,53,
CLAREMONT,1300062A,504,84,N,689,TOTAL,292,137,143,
CLAREMONT,1300063A,505,84,N,1057,POLLING PLACE,364,145,200,
CLAREMONT,1300063A,505,84,N,,VBM PORTION,130,68,61,
CLAREMONT,1300063A,505,84,N,1057,TOTAL,494,213,261,
EAST ARCADIA,1940010A,743,157,N,1112,POLLING PLACE,259,144,104,
EAST ARCADIA,1940010A,743,157,N,,VBM PORTION,94,48,39,
EAST ARCADIA,1940010A,743,157,N,1112,TOTAL,353,192,143,
EAST ARCADIA,1940013A,745,157,N,863,POLLING PLACE,149,76,70,
EAST ARCADIA,1940013A,745,157,N,,VBM PORTION,101,60,37,
EAST ARCADIA,1940013A,745,157,N,863,TOTAL,250,136,107,
EAST PASADENA,2020001A,780,80,N,705,POLLING PLACE,149,64,74,
EAST PASADENA,2020001A,780,80,N,,VBM PORTION,70,26,41,
EAST PASADENA,2020001A,780,80,N,705,TOTAL,219,90,115,
EAST PASADENA,2020003A,781,79,N,1229,POLLING PLACE,226,116,95,
EAST PASADENA,2020003A,781,79,N,,VBM PORTION,160,80,75,
EAST PASADENA,2020003A,781,79,N,1229,TOTAL,386,196,170,
EAST PASADENA,2020006A,782,89,N,1232,POLLING PLACE,381,138,219,
EAST PASADENA,2020006A,782,89,N,,VBM PORTION,129,56,67,
EAST PASADENA,2020006A,782,89,N,1232,TOTAL,510,194,286,
EAST PASADENA,2020007A,783,80,N,699,POLLING PLACE,126,35,85,
EAST PASADENA,2020007A,783,80,N,,VBM PORTION,44,21,23,
EAST PASADENA,2020007A,783,80,N,699,TOTAL,170,56,108,
