LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,R JONES-SAWYER,
FLORENCE,2300042A,870,319,N,927,TOTAL,110,94,
FLORENCE,2300043A,871,317,N,536,POLLING PLACE,68,60,
FLORENCE,2300043A,871,317,N,,VBM PORTION,17,10,
FLORENCE,2300043A,871,317,N,536,TOTAL,85,70,
HUNTINGTON PARK,2850005B,1100,314,N,718,POLLING PLACE,106,83,
HUNTINGTON PARK,2850005B,1100,314,N,,VBM PORTION,27,25,
HUNTINGTON PARK,2850005B,1100,314,N,718,TOTAL,133,108,
HUNTINGTON PARK,2850008A,1102,314,N,859,POLLING PLACE,124,94,
HUNTINGTON PARK,2850008A,1102,314,N,,VBM PORTION,10,10,
HUNTINGTON PARK,2850008A,1102,314,N,859,TOTAL,134,104,
WALNUT PARK,7650001A,2788,318,N,1076,POLLING PLACE,150,129,
WALNUT PARK,7650001A,2788,318,N,,VBM PORTION,15,7,
WALNUT PARK,7650001A,2788,318,N,1076,TOTAL,165,136,
WALNUT PARK,7650004A,2789,318,N,980,POLLING PLACE,101,90,
WALNUT PARK,7650004A,2789,318,N,,VBM PORTION,29,24,
WALNUT PARK,7650004A,2789,318,N,980,TOTAL,130,114,
WALNUT PARK,7650004B,6259,319,Y,,POLLING PLACE,,,
WALNUT PARK,7650004B,6259,319,Y,,VBM PORTION,,,
WALNUT PARK,7650004B,6259,319,Y,,TOTAL,,,
WALNUT PARK,7650005A,2790,318,N,1015,POLLING PLACE,184,153,
WALNUT PARK,7650005A,2790,318,N,,VBM PORTION,21,16,
WALNUT PARK,7650005A,2790,318,N,1015,TOTAL,205,169,
WALNUT PARK,7650006A,2791,318,N,930,POLLING PLACE,145,128,
WALNUT PARK,7650006A,2791,318,N,,VBM PORTION,34,27,
WALNUT PARK,7650006A,2791,318,N,930,TOTAL,179,155,
WALNUT PARK,7650008A,2792,318,N,801,POLLING PLACE,165,147,
WALNUT PARK,7650008A,2792,318,N,,VBM PORTION,18,15,
WALNUT PARK,7650008A,2792,318,N,801,TOTAL,183,162,
WALNUT PARK,7650009A,2793,318,N,766,POLLING PLACE,119,106,
WALNUT PARK,7650009A,2793,318,N,,VBM PORTION,24,20,
WALNUT PARK,7650009A,2793,318,N,766,TOTAL,143,126,
WEST ATHENS,7670001A,2794,313,N,1040,POLLING PLACE,99,89,
WEST ATHENS,7670001A,2794,313,N,,VBM PORTION,32,27,
WEST ATHENS,7670001A,2794,313,N,1040,TOTAL,131,116,
WEST ATHENS,7670003A,2795,313,N,1015,POLLING PLACE,107,102,
WEST ATHENS,7670003A,2795,313,N,,VBM PORTION,35,30,
WEST ATHENS,7670003A,2795,313,N,1015,TOTAL,142,132,
WEST ATHENS,7670009A,2800,313,N,1103,POLLING PLACE,152,138,
WEST ATHENS,7670009A,2800,313,N,,VBM PORTION,21,18,
WEST ATHENS,7670009A,2800,313,N,1103,TOTAL,173,156,
WEST ATHENS,7670009D,2801,313,N,90,POLLING PLACE,21,19,
WEST ATHENS,7670009D,2801,313,N,,VBM PORTION,3,1,
WEST ATHENS,7670009D,2801,313,N,90,TOTAL,24,20,
LOS ANGELES,9000280A,3158,310,N,957,POLLING PLACE,114,95,
LOS ANGELES,9000280A,3158,310,N,,VBM PORTION,44,39,
LOS ANGELES,9000280A,3158,310,N,957,TOTAL,158,134,
LOS ANGELES,9000284C,3161,309,N,906,POLLING PLACE,243,228,
LOS ANGELES,9000284C,3161,309,N,,VBM PORTION,45,41,
LOS ANGELES,9000284C,3161,309,N,906,TOTAL,288,269,
LOS ANGELES,9000285A,3162,309,N,1183,POLLING PLACE,231,205,
LOS ANGELES,9000285A,3162,309,N,,VBM PORTION,59,53,
LOS ANGELES,9000285A,3162,309,N,1183,TOTAL,290,258,
LOS ANGELES,9000288A,3164,312,N,1236,POLLING PLACE,315,280,
LOS ANGELES,9000288A,3164,312,N,,VBM PORTION,84,69,
LOS ANGELES,9000288A,3164,312,N,1236,TOTAL,399,349,
LOS ANGELES,9000289A,3165,312,N,1030,POLLING PLACE,132,122,
LOS ANGELES,9000289A,3165,312,N,,VBM PORTION,21,18,
LOS ANGELES,9000289A,3165,312,N,1030,TOTAL,153,140,
LOS ANGELES,9000290A,3166,312,N,926,POLLING PLACE,101,86,
LOS ANGELES,9000290A,3166,312,N,,VBM PORTION,13,6,
LOS ANGELES,9000290A,3166,312,N,926,TOTAL,114,92,
LOS ANGELES,9000366A,3217,309,N,1075,POLLING PLACE,161,143,
LOS ANGELES,9000366A,3217,309,N,,VBM PORTION,24,20,
LOS ANGELES,9000366A,3217,309,N,1075,TOTAL,185,163,
LOS ANGELES,9000454A,3273,308,N,1115,POLLING PLACE,185,137,
LOS ANGELES,9000454A,3273,308,N,,VBM PORTION,34,22,
LOS ANGELES,9000454A,3273,308,N,1115,TOTAL,219,159,
LOS ANGELES,9000554A,3335,308,N,403,POLLING PLACE,8,8,
LOS ANGELES,9000554A,3335,308,N,,VBM PORTION,,,
LOS ANGELES,9000554A,3335,308,N,403,TOTAL,8,8,
LOS ANGELES,9000720C,3418,311,N,1041,POLLING PLACE,108,94,
LOS ANGELES,9000720C,3418,311,N,,VBM PORTION,22,20,
LOS ANGELES,9000720C,3418,311,N,1041,TOTAL,130,114,
LOS ANGELES,9000824A,3457,309,N,681,POLLING PLACE,84,78,
LOS ANGELES,9000824A,3457,309,N,,VBM PORTION,13,13,
LOS ANGELES,9000824A,3457,309,N,681,TOTAL,97,91,
LOS ANGELES,9000834A,3462,316,N,1104,POLLING PLACE,108,94,
LOS ANGELES,9000834A,3462,316,N,,VBM PORTION,23,21,
LOS ANGELES,9000834A,3462,316,N,1104,TOTAL,131,115,
LOS ANGELES,9000888A,3481,308,N,512,POLLING PLACE,72,58,
LOS ANGELES,9000888A,3481,308,N,,VBM PORTION,26,16,
LOS ANGELES,9000888A,3481,308,N,512,TOTAL,98,74,
LOS ANGELES,9000906A,3488,311,N,960,POLLING PLACE,128,106,
LOS ANGELES,9000906A,3488,311,N,,VBM PORTION,7,6,
LOS ANGELES,9000906A,3488,311,N,960,TOTAL,135,112,
LOS ANGELES,9000985A,3518,311,N,998,POLLING PLACE,99,78,
LOS ANGELES,9000985A,3518,311,N,,VBM PORTION,29,23,
LOS ANGELES,9000985A,3518,311,N,998,TOTAL,128,101,
LOS ANGELES,9001003A,3530,311,N,973,POLLING PLACE,101,76,
LOS ANGELES,9001003A,3530,311,N,,VBM PORTION,17,16,
LOS ANGELES,9001003A,3530,311,N,973,TOTAL,118,92,
LOS ANGELES,9001024A,3541,308,N,867,POLLING PLACE,151,124,
LOS ANGELES,9001024A,3541,308,N,,VBM PORTION,14,13,
LOS ANGELES,9001024A,3541,308,N,867,TOTAL,165,137,
LOS ANGELES,9001026C,3542,308,N,957,POLLING PLACE,136,120,
LOS ANGELES,9001026C,3542,308,N,,VBM PORTION,19,18,
LOS ANGELES,9001026C,3542,308,N,957,TOTAL,155,138,
LOS ANGELES,9001030A,3544,308,N,1070,POLLING PLACE,196,161,
LOS ANGELES,9001030A,3544,308,N,,VBM PORTION,30,28,
LOS ANGELES,9001030A,3544,308,N,1070,TOTAL,226,189,
LOS ANGELES,9001031A,3545,311,N,1088,POLLING PLACE,142,113,
LOS ANGELES,9001031A,3545,311,N,,VBM PORTION,20,17,
LOS ANGELES,9001031A,3545,311,N,1088,TOTAL,162,130,
LOS ANGELES,9001046D,3553,308,N,632,POLLING PLACE,48,40,
LOS ANGELES,9001046D,3553,308,N,,VBM PORTION,21,11,
LOS ANGELES,9001046D,3553,308,N,632,TOTAL,69,51,
LOS ANGELES,9001046R,3554,308,N,692,POLLING PLACE,23,22,
LOS ANGELES,9001046R,3554,308,N,,VBM PORTION,4,4,
LOS ANGELES,9001046R,3554,308,N,692,TOTAL,27,26,
LOS ANGELES,9001055A,3559,311,N,932,POLLING PLACE,147,121,
LOS ANGELES,9001055A,3559,311,N,,VBM PORTION,12,11,
LOS ANGELES,9001055A,3559,311,N,932,TOTAL,159,132,
LOS ANGELES,9001081A,3572,311,N,1012,POLLING PLACE,150,119,
LOS ANGELES,9001081A,3572,311,N,,VBM PORTION,16,14,
LOS ANGELES,9001081A,3572,311,N,1012,TOTAL,166,133,
LOS ANGELES,9001129B,3595,310,N,1156,POLLING PLACE,189,166,
LOS ANGELES,9001129B,3595,310,N,,VBM PORTION,20,17,
LOS ANGELES,9001129B,3595,310,N,1156,TOTAL,209,183,
LOS ANGELES,9001130B,3596,310,N,642,POLLING PLACE,82,69,
LOS ANGELES,9001130B,3596,310,N,,VBM PORTION,23,22,
LOS ANGELES,9001130B,3596,310,N,642,TOTAL,105,91,
LOS ANGELES,9001189B,3621,309,N,882,POLLING PLACE,157,144,
LOS ANGELES,9001189B,3621,309,N,,VBM PORTION,26,25,
LOS ANGELES,9001189B,3621,309,N,882,TOTAL,183,169,
LOS ANGELES,9001314A,3668,309,N,1173,POLLING PLACE,127,111,
LOS ANGELES,9001314A,3668,309,N,,VBM PORTION,51,50,
LOS ANGELES,9001314A,3668,309,N,1173,TOTAL,178,161,
LOS ANGELES,9001325A,3673,311,N,1036,POLLING PLACE,113,99,
LOS ANGELES,9001325A,3673,311,N,,VBM PORTION,32,28,
LOS ANGELES,9001325A,3673,311,N,1036,TOTAL,145,127,
LOS ANGELES,9001453A,3734,310,N,786,POLLING PLACE,163,136,
LOS ANGELES,9001453A,3734,310,N,,VBM PORTION,16,14,
LOS ANGELES,9001453A,3734,310,N,786,TOTAL,179,150,
LOS ANGELES,9001563A,3783,311,N,978,POLLING PLACE,126,105,
LOS ANGELES,9001563A,3783,311,N,,VBM PORTION,10,8,
LOS ANGELES,9001563A,3783,311,N,978,TOTAL,136,113,
LOS ANGELES,9001582C,3794,309,N,920,POLLING PLACE,93,84,
LOS ANGELES,9001582C,3794,309,N,,VBM PORTION,19,18,
LOS ANGELES,9001582C,3794,309,N,920,TOTAL,112,102,
LOS ANGELES,9001583B,3795,309,N,1126,POLLING PLACE,157,136,
LOS ANGELES,9001583B,3795,309,N,,VBM PORTION,20,18,
LOS ANGELES,9001583B,3795,309,N,1126,TOTAL,177,154,
LOS ANGELES,9001591C,3798,309,N,1047,POLLING PLACE,148,127,
LOS ANGELES,9001591C,3798,309,N,,VBM PORTION,20,17,
LOS ANGELES,9001591C,3798,309,N,1047,TOTAL,168,144,
LOS ANGELES,9001684A,3826,308,N,1037,POLLING PLACE,130,114,
LOS ANGELES,9001684A,3826,308,N,,VBM PORTION,35,28,
LOS ANGELES,9001684A,3826,308,N,1037,TOTAL,165,142,
LOS ANGELES,9001706A,3834,315,N,472,POLLING PLACE,89,78,
LOS ANGELES,9001706A,3834,315,N,,VBM PORTION,22,17,
LOS ANGELES,9001706A,3834,315,N,472,TOTAL,111,95,
LOS ANGELES,9001706D,3835,316,N,891,POLLING PLACE,109,94,
LOS ANGELES,9001706D,3835,316,N,,VBM PORTION,25,23,
LOS ANGELES,9001706D,3835,316,N,891,TOTAL,134,117,
LOS ANGELES,9001708A,3836,310,N,377,POLLING PLACE,46,37,
LOS ANGELES,9001708A,3836,310,N,,VBM PORTION,6,4,
LOS ANGELES,9001708A,3836,310,N,377,TOTAL,52,41,
LOS ANGELES,9001708F,3837,311,N,494,POLLING PLACE,78,63,
LOS ANGELES,9001708F,3837,311,N,,VBM PORTION,5,5,
LOS ANGELES,9001708F,3837,311,N,494,TOTAL,83,68,
LOS ANGELES,9001712A,3839,311,N,1046,POLLING PLACE,105,89,
LOS ANGELES,9001712A,3839,311,N,,VBM PORTION,34,27,
LOS ANGELES,9001712A,3839,311,N,1046,TOTAL,139,116,
LOS ANGELES,9001719A,3843,309,N,862,POLLING PLACE,108,99,
LOS ANGELES,9001719A,3843,309,N,,VBM PORTION,19,17,
LOS ANGELES,9001719A,3843,309,N,862,TOTAL,127,116,
LOS ANGELES,9001747A,3855,308,N,1094,POLLING PLACE,157,139,
LOS ANGELES,9001747A,3855,308,N,,VBM PORTION,35,31,
LOS ANGELES,9001747A,3855,308,N,1094,TOTAL,192,170,
LOS ANGELES,9001751A,3856,308,N,745,POLLING PLACE,33,29,
LOS ANGELES,9001751A,3856,308,N,,VBM PORTION,58,36,
LOS ANGELES,9001751A,3856,308,N,745,TOTAL,91,65,
LOS ANGELES,9001755A,3858,308,N,1123,POLLING PLACE,177,159,
LOS ANGELES,9001755A,3858,308,N,,VBM PORTION,32,29,
LOS ANGELES,9001755A,3858,308,N,1123,TOTAL,209,188,
LOS ANGELES,9001757A,3859,308,N,657,POLLING PLACE,98,83,
LOS ANGELES,9001757A,3859,308,N,,VBM PORTION,16,15,
LOS ANGELES,9001757A,3859,308,N,657,TOTAL,114,98,
LOS ANGELES,9001762A,3862,308,N,1037,POLLING PLACE,173,139,
LOS ANGELES,9001762A,3862,308,N,,VBM PORTION,37,31,
LOS ANGELES,9001762A,3862,308,N,1037,TOTAL,210,170,
LOS ANGELES,9001920A,3926,308,N,978,POLLING PLACE,161,134,
LOS ANGELES,9001920A,3926,308,N,,VBM PORTION,54,45,
LOS ANGELES,9001920A,3926,308,N,978,TOTAL,215,179,
LOS ANGELES,9001927A,3929,310,N,1131,POLLING PLACE,99,80,
LOS ANGELES,9001927A,3929,310,N,,VBM PORTION,30,27,
LOS ANGELES,9001927A,3929,310,N,1131,TOTAL,129,107,
LOS ANGELES,9001929A,3931,308,N,760,POLLING PLACE,53,42,
LOS ANGELES,9001929A,3931,308,N,,VBM PORTION,4,4,
LOS ANGELES,9001929A,3931,308,N,760,TOTAL,57,46,
LOS ANGELES,9001930A,3932,310,N,95,POLLING PLACE,9,8,
LOS ANGELES,9001930A,3932,310,N,,VBM PORTION,7,5,
LOS ANGELES,9001930A,3932,310,N,95,TOTAL,16,13,
LOS ANGELES,9001932B,3934,310,N,1073,POLLING PLACE,156,130,
LOS ANGELES,9001932B,3934,310,N,,VBM PORTION,23,19,
LOS ANGELES,9001932B,3934,310,N,1073,TOTAL,179,149,
LOS ANGELES,9001940D,3936,316,N,626,POLLING PLACE,71,61,
LOS ANGELES,9001940D,3936,316,N,,VBM PORTION,11,8,
LOS ANGELES,9001940D,3936,316,N,626,TOTAL,82,69,
LOS ANGELES,9001941A,3937,310,N,861,POLLING PLACE,94,77,
LOS ANGELES,9001941A,3937,310,N,,VBM PORTION,14,13,
LOS ANGELES,9001941A,3937,310,N,861,TOTAL,108,90,
LOS ANGELES,9001942A,3938,308,N,491,POLLING PLACE,20,15,
LOS ANGELES,9001942A,3938,308,N,,VBM PORTION,1,1,
LOS ANGELES,9001942A,3938,308,N,491,TOTAL,21,16,
LOS ANGELES,9001943A,3939,310,N,933,POLLING PLACE,155,123,
LOS ANGELES,9001943A,3939,310,N,,VBM PORTION,39,35,
LOS ANGELES,9001943A,3939,310,N,933,TOTAL,194,158,
LOS ANGELES,9001950A,3940,308,N,573,POLLING PLACE,18,14,
LOS ANGELES,9001950A,3940,308,N,,VBM PORTION,7,5,
LOS ANGELES,9001950A,3940,308,N,573,TOTAL,25,19,
LOS ANGELES,9001956A,3942,308,N,778,POLLING PLACE,76,65,
LOS ANGELES,9001956A,3942,308,N,,VBM PORTION,24,21,
LOS ANGELES,9001956A,3942,308,N,778,TOTAL,100,86,
LOS ANGELES,9001959A,3944,312,N,497,POLLING PLACE,62,56,
LOS ANGELES,9001959A,3944,312,N,,VBM PORTION,14,13,
LOS ANGELES,9001959A,3944,312,N,497,TOTAL,76,69,
LOS ANGELES,9001961A,3945,309,N,1003,POLLING PLACE,126,104,
LOS ANGELES,9001961A,3945,309,N,,VBM PORTION,26,20,
LOS ANGELES,9001961A,3945,309,N,1003,TOTAL,152,124,
LOS ANGELES,9001961F,3946,309,N,633,POLLING PLACE,107,86,
LOS ANGELES,9001961F,3946,309,N,,VBM PORTION,18,17,
LOS ANGELES,9001961F,3946,309,N,633,TOTAL,125,103,
LOS ANGELES,9001966A,3948,311,N,1156,POLLING PLACE,122,102,
LOS ANGELES,9001966A,3948,311,N,,VBM PORTION,28,26,
LOS ANGELES,9001966A,3948,311,N,1156,TOTAL,150,128,
LOS ANGELES,9001966B,3949,311,N,970,POLLING PLACE,142,120,
LOS ANGELES,9001966B,3949,311,N,,VBM PORTION,18,14,
LOS ANGELES,9001966B,3949,311,N,970,TOTAL,160,134,
LOS ANGELES,9001974A,3950,309,N,1018,POLLING PLACE,122,107,
LOS ANGELES,9001974A,3950,309,N,,VBM PORTION,26,21,
LOS ANGELES,9001974A,3950,309,N,1018,TOTAL,148,128,
LOS ANGELES,9001980A,3951,316,N,757,POLLING PLACE,108,90,
LOS ANGELES,9001980A,3951,316,N,,VBM PORTION,16,14,
LOS ANGELES,9001980A,3951,316,N,757,TOTAL,124,104,
LOS ANGELES,9001987A,3954,316,N,1116,POLLING PLACE,129,104,
LOS ANGELES,9001987A,3954,316,N,,VBM PORTION,23,20,
LOS ANGELES,9001987A,3954,316,N,1116,TOTAL,152,124,
LOS ANGELES,9001991A,3955,316,N,1177,POLLING PLACE,139,107,
LOS ANGELES,9001991A,3955,316,N,,VBM PORTION,36,31,
LOS ANGELES,9001991A,3955,316,N,1177,TOTAL,175,138,
LOS ANGELES,9001993B,3956,316,N,750,POLLING PLACE,105,86,
LOS ANGELES,9001993B,3956,316,N,,VBM PORTION,19,19,
LOS ANGELES,9001993B,3956,316,N,750,TOTAL,124,105,
LOS ANGELES,9001998A,3957,316,N,1096,POLLING PLACE,123,110,
LOS ANGELES,9001998A,3957,316,N,,VBM PORTION,14,10,
LOS ANGELES,9001998A,3957,316,N,1096,TOTAL,137,120,
LOS ANGELES,9002005A,3961,311,N,755,POLLING PLACE,87,72,
LOS ANGELES,9002005A,3961,311,N,,VBM PORTION,21,20,
LOS ANGELES,9002005A,3961,311,N,755,TOTAL,108,92,
LOS ANGELES,9002010A,3963,311,N,1107,POLLING PLACE,105,82,
LOS ANGELES,9002010A,3963,311,N,,VBM PORTION,20,14,
LOS ANGELES,9002010A,3963,311,N,1107,TOTAL,125,96,
LOS ANGELES,9002021A,3966,309,N,985,POLLING PLACE,128,114,
LOS ANGELES,9002021A,3966,309,N,,VBM PORTION,27,25,
LOS ANGELES,9002021A,3966,309,N,985,TOTAL,155,139,
LOS ANGELES,9002021B,3967,309,N,1050,POLLING PLACE,120,111,
LOS ANGELES,9002021B,3967,309,N,,VBM PORTION,27,25,
LOS ANGELES,9002021B,3967,309,N,1050,TOTAL,147,136,
LOS ANGELES,9002022A,3968,309,N,1138,POLLING PLACE,113,98,
LOS ANGELES,9002022A,3968,309,N,,VBM PORTION,27,26,
LOS ANGELES,9002022A,3968,309,N,1138,TOTAL,140,124,
LOS ANGELES,9002024A,3969,309,N,885,POLLING PLACE,98,90,
LOS ANGELES,9002024A,3969,309,N,,VBM PORTION,12,12,
LOS ANGELES,9002024A,3969,309,N,885,TOTAL,110,102,
LOS ANGELES,9002027A,3970,311,N,1156,POLLING PLACE,167,133,
LOS ANGELES,9002027A,3970,311,N,,VBM PORTION,22,18,
LOS ANGELES,9002027A,3970,311,N,1156,TOTAL,189,151,
LOS ANGELES,9002033B,3972,311,N,921,POLLING PLACE,93,80,
LOS ANGELES,9002033B,3972,311,N,,VBM PORTION,14,14,
LOS ANGELES,9002033B,3972,311,N,921,TOTAL,107,94,
LOS ANGELES,9002036A,3973,308,N,918,POLLING PLACE,100,81,
LOS ANGELES,9002036A,3973,308,N,,VBM PORTION,22,21,
LOS ANGELES,9002036A,3973,308,N,918,TOTAL,122,102,
LOS ANGELES,9002037A,3974,311,N,1016,POLLING PLACE,122,106,
LOS ANGELES,9002037A,3974,311,N,,VBM PORTION,26,18,
LOS ANGELES,9002037A,3974,311,N,1016,TOTAL,148,124,
LOS ANGELES,9002039A,3975,311,N,1063,POLLING PLACE,114,92,
LOS ANGELES,9002039A,3975,311,N,,VBM PORTION,32,27,
LOS ANGELES,9002039A,3975,311,N,1063,TOTAL,146,119,
LOS ANGELES,9002042A,3976,311,N,1035,POLLING PLACE,150,132,
LOS ANGELES,9002042A,3976,311,N,,VBM PORTION,29,25,
LOS ANGELES,9002042A,3976,311,N,1035,TOTAL,179,157,
LOS ANGELES,9002043A,3977,311,N,1123,POLLING PLACE,161,139,
LOS ANGELES,9002043A,3977,311,N,,VBM PORTION,21,16,
LOS ANGELES,9002043A,3977,311,N,1123,TOTAL,182,155,
LOS ANGELES,9002047A,3979,312,N,803,POLLING PLACE,70,59,
LOS ANGELES,9002047A,3979,312,N,,VBM PORTION,16,15,
LOS ANGELES,9002047A,3979,312,N,803,TOTAL,86,74,
LOS ANGELES,9002047B,3980,312,N,767,POLLING PLACE,69,61,
LOS ANGELES,9002047B,3980,312,N,,VBM PORTION,21,19,
LOS ANGELES,9002047B,3980,312,N,767,TOTAL,90,80,
LOS ANGELES,9002050A,3982,311,N,1192,POLLING PLACE,128,111,
LOS ANGELES,9002050A,3982,311,N,,VBM PORTION,34,26,
LOS ANGELES,9002050A,3982,311,N,1192,TOTAL,162,137,
LOS ANGELES,9002054A,3984,312,N,861,POLLING PLACE,88,80,
LOS ANGELES,9002054A,3984,312,N,,VBM PORTION,21,16,
LOS ANGELES,9002054A,3984,312,N,861,TOTAL,109,96,
LOS ANGELES,9002059A,3986,312,N,857,POLLING PLACE,94,84,
LOS ANGELES,9002059A,3986,312,N,,VBM PORTION,22,18,
LOS ANGELES,9002059A,3986,312,N,857,TOTAL,116,102,
LOS ANGELES,9002063A,3987,312,N,938,POLLING PLACE,87,79,
LOS ANGELES,9002063A,3987,312,N,,VBM PORTION,8,6,
LOS ANGELES,9002063A,3987,312,N,938,TOTAL,95,85,
LOS ANGELES,9002073A,3992,308,N,1117,POLLING PLACE,145,127,
LOS ANGELES,9002073A,3992,308,N,,VBM PORTION,28,26,
LOS ANGELES,9002073A,3992,308,N,1117,TOTAL,173,153,
LOS ANGELES,9002074B,3993,308,N,857,POLLING PLACE,115,106,
LOS ANGELES,9002074B,3993,308,N,,VBM PORTION,12,10,
LOS ANGELES,9002074B,3993,308,N,857,TOTAL,127,116,
LOS ANGELES,9002077A,3994,309,N,1019,POLLING PLACE,119,106,
LOS ANGELES,9002077A,3994,309,N,,VBM PORTION,39,31,
LOS ANGELES,9002077A,3994,309,N,1019,TOTAL,158,137,
LOS ANGELES,9002150A,4037,309,N,1036,POLLING PLACE,137,123,
LOS ANGELES,9002150A,4037,309,N,,VBM PORTION,21,18,
LOS ANGELES,9002150A,4037,309,N,1036,TOTAL,158,141,
LOS ANGELES,9002153A,4038,309,N,1128,POLLING PLACE,163,139,
LOS ANGELES,9002153A,4038,309,N,,VBM PORTION,23,18,
LOS ANGELES,9002153A,4038,309,N,1128,TOTAL,186,157,
LOS ANGELES,9002156A,4041,309,N,1063,POLLING PLACE,148,131,
LOS ANGELES,9002156A,4041,309,N,,VBM PORTION,28,23,
LOS ANGELES,9002156A,4041,309,N,1063,TOTAL,176,154,
LOS ANGELES,9002157A,4042,309,N,704,POLLING PLACE,91,84,
LOS ANGELES,9002157A,4042,309,N,,VBM PORTION,22,18,
LOS ANGELES,9002157A,4042,309,N,704,TOTAL,113,102,
LOS ANGELES,9002162A,4044,309,N,900,POLLING PLACE,143,117,
LOS ANGELES,9002162A,4044,309,N,,VBM PORTION,26,20,
LOS ANGELES,9002162A,4044,309,N,900,TOTAL,169,137,
LOS ANGELES,9002166A,4046,309,N,861,POLLING PLACE,113,94,
LOS ANGELES,9002166A,4046,309,N,,VBM PORTION,25,22,
LOS ANGELES,9002166A,4046,309,N,861,TOTAL,138,116,
LOS ANGELES,9002178A,4052,309,N,798,POLLING PLACE,173,155,
LOS ANGELES,9002178A,4052,309,N,,VBM PORTION,40,37,
LOS ANGELES,9002178A,4052,309,N,798,TOTAL,213,192,
