LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,TED LIEU,ELAN CARR,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,208,215,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,95,101,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,44,38,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,139,139,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,161,136,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,55,78,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,216,214,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,138,119,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,48,62,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,186,181,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,156,150,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,64,94,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,220,244,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,121,161,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,61,75,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,182,236,
BEVERLY HILLS,0900001A,274,183,N,706,POLLING PLACE,140,55,78,
BEVERLY HILLS,0900001A,274,183,N,,VBM PORTION,101,45,51,
BEVERLY HILLS,0900001A,274,183,N,706,TOTAL,241,100,129,
BEVERLY HILLS,0900002A,275,183,N,1228,POLLING PLACE,150,96,50,
BEVERLY HILLS,0900002A,275,183,N,,VBM PORTION,112,60,43,
BEVERLY HILLS,0900002A,275,183,N,1228,TOTAL,262,156,93,
BEVERLY HILLS,0900003A,276,183,N,616,POLLING PLACE,118,54,61,
BEVERLY HILLS,0900003A,276,183,N,,VBM PORTION,79,36,39,
BEVERLY HILLS,0900003A,276,183,N,616,TOTAL,197,90,100,
BEVERLY HILLS,0900004A,277,184,N,848,POLLING PLACE,104,42,59,
BEVERLY HILLS,0900004A,277,184,N,,VBM PORTION,136,56,68,
BEVERLY HILLS,0900004A,277,184,N,848,TOTAL,240,98,127,
BEVERLY HILLS,0900005A,278,183,N,1118,POLLING PLACE,281,120,150,
BEVERLY HILLS,0900005A,278,183,N,,VBM PORTION,157,60,86,
BEVERLY HILLS,0900005A,278,183,N,1118,TOTAL,438,180,236,
BEVERLY HILLS,0900006A,279,183,N,837,POLLING PLACE,168,50,102,
BEVERLY HILLS,0900006A,279,183,N,,VBM PORTION,118,32,73,
BEVERLY HILLS,0900006A,279,183,N,837,TOTAL,286,82,175,
BEVERLY HILLS,0900008A,280,183,N,1141,POLLING PLACE,231,79,131,
BEVERLY HILLS,0900008A,280,183,N,,VBM PORTION,156,75,73,
BEVERLY HILLS,0900008A,280,183,N,1141,TOTAL,387,154,204,
BEVERLY HILLS,0900010A,281,183,N,942,POLLING PLACE,158,56,92,
BEVERLY HILLS,0900010A,281,183,N,,VBM PORTION,125,57,62,
BEVERLY HILLS,0900010A,281,183,N,942,TOTAL,283,113,154,
BEVERLY HILLS,0900016B,282,183,N,878,POLLING PLACE,112,49,56,
BEVERLY HILLS,0900016B,282,183,N,,VBM PORTION,84,36,44,
BEVERLY HILLS,0900016B,282,183,N,878,TOTAL,196,85,100,
BEVERLY HILLS,0900018A,283,183,N,594,POLLING PLACE,94,57,31,
BEVERLY HILLS,0900018A,283,183,N,,VBM PORTION,92,55,28,
BEVERLY HILLS,0900018A,283,183,N,594,TOTAL,186,112,59,
BEVERLY HILLS,0900020A,284,183,N,1125,POLLING PLACE,180,108,66,
BEVERLY HILLS,0900020A,284,183,N,,VBM PORTION,101,39,53,
BEVERLY HILLS,0900020A,284,183,N,1125,TOTAL,281,147,119,
BEVERLY HILLS,0900023A,285,183,N,1196,POLLING PLACE,217,113,89,
BEVERLY HILLS,0900023A,285,183,N,,VBM PORTION,104,59,41,
BEVERLY HILLS,0900023A,285,183,N,1196,TOTAL,321,172,130,
BEVERLY HILLS,0900023B,286,183,N,964,POLLING PLACE,174,72,94,
BEVERLY HILLS,0900023B,286,183,N,,VBM PORTION,155,72,69,
BEVERLY HILLS,0900023B,286,183,N,964,TOTAL,329,144,163,
BEVERLY HILLS,0900026A,287,183,N,1310,POLLING PLACE,244,135,98,
BEVERLY HILLS,0900026A,287,183,N,,VBM PORTION,118,51,56,
BEVERLY HILLS,0900026A,287,183,N,1310,TOTAL,362,186,154,
BEVERLY HILLS,0900030A,288,183,N,1033,POLLING PLACE,208,109,85,
BEVERLY HILLS,0900030A,288,183,N,,VBM PORTION,92,55,34,
BEVERLY HILLS,0900030A,288,183,N,1033,TOTAL,300,164,119,
BEVERLY HILLS,0900033B,289,183,N,1050,POLLING PLACE,210,114,93,
BEVERLY HILLS,0900033B,289,183,N,,VBM PORTION,146,77,60,
BEVERLY HILLS,0900033B,289,183,N,1050,TOTAL,356,191,153,
BEVERLY HILLS,0900036A,290,183,N,1233,POLLING PLACE,181,97,80,
BEVERLY HILLS,0900036A,290,183,N,,VBM PORTION,124,61,61,
BEVERLY HILLS,0900036A,290,183,N,1233,TOTAL,305,158,141,
BEVERLY HILLS,0900037G,291,183,N,1144,POLLING PLACE,212,133,67,
BEVERLY HILLS,0900037G,291,183,N,,VBM PORTION,141,69,63,
BEVERLY HILLS,0900037G,291,183,N,1144,TOTAL,353,202,130,
BEVERLY HILLS,0900041A,292,183,N,1335,POLLING PLACE,253,135,104,
BEVERLY HILLS,0900041A,292,183,N,,VBM PORTION,142,73,59,
BEVERLY HILLS,0900041A,292,183,N,1335,TOTAL,395,208,163,
BEVERLY HILLS,0900046A,293,183,N,1157,POLLING PLACE,142,53,84,
BEVERLY HILLS,0900046A,293,183,N,,VBM PORTION,120,54,56,
BEVERLY HILLS,0900046A,293,183,N,1157,TOTAL,262,107,140,
CALABASAS,1000001E,350,117,N,1213,POLLING PLACE,187,68,110,
CALABASAS,1000001E,350,117,N,,VBM PORTION,141,59,77,
CALABASAS,1000001E,350,117,N,1213,TOTAL,328,127,187,
CALABASAS,1000004A,6033,190,Y,165,POLLING PLACE,,,,
CALABASAS,1000004A,6033,190,Y,,VBM PORTION,34,6,24,
CALABASAS,1000004A,6033,190,Y,165,TOTAL,34,6,24,
CALABASAS,1000006A,351,119,N,1322,POLLING PLACE,249,144,96,
CALABASAS,1000006A,351,119,N,,VBM PORTION,235,105,116,
CALABASAS,1000006A,351,119,N,1322,TOTAL,484,249,212,
CALABASAS,1000006D,6034,117,Y,107,POLLING PLACE,,,,
CALABASAS,1000006D,6034,117,Y,,VBM PORTION,27,14,13,
CALABASAS,1000006D,6034,117,Y,107,TOTAL,27,14,13,
CALABASAS,1000007A,352,118,N,1224,POLLING PLACE,263,133,116,
CALABASAS,1000007A,352,118,N,,VBM PORTION,98,34,59,
CALABASAS,1000007A,352,118,N,1224,TOTAL,361,167,175,
CALABASAS,1000008A,353,119,N,1064,POLLING PLACE,260,143,107,
CALABASAS,1000008A,353,119,N,,VBM PORTION,181,83,89,
CALABASAS,1000008A,353,119,N,1064,TOTAL,441,226,196,
CALABASAS,1000008B,6035,120,Y,56,POLLING PLACE,,,,
CALABASAS,1000008B,6035,120,Y,,VBM PORTION,9,3,4,
CALABASAS,1000008B,6035,120,Y,56,TOTAL,9,3,4,
CALABASAS,1000009A,354,118,N,545,POLLING PLACE,150,55,85,
CALABASAS,1000009A,354,118,N,,VBM PORTION,68,30,36,
CALABASAS,1000009A,354,118,N,545,TOTAL,218,85,121,
CALABASAS,1000010A,355,118,N,778,POLLING PLACE,128,63,60,
CALABASAS,1000010A,355,118,N,,VBM PORTION,111,49,59,
CALABASAS,1000010A,355,118,N,778,TOTAL,239,112,119,
CALABASAS,1000011A,356,118,N,561,POLLING PLACE,129,79,48,
CALABASAS,1000011A,356,118,N,,VBM PORTION,53,27,23,
CALABASAS,1000011A,356,118,N,561,TOTAL,182,106,71,
CALABASAS,1000012A,357,117,N,893,POLLING PLACE,188,82,87,
CALABASAS,1000012A,357,117,N,,VBM PORTION,99,41,53,
CALABASAS,1000012A,357,117,N,893,TOTAL,287,123,140,
CALABASAS,1000013A,358,118,N,1111,POLLING PLACE,189,94,76,
CALABASAS,1000013A,358,118,N,,VBM PORTION,87,42,39,
CALABASAS,1000013A,358,118,N,1111,TOTAL,276,136,115,
CALABASAS,1000016A,359,119,N,1161,POLLING PLACE,299,168,110,
CALABASAS,1000016A,359,119,N,,VBM PORTION,169,93,70,
CALABASAS,1000016A,359,119,N,1161,TOTAL,468,261,180,
CALABASAS,1000033A,360,117,N,976,POLLING PLACE,182,67,92,
CALABASAS,1000033A,360,117,N,,VBM PORTION,130,57,60,
CALABASAS,1000033A,360,117,N,976,TOTAL,312,124,152,
CALABASAS,1000075A,361,119,N,901,POLLING PLACE,181,110,68,
CALABASAS,1000075A,361,119,N,,VBM PORTION,118,55,54,
CALABASAS,1000075A,361,119,N,901,TOTAL,299,165,122,
CALABASAS,1000076A,362,119,N,1248,POLLING PLACE,299,134,150,
CALABASAS,1000076A,362,119,N,,VBM PORTION,169,79,75,
CALABASAS,1000076A,362,119,N,1248,TOTAL,468,213,225,
CALABASAS,1000077A,363,119,N,887,POLLING PLACE,241,115,93,
CALABASAS,1000077A,363,119,N,,VBM PORTION,116,57,47,
CALABASAS,1000077A,363,119,N,887,TOTAL,357,172,140,
EL SEGUNDO,2250001A,840,323,N,820,POLLING PLACE,183,85,91,
EL SEGUNDO,2250001A,840,323,N,,VBM PORTION,86,40,43,
EL SEGUNDO,2250001A,840,323,N,820,TOTAL,269,125,134,
EL SEGUNDO,2250002A,841,323,N,900,POLLING PLACE,209,111,84,
EL SEGUNDO,2250002A,841,323,N,,VBM PORTION,97,55,40,
EL SEGUNDO,2250002A,841,323,N,900,TOTAL,306,166,124,
EL SEGUNDO,2250003A,842,323,N,954,POLLING PLACE,231,117,106,
EL SEGUNDO,2250003A,842,323,N,,VBM PORTION,128,58,65,
EL SEGUNDO,2250003A,842,323,N,954,TOTAL,359,175,171,
EL SEGUNDO,2250004A,843,323,N,927,POLLING PLACE,177,87,84,
EL SEGUNDO,2250004A,843,323,N,,VBM PORTION,113,54,52,
EL SEGUNDO,2250004A,843,323,N,927,TOTAL,290,141,136,
EL SEGUNDO,2250006A,844,323,N,1234,POLLING PLACE,285,139,134,
EL SEGUNDO,2250006A,844,323,N,,VBM PORTION,121,58,58,
EL SEGUNDO,2250006A,844,323,N,1234,TOTAL,406,197,192,
EL SEGUNDO,2250007A,845,323,N,967,POLLING PLACE,216,114,88,
EL SEGUNDO,2250007A,845,323,N,,VBM PORTION,99,50,47,
EL SEGUNDO,2250007A,845,323,N,967,TOTAL,315,164,135,
EL SEGUNDO,2250009A,846,323,N,977,POLLING PLACE,289,138,141,
EL SEGUNDO,2250009A,846,323,N,,VBM PORTION,130,60,69,
EL SEGUNDO,2250009A,846,323,N,977,TOTAL,419,198,210,
EL SEGUNDO,2250012A,847,323,N,1188,POLLING PLACE,244,131,105,
EL SEGUNDO,2250012A,847,323,N,,VBM PORTION,98,47,43,
EL SEGUNDO,2250012A,847,323,N,1188,TOTAL,342,178,148,
EL SEGUNDO,2250017A,848,323,N,941,POLLING PLACE,215,106,100,
EL SEGUNDO,2250017A,848,323,N,,VBM PORTION,98,33,56,
EL SEGUNDO,2250017A,848,323,N,941,TOTAL,313,139,156,
EL SEGUNDO,2250020A,849,323,N,840,POLLING PLACE,242,114,125,
EL SEGUNDO,2250020A,849,323,N,,VBM PORTION,103,43,56,
EL SEGUNDO,2250020A,849,323,N,840,TOTAL,345,157,181,
EL SEGUNDO,2250030A,850,323,N,910,POLLING PLACE,213,99,104,
EL SEGUNDO,2250030A,850,323,N,,VBM PORTION,80,32,47,
EL SEGUNDO,2250030A,850,323,N,910,TOTAL,293,131,151,
FRANKLIN,2400001A,6085,184,Y,2,POLLING PLACE,,,,
FRANKLIN,2400001A,6085,184,Y,,VBM PORTION,,,,
FRANKLIN,2400001A,6085,184,Y,2,TOTAL,,,,
GILMORE,2520001A,6086,183,Y,,POLLING PLACE,,,,
GILMORE,2520001A,6086,183,Y,,VBM PORTION,,,,
GILMORE,2520001A,6086,183,Y,,TOTAL,,,,
HERMOSA BEACH,2750001A,1085,376,N,1068,POLLING PLACE,290,159,117,
HERMOSA BEACH,2750001A,1085,376,N,,VBM PORTION,159,76,78,
HERMOSA BEACH,2750001A,1085,376,N,1068,TOTAL,449,235,195,
HERMOSA BEACH,2750003A,1086,376,N,901,POLLING PLACE,311,168,126,
HERMOSA BEACH,2750003A,1086,376,N,,VBM PORTION,101,48,47,
HERMOSA BEACH,2750003A,1086,376,N,901,TOTAL,412,216,173,
HERMOSA BEACH,2750003B,1087,376,N,1013,POLLING PLACE,281,167,105,
HERMOSA BEACH,2750003B,1087,376,N,,VBM PORTION,150,64,77,
HERMOSA BEACH,2750003B,1087,376,N,1013,TOTAL,431,231,182,
HERMOSA BEACH,2750004A,1088,376,N,923,POLLING PLACE,211,127,76,
HERMOSA BEACH,2750004A,1088,376,N,,VBM PORTION,90,31,51,
HERMOSA BEACH,2750004A,1088,376,N,923,TOTAL,301,158,127,
HERMOSA BEACH,2750008A,1089,376,N,859,POLLING PLACE,188,95,88,
HERMOSA BEACH,2750008A,1089,376,N,,VBM PORTION,89,32,53,
HERMOSA BEACH,2750008A,1089,376,N,859,TOTAL,277,127,141,
HERMOSA BEACH,2750011A,1090,376,N,1041,POLLING PLACE,236,131,88,
HERMOSA BEACH,2750011A,1090,376,N,,VBM PORTION,113,60,44,
HERMOSA BEACH,2750011A,1090,376,N,1041,TOTAL,349,191,132,
HERMOSA BEACH,2750012A,1091,376,N,1277,POLLING PLACE,294,168,113,
HERMOSA BEACH,2750012A,1091,376,N,,VBM PORTION,200,113,76,
HERMOSA BEACH,2750012A,1091,376,N,1277,TOTAL,494,281,189,
HERMOSA BEACH,2750015A,1092,376,N,967,POLLING PLACE,226,119,93,
HERMOSA BEACH,2750015A,1092,376,N,,VBM PORTION,160,112,43,
HERMOSA BEACH,2750015A,1092,376,N,967,TOTAL,386,231,136,
HERMOSA BEACH,2750016A,1093,376,N,848,POLLING PLACE,253,146,96,
HERMOSA BEACH,2750016A,1093,376,N,,VBM PORTION,108,56,48,
HERMOSA BEACH,2750016A,1093,376,N,848,TOTAL,361,202,144,
HERMOSA BEACH,2750017A,1094,376,N,1269,POLLING PLACE,389,229,147,
HERMOSA BEACH,2750017A,1094,376,N,,VBM PORTION,179,90,81,
HERMOSA BEACH,2750017A,1094,376,N,1269,TOTAL,568,319,228,
HERMOSA BEACH,2750019A,1095,376,N,1276,POLLING PLACE,340,189,137,
HERMOSA BEACH,2750019A,1095,376,N,,VBM PORTION,150,88,58,
HERMOSA BEACH,2750019A,1095,376,N,1276,TOTAL,490,277,195,
HERMOSA BEACH,2750023A,1096,376,N,930,POLLING PLACE,190,104,77,
HERMOSA BEACH,2750023A,1096,376,N,,VBM PORTION,88,51,31,
HERMOSA BEACH,2750023A,1096,376,N,930,TOTAL,278,155,108,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,133,85,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,45,28,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,178,113,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,133,65,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,39,34,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,172,99,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,100,40,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,42,35,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,142,75,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,92,100,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,36,47,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,128,147,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,196,151,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,48,75,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,244,226,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,129,109,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,56,39,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,185,148,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,61,69,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,35,38,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,96,107,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,192,88,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,48,54,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,240,142,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,120,88,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,57,50,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,177,138,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,150,99,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,66,57,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,216,156,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,50,49,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,14,13,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,64,62,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,1,8,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,1,8,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,36,25,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,1,9,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,37,34,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,10,10,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,10,10,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,29,20,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,26,7,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,55,27,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,60,47,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,44,27,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,104,74,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,
MANHATTAN BEACH,4100001F,1716,375,N,1018,POLLING PLACE,257,123,123,
MANHATTAN BEACH,4100001F,1716,375,N,,VBM PORTION,105,39,62,
MANHATTAN BEACH,4100001F,1716,375,N,1018,TOTAL,362,162,185,
MANHATTAN BEACH,4100002A,1717,375,N,851,POLLING PLACE,205,110,84,
MANHATTAN BEACH,4100002A,1717,375,N,,VBM PORTION,88,48,38,
MANHATTAN BEACH,4100002A,1717,375,N,851,TOTAL,293,158,122,
MANHATTAN BEACH,4100005A,1718,375,N,1016,POLLING PLACE,243,120,113,
MANHATTAN BEACH,4100005A,1718,375,N,,VBM PORTION,112,53,56,
MANHATTAN BEACH,4100005A,1718,375,N,1016,TOTAL,355,173,169,
MANHATTAN BEACH,4100007B,1719,375,N,1099,POLLING PLACE,228,104,113,
MANHATTAN BEACH,4100007B,1719,375,N,,VBM PORTION,128,44,77,
MANHATTAN BEACH,4100007B,1719,375,N,1099,TOTAL,356,148,190,
MANHATTAN BEACH,4100012A,1720,375,N,947,POLLING PLACE,261,123,119,
MANHATTAN BEACH,4100012A,1720,375,N,,VBM PORTION,101,36,57,
MANHATTAN BEACH,4100012A,1720,375,N,947,TOTAL,362,159,176,
MANHATTAN BEACH,4100012B,1721,375,N,987,POLLING PLACE,238,110,121,
MANHATTAN BEACH,4100012B,1721,375,N,,VBM PORTION,141,55,82,
MANHATTAN BEACH,4100012B,1721,375,N,987,TOTAL,379,165,203,
MANHATTAN BEACH,4100014C,1722,375,N,901,POLLING PLACE,212,96,110,
MANHATTAN BEACH,4100014C,1722,375,N,,VBM PORTION,118,48,63,
MANHATTAN BEACH,4100014C,1722,375,N,901,TOTAL,330,144,173,
MANHATTAN BEACH,4100017A,1723,375,N,1097,POLLING PLACE,306,159,140,
MANHATTAN BEACH,4100017A,1723,375,N,,VBM PORTION,126,42,73,
MANHATTAN BEACH,4100017A,1723,375,N,1097,TOTAL,432,201,213,
MANHATTAN BEACH,4100019A,1724,375,N,1102,POLLING PLACE,294,147,133,
MANHATTAN BEACH,4100019A,1724,375,N,,VBM PORTION,118,52,58,
MANHATTAN BEACH,4100019A,1724,375,N,1102,TOTAL,412,199,191,
MANHATTAN BEACH,4100021A,1725,375,N,926,POLLING PLACE,224,136,83,
MANHATTAN BEACH,4100021A,1725,375,N,,VBM PORTION,125,63,57,
MANHATTAN BEACH,4100021A,1725,375,N,926,TOTAL,349,199,140,
MANHATTAN BEACH,4100025B,1726,375,N,973,POLLING PLACE,315,146,143,
MANHATTAN BEACH,4100025B,1726,375,N,,VBM PORTION,119,52,60,
MANHATTAN BEACH,4100025B,1726,375,N,973,TOTAL,434,198,203,
MANHATTAN BEACH,4100025D,1727,375,N,1042,POLLING PLACE,330,159,157,
MANHATTAN BEACH,4100025D,1727,375,N,,VBM PORTION,112,56,53,
MANHATTAN BEACH,4100025D,1727,375,N,1042,TOTAL,442,215,210,
MANHATTAN BEACH,4100026A,1728,375,N,1020,POLLING PLACE,314,153,150,
MANHATTAN BEACH,4100026A,1728,375,N,,VBM PORTION,104,49,50,
MANHATTAN BEACH,4100026A,1728,375,N,1020,TOTAL,418,202,200,
MANHATTAN BEACH,4100028A,1729,375,N,1092,POLLING PLACE,290,154,127,
MANHATTAN BEACH,4100028A,1729,375,N,,VBM PORTION,151,65,82,
MANHATTAN BEACH,4100028A,1729,375,N,1092,TOTAL,441,219,209,
MANHATTAN BEACH,4100031A,1730,375,N,1083,POLLING PLACE,253,160,85,
MANHATTAN BEACH,4100031A,1730,375,N,,VBM PORTION,175,81,90,
MANHATTAN BEACH,4100031A,1730,375,N,1083,TOTAL,428,241,175,
MANHATTAN BEACH,4100033A,1731,375,N,1230,POLLING PLACE,357,175,171,
MANHATTAN BEACH,4100033A,1731,375,N,,VBM PORTION,141,72,64,
MANHATTAN BEACH,4100033A,1731,375,N,1230,TOTAL,498,247,235,
MANHATTAN BEACH,4100034A,1732,375,N,1240,POLLING PLACE,334,166,160,
MANHATTAN BEACH,4100034A,1732,375,N,,VBM PORTION,138,71,64,
MANHATTAN BEACH,4100034A,1732,375,N,1240,TOTAL,472,237,224,
MANHATTAN BEACH,4100035A,1733,375,N,432,POLLING PLACE,110,49,57,
MANHATTAN BEACH,4100035A,1733,375,N,,VBM PORTION,32,12,20,
MANHATTAN BEACH,4100035A,1733,375,N,432,TOTAL,142,61,77,
MANHATTAN BEACH,4100036A,1734,375,N,1145,POLLING PLACE,304,150,147,
MANHATTAN BEACH,4100036A,1734,375,N,,VBM PORTION,139,65,69,
MANHATTAN BEACH,4100036A,1734,375,N,1145,TOTAL,443,215,216,
MANHATTAN BEACH,4100044A,1735,375,N,930,POLLING PLACE,248,131,109,
MANHATTAN BEACH,4100044A,1735,375,N,,VBM PORTION,125,45,76,
MANHATTAN BEACH,4100044A,1735,375,N,930,TOTAL,373,176,185,
MANHATTAN BEACH,4100047A,1736,375,N,1349,POLLING PLACE,305,150,145,
MANHATTAN BEACH,4100047A,1736,375,N,,VBM PORTION,207,85,102,
MANHATTAN BEACH,4100047A,1736,375,N,1349,TOTAL,512,235,247,
MANHATTAN BEACH,4100048A,1737,375,N,989,POLLING PLACE,293,140,130,
MANHATTAN BEACH,4100048A,1737,375,N,,VBM PORTION,76,36,30,
MANHATTAN BEACH,4100048A,1737,375,N,989,TOTAL,369,176,160,
