LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SCOTT WILK,JORGE S FUENTES,
SANTA CLARITA,6220003A,2344,44,N,1296,TOTAL,414,286,103,
SANTA CLARITA,6220004A,2345,44,N,998,POLLING PLACE,240,139,92,
SANTA CLARITA,6220004A,2345,44,N,,VBM PORTION,97,72,19,
SANTA CLARITA,6220004A,2345,44,N,998,TOTAL,337,211,111,
SANTA CLARITA,6220005A,2346,36,N,1251,POLLING PLACE,256,150,68,
SANTA CLARITA,6220005A,2346,36,N,,VBM PORTION,128,85,32,
SANTA CLARITA,6220005A,2346,36,N,1251,TOTAL,384,235,100,
SANTA CLARITA,6220006A,2347,44,N,1060,POLLING PLACE,227,151,64,
SANTA CLARITA,6220006A,2347,44,N,,VBM PORTION,98,69,25,
SANTA CLARITA,6220006A,2347,44,N,1060,TOTAL,325,220,89,
SANTA CLARITA,6220007A,2348,44,N,823,POLLING PLACE,215,150,57,
SANTA CLARITA,6220007A,2348,44,N,,VBM PORTION,68,46,14,
SANTA CLARITA,6220007A,2348,44,N,823,TOTAL,283,196,71,
SANTA CLARITA,6220008A,2349,40,N,1343,POLLING PLACE,271,191,61,
SANTA CLARITA,6220008A,2349,40,N,,VBM PORTION,154,116,28,
SANTA CLARITA,6220008A,2349,40,N,1343,TOTAL,425,307,89,
SANTA CLARITA,6220009A,2350,44,N,972,POLLING PLACE,203,136,59,
SANTA CLARITA,6220009A,2350,44,N,,VBM PORTION,90,69,18,
SANTA CLARITA,6220009A,2350,44,N,972,TOTAL,293,205,77,
SANTA CLARITA,6220010A,2351,40,N,882,POLLING PLACE,193,117,68,
SANTA CLARITA,6220010A,2351,40,N,,VBM PORTION,78,60,14,
SANTA CLARITA,6220010A,2351,40,N,882,TOTAL,271,177,82,
SANTA CLARITA,6220011B,2352,40,N,1307,POLLING PLACE,230,152,68,
SANTA CLARITA,6220011B,2352,40,N,,VBM PORTION,163,103,48,
SANTA CLARITA,6220011B,2352,40,N,1307,TOTAL,393,255,116,
SANTA CLARITA,6220017B,2353,39,N,1113,POLLING PLACE,193,111,73,
SANTA CLARITA,6220017B,2353,39,N,,VBM PORTION,137,87,44,
SANTA CLARITA,6220017B,2353,39,N,1113,TOTAL,330,198,117,
SANTA CLARITA,6220018A,2354,39,N,822,POLLING PLACE,160,103,46,
SANTA CLARITA,6220018A,2354,39,N,,VBM PORTION,93,63,27,
SANTA CLARITA,6220018A,2354,39,N,822,TOTAL,253,166,73,
SANTA CLARITA,6220020A,2355,39,N,1358,POLLING PLACE,314,199,93,
SANTA CLARITA,6220020A,2355,39,N,,VBM PORTION,160,115,38,
SANTA CLARITA,6220020A,2355,39,N,1358,TOTAL,474,314,131,
SANTA CLARITA,6220022B,2356,39,N,990,POLLING PLACE,227,148,64,
SANTA CLARITA,6220022B,2356,39,N,,VBM PORTION,109,73,31,
SANTA CLARITA,6220022B,2356,39,N,990,TOTAL,336,221,95,
SANTA CLARITA,6220023A,2357,39,N,580,POLLING PLACE,133,100,28,
SANTA CLARITA,6220023A,2357,39,N,,VBM PORTION,48,38,6,
SANTA CLARITA,6220023A,2357,39,N,580,TOTAL,181,138,34,
SANTA CLARITA,6220023E,6207,36,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220023E,6207,36,Y,,VBM PORTION,,,,
SANTA CLARITA,6220023E,6207,36,Y,1,TOTAL,,,,
SANTA CLARITA,6220024A,2358,39,N,1359,POLLING PLACE,285,156,102,
SANTA CLARITA,6220024A,2358,39,N,,VBM PORTION,136,85,38,
SANTA CLARITA,6220024A,2358,39,N,1359,TOTAL,421,241,140,
SANTA CLARITA,6220028B,2359,39,N,1279,POLLING PLACE,325,207,100,
SANTA CLARITA,6220028B,2359,39,N,,VBM PORTION,119,77,34,
SANTA CLARITA,6220028B,2359,39,N,1279,TOTAL,444,284,134,
SANTA CLARITA,6220030A,2360,39,N,1144,POLLING PLACE,324,211,90,
SANTA CLARITA,6220030A,2360,39,N,,VBM PORTION,156,105,47,
SANTA CLARITA,6220030A,2360,39,N,1144,TOTAL,480,316,137,
SANTA CLARITA,6220031A,2361,39,N,848,POLLING PLACE,118,44,69,
SANTA CLARITA,6220031A,2361,39,N,,VBM PORTION,34,17,14,
SANTA CLARITA,6220031A,2361,39,N,848,TOTAL,152,61,83,
SANTA CLARITA,6220032A,2362,39,N,1010,POLLING PLACE,239,136,93,
SANTA CLARITA,6220032A,2362,39,N,,VBM PORTION,143,113,21,
SANTA CLARITA,6220032A,2362,39,N,1010,TOTAL,382,249,114,
SANTA CLARITA,6220033A,2363,39,N,692,POLLING PLACE,132,103,24,
SANTA CLARITA,6220033A,2363,39,N,,VBM PORTION,93,61,22,
SANTA CLARITA,6220033A,2363,39,N,692,TOTAL,225,164,46,
SANTA CLARITA,6220034A,2364,39,N,755,POLLING PLACE,148,72,68,
SANTA CLARITA,6220034A,2364,39,N,,VBM PORTION,60,44,14,
SANTA CLARITA,6220034A,2364,39,N,755,TOTAL,208,116,82,
SANTA CLARITA,6220037B,2365,39,N,592,POLLING PLACE,126,75,45,
SANTA CLARITA,6220037B,2365,39,N,,VBM PORTION,49,38,8,
SANTA CLARITA,6220037B,2365,39,N,592,TOTAL,175,113,53,
SANTA CLARITA,6220038A,2366,39,N,1133,POLLING PLACE,245,143,89,
SANTA CLARITA,6220038A,2366,39,N,,VBM PORTION,157,98,46,
SANTA CLARITA,6220038A,2366,39,N,1133,TOTAL,402,241,135,
SANTA CLARITA,6220040A,2367,39,N,1045,POLLING PLACE,207,121,74,
SANTA CLARITA,6220040A,2367,39,N,,VBM PORTION,68,41,25,
SANTA CLARITA,6220040A,2367,39,N,1045,TOTAL,275,162,99,
SANTA CLARITA,6220041A,2368,39,N,1304,POLLING PLACE,289,190,75,
SANTA CLARITA,6220041A,2368,39,N,,VBM PORTION,132,89,37,
SANTA CLARITA,6220041A,2368,39,N,1304,TOTAL,421,279,112,
SANTA CLARITA,6220042A,2369,36,N,1245,POLLING PLACE,224,149,67,
SANTA CLARITA,6220042A,2369,36,N,,VBM PORTION,147,110,29,
SANTA CLARITA,6220042A,2369,36,N,1245,TOTAL,371,259,96,
SANTA CLARITA,6220043A,2370,39,N,1207,POLLING PLACE,266,170,83,
SANTA CLARITA,6220043A,2370,39,N,,VBM PORTION,177,122,41,
SANTA CLARITA,6220043A,2370,39,N,1207,TOTAL,443,292,124,
SANTA CLARITA,6220044A,2371,39,N,961,POLLING PLACE,223,149,55,
SANTA CLARITA,6220044A,2371,39,N,,VBM PORTION,110,83,20,
SANTA CLARITA,6220044A,2371,39,N,961,TOTAL,333,232,75,
SANTA CLARITA,6220046B,2372,39,N,882,POLLING PLACE,109,51,56,
SANTA CLARITA,6220046B,2372,39,N,,VBM PORTION,55,36,19,
SANTA CLARITA,6220046B,2372,39,N,882,TOTAL,164,87,75,
SANTA CLARITA,6220047A,2373,36,N,1050,POLLING PLACE,241,149,80,
SANTA CLARITA,6220047A,2373,36,N,,VBM PORTION,113,88,17,
SANTA CLARITA,6220047A,2373,36,N,1050,TOTAL,354,237,97,
SANTA CLARITA,6220049A,2374,44,N,971,POLLING PLACE,219,143,58,
SANTA CLARITA,6220049A,2374,44,N,,VBM PORTION,95,63,28,
SANTA CLARITA,6220049A,2374,44,N,971,TOTAL,314,206,86,
SANTA CLARITA,6220051A,2375,44,N,950,POLLING PLACE,163,102,51,
SANTA CLARITA,6220051A,2375,44,N,,VBM PORTION,107,70,30,
SANTA CLARITA,6220051A,2375,44,N,950,TOTAL,270,172,81,
SANTA CLARITA,6220052A,2376,44,N,682,POLLING PLACE,188,129,51,
SANTA CLARITA,6220052A,2376,44,N,,VBM PORTION,53,40,11,
SANTA CLARITA,6220052A,2376,44,N,682,TOTAL,241,169,62,
SANTA CLARITA,6220053A,2377,44,N,1056,POLLING PLACE,224,160,46,
SANTA CLARITA,6220053A,2377,44,N,,VBM PORTION,93,63,26,
SANTA CLARITA,6220053A,2377,44,N,1056,TOTAL,317,223,72,
SANTA CLARITA,6220054A,2378,44,N,1030,POLLING PLACE,259,174,72,
SANTA CLARITA,6220054A,2378,44,N,,VBM PORTION,83,59,21,
SANTA CLARITA,6220054A,2378,44,N,1030,TOTAL,342,233,93,
SANTA CLARITA,6220055A,2379,44,N,1163,POLLING PLACE,225,155,58,
SANTA CLARITA,6220055A,2379,44,N,,VBM PORTION,110,82,24,
SANTA CLARITA,6220055A,2379,44,N,1163,TOTAL,335,237,82,
SANTA CLARITA,6220058A,6208,37,Y,228,POLLING PLACE,,,,
SANTA CLARITA,6220058A,6208,37,Y,,VBM PORTION,38,26,11,
SANTA CLARITA,6220058A,6208,37,Y,228,TOTAL,38,26,11,
SANTA CLARITA,6220059E,2380,44,N,1037,POLLING PLACE,224,153,58,
SANTA CLARITA,6220059E,2380,44,N,,VBM PORTION,88,60,19,
SANTA CLARITA,6220059E,2380,44,N,1037,TOTAL,312,213,77,
SANTA CLARITA,6220061A,2381,37,N,1275,POLLING PLACE,326,222,88,
SANTA CLARITA,6220061A,2381,37,N,,VBM PORTION,96,67,25,
SANTA CLARITA,6220061A,2381,37,N,1275,TOTAL,422,289,113,
SANTA CLARITA,6220063A,2382,44,N,1309,POLLING PLACE,236,143,78,
SANTA CLARITA,6220063A,2382,44,N,,VBM PORTION,114,75,36,
SANTA CLARITA,6220063A,2382,44,N,1309,TOTAL,350,218,114,
SANTA CLARITA,6220064B,2383,37,N,635,POLLING PLACE,138,91,44,
SANTA CLARITA,6220064B,2383,37,N,,VBM PORTION,76,45,28,
SANTA CLARITA,6220064B,2383,37,N,635,TOTAL,214,136,72,
SANTA CLARITA,6220065A,2384,37,N,1186,POLLING PLACE,235,149,77,
SANTA CLARITA,6220065A,2384,37,N,,VBM PORTION,103,64,34,
SANTA CLARITA,6220065A,2384,37,N,1186,TOTAL,338,213,111,
SANTA CLARITA,6220067A,2385,37,N,1222,POLLING PLACE,209,127,60,
SANTA CLARITA,6220067A,2385,37,N,,VBM PORTION,106,68,36,
SANTA CLARITA,6220067A,2385,37,N,1222,TOTAL,315,195,96,
SANTA CLARITA,6220069A,2386,37,N,1250,POLLING PLACE,237,139,82,
SANTA CLARITA,6220069A,2386,37,N,,VBM PORTION,66,40,23,
SANTA CLARITA,6220069A,2386,37,N,1250,TOTAL,303,179,105,
SANTA CLARITA,6220071A,2387,36,N,777,POLLING PLACE,160,99,52,
SANTA CLARITA,6220071A,2387,36,N,,VBM PORTION,77,51,22,
SANTA CLARITA,6220071A,2387,36,N,777,TOTAL,237,150,74,
SANTA CLARITA,6220073A,2388,36,N,1045,POLLING PLACE,147,79,65,
SANTA CLARITA,6220073A,2388,36,N,,VBM PORTION,73,42,28,
SANTA CLARITA,6220073A,2388,36,N,1045,TOTAL,220,121,93,
SANTA CLARITA,6220074A,2389,36,N,1143,POLLING PLACE,210,111,87,
SANTA CLARITA,6220074A,2389,36,N,,VBM PORTION,73,40,27,
SANTA CLARITA,6220074A,2389,36,N,1143,TOTAL,283,151,114,
SANTA CLARITA,6220076A,2390,36,N,1382,POLLING PLACE,384,223,132,
SANTA CLARITA,6220076A,2390,36,N,,VBM PORTION,340,205,107,
SANTA CLARITA,6220076A,2390,36,N,1382,TOTAL,724,428,239,
SANTA CLARITA,6220078A,2391,40,N,872,POLLING PLACE,145,85,49,
SANTA CLARITA,6220078A,2391,40,N,,VBM PORTION,59,39,15,
SANTA CLARITA,6220078A,2391,40,N,872,TOTAL,204,124,64,
SANTA CLARITA,6220080A,2392,36,N,1165,POLLING PLACE,219,130,78,
SANTA CLARITA,6220080A,2392,36,N,,VBM PORTION,111,70,32,
SANTA CLARITA,6220080A,2392,36,N,1165,TOTAL,330,200,110,
SANTA CLARITA,6220081A,2393,36,N,1032,POLLING PLACE,194,105,75,
SANTA CLARITA,6220081A,2393,36,N,,VBM PORTION,107,63,36,
SANTA CLARITA,6220081A,2393,36,N,1032,TOTAL,301,168,111,
SANTA CLARITA,6220081C,6209,37,Y,185,POLLING PLACE,,,,
SANTA CLARITA,6220081C,6209,37,Y,,VBM PORTION,34,17,17,
SANTA CLARITA,6220081C,6209,37,Y,185,TOTAL,34,17,17,
SANTA CLARITA,6220083A,2394,36,N,851,POLLING PLACE,82,41,39,
SANTA CLARITA,6220083A,2394,36,N,,VBM PORTION,61,29,29,
SANTA CLARITA,6220083A,2394,36,N,851,TOTAL,143,70,68,
SANTA CLARITA,6220086A,2395,36,N,1245,POLLING PLACE,188,114,64,
SANTA CLARITA,6220086A,2395,36,N,,VBM PORTION,68,41,18,
SANTA CLARITA,6220086A,2395,36,N,1245,TOTAL,256,155,82,
SANTA CLARITA,6220087A,2396,40,N,931,POLLING PLACE,192,123,56,
SANTA CLARITA,6220087A,2396,40,N,,VBM PORTION,121,99,16,
SANTA CLARITA,6220087A,2396,40,N,931,TOTAL,313,222,72,
SANTA CLARITA,6220088A,2397,36,N,849,POLLING PLACE,165,101,53,
SANTA CLARITA,6220088A,2397,36,N,,VBM PORTION,94,60,30,
SANTA CLARITA,6220088A,2397,36,N,849,TOTAL,259,161,83,
SANTA CLARITA,6220090A,2398,36,N,911,POLLING PLACE,218,177,32,
SANTA CLARITA,6220090A,2398,36,N,,VBM PORTION,135,104,26,
SANTA CLARITA,6220090A,2398,36,N,911,TOTAL,353,281,58,
SANTA CLARITA,6220091A,2399,36,N,901,POLLING PLACE,230,181,35,
SANTA CLARITA,6220091A,2399,36,N,,VBM PORTION,83,68,11,
SANTA CLARITA,6220091A,2399,36,N,901,TOTAL,313,249,46,
SANTA CLARITA,6220093A,2400,39,N,970,POLLING PLACE,192,121,56,
SANTA CLARITA,6220093A,2400,39,N,,VBM PORTION,143,96,37,
SANTA CLARITA,6220093A,2400,39,N,970,TOTAL,335,217,93,
SANTA CLARITA,6220094A,2401,37,N,869,POLLING PLACE,125,67,54,
SANTA CLARITA,6220094A,2401,37,N,,VBM PORTION,56,32,22,
SANTA CLARITA,6220094A,2401,37,N,869,TOTAL,181,99,76,
SANTA CLARITA,6220096A,2402,37,N,1248,POLLING PLACE,245,152,73,
SANTA CLARITA,6220096A,2402,37,N,,VBM PORTION,80,55,20,
SANTA CLARITA,6220096A,2402,37,N,1248,TOTAL,325,207,93,
SANTA CLARITA,6220098B,2403,39,N,1320,POLLING PLACE,294,192,83,
SANTA CLARITA,6220098B,2403,39,N,,VBM PORTION,139,108,25,
SANTA CLARITA,6220098B,2403,39,N,1320,TOTAL,433,300,108,
SANTA CLARITA,6220101B,2404,39,N,1164,POLLING PLACE,243,168,61,
SANTA CLARITA,6220101B,2404,39,N,,VBM PORTION,148,90,51,
SANTA CLARITA,6220101B,2404,39,N,1164,TOTAL,391,258,112,
SANTA CLARITA,6220102A,2405,36,N,1240,POLLING PLACE,277,161,96,
SANTA CLARITA,6220102A,2405,36,N,,VBM PORTION,111,65,42,
SANTA CLARITA,6220102A,2405,36,N,1240,TOTAL,388,226,138,
SANTA CLARITA,6220103A,2406,39,N,844,POLLING PLACE,180,123,45,
SANTA CLARITA,6220103A,2406,39,N,,VBM PORTION,154,115,33,
SANTA CLARITA,6220103A,2406,39,N,844,TOTAL,334,238,78,
SANTA CLARITA,6220105A,2407,36,N,828,POLLING PLACE,185,131,53,
SANTA CLARITA,6220105A,2407,36,N,,VBM PORTION,84,57,24,
SANTA CLARITA,6220105A,2407,36,N,828,TOTAL,269,188,77,
SANTA CLARITA,6220106A,2408,36,N,988,POLLING PLACE,237,162,67,
SANTA CLARITA,6220106A,2408,36,N,,VBM PORTION,85,61,20,
SANTA CLARITA,6220106A,2408,36,N,988,TOTAL,322,223,87,
SANTA CLARITA,6220107A,2409,36,N,1316,POLLING PLACE,260,163,84,
SANTA CLARITA,6220107A,2409,36,N,,VBM PORTION,124,94,20,
SANTA CLARITA,6220107A,2409,36,N,1316,TOTAL,384,257,104,
SANTA CLARITA,6220108A,2410,36,N,878,POLLING PLACE,159,95,56,
SANTA CLARITA,6220108A,2410,36,N,,VBM PORTION,74,46,20,
SANTA CLARITA,6220108A,2410,36,N,878,TOTAL,233,141,76,
SANTA CLARITA,6220109A,2411,39,N,1408,POLLING PLACE,206,116,77,
SANTA CLARITA,6220109A,2411,39,N,,VBM PORTION,213,134,67,
SANTA CLARITA,6220109A,2411,39,N,1408,TOTAL,419,250,144,
SANTA CLARITA,6220113A,2412,36,N,805,POLLING PLACE,202,123,68,
SANTA CLARITA,6220113A,2412,36,N,,VBM PORTION,86,49,33,
SANTA CLARITA,6220113A,2412,36,N,805,TOTAL,288,172,101,
SANTA CLARITA,6220114A,2413,37,N,1199,POLLING PLACE,189,111,70,
SANTA CLARITA,6220114A,2413,37,N,,VBM PORTION,100,75,18,
SANTA CLARITA,6220114A,2413,37,N,1199,TOTAL,289,186,88,
SANTA CLARITA,6220115A,2414,44,N,980,POLLING PLACE,227,166,51,
SANTA CLARITA,6220115A,2414,44,N,,VBM PORTION,66,45,20,
SANTA CLARITA,6220115A,2414,44,N,980,TOTAL,293,211,71,
SANTA CLARITA,6220116A,2415,44,N,1048,POLLING PLACE,206,150,52,
SANTA CLARITA,6220116A,2415,44,N,,VBM PORTION,93,70,20,
SANTA CLARITA,6220116A,2415,44,N,1048,TOTAL,299,220,72,
SANTA CLARITA,6220118A,2416,40,N,708,POLLING PLACE,60,35,22,
SANTA CLARITA,6220118A,2416,40,N,,VBM PORTION,49,26,20,
SANTA CLARITA,6220118A,2416,40,N,708,TOTAL,109,61,42,
SANTA CLARITA,6220126A,2417,40,N,1087,POLLING PLACE,161,85,63,
SANTA CLARITA,6220126A,2417,40,N,,VBM PORTION,100,60,27,
SANTA CLARITA,6220126A,2417,40,N,1087,TOTAL,261,145,90,
SANTA CLARITA,6220127A,2418,40,N,625,POLLING PLACE,99,54,35,
SANTA CLARITA,6220127A,2418,40,N,,VBM PORTION,48,31,10,
SANTA CLARITA,6220127A,2418,40,N,625,TOTAL,147,85,45,
SANTA CLARITA,6220127B,6210,43,Y,,POLLING PLACE,,,,
SANTA CLARITA,6220127B,6210,43,Y,,VBM PORTION,,,,
SANTA CLARITA,6220127B,6210,43,Y,,TOTAL,,,,
SANTA CLARITA,6220127D,6211,44,Y,,POLLING PLACE,,,,
SANTA CLARITA,6220127D,6211,44,Y,,VBM PORTION,,,,
SANTA CLARITA,6220127D,6211,44,Y,,TOTAL,,,,
SANTA CLARITA,6220127R,6212,39,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220127R,6212,39,Y,,VBM PORTION,1,1,,
SANTA CLARITA,6220127R,6212,39,Y,1,TOTAL,1,1,,
SANTA CLARITA,6220132A,2419,39,N,561,POLLING PLACE,132,95,31,
SANTA CLARITA,6220132A,2419,39,N,,VBM PORTION,64,47,11,
SANTA CLARITA,6220132A,2419,39,N,561,TOTAL,196,142,42,
SANTA CLARITA,6220135A,2420,40,N,878,POLLING PLACE,165,104,51,
SANTA CLARITA,6220135A,2420,40,N,,VBM PORTION,99,73,25,
SANTA CLARITA,6220135A,2420,40,N,878,TOTAL,264,177,76,
SANTA CLARITA,6220136A,2421,40,N,1243,POLLING PLACE,278,166,88,
SANTA CLARITA,6220136A,2421,40,N,,VBM PORTION,124,89,28,
SANTA CLARITA,6220136A,2421,40,N,1243,TOTAL,402,255,116,
SANTA CLARITA,6220139A,2422,40,N,1197,POLLING PLACE,170,108,54,
SANTA CLARITA,6220139A,2422,40,N,,VBM PORTION,132,89,37,
SANTA CLARITA,6220139A,2422,40,N,1197,TOTAL,302,197,91,
SANTA CLARITA,6220141A,2423,37,N,779,POLLING PLACE,184,108,66,
SANTA CLARITA,6220141A,2423,37,N,,VBM PORTION,76,49,23,
SANTA CLARITA,6220141A,2423,37,N,779,TOTAL,260,157,89,
SANTA CLARITA,6220142A,2424,36,N,1236,POLLING PLACE,223,136,78,
SANTA CLARITA,6220142A,2424,36,N,,VBM PORTION,89,60,26,
SANTA CLARITA,6220142A,2424,36,N,1236,TOTAL,312,196,104,
SANTA CLARITA,6220143A,6213,43,Y,1,POLLING PLACE,,,,
SANTA CLARITA,6220143A,6213,43,Y,,VBM PORTION,,,,
SANTA CLARITA,6220143A,6213,43,Y,1,TOTAL,,,,
SANTA CLARITA,6220144D,6214,47,Y,,POLLING PLACE,,,,
SANTA CLARITA,6220144D,6214,47,Y,,VBM PORTION,,,,
SANTA CLARITA,6220144D,6214,47,Y,,TOTAL,,,,
SANTA CLARITA,6220145A,2425,40,N,1125,POLLING PLACE,230,144,74,
SANTA CLARITA,6220145A,2425,40,N,,VBM PORTION,83,59,17,
SANTA CLARITA,6220145A,2425,40,N,1125,TOTAL,313,203,91,
