LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JIM MCDONNELL,PAUL TANAKA,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,30,21,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,117,71,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,86,36,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,27,11,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,113,47,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,133,44,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,38,16,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,171,60,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,105,41,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,47,13,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,152,54,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,106,43,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,30,12,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,136,55,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,86,49,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,80,16,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,166,65,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,126,47,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,38,14,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,164,61,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,126,45,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,43,12,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,169,57,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,50,19,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,22,10,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,72,29,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,60,39,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,30,20,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,90,59,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,75,48,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,34,21,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,109,69,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,125,52,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,39,31,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,164,83,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,3,,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,3,,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,74,42,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,11,7,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,85,49,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,128,54,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,51,17,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,179,71,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,72,40,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,38,25,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,110,65,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,62,26,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,16,9,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,78,35,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,83,30,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,25,16,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,108,46,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,74,31,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,31,27,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,105,58,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,32,30,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,19,5,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,51,35,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,60,18,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,26,14,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,86,32,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,105,46,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,49,22,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,154,68,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,78,49,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,49,21,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,127,70,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,106,45,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,29,7,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,135,52,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,104,54,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,17,10,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,121,64,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,80,37,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,25,8,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,105,45,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,25,23,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,20,6,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,45,29,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,147,69,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,18,19,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,165,88,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,94,47,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,44,20,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,138,67,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,138,61,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,36,22,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,174,83,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,54,35,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,78,42,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,132,77,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,93,35,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,47,15,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,140,50,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,48,21,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,26,14,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,74,35,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,89,29,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,29,7,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,118,36,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,117,26,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,65,15,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,182,41,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,150,66,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,33,15,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,183,81,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,220,51,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,95,29,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,315,80,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,132,35,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,75,23,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,207,58,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,121,31,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,41,10,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,162,41,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,114,55,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,40,18,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,154,73,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,120,45,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,58,17,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,178,62,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,122,39,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,60,7,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,182,46,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,98,45,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,33,17,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,131,62,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,136,66,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,59,25,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,195,91,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,93,52,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,21,13,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,114,65,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,69,43,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,22,7,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,91,50,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,103,43,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,25,4,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,128,47,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,177,39,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,73,23,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,250,62,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,146,51,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,28,13,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,174,64,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,253,72,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,123,24,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,376,96,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,157,36,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,75,20,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,232,56,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,257,81,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,77,24,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,334,105,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,266,50,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,79,17,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,345,67,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,170,53,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,55,17,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,225,70,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,88,42,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,29,9,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,117,51,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,223,62,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,77,19,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,300,81,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,210,70,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,90,22,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,300,92,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,116,35,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,33,13,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,149,48,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,190,51,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,67,40,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,257,91,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,209,66,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,56,20,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,265,86,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,212,73,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,71,26,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,283,99,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ANTELOPE,0300002A,93,13,N,867,POLLING PLACE,177,100,51,
ANTELOPE,0300002A,93,13,N,,VBM PORTION,109,68,27,
ANTELOPE,0300002A,93,13,N,867,TOTAL,286,168,78,
ANTELOPE,0300002C,6021,23,Y,4,POLLING PLACE,,,,
ANTELOPE,0300002C,6021,23,Y,,VBM PORTION,1,,,
ANTELOPE,0300002C,6021,23,Y,4,TOTAL,1,,,
ANTELOPE,0300006B,6022,6,Y,,POLLING PLACE,,,,
ANTELOPE,0300006B,6022,6,Y,,VBM PORTION,,,,
ANTELOPE,0300006B,6022,6,Y,,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,138,35,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,89,17,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,227,52,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,108,37,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,112,20,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,220,57,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,95,44,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,81,28,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,176,72,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,207,53,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,76,24,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,283,77,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,110,49,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,115,26,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,225,75,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,141,49,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,88,24,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,229,73,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,137,54,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,124,34,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,261,88,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,90,49,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,67,41,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,157,90,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,104,48,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,90,25,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,194,73,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,117,47,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,73,35,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,190,82,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,110,38,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,62,18,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,172,56,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,116,42,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,59,19,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,175,61,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,124,26,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,53,22,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,177,48,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,137,26,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,65,23,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,202,49,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,102,48,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,35,7,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,137,55,
