LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GERRIE SCHIPSKE,TONIA REYES URANGA,JOHN ALLEN,LARRY S ANDRE,LYNN V DYMALLY,MASON B INOCENTES,
CERRITOS,1070010A,441,275,N,,VBM PORTION,124,16,8,24,8,26,8,
CERRITOS,1070010A,441,275,N,1262,TOTAL,411,43,40,107,30,69,20,
CERRITOS,1070011A,442,275,N,960,POLLING PLACE,174,14,17,36,16,24,7,
CERRITOS,1070011A,442,275,N,,VBM PORTION,119,8,10,27,4,20,10,
CERRITOS,1070011A,442,275,N,960,TOTAL,293,22,27,63,20,44,17,
CERRITOS,1070012A,443,275,N,971,POLLING PLACE,160,9,12,40,11,30,10,
CERRITOS,1070012A,443,275,N,,VBM PORTION,110,10,3,27,11,16,3,
CERRITOS,1070012A,443,275,N,971,TOTAL,270,19,15,67,22,46,13,
CERRITOS,1070013A,444,275,N,837,POLLING PLACE,227,21,24,62,14,30,7,
CERRITOS,1070013A,444,275,N,,VBM PORTION,68,8,7,18,4,7,6,
CERRITOS,1070013A,444,275,N,837,TOTAL,295,29,31,80,18,37,13,
CERRITOS,1070014A,445,275,N,834,POLLING PLACE,166,18,20,41,5,26,14,
CERRITOS,1070014A,445,275,N,,VBM PORTION,63,4,7,9,3,13,2,
CERRITOS,1070014A,445,275,N,834,TOTAL,229,22,27,50,8,39,16,
CERRITOS,1070016D,446,275,N,1203,POLLING PLACE,244,23,18,65,11,36,21,
CERRITOS,1070016D,446,275,N,,VBM PORTION,138,9,4,32,11,28,11,
CERRITOS,1070016D,446,275,N,1203,TOTAL,382,32,22,97,22,64,32,
CERRITOS,1070017A,447,275,N,1252,POLLING PLACE,241,19,12,65,23,41,16,
CERRITOS,1070017A,447,275,N,,VBM PORTION,180,7,14,44,10,30,2,
CERRITOS,1070017A,447,275,N,1252,TOTAL,421,26,26,109,33,71,18,
CERRITOS,1070018A,448,275,N,996,POLLING PLACE,185,8,16,59,14,26,13,
CERRITOS,1070018A,448,275,N,,VBM PORTION,106,3,14,17,3,20,15,
CERRITOS,1070018A,448,275,N,996,TOTAL,291,11,30,76,17,46,28,
CERRITOS,1070020A,449,275,N,1000,POLLING PLACE,215,22,30,43,13,31,7,
CERRITOS,1070020A,449,275,N,,VBM PORTION,100,5,7,25,9,12,10,
CERRITOS,1070020A,449,275,N,1000,TOTAL,315,27,37,68,22,43,17,
CERRITOS,1070021A,450,275,N,716,POLLING PLACE,130,15,22,33,5,16,9,
CERRITOS,1070021A,450,275,N,,VBM PORTION,82,6,9,11,7,19,2,
CERRITOS,1070021A,450,275,N,716,TOTAL,212,21,31,44,12,35,11,
CERRITOS,1070022A,451,275,N,1056,POLLING PLACE,168,13,18,31,13,25,14,
CERRITOS,1070022A,451,275,N,,VBM PORTION,121,6,9,35,9,19,6,
CERRITOS,1070022A,451,275,N,1056,TOTAL,289,19,27,66,22,44,20,
CERRITOS,1070023A,452,275,N,894,POLLING PLACE,167,12,13,33,14,32,12,
CERRITOS,1070023A,452,275,N,,VBM PORTION,120,5,5,32,8,15,10,
CERRITOS,1070023A,452,275,N,894,TOTAL,287,17,18,65,22,47,22,
CERRITOS,1070024A,453,275,N,728,POLLING PLACE,169,9,20,50,10,26,17,
CERRITOS,1070024A,453,275,N,,VBM PORTION,79,4,4,18,5,14,7,
CERRITOS,1070024A,453,275,N,728,TOTAL,248,13,24,68,15,40,24,
CERRITOS,1070025A,454,275,N,846,POLLING PLACE,200,20,18,49,4,32,16,
CERRITOS,1070025A,454,275,N,,VBM PORTION,87,7,5,20,3,9,3,
CERRITOS,1070025A,454,275,N,846,TOTAL,287,27,23,69,7,41,19,
CERRITOS,1070026A,455,275,N,1218,POLLING PLACE,273,17,29,58,12,71,12,
CERRITOS,1070026A,455,275,N,,VBM PORTION,145,10,8,40,6,21,10,
CERRITOS,1070026A,455,275,N,1218,TOTAL,418,27,37,98,18,92,22,
CERRITOS,1070028A,456,275,N,1083,POLLING PLACE,184,18,16,33,9,28,13,
CERRITOS,1070028A,456,275,N,,VBM PORTION,131,8,13,28,3,26,7,
CERRITOS,1070028A,456,275,N,1083,TOTAL,315,26,29,61,12,54,20,
CERRITOS,1070029A,457,275,N,932,POLLING PLACE,182,10,19,43,17,17,10,
CERRITOS,1070029A,457,275,N,,VBM PORTION,105,6,3,28,4,19,3,
CERRITOS,1070029A,457,275,N,932,TOTAL,287,16,22,71,21,36,13,
CERRITOS,1070031A,458,275,N,924,POLLING PLACE,226,20,10,55,15,29,15,
CERRITOS,1070031A,458,275,N,,VBM PORTION,98,11,3,24,3,12,4,
CERRITOS,1070031A,458,275,N,924,TOTAL,324,31,13,79,18,41,19,
CERRITOS,1070032A,459,275,N,935,POLLING PLACE,188,7,16,60,18,18,19,
CERRITOS,1070032A,459,275,N,,VBM PORTION,87,3,14,9,6,16,5,
CERRITOS,1070032A,459,275,N,935,TOTAL,275,10,30,69,24,34,24,
CERRITOS,1070036A,460,276,N,1026,POLLING PLACE,216,18,26,50,10,24,8,
CERRITOS,1070036A,460,276,N,,VBM PORTION,137,12,3,36,6,26,8,
CERRITOS,1070036A,460,276,N,1026,TOTAL,353,30,29,86,16,50,16,
CERRITOS,1070037A,461,275,N,638,POLLING PLACE,134,9,12,30,8,24,16,
CERRITOS,1070037A,461,275,N,,VBM PORTION,91,3,6,28,6,16,4,
CERRITOS,1070037A,461,275,N,638,TOTAL,225,12,18,58,14,40,20,
CERRITOS,1070040A,462,275,N,945,POLLING PLACE,167,7,21,33,10,30,12,
CERRITOS,1070040A,462,275,N,,VBM PORTION,126,13,5,28,6,29,9,
CERRITOS,1070040A,462,275,N,945,TOTAL,293,20,26,61,16,59,21,
CERRITOS,1070041A,463,278,N,1378,POLLING PLACE,287,38,23,62,15,50,18,
CERRITOS,1070041A,463,278,N,,VBM PORTION,184,11,3,40,14,49,7,
CERRITOS,1070041A,463,278,N,1378,TOTAL,471,49,26,102,29,99,25,
CERRITOS,1070048A,464,275,N,1047,POLLING PLACE,156,14,17,38,10,21,15,
CERRITOS,1070048A,464,275,N,,VBM PORTION,113,6,10,20,4,18,1,
CERRITOS,1070048A,464,275,N,1047,TOTAL,269,20,27,58,14,39,16,
CERRITOS,1070048B,6049,271,Y,36,POLLING PLACE,,,,,,,,
CERRITOS,1070048B,6049,271,Y,,VBM PORTION,6,,,,,,,
CERRITOS,1070048B,6049,271,Y,36,TOTAL,6,,,,,,,
CERRITOS,1070070B,465,273,N,397,POLLING PLACE,72,2,6,18,4,18,6,
CERRITOS,1070070B,465,273,N,,VBM PORTION,39,4,1,9,6,8,8,
CERRITOS,1070070B,465,273,N,397,TOTAL,111,6,7,27,10,26,14,
EAST COMPTON,1960006A,6068,365,Y,,POLLING PLACE,,,,,,,,
EAST COMPTON,1960006A,6068,365,Y,,VBM PORTION,,,,,,,,
EAST COMPTON,1960006A,6068,365,Y,,TOTAL,,,,,,,,
EAST COMPTON,1960030A,6069,352,Y,,POLLING PLACE,,,,,,,,
EAST COMPTON,1960030A,6069,352,Y,,VBM PORTION,,,,,,,,
EAST COMPTON,1960030A,6069,352,Y,,TOTAL,,,,,,,,
HAWAIIAN GARDENS,2650001A,1048,341,N,1132,POLLING PLACE,149,15,23,25,10,26,17,
HAWAIIAN GARDENS,2650001A,1048,341,N,,VBM PORTION,99,7,9,26,2,18,4,
HAWAIIAN GARDENS,2650001A,1048,341,N,1132,TOTAL,248,22,32,51,12,44,21,
HAWAIIAN GARDENS,2650004A,1049,341,N,1236,POLLING PLACE,174,23,31,38,3,28,13,
HAWAIIAN GARDENS,2650004A,1049,341,N,,VBM PORTION,80,6,4,17,7,16,10,
HAWAIIAN GARDENS,2650004A,1049,341,N,1236,TOTAL,254,29,35,55,10,44,23,
HAWAIIAN GARDENS,2650005A,1050,341,N,1177,POLLING PLACE,182,28,35,37,11,21,18,
HAWAIIAN GARDENS,2650005A,1050,341,N,,VBM PORTION,51,11,4,9,2,10,,
HAWAIIAN GARDENS,2650005A,1050,341,N,1177,TOTAL,233,39,39,46,13,31,18,
HAWAIIAN GARDENS,2650006A,1051,341,N,891,POLLING PLACE,99,10,24,21,2,11,9,
HAWAIIAN GARDENS,2650006A,1051,341,N,,VBM PORTION,30,,1,16,1,6,,
HAWAIIAN GARDENS,2650006A,1051,341,N,891,TOTAL,129,10,25,37,3,17,9,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,POLLING PLACE,,,,,,,,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,VBM PORTION,,,,,,,,
HAWAIIAN GARDENS,2650006B,6093,342,Y,,TOTAL,,,,,,,,
LA MIRADA,3300001A,1200,252,N,1018,POLLING PLACE,254,15,38,39,36,42,20,
LA MIRADA,3300001A,1200,252,N,,VBM PORTION,77,3,7,14,4,12,16,
LA MIRADA,3300001A,1200,252,N,1018,TOTAL,331,18,45,53,40,54,36,
LA MIRADA,3300003A,1201,252,N,1227,POLLING PLACE,280,18,30,73,41,33,31,
LA MIRADA,3300003A,1201,252,N,,VBM PORTION,102,6,15,16,13,20,10,
LA MIRADA,3300003A,1201,252,N,1227,TOTAL,382,24,45,89,54,53,41,
LA MIRADA,3300006A,1202,252,N,956,POLLING PLACE,204,11,20,43,15,37,23,
LA MIRADA,3300006A,1202,252,N,,VBM PORTION,113,6,3,19,13,30,7,
LA MIRADA,3300006A,1202,252,N,956,TOTAL,317,17,23,62,28,67,30,
LA MIRADA,3300007A,1203,252,N,1182,POLLING PLACE,297,16,34,53,26,47,52,
LA MIRADA,3300007A,1203,252,N,,VBM PORTION,102,5,2,20,8,29,10,
LA MIRADA,3300007A,1203,252,N,1182,TOTAL,399,21,36,73,34,76,62,
LA MIRADA,3300008C,1204,252,N,997,POLLING PLACE,252,19,39,40,27,33,27,
LA MIRADA,3300008C,1204,252,N,,VBM PORTION,74,3,5,16,10,17,5,
LA MIRADA,3300008C,1204,252,N,997,TOTAL,326,22,44,56,37,50,32,
LA MIRADA,3300009A,1205,252,N,677,POLLING PLACE,132,9,16,22,16,18,15,
LA MIRADA,3300009A,1205,252,N,,VBM PORTION,46,2,3,12,3,10,2,
LA MIRADA,3300009A,1205,252,N,677,TOTAL,178,11,19,34,19,28,17,
LA MIRADA,3300010A,1206,252,N,1313,POLLING PLACE,260,22,23,52,30,41,26,
LA MIRADA,3300010A,1206,252,N,,VBM PORTION,118,6,14,22,7,27,10,
LA MIRADA,3300010A,1206,252,N,1313,TOTAL,378,28,37,74,37,68,36,
LA MIRADA,3300012A,6116,257,Y,,POLLING PLACE,,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,VBM PORTION,,,,,,,,
LA MIRADA,3300012A,6116,257,Y,,TOTAL,,,,,,,,
LA MIRADA,3300014A,1207,252,N,1011,POLLING PLACE,157,10,11,29,12,24,9,
LA MIRADA,3300014A,1207,252,N,,VBM PORTION,80,6,10,18,8,14,8,
LA MIRADA,3300014A,1207,252,N,1011,TOTAL,237,16,21,47,20,38,17,
LA MIRADA,3300015A,1208,260,N,1146,POLLING PLACE,249,18,41,45,37,35,22,
LA MIRADA,3300015A,1208,260,N,,VBM PORTION,72,3,9,15,3,11,19,
LA MIRADA,3300015A,1208,260,N,1146,TOTAL,321,21,50,60,40,46,41,
LA MIRADA,3300017A,1209,260,N,1028,POLLING PLACE,243,10,30,56,34,32,26,
LA MIRADA,3300017A,1209,260,N,,VBM PORTION,125,4,6,26,16,21,11,
LA MIRADA,3300017A,1209,260,N,1028,TOTAL,368,14,36,82,50,53,37,
LA MIRADA,3300019A,1210,252,N,773,POLLING PLACE,197,12,22,27,24,41,26,
LA MIRADA,3300019A,1210,252,N,,VBM PORTION,108,1,8,28,11,13,4,
LA MIRADA,3300019A,1210,252,N,773,TOTAL,305,13,30,55,35,54,30,
LA MIRADA,3300020A,1211,252,N,860,POLLING PLACE,206,20,27,48,17,38,15,
LA MIRADA,3300020A,1211,252,N,,VBM PORTION,50,4,3,12,4,12,4,
LA MIRADA,3300020A,1211,252,N,860,TOTAL,256,24,30,60,21,50,19,
LA MIRADA,3300022A,1212,252,N,693,POLLING PLACE,126,6,18,17,9,31,17,
LA MIRADA,3300022A,1212,252,N,,VBM PORTION,72,,6,18,12,15,6,
LA MIRADA,3300022A,1212,252,N,693,TOTAL,198,6,24,35,21,46,23,
LA MIRADA,3300023A,1213,252,N,904,POLLING PLACE,186,14,19,45,20,33,15,
LA MIRADA,3300023A,1213,252,N,,VBM PORTION,65,3,5,22,5,7,8,
LA MIRADA,3300023A,1213,252,N,904,TOTAL,251,17,24,67,25,40,23,
LA MIRADA,3300025A,1214,252,N,736,POLLING PLACE,174,13,37,38,15,23,17,
LA MIRADA,3300025A,1214,252,N,,VBM PORTION,51,,8,8,10,1,3,
LA MIRADA,3300025A,1214,252,N,736,TOTAL,225,13,45,46,25,24,20,
LA MIRADA,3300025C,6117,248,Y,8,POLLING PLACE,,,,,,,,
LA MIRADA,3300025C,6117,248,Y,,VBM PORTION,2,,,,2,,,
LA MIRADA,3300025C,6117,248,Y,8,TOTAL,2,,,,2,,,
LA MIRADA,3300026A,1215,252,N,822,POLLING PLACE,177,14,19,41,22,31,14,
LA MIRADA,3300026A,1215,252,N,,VBM PORTION,74,4,,21,2,15,6,
LA MIRADA,3300026A,1215,252,N,822,TOTAL,251,18,19,62,24,46,20,
LA MIRADA,3300029A,1216,252,N,1019,POLLING PLACE,214,11,24,38,24,41,24,
LA MIRADA,3300029A,1216,252,N,,VBM PORTION,65,4,3,12,2,12,5,
LA MIRADA,3300029A,1216,252,N,1019,TOTAL,279,15,27,50,26,53,29,
LA MIRADA,3300034A,1217,252,N,1218,POLLING PLACE,211,17,24,47,26,40,16,
LA MIRADA,3300034A,1217,252,N,,VBM PORTION,102,3,7,26,15,21,9,
LA MIRADA,3300034A,1217,252,N,1218,TOTAL,313,20,31,73,41,61,25,
LA MIRADA,3300040A,1218,252,N,991,POLLING PLACE,210,12,25,52,14,36,20,
LA MIRADA,3300040A,1218,252,N,,VBM PORTION,106,2,5,23,4,17,17,
LA MIRADA,3300040A,1218,252,N,991,TOTAL,316,14,30,75,18,53,37,
LA MIRADA,3300042A,1219,252,N,1108,POLLING PLACE,213,12,28,40,26,29,24,
LA MIRADA,3300042A,1219,252,N,,VBM PORTION,86,2,15,17,15,18,7,
LA MIRADA,3300042A,1219,252,N,1108,TOTAL,299,14,43,57,41,47,31,
LA MIRADA,3300044A,1220,252,N,1164,POLLING PLACE,227,7,22,42,34,52,20,
LA MIRADA,3300044A,1220,252,N,,VBM PORTION,84,4,16,20,6,11,5,
LA MIRADA,3300044A,1220,252,N,1164,TOTAL,311,11,38,62,40,63,25,
LA MIRADA,3300045A,1221,252,N,1175,POLLING PLACE,348,22,31,74,31,48,35,
LA MIRADA,3300045A,1221,252,N,,VBM PORTION,130,7,8,30,5,28,8,
LA MIRADA,3300045A,1221,252,N,1175,TOTAL,478,29,39,104,36,76,43,
LA MIRADA,3300056A,1222,252,N,556,POLLING PLACE,162,12,7,38,9,22,17,
LA MIRADA,3300056A,1222,252,N,,VBM PORTION,121,4,4,29,2,25,12,
LA MIRADA,3300056A,1222,252,N,556,TOTAL,283,16,11,67,11,47,29,
LA MIRADA,3300070A,1223,252,N,1066,POLLING PLACE,238,10,36,38,25,44,26,
LA MIRADA,3300070A,1223,252,N,,VBM PORTION,62,1,6,10,5,11,8,
LA MIRADA,3300070A,1223,252,N,1066,TOTAL,300,11,42,48,30,55,34,
LA MIRADA,3300072A,1224,252,N,1267,POLLING PLACE,237,23,39,45,16,36,34,
LA MIRADA,3300072A,1224,252,N,,VBM PORTION,82,3,13,19,5,18,8,
LA MIRADA,3300072A,1224,252,N,1267,TOTAL,319,26,52,64,21,54,42,
LA MIRADA,3300073A,1225,252,N,1176,POLLING PLACE,211,22,31,52,19,29,20,
LA MIRADA,3300073A,1225,252,N,,VBM PORTION,63,3,6,15,6,8,6,
LA MIRADA,3300073A,1225,252,N,1176,TOTAL,274,25,37,67,25,37,26,
LAKEWOOD,3450001A,1269,346,N,826,POLLING PLACE,171,16,12,51,10,34,20,
LAKEWOOD,3450001A,1269,346,N,,VBM PORTION,38,1,,15,7,7,2,
LAKEWOOD,3450001A,1269,346,N,826,TOTAL,209,17,12,66,17,41,22,
LAKEWOOD,3450002A,1270,341,N,1042,POLLING PLACE,186,25,19,42,12,31,20,
LAKEWOOD,3450002A,1270,341,N,,VBM PORTION,74,9,5,23,5,14,2,
LAKEWOOD,3450002A,1270,341,N,1042,TOTAL,260,34,24,65,17,45,22,
LAKEWOOD,3450003A,1271,342,N,794,POLLING PLACE,194,22,21,45,14,34,20,
LAKEWOOD,3450003A,1271,342,N,,VBM PORTION,52,7,4,12,3,8,4,
LAKEWOOD,3450003A,1271,342,N,794,TOTAL,246,29,25,57,17,42,24,
LAKEWOOD,3450004A,1272,342,N,910,POLLING PLACE,187,20,17,54,16,18,12,
LAKEWOOD,3450004A,1272,342,N,,VBM PORTION,67,3,4,20,6,11,11,
LAKEWOOD,3450004A,1272,342,N,910,TOTAL,254,23,21,74,22,29,23,
LAKEWOOD,3450007A,1273,346,N,938,POLLING PLACE,204,25,16,50,15,32,18,
LAKEWOOD,3450007A,1273,346,N,,VBM PORTION,46,3,2,14,5,10,4,
LAKEWOOD,3450007A,1273,346,N,938,TOTAL,250,28,18,64,20,42,22,
LAKEWOOD,3450008A,1274,342,N,829,POLLING PLACE,172,19,11,52,10,25,14,
LAKEWOOD,3450008A,1274,342,N,,VBM PORTION,47,4,3,9,4,9,2,
LAKEWOOD,3450008A,1274,342,N,829,TOTAL,219,23,14,61,14,34,16,
LAKEWOOD,3450009A,1275,342,N,837,POLLING PLACE,164,20,13,51,18,16,14,
LAKEWOOD,3450009A,1275,342,N,,VBM PORTION,50,3,5,10,3,15,3,
LAKEWOOD,3450009A,1275,342,N,837,TOTAL,214,23,18,61,21,31,17,
LAKEWOOD,3450010A,1276,342,N,1147,POLLING PLACE,286,29,26,77,27,34,14,
LAKEWOOD,3450010A,1276,342,N,,VBM PORTION,91,7,15,31,7,18,2,
LAKEWOOD,3450010A,1276,342,N,1147,TOTAL,377,36,41,108,34,52,16,
LAKEWOOD,3450013A,1277,346,N,1014,POLLING PLACE,206,22,16,73,12,32,18,
LAKEWOOD,3450013A,1277,346,N,,VBM PORTION,87,10,2,26,3,20,9,
LAKEWOOD,3450013A,1277,346,N,1014,TOTAL,293,32,18,99,15,52,27,
LAKEWOOD,3450013B,1278,346,N,1210,POLLING PLACE,244,29,19,67,27,26,24,
LAKEWOOD,3450013B,1278,346,N,,VBM PORTION,80,12,1,24,2,11,3,
LAKEWOOD,3450013B,1278,346,N,1210,TOTAL,324,41,20,91,29,37,27,
LAKEWOOD,3450016A,1279,342,N,1092,POLLING PLACE,230,25,16,67,22,19,10,
LAKEWOOD,3450016A,1279,342,N,,VBM PORTION,75,12,5,22,5,10,4,
LAKEWOOD,3450016A,1279,342,N,1092,TOTAL,305,37,21,89,27,29,14,
LAKEWOOD,3450019A,1280,342,N,1200,POLLING PLACE,242,16,15,73,24,40,16,
LAKEWOOD,3450019A,1280,342,N,,VBM PORTION,112,16,5,27,10,27,5,
LAKEWOOD,3450019A,1280,342,N,1200,TOTAL,354,32,20,100,34,67,21,
LAKEWOOD,3450020A,1281,346,N,1064,POLLING PLACE,218,29,12,77,8,32,15,
LAKEWOOD,3450020A,1281,346,N,,VBM PORTION,82,8,3,26,9,13,7,
LAKEWOOD,3450020A,1281,346,N,1064,TOTAL,300,37,15,103,17,45,22,
LAKEWOOD,3450021A,1282,342,N,1118,POLLING PLACE,256,34,28,81,18,28,19,
LAKEWOOD,3450021A,1282,342,N,,VBM PORTION,70,2,3,16,9,12,4,
LAKEWOOD,3450021A,1282,342,N,1118,TOTAL,326,36,31,97,27,40,23,
LAKEWOOD,3450023A,1283,342,N,1220,POLLING PLACE,252,29,15,60,21,40,34,
LAKEWOOD,3450023A,1283,342,N,,VBM PORTION,82,9,2,28,5,15,8,
LAKEWOOD,3450023A,1283,342,N,1220,TOTAL,334,38,17,88,26,55,42,
LAKEWOOD,3450025B,1284,346,N,738,POLLING PLACE,90,18,10,15,3,19,8,
LAKEWOOD,3450025B,1284,346,N,,VBM PORTION,32,1,1,7,4,7,4,
LAKEWOOD,3450025B,1284,346,N,738,TOTAL,122,19,11,22,7,26,12,
LAKEWOOD,3450028A,1285,342,N,925,POLLING PLACE,221,32,22,59,6,40,14,
LAKEWOOD,3450028A,1285,342,N,,VBM PORTION,78,6,4,23,12,11,8,
LAKEWOOD,3450028A,1285,342,N,925,TOTAL,299,38,26,82,18,51,22,
LAKEWOOD,3450030A,1286,345,N,845,POLLING PLACE,180,19,19,66,11,29,12,
LAKEWOOD,3450030A,1286,345,N,,VBM PORTION,44,8,5,10,,7,3,
LAKEWOOD,3450030A,1286,345,N,845,TOTAL,224,27,24,76,11,36,15,
LAKEWOOD,3450031A,1287,345,N,1014,POLLING PLACE,219,25,16,60,11,41,20,
LAKEWOOD,3450031A,1287,345,N,,VBM PORTION,68,11,3,20,4,9,8,
LAKEWOOD,3450031A,1287,345,N,1014,TOTAL,287,36,19,80,15,50,28,
LAKEWOOD,3450032A,1288,345,N,556,POLLING PLACE,98,18,4,24,7,16,5,
LAKEWOOD,3450032A,1288,345,N,,VBM PORTION,19,4,2,7,2,2,,
LAKEWOOD,3450032A,1288,345,N,556,TOTAL,117,22,6,31,9,18,5,
LAKEWOOD,3450034A,1289,346,N,857,POLLING PLACE,175,20,21,42,13,27,13,
LAKEWOOD,3450034A,1289,346,N,,VBM PORTION,68,10,,21,7,13,1,
LAKEWOOD,3450034A,1289,346,N,857,TOTAL,243,30,21,63,20,40,14,
LAKEWOOD,3450035A,1290,346,N,879,POLLING PLACE,156,24,13,34,10,28,13,
LAKEWOOD,3450035A,1290,346,N,,VBM PORTION,51,6,3,16,3,12,1,
LAKEWOOD,3450035A,1290,346,N,879,TOTAL,207,30,16,50,13,40,14,
LAKEWOOD,3450037A,1291,346,N,967,POLLING PLACE,208,41,21,41,11,36,23,
LAKEWOOD,3450037A,1291,346,N,,VBM PORTION,80,7,5,21,8,20,8,
LAKEWOOD,3450037A,1291,346,N,967,TOTAL,288,48,26,62,19,56,31,
LAKEWOOD,3450038A,1292,346,N,932,POLLING PLACE,172,12,21,44,13,28,11,
LAKEWOOD,3450038A,1292,346,N,,VBM PORTION,63,7,3,24,2,11,2,
LAKEWOOD,3450038A,1292,346,N,932,TOTAL,235,19,24,68,15,39,13,
LAKEWOOD,3450040A,1293,357,N,761,POLLING PLACE,112,13,14,26,7,24,10,
LAKEWOOD,3450040A,1293,357,N,,VBM PORTION,56,7,8,20,4,11,,
LAKEWOOD,3450040A,1293,357,N,761,TOTAL,168,20,22,46,11,35,10,
LAKEWOOD,3450042A,1294,357,N,1173,POLLING PLACE,264,38,14,81,15,43,26,
LAKEWOOD,3450042A,1294,357,N,,VBM PORTION,63,7,3,24,7,5,2,
LAKEWOOD,3450042A,1294,357,N,1173,TOTAL,327,45,17,105,22,48,28,
LAKEWOOD,3450043A,1295,357,N,1265,POLLING PLACE,258,38,28,77,22,32,17,
LAKEWOOD,3450043A,1295,357,N,,VBM PORTION,119,14,5,33,20,11,15,
LAKEWOOD,3450043A,1295,357,N,1265,TOTAL,377,52,33,110,42,43,32,
LAKEWOOD,3450045A,1296,357,N,997,POLLING PLACE,207,38,10,59,13,26,17,
LAKEWOOD,3450045A,1296,357,N,,VBM PORTION,66,4,5,24,4,11,6,
