LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,JEROME E HORTON,G RICK MARSHALL,
AGOURA HILLS,0080001B,12,193,N,1135,POLLING PLACE,279,123,129,
AGOURA HILLS,0080001B,12,193,N,,VBM PORTION,122,56,50,
AGOURA HILLS,0080001B,12,193,N,1135,TOTAL,401,179,179,
AGOURA HILLS,0080002A,13,190,N,1051,POLLING PLACE,195,97,80,
AGOURA HILLS,0080002A,13,190,N,,VBM PORTION,93,39,45,
AGOURA HILLS,0080002A,13,190,N,1051,TOTAL,288,136,125,
AGOURA HILLS,0080012A,14,193,N,1263,POLLING PLACE,312,133,139,
AGOURA HILLS,0080012A,14,193,N,,VBM PORTION,173,64,89,
AGOURA HILLS,0080012A,14,193,N,1263,TOTAL,485,197,228,
AGOURA HILLS,0080021B,15,189,N,825,POLLING PLACE,209,104,89,
AGOURA HILLS,0080021B,15,189,N,,VBM PORTION,77,35,36,
AGOURA HILLS,0080021B,15,189,N,825,TOTAL,286,139,125,
AGOURA HILLS,0080025A,16,193,N,971,POLLING PLACE,264,126,112,
AGOURA HILLS,0080025A,16,193,N,,VBM PORTION,109,39,58,
AGOURA HILLS,0080025A,16,193,N,971,TOTAL,373,165,170,
AGOURA HILLS,0080034A,17,193,N,1031,POLLING PLACE,288,145,103,
AGOURA HILLS,0080034A,17,193,N,,VBM PORTION,126,45,66,
AGOURA HILLS,0080034A,17,193,N,1031,TOTAL,414,190,169,
AGOURA HILLS,0080038A,18,190,N,1202,POLLING PLACE,319,127,157,
AGOURA HILLS,0080038A,18,190,N,,VBM PORTION,141,63,56,
AGOURA HILLS,0080038A,18,190,N,1202,TOTAL,460,190,213,
AGOURA HILLS,0080047A,19,189,N,788,POLLING PLACE,199,89,95,
AGOURA HILLS,0080047A,19,189,N,,VBM PORTION,87,38,40,
AGOURA HILLS,0080047A,19,189,N,788,TOTAL,286,127,135,
AGOURA HILLS,0080050A,20,193,N,1192,POLLING PLACE,328,153,121,
AGOURA HILLS,0080050A,20,193,N,,VBM PORTION,141,59,69,
AGOURA HILLS,0080050A,20,193,N,1192,TOTAL,469,212,190,
AGOURA HILLS,0080052A,21,193,N,1070,POLLING PLACE,284,133,119,
AGOURA HILLS,0080052A,21,193,N,,VBM PORTION,120,50,57,
AGOURA HILLS,0080052A,21,193,N,1070,TOTAL,404,183,176,
AGOURA HILLS,0080053A,22,193,N,1438,POLLING PLACE,328,144,147,
AGOURA HILLS,0080053A,22,193,N,,VBM PORTION,172,60,84,
AGOURA HILLS,0080053A,22,193,N,1438,TOTAL,500,204,231,
AGOURA HILLS,0080070A,23,193,N,1201,POLLING PLACE,310,122,148,
AGOURA HILLS,0080070A,23,193,N,,VBM PORTION,148,53,69,
AGOURA HILLS,0080070A,23,193,N,1201,TOTAL,458,175,217,
ALHAMBRA,0150001A,27,150,N,914,POLLING PLACE,208,124,56,
ALHAMBRA,0150001A,27,150,N,,VBM PORTION,70,38,28,
ALHAMBRA,0150001A,27,150,N,914,TOTAL,278,162,84,
ALHAMBRA,0150003B,28,150,N,692,POLLING PLACE,128,81,34,
ALHAMBRA,0150003B,28,150,N,,VBM PORTION,46,27,14,
ALHAMBRA,0150003B,28,150,N,692,TOTAL,174,108,48,
ALHAMBRA,0150004A,29,150,N,1148,POLLING PLACE,245,129,96,
ALHAMBRA,0150004A,29,150,N,,VBM PORTION,105,41,49,
ALHAMBRA,0150004A,29,150,N,1148,TOTAL,350,170,145,
ALHAMBRA,0150005D,6016,149,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005D,6016,149,Y,,VBM PORTION,,,,
ALHAMBRA,0150005D,6016,149,Y,,TOTAL,,,,
ALHAMBRA,0150005E,6017,153,Y,,POLLING PLACE,,,,
ALHAMBRA,0150005E,6017,153,Y,,VBM PORTION,,,,
ALHAMBRA,0150005E,6017,153,Y,,TOTAL,,,,
ALHAMBRA,0150007A,30,150,N,1201,POLLING PLACE,190,103,64,
ALHAMBRA,0150007A,30,150,N,,VBM PORTION,64,38,17,
ALHAMBRA,0150007A,30,150,N,1201,TOTAL,254,141,81,
ALHAMBRA,0150008A,31,150,N,1120,POLLING PLACE,180,111,51,
ALHAMBRA,0150008A,31,150,N,,VBM PORTION,62,31,14,
ALHAMBRA,0150008A,31,150,N,1120,TOTAL,242,142,65,
ALHAMBRA,0150011A,32,149,N,1247,POLLING PLACE,279,173,65,
ALHAMBRA,0150011A,32,149,N,,VBM PORTION,113,75,25,
ALHAMBRA,0150011A,32,149,N,1247,TOTAL,392,248,90,
ALHAMBRA,0150012A,33,150,N,1049,POLLING PLACE,164,119,35,
ALHAMBRA,0150012A,33,150,N,,VBM PORTION,75,30,24,
ALHAMBRA,0150012A,33,150,N,1049,TOTAL,239,149,59,
ALHAMBRA,0150014A,34,150,N,1027,POLLING PLACE,148,83,48,
ALHAMBRA,0150014A,34,150,N,,VBM PORTION,57,31,9,
ALHAMBRA,0150014A,34,150,N,1027,TOTAL,205,114,57,
ALHAMBRA,0150015A,35,150,N,883,POLLING PLACE,210,112,73,
ALHAMBRA,0150015A,35,150,N,,VBM PORTION,76,31,32,
ALHAMBRA,0150015A,35,150,N,883,TOTAL,286,143,105,
ALHAMBRA,0150016F,36,150,N,823,POLLING PLACE,176,81,77,
ALHAMBRA,0150016F,36,150,N,,VBM PORTION,73,28,32,
ALHAMBRA,0150016F,36,150,N,823,TOTAL,249,109,109,
ALHAMBRA,0150018A,37,150,N,832,POLLING PLACE,182,119,46,
ALHAMBRA,0150018A,37,150,N,,VBM PORTION,47,31,14,
ALHAMBRA,0150018A,37,150,N,832,TOTAL,229,150,60,
ALHAMBRA,0150021A,38,149,N,966,POLLING PLACE,168,86,57,
ALHAMBRA,0150021A,38,149,N,,VBM PORTION,117,60,42,
ALHAMBRA,0150021A,38,149,N,966,TOTAL,285,146,99,
ALHAMBRA,0150022A,39,150,N,859,POLLING PLACE,211,130,52,
ALHAMBRA,0150022A,39,150,N,,VBM PORTION,60,31,22,
ALHAMBRA,0150022A,39,150,N,859,TOTAL,271,161,74,
ALHAMBRA,0150023A,40,150,N,1103,POLLING PLACE,221,149,48,
ALHAMBRA,0150023A,40,150,N,,VBM PORTION,75,43,24,
ALHAMBRA,0150023A,40,150,N,1103,TOTAL,296,192,72,
ALHAMBRA,0150024A,41,150,N,660,POLLING PLACE,82,44,27,
ALHAMBRA,0150024A,41,150,N,,VBM PORTION,35,16,14,
ALHAMBRA,0150024A,41,150,N,660,TOTAL,117,60,41,
ALHAMBRA,0150025A,42,150,N,863,POLLING PLACE,122,73,34,
ALHAMBRA,0150025A,42,150,N,,VBM PORTION,71,32,22,
ALHAMBRA,0150025A,42,150,N,863,TOTAL,193,105,56,
ALHAMBRA,0150030A,43,150,N,1171,POLLING PLACE,158,102,37,
ALHAMBRA,0150030A,43,150,N,,VBM PORTION,74,34,24,
ALHAMBRA,0150030A,43,150,N,1171,TOTAL,232,136,61,
ALHAMBRA,0150032A,44,150,N,1134,POLLING PLACE,216,116,64,
ALHAMBRA,0150032A,44,150,N,,VBM PORTION,89,56,22,
ALHAMBRA,0150032A,44,150,N,1134,TOTAL,305,172,86,
ALHAMBRA,0150032B,6018,154,Y,9,POLLING PLACE,,,,
ALHAMBRA,0150032B,6018,154,Y,,VBM PORTION,3,3,,
ALHAMBRA,0150032B,6018,154,Y,9,TOTAL,3,3,,
ALHAMBRA,0150033A,45,150,N,780,POLLING PLACE,139,84,39,
ALHAMBRA,0150033A,45,150,N,,VBM PORTION,23,9,9,
ALHAMBRA,0150033A,45,150,N,780,TOTAL,162,93,48,
ALHAMBRA,0150037A,46,149,N,1026,POLLING PLACE,207,130,58,
ALHAMBRA,0150037A,46,149,N,,VBM PORTION,78,45,17,
ALHAMBRA,0150037A,46,149,N,1026,TOTAL,285,175,75,
ALHAMBRA,0150039A,47,150,N,1235,POLLING PLACE,129,84,27,
ALHAMBRA,0150039A,47,150,N,,VBM PORTION,86,43,22,
ALHAMBRA,0150039A,47,150,N,1235,TOTAL,215,127,49,
ALHAMBRA,0150041A,48,150,N,565,POLLING PLACE,116,66,36,
ALHAMBRA,0150041A,48,150,N,,VBM PORTION,37,21,9,
ALHAMBRA,0150041A,48,150,N,565,TOTAL,153,87,45,
ALHAMBRA,0150041B,49,149,N,651,POLLING PLACE,122,68,43,
ALHAMBRA,0150041B,49,149,N,,VBM PORTION,61,32,19,
ALHAMBRA,0150041B,49,149,N,651,TOTAL,183,100,62,
ALHAMBRA,0150042A,50,149,N,733,POLLING PLACE,129,71,42,
ALHAMBRA,0150042A,50,149,N,,VBM PORTION,66,37,24,
ALHAMBRA,0150042A,50,149,N,733,TOTAL,195,108,66,
ALHAMBRA,0150044D,51,149,N,664,POLLING PLACE,72,47,18,
ALHAMBRA,0150044D,51,149,N,,VBM PORTION,29,14,12,
ALHAMBRA,0150044D,51,149,N,664,TOTAL,101,61,30,
ALHAMBRA,0150045A,52,149,N,708,POLLING PLACE,96,51,40,
ALHAMBRA,0150045A,52,149,N,,VBM PORTION,49,23,21,
ALHAMBRA,0150045A,52,149,N,708,TOTAL,145,74,61,
ALHAMBRA,0150049A,53,150,N,1142,POLLING PLACE,183,96,55,
ALHAMBRA,0150049A,53,150,N,,VBM PORTION,110,57,27,
ALHAMBRA,0150049A,53,150,N,1142,TOTAL,293,153,82,
ALHAMBRA,0150051A,54,149,N,1129,POLLING PLACE,157,88,40,
ALHAMBRA,0150051A,54,149,N,,VBM PORTION,87,42,31,
ALHAMBRA,0150051A,54,149,N,1129,TOTAL,244,130,71,
ALHAMBRA,0150055A,55,149,N,893,POLLING PLACE,192,110,48,
ALHAMBRA,0150055A,55,149,N,,VBM PORTION,55,25,22,
ALHAMBRA,0150055A,55,149,N,893,TOTAL,247,135,70,
ALHAMBRA,0150056A,56,149,N,1076,POLLING PLACE,180,99,58,
ALHAMBRA,0150056A,56,149,N,,VBM PORTION,41,21,17,
ALHAMBRA,0150056A,56,149,N,1076,TOTAL,221,120,75,
ALHAMBRA,0150059B,57,149,N,951,POLLING PLACE,136,84,40,
ALHAMBRA,0150059B,57,149,N,,VBM PORTION,52,20,9,
ALHAMBRA,0150059B,57,149,N,951,TOTAL,188,104,49,
ALHAMBRA,0150063A,58,149,N,555,POLLING PLACE,68,36,20,
ALHAMBRA,0150063A,58,149,N,,VBM PORTION,40,17,10,
ALHAMBRA,0150063A,58,149,N,555,TOTAL,108,53,30,
ALHAMBRA,0150064A,59,149,N,1169,POLLING PLACE,248,165,58,
ALHAMBRA,0150064A,59,149,N,,VBM PORTION,47,25,13,
ALHAMBRA,0150064A,59,149,N,1169,TOTAL,295,190,71,
ALHAMBRA,0150067A,60,149,N,917,POLLING PLACE,179,94,52,
ALHAMBRA,0150067A,60,149,N,,VBM PORTION,83,37,36,
ALHAMBRA,0150067A,60,149,N,917,TOTAL,262,131,88,
ALHAMBRA,0150075A,61,149,N,1080,POLLING PLACE,243,121,92,
ALHAMBRA,0150075A,61,149,N,,VBM PORTION,85,35,36,
ALHAMBRA,0150075A,61,149,N,1080,TOTAL,328,156,128,
ALHAMBRA,0150079A,62,150,N,906,POLLING PLACE,110,50,46,
ALHAMBRA,0150079A,62,150,N,,VBM PORTION,148,43,81,
ALHAMBRA,0150079A,62,150,N,906,TOTAL,258,93,127,
ALHAMBRA,0150080A,63,150,N,784,POLLING PLACE,160,71,65,
ALHAMBRA,0150080A,63,150,N,,VBM PORTION,82,31,33,
ALHAMBRA,0150080A,63,150,N,784,TOTAL,242,102,98,
ALONDRA PARK,0180001A,64,336,N,905,POLLING PLACE,79,56,20,
ALONDRA PARK,0180001A,64,336,N,,VBM PORTION,43,23,18,
ALONDRA PARK,0180001A,64,336,N,905,TOTAL,122,79,38,
ALTADENA,0200001A,65,81,N,485,POLLING PLACE,155,113,25,
ALTADENA,0200001A,65,81,N,,VBM PORTION,41,29,6,
ALTADENA,0200001A,65,81,N,485,TOTAL,196,142,31,
ALTADENA,0200002A,66,81,N,665,POLLING PLACE,180,107,54,
ALTADENA,0200002A,66,81,N,,VBM PORTION,97,47,45,
ALTADENA,0200002A,66,81,N,665,TOTAL,277,154,99,
ALTADENA,0200003A,67,81,N,836,POLLING PLACE,249,189,48,
ALTADENA,0200003A,67,81,N,,VBM PORTION,58,50,6,
ALTADENA,0200003A,67,81,N,836,TOTAL,307,239,54,
ALTADENA,0200004A,68,82,N,1151,POLLING PLACE,334,190,121,
ALTADENA,0200004A,68,82,N,,VBM PORTION,162,78,63,
ALTADENA,0200004A,68,82,N,1151,TOTAL,496,268,184,
ALTADENA,0200007A,69,82,N,1053,POLLING PLACE,215,129,71,
ALTADENA,0200007A,69,82,N,,VBM PORTION,127,69,41,
ALTADENA,0200007A,69,82,N,1053,TOTAL,342,198,112,
ALTADENA,0200008A,70,81,N,832,POLLING PLACE,199,160,22,
ALTADENA,0200008A,70,81,N,,VBM PORTION,65,51,6,
ALTADENA,0200008A,70,81,N,832,TOTAL,264,211,28,
ALTADENA,0200009A,71,81,N,919,POLLING PLACE,208,153,27,
ALTADENA,0200009A,71,81,N,,VBM PORTION,71,53,10,
ALTADENA,0200009A,71,81,N,919,TOTAL,279,206,37,
ALTADENA,0200011A,72,81,N,837,POLLING PLACE,209,159,25,
ALTADENA,0200011A,72,81,N,,VBM PORTION,88,64,15,
ALTADENA,0200011A,72,81,N,837,TOTAL,297,223,40,
ALTADENA,0200012A,73,82,N,787,POLLING PLACE,191,125,53,
ALTADENA,0200012A,73,82,N,,VBM PORTION,89,57,24,
ALTADENA,0200012A,73,82,N,787,TOTAL,280,182,77,
ALTADENA,0200013A,74,81,N,890,POLLING PLACE,174,133,23,
ALTADENA,0200013A,74,81,N,,VBM PORTION,60,44,12,
ALTADENA,0200013A,74,81,N,890,TOTAL,234,177,35,
ALTADENA,0200015A,75,81,N,1338,POLLING PLACE,265,189,45,
ALTADENA,0200015A,75,81,N,,VBM PORTION,108,74,18,
ALTADENA,0200015A,75,81,N,1338,TOTAL,373,263,63,
ALTADENA,0200017A,76,81,N,962,POLLING PLACE,182,145,22,
ALTADENA,0200017A,76,81,N,,VBM PORTION,46,33,5,
ALTADENA,0200017A,76,81,N,962,TOTAL,228,178,27,
ALTADENA,0200018A,77,81,N,816,POLLING PLACE,140,113,13,
ALTADENA,0200018A,77,81,N,,VBM PORTION,41,29,6,
ALTADENA,0200018A,77,81,N,816,TOTAL,181,142,19,
ALTADENA,0200019B,78,81,N,832,POLLING PLACE,180,137,36,
ALTADENA,0200019B,78,81,N,,VBM PORTION,31,23,6,
ALTADENA,0200019B,78,81,N,832,TOTAL,211,160,42,
ALTADENA,0200022A,79,82,N,841,POLLING PLACE,270,142,97,
ALTADENA,0200022A,79,82,N,,VBM PORTION,123,67,45,
ALTADENA,0200022A,79,82,N,841,TOTAL,393,209,142,
ALTADENA,0200025B,80,82,N,869,POLLING PLACE,238,180,39,
ALTADENA,0200025B,80,82,N,,VBM PORTION,52,44,6,
ALTADENA,0200025B,80,82,N,869,TOTAL,290,224,45,
ALTADENA,0200028A,81,81,N,1247,POLLING PLACE,402,268,98,
ALTADENA,0200028A,81,81,N,,VBM PORTION,187,113,52,
ALTADENA,0200028A,81,81,N,1247,TOTAL,589,381,150,
ALTADENA,0200030A,82,82,N,850,POLLING PLACE,227,135,76,
ALTADENA,0200030A,82,82,N,,VBM PORTION,125,65,44,
ALTADENA,0200030A,82,82,N,850,TOTAL,352,200,120,
ALTADENA,0200031A,6019,101,Y,2,POLLING PLACE,,,,
ALTADENA,0200031A,6019,101,Y,,VBM PORTION,,,,
ALTADENA,0200031A,6019,101,Y,2,TOTAL,,,,
ALTADENA,0200032A,83,81,N,1326,POLLING PLACE,408,262,109,
ALTADENA,0200032A,83,81,N,,VBM PORTION,129,72,44,
ALTADENA,0200032A,83,81,N,1326,TOTAL,537,334,153,
ALTADENA,0200038B,84,82,N,1152,POLLING PLACE,382,208,134,
ALTADENA,0200038B,84,82,N,,VBM PORTION,140,75,52,
ALTADENA,0200038B,84,82,N,1152,TOTAL,522,283,186,
ALTADENA,0200039A,85,82,N,1075,POLLING PLACE,282,151,110,
ALTADENA,0200039A,85,82,N,,VBM PORTION,99,50,39,
ALTADENA,0200039A,85,82,N,1075,TOTAL,381,201,149,
ALTADENA,0200044A,86,82,N,948,POLLING PLACE,157,80,60,
ALTADENA,0200044A,86,82,N,,VBM PORTION,50,23,19,
ALTADENA,0200044A,86,82,N,948,TOTAL,207,103,79,
ALTADENA,0200051A,87,82,N,1174,POLLING PLACE,341,232,73,
ALTADENA,0200051A,87,82,N,,VBM PORTION,129,80,36,
ALTADENA,0200051A,87,82,N,1174,TOTAL,470,312,109,
ALTADENA,0200086A,88,81,N,1156,POLLING PLACE,339,249,58,
ALTADENA,0200086A,88,81,N,,VBM PORTION,145,100,28,
ALTADENA,0200086A,88,81,N,1156,TOTAL,484,349,86,
ALTADENA,0200087A,89,81,N,659,POLLING PLACE,190,142,32,
ALTADENA,0200087A,89,81,N,,VBM PORTION,65,40,13,
ALTADENA,0200087A,89,81,N,659,TOTAL,255,182,45,
ALTADENA,0200088B,90,81,N,1321,POLLING PLACE,315,238,53,
ALTADENA,0200088B,90,81,N,,VBM PORTION,150,110,25,
ALTADENA,0200088B,90,81,N,1321,TOTAL,465,348,78,
ALTADENA,0200090A,91,81,N,1085,POLLING PLACE,333,231,71,
ALTADENA,0200090A,91,81,N,,VBM PORTION,101,70,22,
ALTADENA,0200090A,91,81,N,1085,TOTAL,434,301,93,
ALTADENA,0200091A,92,81,N,1241,POLLING PLACE,372,283,54,
ALTADENA,0200091A,92,81,N,,VBM PORTION,121,88,22,
ALTADENA,0200091A,92,81,N,1241,TOTAL,493,371,76,
ALTADENA,0200094B,6020,85,Y,2,POLLING PLACE,,,,
ALTADENA,0200094B,6020,85,Y,,VBM PORTION,,,,
ALTADENA,0200094B,6020,85,Y,2,TOTAL,,,,
ARCADIA,0350001A,94,162,N,940,POLLING PLACE,219,81,116,
ARCADIA,0350001A,94,162,N,,VBM PORTION,135,42,80,
ARCADIA,0350001A,94,162,N,940,TOTAL,354,123,196,
ARCADIA,0350005A,95,162,N,1158,POLLING PLACE,178,63,96,
ARCADIA,0350005A,95,162,N,,VBM PORTION,175,41,97,
ARCADIA,0350005A,95,162,N,1158,TOTAL,353,104,193,
ARCADIA,0350007A,96,162,N,1073,POLLING PLACE,183,72,97,
ARCADIA,0350007A,96,162,N,,VBM PORTION,143,34,92,
ARCADIA,0350007A,96,162,N,1073,TOTAL,326,106,189,
ARCADIA,0350008A,97,162,N,1175,POLLING PLACE,311,109,171,
ARCADIA,0350008A,97,162,N,,VBM PORTION,148,46,74,
ARCADIA,0350008A,97,162,N,1175,TOTAL,459,155,245,
ARCADIA,0350009A,98,162,N,1364,POLLING PLACE,207,80,106,
ARCADIA,0350009A,98,162,N,,VBM PORTION,197,73,98,
ARCADIA,0350009A,98,162,N,1364,TOTAL,404,153,204,
ARCADIA,0350013A,99,162,N,1154,POLLING PLACE,231,85,125,
ARCADIA,0350013A,99,162,N,,VBM PORTION,132,36,84,
ARCADIA,0350013A,99,162,N,1154,TOTAL,363,121,209,
ARCADIA,0350018A,100,162,N,1295,POLLING PLACE,230,54,139,
ARCADIA,0350018A,100,162,N,,VBM PORTION,214,43,138,
ARCADIA,0350018A,100,162,N,1295,TOTAL,444,97,277,
ARCADIA,0350023A,101,162,N,1298,POLLING PLACE,182,75,90,
ARCADIA,0350023A,101,162,N,,VBM PORTION,137,57,64,
ARCADIA,0350023A,101,162,N,1298,TOTAL,319,132,154,
ARCADIA,0350024A,102,162,N,1324,POLLING PLACE,189,85,80,
ARCADIA,0350024A,102,162,N,,VBM PORTION,143,68,65,
ARCADIA,0350024A,102,162,N,1324,TOTAL,332,153,145,
ARCADIA,0350029B,103,162,N,1275,POLLING PLACE,210,65,124,
ARCADIA,0350029B,103,162,N,,VBM PORTION,145,29,94,
ARCADIA,0350029B,103,162,N,1275,TOTAL,355,94,218,
ARCADIA,0350030A,104,162,N,1214,POLLING PLACE,176,81,82,
ARCADIA,0350030A,104,162,N,,VBM PORTION,111,38,58,
ARCADIA,0350030A,104,162,N,1214,TOTAL,287,119,140,
ARCADIA,0350035A,105,162,N,1024,POLLING PLACE,200,53,106,
ARCADIA,0350035A,105,162,N,,VBM PORTION,115,35,64,
ARCADIA,0350035A,105,162,N,1024,TOTAL,315,88,170,
ARCADIA,0350037A,106,162,N,1139,POLLING PLACE,180,56,113,
ARCADIA,0350037A,106,162,N,,VBM PORTION,107,38,52,
ARCADIA,0350037A,106,162,N,1139,TOTAL,287,94,165,
ARCADIA,0350038A,107,162,N,1162,POLLING PLACE,214,64,107,
ARCADIA,0350038A,107,162,N,,VBM PORTION,114,31,60,
ARCADIA,0350038A,107,162,N,1162,TOTAL,328,95,167,
ARCADIA,0350042A,108,162,N,1142,POLLING PLACE,171,81,77,
ARCADIA,0350042A,108,162,N,,VBM PORTION,60,28,25,
ARCADIA,0350042A,108,162,N,1142,TOTAL,231,109,102,
ARCADIA,0350043C,109,162,N,1085,POLLING PLACE,150,70,58,
ARCADIA,0350043C,109,162,N,,VBM PORTION,85,38,35,
ARCADIA,0350043C,109,162,N,1085,TOTAL,235,108,93,
ARCADIA,0350045B,110,162,N,1254,POLLING PLACE,155,52,70,
ARCADIA,0350045B,110,162,N,,VBM PORTION,129,43,75,
ARCADIA,0350045B,110,162,N,1254,TOTAL,284,95,145,
ARCADIA,0350048A,111,162,N,1007,POLLING PLACE,183,56,96,
ARCADIA,0350048A,111,162,N,,VBM PORTION,77,25,37,
ARCADIA,0350048A,111,162,N,1007,TOTAL,260,81,133,
ARCADIA,0350054A,112,162,N,1197,POLLING PLACE,240,93,108,
ARCADIA,0350054A,112,162,N,,VBM PORTION,120,36,59,
ARCADIA,0350054A,112,162,N,1197,TOTAL,360,129,167,
ARCADIA,0350058A,113,162,N,1193,POLLING PLACE,191,69,107,
ARCADIA,0350058A,113,162,N,,VBM PORTION,107,34,51,
ARCADIA,0350058A,113,162,N,1193,TOTAL,298,103,158,
ARCADIA,0350058B,6023,157,Y,47,POLLING PLACE,,,,
ARCADIA,0350058B,6023,157,Y,,VBM PORTION,8,2,5,
ARCADIA,0350058B,6023,157,Y,47,TOTAL,8,2,5,
ARCADIA,0350062B,114,162,N,1129,POLLING PLACE,192,68,100,
ARCADIA,0350062B,114,162,N,,VBM PORTION,110,36,51,
ARCADIA,0350062B,114,162,N,1129,TOTAL,302,104,151,
ARCADIA,0350079A,115,162,N,1174,POLLING PLACE,181,76,88,
ARCADIA,0350079A,115,162,N,,VBM PORTION,115,43,54,
ARCADIA,0350079A,115,162,N,1174,TOTAL,296,119,142,
ARCADIA,0350101A,6024,158,Y,6,POLLING PLACE,,,,
ARCADIA,0350101A,6024,158,Y,,VBM PORTION,1,,1,
ARCADIA,0350101A,6024,158,Y,6,TOTAL,1,,1,
ARCADIA,0350104A,116,162,N,1235,POLLING PLACE,218,90,109,
ARCADIA,0350104A,116,162,N,,VBM PORTION,120,38,60,
ARCADIA,0350104A,116,162,N,1235,TOTAL,338,128,169,
ARTESIA,0400001A,117,277,N,779,POLLING PLACE,162,116,21,
ARTESIA,0400001A,117,277,N,,VBM PORTION,23,17,6,
ARTESIA,0400001A,117,277,N,779,TOTAL,185,133,27,
ARTESIA,0400002A,118,274,N,1116,POLLING PLACE,180,71,86,
ARTESIA,0400002A,118,274,N,,VBM PORTION,137,52,62,
ARTESIA,0400002A,118,274,N,1116,TOTAL,317,123,148,
ARTESIA,0400004A,119,274,N,911,POLLING PLACE,202,84,70,
ARTESIA,0400004A,119,274,N,,VBM PORTION,69,31,29,
ARTESIA,0400004A,119,274,N,911,TOTAL,271,115,99,
ARTESIA,0400006A,120,274,N,988,POLLING PLACE,188,97,60,
ARTESIA,0400006A,120,274,N,,VBM PORTION,63,27,23,
ARTESIA,0400006A,120,274,N,988,TOTAL,251,124,83,
ARTESIA,0400007A,121,274,N,993,POLLING PLACE,188,90,71,
ARTESIA,0400007A,121,274,N,,VBM PORTION,87,42,37,
ARTESIA,0400007A,121,274,N,993,TOTAL,275,132,108,
ARTESIA,0400008A,122,274,N,1005,POLLING PLACE,173,83,70,
ARTESIA,0400008A,122,274,N,,VBM PORTION,95,43,29,
ARTESIA,0400008A,122,274,N,1005,TOTAL,268,126,99,
ARTESIA,0400010C,123,274,N,1027,POLLING PLACE,139,60,58,
ARTESIA,0400010C,123,274,N,,VBM PORTION,109,34,63,
ARTESIA,0400010C,123,274,N,1027,TOTAL,248,94,121,
ATHENS,0450001A,124,371,N,1168,POLLING PLACE,179,149,15,
ATHENS,0450001A,124,371,N,,VBM PORTION,44,38,3,
ATHENS,0450001A,124,371,N,1168,TOTAL,223,187,18,
ATHENS,0450002B,125,371,N,1203,POLLING PLACE,248,207,22,
ATHENS,0450002B,125,371,N,,VBM PORTION,39,30,5,
ATHENS,0450002B,125,371,N,1203,TOTAL,287,237,27,
ATHENS,0450004A,126,366,N,1286,POLLING PLACE,177,149,7,
ATHENS,0450004A,126,366,N,,VBM PORTION,73,61,3,
ATHENS,0450004A,126,366,N,1286,TOTAL,250,210,10,
ATHENS,0450007A,127,371,N,996,POLLING PLACE,208,173,8,
ATHENS,0450007A,127,371,N,,VBM PORTION,61,52,6,
ATHENS,0450007A,127,371,N,996,TOTAL,269,225,14,
ATHENS,0450008A,128,371,N,582,POLLING PLACE,151,127,12,
ATHENS,0450008A,128,371,N,,VBM PORTION,37,33,,
