LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CARL E SOUTHWELL,MONICA D COOPER,ANTHONY M MISETICH,MICHAEL MITOMA,HAROLD WILLIAMS,
CARSON,1030016A,375,373,N,1144,TOTAL,226,29,26,29,58,65,
CARSON,1030020A,376,373,N,1187,POLLING PLACE,210,20,23,21,32,74,
CARSON,1030020A,376,373,N,,VBM PORTION,84,4,12,1,20,30,
CARSON,1030020A,376,373,N,1187,TOTAL,294,24,35,22,52,104,
CARSON,1030022B,377,373,N,698,POLLING PLACE,98,5,13,5,22,38,
CARSON,1030022B,377,373,N,,VBM PORTION,76,8,6,9,10,29,
CARSON,1030022B,377,373,N,698,TOTAL,174,13,19,14,32,67,
CARSON,1030024A,378,373,N,935,POLLING PLACE,139,16,24,14,28,43,
CARSON,1030024A,378,373,N,,VBM PORTION,82,11,7,9,17,27,
CARSON,1030024A,378,373,N,935,TOTAL,221,27,31,23,45,70,
CARSON,1030025B,379,373,N,1238,POLLING PLACE,187,23,21,15,41,60,
CARSON,1030025B,379,373,N,,VBM PORTION,91,19,5,11,13,27,
CARSON,1030025B,379,373,N,1238,TOTAL,278,42,26,26,54,87,
CARSON,1030027A,380,373,N,855,POLLING PLACE,110,18,21,10,18,30,
CARSON,1030027A,380,373,N,,VBM PORTION,45,6,5,1,9,14,
CARSON,1030027A,380,373,N,855,TOTAL,155,24,26,11,27,44,
CARSON,1030028A,381,373,N,1128,POLLING PLACE,176,22,21,16,37,60,
CARSON,1030028A,381,373,N,,VBM PORTION,92,17,5,5,10,39,
CARSON,1030028A,381,373,N,1128,TOTAL,268,39,26,21,47,99,
CARSON,1030029A,382,373,N,1220,POLLING PLACE,256,20,31,18,61,83,
CARSON,1030029A,382,373,N,,VBM PORTION,105,15,4,12,24,33,
CARSON,1030029A,382,373,N,1220,TOTAL,361,35,35,30,85,116,
CARSON,1030031A,383,373,N,1105,POLLING PLACE,138,15,25,12,29,43,
CARSON,1030031A,383,373,N,,VBM PORTION,84,3,,12,23,26,
CARSON,1030031A,383,373,N,1105,TOTAL,222,18,25,24,52,69,
CARSON,1030032A,384,373,N,909,POLLING PLACE,171,32,19,18,23,54,
CARSON,1030032A,384,373,N,,VBM PORTION,55,2,4,7,3,28,
CARSON,1030032A,384,373,N,909,TOTAL,226,34,23,25,26,82,
CARSON,1030036A,385,373,N,1085,POLLING PLACE,148,8,19,10,39,52,
CARSON,1030036A,385,373,N,,VBM PORTION,81,4,6,8,24,17,
CARSON,1030036A,385,373,N,1085,TOTAL,229,12,25,18,63,69,
CARSON,1030036C,386,373,N,868,POLLING PLACE,164,11,24,15,43,56,
CARSON,1030036C,386,373,N,,VBM PORTION,29,1,2,6,12,4,
CARSON,1030036C,386,373,N,868,TOTAL,193,12,26,21,55,60,
CARSON,1030037A,387,373,N,999,POLLING PLACE,182,13,22,16,39,56,
CARSON,1030037A,387,373,N,,VBM PORTION,59,2,3,4,21,19,
CARSON,1030037A,387,373,N,999,TOTAL,241,15,25,20,60,75,
CARSON,1030038A,388,373,N,930,POLLING PLACE,141,10,17,14,24,57,
CARSON,1030038A,388,373,N,,VBM PORTION,41,2,8,3,9,14,
CARSON,1030038A,388,373,N,930,TOTAL,182,12,25,17,33,71,
CARSON,1030038B,389,373,N,888,POLLING PLACE,142,17,17,18,31,37,
CARSON,1030038B,389,373,N,,VBM PORTION,52,10,3,7,14,8,
CARSON,1030038B,389,373,N,888,TOTAL,194,27,20,25,45,45,
CARSON,1030040A,390,373,N,1104,POLLING PLACE,140,10,17,14,29,44,
CARSON,1030040A,390,373,N,,VBM PORTION,43,6,3,7,9,12,
CARSON,1030040A,390,373,N,1104,TOTAL,183,16,20,21,38,56,
CARSON,1030042B,391,373,N,1012,POLLING PLACE,151,16,25,17,24,51,
CARSON,1030042B,391,373,N,,VBM PORTION,76,3,6,5,13,32,
CARSON,1030042B,391,373,N,1012,TOTAL,227,19,31,22,37,83,
CARSON,1030043A,392,373,N,879,POLLING PLACE,141,10,13,29,30,33,
CARSON,1030043A,392,373,N,,VBM PORTION,31,3,2,5,6,5,
CARSON,1030043A,392,373,N,879,TOTAL,172,13,15,34,36,38,
CARSON,1030044A,393,373,N,711,POLLING PLACE,103,10,15,9,29,24,
CARSON,1030044A,393,373,N,,VBM PORTION,67,3,4,5,20,14,
CARSON,1030044A,393,373,N,711,TOTAL,170,13,19,14,49,38,
CARSON,1030045A,394,373,N,979,POLLING PLACE,133,11,32,10,22,40,
CARSON,1030045A,394,373,N,,VBM PORTION,20,2,3,3,3,5,
CARSON,1030045A,394,373,N,979,TOTAL,153,13,35,13,25,45,
CARSON,1030046A,395,373,N,651,POLLING PLACE,67,4,8,7,7,28,
CARSON,1030046A,395,373,N,,VBM PORTION,47,2,5,4,12,14,
CARSON,1030046A,395,373,N,651,TOTAL,114,6,13,11,19,42,
CARSON,1030048A,396,373,N,965,POLLING PLACE,142,15,19,9,24,53,
CARSON,1030048A,396,373,N,,VBM PORTION,47,6,2,3,15,12,
CARSON,1030048A,396,373,N,965,TOTAL,189,21,21,12,39,65,
CARSON,1030049A,397,373,N,856,POLLING PLACE,116,8,19,11,29,35,
CARSON,1030049A,397,373,N,,VBM PORTION,47,10,2,4,11,17,
CARSON,1030049A,397,373,N,856,TOTAL,163,18,21,15,40,52,
CARSON,1030053A,398,373,N,1079,POLLING PLACE,275,11,47,13,16,165,
CARSON,1030053A,398,373,N,,VBM PORTION,102,4,13,3,13,62,
CARSON,1030053A,398,373,N,1079,TOTAL,377,15,60,16,29,227,
CARSON,1030053B,399,373,N,1060,POLLING PLACE,288,5,44,11,15,185,
CARSON,1030053B,399,373,N,,VBM PORTION,88,7,6,3,4,46,
CARSON,1030053B,399,373,N,1060,TOTAL,376,12,50,14,19,231,
CARSON,1030060A,400,373,N,888,POLLING PLACE,235,13,19,11,8,170,
CARSON,1030060A,400,373,N,,VBM PORTION,87,4,8,9,4,50,
CARSON,1030060A,400,373,N,888,TOTAL,322,17,27,20,12,220,
CARSON,1030067B,401,373,N,711,POLLING PLACE,251,16,39,12,14,146,
CARSON,1030067B,401,373,N,,VBM PORTION,41,6,3,3,3,15,
CARSON,1030067B,401,373,N,711,TOTAL,292,22,42,15,17,161,
CARSON,1030081A,402,373,N,814,POLLING PLACE,84,6,9,9,9,43,
CARSON,1030081A,402,373,N,,VBM PORTION,62,4,8,12,10,18,
CARSON,1030081A,402,373,N,814,TOTAL,146,10,17,21,19,61,
CARSON,1030102A,405,373,N,937,POLLING PLACE,246,6,21,7,22,166,
CARSON,1030102A,405,373,N,,VBM PORTION,47,3,3,,7,23,
CARSON,1030102A,405,373,N,937,TOTAL,293,9,24,7,29,189,
CARSON,1030103A,406,373,N,1049,POLLING PLACE,297,18,51,8,9,185,
CARSON,1030103A,406,373,N,,VBM PORTION,96,5,13,5,1,46,
CARSON,1030103A,406,373,N,1049,TOTAL,393,23,64,13,10,231,
CARSON,1030105A,407,373,N,1075,POLLING PLACE,319,12,53,7,12,202,
CARSON,1030105A,407,373,N,,VBM PORTION,106,5,17,4,5,63,
CARSON,1030105A,407,373,N,1075,TOTAL,425,17,70,11,17,265,
CARSON,1030106A,408,373,N,923,POLLING PLACE,245,10,43,6,14,140,
CARSON,1030106A,408,373,N,,VBM PORTION,75,6,16,6,5,39,
CARSON,1030106A,408,373,N,923,TOTAL,320,16,59,12,19,179,
CARSON,1030107A,409,373,N,945,POLLING PLACE,227,12,38,6,10,132,
CARSON,1030107A,409,373,N,,VBM PORTION,87,6,10,4,9,52,
CARSON,1030107A,409,373,N,945,TOTAL,314,18,48,10,19,184,
CARSON,1030108B,410,373,N,945,POLLING PLACE,132,16,14,7,36,47,
CARSON,1030108B,410,373,N,,VBM PORTION,46,6,,4,6,20,
CARSON,1030108B,410,373,N,945,TOTAL,178,22,14,11,42,67,
CARSON,1030109A,411,373,N,899,POLLING PLACE,121,18,8,13,28,44,
CARSON,1030109A,411,373,N,,VBM PORTION,71,5,8,5,15,26,
CARSON,1030109A,411,373,N,899,TOTAL,192,23,16,18,43,70,
CARSON,1030110A,412,367,N,684,POLLING PLACE,84,5,18,10,5,36,
CARSON,1030110A,412,367,N,,VBM PORTION,41,2,7,1,1,16,
CARSON,1030110A,412,367,N,684,TOTAL,125,7,25,11,6,52,
CARSON,1030111A,413,373,N,1018,POLLING PLACE,331,6,45,12,8,229,
CARSON,1030111A,413,373,N,,VBM PORTION,80,11,5,10,6,39,
CARSON,1030111A,413,373,N,1018,TOTAL,411,17,50,22,14,268,
CARSON,1030112A,414,373,N,876,POLLING PLACE,121,13,14,7,18,48,
CARSON,1030112A,414,373,N,,VBM PORTION,43,6,1,5,8,17,
CARSON,1030112A,414,373,N,876,TOTAL,164,19,15,12,26,65,
CARSON,1030113A,415,373,N,853,POLLING PLACE,168,19,30,18,28,41,
CARSON,1030113A,415,373,N,,VBM PORTION,30,3,,,4,18,
CARSON,1030113A,415,373,N,853,TOTAL,198,22,30,18,32,59,
CARSON,1030114A,416,373,N,838,POLLING PLACE,135,17,22,21,19,37,
CARSON,1030114A,416,373,N,,VBM PORTION,27,1,1,8,4,4,
CARSON,1030114A,416,373,N,838,TOTAL,162,18,23,29,23,41,
CARSON,1030115A,417,373,N,837,POLLING PLACE,119,11,15,15,22,39,
CARSON,1030115A,417,373,N,,VBM PORTION,44,3,5,8,9,11,
CARSON,1030115A,417,373,N,837,TOTAL,163,14,20,23,31,50,
CARSON,1030119A,419,373,N,951,POLLING PLACE,201,14,25,7,12,124,
CARSON,1030119A,419,373,N,,VBM PORTION,93,3,13,7,9,49,
CARSON,1030119A,419,373,N,951,TOTAL,294,17,38,14,21,173,
CARSON,1030120A,420,373,N,835,POLLING PLACE,120,20,18,10,20,33,
CARSON,1030120A,420,373,N,,VBM PORTION,36,3,6,5,7,6,
CARSON,1030120A,420,373,N,835,TOTAL,156,23,24,15,27,39,
COMPTON,1450155G,6058,367,Y,2,POLLING PLACE,,,,,,,
COMPTON,1450155G,6058,367,Y,,VBM PORTION,,,,,,,
COMPTON,1450155G,6058,367,Y,2,TOTAL,,,,,,,
DOMINGUEZ,1800020B,662,373,N,733,POLLING PLACE,222,24,33,19,18,92,
DOMINGUEZ,1800020B,662,373,N,,VBM PORTION,37,4,3,4,,15,
DOMINGUEZ,1800020B,662,373,N,733,TOTAL,259,28,36,23,18,107,
DOMINGUEZ,1800021A,663,367,N,798,POLLING PLACE,230,23,34,18,14,98,
DOMINGUEZ,1800021A,663,367,N,,VBM PORTION,51,6,8,8,1,18,
DOMINGUEZ,1800021A,663,367,N,798,TOTAL,281,29,42,26,15,116,
LA RAMBLA,3350001A,1241,395,N,971,POLLING PLACE,142,11,21,28,4,39,
LA RAMBLA,3350001A,1241,395,N,,VBM PORTION,71,3,5,20,,27,
LA RAMBLA,3350001A,1241,395,N,971,TOTAL,213,14,26,48,4,66,
LOMITA,3800005A,6142,383,Y,,POLLING PLACE,,,,,,,
LOMITA,3800005A,6142,383,Y,,VBM PORTION,,,,,,,
LOMITA,3800005A,6142,383,Y,,TOTAL,,,,,,,
OCEAN VIEW,4850002A,1888,379,N,720,POLLING PLACE,169,5,17,29,21,56,
OCEAN VIEW,4850002A,1888,379,N,,VBM PORTION,120,12,3,17,11,46,
OCEAN VIEW,4850002A,1888,379,N,720,TOTAL,289,17,20,46,32,102,
OCEAN VIEW,4850005A,1889,380,N,582,POLLING PLACE,182,14,12,41,24,45,
OCEAN VIEW,4850005A,1889,380,N,,VBM PORTION,83,6,4,20,13,15,
OCEAN VIEW,4850005A,1889,380,N,582,TOTAL,265,20,16,61,37,60,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,POLLING PLACE,347,23,18,95,28,83,
PALOS VERDES ESTATES,5050001A,1956,379,N,,VBM PORTION,183,13,6,52,16,40,
PALOS VERDES ESTATES,5050001A,1956,379,N,1180,TOTAL,530,36,24,147,44,123,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,POLLING PLACE,246,19,6,63,21,72,
PALOS VERDES ESTATES,5050003A,1957,379,N,,VBM PORTION,153,10,7,33,18,44,
PALOS VERDES ESTATES,5050003A,1957,379,N,1072,TOTAL,399,29,13,96,39,116,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,POLLING PLACE,308,16,11,83,24,84,
PALOS VERDES ESTATES,5050003D,1958,379,N,,VBM PORTION,146,10,2,31,14,35,
PALOS VERDES ESTATES,5050003D,1958,379,N,1122,TOTAL,454,26,13,114,38,119,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,POLLING PLACE,200,15,11,51,12,41,
PALOS VERDES ESTATES,5050005A,1959,379,N,,VBM PORTION,145,10,2,34,10,51,
PALOS VERDES ESTATES,5050005A,1959,379,N,908,TOTAL,345,25,13,85,22,92,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,POLLING PLACE,259,13,15,64,22,71,
PALOS VERDES ESTATES,5050007A,1960,379,N,,VBM PORTION,260,18,12,65,18,61,
PALOS VERDES ESTATES,5050007A,1960,379,N,1324,TOTAL,519,31,27,129,40,132,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,POLLING PLACE,151,14,8,36,20,27,
PALOS VERDES ESTATES,5050008B,1961,379,N,,VBM PORTION,96,3,3,22,11,22,
PALOS VERDES ESTATES,5050008B,1961,379,N,517,TOTAL,247,17,11,58,31,49,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,POLLING PLACE,279,15,13,43,25,90,
PALOS VERDES ESTATES,5050010A,1962,379,N,,VBM PORTION,123,7,2,30,9,36,
PALOS VERDES ESTATES,5050010A,1962,379,N,1008,TOTAL,402,22,15,73,34,126,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,POLLING PLACE,334,20,20,91,27,82,
PALOS VERDES ESTATES,5050012A,1963,379,N,,VBM PORTION,190,7,8,45,20,41,
PALOS VERDES ESTATES,5050012A,1963,379,N,1255,TOTAL,524,27,28,136,47,123,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,POLLING PLACE,321,26,14,79,25,78,
PALOS VERDES ESTATES,5050014A,1964,379,N,,VBM PORTION,207,14,8,56,21,58,
PALOS VERDES ESTATES,5050014A,1964,379,N,1304,TOTAL,528,40,22,135,46,136,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,POLLING PLACE,330,20,16,104,28,77,
RANCHO PALOS VERDES,5530002A,2169,379,N,,VBM PORTION,168,10,8,46,17,46,
RANCHO PALOS VERDES,5530002A,2169,379,N,1300,TOTAL,498,30,24,150,45,123,
RANCHO PALOS VERDES,5530003A,6194,395,Y,,POLLING PLACE,,,,,,,
RANCHO PALOS VERDES,5530003A,6194,395,Y,,VBM PORTION,,,,,,,
RANCHO PALOS VERDES,5530003A,6194,395,Y,,TOTAL,,,,,,,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,POLLING PLACE,174,12,9,43,18,45,
RANCHO PALOS VERDES,5530006A,2170,379,N,,VBM PORTION,125,8,4,41,8,28,
RANCHO PALOS VERDES,5530006A,2170,379,N,701,TOTAL,299,20,13,84,26,73,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,POLLING PLACE,315,14,12,118,30,54,
RANCHO PALOS VERDES,5530007A,2171,379,N,,VBM PORTION,147,9,6,42,17,26,
RANCHO PALOS VERDES,5530007A,2171,379,N,1044,TOTAL,462,23,18,160,47,80,
RANCHO PALOS VERDES,5530009A,6195,395,Y,,POLLING PLACE,,,,,,,
RANCHO PALOS VERDES,5530009A,6195,395,Y,,VBM PORTION,,,,,,,
RANCHO PALOS VERDES,5530009A,6195,395,Y,,TOTAL,,,,,,,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,POLLING PLACE,238,16,6,66,16,83,
RANCHO PALOS VERDES,5530013A,2172,379,N,,VBM PORTION,141,2,8,44,13,31,
RANCHO PALOS VERDES,5530013A,2172,379,N,987,TOTAL,379,18,14,110,29,114,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,POLLING PLACE,249,26,16,60,10,76,
RANCHO PALOS VERDES,5530015A,2173,379,N,,VBM PORTION,146,10,7,38,18,36,
RANCHO PALOS VERDES,5530015A,2173,379,N,1111,TOTAL,395,36,23,98,28,112,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,POLLING PLACE,251,18,13,71,27,47,
RANCHO PALOS VERDES,5530016A,2174,379,N,,VBM PORTION,197,7,7,71,9,44,
RANCHO PALOS VERDES,5530016A,2174,379,N,1147,TOTAL,448,25,20,142,36,91,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,POLLING PLACE,230,14,11,66,20,66,
RANCHO PALOS VERDES,5530018B,2175,379,N,,VBM PORTION,129,12,1,35,10,44,
RANCHO PALOS VERDES,5530018B,2175,379,N,1151,TOTAL,359,26,12,101,30,110,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,POLLING PLACE,299,19,17,87,27,83,
RANCHO PALOS VERDES,5530021A,2176,379,N,,VBM PORTION,139,7,3,50,15,26,
RANCHO PALOS VERDES,5530021A,2176,379,N,1201,TOTAL,438,26,20,137,42,109,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,POLLING PLACE,391,23,17,127,30,80,
RANCHO PALOS VERDES,5530026A,2177,379,N,,VBM PORTION,289,16,12,104,15,54,
RANCHO PALOS VERDES,5530026A,2177,379,N,1556,TOTAL,680,39,29,231,45,134,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,POLLING PLACE,284,22,10,92,22,60,
RANCHO PALOS VERDES,5530027A,2178,379,N,,VBM PORTION,224,9,10,60,21,60,
RANCHO PALOS VERDES,5530027A,2178,379,N,1320,TOTAL,508,31,20,152,43,120,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,POLLING PLACE,238,27,20,65,24,61,
RANCHO PALOS VERDES,5530031A,2179,379,N,,VBM PORTION,159,11,4,40,8,44,
RANCHO PALOS VERDES,5530031A,2179,379,N,1211,TOTAL,397,38,24,105,32,105,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,POLLING PLACE,212,14,10,64,18,53,
RANCHO PALOS VERDES,5530032A,2180,379,N,,VBM PORTION,164,13,13,36,11,37,
RANCHO PALOS VERDES,5530032A,2180,379,N,1015,TOTAL,376,27,23,100,29,90,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,POLLING PLACE,220,14,16,80,17,51,
RANCHO PALOS VERDES,5530033A,2181,379,N,,VBM PORTION,159,7,6,59,9,42,
RANCHO PALOS VERDES,5530033A,2181,379,N,1147,TOTAL,379,21,22,139,26,93,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,POLLING PLACE,273,27,14,89,18,47,
RANCHO PALOS VERDES,5530036A,2182,379,N,,VBM PORTION,189,7,4,80,9,39,
RANCHO PALOS VERDES,5530036A,2182,379,N,1294,TOTAL,462,34,18,169,27,86,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,POLLING PLACE,228,12,10,92,12,51,
RANCHO PALOS VERDES,5530040A,2183,379,N,,VBM PORTION,89,5,5,39,5,11,
RANCHO PALOS VERDES,5530040A,2183,379,N,766,TOTAL,317,17,15,131,17,62,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,POLLING PLACE,263,12,9,98,28,60,
RANCHO PALOS VERDES,5530041A,2184,379,N,,VBM PORTION,248,8,6,136,6,39,
RANCHO PALOS VERDES,5530041A,2184,379,N,1261,TOTAL,511,20,15,234,34,99,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,POLLING PLACE,330,20,13,134,23,74,
RANCHO PALOS VERDES,5530042A,2185,379,N,,VBM PORTION,157,7,3,77,11,22,
RANCHO PALOS VERDES,5530042A,2185,379,N,1190,TOTAL,487,27,16,211,34,96,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,POLLING PLACE,300,13,5,145,20,59,
RANCHO PALOS VERDES,5530048A,2186,379,N,,VBM PORTION,263,15,5,127,12,49,
RANCHO PALOS VERDES,5530048A,2186,379,N,1366,TOTAL,563,28,10,272,32,108,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,POLLING PLACE,194,11,5,61,16,52,
RANCHO PALOS VERDES,5530055A,2187,379,N,,VBM PORTION,112,8,,31,12,26,
RANCHO PALOS VERDES,5530055A,2187,379,N,799,TOTAL,306,19,5,92,28,78,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,POLLING PLACE,220,14,9,57,17,70,
RANCHO PALOS VERDES,5530059A,2188,379,N,,VBM PORTION,123,8,6,22,9,36,
RANCHO PALOS VERDES,5530059A,2188,379,N,1111,TOTAL,343,22,15,79,26,106,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,POLLING PLACE,179,7,10,75,10,33,
RANCHO PALOS VERDES,5530080A,2189,379,N,,VBM PORTION,106,8,5,44,3,17,
RANCHO PALOS VERDES,5530080A,2189,379,N,712,TOTAL,285,15,15,119,13,50,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,POLLING PLACE,201,7,8,91,19,37,
RANCHO PALOS VERDES,5530081B,2190,379,N,,VBM PORTION,136,6,5,80,9,19,
RANCHO PALOS VERDES,5530081B,2190,379,N,1015,TOTAL,337,13,13,171,28,56,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,POLLING PLACE,171,9,10,54,12,45,
RANCHO PALOS VERDES,5530082A,2191,379,N,,VBM PORTION,98,3,5,40,6,18,
RANCHO PALOS VERDES,5530082A,2191,379,N,811,TOTAL,269,12,15,94,18,63,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,POLLING PLACE,206,15,20,73,18,41,
RANCHO PALOS VERDES,5530085A,2192,379,N,,VBM PORTION,106,9,3,49,7,18,
RANCHO PALOS VERDES,5530085A,2192,379,N,888,TOTAL,312,24,23,122,25,59,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,POLLING PLACE,191,18,11,55,16,49,
RANCHO PALOS VERDES,5530086A,2193,379,N,,VBM PORTION,82,3,4,28,8,22,
RANCHO PALOS VERDES,5530086A,2193,379,N,802,TOTAL,273,21,15,83,24,71,
ROLLING HILLS,5700001A,2233,379,N,747,POLLING PLACE,211,16,8,55,25,43,
ROLLING HILLS,5700001A,2233,379,N,,VBM PORTION,92,1,4,32,7,13,
ROLLING HILLS,5700001A,2233,379,N,747,TOTAL,303,17,12,87,32,56,
ROLLING HILLS,5700002A,2234,379,N,684,POLLING PLACE,213,5,8,55,21,57,
ROLLING HILLS,5700002A,2234,379,N,,VBM PORTION,89,1,5,22,3,22,
ROLLING HILLS,5700002A,2234,379,N,684,TOTAL,302,6,13,77,24,79,
ROLLING HILLS ESTATES,5730001A,2235,379,N,620,POLLING PLACE,170,14,9,47,10,50,
ROLLING HILLS ESTATES,5730001A,2235,379,N,,VBM PORTION,85,5,5,16,8,16,
ROLLING HILLS ESTATES,5730001A,2235,379,N,620,TOTAL,255,19,14,63,18,66,
ROLLING HILLS ESTATES,5730003A,2236,379,N,887,POLLING PLACE,255,14,16,60,27,65,
ROLLING HILLS ESTATES,5730003A,2236,379,N,,VBM PORTION,94,6,2,28,3,22,
ROLLING HILLS ESTATES,5730003A,2236,379,N,887,TOTAL,349,20,18,88,30,87,
ROLLING HILLS ESTATES,5730005A,2237,379,N,1228,POLLING PLACE,314,29,13,78,31,77,
ROLLING HILLS ESTATES,5730005A,2237,379,N,,VBM PORTION,201,18,7,57,12,46,
ROLLING HILLS ESTATES,5730005A,2237,379,N,1228,TOTAL,515,47,20,135,43,123,
ROLLING HILLS ESTATES,5730007A,2238,379,N,993,POLLING PLACE,298,25,13,78,27,56,
ROLLING HILLS ESTATES,5730007A,2238,379,N,,VBM PORTION,116,7,4,34,9,32,
ROLLING HILLS ESTATES,5730007A,2238,379,N,993,TOTAL,414,32,17,112,36,88,
ROLLING HILLS ESTATES,5730011A,2239,379,N,789,POLLING PLACE,207,22,16,49,12,55,
ROLLING HILLS ESTATES,5730011A,2239,379,N,,VBM PORTION,111,10,6,25,5,20,
ROLLING HILLS ESTATES,5730011A,2239,379,N,789,TOTAL,318,32,22,74,17,75,
ROLLING HILLS ESTATES,5730013A,2240,379,N,1095,POLLING PLACE,228,18,11,63,21,49,
ROLLING HILLS ESTATES,5730013A,2240,379,N,,VBM PORTION,178,12,7,44,21,36,
ROLLING HILLS ESTATES,5730013A,2240,379,N,1095,TOTAL,406,30,18,107,42,85,
WEST CARSON,7680001A,6260,362,Y,25,POLLING PLACE,,,,,,,
WEST CARSON,7680001A,6260,362,Y,,VBM PORTION,1,,,,,,
WEST CARSON,7680001A,6260,362,Y,25,TOTAL,1,,,,,,
WEST CARSON,7680002A,2817,387,N,1077,POLLING PLACE,111,8,23,12,11,30,
WEST CARSON,7680002A,2817,387,N,,VBM PORTION,78,11,9,7,9,20,
WEST CARSON,7680002A,2817,387,N,1077,TOTAL,189,19,32,19,20,50,
WEST CARSON,7680006A,6261,362,Y,1,POLLING PLACE,,,,,,,
WEST CARSON,7680006A,6261,362,Y,,VBM PORTION,,,,,,,
WEST CARSON,7680006A,6261,362,Y,1,TOTAL,,,,,,,
WEST COMPTON,7690006A,2831,372,N,784,POLLING PLACE,123,15,38,10,4,31,
WEST COMPTON,7690006A,2831,372,N,,VBM PORTION,41,4,5,5,4,17,
WEST COMPTON,7690006A,2831,372,N,784,TOTAL,164,19,43,15,8,48,
LOS ANGELES,9002452A,6297,379,Y,,POLLING PLACE,,,,,,,
LOS ANGELES,9002452A,6297,379,Y,,VBM PORTION,,,,,,,
LOS ANGELES,9002452A,6297,379,Y,,TOTAL,,,,,,,
LOS ANGELES,9002630A,4239,373,N,400,POLLING PLACE,45,2,8,5,3,15,
LOS ANGELES,9002630A,4239,373,N,,VBM PORTION,28,2,2,3,,12,
