LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NOEL A JAIMES,L HILARY BARBA,JAMES E BECERRA,ROBERT O APODACA,TOM MALKASIAN,
LA MIRADA,3300015A,1208,260,N,,VBM PORTION,72,6,3,5,27,17,
LA MIRADA,3300015A,1208,260,N,1146,TOTAL,321,40,22,34,86,77,
LA MIRADA,3300017A,1209,260,N,1028,POLLING PLACE,243,46,22,20,52,49,
LA MIRADA,3300017A,1209,260,N,,VBM PORTION,125,19,4,15,22,25,
LA MIRADA,3300017A,1209,260,N,1028,TOTAL,368,65,26,35,74,74,
LA MIRADA,3300019A,1210,252,N,773,POLLING PLACE,197,30,16,19,40,58,
LA MIRADA,3300019A,1210,252,N,,VBM PORTION,108,13,3,9,22,18,
LA MIRADA,3300019A,1210,252,N,773,TOTAL,305,43,19,28,62,76,
LA MIRADA,3300020A,1211,252,N,860,POLLING PLACE,206,27,28,24,36,52,
LA MIRADA,3300020A,1211,252,N,,VBM PORTION,50,9,4,6,12,9,
LA MIRADA,3300020A,1211,252,N,860,TOTAL,256,36,32,30,48,61,
LA MIRADA,3300022A,1212,252,N,693,POLLING PLACE,126,15,12,10,36,21,
LA MIRADA,3300022A,1212,252,N,,VBM PORTION,72,11,3,5,23,16,
LA MIRADA,3300022A,1212,252,N,693,TOTAL,198,26,15,15,59,37,
LA MIRADA,3300023A,1213,252,N,904,POLLING PLACE,186,27,18,20,36,50,
LA MIRADA,3300023A,1213,252,N,,VBM PORTION,65,9,8,7,15,9,
LA MIRADA,3300023A,1213,252,N,904,TOTAL,251,36,26,27,51,59,
LA MIRADA,3300025A,1214,252,N,736,POLLING PLACE,174,22,28,23,41,29,
LA MIRADA,3300025A,1214,252,N,,VBM PORTION,51,8,1,5,9,12,
LA MIRADA,3300025A,1214,252,N,736,TOTAL,225,30,29,28,50,41,
LA MIRADA,3300025C,6117,248,Y,8,POLLING PLACE,,,,,,,
LA MIRADA,3300025C,6117,248,Y,,VBM PORTION,2,2,,,,,
LA MIRADA,3300025C,6117,248,Y,8,TOTAL,2,2,,,,,
LA MIRADA,3300026A,1215,252,N,822,POLLING PLACE,177,39,14,23,33,36,
LA MIRADA,3300026A,1215,252,N,,VBM PORTION,74,10,,5,20,19,
LA MIRADA,3300026A,1215,252,N,822,TOTAL,251,49,14,28,53,55,
LA MIRADA,3300029A,1216,252,N,1019,POLLING PLACE,214,40,17,28,34,45,
LA MIRADA,3300029A,1216,252,N,,VBM PORTION,65,2,6,11,17,12,
LA MIRADA,3300029A,1216,252,N,1019,TOTAL,279,42,23,39,51,57,
LA MIRADA,3300034A,1217,252,N,1218,POLLING PLACE,211,32,24,19,55,49,
LA MIRADA,3300034A,1217,252,N,,VBM PORTION,102,11,7,12,24,23,
LA MIRADA,3300034A,1217,252,N,1218,TOTAL,313,43,31,31,79,72,
LA MIRADA,3300040A,1218,252,N,991,POLLING PLACE,210,22,16,25,60,41,
LA MIRADA,3300040A,1218,252,N,,VBM PORTION,106,10,2,6,43,17,
LA MIRADA,3300040A,1218,252,N,991,TOTAL,316,32,18,31,103,58,
LA MIRADA,3300042A,1219,252,N,1108,POLLING PLACE,213,22,27,19,46,49,
LA MIRADA,3300042A,1219,252,N,,VBM PORTION,86,18,9,6,25,13,
LA MIRADA,3300042A,1219,252,N,1108,TOTAL,299,40,36,25,71,62,
LA MIRADA,3300044A,1220,252,N,1164,POLLING PLACE,227,35,20,26,60,46,
LA MIRADA,3300044A,1220,252,N,,VBM PORTION,84,11,7,10,18,17,
LA MIRADA,3300044A,1220,252,N,1164,TOTAL,311,46,27,36,78,63,
LA MIRADA,3300045A,1221,252,N,1175,POLLING PLACE,348,41,35,28,61,78,
LA MIRADA,3300045A,1221,252,N,,VBM PORTION,130,10,5,14,39,25,
LA MIRADA,3300045A,1221,252,N,1175,TOTAL,478,51,40,42,100,103,
LA MIRADA,3300056A,1222,252,N,556,POLLING PLACE,162,12,6,12,47,35,
LA MIRADA,3300056A,1222,252,N,,VBM PORTION,121,13,9,5,31,24,
LA MIRADA,3300056A,1222,252,N,556,TOTAL,283,25,15,17,78,59,
LA MIRADA,3300070A,1223,252,N,1066,POLLING PLACE,238,30,20,35,51,49,
LA MIRADA,3300070A,1223,252,N,,VBM PORTION,62,4,3,7,21,7,
LA MIRADA,3300070A,1223,252,N,1066,TOTAL,300,34,23,42,72,56,
LA MIRADA,3300072A,1224,252,N,1267,POLLING PLACE,237,21,30,37,70,36,
LA MIRADA,3300072A,1224,252,N,,VBM PORTION,82,7,7,4,29,19,
LA MIRADA,3300072A,1224,252,N,1267,TOTAL,319,28,37,41,99,55,
LA MIRADA,3300073A,1225,252,N,1176,POLLING PLACE,211,22,31,43,53,24,
LA MIRADA,3300073A,1225,252,N,,VBM PORTION,63,4,9,7,22,9,
LA MIRADA,3300073A,1225,252,N,1176,TOTAL,274,26,40,50,75,33,
NORTH WHITTIER,4780011B,6170,255,Y,51,POLLING PLACE,,,,,,,
NORTH WHITTIER,4780011B,6170,255,Y,,VBM PORTION,15,,,4,2,3,
NORTH WHITTIER,4780011B,6170,255,Y,51,TOTAL,15,,,4,2,3,
NORWALK,4800001A,1839,280,N,907,POLLING PLACE,114,9,16,32,36,5,
NORWALK,4800001A,1839,280,N,,VBM PORTION,45,2,2,7,12,8,
NORWALK,4800001A,1839,280,N,907,TOTAL,159,11,18,39,48,13,
NORWALK,4800003A,1840,254,N,1126,POLLING PLACE,191,10,26,38,60,30,
NORWALK,4800003A,1840,254,N,,VBM PORTION,43,1,3,,16,6,
NORWALK,4800003A,1840,254,N,1126,TOTAL,234,11,29,38,76,36,
NORWALK,4800004A,1841,279,N,982,POLLING PLACE,137,19,12,31,30,26,
NORWALK,4800004A,1841,279,N,,VBM PORTION,41,5,1,1,9,11,
NORWALK,4800004A,1841,279,N,982,TOTAL,178,24,13,32,39,37,
NORWALK,4800006B,1842,279,N,984,POLLING PLACE,153,14,20,26,43,18,
NORWALK,4800006B,1842,279,N,,VBM PORTION,38,4,1,5,16,7,
NORWALK,4800006B,1842,279,N,984,TOTAL,191,18,21,31,59,25,
NORWALK,4800007C,1843,279,N,525,POLLING PLACE,84,5,7,19,25,17,
NORWALK,4800007C,1843,279,N,,VBM PORTION,17,2,3,1,3,4,
NORWALK,4800007C,1843,279,N,525,TOTAL,101,7,10,20,28,21,
NORWALK,4800008A,1844,253,N,524,POLLING PLACE,91,11,13,16,26,14,
NORWALK,4800008A,1844,253,N,,VBM PORTION,42,4,9,4,7,1,
NORWALK,4800008A,1844,253,N,524,TOTAL,133,15,22,20,33,15,
NORWALK,4800008C,1845,253,N,1156,POLLING PLACE,175,15,20,29,56,23,
NORWALK,4800008C,1845,253,N,,VBM PORTION,57,7,4,10,10,11,
NORWALK,4800008C,1845,253,N,1156,TOTAL,232,22,24,39,66,34,
NORWALK,4800009A,1846,253,N,759,POLLING PLACE,137,12,20,27,33,21,
NORWALK,4800009A,1846,253,N,,VBM PORTION,28,,5,1,10,6,
NORWALK,4800009A,1846,253,N,759,TOTAL,165,12,25,28,43,27,
NORWALK,4800010A,1847,253,N,807,POLLING PLACE,177,23,31,23,38,26,
NORWALK,4800010A,1847,253,N,,VBM PORTION,25,2,2,5,13,,
NORWALK,4800010A,1847,253,N,807,TOTAL,202,25,33,28,51,26,
NORWALK,4800011A,1848,253,N,1104,POLLING PLACE,207,24,36,41,55,20,
NORWALK,4800011A,1848,253,N,,VBM PORTION,52,3,2,9,15,5,
NORWALK,4800011A,1848,253,N,1104,TOTAL,259,27,38,50,70,25,
NORWALK,4800013A,1849,253,N,1002,POLLING PLACE,134,11,23,27,38,17,
NORWALK,4800013A,1849,253,N,,VBM PORTION,32,4,6,4,10,1,
NORWALK,4800013A,1849,253,N,1002,TOTAL,166,15,29,31,48,18,
NORWALK,4800014C,1850,253,N,227,POLLING PLACE,51,5,6,10,19,3,
NORWALK,4800014C,1850,253,N,,VBM PORTION,14,3,1,1,2,2,
NORWALK,4800014C,1850,253,N,227,TOTAL,65,8,7,11,21,5,
NORWALK,4800015A,1851,272,N,440,POLLING PLACE,48,6,4,14,12,4,
NORWALK,4800015A,1851,272,N,,VBM PORTION,44,5,8,5,9,7,
NORWALK,4800015A,1851,272,N,440,TOTAL,92,11,12,19,21,11,
NORWALK,4800016A,1852,250,N,1027,POLLING PLACE,145,12,16,31,41,21,
NORWALK,4800016A,1852,250,N,,VBM PORTION,33,,4,5,18,2,
NORWALK,4800016A,1852,250,N,1027,TOTAL,178,12,20,36,59,23,
NORWALK,4800018A,1853,250,N,1009,POLLING PLACE,157,15,20,19,41,22,
NORWALK,4800018A,1853,250,N,,VBM PORTION,48,5,2,2,14,6,
NORWALK,4800018A,1853,250,N,1009,TOTAL,205,20,22,21,55,28,
NORWALK,4800019A,1854,250,N,637,POLLING PLACE,104,19,17,21,15,13,
NORWALK,4800019A,1854,250,N,,VBM PORTION,27,1,4,2,6,4,
NORWALK,4800019A,1854,250,N,637,TOTAL,131,20,21,23,21,17,
NORWALK,4800021A,1855,250,N,306,POLLING PLACE,38,4,6,2,6,6,
NORWALK,4800021A,1855,250,N,,VBM PORTION,16,1,5,1,2,3,
NORWALK,4800021A,1855,250,N,306,TOTAL,54,5,11,3,8,9,
NORWALK,4800021B,1856,254,N,1171,POLLING PLACE,115,10,16,22,32,18,
NORWALK,4800021B,1856,254,N,,VBM PORTION,48,3,3,8,13,5,
NORWALK,4800021B,1856,254,N,1171,TOTAL,163,13,19,30,45,23,
NORWALK,4800022A,1857,254,N,894,POLLING PLACE,107,14,15,19,33,9,
NORWALK,4800022A,1857,254,N,,VBM PORTION,43,2,5,5,15,9,
NORWALK,4800022A,1857,254,N,894,TOTAL,150,16,20,24,48,18,
NORWALK,4800023A,1858,254,N,1207,POLLING PLACE,167,11,14,36,37,38,
NORWALK,4800023A,1858,254,N,,VBM PORTION,66,11,8,8,21,7,
NORWALK,4800023A,1858,254,N,1207,TOTAL,233,22,22,44,58,45,
NORWALK,4800024A,1859,254,N,1149,POLLING PLACE,197,21,27,54,46,19,
NORWALK,4800024A,1859,254,N,,VBM PORTION,47,6,5,5,17,8,
NORWALK,4800024A,1859,254,N,1149,TOTAL,244,27,32,59,63,27,
NORWALK,4800025A,1860,280,N,645,POLLING PLACE,104,11,15,22,24,18,
NORWALK,4800025A,1860,280,N,,VBM PORTION,19,2,,1,6,1,
NORWALK,4800025A,1860,280,N,645,TOTAL,123,13,15,23,30,19,
NORWALK,4800028A,1861,280,N,1138,POLLING PLACE,172,26,13,34,40,28,
NORWALK,4800028A,1861,280,N,,VBM PORTION,36,3,3,2,11,7,
NORWALK,4800028A,1861,280,N,1138,TOTAL,208,29,16,36,51,35,
NORWALK,4800029B,1862,254,N,968,POLLING PLACE,152,16,21,33,39,15,
NORWALK,4800029B,1862,254,N,,VBM PORTION,49,4,2,6,21,5,
NORWALK,4800029B,1862,254,N,968,TOTAL,201,20,23,39,60,20,
NORWALK,4800031A,1863,254,N,1065,POLLING PLACE,180,23,21,31,42,26,
NORWALK,4800031A,1863,254,N,,VBM PORTION,60,9,3,5,25,8,
NORWALK,4800031A,1863,254,N,1065,TOTAL,240,32,24,36,67,34,
NORWALK,4800032A,1864,254,N,929,POLLING PLACE,104,9,11,19,24,12,
NORWALK,4800032A,1864,254,N,,VBM PORTION,97,7,13,16,31,4,
NORWALK,4800032A,1864,254,N,929,TOTAL,201,16,24,35,55,16,
NORWALK,4800033A,1865,254,N,815,POLLING PLACE,105,5,10,19,29,11,
NORWALK,4800033A,1865,254,N,,VBM PORTION,22,1,1,2,8,5,
NORWALK,4800033A,1865,254,N,815,TOTAL,127,6,11,21,37,16,
NORWALK,4800034A,1866,250,N,1103,POLLING PLACE,187,24,20,27,46,37,
NORWALK,4800034A,1866,250,N,,VBM PORTION,104,13,6,12,37,15,
NORWALK,4800034A,1866,250,N,1103,TOTAL,291,37,26,39,83,52,
NORWALK,4800035A,1867,250,N,1102,POLLING PLACE,148,21,16,36,43,13,
NORWALK,4800035A,1867,250,N,,VBM PORTION,49,5,11,4,14,5,
NORWALK,4800035A,1867,250,N,1102,TOTAL,197,26,27,40,57,18,
NORWALK,4800037A,1868,254,N,994,POLLING PLACE,159,24,15,34,47,21,
NORWALK,4800037A,1868,254,N,,VBM PORTION,65,8,4,12,21,10,
NORWALK,4800037A,1868,254,N,994,TOTAL,224,32,19,46,68,31,
NORWALK,4800038A,1869,254,N,856,POLLING PLACE,114,16,22,14,25,19,
NORWALK,4800038A,1869,254,N,,VBM PORTION,51,2,7,13,19,3,
NORWALK,4800038A,1869,254,N,856,TOTAL,165,18,29,27,44,22,
NORWALK,4800040A,1870,280,N,994,POLLING PLACE,142,13,24,26,22,30,
NORWALK,4800040A,1870,280,N,,VBM PORTION,41,1,11,6,8,6,
NORWALK,4800040A,1870,280,N,994,TOTAL,183,14,35,32,30,36,
NORWALK,4800042B,1871,280,N,1241,POLLING PLACE,221,22,17,30,72,31,
NORWALK,4800042B,1871,280,N,,VBM PORTION,68,9,5,4,26,7,
NORWALK,4800042B,1871,280,N,1241,TOTAL,289,31,22,34,98,38,
NORWALK,4800044A,1872,280,N,728,POLLING PLACE,89,9,15,25,16,10,
NORWALK,4800044A,1872,280,N,,VBM PORTION,36,6,5,4,11,2,
NORWALK,4800044A,1872,280,N,728,TOTAL,125,15,20,29,27,12,
NORWALK,4800045A,1873,280,N,983,POLLING PLACE,201,23,29,33,49,29,
NORWALK,4800045A,1873,280,N,,VBM PORTION,43,4,7,3,6,14,
NORWALK,4800045A,1873,280,N,983,TOTAL,244,27,36,36,55,43,
NORWALK,4800045B,6172,269,Y,,POLLING PLACE,,,,,,,
NORWALK,4800045B,6172,269,Y,,VBM PORTION,,,,,,,
NORWALK,4800045B,6172,269,Y,,TOTAL,,,,,,,
NORWALK,4800047A,1874,280,N,857,POLLING PLACE,137,7,15,30,29,21,
NORWALK,4800047A,1874,280,N,,VBM PORTION,43,3,3,5,16,3,
NORWALK,4800047A,1874,280,N,857,TOTAL,180,10,18,35,45,24,
NORWALK,4800048A,1875,280,N,1109,POLLING PLACE,150,8,15,21,62,26,
NORWALK,4800048A,1875,280,N,,VBM PORTION,77,11,9,7,19,9,
NORWALK,4800048A,1875,280,N,1109,TOTAL,227,19,24,28,81,35,
NORWALK,4800049D,1876,280,N,583,POLLING PLACE,110,12,18,19,20,23,
NORWALK,4800049D,1876,280,N,,VBM PORTION,18,1,4,2,5,4,
NORWALK,4800049D,1876,280,N,583,TOTAL,128,13,22,21,25,27,
NORWALK,4800050A,1877,280,N,1223,POLLING PLACE,189,27,18,33,48,24,
NORWALK,4800050A,1877,280,N,,VBM PORTION,65,3,8,4,19,6,
NORWALK,4800050A,1877,280,N,1223,TOTAL,254,30,26,37,67,30,
NORWALK,4800053A,1878,254,N,886,POLLING PLACE,151,8,19,28,62,17,
NORWALK,4800053A,1878,254,N,,VBM PORTION,33,3,3,6,19,2,
NORWALK,4800053A,1878,254,N,886,TOTAL,184,11,22,34,81,19,
NORWALK,4800054A,1879,254,N,874,POLLING PLACE,93,14,16,29,13,9,
NORWALK,4800054A,1879,254,N,,VBM PORTION,37,4,11,4,6,5,
NORWALK,4800054A,1879,254,N,874,TOTAL,130,18,27,33,19,14,
NORWALK,4800056A,1880,280,N,811,POLLING PLACE,141,10,29,37,35,10,
NORWALK,4800056A,1880,280,N,,VBM PORTION,24,3,2,6,7,3,
NORWALK,4800056A,1880,280,N,811,TOTAL,165,13,31,43,42,13,
NORWALK,4800056D,6173,270,Y,148,POLLING PLACE,,,,,,,
NORWALK,4800056D,6173,270,Y,,VBM PORTION,14,,4,,7,3,
NORWALK,4800056D,6173,270,Y,148,TOTAL,14,,4,,7,3,
NORWALK,4800059A,1881,272,N,1238,POLLING PLACE,212,30,27,33,47,38,
NORWALK,4800059A,1881,272,N,,VBM PORTION,106,10,10,10,28,17,
NORWALK,4800059A,1881,272,N,1238,TOTAL,318,40,37,43,75,55,
NORWALK,4800060A,1882,253,N,1018,POLLING PLACE,148,15,24,21,39,21,
NORWALK,4800060A,1882,253,N,,VBM PORTION,44,3,2,5,10,8,
NORWALK,4800060A,1882,253,N,1018,TOTAL,192,18,26,26,49,29,
NORWALK,4800067A,1883,280,N,1003,POLLING PLACE,163,12,21,42,48,21,
NORWALK,4800067A,1883,280,N,,VBM PORTION,45,3,7,5,18,6,
NORWALK,4800067A,1883,280,N,1003,TOTAL,208,15,28,47,66,27,
NORWALK,4800071A,1884,254,N,1133,POLLING PLACE,174,12,22,50,53,18,
NORWALK,4800071A,1884,254,N,,VBM PORTION,42,3,3,15,8,6,
NORWALK,4800071A,1884,254,N,1133,TOTAL,216,15,25,65,61,24,
NORWALK,4800076A,1885,249,N,910,POLLING PLACE,159,11,13,14,41,34,
NORWALK,4800076A,1885,249,N,,VBM PORTION,69,3,4,9,22,17,
NORWALK,4800076A,1885,249,N,910,TOTAL,228,14,17,23,63,51,
NORWALK,4800088A,1886,253,N,1017,POLLING PLACE,221,19,21,50,66,31,
NORWALK,4800088A,1886,253,N,,VBM PORTION,30,1,2,7,6,2,
NORWALK,4800088A,1886,253,N,1017,TOTAL,251,20,23,57,72,33,
NORWALK,4800089A,1887,280,N,760,POLLING PLACE,111,13,19,17,30,19,
NORWALK,4800089A,1887,280,N,,VBM PORTION,41,4,5,2,13,2,
NORWALK,4800089A,1887,280,N,760,TOTAL,152,17,24,19,43,21,
PICO RIVERA,5230031A,6189,281,Y,,POLLING PLACE,,,,,,,
PICO RIVERA,5230031A,6189,281,Y,,VBM PORTION,,,,,,,
PICO RIVERA,5230031A,6189,281,Y,,TOTAL,,,,,,,
SANTA FE SPRINGS,6230001A,2446,255,N,1043,POLLING PLACE,167,20,16,34,39,17,
SANTA FE SPRINGS,6230001A,2446,255,N,,VBM PORTION,61,15,5,6,16,4,
SANTA FE SPRINGS,6230001A,2446,255,N,1043,TOTAL,228,35,21,40,55,21,
SANTA FE SPRINGS,6230004A,2447,255,N,970,POLLING PLACE,178,27,17,24,60,28,
SANTA FE SPRINGS,6230004A,2447,255,N,,VBM PORTION,46,5,4,5,9,11,
SANTA FE SPRINGS,6230004A,2447,255,N,970,TOTAL,224,32,21,29,69,39,
SANTA FE SPRINGS,6230006A,2448,255,N,1150,POLLING PLACE,191,19,28,36,58,23,
SANTA FE SPRINGS,6230006A,2448,255,N,,VBM PORTION,49,4,7,11,12,2,
SANTA FE SPRINGS,6230006A,2448,255,N,1150,TOTAL,240,23,35,47,70,25,
SANTA FE SPRINGS,6230008A,2449,255,N,788,POLLING PLACE,125,10,16,23,36,24,
SANTA FE SPRINGS,6230008A,2449,255,N,,VBM PORTION,50,3,7,6,17,9,
SANTA FE SPRINGS,6230008A,2449,255,N,788,TOTAL,175,13,23,29,53,33,
SANTA FE SPRINGS,6230009A,2450,255,N,919,POLLING PLACE,157,14,23,17,41,32,
SANTA FE SPRINGS,6230009A,2450,255,N,,VBM PORTION,70,6,12,5,25,6,
SANTA FE SPRINGS,6230009A,2450,255,N,919,TOTAL,227,20,35,22,66,38,
SANTA FE SPRINGS,6230010A,2451,258,N,999,POLLING PLACE,169,20,12,36,49,27,
SANTA FE SPRINGS,6230010A,2451,258,N,,VBM PORTION,30,3,,5,17,,
SANTA FE SPRINGS,6230010A,2451,258,N,999,TOTAL,199,23,12,41,66,27,
SANTA FE SPRINGS,6230011A,2452,258,N,1191,POLLING PLACE,150,11,26,28,48,13,
SANTA FE SPRINGS,6230011A,2452,258,N,,VBM PORTION,52,8,2,4,25,8,
SANTA FE SPRINGS,6230011A,2452,258,N,1191,TOTAL,202,19,28,32,73,21,
SANTA FE SPRINGS,6230011H,6220,255,Y,1,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230011H,6220,255,Y,,VBM PORTION,,,,,,,
SANTA FE SPRINGS,6230011H,6220,255,Y,1,TOTAL,,,,,,,
SANTA FE SPRINGS,6230018A,2453,255,N,897,POLLING PLACE,155,21,18,32,40,22,
SANTA FE SPRINGS,6230018A,2453,255,N,,VBM PORTION,42,6,4,,19,6,
SANTA FE SPRINGS,6230018A,2453,255,N,897,TOTAL,197,27,22,32,59,28,
SANTA FE SPRINGS,6230051A,2454,255,N,1067,POLLING PLACE,147,16,20,25,51,14,
SANTA FE SPRINGS,6230051A,2454,255,N,,VBM PORTION,42,8,,8,9,7,
SANTA FE SPRINGS,6230051A,2454,255,N,1067,TOTAL,189,24,20,33,60,21,
SANTA FE SPRINGS,6230052B,6221,255,Y,179,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230052B,6221,255,Y,,VBM PORTION,12,2,,,3,1,
SANTA FE SPRINGS,6230052B,6221,255,Y,179,TOTAL,12,2,,,3,1,
SANTA FE SPRINGS,6230052L,6222,251,Y,20,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230052L,6222,251,Y,,VBM PORTION,2,1,,,1,,
SANTA FE SPRINGS,6230052L,6222,251,Y,20,TOTAL,2,1,,,1,,
SANTA FE SPRINGS,6230052M,6223,247,Y,1,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230052M,6223,247,Y,,VBM PORTION,,,,,,,
SANTA FE SPRINGS,6230052M,6223,247,Y,1,TOTAL,,,,,,,
SANTA FE SPRINGS,6230052N,6224,259,Y,,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230052N,6224,259,Y,,VBM PORTION,,,,,,,
SANTA FE SPRINGS,6230052N,6224,259,Y,,TOTAL,,,,,,,
SANTA FE SPRINGS,6230052Q,6225,246,Y,2,POLLING PLACE,,,,,,,
SANTA FE SPRINGS,6230052Q,6225,246,Y,,VBM PORTION,,,,,,,
SANTA FE SPRINGS,6230052Q,6225,246,Y,2,TOTAL,,,,,,,
SOUTH WHITTIER,6700001A,2596,260,N,770,POLLING PLACE,141,17,9,20,46,21,
SOUTH WHITTIER,6700001A,2596,260,N,,VBM PORTION,42,5,3,4,11,8,
SOUTH WHITTIER,6700001A,2596,260,N,770,TOTAL,183,22,12,24,57,29,
SOUTH WHITTIER,6700002A,2597,260,N,1209,POLLING PLACE,212,18,24,30,50,49,
SOUTH WHITTIER,6700002A,2597,260,N,,VBM PORTION,59,5,8,8,16,11,
SOUTH WHITTIER,6700002A,2597,260,N,1209,TOTAL,271,23,32,38,66,60,
SOUTH WHITTIER,6700003A,2598,260,N,882,POLLING PLACE,120,12,7,22,40,22,
