LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAMALA D HARRIS,RONALD GOLD,
LONG BEACH,3850376A,1597,396,N,812,TOTAL,236,99,123,
LONG BEACH,3850377A,1598,396,N,618,POLLING PLACE,91,63,24,
LONG BEACH,3850377A,1598,396,N,,VBM PORTION,51,24,26,
LONG BEACH,3850377A,1598,396,N,618,TOTAL,142,87,50,
LONG BEACH,3850378A,1599,396,N,905,POLLING PLACE,200,102,80,
LONG BEACH,3850378A,1599,396,N,,VBM PORTION,77,42,32,
LONG BEACH,3850378A,1599,396,N,905,TOTAL,277,144,112,
LONG BEACH,3850379A,1600,396,N,852,POLLING PLACE,75,59,11,
LONG BEACH,3850379A,1600,396,N,,VBM PORTION,20,14,4,
LONG BEACH,3850379A,1600,396,N,852,TOTAL,95,73,15,
LONG BEACH,3850384A,1601,396,N,864,POLLING PLACE,91,70,19,
LONG BEACH,3850384A,1601,396,N,,VBM PORTION,27,21,4,
LONG BEACH,3850384A,1601,396,N,864,TOTAL,118,91,23,
LONG BEACH,3850386A,1602,370,N,1155,POLLING PLACE,207,185,16,
LONG BEACH,3850386A,1602,370,N,,VBM PORTION,42,31,7,
LONG BEACH,3850386A,1602,370,N,1155,TOTAL,249,216,23,
LONG BEACH,3850393A,1603,357,N,360,POLLING PLACE,34,28,6,
LONG BEACH,3850393A,1603,357,N,,VBM PORTION,8,7,1,
LONG BEACH,3850393A,1603,357,N,360,TOTAL,42,35,7,
LONG BEACH,3850395A,1604,357,N,428,POLLING PLACE,40,26,9,
LONG BEACH,3850395A,1604,357,N,,VBM PORTION,16,11,4,
LONG BEACH,3850395A,1604,357,N,428,TOTAL,56,37,13,
LONG BEACH,3850399A,1605,396,N,1095,POLLING PLACE,258,131,114,
LONG BEACH,3850399A,1605,396,N,,VBM PORTION,102,49,45,
LONG BEACH,3850399A,1605,396,N,1095,TOTAL,360,180,159,
LONG BEACH,3850400A,1606,396,N,903,POLLING PLACE,83,69,9,
LONG BEACH,3850400A,1606,396,N,,VBM PORTION,52,44,4,
LONG BEACH,3850400A,1606,396,N,903,TOTAL,135,113,13,
LONG BEACH,3850402A,1607,370,N,1209,POLLING PLACE,179,136,40,
LONG BEACH,3850402A,1607,370,N,,VBM PORTION,29,22,7,
LONG BEACH,3850402A,1607,370,N,1209,TOTAL,208,158,47,
LONG BEACH,3850415A,1608,357,N,1055,POLLING PLACE,99,77,16,
LONG BEACH,3850415A,1608,357,N,,VBM PORTION,39,33,5,
LONG BEACH,3850415A,1608,357,N,1055,TOTAL,138,110,21,
LONG BEACH,3850445A,1609,392,N,1228,POLLING PLACE,251,116,121,
LONG BEACH,3850445A,1609,392,N,,VBM PORTION,180,67,104,
LONG BEACH,3850445A,1609,392,N,1228,TOTAL,431,183,225,
LONG BEACH,3850447A,1610,392,N,1533,POLLING PLACE,375,187,176,
LONG BEACH,3850447A,1610,392,N,,VBM PORTION,200,83,109,
LONG BEACH,3850447A,1610,392,N,1533,TOTAL,575,270,285,
LONG BEACH,3850469A,1611,392,N,287,POLLING PLACE,75,33,37,
LONG BEACH,3850469A,1611,392,N,,VBM PORTION,59,24,28,
LONG BEACH,3850469A,1611,392,N,287,TOTAL,134,57,65,
LONG BEACH,3850481A,1612,392,N,764,POLLING PLACE,168,73,85,
LONG BEACH,3850481A,1612,392,N,,VBM PORTION,107,37,66,
LONG BEACH,3850481A,1612,392,N,764,TOTAL,275,110,151,
LONG BEACH,3850517A,1613,396,N,770,POLLING PLACE,110,86,18,
LONG BEACH,3850517A,1613,396,N,,VBM PORTION,48,33,13,
LONG BEACH,3850517A,1613,396,N,770,TOTAL,158,119,31,
LONG BEACH,3850530A,1614,396,N,853,POLLING PLACE,106,60,40,
LONG BEACH,3850530A,1614,396,N,,VBM PORTION,61,36,24,
LONG BEACH,3850530A,1614,396,N,853,TOTAL,167,96,64,
LONG BEACH,3850533A,1615,396,N,860,POLLING PLACE,179,122,48,
LONG BEACH,3850533A,1615,396,N,,VBM PORTION,57,40,16,
LONG BEACH,3850533A,1615,396,N,860,TOTAL,236,162,64,
LONG BEACH,3850535A,1616,392,N,845,POLLING PLACE,218,106,95,
LONG BEACH,3850535A,1616,392,N,,VBM PORTION,87,26,55,
LONG BEACH,3850535A,1616,392,N,845,TOTAL,305,132,150,
LONG BEACH,3850539A,1617,392,N,1160,POLLING PLACE,285,152,117,
LONG BEACH,3850539A,1617,392,N,,VBM PORTION,141,56,78,
LONG BEACH,3850539A,1617,392,N,1160,TOTAL,426,208,195,
LONG BEACH,3850545A,1618,396,N,630,POLLING PLACE,70,55,15,
LONG BEACH,3850545A,1618,396,N,,VBM PORTION,68,42,24,
LONG BEACH,3850545A,1618,396,N,630,TOTAL,138,97,39,
LONG BEACH,3850546A,1619,355,N,497,POLLING PLACE,52,34,15,
LONG BEACH,3850546A,1619,355,N,,VBM PORTION,18,10,6,
LONG BEACH,3850546A,1619,355,N,497,TOTAL,70,44,21,
LONG BEACH,3850547A,1620,355,N,996,POLLING PLACE,130,92,37,
LONG BEACH,3850547A,1620,355,N,,VBM PORTION,35,17,15,
LONG BEACH,3850547A,1620,355,N,996,TOTAL,165,109,52,
LONG BEACH,3850549A,1621,396,N,1509,POLLING PLACE,213,147,60,
LONG BEACH,3850549A,1621,396,N,,VBM PORTION,173,92,70,
LONG BEACH,3850549A,1621,396,N,1509,TOTAL,386,239,130,
LONG BEACH,3850551B,1622,355,N,725,POLLING PLACE,64,48,14,
LONG BEACH,3850551B,1622,355,N,,VBM PORTION,21,12,9,
LONG BEACH,3850551B,1622,355,N,725,TOTAL,85,60,23,
LONG BEACH,3850552A,1623,355,N,629,POLLING PLACE,71,51,14,
LONG BEACH,3850552A,1623,355,N,,VBM PORTION,32,20,8,
LONG BEACH,3850552A,1623,355,N,629,TOTAL,103,71,22,
LONG BEACH,3850552B,1624,355,N,799,POLLING PLACE,103,75,24,
LONG BEACH,3850552B,1624,355,N,,VBM PORTION,26,18,7,
LONG BEACH,3850552B,1624,355,N,799,TOTAL,129,93,31,
LONG BEACH,3850553A,1625,355,N,1004,POLLING PLACE,104,68,34,
LONG BEACH,3850553A,1625,355,N,,VBM PORTION,35,18,10,
LONG BEACH,3850553A,1625,355,N,1004,TOTAL,139,86,44,
LONG BEACH,3850554A,1626,357,N,662,POLLING PLACE,58,41,17,
LONG BEACH,3850554A,1626,357,N,,VBM PORTION,35,20,12,
LONG BEACH,3850554A,1626,357,N,662,TOTAL,93,61,29,
LONG BEACH,3850558B,1627,396,N,875,POLLING PLACE,101,62,38,
LONG BEACH,3850558B,1627,396,N,,VBM PORTION,56,33,22,
LONG BEACH,3850558B,1627,396,N,875,TOTAL,157,95,60,
LONG BEACH,3850559A,1628,396,N,1299,POLLING PLACE,226,140,73,
LONG BEACH,3850559A,1628,396,N,,VBM PORTION,80,41,36,
LONG BEACH,3850559A,1628,396,N,1299,TOTAL,306,181,109,
LONG BEACH,3850562A,1629,396,N,1109,POLLING PLACE,292,181,104,
LONG BEACH,3850562A,1629,396,N,,VBM PORTION,145,63,73,
LONG BEACH,3850562A,1629,396,N,1109,TOTAL,437,244,177,
LONG BEACH,3850563A,1630,396,N,1154,POLLING PLACE,225,148,69,
LONG BEACH,3850563A,1630,396,N,,VBM PORTION,87,50,32,
LONG BEACH,3850563A,1630,396,N,1154,TOTAL,312,198,101,
LONG BEACH,3850564B,1631,396,N,1302,POLLING PLACE,185,131,41,
LONG BEACH,3850564B,1631,396,N,,VBM PORTION,105,67,32,
LONG BEACH,3850564B,1631,396,N,1302,TOTAL,290,198,73,
LONG BEACH,3850568A,1632,396,N,1176,POLLING PLACE,212,146,58,
LONG BEACH,3850568A,1632,396,N,,VBM PORTION,88,53,32,
LONG BEACH,3850568A,1632,396,N,1176,TOTAL,300,199,90,
LONG BEACH,3850572A,1633,396,N,1183,POLLING PLACE,162,122,31,
LONG BEACH,3850572A,1633,396,N,,VBM PORTION,77,61,13,
LONG BEACH,3850572A,1633,396,N,1183,TOTAL,239,183,44,
LONG BEACH,3850577A,1634,396,N,1134,POLLING PLACE,99,78,16,
LONG BEACH,3850577A,1634,396,N,,VBM PORTION,37,31,5,
LONG BEACH,3850577A,1634,396,N,1134,TOTAL,136,109,21,
LONG BEACH,3850591A,1635,396,N,894,POLLING PLACE,80,67,12,
LONG BEACH,3850591A,1635,396,N,,VBM PORTION,34,26,7,
LONG BEACH,3850591A,1635,396,N,894,TOTAL,114,93,19,
LONG BEACH,3850593A,1636,396,N,693,POLLING PLACE,65,56,9,
LONG BEACH,3850593A,1636,396,N,,VBM PORTION,16,12,3,
LONG BEACH,3850593A,1636,396,N,693,TOTAL,81,68,12,
LONG BEACH,3850594A,1637,396,N,1164,POLLING PLACE,115,97,16,
LONG BEACH,3850594A,1637,396,N,,VBM PORTION,54,48,5,
LONG BEACH,3850594A,1637,396,N,1164,TOTAL,169,145,21,
LONG BEACH,3850610A,1638,396,N,994,POLLING PLACE,131,86,33,
LONG BEACH,3850610A,1638,396,N,,VBM PORTION,42,27,15,
LONG BEACH,3850610A,1638,396,N,994,TOTAL,173,113,48,
LONG BEACH,3850611A,1639,396,N,1086,POLLING PLACE,86,61,23,
LONG BEACH,3850611A,1639,396,N,,VBM PORTION,57,30,21,
LONG BEACH,3850611A,1639,396,N,1086,TOTAL,143,91,44,
LONG BEACH,3850614A,1640,396,N,954,POLLING PLACE,101,83,12,
LONG BEACH,3850614A,1640,396,N,,VBM PORTION,18,12,4,
LONG BEACH,3850614A,1640,396,N,954,TOTAL,119,95,16,
LONG BEACH,3850616A,1641,396,N,1025,POLLING PLACE,121,92,26,
LONG BEACH,3850616A,1641,396,N,,VBM PORTION,69,47,18,
LONG BEACH,3850616A,1641,396,N,1025,TOTAL,190,139,44,
LONG BEACH,3850617A,1642,396,N,838,POLLING PLACE,93,56,32,
LONG BEACH,3850617A,1642,396,N,,VBM PORTION,61,38,19,
LONG BEACH,3850617A,1642,396,N,838,TOTAL,154,94,51,
LONG BEACH,3850618A,1643,396,N,846,POLLING PLACE,86,61,18,
LONG BEACH,3850618A,1643,396,N,,VBM PORTION,43,31,11,
LONG BEACH,3850618A,1643,396,N,846,TOTAL,129,92,29,
LONG BEACH,3850620A,1644,396,N,1042,POLLING PLACE,135,97,33,
LONG BEACH,3850620A,1644,396,N,,VBM PORTION,46,33,10,
LONG BEACH,3850620A,1644,396,N,1042,TOTAL,181,130,43,
LONG BEACH,3850621A,1645,396,N,750,POLLING PLACE,85,63,20,
LONG BEACH,3850621A,1645,396,N,,VBM PORTION,33,24,9,
LONG BEACH,3850621A,1645,396,N,750,TOTAL,118,87,29,
LONG BEACH,3850624A,1646,396,N,754,POLLING PLACE,78,49,27,
LONG BEACH,3850624A,1646,396,N,,VBM PORTION,53,30,20,
LONG BEACH,3850624A,1646,396,N,754,TOTAL,131,79,47,
LONG BEACH,3850625A,1647,396,N,1021,POLLING PLACE,101,62,33,
LONG BEACH,3850625A,1647,396,N,,VBM PORTION,79,46,27,
LONG BEACH,3850625A,1647,396,N,1021,TOTAL,180,108,60,
LONG BEACH,3850630A,1648,396,N,1256,POLLING PLACE,289,143,134,
LONG BEACH,3850630A,1648,396,N,,VBM PORTION,111,70,36,
LONG BEACH,3850630A,1648,396,N,1256,TOTAL,400,213,170,
LONG BEACH,3850632B,1649,396,N,801,POLLING PLACE,191,95,88,
LONG BEACH,3850632B,1649,396,N,,VBM PORTION,63,30,31,
LONG BEACH,3850632B,1649,396,N,801,TOTAL,254,125,119,
LONG BEACH,3850636A,1650,396,N,914,POLLING PLACE,203,133,55,
LONG BEACH,3850636A,1650,396,N,,VBM PORTION,94,55,34,
LONG BEACH,3850636A,1650,396,N,914,TOTAL,297,188,89,
LONG BEACH,3850637A,1651,392,N,802,POLLING PLACE,218,126,83,
LONG BEACH,3850637A,1651,392,N,,VBM PORTION,90,43,44,
LONG BEACH,3850637A,1651,392,N,802,TOTAL,308,169,127,
LONG BEACH,3850639A,1652,392,N,963,POLLING PLACE,262,124,121,
LONG BEACH,3850639A,1652,392,N,,VBM PORTION,100,45,51,
LONG BEACH,3850639A,1652,392,N,963,TOTAL,362,169,172,
LONG BEACH,3850645A,1653,392,N,730,POLLING PLACE,14,11,2,
LONG BEACH,3850645A,1653,392,N,,VBM PORTION,1,1,,
LONG BEACH,3850645A,1653,392,N,730,TOTAL,15,12,2,
LONG BEACH,3850648A,1654,392,N,1458,POLLING PLACE,376,188,168,
LONG BEACH,3850648A,1654,392,N,,VBM PORTION,180,66,101,
LONG BEACH,3850648A,1654,392,N,1458,TOTAL,556,254,269,
LONG BEACH,3850649E,6148,391,Y,,POLLING PLACE,,,,
LONG BEACH,3850649E,6148,391,Y,,VBM PORTION,,,,
LONG BEACH,3850649E,6148,391,Y,,TOTAL,,,,
LONG BEACH,3850650A,1655,344,N,846,POLLING PLACE,151,68,72,
LONG BEACH,3850650A,1655,344,N,,VBM PORTION,77,30,41,
LONG BEACH,3850650A,1655,344,N,846,TOTAL,228,98,113,
LONG BEACH,3850660A,1656,394,N,767,POLLING PLACE,44,32,7,
LONG BEACH,3850660A,1656,394,N,,VBM PORTION,20,11,8,
LONG BEACH,3850660A,1656,394,N,767,TOTAL,64,43,15,
LONG BEACH,3850660B,1657,394,N,605,POLLING PLACE,74,51,21,
LONG BEACH,3850660B,1657,394,N,,VBM PORTION,30,22,8,
LONG BEACH,3850660B,1657,394,N,605,TOTAL,104,73,29,
LONG BEACH,3850671A,1658,396,N,1049,POLLING PLACE,91,70,18,
LONG BEACH,3850671A,1658,396,N,,VBM PORTION,31,25,6,
LONG BEACH,3850671A,1658,396,N,1049,TOTAL,122,95,24,
LONG BEACH,3850686A,1659,352,N,1027,POLLING PLACE,73,66,5,
LONG BEACH,3850686A,1659,352,N,,VBM PORTION,22,15,7,
LONG BEACH,3850686A,1659,352,N,1027,TOTAL,95,81,12,
LONG BEACH,3850688A,1660,392,N,1028,POLLING PLACE,174,105,64,
LONG BEACH,3850688A,1660,392,N,,VBM PORTION,194,95,93,
LONG BEACH,3850688A,1660,392,N,1028,TOTAL,368,200,157,
LONG BEACH,3850701A,1661,396,N,789,POLLING PLACE,102,85,14,
LONG BEACH,3850701A,1661,396,N,,VBM PORTION,37,30,7,
LONG BEACH,3850701A,1661,396,N,789,TOTAL,139,115,21,
LONG BEACH,3850702A,1662,396,N,689,POLLING PLACE,35,20,14,
LONG BEACH,3850702A,1662,396,N,,VBM PORTION,14,10,3,
LONG BEACH,3850702A,1662,396,N,689,TOTAL,49,30,17,
LONG BEACH,3850702B,1663,396,N,847,POLLING PLACE,32,22,8,
LONG BEACH,3850702B,1663,396,N,,VBM PORTION,17,10,6,
LONG BEACH,3850702B,1663,396,N,847,TOTAL,49,32,14,
LOS NIETOS,3900005A,1664,261,N,610,POLLING PLACE,115,83,28,
LOS NIETOS,3900005A,1664,261,N,,VBM PORTION,25,17,7,
LOS NIETOS,3900005A,1664,261,N,610,TOTAL,140,100,35,
LOS NIETOS,3900006A,1665,261,N,1040,POLLING PLACE,188,133,48,
LOS NIETOS,3900006A,1665,261,N,,VBM PORTION,48,26,18,
LOS NIETOS,3900006A,1665,261,N,1040,TOTAL,236,159,66,
LOS NIETOS,3900007A,1666,261,N,1032,POLLING PLACE,169,113,47,
LOS NIETOS,3900007A,1666,261,N,,VBM PORTION,43,25,15,
LOS NIETOS,3900007A,1666,261,N,1032,TOTAL,212,138,62,
LOS NIETOS,3900008A,1667,262,N,599,POLLING PLACE,111,90,16,
LOS NIETOS,3900008A,1667,262,N,,VBM PORTION,19,12,7,
LOS NIETOS,3900008A,1667,262,N,599,TOTAL,130,102,23,
LOS NIETOS,3900009A,1668,262,N,1146,POLLING PLACE,227,161,47,
LOS NIETOS,3900009A,1668,262,N,,VBM PORTION,35,25,9,
LOS NIETOS,3900009A,1668,262,N,1146,TOTAL,262,186,56,
LOS NIETOS,3900061A,1669,261,N,356,POLLING PLACE,56,43,11,
LOS NIETOS,3900061A,1669,261,N,,VBM PORTION,18,12,5,
LOS NIETOS,3900061A,1669,261,N,356,TOTAL,74,55,16,
LOS NIETOS,3900062A,1670,261,N,1137,POLLING PLACE,204,142,44,
LOS NIETOS,3900062A,1670,261,N,,VBM PORTION,32,26,6,
LOS NIETOS,3900062A,1670,261,N,1137,TOTAL,236,168,50,
LOS NIETOS,3900063A,1671,261,N,595,POLLING PLACE,111,67,40,
LOS NIETOS,3900063A,1671,261,N,,VBM PORTION,11,5,6,
LOS NIETOS,3900063A,1671,261,N,595,TOTAL,122,72,46,
LOS NIETOS,3900066A,1672,261,N,1040,POLLING PLACE,182,138,40,
LOS NIETOS,3900066A,1672,261,N,,VBM PORTION,58,37,16,
LOS NIETOS,3900066A,1672,261,N,1040,TOTAL,240,175,56,
LOS NIETOS,3900067A,1673,261,N,1066,POLLING PLACE,190,128,52,
LOS NIETOS,3900067A,1673,261,N,,VBM PORTION,41,22,18,
LOS NIETOS,3900067A,1673,261,N,1066,TOTAL,231,150,70,
LOS NIETOS,3900070A,1674,261,N,898,POLLING PLACE,123,84,33,
LOS NIETOS,3900070A,1674,261,N,,VBM PORTION,21,15,6,
LOS NIETOS,3900070A,1674,261,N,898,TOTAL,144,99,39,
LOS NIETOS,3900071C,1675,262,N,366,POLLING PLACE,42,29,11,
LOS NIETOS,3900071C,1675,262,N,,VBM PORTION,15,6,9,
LOS NIETOS,3900071C,1675,262,N,366,TOTAL,57,35,20,
LOS NIETOS,3900073A,1676,262,N,860,POLLING PLACE,142,92,41,
LOS NIETOS,3900073A,1676,262,N,,VBM PORTION,37,21,14,
LOS NIETOS,3900073A,1676,262,N,860,TOTAL,179,113,55,
LOS NIETOS,3900080B,1677,262,N,747,POLLING PLACE,121,83,29,
LOS NIETOS,3900080B,1677,262,N,,VBM PORTION,24,15,7,
LOS NIETOS,3900080B,1677,262,N,747,TOTAL,145,98,36,
LOS NIETOS,3900082A,1678,262,N,1075,POLLING PLACE,224,167,42,
LOS NIETOS,3900082A,1678,262,N,,VBM PORTION,21,13,6,
LOS NIETOS,3900082A,1678,262,N,1075,TOTAL,245,180,48,
LOS NIETOS,3900088A,1679,261,N,541,POLLING PLACE,104,61,35,
LOS NIETOS,3900088A,1679,261,N,,VBM PORTION,32,20,11,
LOS NIETOS,3900088A,1679,261,N,541,TOTAL,136,81,46,
LYNWOOD,3990001A,1680,353,N,1012,POLLING PLACE,100,93,3,
LYNWOOD,3990001A,1680,353,N,,VBM PORTION,24,18,4,
LYNWOOD,3990001A,1680,353,N,1012,TOTAL,124,111,7,
LYNWOOD,3990001B,6149,356,Y,,POLLING PLACE,,,,
LYNWOOD,3990001B,6149,356,Y,,VBM PORTION,,,,
LYNWOOD,3990001B,6149,356,Y,,TOTAL,,,,
LYNWOOD,3990002A,1681,353,N,851,POLLING PLACE,111,94,9,
LYNWOOD,3990002A,1681,353,N,,VBM PORTION,36,30,5,
LYNWOOD,3990002A,1681,353,N,851,TOTAL,147,124,14,
LYNWOOD,3990003A,1682,353,N,915,POLLING PLACE,108,84,18,
LYNWOOD,3990003A,1682,353,N,,VBM PORTION,26,16,9,
LYNWOOD,3990003A,1682,353,N,915,TOTAL,134,100,27,
LYNWOOD,3990004A,1683,353,N,729,POLLING PLACE,110,91,14,
LYNWOOD,3990004A,1683,353,N,,VBM PORTION,23,18,4,
LYNWOOD,3990004A,1683,353,N,729,TOTAL,133,109,18,
LYNWOOD,3990005A,1684,353,N,1042,POLLING PLACE,138,110,21,
LYNWOOD,3990005A,1684,353,N,,VBM PORTION,10,9,1,
LYNWOOD,3990005A,1684,353,N,1042,TOTAL,148,119,22,
LYNWOOD,3990006A,1685,353,N,1150,POLLING PLACE,187,149,26,
LYNWOOD,3990006A,1685,353,N,,VBM PORTION,54,49,4,
LYNWOOD,3990006A,1685,353,N,1150,TOTAL,241,198,30,
LYNWOOD,3990007A,1686,353,N,1009,POLLING PLACE,137,119,5,
LYNWOOD,3990007A,1686,353,N,,VBM PORTION,28,22,4,
LYNWOOD,3990007A,1686,353,N,1009,TOTAL,165,141,9,
LYNWOOD,3990009A,1687,353,N,1130,POLLING PLACE,174,138,26,
LYNWOOD,3990009A,1687,353,N,,VBM PORTION,26,20,4,
LYNWOOD,3990009A,1687,353,N,1130,TOTAL,200,158,30,
LYNWOOD,3990010A,1688,353,N,1065,POLLING PLACE,96,77,13,
LYNWOOD,3990010A,1688,353,N,,VBM PORTION,34,24,8,
LYNWOOD,3990010A,1688,353,N,1065,TOTAL,130,101,21,
LYNWOOD,3990015A,1689,353,N,1137,POLLING PLACE,124,105,11,
LYNWOOD,3990015A,1689,353,N,,VBM PORTION,26,22,3,
LYNWOOD,3990015A,1689,353,N,1137,TOTAL,150,127,14,
LYNWOOD,3990016B,1690,353,N,1072,POLLING PLACE,143,121,17,
LYNWOOD,3990016B,1690,353,N,,VBM PORTION,35,31,3,
LYNWOOD,3990016B,1690,353,N,1072,TOTAL,178,152,20,
LYNWOOD,3990017A,1691,353,N,1095,POLLING PLACE,126,94,24,
LYNWOOD,3990017A,1691,353,N,,VBM PORTION,17,10,7,
LYNWOOD,3990017A,1691,353,N,1095,TOTAL,143,104,31,
LYNWOOD,3990018A,1692,353,N,1203,POLLING PLACE,175,151,17,
LYNWOOD,3990018A,1692,353,N,,VBM PORTION,41,31,7,
LYNWOOD,3990018A,1692,353,N,1203,TOTAL,216,182,24,
LYNWOOD,3990019A,1693,353,N,1180,POLLING PLACE,187,164,19,
LYNWOOD,3990019A,1693,353,N,,VBM PORTION,36,29,4,
LYNWOOD,3990019A,1693,353,N,1180,TOTAL,223,193,23,
LYNWOOD,3990028B,1694,353,N,1079,POLLING PLACE,147,119,21,
LYNWOOD,3990028B,1694,353,N,,VBM PORTION,22,16,4,
LYNWOOD,3990028B,1694,353,N,1079,TOTAL,169,135,25,
LYNWOOD,3990030A,1695,353,N,1065,POLLING PLACE,133,107,16,
LYNWOOD,3990030A,1695,353,N,,VBM PORTION,13,13,,
LYNWOOD,3990030A,1695,353,N,1065,TOTAL,146,120,16,
LYNWOOD,3990033A,1696,353,N,894,POLLING PLACE,120,105,12,
LYNWOOD,3990033A,1696,353,N,,VBM PORTION,40,37,2,
LYNWOOD,3990033A,1696,353,N,894,TOTAL,160,142,14,
LYNWOOD,3990061A,1697,353,N,1049,POLLING PLACE,133,113,13,
LYNWOOD,3990061A,1697,353,N,,VBM PORTION,34,30,3,
LYNWOOD,3990061A,1697,353,N,1049,TOTAL,167,143,16,
LYNWOOD,3990062A,1698,353,N,1214,POLLING PLACE,159,143,10,
LYNWOOD,3990062A,1698,353,N,,VBM PORTION,50,47,2,
LYNWOOD,3990062A,1698,353,N,1214,TOTAL,209,190,12,
LYNWOOD,3990063A,1699,353,N,1154,POLLING PLACE,164,140,19,
LYNWOOD,3990063A,1699,353,N,,VBM PORTION,36,31,3,
LYNWOOD,3990063A,1699,353,N,1154,TOTAL,200,171,22,
LYNWOOD,3990064A,1700,353,N,1109,POLLING PLACE,147,112,23,
LYNWOOD,3990064A,1700,353,N,,VBM PORTION,33,24,7,
LYNWOOD,3990064A,1700,353,N,1109,TOTAL,180,136,30,
LYNWOOD,3990065B,1701,353,N,1016,POLLING PLACE,125,95,17,
LYNWOOD,3990065B,1701,353,N,,VBM PORTION,38,34,3,
LYNWOOD,3990065B,1701,353,N,1016,TOTAL,163,129,20,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,141,78,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,48,26,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,189,104,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,137,58,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,48,29,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,185,87,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,100,41,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,37,38,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,137,79,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,109,84,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,45,41,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,154,125,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,208,137,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,54,65,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,262,202,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,142,99,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,61,36,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,203,135,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,65,68,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,40,34,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,105,102,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,208,74,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,56,47,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,264,121,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,127,80,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,59,48,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,186,128,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,162,94,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,67,58,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,229,152,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,61,38,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,15,11,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,76,49,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,1,8,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,1,8,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,34,24,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,5,5,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,39,29,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,10,8,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,10,8,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,31,21,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,28,9,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,59,30,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,65,39,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,44,27,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,109,66,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,
MANHATTAN BEACH,4100001F,1716,375,N,1018,POLLING PLACE,257,116,128,
MANHATTAN BEACH,4100001F,1716,375,N,,VBM PORTION,105,35,66,
MANHATTAN BEACH,4100001F,1716,375,N,1018,TOTAL,362,151,194,
MANHATTAN BEACH,4100002A,1717,375,N,851,POLLING PLACE,205,112,80,
MANHATTAN BEACH,4100002A,1717,375,N,,VBM PORTION,88,41,41,
MANHATTAN BEACH,4100002A,1717,375,N,851,TOTAL,293,153,121,
MANHATTAN BEACH,4100005A,1718,375,N,1016,POLLING PLACE,243,121,112,
